,COFA FP Equity_DX_SI_QTY,COFA FP Equity_DX_SHORT_INTEREST_VALUE,COFA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,COFA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,COFA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,COFA FP Equity_DX_SI_MV,COFA FP Equity_DX_DSS,COFA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,COFA FP Equity_DX_SUPPLY_SI_QTY,COFA FP Equity_DX_BROKER_SI_QTY,COFA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,COFA FP Equity_DX_BROKER_SI_MV_NEW_x,COFA FP Equity_DX_SUPPLY_SI_QTY_NEW_x,COFA FP Equity_DX_SUPPLY_SI_QTY_INC_x,COFA FP Equity_DX_BROKER_SI_MV_INC_x,COFA FP Equity_DX_SUPPLY_SI_MV_NEW,COFA FP Equity_DX_BROKER_SI_QTY_ADD,COFA FP Equity_DX_BROKER_SI_QTY_NEW,COFA FP Equity_DX_SUPPLY_SI_MV_DEC,COFA FP Equity_DX_BROKER_SI_QTY_INC,COFA FP Equity_DX_SUPPLY_SI_QTY_DEC,COFA FP Equity_DX_BROKER_SI_MV_NEW_y,COFA FP Equity_DX_SUPPLY_SI_QTY_NEW_y,COFA FP Equity_DX_BROKER_SI_MV_INC_y,COFA FP Equity_DX_SUPPLY_SI_QTY_INC_y,COFA FP Equity_DX_BROKER_SI_MV_ADD,COFA FP Equity_DX_SUPPLY_SI_QTY_ADD,COFA FP Equity_DX_BROKER_SI_QTY_DEC,COFA FP Equity_DX_SUPPLY_SI_MV,COFA FP Equity_DX_BROKER_SI_MV_DEC,COFA FP Equity_DX_SUPPLY_SI_MV_RMV,COFA FP Equity_DX_BROKER_SI_MV_RMV,COFA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,COFA FP Equity_DX_UTILIZATION_QUANTITY,COFA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,COFA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,COFA FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,COFA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,COFA FP Equity_DX_ACTIVE_UTILIZATION_MV,COFA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,COFA FP Equity_DX_BROKER_SI_CON_RATIO,COFA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,COFA FP Equity_DX_DEMAND_SUPPLY_RATIO
2017-07-05,1000524.0,8414406.84,1.09,6.54,0.64,8.77,0.0,3994909.79,845675.0,475019.0,7112126.75,,,,0.08,,,,,11801.0,,,,0.08,,,,27664.0,7.35,0.26,,,7.51,7.51,10412827.0,87571875.07,,90.61,7.5,16.2,0.1885,35.67,0.0889
2017-07-06,969663.0,8125775.94,1.05,6.25,0.62,8.15,0.0,3793089.68,861104.0,452636.0,7216051.52,,,29912.0,0.0,,,,0.13,3982.0,14945.0,,,0.0,29912.0,,462.0,26365.0,7.23,0.29,,,7.71,7.71,10302156.0,86332067.28,,86.29,7.73,17.03,0.1992,36.87,0.0869
2017-07-07,929139.0,7897681.5,1.01,5.99,0.59,7.8,0.0,3538337.5,831045.0,416275.0,7063882.5,,,,,,,,0.23,,30059.0,,,,,,,36361.0,7.0,0.31,,,7.45,7.45,10318932.0,87710922.0,,86.7,7.47,16.6,0.2074,38.38,0.0833
2017-07-10,886469.0,7508392.43,0.96,5.66,0.56,7.54,0.0,3234582.89,805210.0,381887.0,6820128.7,,,,,,,,0.21,,25835.0,,,,,,,34388.0,6.84,0.26,,,7.22,7.22,10350176.0,87665990.72,,87.89,7.22,16.31,0.2204,40.31,0.0795
2017-07-11,842121.0,6989604.3,0.92,5.57,0.54,7.11,0.0,2928032.5,775183.0,352775.0,6434018.9,,,,,,,,0.3,,30027.0,,,,,,,29112.0,6.53,0.27,,,6.94,6.94,10394479.0,86274175.7,,87.46,6.94,16.59,0.2404,42.63,0.0754
2017-07-12,851186.0,7064843.8,0.92,5.65,0.54,7.08,0.0,3011298.1,777245.0,362807.0,6451133.5,,,3029.0,0.0,,18278.0,,0.01,3029.0,967.0,,,0.0,3029.0,0.16,,11275.0,6.45,0.1,,,6.77,6.77,10711382.0,88904470.6,,88.91,6.77,16.71,0.2341,41.94,0.0741
2017-07-13,852133.0,7055661.24,0.93,5.73,0.54,7.08,0.0,2907579.96,780982.0,351157.0,6466530.96,,,17597.0,0.04,,,,0.12,5000.0,13860.0,,,0.04,17597.0,,,16650.0,6.48,0.14,,,6.81,6.81,10692004.0,88529793.12,,88.74,6.8,16.17,0.2426,43.39,0.0743
2017-07-14,843727.0,6986059.56,0.92,5.86,0.54,6.98,0.0,2862511.92,772576.0,345714.0,6396929.28,,,6131.0,0.04,,,,0.13,6131.0,14537.0,,,0.04,6131.0,,,11574.0,6.39,0.1,,,6.77,6.77,10632367.0,88035998.76,,87.84,6.78,17.0,0.2471,43.82,0.074
2017-07-17,838495.0,6892428.9,0.91,5.99,0.53,6.93,0.0,2798762.04,753554.0,340482.0,6194213.88,,,3359.0,0.11,,,,0.18,13790.0,22381.0,,,0.11,3359.0,,,19022.0,6.23,0.16,,,6.57,6.57,10717793.0,88100258.46,,88.52,6.57,15.0,0.2444,44.14,0.0731
2017-07-18,828819.0,6796315.8,0.9,5.89,0.53,6.8,0.0,2712609.2,756378.0,330806.0,6202299.6,,,11694.0,0.09,,,,0.08,11694.0,8870.0,,,0.09,11694.0,,,21370.0,6.21,0.18,,,6.56,6.56,10774755.0,88352991.0,,88.29,6.57,16.54,0.2513,44.66,0.0719
2017-07-19,797807.0,6629776.17,0.87,5.69,0.51,6.55,0.0,2415833.34,751644.0,290714.0,6246161.64,,,,0.02,,,,0.02,1656.0,4734.0,,,0.02,,,,41748.0,6.19,0.35,,,6.54,6.54,10743480.0,89278318.8,,88.5,6.54,17.52,0.2692,46.27,0.0694
2017-07-20,826758.0,6671937.06,0.9,5.91,0.53,6.84,0.0,2668466.55,780595.0,330665.0,6299401.65,,,28951.0,0.34,,,,,40175.0,,,,0.34,28951.0,,,224.0,6.43,0.0,,,6.84,6.84,10633208.0,85809988.56,,87.6,6.83,16.83,0.2573,44.93,0.0724
2017-07-21,802551.0,6428433.51,0.87,5.94,0.51,6.47,0.0,2454728.58,767499.0,306458.0,6147666.99,,,,0.0,,,,0.13,1295.0,13096.0,,,0.0,,,,25502.0,6.18,0.24,,,6.72,6.72,10647668.0,85287820.68,,85.71,6.72,16.1,0.2647,46.08,0.0703
2017-07-24,785245.0,6368336.95,0.85,5.83,0.5,6.3,0.0,2350488.86,750193.0,289826.0,6084065.23,,,,,,,,0.12,,17306.0,,,,,,,16632.0,6.03,0.14,,,6.57,6.57,10674624.0,86571200.64,,85.73,6.57,15.24,0.2707,46.98,0.0687
2017-07-25,801078.0,6488731.8,0.87,5.95,0.51,6.51,0.0,2475837.9,766749.0,305659.0,6210666.9,,,16556.0,0.15,,2067.0,,,16556.0,,,,0.15,16556.0,0.02,,2790.0,6.22,0.02,,,6.71,6.71,10660284.0,86348300.4,,86.42,6.71,14.99,0.2611,46.08,0.0701
2017-07-26,795764.0,6501391.88,0.86,5.86,0.51,6.45,0.0,2495510.16,762706.0,305448.0,6231308.02,,,1060.0,,,,,0.04,,5103.0,,,,1060.0,,,211.0,6.19,0.0,,,6.68,6.68,10652013.0,87026946.21,,86.18,6.7,15.08,0.2642,46.39,0.0697
2017-07-27,786825.0,6373282.5,0.85,5.77,0.5,6.43,0.0,2419883.1,754274.0,298751.0,6109619.4,2.45,,,0.02,,,298751.0,0.06,1565.0,8262.0,2.45,,0.02,,,754274.0,8262.0,6.15,0.06,,,6.62,6.62,10635517.0,86147687.7,,86.63,6.62,14.21,0.2675,46.94,0.0691
2017-07-28,818852.0,6583570.08,0.89,6.1,0.52,6.64,0.0,2543341.44,785021.0,316336.0,6311568.84,,,35008.0,0.18,,,,0.04,21846.0,4261.0,,,0.18,35008.0,,,4261.0,6.34,0.04,,,6.93,6.93,10534731.0,84699237.24,,84.99,6.94,13.11,0.2636,46.86,0.0723
2017-07-31,812511.0,6500088.0,0.88,6.54,0.52,6.54,0.0,2513288.0,778540.0,314161.0,6228320.0,,,2905.0,0.06,,,,0.08,7211.0,9386.0,,,0.06,2905.0,,,9386.0,6.25,0.08,,,7.52,7.52,9572095.0,76576760.0,,76.64,7.54,12.07,0.2654,47.21,0.0785
2017-08-01,831174.0,6799003.32,0.9,6.21,0.53,6.71,0.0,2110350.02,755714.0,257989.0,6181740.52,,,,0.05,,,,0.17,6770.0,22826.0,,,0.05,,,,62942.0,6.1,0.51,,,7.03,7.03,9997368.0,81778470.24,,80.41,7.05,11.15,0.2517,45.79,0.0773
2017-08-02,801202.0,6569856.4,0.87,5.9,0.51,6.57,0.0,2048917.6,733863.0,249868.0,6017676.6,,,,0.02,,,,0.17,954.0,21851.0,,,0.02,,,,9075.0,6.01,0.06,,,6.89,6.89,9911548.0,81274693.6,,80.99,6.91,10.92,0.2555,46.23,0.0753
2017-08-03,407182.0,3334820.58,0.44,2.95,0.26,3.35,0.0,2350685.61,293508.0,287019.0,2403830.52,,,,0.5,,11100.0,,3.61,59529.0,440355.0,,,0.5,,0.09,,33478.0,2.41,0.28,,,2.8,2.8,10179080.0,83366665.2,,83.42,2.8,21.52,0.1685,27.1,0.0389
2017-08-04,287631.0,2361450.51,0.31,2.14,0.18,2.38,0.0,1374912.28,242816.0,167468.0,1993519.36,,,,,,,,0.81,,99275.0,,,,,,48583.0,119551.0,1.99,0.97,,,2.35,2.35,10093845.0,82870467.45,,82.97,2.35,21.54,0.1897,30.35,0.0278
2017-08-07,291148.0,2393236.56,0.32,2.11,0.19,2.41,0.0,1405496.7,246323.0,170985.0,2024775.06,,,3507.0,0.03,,,,,3517.0,,,,0.03,3507.0,,,,2.02,,,,2.4,2.4,10024804.0,82403888.88,,82.21,2.4,21.14,0.1864,30.08,0.0283
2017-08-08,306631.0,2520506.82,0.33,2.28,0.19,2.54,0.0,1532766.96,251593.0,186468.0,2068094.46,,,15819.0,0.17,,,,0.09,20000.0,10549.0,,,0.17,15819.0,,,4517.0,2.07,0.04,,,2.45,2.45,10021252.0,82374691.44,,82.48,2.45,24.0,0.194,28.51,0.0298
2017-08-09,323903.0,2643048.48,0.35,2.44,0.21,2.69,0.0,1662518.4,248246.0,203740.0,2025687.36,,,,0.17,,,,0.03,18253.0,3347.0,,,0.17,,,,981.0,2.04,0.01,,,2.42,2.42,9999743.0,81597902.88,,82.07,2.42,22.41,0.1766,26.96,0.0316
2017-08-10,279127.0,2255346.16,0.3,2.15,0.18,2.29,0.0,1284429.12,251668.0,158964.0,2033477.44,,,3422.0,,,,,,,,,,,3422.0,,,44776.0,2.05,0.38,,,2.45,2.45,10033104.0,81067480.32,,81.67,2.45,26.13,0.2289,31.52,0.0271
2017-08-11,292536.0,2334437.28,0.32,2.49,0.19,2.38,0.0,1391496.54,246352.0,174373.0,1965888.96,,,,0.15,,,,0.05,17409.0,5316.0,,,0.15,,,,2000.0,1.98,0.02,,,2.39,2.39,10076201.0,80408083.98,,81.09,2.39,24.82,0.2118,29.92,0.0283
2017-08-14,319505.0,2613550.9,0.35,2.72,0.2,2.61,0.0,1646977.56,255996.0,201342.0,2094047.28,,,9644.0,0.1,,14650.0,,,12319.0,,,,0.1,9644.0,0.12,,,2.06,,,,2.48,2.48,10077065.0,82430391.7,,80.74,2.48,23.18,0.1916,26.94,0.0309
2017-08-15,331919.0,2771523.65,0.36,2.8,0.21,2.78,0.0,1784862.6,265703.0,213756.0,2218620.05,,,9707.0,0.11,,,,,12707.0,,,,0.11,9707.0,,,293.0,2.19,0.0,,,2.57,2.57,10067358.0,84062439.3,,82.73,2.58,22.24,0.1843,25.98,0.0321
2017-08-16,359258.0,3021359.78,0.39,2.97,0.23,3.05,0.0,2027608.95,305327.0,241095.0,2567800.07,,,39567.0,0.17,,15443.0,,,20000.0,,,,0.17,39567.0,0.13,57.0,8104.0,2.55,0.06,,,2.95,2.95,10052225.0,84539212.25,,83.89,2.96,24.11,0.1834,25.91,0.0347
2017-08-17,359819.0,3015283.22,0.39,3.08,0.23,3.07,0.0,2025077.28,307630.0,241656.0,2577939.4,,,2360.0,0.07,,,,0.0,7943.0,57.0,,,0.07,2360.0,,,7382.0,2.58,0.06,,,2.96,2.96,10067998.0,84369823.24,,84.59,2.96,24.11,0.1872,25.66,0.0347
2017-08-18,366442.0,3012153.24,0.4,3.2,0.23,3.1,0.0,2066023.02,312057.0,251341.0,2565108.54,,,7489.0,0.08,,,,0.03,9685.0,3062.0,,,0.08,7489.0,,,,2.59,,,,2.99,2.99,10125630.0,83232678.6,,84.57,2.98,22.99,0.1835,24.95,0.0351
2017-08-21,372891.0,3016688.19,0.41,3.3,0.24,3.1,0.0,2331950.59,318630.0,288251.0,2577716.7,,,9634.0,0.08,,27400.0,,0.04,10700.0,3061.0,,,0.08,9634.0,0.23,,1190.0,2.6,0.01,,,3.01,3.01,10271092.0,83093134.28,,84.06,3.0,21.69,0.1803,24.51,0.0352
2017-08-22,395238.0,3185618.28,0.43,3.49,0.25,3.26,0.0,2503419.88,331704.0,310598.0,2673534.24,,,13074.0,0.18,,,,,22347.0,,,,0.18,13074.0,,,,2.68,,,,3.13,3.13,10257881.0,82678520.86,,83.08,3.13,20.32,0.172,23.26,0.0373
2017-08-23,447424.0,3597288.96,0.49,4.0,0.28,3.67,0.0,2916783.36,359182.0,362784.0,2887823.28,,,2384.0,0.27,,18368.0,,,33818.0,,,,0.27,2384.0,0.16,25094.0,,2.89,,,,3.39,3.39,10232555.0,82269742.2,,82.34,3.39,17.94,0.1533,20.57,0.0422
2017-08-24,463801.0,3696493.97,0.5,4.2,0.29,3.8,0.0,3021913.17,363817.0,379161.0,2899621.49,,,4635.0,0.13,,,,,16377.0,,,,0.13,4635.0,,,,2.92,,,,3.43,3.43,10227920.0,81516522.4,,82.2,3.43,19.19,0.1546,19.71,0.0438
2017-08-25,470097.0,3774878.91,0.51,4.37,0.3,3.82,0.0,3006086.71,374155.0,374357.0,3004464.65,,,10338.0,0.04,,,,,6296.0,,,,0.04,10338.0,,,11100.0,2.99,0.09,,,3.54,3.54,10201013.0,81914134.39,,81.07,3.55,19.08,0.1545,19.7,0.0445
2017-08-28,469064.0,3775965.2,0.51,4.42,0.3,3.84,0.0,3094613.2,371758.0,384424.0,2992651.9,,,,0.09,,,,0.02,10067.0,2397.0,,,0.09,,,,,2.98,,,,3.51,3.51,10206026.0,82158509.3,,81.71,3.52,19.63,0.1625,20.6,0.0443
2017-08-29,478082.0,3748162.88,0.52,4.5,0.3,3.91,0.0,3084585.28,371758.0,393442.0,2914582.72,,,,0.1,,,,,12590.0,,,,0.1,,,,3572.0,2.96,0.03,,,3.51,3.51,10206026.0,80015243.84,,81.85,3.49,18.87,0.1622,19.57,0.0452
2017-08-30,470794.0,3695732.9,0.51,4.39,0.3,3.77,0.0,3031308.9,371758.0,386154.0,2918300.3,,,,0.07,,,,,11080.0,,,,0.07,,,,18368.0,2.92,0.15,,,3.51,3.51,10207835.0,80131504.75,,80.41,3.5,19.57,0.1762,22.23,0.0445
2017-08-31,493470.0,3952694.7,0.54,4.55,0.31,3.96,0.0,3305038.14,367974.0,412614.0,2947471.74,,,,0.1,,14323.0,,0.03,12137.0,3784.0,,,0.1,,0.11,,,2.91,,,,3.51,3.51,10105560.0,80945535.6,,79.55,3.53,19.84,0.1681,21.13,0.0471
2017-09-01,529860.0,4238880.0,0.58,4.88,0.34,4.31,0.0,3622304.0,364190.0,452788.0,2913520.0,,,,0.36,,,,0.02,40692.0,3784.0,,,0.36,,,,518.0,2.92,0.0,,,3.48,3.48,10114149.0,80913192.0,,81.09,3.47,18.57,0.1706,22.31,0.0506
2017-09-04,529860.0,4371345.0,0.58,4.87,0.34,4.32,0.0,3735501.0,364190.0,452788.0,3004567.5,,,,,,,,,,,,,,,,,,2.95,,,,3.49,3.49,10085949.0,83209079.25,,80.96,3.52,18.4,0.1704,22.15,0.0507
2017-09-05,565581.0,4722601.35,0.61,4.79,0.36,4.76,0.0,4079050.15,385167.0,488509.0,3216144.45,,,,0.36,,,,,35721.0,,,,0.36,,,20977.0,,3.2,,,,3.62,3.62,10245847.0,85552822.45,,84.63,3.64,21.93,0.1751,22.4,0.0532
2017-09-06,674850.0,5608003.5,0.73,5.69,0.43,5.74,0.0,4967535.18,448388.0,597778.0,3726104.28,,,63221.0,0.84,,13000.0,,,96269.0,,,,0.84,63221.0,0.11,,,3.74,,,,4.23,4.23,10153232.0,84373357.92,,84.72,4.22,19.7,0.1612,22.02,0.0637
2017-09-07,640366.0,5289423.16,0.7,5.29,0.41,5.4,0.0,4632984.44,415788.0,560894.0,3434408.88,,,,0.09,,,,0.29,12439.0,35000.0,,,0.09,,,2400.0,49323.0,3.44,0.43,,,3.92,3.92,10181834.0,84101948.84,,84.31,3.92,19.32,0.1656,25.16,0.0604
2017-09-08,857709.0,7118984.7,0.93,7.06,0.55,7.25,0.0,6459367.1,444593.0,778237.0,3690121.9,,,28805.0,0.34,,175705.0,,,41638.0,,,,0.34,28805.0,1.52,,,3.68,,,,4.2,4.2,10142238.0,84180575.4,,83.77,4.21,21.09,0.1498,21.75,0.081
2017-09-11,949374.0,8022210.3,1.03,7.87,0.6,8.05,0.0,7350671.9,487264.0,869902.0,4117380.8,,,47347.0,0.38,,46426.0,,0.04,45239.0,4676.0,,,0.38,47347.0,0.39,,,4.1,,,,4.6,4.6,10101257.0,85355621.65,,84.21,4.64,18.95,0.1362,21.21,0.0897
2017-09-12,979231.0,8274501.95,1.06,9.06,0.62,8.43,0.0,7602963.55,479550.0,899759.0,4052197.5,,,,0.32,,,,0.06,29857.0,7714.0,,,0.32,,,,,4.05,,,,4.53,4.53,10099678.0,85342279.1,,85.38,4.53,18.81,0.1378,21.27,0.0926
2017-09-13,946803.0,8085697.62,1.03,8.9,0.6,8.17,0.0,7407006.74,482594.0,867331.0,4121352.76,,,12037.0,0.01,,,,0.08,1547.0,8993.0,,,0.01,12037.0,,,33975.0,4.11,0.28,,,4.57,4.57,10077941.0,86065616.14,,85.47,4.59,19.06,0.14,22.06,0.0897
2017-09-14,905367.0,7795209.87,0.98,8.73,0.58,7.89,0.0,7110955.95,452019.0,825895.0,3891883.59,,,,0.04,,,,0.24,1873.0,30575.0,,,0.04,,,,43309.0,3.88,0.34,,,4.28,4.28,10104954.0,87003653.94,,86.37,4.3,18.75,0.1428,23.34,0.0858
2017-09-15,913144.0,7825644.08,0.99,8.83,0.58,8.01,0.0,7144569.04,452278.0,833672.0,3876022.46,,,259.0,0.11,,,,,10629.0,,,,0.11,259.0,,,2852.0,3.88,0.02,,,4.29,4.29,10080729.0,86391847.53,,86.56,4.29,18.6,0.1457,24.33,0.0867
2017-09-18,911609.0,7621051.24,0.99,9.06,0.58,7.94,0.0,6956665.32,452946.0,832137.0,3786628.56,,,668.0,0.01,,,,,668.0,,,,0.01,668.0,,,2203.0,3.81,0.03,,,4.3,4.3,10077356.0,84246696.16,,86.13,4.24,18.69,0.1453,24.18,0.0866
2017-09-19,865918.0,7282370.38,0.94,8.53,0.55,7.4,0.0,6630519.69,393103.0,788409.0,3305996.23,,,8143.0,0.19,,,,0.58,25256.0,67986.0,,,0.19,8143.0,,,68984.0,3.3,0.66,,,3.73,3.73,10143861.0,85309871.01,,84.79,3.74,19.56,0.1446,24.97,0.0822
2017-09-20,870102.0,7334959.86,0.95,8.68,0.55,7.49,0.0,6665010.9,426690.0,790630.0,3596996.7,,,30966.0,0.28,,,,0.58,30966.0,69646.0,,,0.28,30966.0,,72267.0,28745.0,3.6,0.21,,,4.05,4.05,10115969.0,85277618.67,,85.36,4.05,19.33,0.1458,24.8,0.0825
2017-09-21,834835.0,7112794.2,0.91,8.39,0.53,7.21,0.0,6435692.76,422207.0,755363.0,3597203.64,,,544.0,0.01,,,,0.04,544.0,5027.0,,,0.01,544.0,,,35811.0,3.59,0.3,,,4.0,4.0,10128926.0,86298449.52,,85.65,4.02,20.19,0.151,25.83,0.0791
2017-09-22,842246.0,7192780.84,0.92,8.67,0.54,7.34,0.0,6530853.98,441755.0,764737.0,3772587.7,,,21511.0,0.19,,,,0.02,21511.0,1963.0,,,0.19,21511.0,,,12137.0,3.77,0.1,,,4.19,4.19,10103913.0,86287417.02,,86.05,4.2,20.05,0.1512,25.65,0.0799
2017-09-25,837221.0,7108006.29,0.91,8.9,0.53,7.32,0.0,6449954.88,441869.0,759712.0,3751467.81,,,,,,,,,,,,,,,,114.0,5025.0,3.76,0.04,,,4.19,4.19,10109946.0,85833441.54,,86.6,4.16,20.0,0.152,25.8,0.0793
2017-09-26,853925.0,7420608.25,0.93,9.31,0.54,7.44,0.0,6618469.11,458750.0,761619.0,3986537.5,,,2471.0,0.01,,,,0.01,2471.0,387.0,,,0.01,2471.0,,14797.0,564.0,3.96,0.01,,,4.34,4.34,10121103.0,87952385.07,,86.41,4.38,19.81,0.1472,25.2,0.0807
2017-09-27,854373.0,7475763.75,0.93,9.44,0.54,7.59,0.0,6689086.25,458907.0,764467.0,4015436.25,,,2557.0,0.09,,,,0.02,2848.0,2400.0,,,0.09,2557.0,,,,4.01,,,,4.34,4.34,10113948.0,88497045.0,,88.01,4.35,19.86,0.148,25.31,0.0808
2017-09-28,825357.0,7642805.82,0.9,9.05,0.52,7.44,0.0,6829888.94,465000.0,737569.0,4305900.0,,,7504.0,0.17,,,,0.04,12000.0,4684.0,,,0.17,7504.0,,3273.0,38898.0,4.23,0.32,,,4.37,4.37,10171178.0,94185108.28,,89.51,4.51,19.8,0.1522,24.8,0.0776
2017-09-29,794512.0,7222114.08,0.86,7.76,0.51,7.45,0.0,6424121.16,455128.0,706724.0,4137113.52,,,,,,,,0.1,,9872.0,,,,,,,30845.0,4.12,0.03,,,4.28,4.28,10189230.0,92620100.7,,93.33,4.23,20.42,0.1566,25.82,0.0746
2017-10-02,764664.0,6996675.6,0.83,7.3,0.49,7.12,0.0,6193415.4,440436.0,676876.0,4029989.4,,,,,,,,0.13,,14692.0,,,,,,,29848.0,4.03,0.32,,,4.14,4.14,10207787.0,93401251.05,,93.07,4.15,21.0,0.162,26.25,0.0718
2017-10-03,745432.0,6917608.96,0.81,6.94,0.47,6.98,0.0,6206872.32,445040.0,668844.0,4129971.2,,,,0.2,,,,0.09,21941.0,10218.0,,,0.2,,,14822.0,29973.0,4.11,0.27,,,4.18,4.18,10201385.0,94668852.8,,93.52,4.21,19.99,0.1644,26.93,0.07
2017-10-04,766328.0,7050217.6,0.83,6.99,0.49,7.23,0.0,6378700.4,483188.0,693337.0,4445329.6,,,20000.0,0.65,,,,0.08,70000.0,6852.0,,,0.65,20000.0,,25000.0,45507.0,4.46,0.41,,,4.55,4.55,10146947.0,93351912.4,,94.03,4.53,18.72,0.1598,26.36,0.0721
2017-10-05,799392.0,7314436.8,0.87,7.13,0.51,7.5,0.0,6616374.15,511395.0,723101.0,4679264.25,,,28207.0,0.29,,,,,33339.0,,,,0.29,28207.0,,,3575.0,4.69,0.04,,,4.8,4.8,10150163.0,92873991.45,,93.46,4.78,18.04,0.1586,25.71,0.075
2017-10-06,803164.0,7445330.28,0.87,7.12,0.51,7.49,0.0,6715299.24,510453.0,724412.0,4731899.31,,,16785.0,0.34,,,,0.14,39860.0,17727.0,,,0.34,16785.0,,,38549.0,4.71,0.36,,,4.79,4.79,10156726.0,94152850.02,,93.07,4.82,17.9,0.1603,26.24,0.0753
2017-10-09,797312.0,7566490.88,0.87,6.79,0.51,7.53,0.0,6819134.4,510955.0,718560.0,4848962.95,,,6562.0,0.08,,,,0.05,5208.0,11060.0,,,0.08,6562.0,,5000.0,11060.0,4.81,0.09,,,4.78,4.78,10181529.0,96622710.21,,94.67,4.83,18.22,0.1626,26.68,0.0746
2017-10-10,669168.0,6424012.8,0.73,5.63,0.43,6.46,0.0,5699673.6,439828.0,593716.0,4222348.8,,,,,,,,0.84,,91666.0,,,,,,20539.0,124844.0,4.2,1.09,,,4.13,4.13,10214093.0,98055292.8,,96.87,4.16,21.43,0.1775,27.91,0.0628
2017-10-11,591089.0,5698097.96,0.64,4.83,0.38,5.76,0.0,4966412.32,406285.0,515188.0,3916587.4,,,,,,,,0.31,,33543.0,,,,,,,78528.0,3.91,0.75,,,3.79,3.79,10320670.0,99491258.8,,99.0,3.8,24.16,0.2015,31.7,0.0551
2017-10-12,572938.0,5419993.48,0.62,4.55,0.36,5.58,0.0,4725251.08,358628.0,499498.0,3392620.88,,,8093.0,0.21,,,,0.56,20177.0,55750.0,,,0.21,8093.0,,,35867.0,3.42,0.34,,,3.35,3.35,10333356.0,97753547.76,,99.36,3.33,24.56,0.2214,34.4,0.0536
2017-10-13,465878.0,4374594.42,0.51,3.68,0.3,4.48,0.0,3684992.82,344262.0,392438.0,3232620.18,,,12653.0,,,,,0.26,,27019.0,,,,12653.0,,,107060.0,3.24,1.07,,,3.2,3.2,10401290.0,97668113.1,,98.36,3.19,27.03,0.2174,30.29,0.0434
2017-10-16,423945.0,3963885.75,0.46,3.35,0.27,4.06,0.0,3306496.6,328343.0,353636.0,3070007.05,,,609.0,,,,,0.16,,16528.0,,,,609.0,,,38802.0,3.08,0.37,,,3.06,3.06,10418273.0,97410852.55,,97.89,3.05,23.35,0.2248,33.29,0.0394
2017-10-17,396875.0,3810000.0,0.43,3.35,0.25,3.81,0.0,3004473.6,301273.0,312966.0,2892220.8,,,,,,,,0.35,,40670.0,,,,,,13600.0,40670.0,2.86,0.4,,,2.8,2.8,10446282.0,100284307.2,,98.18,2.83,19.1,0.2219,36.44,0.0369
2017-10-18,391565.0,3684626.65,0.43,3.24,0.25,3.79,0.0,2895042.96,295963.0,307656.0,2785011.83,,,,,,,,0.07,,5310.0,,,,,,,5310.0,2.81,0.04,,,2.78,2.78,10366635.0,97550035.35,,99.09,2.76,19.71,0.2197,35.94,0.0367
2017-10-19,370338.0,3447846.78,0.4,3.12,0.24,3.51,0.0,2666653.99,274736.0,286429.0,2557792.16,,,,,,,,0.21,,21227.0,,,,,,,21227.0,2.57,0.22,,,2.58,2.58,10362217.0,96472240.27,,97.13,2.58,20.77,0.2339,38.32,0.0348
2017-10-20,361035.0,3393729.0,0.39,3.0,0.23,3.42,0.0,2407800.6,268140.0,256149.0,2520516.0,,,,,,,,0.05,,6596.0,,,,,,,30280.0,2.51,0.3,,,2.51,2.51,10395341.0,97716205.4,,97.5,2.51,21.25,0.2458,39.91,0.0339
2017-10-23,361035.0,3393729.0,0.39,2.99,0.23,3.43,0.0,2407800.6,268140.0,256149.0,2520516.0,,,,,,,,,,,,,,,,,,2.52,,,,2.52,2.52,10353076.0,97318914.4,,97.43,2.52,21.31,0.2452,39.74,0.034
2017-10-24,355562.0,3367172.14,0.39,2.96,0.23,3.39,0.0,2425731.03,262667.0,256149.0,2487456.49,,,,,,,,0.05,,5473.0,,,,,,,,2.48,,,,2.48,2.48,10343821.0,97955984.87,,97.27,2.48,21.54,0.2523,40.49,0.0335
2017-10-25,347435.0,3238094.2,0.38,2.91,0.22,3.3,0.0,2387308.68,254540.0,256149.0,2372312.8,,,,,,,,0.08,,8127.0,,,,,,,,2.39,,,,2.41,2.41,10327274.0,96250193.68,,97.37,2.39,22.24,0.2617,40.98,0.0328
2017-10-26,347435.0,3300632.5,0.38,2.92,0.22,3.32,0.0,2433415.5,254540.0,256149.0,2418130.0,,,,,,,,,,,,,,,,,,2.4,,,,2.43,2.43,10210184.0,96996748.0,,95.9,2.44,22.11,0.2646,41.6,0.0332
