,ETL FP Equity_DX_SI_QTY,ETL FP Equity_DX_SHORT_INTEREST_VALUE,ETL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ETL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ETL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ETL FP Equity_DX_SI_MV,ETL FP Equity_DX_DSS,ETL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ETL FP Equity_DX_SUPPLY_SI_QTY,ETL FP Equity_DX_BROKER_SI_QTY,ETL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ETL FP Equity_DX_BROKER_SI_MV_NEW_x,ETL FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ETL FP Equity_DX_SUPPLY_SI_QTY_INC_x,ETL FP Equity_DX_BROKER_SI_MV_INC_x,ETL FP Equity_DX_SUPPLY_SI_MV_NEW,ETL FP Equity_DX_BROKER_SI_QTY_ADD,ETL FP Equity_DX_BROKER_SI_QTY_NEW,ETL FP Equity_DX_SUPPLY_SI_MV_DEC,ETL FP Equity_DX_BROKER_SI_QTY_INC,ETL FP Equity_DX_SUPPLY_SI_QTY_DEC,ETL FP Equity_DX_BROKER_SI_MV_NEW_y,ETL FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ETL FP Equity_DX_BROKER_SI_MV_INC_y,ETL FP Equity_DX_SUPPLY_SI_QTY_INC_y,ETL FP Equity_DX_BROKER_SI_MV_ADD,ETL FP Equity_DX_SUPPLY_SI_QTY_ADD,ETL FP Equity_DX_BROKER_SI_QTY_DEC,ETL FP Equity_DX_SUPPLY_SI_MV,ETL FP Equity_DX_BROKER_SI_MV_DEC,ETL FP Equity_DX_SUPPLY_SI_MV_RMV,ETL FP Equity_DX_BROKER_SI_MV_RMV,ETL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ETL FP Equity_DX_UTILIZATION_QUANTITY,ETL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ETL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ETL FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ETL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ETL FP Equity_DX_ACTIVE_UTILIZATION_MV,ETL FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ETL FP Equity_DX_BROKER_SI_CON_RATIO,ETL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ETL FP Equity_DX_DEMAND_SUPPLY_RATIO
2008-09-24,4384894.0,53080472.4,5.04,8.74,2.0,82.78,1.0,43671177.41,1266947.0,3607607.0,15336777.87,,,64558.0,0.19,,7000.0,,3.6,13608.0,181279.0,,,0.19,64558.0,0.13,68374.0,286320.0,23.57,5.49,,,5.13,5.13,23415204.0,283448149.43,,433.16,5.16,12.52,0.2778,47.99,0.1777
2008-09-25,3945518.0,47061602.64,4.53,7.85,1.8,73.67,1.0,38647305.59,1195092.0,3240086.0,14254895.0,,,17557.0,5.77,,,,0.53,299025.0,28270.0,,,5.77,17557.0,,,666546.0,21.92,13.07,1.13,,4.81,4.81,23629180.0,281845648.65,61142.0,431.09,4.84,12.7,0.2599,45.32,0.1589
2008-09-26,3865445.0,46233517.94,4.44,7.71,1.76,71.88,1.0,38753772.0,1049818.0,3240086.0,12556582.58,,,29244.0,,,,,3.22,,174518.0,,,,29244.0,,,,19.09,,,,4.22,4.22,23856902.0,285345802.77,,434.27,4.21,13.03,0.2715,46.31,0.1552
2008-09-29,3917205.0,46003079.72,4.5,7.64,1.78,72.64,1.0,38074581.42,1160925.0,3242086.0,13633732.55,,,113307.0,0.05,,,,0.05,2000.0,2200.0,,,0.05,113307.0,,,,21.03,,,,4.64,4.64,23855084.0,280150599.97,,429.64,4.67,13.9,0.2692,45.9,0.1566
2008-09-30,3784578.0,46683970.65,4.35,7.33,1.72,70.76,1.0,39316418.65,1053679.0,3187305.0,12997464.84,,,24954.0,0.01,,,,2.49,3854.0,141584.0,,,0.01,24954.0,,9384.0,58635.0,19.44,1.21,,,4.2,4.2,24010936.0,296182515.3,,444.01,4.19,12.88,0.2704,46.05,0.151
2008-10-01,3915597.0,47734013.9,4.5,7.27,1.78,73.72,1.0,39083735.0,1165984.0,3206019.0,14214204.49,,,28612.0,0.93,,23635.0,,0.26,32187.0,14800.0,,,0.93,28612.0,0.46,98493.0,37108.0,21.65,0.61,,,4.64,4.64,23988046.0,292431964.09,,445.93,4.63,15.37,0.2675,45.46,0.1557
2008-10-02,3951165.0,48894672.37,4.54,7.13,1.8,74.43,1.0,39673678.17,1201552.0,3206019.0,14868903.57,,,70000.0,,,,,0.61,,34432.0,,,,70000.0,,,,22.33,,,,4.79,4.79,23868336.0,295364650.35,,443.76,4.79,16.4,0.2653,44.92,0.1576
2008-10-03,4375904.0,51361215.67,5.02,7.51,1.99,81.87,1.0,42489180.88,1232291.0,3620019.0,14463745.96,,,10739.0,7.88,,,,,414000.0,,,,7.88,10739.0,,20000.0,,22.59,,,,4.93,4.93,23756304.0,278834419.88,,432.9,4.96,14.58,0.3059,50.49,0.1751
2008-10-06,4407845.0,49505611.72,5.06,7.39,2.01,80.43,1.0,40657340.5,1202885.0,3620019.0,13509902.86,,54000.0,356.0,,0.92,,,1.89,,97151.0,,54000.0,,356.0,,13389.0,,21.11,,,,4.81,4.81,23797984.0,267281121.64,,414.88,4.84,13.61,0.3065,50.94,0.1763
2008-10-07,4357999.0,45824017.6,5.0,7.21,1.98,76.25,1.0,37272936.41,1228292.0,3544766.0,12915394.02,,,233243.0,0.26,,,,3.59,15894.0,207836.0,,,0.26,233243.0,,,91147.0,20.39,3.11,,,4.93,4.93,23701414.0,249218508.86,,389.9,4.97,10.43,0.3185,52.99,0.1748
2008-10-08,3759391.0,39480289.32,4.32,6.11,1.71,64.92,1.0,33430824.17,1035259.0,3183349.0,10872060.09,,,26032.0,,,,,3.82,,219065.0,,,,26032.0,,,361417.0,16.57,6.61,,,4.15,4.15,23929700.0,251304394.59,,386.23,4.11,10.07,0.3279,54.0,0.1506
2008-10-09,3786636.0,39567329.35,4.35,5.87,1.72,65.23,1.0,32778983.54,1108869.0,3136984.0,11586797.6,,,,,,23635.0,,0.89,,55361.0,,,,,0.4,128971.0,70000.0,17.77,1.19,,,4.42,4.42,23952416.0,250283664.1,,383.75,4.43,9.95,0.3138,52.69,0.1511
2008-10-10,3417811.0,33534659.82,3.92,5.22,1.56,58.33,1.0,28146760.76,1008345.0,2868683.0,9893615.11,,,,0.0,,10000.0,,1.61,44158.0,100524.0,,,0.0,,0.19,,,15.83,,,5.13,4.06,4.06,23836428.0,233876742.83,,366.51,4.14,11.33,0.3788,58.89,0.1376
2008-10-13,3811207.0,39097725.64,4.38,5.72,1.74,62.59,1.0,32757231.46,1066950.0,3193142.0,10945434.97,5.03,,14619.0,,,2000.0,322459.0,0.18,,11562.0,5.03,,,14619.0,0.03,55548.0,,16.13,,,,4.27,4.27,23915270.0,245337675.22,,371.29,4.16,10.43,0.3123,52.54,0.1526
2008-10-14,3800122.0,40632275.71,4.36,5.62,1.73,63.18,1.0,34044070.64,1065045.0,3183962.0,11387845.46,,,99224.0,,,,,1.58,,101129.0,,,,99224.0,,,9180.0,16.88,0.0,,,4.27,4.27,23887024.0,255408680.29,,385.95,4.19,9.97,0.3099,52.33,0.1523
2008-10-15,3581335.0,36598340.61,4.11,5.24,1.63,59.58,1.0,30438509.6,1051656.0,2978564.0,10747071.83,,,,,,,,0.16,,13389.0,,,,,,,205398.0,16.82,3.2,,,4.21,4.21,23903318.0,244272533.51,,379.46,4.25,11.01,0.2904,50.11,0.1435
2008-10-16,3559191.0,35085575.77,4.09,5.11,1.62,57.98,1.0,29361906.37,1029512.0,2978564.0,10148660.55,,,13389.0,,,,,0.54,,35533.0,,,,13389.0,,,,15.76,,,,4.16,4.16,23698600.0,233614612.38,,363.11,4.16,10.73,0.3005,51.19,0.1439
2008-10-17,3312947.0,34617656.7,3.8,4.68,1.51,53.83,1.0,29097467.99,977173.0,2784659.0,10210679.33,,,1623.0,,,,,0.88,,58962.0,,,,1623.0,,5000.0,193905.0,15.0,3.21,,,3.98,3.98,23594456.0,246543267.29,,370.84,3.89,11.17,0.299,51.03,0.1348
2008-10-20,3238947.0,35845280.48,3.72,4.49,1.47,54.24,1.0,30054075.76,972173.0,2715659.0,10758994.78,,,,,,,,0.08,,5000.0,,,,,,,69000.0,15.79,1.06,,,3.97,3.97,23528104.0,260384466.61,,390.21,3.89,11.78,0.3006,51.28,0.1322
2008-10-21,3096878.0,33825262.11,3.56,4.21,1.41,52.81,1.0,28179781.5,965758.0,2580005.0,10548370.8,,,,,,,,0.11,,6415.0,,,,,,,135654.0,16.22,2.06,,,3.93,3.93,23628548.0,258079856.32,,395.8,3.94,12.98,0.2796,48.75,0.1259
2008-10-22,2864532.0,30873337.49,3.29,3.87,1.3,48.45,1.0,26380365.93,845758.0,2447659.0,9115406.0,,,,,,,,2.87,,175000.0,,,,,,55000.0,132346.0,14.17,2.6,,,3.45,3.45,23661458.0,255018334.02,,391.75,3.49,14.01,0.2809,48.19,0.1169
2008-10-23,2713491.0,29334611.57,3.12,3.65,1.24,45.74,1.0,23519701.48,959696.0,2175604.0,10374941.13,,,,,,,,0.26,,16062.0,,,,,,130000.0,272055.0,15.63,4.24,,,3.88,3.88,23786060.0,257142858.02,,392.09,3.83,14.15,0.2914,49.42,0.1097
2008-10-24,2947923.0,31442763.53,3.38,3.95,1.34,49.72,1.0,25713759.44,958933.0,2410799.0,10228049.91,,,,3.45,,21000.0,,0.01,230025.0,763.0,,,3.45,,0.49,,15830.0,15.93,0.22,,,3.88,3.88,23760400.0,253430173.94,,389.49,3.93,13.13,0.2531,45.23,0.1193
2008-10-27,2978093.0,30766412.02,3.42,3.95,1.36,49.59,1.0,25051414.36,975003.0,2424899.0,10072668.66,,,10000.0,0.14,,5000.0,,0.28,9100.0,16849.0,,,0.14,10000.0,0.08,22919.0,,15.8,,,,3.95,3.95,23711824.0,244964729.73,,379.53,4.0,12.95,0.253,45.33,0.1206
2008-10-28,3163808.0,32435513.1,3.63,4.23,1.44,51.38,1.0,25065223.16,1140718.0,2444899.0,11694696.27,,,130073.0,0.3,,,,,20000.0,,,,0.3,130073.0,,35642.0,,17.65,,,,4.62,4.62,23549966.0,241435393.89,,370.04,4.55,11.8,0.2375,43.34,0.1281
2008-10-29,3428084.0,37307645.53,3.94,4.6,1.56,56.29,1.0,27557518.23,1317718.0,2532175.0,14340650.95,,,50000.0,1.33,,,,0.37,87276.0,23000.0,,,1.33,50000.0,,150000.0,,20.9,,,,69.56,5.33,576509.0,6274115.05,,9.46,68.85,11.55,0.223,41.91,0.1387
2008-10-30,3710694.0,40236958.07,4.26,5.11,1.69,62.31,1.0,27728759.97,1575328.0,2557175.0,17082089.41,,,67086.0,0.74,,,,0.01,25000.0,2000.0,,,0.74,67086.0,,192524.0,,25.93,,,,68.33,6.38,730170.0,7917607.78,,12.01,68.34,10.54,0.2185,41.38,0.1502
2008-10-31,3609694.0,39782264.85,4.14,5.1,1.64,61.1,1.0,27069387.15,1575328.0,2456175.0,17361614.51,,,10000.0,,,,,1.03,,64218.0,,,,10000.0,,54218.0,101000.0,26.34,1.66,,,67.8,6.84,748225.0,8246151.92,,12.51,67.79,10.94,0.2132,40.46,0.1566
2008-11-03,3461087.0,39554705.22,3.97,5.14,1.58,58.99,1.0,26698754.89,1546721.0,2336175.0,17676554.57,,,,,,,,0.4,,28607.0,,,,,,,120000.0,26.19,1.91,,,65.01,6.25,832624.0,9515564.59,,14.41,64.51,11.49,0.2128,40.28,0.1398
2008-11-04,3260770.0,36751100.24,3.74,4.77,1.48,56.09,1.0,25349735.15,1433404.0,2249175.0,16155440.0,,,,,,,,1.92,,113317.0,,,,,,,87000.0,24.38,1.14,,,5.79,5.79,23324980.0,262888421.45,,403.77,5.7,12.11,0.197,37.69,0.1317
2008-11-05,3620027.0,38207041.04,4.16,5.3,1.65,61.74,1.0,26732982.26,1508949.0,2532887.0,15925979.66,,,61197.0,5.4,,,,0.19,320000.0,5755.0,,,5.4,61197.0,,20103.0,36288.0,25.19,0.57,,,6.09,6.09,23250924.0,245398448.01,,383.04,6.17,10.82,0.2317,43.04,0.1462
2008-11-06,3613713.0,37261699.22,4.15,5.2,1.65,60.07,1.0,26117091.63,1502635.0,2532887.0,15493962.42,,,4091.0,,,,,0.43,,17234.0,,,,4091.0,,6829.0,,23.9,,,,6.06,6.06,23285232.0,240098566.51,,370.09,6.07,10.69,0.2352,43.52,0.1458
2008-11-07,3728777.0,38693195.29,4.28,5.37,1.7,61.35,1.0,26283548.56,1617699.0,2532887.0,16786722.12,,,141144.0,,,,,1.3,,79580.0,,,,141144.0,,53500.0,,25.46,,,,6.62,6.62,22815228.0,236751640.72,,361.6,6.58,15.85,0.2317,42.26,0.1526
2008-11-10,2758575.0,28262915.85,3.17,4.01,1.26,44.42,1.0,14219440.96,1432509.0,1387875.0,14676737.56,,,79741.0,0.01,,,,5.7,421.0,362641.0,,,0.01,79741.0,,97710.0,1145433.0,22.52,19.64,,,5.86,5.86,23006232.0,235709813.6,,362.19,5.85,27.88,0.1974,29.5,0.1129
2008-11-11,2409886.0,23756027.1,2.77,3.5,1.1,38.34,1.0,10562182.84,1400234.0,1071461.0,13803141.25,,,1200.0,,,,,0.57,,33475.0,,,,1200.0,,,316414.0,21.52,5.09,,,5.81,5.81,22693730.0,223708866.23,,346.54,5.85,24.66,0.1931,30.37,0.1
2008-11-12,2339950.0,23235771.45,2.69,3.48,1.07,37.29,1.0,10497778.45,1344584.0,1057175.0,13351758.17,,,4600.0,,,,,0.98,,60650.0,,,,4600.0,,400.0,14286.0,20.8,0.22,,,5.58,5.58,22740508.0,225813904.82,,345.09,5.69,25.35,0.2029,32.13,0.0972
2008-11-13,2204002.0,22941631.7,2.53,3.33,1.0,34.16,1.0,9336683.95,1368836.0,896975.0,14248322.54,,,3269.0,0.13,,,,0.55,10000.0,34467.0,,,0.13,3269.0,,55450.0,170200.0,20.37,2.83,,,5.71,5.71,22623304.0,235487766.48,,342.18,5.62,28.05,0.2206,32.35,0.0919
2008-11-14,2226773.0,23635829.57,2.56,3.42,1.01,35.29,1.0,9786199.12,1366607.0,921975.0,14505695.08,,,,0.38,,,,0.02,25000.0,2229.0,,,0.38,,,,,21.09,,,,5.69,5.69,22632628.0,240231464.15,,349.42,5.69,28.24,0.2219,32.45,0.0928
2008-11-17,2237311.0,23456771.02,2.57,3.5,1.02,35.51,1.0,9750191.47,1369145.0,929975.0,14354607.28,,,15363.0,,,8000.0,,0.25,,12825.0,,,,15363.0,0.12,,,21.13,,,,6.08,6.08,21147072.0,221713488.04,,325.5,6.09,28.06,0.218,31.94,0.0994
2008-11-18,2215906.0,23141364.99,2.54,3.47,1.01,35.02,1.0,9712005.34,1347740.0,929975.0,14074849.41,,,1595.0,,,,,0.36,,23000.0,,,,1595.0,,,,20.64,,,,5.98,5.98,21189060.0,221283651.61,,324.15,5.99,28.45,0.2226,32.26,0.0983
2008-11-19,2448073.0,25465432.54,2.81,3.89,1.11,38.38,1.0,10279229.34,1521707.0,988175.0,15829154.99,,,102907.0,0.79,,6600.0,,0.02,51600.0,1940.0,,,0.79,102907.0,0.1,73000.0,,23.4,,,,6.73,6.73,21085052.0,219331682.2,,321.65,6.78,28.01,0.2117,30.74,0.1083
2008-11-20,2714232.0,28642732.38,3.12,4.42,1.24,42.54,1.0,10745921.14,1782740.0,1018301.0,18812888.78,,,94077.0,0.46,,,,0.19,30126.0,12171.0,,,0.46,94077.0,,179127.0,,27.5,,,,7.85,7.85,20936924.0,220943055.37,,322.39,7.86,26.36,0.2101,27.82,0.1195
2008-11-21,2976683.0,31677148.88,3.42,4.86,1.36,46.67,1.0,12166735.92,1920191.0,1143301.0,20434213.58,,,94312.0,,,150000.0,,0.74,,47861.0,,,,94312.0,2.43,91000.0,25000.0,29.59,0.39,,,8.47,8.47,20763172.0,220956712.76,,322.51,8.4,25.25,0.1976,25.28,0.1312
2008-11-24,3065026.0,33896794.04,3.52,5.1,1.4,47.93,1.0,13572680.98,1924562.0,1227273.0,21284152.8,,,,0.91,,,,,83972.0,,,,0.91,,,4371.0,,29.94,,,,8.49,8.49,20740146.0,229369818.48,,331.47,8.28,24.49,0.1971,25.42,0.1352
2008-11-25,2973038.0,32289438.44,3.41,4.94,1.35,47.3,1.0,12421022.35,1916186.0,1143661.0,20811227.4,,,10747.0,,,,,0.45,,26511.0,,,,10747.0,,7388.0,83612.0,30.44,1.28,,,8.44,8.44,20795182.0,225851384.71,,331.88,8.4,25.49,0.1972,26.14,0.1309
2008-11-26,2948038.0,32179320.54,3.39,4.93,1.34,47.13,1.0,12210748.6,1916186.0,1118661.0,20916135.92,,,700.0,,,,,0.01,,700.0,,,,700.0,,,25000.0,30.64,0.37,,,8.44,8.44,20787560.0,226906694.04,,332.04,8.45,25.84,0.1973,26.39,0.1298
2008-11-27,3040904.0,33734076.84,3.49,5.26,1.38,48.81,1.0,13408204.62,1969052.0,1208661.0,21843554.25,,,3843.0,0.63,,50000.0,,,40000.0,,,,0.63,3843.0,0.81,49023.0,,31.65,,,,8.65,8.65,20789382.0,230625698.78,,336.22,8.6,25.28,0.1923,25.53,0.1336
2008-11-28,2912375.0,32806524.99,3.34,5.19,1.33,47.56,1.0,13614993.71,1840523.0,1208661.0,20732619.87,,,84158.0,,,,,3.31,,213961.0,,,,84158.0,,1274.0,,30.31,,,,8.07,8.07,20974080.0,236263077.25,,344.63,8.08,27.01,0.2189,28.91,0.1277
2008-12-01,2914509.0,32471541.53,3.35,5.35,1.33,47.45,1.0,13466105.56,1842657.0,1208661.0,20529671.82,,,11555.0,,,,,0.16,,9421.0,,,,11555.0,,,,30.16,,,,8.04,8.04,21077588.0,234832616.43,,344.23,8.06,27.21,0.2186,28.63,0.1272
2008-12-02,2889738.0,32492201.48,3.32,5.43,1.32,46.97,1.0,12983003.25,1871886.0,1154661.0,21047478.03,,,30236.0,,,,,0.02,,1170.0,,,,30236.0,,163.0,54000.0,30.56,0.84,,,8.09,8.09,21262142.0,239071431.98,,348.48,8.06,27.04,0.2201,30.2,0.1249
2008-12-03,3074254.0,36733904.39,3.53,5.72,1.4,51.22,1.0,13802884.78,2055902.0,1155161.0,24565734.49,0.01,,151760.0,,,,500.0,0.04,,2377.0,0.01,,,151760.0,,34633.0,,34.82,,,,8.72,8.72,21527450.0,257229002.59,,368.84,8.63,25.44,0.2074,30.62,0.1304
2008-12-04,3180863.0,37724772.75,3.65,5.92,1.45,53.95,1.0,15182307.34,2036431.0,1280136.0,24151903.65,,,84769.0,2.11,,,,0.82,126080.0,53020.0,,,2.11,84769.0,,165.0,1105.0,35.21,0.03,0.84,,9.1,9.1,20341212.0,241245096.11,51385.0,353.22,9.06,23.76,0.2141,31.07,0.1421
2008-12-05,3477376.0,40432271.09,3.99,6.46,1.58,59.04,1.0,17116872.56,2236944.0,1472136.0,26009475.6,,,98851.0,3.34,,,,0.02,192000.0,1120.0,,,3.34,98851.0,,102782.0,,38.45,,,,9.91,9.91,20333390.0,236421122.32,,347.56,9.96,27.21,0.2181,29.25,0.1541
2008-12-08,3611679.0,42191578.16,4.15,6.67,1.64,60.82,1.0,18319875.03,2275167.0,1568216.0,26578465.67,,,75079.0,1.65,,,,0.18,96080.0,11756.0,,,1.65,75079.0,,,,38.77,,0.44,,10.1,10.1,20250408.0,236564952.71,25100.0,344.9,10.1,26.91,0.2101,29.17,0.1603
2008-12-09,3661679.0,41873554.13,4.2,6.84,1.67,61.43,1.0,18505296.42,2275167.0,1618216.0,26017935.63,,,1300.0,0.81,,,,0.06,50000.0,3330.0,,,0.81,1300.0,,2030.0,,38.49,,,,10.01,10.01,20459128.0,233962726.89,,344.36,10.05,26.61,0.2046,28.26,0.1611
2008-12-10,3906788.0,43847698.04,4.49,7.44,1.78,64.49,1.0,19733275.59,2420276.0,1758216.0,27163882.77,,,40860.0,2.31,,,,0.43,140000.0,22943.0,,,2.31,40860.0,,139388.0,,39.98,,0.21,,10.48,10.48,20682134.0,232125205.28,12196.0,341.31,10.49,25.86,0.208,30.51,0.1691
2008-12-11,4060713.0,45797588.27,4.66,7.7,1.85,66.05,1.0,19829535.47,2576855.0,1758216.0,29062320.91,,,1590.0,,,,,1.6,,90682.0,,,,1590.0,,245671.0,,41.78,,,,10.97,10.97,20917676.0,235914016.33,,344.54,10.82,25.42,0.1973,29.45,0.1728
2008-12-12,4407341.0,49495799.05,5.06,8.4,2.01,72.19,1.0,24267236.71,2920829.0,2160870.0,32801810.72,,,7871.0,6.59,,,,1.37,402654.0,84531.0,,,6.59,7871.0,,420634.0,,47.88,,,,12.64,12.64,20183184.0,226663382.62,,331.64,12.62,22.39,0.1778,26.86,0.1908
2008-12-15,4329331.0,48738235.11,4.97,8.45,1.97,70.35,1.0,24177787.61,2856019.0,2147670.0,32152155.96,,,,,,,,1.07,,64810.0,,,,,,,13200.0,46.27,0.27,,,12.14,12.14,20660860.0,232593408.14,,339.73,11.99,21.37,0.1769,27.27,0.1841
2008-12-16,4209834.0,47479406.75,4.83,8.57,1.92,68.07,1.0,22566791.72,2883273.0,2000919.0,32518168.54,,,65841.0,,,,,0.69,,38587.0,,,,65841.0,,,146751.0,46.45,2.38,,,12.27,12.27,20610112.0,232445243.86,,339.39,12.04,20.96,0.1699,26.42,0.1792
2008-12-17,4052183.0,46422402.11,4.65,8.42,1.84,65.86,1.0,21669392.76,2835033.0,1891508.0,32478553.39,,,,0.47,,,,0.79,28843.0,48240.0,,,0.47,,,,138254.0,45.98,2.38,,,12.07,12.07,20650484.0,236574970.06,,343.66,11.8,21.03,0.1768,27.16,0.1725
2008-12-18,3565861.0,40277549.85,4.09,7.67,1.62,59.94,1.0,20925590.15,2387630.0,1852589.0,26969050.77,,,35419.0,,,,,8.16,,510638.0,,,,35419.0,,27816.0,38919.0,40.59,0.62,,,10.15,10.15,21141732.0,238802680.37,,351.26,10.36,24.79,0.1931,30.56,0.1515
2008-12-19,3796475.0,44688121.22,4.36,8.01,1.73,64.09,1.0,21041222.33,2683278.0,1787555.0,31584733.88,,,21903.0,0.31,,,,4.25,15252.0,248032.0,,,0.31,21903.0,,521777.0,80286.0,45.81,1.33,,,11.38,11.38,20885786.0,245845563.74,,355.49,11.42,23.63,0.1932,26.26,0.1611
2008-12-22,4095965.0,46279261.0,4.7,8.05,1.86,68.56,1.0,20464387.28,2954114.0,1811209.0,33377778.57,,,12517.0,0.87,,,,0.53,50000.0,28748.0,,,0.87,12517.0,,287067.0,26346.0,50.07,0.44,,,12.53,12.53,20624100.0,233026431.31,,345.61,12.66,21.33,0.1776,26.2,0.1737
2008-12-23,4216426.0,48563692.87,4.84,8.22,1.92,70.07,1.0,21252923.03,3040550.0,1845234.0,35020260.37,,,123905.0,0.67,,,,1.01,46673.0,56857.0,,,0.67,123905.0,,19388.0,12648.0,50.65,0.16,,,12.89,12.89,20553906.0,236734518.34,,344.16,12.83,21.93,0.1868,27.52,0.1787
2008-12-24,4294809.0,49466487.78,4.93,8.38,1.96,71.3,1.0,21398645.46,3106281.0,1857886.0,35777332.85,,,48996.0,0.26,,,,1.06,12652.0,62603.0,,,0.26,48996.0,,79338.0,,51.84,,,,13.14,13.14,20528152.0,236437890.49,,343.43,13.12,20.63,0.179,27.38,0.1817
2008-12-25,4294809.0,49466487.78,4.93,8.58,1.96,71.28,1.0,21398645.46,3106281.0,1857886.0,35777332.85,,,,,,,,,,,,,,,,,,51.84,,,,13.18,13.18,20464636.0,235706329.8,,339.71,13.24,20.58,0.1794,27.42,0.1822
2008-12-26,4349778.0,50099606.36,4.99,8.69,1.98,72.51,1.0,21659545.28,3138598.0,1880538.0,36149551.61,,,32317.0,0.37,,,,,22652.0,,,,0.37,32317.0,,,,52.6,,,,13.31,13.31,20439146.0,235412742.64,,343.79,13.27,20.23,0.1739,26.88,0.1845
2008-12-29,4275998.0,49249827.6,4.91,8.55,1.95,72.03,1.0,21831770.02,3049865.0,1895491.0,35127548.11,,,1425.0,0.42,,,,1.48,20238.0,90158.0,,,0.42,1425.0,,,5285.0,51.76,0.09,,,12.93,12.93,20541888.0,236596098.15,,345.93,13.02,20.7,0.1824,27.77,0.1813
2008-12-30,4201810.0,48596637.45,4.82,8.73,1.91,70.56,1.0,20823837.43,3061381.0,1800491.0,35406841.94,,,43808.0,,,,,0.56,,32292.0,,,,43808.0,,,95000.0,51.84,1.55,,,12.96,12.96,20564172.0,237837886.78,,347.47,12.98,20.44,0.1743,25.96,0.1779
2008-12-31,4201810.0,48596637.45,4.82,8.91,1.91,71.35,1.0,20823837.43,3061381.0,1800491.0,35406841.94,,,,,,,,,,,,,,,,,,52.45,,,,12.96,12.96,20562116.0,237814107.82,,352.58,12.95,20.47,0.1739,25.76,0.1779
2009-01-01,4169196.0,48219435.54,4.79,9.1,1.9,69.94,1.0,20775261.73,3032967.0,1796291.0,35078215.74,,,,,,,,0.5,,28414.0,,,,,,,4200.0,51.23,0.03,,,12.84,12.84,20586264.0,238093394.98,,351.53,12.72,20.49,0.1739,26.22,0.1765
2009-01-02,4168414.0,50307115.32,4.79,9.1,1.9,71.19,1.0,21751213.1,3026185.0,1802291.0,36521957.22,,,2353.0,0.09,,,,0.17,6000.0,9863.0,,,0.09,2353.0,,728.0,,52.17,,,,13.03,13.03,20200984.0,243798536.26,,352.02,12.91,20.94,0.1737,25.91,0.1795
2009-01-05,4192726.0,51590445.03,4.81,9.21,1.91,73.87,1.0,22959137.61,2986912.0,1865876.0,36753205.28,,,,1.44,,,,0.67,70000.0,39273.0,,,1.44,,,,6415.0,53.65,0.09,,,12.84,12.84,20268344.0,249396904.77,,361.81,12.91,20.74,0.1737,25.95,0.1803
2009-01-06,4128839.0,49843626.65,4.74,9.1,1.88,72.63,1.0,21136598.18,2964817.0,1750868.0,35791473.49,,,58461.0,,,,,1.61,,92358.0,,,,58461.0,,11802.0,115008.0,53.16,2.16,,,12.77,12.77,20248464.0,244440841.55,,359.85,12.87,20.79,0.1696,25.53,0.1779
2009-01-07,4077526.0,48763742.42,4.68,9.07,1.86,70.55,1.0,20614476.06,2940631.0,1723741.0,35167445.32,,51385.0,,,0.9,,,1.56,,75571.0,,51385.0,,,,,27127.0,51.39,0.51,,,12.3,12.3,20975468.0,250848754.53,,367.61,12.27,20.78,0.172,25.87,0.1705
2009-01-08,4184228.0,49166437.54,4.8,9.29,1.91,71.71,1.0,21939515.21,2915048.0,1867126.0,34253039.13,,,11100.0,2.5,,,,0.68,143385.0,36683.0,,,2.5,11100.0,,,,50.49,,,,12.21,12.21,20952152.0,246196591.73,,362.01,12.24,20.05,0.1714,27.56,0.1753
2009-01-09,4087075.0,48388461.68,4.69,9.05,1.86,70.48,1.0,24567639.18,2580544.0,2075077.0,30552058.49,,,81141.0,3.62,,,,7.3,207951.0,427645.0,,,3.62,81141.0,,12000.0,,44.9,,,,10.78,10.78,21364624.0,252944046.7,,369.49,10.84,20.73,0.1825,28.8,0.1707
2009-01-12,4249370.0,49495670.11,4.88,9.29,1.93,72.6,1.0,24343389.65,2727954.0,2089962.0,31774571.58,,,,0.21,,,,1.49,15385.0,84845.0,,,0.21,,,232255.0,500.0,46.99,0.01,,,11.47,11.47,21061632.0,245320974.5,,360.44,11.53,19.35,0.1676,27.78,0.1786
2009-01-13,3894201.0,44825739.26,4.47,8.4,1.77,66.02,1.0,21536447.34,2612385.0,1870962.0,30070889.73,,,21606.0,,,,,2.46,,139911.0,,,,21606.0,,2736.0,219000.0,44.54,3.76,,,11.0,11.0,21130904.0,243235619.57,,356.82,11.1,21.18,0.1561,24.51,0.164
