,ALMAR FP Equity_DX_SI_QTY,ALMAR FP Equity_DX_SHORT_INTEREST_VALUE,ALMAR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALMAR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALMAR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALMAR FP Equity_DX_SI_MV,ALMAR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALMAR FP Equity_DX_SUPPLY_SI_QTY,ALMAR FP Equity_DX_BROKER_SI_QTY,ALMAR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALMAR FP Equity_DX_SUPPLY_SI_MV,ALMAR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALMAR FP Equity_DX_UTILIZATION_QUANTITY,ALMAR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALMAR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALMAR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALMAR FP Equity_DX_ACTIVE_UTILIZATION_MV,ALMAR FP Equity_DX_BROKER_SI_CON_RATIO,ALMAR FP Equity_DX_DEMAND_SUPPLY_RATIO,ALMAR FP Equity_PX_LAST
2021-08-02,,,,,,,,,,,,,,,,,,,,3.3
2021-08-03,,,,,,,,,,,,,,,,,,,,3.07
2021-08-04,,,,,,,,,,,,,,,,,,,,3.0
2021-08-05,,,,,,,,,,,,,,,,,,,,2.98
2021-08-06,,,,,,,,,,,,,,,,,,,,3.01
2021-08-09,,,,,,,,,,,,,,,,,,,,3.04
2021-08-10,,,,,,,,,,,,,,,,,,,,3.08
2021-08-11,,,,,,,,,,,,,,,,,,,,3.08
2021-08-12,,,,,,,,,,,,,,,,,,,,3.09
2021-08-13,,,,,,,,,,,,,,,,,,,,3.0
2021-08-16,,,,,,,,,,,,,,,,,,,,3.06
2021-08-17,,,,,,,,,,,,,,,,,,,,3.0
2021-08-18,,,,,,,,,,,,,,,,,,,,3.1
2021-08-19,,,,,,,,,,,,,,,,,,,,3.0
2021-08-20,,,,,,,,,,,,,,,,,,,,3.02
2021-08-23,,,,,,,,,,,,,,,,,,,,3.0
2021-08-24,,,,,,,,,,,,,,,,,,,,3.01
2021-08-25,,,,,,,,,,,,,,,,,,,,3.01
2021-08-26,,,,,,,,,,,,,,,,,,,,3.05
2021-08-27,,,,,,,,,,,,,,,,,,,,3.1
2021-08-30,,,,,,,,,,,,,,,,,,,,3.08
2021-08-31,,,,,,,,,,,,,,,,,,,,3.02
2021-09-01,,,,,,,,,,,,,,,,,,,,3.04
2021-09-02,,,,,,,,,,,,,,,,,,,,3.27
2021-09-03,,,,,,,,,,,,,,,,,,,,3.12
2021-09-06,,,,,,,,,,,,,,,,,,,,3.11
2021-09-07,,,,,,,,,,,,,,,,,,,,3.03
2021-09-08,,,,,,,,,,,,,,,,,,,,2.95
2021-09-09,,,,,,,,,,,,,,,,,,,,2.97
2021-09-10,,,,,,,,,,,,,,,,,,,,2.99
2021-09-13,,,,,,,,,,,,,,,,,,,,2.96
2021-09-14,,,,,,,,,,,,,,,,,,,,3.04
2021-09-15,,,,,,,,,,,,,,,,,,,,3.01
2021-09-16,,,,,,,,,,,,,,,,,,,,3.08
2021-09-17,,,,,,,,,,,,,,,,,,,,3.06
2021-09-20,,,,,,,,,,,,,,,,,,,,3.08
2021-09-21,,,,,,,,,,,,,,,,,,,,3.03
2021-09-22,,,,,,,,,,,,,,,,,,,,3.13
2021-09-23,,,,,,,,,,,,,,,,,,,,3.15
2021-09-24,,,,,,,,,,,,,,,,,,,,3.11
2021-09-27,,,,,,,,,,,,,,,,,,,,3.12
2021-09-28,,,,,,,,,,,,,,,,,,,,3.13
2021-09-29,,,,,,,,,,,,,,,,,,,,3.27
2021-09-30,,,,,,,,,,,,,,,,,,,,3.2
2021-10-01,,,,,,,,,,,,,,,,,,,,3.29
2021-10-04,,,,,,,,,,,,,,,,,,,,3.29
2021-10-05,,,,,,,,,,,,,,,,,,,,3.29
2021-10-06,,,,,,,,,,,,,,,,,,,,3.2
2021-10-07,,,,,,,,,,,,,,,,,,,,3.17
2021-10-08,,,,,,,,,,,,,,,,,,,,3.16
2021-10-11,,,,,,,,,,,,,,,,,,,,3.08
2021-10-12,,,,,,,,,,,,,,,,,,,,3.17
2021-10-13,,,,,,,,,,,,,,,,,,,,3.08
2021-10-14,,,,,,,,,,,,,,,,,,,,3.17
2021-10-15,,,,,,,,,,,,,,,,,,,,3.13
2021-10-18,,,,,,,,,,,,,,,,,,,,3.01
2021-10-19,,,,,,,,,,,,,,,,,,,,3.12
2021-10-20,,,,,,,,,,,,,,,,,,,,3.11
2021-10-21,,,,,,,,,,,,,,,,,,,,3.08
2021-10-22,,,,,,,,,,,,,,,,,,,,3.27
2021-10-25,,,,,,,,,,,,,,,,,,,,3.28
2021-10-26,,,,,,,,,,,,,,,,,,,,3.26
2021-10-27,,,,,,,,,,,,,,,,,,,,3.18
2021-10-28,,,,,,,,,,,,,,,,,,,,3.17
2021-10-29,,,,,,,,,,,,,,,,,,,,3.14
2021-11-01,,,,,,,,,,,,,,,,,,,,3.15
2021-11-02,,,,,,,,,,,,,,,,,,,,3.26
2021-11-03,,,,,,,,,,,,,,,,,,,,3.23
2021-11-04,,,,,,,,,,,,,,,,,,,,3.13
2021-11-05,,,,,,,,,,,,,,,,,,,,3.18
2021-11-08,,,,,,,,,,,,,,,,,,,,3.18
2021-11-09,,,,,,,,,,,,,,,,,,,,3.18
2021-11-10,,,,,,,,,,,,,,,,,,,,3.07
2021-11-11,,,,,,,,,,,,,,,,,,,,3.17
2021-11-12,,,,,,,,,,,,,,,,,,,,3.2
2021-11-15,,,,,,,,,,,,,,,,,,,,3.08
2021-11-16,,,,,,,,,,,,,,,,,,,,3.11
2021-11-17,,,,,,,,,,,,,,,,,,,,3.12
2021-11-18,,,,,,,,,,,,,,,,,,,,3.1
2021-11-19,,,,,,,,,,,,,,,,,,,,3.15
2021-11-22,,,,,,,,,,,,,,,,,,,,3.15
2021-11-23,,,,,,,,,,,,,,,,,,,,3.2
2021-11-24,,,,,,,,,,,,,,,,,,,,3.2
2021-11-25,,,,,,,,,,,,,,,,,,,,3.2
2021-11-26,,,,,,,,,,,,,,,,,,,,3.05
2021-11-29,,,,,,,,,,,,,,,,,,,,2.95
2021-11-30,,,,,,,,,,,,,,,,,,,,2.97
2021-12-01,,,,,,,,,,,,,,,,,,,,2.98
2021-12-02,,,,,,,,,,,,,,,,,,,,3.02
2021-12-03,,,,,,,,,,,,,,,,,,,,3.0
2021-12-06,,,,,,,,,,,,,,,,,,,,3.0
2021-12-07,,,,,,,,,,,,,,,,,,,,3.01
2021-12-08,,,,,,,,,,,,,,,,,,,,3.0
2021-12-09,,,,,,,,,,,,,,,,,,,,3.01
2021-12-10,,,,,,,,,,,,,,,,,,,,3.02
2021-12-13,,,,,,,,,,,,,,,,,,,,2.84
2021-12-14,,,,,,,,,,,,,,,,,,,,2.84
2021-12-15,,,,,,,,,,,,,,,,,,,,2.98
2021-12-16,,,,,,,,,,,,,,,,,,,,2.89
2021-12-17,,,,,,,,,,,,,,,,,,,,2.89
2021-12-20,,,,,,,,,,,,,,,,,,,,2.84
2021-12-21,,,,,,,,,,,,,,,,,,,,2.9
2021-12-22,,,,,,,,,,,,,,,,,,,,2.9
2021-12-23,,,,,,,,,,,,,,,,,,,,2.85
2021-12-24,,,,,,,,,,,,,,,,,,,,2.91
2021-12-27,,,,,,,,,,,,,,,,,,,,2.91
2021-12-28,,,,,,,,,,,,,,,,,,,,2.82
2021-12-29,,,,,,,,,,,,,,,,,,,,2.84
2021-12-30,,,,,,,,,,,,,,,,,,,,2.87
2021-12-31,,,,,,,,,,,,,,,,,,,,2.87
2022-01-03,,,,,,,,,,,,,,,,,,,,2.85
2022-01-04,,,,,,,,,,,,,,,,,,,,2.9
2022-01-05,,,,,,,,,,,,,,,,,,,,3.03
2022-01-06,,,,,,,,,,,,,,,,,,,,3.05
2022-01-07,,,,,,,,,,,,,,,,,,,,3.06
2022-01-10,,,,,,,,,,,,,,,,,,,,3.0
2022-01-11,,,,,,,,,,,,,,,,,,,,3.08
2022-01-12,,,,,,,,,,,,,,,,,,,,3.21
2022-01-13,,,,,,,,,,,,,,,,,,,,3.2
2022-01-14,,,,,,,,,,,,,,,,,,,,3.19
2022-01-17,,,,,,,,,,,,,,,,,,,,3.06
2022-01-18,,,,,,,,,,,,,,,,,,,,3.15
2022-01-19,,,,,,,,,,,,,,,,,,,,3.2
2022-01-20,,,,,,,,,,,,,,,,,,,,3.12
2022-01-21,,,,,,,,,,,,,,,,,,,,3.18
2022-01-24,,,,,,,,,,,,,,,,,,,,3.09
2022-01-25,,,,,,,,,,,,,,,,,,,,3.1
2022-01-26,,,,,,,,,,,,,,,,,,,,3.1
2022-01-27,,,,,,,,,,,,,,,,,,,,3.06
2022-01-28,,,,,,,,,,,,,,,,,,,,3.0
2022-01-31,,,,,,,,,,,,,,,,,,,,3.0
2022-02-01,,,,,,,,,,,,,,,,,,,,3.0
2022-02-02,,,,,,,,,,,,,,,,,,,,2.98
2022-02-03,,,,,,,,,,,,,,,,,,,,2.92
2022-02-04,,,,,,,,,,,,,,,,,,,,2.92
2022-02-07,,,,,,,,,,,,,,,,,,,,3.09
2022-02-08,,,,,,,,,,,,,,,,,,,,3.09
2022-02-09,,,,,,,,,,,,,,,,,,,,2.98
2022-02-10,,,,,,,,,,,,,,,,,,,,2.93
2022-02-11,,,,,,,,,,,,,,,,,,,,2.93
2022-02-14,,,,,,,,,,,,,,,,,,,,2.86
2022-02-15,,,,,,,,,,,,,,,,,,,,2.87
2022-02-16,,,,,,,,,,,,,,,,,,,,2.98
2022-02-17,,,,,,,,,,,,,,,,,,,,2.88
2022-02-18,,,,,,,,,,,,,,,,,,,,2.89
2022-02-21,,,,,,,,,,,,,,,,,,,,2.94
2022-02-22,,,,,,,,,,,,,,,,,,,,2.96
2022-02-23,,,,,,,,,,,,,,,,,,,,2.96
2022-02-24,,,,,,,,,,,,,,,,,,,,2.86
2022-02-25,,,,,,,,,,,,,,,,,,,,2.89
2022-02-28,,,,,,,,,,,,,,,,,,,,2.67
2022-03-01,,,,,,,,,,,,,,,,,,,,2.81
2022-03-02,,,,,,,,,,,,,,,,,,,,2.93
2022-03-03,,,,,,,,,,,,,,,,,,,,2.89
2022-03-04,,,,,,,,,,,,,,,,,,,,2.72
2022-03-07,,,,,,,,,,,,,,,,,,,,2.72
2022-03-08,,,,,,,,,,,,,,,,,,,,2.76
2022-03-09,,,,,,,,,,,,,,,,,,,,2.53
2022-03-10,,,,,,,,,,,,,,,,,,,,2.38
2022-03-11,,,,,,,,,,,,,,,,,,,,2.41
2022-03-14,,,,,,,,,,,,,,,,,,,,2.52
2022-03-15,,,,,,,,,,,,,,,,,,,,2.5
2022-03-16,,,,,,,,,,,,,,,,,,,,2.67
2022-03-17,,,,,,,,,,,,,,,,,,,,2.7
2022-03-18,,,,,,,,,,,,,,,,,,,,2.6
2022-03-21,,,,,,,,,,,,,,,,,,,,2.72
2022-03-22,,,,,,,,,,,,,,,,,,,,2.7
2022-03-23,,,,,,,,,,,,,,,,,,,,2.7
2022-03-24,,,,,,,,,,,,,,,,,,,,2.72
2022-03-25,,,,,,,,,,,,,,,,,,,,2.6
2022-03-28,,,,,,,,,,,,,,,,,,,,2.68
2022-03-29,,,,,,,,,,,,,,,,,,,,2.71
2022-03-30,,,,,,,,,,,,,,,,,,,,2.71
2022-03-31,,,,,,,,,,,,,,,,,,,,2.91
2022-04-01,,,,,,,,,,,,,,,,,,,,2.9
2022-04-04,,,,,,,,,,,,,,,,,,,,2.85
2022-04-05,,,,,,,,,,,,,,,,,,,,2.91
2022-04-06,,,,,,,,,,,,,,,,,,,,2.78
2022-04-07,,,,,,,,,,,,,,,,,,,,2.8
2022-04-08,,,,,,,,,,,,,,,,,,,,2.85
2022-04-11,,,,,,,,,,,,,,,,,,,,2.93
2022-04-12,,,,,,,,,,,,,,,,,,,,2.94
2022-04-13,,,,,,,,,,,,,,,,,,,,3.12
2022-04-14,,,,,,,,,,,,,,,,,,,,3.18
2022-04-19,,,,,,,,,,,,,,,,,,,,3.15
2022-04-20,,,,,,,,,,,,,,,,,,,,3.22
2022-04-21,,,,,,,,,,,,,,,,,,,,3.26
2022-04-22,,,,,,,,,,,,,,,,,,,,3.26
2022-04-25,,,,,,,,,,,,,,,,,,,,3.26
2022-04-26,,,,,,,,,,,,,,,,,,,,3.3
2022-04-27,,,,,,,,,,,,,,,,,,,,3.25
2022-04-28,,,,,,,,,,,,,,,,,,,,3.42
2022-04-29,,,,,,,,,,,,,,,,,,,,3.3
2022-05-02,,,,,,,,,,,,,,,,,,,,3.14
2022-05-03,,,,,,,,,,,,,,,,,,,,3.14
2022-05-04,,,,,,,,,,,,,,,,,,,,3.15
2022-05-05,,,,,,,,,,,,,,,,,,,,3.2
2022-05-06,,,,,,,,,,,,,,,,,,,,3.1
2022-05-09,,,,,,,,,,,,,,,,,,,,3.17
2022-05-10,,,,,,,,,,,,,,,,,,,,3.17
2022-05-11,,,,,,,,,,,,,,,,,,,,3.01
2022-05-12,,,,,,,,,,,,,,,,,,,,3.27
2022-05-13,,,,,,,,,,,,,,,,,,,,3.26
2022-05-16,,,,,,,,,,,,,,,,,,,,3.26
2022-05-17,,,,,,,,,,,,,,,,,,,,2.98
2022-05-18,,,,,,,,,,,,,,,,,,,,3.0
2022-05-19,,,,,,,,,,,,,,,,,,,,2.98
2022-05-20,,,,,,,,,,,,,,,,,,,,2.98
2022-05-23,,,,,,,,,,,,,,,,,,,,3.21
2022-05-24,,,,,,,,,,,,,,,,,,,,3.2
2022-05-25,,,,,,,,,,,,,,,,,,,,3.12
2022-05-26,,,,,,,,,,,,,,,,,,,,3.13
2022-05-27,,,,,,,,,,,,,,,,,,,,3.01
2022-05-30,,,,,,,,,,,,,,,,,,,,3.01
2022-05-31,,,,,,,,,,,,,,,,,,,,3.18
2022-06-01,,,,,,,,,,,,,,,,,,,,3.02
2022-06-02,,,,,,,,,,,,,,,,,,,,3.19
2022-06-03,,,,,,,,,,,,,,,,,,,,3.19
2022-06-06,,,,,,,,,,,,,,,,,,,,3.22
2022-06-07,,,,,,,,,,,,,,,,,,,,3.1
2022-06-08,,,,,,,,,,,,,,,,,,,,2.98
2022-06-09,,,,,,,,,,,,,,,,,,,,2.99
2022-06-10,,,,,,,,,,,,,,,,,,,,3.16
2022-06-13,,,,,,,,,,,,,,,,,,,,2.98
2022-06-14,,,,,,,,,,,,,,,,,,,,2.97
2022-06-15,,,,,,,,,,,,,,,,,,,,2.97
2022-06-16,,,,,,,,,,,,,,,,,,,,2.91
2022-06-17,,,,,,,,,,,,,,,,,,,,2.82
2022-06-20,,,,,,,,,,,,,,,,,,,,2.96
2022-06-21,,,,,,,,,,,,,,,,,,,,2.96
2022-06-22,,,,,,,,,,,,,,,,,,,,2.95
2022-06-23,,,,,,,,,,,,,,,,,,,,2.83
2022-06-24,,,,,,,,,,,,,,,,,,,,2.83
2022-06-27,,,,,,,,,,,,,,,,,,,,2.82
2022-06-28,,,,,,,,,,,,,,,,,,,,2.83
2022-06-29,,,,,,,,,,,,,,,,,,,,2.83
2022-06-30,,,,,,,,,,,,,,,,,,,,2.78
2022-07-01,,,,,,,,,,,,,,,,,,,,2.78
2022-07-04,,,,,,,,,,,,,,,,,,,,2.78
2022-07-05,,,,,,,,,,,,,,,,,,,,2.79
2022-07-06,,,,,,,,,,,,,,,,,,,,2.8
2022-07-07,,,,,,,,,,,,,,,,,,,,2.8
2022-07-08,,,,,,,,,,,,,,,,,,,,2.79
2022-07-11,,,,,,,,,,,,,,,,,,,,2.71
2022-07-12,,,,,,,,,,,,,,,,,,,,2.74
2022-07-13,,,,,,,,,,,,,,,,,,,,2.75
2022-07-14,,,,,,,,,,,,,,,,,,,,2.76
2022-07-15,,,,,,,,,,,,,,,,,,,,2.77
2022-07-18,,,,,,,,,,,,,,,,,,,,2.96
2022-07-19,,,,,,,,,,,,,,,,,,,,2.8
2022-07-20,,,,,,,,,,,,,,,,,,,,2.79
2022-07-21,,,,,,,,,,,,,,,,,,,,2.9
2022-07-22,,,,,,,,,,,,,,,,,,,,2.89
2022-07-25,,,,,,,,,,,,,,,,,,,,2.9
2022-07-26,,,,,,,,,,,,,,,,,,,,2.89
2022-07-27,,,,,,,,,,,,,,,,,,,,2.89
2022-07-28,,,,,,,,,,,,,,,,,,,,2.85
2022-07-29,,,,,,,,,,,,,,,,,,,,2.84
2022-08-01,,,,,,,,,,,,,,,,,,,,2.62
2022-08-02,,,,,,,,,,,,,,,,,,,,2.72
2022-08-03,,,,,,,,,,,,,,,,,,,,2.8
2022-08-04,,,,,,,,,,,,,,,,,,,,2.83
2022-08-05,,,,,,,,,,,,,,,,,,,,2.83
2022-08-08,,,,,,,,,,,,,,,,,,,,2.83
2022-08-09,,,,,,,,,,,,,,,,,,,,2.81
2022-08-10,,,,,,,,,,,,,,,,,,,,2.71
2022-08-11,,,,,,,,,,,,,,,,,,,,2.79
2022-08-12,,,,,,,,,,,,,,,,,,,,2.81
2022-08-15,,,,,,,,,,,,,,,,,,,,2.72
2022-08-16,,,,,,,,,,,,,,,,,,,,2.85
2022-08-17,,,,,,,,,,,,,,,,,,,,2.8
2022-08-18,,,,,,,,,,,,,,,,,,,,2.74
2022-08-19,,,,,,,,,,,,,,,,,,,,2.71
2022-08-22,,,,,,,,,,,,,,,,,,,,2.72
2022-08-23,,,,,,,,,,,,,,,,,,,,2.7
2022-08-24,,,,,,,,,,,,,,,,,,,,2.7
2022-08-25,,,,,,,,,,,,,,,,,,,,2.71
2022-08-26,,,,,,,,,,,,,,,,,,,,2.74
2022-08-29,,,,,,,,,,,,,,,,,,,,2.74
2022-08-30,,,,,,,,,,,,,,,,,,,,2.83
2022-08-31,,,,,,,,,,,,,,,,,,,,2.82
2022-09-01,,,,,,,,,,,,,,,,,,,,2.82
2022-09-02,,,,,,,,,,,,,,,,,,,,2.83
2022-09-05,,,,,,,,,,,,,,,,,,,,2.81
2022-09-06,,,,,,,,,,,,,,,,,,,,2.81
2022-09-07,,,,,,,,,,,,,,,,,,,,2.81
2022-09-08,,,,,,,,,,,,,,,,,,,,2.8
2022-09-09,,,,,,,,,,,,,,,,,,,,2.66
2022-09-12,,,,,,,,,,,,,,,,,,,,2.6
2022-09-13,,,,,,,,,,,,,,,,,,,,2.57
2022-09-14,,,,,,,,,,,,,,,,,,,,2.74
2022-09-15,,,,,,,,,,,,,,,,,,,,2.59
2022-09-16,,,,,,,,,,,,,,,,,,,,2.57
2022-09-19,,,,,,,,,,,,,,,,,,,,2.57
2022-09-20,,,,,,,,,,,,,,,,,,,,2.57
2022-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,5092.17,0.0,0.0,0.0,0.0,2.69
2022-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,5073.24,0.01,0.0,0.0,0.0,2.68
2022-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4883.94,0.01,0.0,0.0,0.0,2.58
2022-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4883.94,0.0,0.0,0.0,0.0,2.58
2022-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4883.94,0.0,0.0,0.0,0.0,2.58
2022-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4902.87,0.0,0.0,0.0,0.0,2.59
2022-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4883.94,0.0,0.0,0.0,0.0,2.58
2022-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,5111.1,0.0,0.0,0.0,0.0,2.7
2022-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,5016.45,0.01,0.0,0.0,0.0,2.65
2022-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,5054.31,0.0,0.0,0.0,0.0,2.67
2022-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,5016.45,0.01,0.0,0.0,0.0,2.65
2022-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,5016.45,0.01,0.0,0.0,0.0,2.65
2022-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,5016.45,0.01,0.0,0.0,0.0,2.65
2022-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,5016.45,0.01,0.0,0.0,0.0,2.65
2022-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4732.5,0.01,0.0,0.0,0.0,2.5
2022-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4637.85,0.0,0.0,0.0,0.0,2.45
2022-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4637.85,0.0,0.0,0.0,0.0,2.45
2022-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,5111.1,0.0,0.0,0.0,0.0,2.7
2022-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4808.22,0.01,0.0,0.0,0.0,2.54
2022-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4921.8,0.0,0.0,0.0,0.0,2.6
2022-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4921.8,0.01,0.0,0.0,0.0,2.6
2022-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4770.36,0.0,0.0,0.0,0.0,2.52
2022-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4997.52,0.0,0.0,0.0,0.0,2.64
2022-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4808.22,0.01,0.0,0.0,0.0,2.54
2022-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,5073.24,0.0,0.0,0.0,0.0,2.68
2022-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,5054.31,0.01,0.0,0.0,0.0,2.67
2022-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4637.85,0.01,0.0,0.0,0.0,2.45
2022-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4637.85,0.0,0.0,0.0,0.0,2.45
2022-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4656.78,0.0,0.0,0.0,0.0,2.46
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4808.22,0.0,0.0,0.0,0.0,2.54
2022-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4959.66,0.0,0.0,0.0,0.0,2.62
2022-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4675.71,0.0,0.0,0.0,0.0,2.47
2022-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4675.71,0.0,0.0,0.0,0.0,2.47
2022-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4637.85,0.0,0.0,0.0,0.0,2.45
2022-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4637.85,0.0,0.0,0.0,0.0,2.45
2022-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,5148.96,0.0,0.0,0.0,0.0,2.72
2022-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4732.5,0.01,0.0,0.0,0.0,2.5
2022-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,5016.45,0.0,0.0,0.0,0.0,2.65
2022-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4883.94,0.01,0.0,0.0,0.0,2.58
2022-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4770.36,0.0,0.0,0.0,0.0,2.52
2022-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4789.29,0.0,0.0,0.0,0.0,2.53
2022-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4770.36,0.0,0.0,0.0,0.0,2.52
2022-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4770.36,0.0,0.0,0.0,0.0,2.52
2022-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4789.29,0.0,0.0,0.0,0.0,2.53
2022-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4789.29,0.0,0.0,0.0,0.0,2.53
2022-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4808.22,0.0,0.0,0.0,0.0,2.54
2022-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4789.29,0.0,0.0,0.0,0.0,2.53
2022-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4789.29,0.0,0.0,0.0,0.0,2.53
2022-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,4789.29,0.0,0.0,0.0,0.0,2.53
2022-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893.0,5338.26,0.0,0.0,0.0,0.0,2.82
