,SK FP Equity_DX_SI_QTY,SK FP Equity_DX_SHORT_INTEREST_VALUE,SK FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,SK FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SK FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SK FP Equity_DX_SI_MV,SK FP Equity_DX_DSS,SK FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SK FP Equity_DX_SUPPLY_SI_QTY,SK FP Equity_DX_BROKER_SI_QTY,SK FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SK FP Equity_DX_BROKER_SI_MV_NEW_x,SK FP Equity_DX_SUPPLY_SI_QTY_NEW_x,SK FP Equity_DX_SUPPLY_SI_QTY_INC_x,SK FP Equity_DX_BROKER_SI_MV_INC_x,SK FP Equity_DX_SUPPLY_SI_MV_NEW,SK FP Equity_DX_BROKER_SI_QTY_ADD,SK FP Equity_DX_BROKER_SI_QTY_NEW,SK FP Equity_DX_SUPPLY_SI_MV_DEC,SK FP Equity_DX_BROKER_SI_QTY_INC,SK FP Equity_DX_SUPPLY_SI_QTY_DEC,SK FP Equity_DX_BROKER_SI_MV_NEW_y,SK FP Equity_DX_SUPPLY_SI_QTY_NEW_y,SK FP Equity_DX_BROKER_SI_MV_INC_y,SK FP Equity_DX_SUPPLY_SI_QTY_INC_y,SK FP Equity_DX_BROKER_SI_MV_ADD,SK FP Equity_DX_SUPPLY_SI_QTY_ADD,SK FP Equity_DX_BROKER_SI_QTY_DEC,SK FP Equity_DX_SUPPLY_SI_MV,SK FP Equity_DX_BROKER_SI_MV_DEC,SK FP Equity_DX_SUPPLY_SI_MV_RMV,SK FP Equity_DX_BROKER_SI_MV_RMV,SK FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SK FP Equity_DX_UTILIZATION_QUANTITY,SK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SK FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SK FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,SK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SK FP Equity_DX_ACTIVE_UTILIZATION_MV,SK FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SK FP Equity_DX_BROKER_SI_CON_RATIO,SK FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SK FP Equity_DX_DEMAND_SUPPLY_RATIO
2009-09-24,87954.0,2814124.75,0.26,1.12,0.18,3.19,0.0,2634310.52,43740.0,82334.0,1399479.46,,,,,,,,,,,,,,,,,1000.0,1.2,0.04,,,100.0,1.48,0.0,0.0,,0.0,100.0,22.89,0.2566,40.23,0.0298
2009-09-25,80365.0,2583813.87,0.24,1.01,0.16,2.88,0.0,2403125.34,31421.0,74745.0,1010216.08,,,,,,,,0.01,,12319.0,,,,,,,7589.0,1.16,0.28,,,100.0,1.02,0.0,0.0,,0.0,100.0,25.07,0.2339,34.61,0.0262
2009-09-28,76283.0,2470374.49,0.23,0.99,0.15,2.71,0.0,2288374.51,28350.0,70663.0,918095.99,,,,,,,,0.11,,3071.0,,,,,,,4082.0,1.06,0.15,,,100.0,0.91,0.0,0.0,,0.0,100.0,26.72,0.256,35.96,0.0246
2009-09-29,73212.0,2341182.84,0.22,0.98,0.15,2.6,0.0,2161465.75,24550.0,67592.0,785063.09,,,,,,,,0.14,,3800.0,,,,,,,3071.0,0.92,0.12,,,100.0,0.8,0.0,0.0,,0.0,100.0,28.03,0.2476,33.0,0.024
2009-09-30,67846.0,2127662.37,0.2,0.89,0.14,2.39,0.0,1951418.19,21009.0,62226.0,658845.9,,,,,,,,0.14,,3541.0,,,,,,,5366.0,0.78,0.21,,,0.72,0.72,2912472.0,91335628.71,,107.09,0.72,29.68,0.2514,30.52,0.0231
2009-10-01,63930.0,1966731.34,0.19,0.85,0.13,2.23,0.0,1793838.64,21907.0,58310.0,673943.12,,,898.0,,,,,,,,,,,898.0,,,3916.0,0.78,0.16,,,0.73,0.73,2988436.0,91935722.42,,108.74,0.71,26.27,0.2483,32.74,0.0212
2009-10-02,63930.0,1924186.51,0.19,0.84,0.13,2.21,0.0,1755033.87,16936.0,58310.0,509745.39,,,,,,,,0.16,,4971.0,,,,,,,,0.6,,,,0.57,0.57,2930642.0,88207442.6,,103.63,0.58,26.55,0.2512,32.96,0.0217
2009-10-05,60232.0,1820951.7,0.18,0.77,0.12,2.04,0.0,1651046.19,10856.0,54612.0,328201.81,,,,,,,,0.22,,6080.0,,,,,,,3698.0,0.38,0.16,,,0.37,0.37,2936161.0,88766890.59,,102.3,0.37,28.78,0.2634,35.58,0.0204
2009-10-06,54152.0,1653286.08,0.16,0.68,0.11,1.8,0.0,1481704.83,6900.0,48532.0,210660.25,,,,,,,,0.14,,3956.0,,,,,,,6080.0,0.24,0.23,,,0.23,0.23,2933646.0,89565594.65,,102.65,0.23,32.53,0.291,39.93,0.0184
2009-10-07,52696.0,1680109.71,0.16,0.63,0.11,1.75,0.0,1421219.27,9400.0,44576.0,299700.76,,2500.0,,,0.09,,,,,,,2500.0,,,,,3956.0,0.33,0.14,,,0.29,0.29,3256036.0,103812389.98,,116.31,0.28,33.45,0.3011,41.26,0.0161
2009-10-08,33326.0,1096378.12,0.1,0.38,0.07,1.05,0.0,829241.64,8120.0,25206.0,267136.48,,,,,,,,0.05,,1280.0,,,,,,,,0.3,,,0.72,2.69,0.25,293996.0,9672051.32,,10.63,2.72,19.82,0.372,56.07,0.0104
2009-10-09,32046.0,1058976.35,0.09,0.37,0.06,1.01,0.0,790646.82,8120.0,23926.0,268329.52,,,,,,,,,,,,,,,,,1280.0,0.31,0.05,,,2.69,0.25,293996.0,9715247.13,,11.02,2.72,21.2,0.4008,58.11,0.0099
2009-10-12,34746.0,1137388.4,0.1,0.4,0.07,1.11,0.0,783202.52,10820.0,23926.0,354185.88,,,,,,,,,,,,,,,,2700.0,,0.41,,,,0.33,0.33,3235912.0,105925538.47,,123.26,0.33,21.24,0.3996,57.98,0.0107
2009-10-13,32446.0,1071633.7,0.1,0.37,0.06,1.02,0.0,796838.89,8320.0,24126.0,274794.81,,,,,,2700.0,,0.1,,2500.0,,,,,0.1,,2500.0,0.32,0.1,,,0.28,0.28,2926403.0,96653889.1,,110.98,0.28,23.14,0.4729,63.77,0.0111
2009-10-14,31046.0,1037468.7,0.09,0.35,0.06,0.98,0.0,759438.05,8320.0,22726.0,278030.65,,,,,,,,,,,,,,,,,1400.0,0.32,0.04,,,0.28,0.28,2928363.0,97857532.73,,111.99,0.28,24.39,0.4558,61.82,0.0106
2009-10-15,31046.0,1038139.51,0.09,0.35,0.06,0.99,0.0,759929.09,8320.0,22726.0,278210.42,,,,,,,,,,,,,,,,,,0.32,,,,0.28,0.28,2930268.0,97984506.23,,113.18,0.28,24.57,0.4534,61.54,0.0106
2009-10-16,31046.0,1038139.51,0.09,0.36,0.06,0.99,0.0,759929.09,8320.0,22726.0,278210.42,,,,,,,,,,,,,,,,,,0.32,,,,0.28,0.28,2912441.0,97388393.59,,112.76,0.28,24.57,0.4532,61.52,0.0106
2009-10-19,28346.0,949324.8,0.08,0.33,0.06,0.88,0.0,761107.58,5620.0,22726.0,188217.22,,,,,,,,0.1,,2700.0,,,,,,,,0.22,,,,0.19,0.19,2920331.0,97803663.28,,112.77,0.19,24.57,0.4532,61.52,0.0097
2009-10-20,25189.0,828573.51,0.07,0.3,0.05,0.76,0.0,643707.77,5620.0,19569.0,184865.74,,,,,,,,,,,,,,,,,3157.0,0.22,0.12,,,0.19,0.19,2927978.0,96313669.49,,112.91,0.19,28.58,0.5918,71.42,0.0086
2009-10-21,46321.0,1533903.69,0.14,0.56,0.09,1.56,0.0,1289451.35,7382.0,38939.0,244452.34,0.74,,,,,,19370.0,,,,0.74,,,,,1762.0,,0.28,,,,0.25,0.25,2975979.0,98548502.32,,113.3,0.25,34.84,0.3764,47.19,0.0155
2009-10-22,51643.0,1675771.92,0.15,0.63,0.1,1.77,0.0,1263537.8,12704.0,38939.0,412234.12,,,5322.0,,,,,,,,,,,5322.0,,,,0.49,,,,0.42,0.42,3006366.0,97554048.24,,114.46,0.42,30.71,0.3448,41.87,0.0171
2009-10-23,51643.0,1651669.72,0.15,0.65,0.1,1.75,0.0,1245364.66,12704.0,38939.0,406305.06,,,,,,,,,,,,,,,,,,0.48,,,,0.42,0.42,3002930.0,96041061.96,,112.29,0.42,31.13,0.3443,41.59,0.0171
2009-10-26,51643.0,1709470.35,0.15,0.65,0.1,1.76,0.0,1288946.54,12704.0,38939.0,420523.81,,,,,,,,,,,,,,,,,,0.48,,,,0.42,0.42,3013398.0,99748553.38,,113.29,0.42,30.99,0.3448,41.82,0.0171
2009-10-27,71096.0,2283041.31,0.21,0.85,0.14,2.52,0.0,1457214.63,25717.0,45379.0,825826.67,,,,,,6440.0,,,,,,,,,0.25,13013.0,,0.99,,,,0.85,0.85,2986505.0,95902923.89,,113.78,0.86,29.31,0.2906,39.29,0.0236
2009-10-28,78096.0,2456866.23,0.23,0.94,0.16,2.76,0.0,1427603.62,32717.0,45379.0,1029262.6,,,,,,,,,,,,,,,,7000.0,,1.23,,,,0.99,0.99,3259034.0,102527793.56,,121.03,1.0,26.99,0.2453,34.81,0.0237
2009-10-29,71096.0,2328818.88,0.21,0.84,0.14,2.46,0.0,1486433.44,25717.0,45379.0,842385.44,,,,,,,,0.27,,7000.0,,,,,,,,0.93,,,,0.85,0.85,2989180.0,97913508.81,,109.85,0.84,30.33,0.2878,37.85,0.0236
2009-10-30,74933.0,2454503.56,0.22,0.89,0.15,2.65,0.0,1486433.44,29554.0,45379.0,968070.12,,,862.0,,,,,0.02,,862.0,,,,862.0,,3837.0,,1.11,,,,0.9,0.9,3243992.0,106260124.6,,122.24,0.9,28.18,0.2619,36.62,0.0229
2009-11-02,87080.0,2820404.5,0.26,1.02,0.17,3.1,0.0,1469764.99,41701.0,45379.0,1350639.5,,,,,,,,,,,,,,,,12147.0,,1.57,,,,1.28,1.28,3219210.0,104265897.52,,121.05,1.28,23.94,0.211,31.07,0.0267
2009-11-03,87080.0,2755303.76,0.26,1.01,0.17,3.14,0.0,1820183.79,41701.0,57526.0,1319463.97,,,,,,12147.0,,,,,,,,,0.49,,,1.56,,,,1.29,1.29,3200613.0,101270797.52,,119.62,1.29,23.79,0.2106,30.87,0.0269
2009-11-04,87080.0,2903567.86,0.26,1.01,0.17,3.11,0.0,1918128.67,48112.0,57526.0,1604231.24,,,6411.0,,,,,,,,,,,6411.0,,,,1.81,,,,1.48,1.48,3198112.0,106636830.57,,116.99,1.52,23.93,0.2108,30.69,0.0268
2009-11-05,93491.0,3110870.06,0.28,1.08,0.19,3.38,0.0,2127474.29,48112.0,63937.0,1600904.69,,,,0.23,,,,,6411.0,,,,0.23,,,,,1.84,,,,1.48,1.48,3192329.0,106223280.35,,121.24,1.5,22.06,0.2085,29.27,0.0289
2009-11-06,91505.0,3130199.02,0.27,1.07,0.18,3.32,0.0,1995589.54,51726.0,58337.0,1769440.74,,,,,,,,0.11,,3054.0,,,,,,6668.0,5600.0,2.01,0.22,,,1.58,1.58,3217905.0,110077952.98,,124.27,1.59,26.41,0.2507,31.06,0.028
2009-11-09,90722.0,3131641.31,0.27,1.03,0.18,3.33,0.0,2013740.43,50943.0,58337.0,1758506.24,,,,,,,,0.03,,783.0,,,,,,,,2.0,,,,1.7,1.7,2945435.0,101673749.58,,115.01,1.71,27.41,0.2559,31.15,0.0303
2009-11-10,63970.0,2125531.53,0.19,0.72,0.13,2.32,0.0,1405535.55,43561.0,42301.0,1447401.58,,,,0.13,,,,0.28,3334.0,7382.0,,,0.13,,,,,1.71,,,0.75,1.47,1.47,2912032.0,96758102.88,,115.14,1.46,33.5,0.3351,40.1,0.0216
2009-11-11,73053.0,2439644.29,0.22,0.83,0.15,2.67,0.0,1625828.41,46261.0,48684.0,1544911.02,,,,0.27,,,,,6383.0,,,,0.27,,,2700.0,,1.79,,,,1.56,1.56,2910999.0,97214379.91,,112.05,1.57,28.93,0.3583,47.37,0.0247
2009-11-12,75827.0,2604044.66,0.22,0.87,0.15,2.79,0.0,1767166.44,54418.0,51458.0,1868818.52,,,,0.0,,2746.0,,,28.0,,,,0.0,,0.11,8157.0,,2.14,,,,1.84,1.84,2899298.0,99567455.73,,113.28,1.85,27.94,0.3307,45.33,0.0257
2009-11-13,74959.0,2590108.22,0.22,0.87,0.15,2.78,0.0,1748069.94,58418.0,50590.0,2018556.04,,,,,,,,,,,,,,,,4000.0,868.0,2.32,0.03,,,1.98,1.98,2894733.0,100023636.12,,115.07,1.98,28.59,0.3383,45.71,0.0254
2009-11-16,86021.0,2967508.4,0.25,1.04,0.17,3.23,0.0,2228192.74,52542.0,64590.0,1812567.0,,,,0.56,,,,0.23,14000.0,5876.0,,,0.56,,,,,2.09,,,,1.79,1.79,2883295.0,99466434.13,,114.97,1.79,23.48,0.3944,55.43,0.0293
2009-11-17,83844.0,2842769.41,0.25,1.04,0.17,3.17,0.0,2116141.49,51502.0,62413.0,1746199.02,,,,,,761.0,,0.04,,1040.0,,,,,0.03,,2938.0,2.05,0.1,,,1.71,1.71,2960065.0,100362366.28,,117.89,1.71,24.22,0.3753,53.22,0.0278
2009-11-18,81569.0,2776209.18,0.24,1.07,0.16,3.04,0.0,2088836.27,49871.0,61373.0,1697364.54,,,,,,,,0.07,,1631.0,,,,,,,1040.0,1.95,0.04,,,1.66,1.66,2946862.0,100296746.82,,115.39,1.66,23.16,0.3766,53.59,0.0272
2009-11-19,81127.0,2754855.23,0.24,1.14,0.16,3.01,0.0,2069053.26,48658.0,60931.0,1652295.12,,,,,,,,0.05,,1213.0,,,,,,,442.0,1.91,0.05,,,1.66,1.66,2874244.0,97601613.8,,113.24,1.66,23.83,0.3706,52.64,0.0278
2009-11-20,86127.0,2917942.46,0.26,1.22,0.17,3.2,0.0,2233711.43,44788.0,65931.0,1517396.48,,,,,,5000.0,,0.15,,3870.0,,,,,0.21,,,1.76,,,,1.54,1.54,2868436.0,97181269.44,,112.6,1.54,22.21,0.3269,49.09,0.0296
2009-11-23,79201.0,2746952.57,0.24,1.14,0.16,2.92,0.0,2046488.51,44256.0,59005.0,1534944.42,,,,,,,,0.02,,532.0,,,,,,,6926.0,1.75,0.27,,,1.52,1.52,2863588.0,99318700.81,,112.67,1.53,24.14,0.2994,44.38,0.0272
2009-11-24,80501.0,2782996.13,0.24,1.15,0.16,3.01,0.0,2084801.21,43478.0,60305.0,1503075.81,,,106.0,0.08,,,,0.03,1832.0,884.0,,,0.08,106.0,,,532.0,1.74,0.02,,,1.45,1.45,2960768.0,102356565.71,,118.72,1.45,24.21,0.2806,42.27,0.0268
2009-11-25,79617.0,2710460.77,0.24,1.16,0.16,2.98,0.0,2022913.32,43268.0,59421.0,1473004.72,,,,,,,,0.01,,210.0,,,,,,,884.0,1.7,0.01,,,1.48,1.48,2888118.0,98322350.08,,114.48,1.47,24.01,0.2803,42.27,0.0272
2009-11-26,79407.0,2617524.85,0.24,1.15,0.16,2.97,0.0,1951795.99,43268.0,59211.0,1426260.47,,,,,,,,,,,,,,,,,210.0,1.68,0.01,,,1.47,1.47,2896403.0,95475296.04,,113.21,1.46,24.11,0.2801,42.17,0.027
2009-11-27,106107.0,3549461.29,0.32,1.54,0.21,3.95,0.0,1980709.59,69639.0,59211.0,2329544.09,,,,,,,,0.01,,329.0,,,,,,26700.0,,2.67,,,,2.36,2.36,2877729.0,96264974.81,,110.42,2.36,31.34,0.3149,43.87,0.036
2009-11-30,105017.0,3471701.55,0.32,1.56,0.21,3.87,0.0,1921391.45,69059.0,58121.0,2282985.02,,,,,,,,0.02,,580.0,,,,,,,1090.0,2.65,0.09,,,2.32,2.32,2913867.0,96327990.57,,112.26,2.31,30.32,0.3201,45.07,0.0352
2009-12-01,99132.0,3306711.07,0.3,1.48,0.2,3.64,0.0,1908633.95,63781.0,57219.0,2127520.27,,,,,,499.0,,0.29,,7478.0,,,,,0.02,2200.0,1401.0,2.45,0.06,,,1.96,1.96,3190893.0,106437489.6,,122.16,1.97,31.49,0.3014,41.89,0.0305
2009-12-02,90375.0,2979848.53,0.27,1.34,0.18,3.31,0.0,1797602.9,57724.0,54519.0,1903278.3,,,,,,,,0.29,,7781.0,,,,,,1724.0,2700.0,2.21,0.1,,,1.77,1.77,3199993.0,105510311.92,,123.26,1.76,35.53,0.3011,37.68,0.0277
2009-12-03,93264.0,3090419.84,0.28,1.41,0.19,3.42,0.0,1902286.22,57724.0,57408.0,1912757.28,,,,0.02,,2600.0,,,588.0,,,,0.02,,0.1,,299.0,2.21,0.0,,,1.78,1.78,3190158.0,105709894.14,,121.89,1.78,34.1,0.2808,36.46,0.0287
2009-12-04,90395.0,3019570.99,0.27,1.36,0.18,3.33,0.0,1949568.24,58900.0,58363.0,1967506.29,,,,0.05,,,,0.15,955.0,3824.0,,,0.05,,,5000.0,,2.27,,,,1.82,1.82,3174778.0,106050860.5,,122.6,1.82,35.85,0.2957,36.84,0.028
2009-12-07,93671.0,3145599.35,0.28,1.39,0.19,3.49,0.0,2069921.3,58900.0,61639.0,1977941.96,,,,0.14,,,,,3276.0,,,,0.14,,,,,2.29,,,,1.81,1.81,3187818.0,107051256.26,,123.55,1.82,35.54,0.3018,38.31,0.0289
2009-12-08,95367.0,3144444.98,0.29,1.51,0.19,3.56,0.0,2094878.85,62828.0,63535.0,2071567.62,,,6179.0,,,1896.0,,0.28,,6611.0,,,,6179.0,0.08,4360.0,,2.42,,,,1.93,1.93,3192869.0,105275419.07,,123.81,1.92,34.2,0.2887,37.88,0.0293
2009-12-09,98080.0,3149130.16,0.3,1.6,0.2,3.62,0.0,2127075.6,72402.0,66248.0,2324666.82,,,9574.0,0.15,,,,,3732.0,,,,0.15,9574.0,,,1019.0,2.72,0.04,,,2.22,2.22,3185763.0,102287748.3,,120.85,2.2,32.67,0.2919,39.67,0.0301
2009-12-10,109877.0,3540725.65,0.33,1.91,0.22,4.05,0.0,2514957.03,55868.0,78045.0,1800315.45,,,,0.45,,,,0.78,11997.0,20457.0,,,0.45,,,3923.0,200.0,2.08,0.02,,,1.71,1.71,3213906.0,103566346.08,,119.54,1.71,29.21,0.2961,43.0,0.0336
2009-12-11,105910.0,3489780.86,0.32,1.93,0.21,3.88,0.0,2440902.53,67868.0,74078.0,2236280.31,,,,,,,,,,,,,,,,12000.0,3967.0,2.56,0.2,,,2.09,2.09,3186527.0,104997459.57,,119.74,2.1,31.13,0.2833,39.74,0.0325
2009-12-14,105810.0,3544098.57,0.32,1.98,0.21,3.9,0.0,2481237.44,67768.0,74078.0,2269884.43,,,,,,,,0.0,,100.0,,,,,,,,2.6,,,,2.26,2.26,2925866.0,98001677.55,,111.89,2.27,31.4,0.283,39.52,0.0353
2009-12-15,106218.0,3534355.13,0.32,2.02,0.21,3.96,0.0,2478487.42,67768.0,74486.0,2254949.06,,,,,,408.0,,,,,,,,,0.02,,,2.63,,,,2.25,2.25,2943031.0,97928003.97,,114.21,2.25,30.92,0.2809,39.67,0.0353
2009-12-16,103356.0,3504332.75,0.31,1.97,0.21,3.89,0.0,2428444.69,67387.0,71624.0,2284787.25,,,,,,,,0.02,,381.0,,,,,,,2862.0,2.62,0.08,,,2.25,2.25,2929967.0,99341879.74,,113.45,2.25,31.92,0.2773,38.29,0.0345
2009-12-17,92761.0,3136285.6,0.28,1.81,0.19,3.5,0.0,2036196.94,68806.0,60224.0,2326357.71,,,2582.0,,,,,0.03,,1163.0,,,,2582.0,,,11400.0,2.72,0.44,,,2.29,2.29,2930401.0,99078001.15,,115.38,2.31,33.25,0.2729,35.63,0.0309
2009-12-18,99458.0,3378186.39,0.3,1.98,0.2,3.78,0.0,2033168.37,74889.0,59859.0,2543676.74,,,,0.05,,,,0.05,614.0,979.0,,,0.05,,,7062.0,979.0,2.93,0.05,,,2.5,2.5,2921763.0,99240483.56,,114.26,2.5,32.1,0.2471,33.0,0.0332
2009-12-21,107135.0,3638943.07,0.32,2.26,0.21,4.08,0.0,2067134.33,81566.0,60859.0,2770467.45,,,401.0,,,1000.0,,0.03,,805.0,,,,401.0,0.04,7081.0,,3.2,,,,2.72,2.72,2919014.0,99147111.14,,114.66,2.72,29.64,0.2254,30.55,0.0357
2009-12-22,84231.0,2847518.98,0.25,1.84,0.17,3.16,0.0,2057403.54,61862.0,60859.0,2091311.03,,,6796.0,,,,,1.04,,26500.0,,,,6796.0,,,,2.43,,,,2.06,2.06,2938049.0,99323886.62,,115.5,2.06,22.39,0.2384,37.84,0.0281
2009-12-23,84679.0,2836683.13,0.26,1.89,0.17,3.17,0.0,2233026.61,56510.0,66659.0,1893042.71,,,,0.13,,2600.0,,0.22,3200.0,5352.0,,,0.13,,0.1,,,2.19,,,,1.88,1.88,2943401.0,98601730.67,,114.55,1.88,22.01,0.2644,41.77,0.0282
2009-12-24,100173.0,3341002.46,0.3,2.26,0.2,3.74,0.0,2205856.07,70262.0,66138.0,2343401.06,,,4395.0,,,,,0.09,,2263.0,,,,4395.0,,11620.0,521.0,2.71,0.02,,,2.34,2.34,2930057.0,97724213.51,,113.37,2.33,18.55,0.2126,34.94,0.0334
2009-12-25,100173.0,3341002.46,0.3,2.32,0.2,3.74,0.0,2205856.07,70262.0,66138.0,2343401.06,,,,,,,,,,,,,,,,,,2.71,,,,2.34,2.34,2929834.0,97716775.95,,113.11,2.34,18.54,0.2126,34.95,0.0334
2009-12-28,80411.0,2696488.21,0.24,1.86,0.16,2.98,0.0,2159444.04,52242.0,64396.0,1751873.96,,,,,,,,0.69,,18020.0,,,,,,,1742.0,2.02,0.07,,,1.74,1.74,2947843.0,98852444.08,,113.83,1.74,20.86,0.2607,41.39,0.0268
2009-12-29,84191.0,2826156.62,0.25,1.96,0.17,3.13,0.0,2161670.27,57051.0,64396.0,1915110.42,,,4809.0,,,,,,,,,,,4809.0,,,,2.22,,,,1.9,1.9,2943569.0,98810882.5,,114.35,1.9,24.64,0.2573,39.38,0.0281
2009-12-30,87620.0,2957165.45,0.26,2.07,0.18,3.28,0.0,2120336.9,57051.0,62825.0,1925465.03,,,,0.05,,,,0.19,1029.0,5000.0,,,0.05,,,5000.0,2600.0,2.23,0.1,,,1.9,1.9,2939599.0,99211145.83,,114.57,1.91,23.53,0.2965,45.19,0.0292
2009-12-31,88220.0,3026975.44,0.27,2.14,0.18,3.31,0.0,2073282.6,58669.0,60425.0,2013031.31,,,,,,2600.0,,0.05,,1382.0,,,,,0.1,3000.0,5000.0,2.3,0.2,,,1.94,1.94,2964598.0,101720305.16,,116.27,1.94,23.67,0.2717,42.25,0.0292
2010-01-01,88220.0,3026975.44,0.27,2.16,0.18,3.32,0.0,2073282.6,58669.0,60425.0,2013031.31,,,,,,,,,,,,,,,,,,2.3,,,,1.94,1.94,2964609.0,101720682.59,,116.54,1.94,23.64,0.2713,42.22,0.0292
2010-01-04,88220.0,3022019.43,0.27,2.16,0.18,3.31,0.0,2069888.05,57746.0,60425.0,1978117.59,,,,,,,,0.03,,923.0,,,,,,,,2.28,,,,1.9,1.9,2979487.0,102063790.59,,117.96,1.9,23.7,0.27,42.01,0.029
2010-01-05,85915.0,2967935.64,0.26,2.15,0.17,3.25,0.0,2284116.91,57746.0,66120.0,1994836.89,,,,0.25,,,,,5695.0,,,,0.25,,,,,2.3,,,,1.91,1.91,2962175.0,102328403.13,,117.83,1.92,24.39,0.2633,40.61,0.0284
2010-01-06,85915.0,2969420.72,0.26,2.2,0.17,3.25,0.0,2285259.83,57746.0,66120.0,1995835.06,,,,,,,,,,,,,,,,,,2.31,,,,1.91,1.91,2967109.0,102550136.17,,118.54,1.91,24.3,0.263,40.61,0.0284
2010-01-07,85915.0,2983529.0,0.26,2.31,0.17,3.28,0.0,2296117.53,57265.0,66120.0,1988614.19,,,,,,,,0.02,,481.0,,,,,,,,2.3,,,,1.9,1.9,2959435.0,102770879.8,,118.66,1.9,24.28,0.264,40.81,0.0285
2010-01-08,82834.0,2971037.04,0.25,2.24,0.17,3.16,0.0,2261042.62,57265.0,63039.0,2053944.47,,,,,,,,,,,,,,,,,3081.0,2.31,0.13,,,1.91,1.91,2947523.0,105719873.72,,119.1,1.9,25.68,0.278,41.45,0.0276
2010-01-11,83332.0,3062000.98,0.25,2.28,0.17,3.22,0.0,2334641.63,56910.0,63537.0,2091135.17,,,1162.0,0.03,,,,0.05,498.0,1517.0,,,0.03,1162.0,,,,2.36,,,,1.91,1.91,2926753.0,107542367.22,,121.54,1.9,26.01,0.2729,40.58,0.0279
2010-01-12,82479.0,2942977.98,0.25,2.22,0.17,3.23,0.0,2236661.83,55553.0,62684.0,1982216.75,,,,,,,,0.06,,1357.0,,,,,,,853.0,2.35,0.0,,,1.85,1.85,2940134.0,104908517.43,,124.16,1.86,25.55,0.2719,40.7,0.0275
2010-01-13,82364.0,2939230.52,0.25,2.15,0.16,3.25,0.0,2232828.84,55553.0,62569.0,1982456.82,,,,0.04,,,,,1242.0,,,,0.04,,,,1357.0,2.3,0.01,,,1.85,1.85,2948448.0,105217915.11,,121.89,1.85,25.3,0.2674,40.1,0.0274
2010-01-14,97057.0,3605326.58,0.29,2.51,0.19,3.9,0.0,2392642.37,68646.0,64411.0,2549957.74,,,8836.0,0.07,,,,,1842.0,,,,0.07,8836.0,,4257.0,,2.88,,,,2.28,2.28,2935822.0,109055473.59,,122.53,2.3,21.63,0.2213,35.34,0.0323
2010-01-15,106034.0,3982778.95,0.32,2.6,0.21,4.34,0.0,2356635.93,74286.0,62741.0,2790281.58,,,8693.0,,,,,0.17,,5007.0,,,,8693.0,,1954.0,1670.0,3.22,0.06,,,2.47,2.47,2936378.0,110294287.6,,126.67,2.48,23.51,0.2186,31.92,0.0352
2010-01-18,102697.0,3843235.43,0.31,2.37,0.21,4.25,0.0,2223079.13,73016.0,59404.0,2732481.75,,,,,,,,0.05,,1270.0,,,,,,,3337.0,3.18,0.1,,,2.43,2.43,2935318.0,109848565.64,,127.37,2.43,24.09,0.2141,30.28,0.0341
2010-01-19,79628.0,3062163.36,0.24,1.66,0.16,3.24,0.0,2155451.05,52761.0,56050.0,2028969.72,,,,,,,,0.87,,20255.0,,,,,,,3354.0,2.32,0.16,,,1.76,1.76,2949550.0,113427486.93,,128.96,1.76,27.01,0.237,34.93,0.0265
2010-01-20,78621.0,3275193.31,0.24,1.59,0.16,3.3,0.0,2292981.08,50048.0,55043.0,2084899.39,,,,0.07,,,,0.09,1302.0,2713.0,,,0.07,,,,2309.0,2.32,0.1,,,1.87,1.87,2619667.0,109130077.57,,120.03,1.89,28.55,0.2521,36.47,0.0294
2010-01-21,80206.0,3287498.28,0.24,1.28,0.16,3.41,0.0,2239553.38,52037.0,54639.0,2132902.12,,,,0.0,,,,,100.0,,,,0.0,,,1989.0,504.0,2.49,0.01,,,1.73,1.73,2951329.0,120969615.75,,141.59,1.73,28.34,0.2485,36.16,0.0267
2010-01-22,76428.0,3021672.99,0.23,1.15,0.15,3.29,0.0,2132543.3,48421.0,53939.0,1914382.53,,,,,,,,0.19,,3616.0,,,,,,,700.0,2.26,0.0,,,1.61,1.61,2958411.0,116964340.63,,138.82,1.6,27.63,0.2667,39.37,0.0254
2010-01-25,72330.0,2973427.15,0.22,1.02,0.14,3.13,0.0,2149188.05,40699.0,52280.0,1673102.61,,,,,,,,0.37,,7722.0,,,,,,,1659.0,1.89,0.08,,,1.32,1.32,3047032.0,125260993.69,,140.74,1.32,26.16,0.2799,41.76,0.0234
