,DCAM FP Equity_DX_SI_QTY,DCAM FP Equity_DX_SHORT_INTEREST_VALUE,DCAM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,DCAM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,DCAM FP Equity_DX_SI_MV,DCAM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,DCAM FP Equity_DX_SUPPLY_SI_QTY,DCAM FP Equity_DX_BROKER_SI_QTY,DCAM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,DCAM FP Equity_DX_SUPPLY_SI_QTY_INC_x,DCAM FP Equity_DX_BROKER_SI_MV_INC_x,DCAM FP Equity_DX_BROKER_SI_QTY_ADD,DCAM FP Equity_DX_SUPPLY_SI_MV_DEC,DCAM FP Equity_DX_BROKER_SI_QTY_INC,DCAM FP Equity_DX_SUPPLY_SI_QTY_DEC,DCAM FP Equity_DX_BROKER_SI_MV_INC_y,DCAM FP Equity_DX_SUPPLY_SI_QTY_INC_y,DCAM FP Equity_DX_BROKER_SI_MV_ADD,DCAM FP Equity_DX_SUPPLY_SI_QTY_ADD,DCAM FP Equity_DX_BROKER_SI_QTY_DEC,DCAM FP Equity_DX_SUPPLY_SI_MV,DCAM FP Equity_DX_BROKER_SI_MV_DEC,DCAM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,DCAM FP Equity_DX_UTILIZATION_QUANTITY,DCAM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,DCAM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,DCAM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,DCAM FP Equity_DX_ACTIVE_UTILIZATION_MV,DCAM FP Equity_DX_BROKER_SI_MARKET_SHARE_2,DCAM FP Equity_DX_BROKER_SI_CON_RATIO,DCAM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,DCAM FP Equity_DX_DEMAND_SUPPLY_RATIO
2025-07-11,70000.0,344820.0,0.24,0.21,0.35,172410.0,35000.0,35000.0,172410.0,,,,,,,,,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,49.84,0.5,50.16,2.0
2025-07-14,42400.0,209116.8,0.15,0.13,0.21,104558.4,21200.0,21200.0,104558.4,,,,0.07,,13800.0,,,,,13800.0,0.11,0.07,100.0,100.0,0.0,0.0,0.0,100.0,49.97,0.5,50.03,2.0
2025-07-15,75000.0,372000.0,0.27,0.23,0.37,186000.0,37500.0,37500.0,186000.0,16300.0,0.08,,,16300.0,,0.08,16300.0,,,,0.18,,100.0,100.0,0.0,0.0,0.0,100.0,49.86,0.5,50.14,2.0
2025-07-16,75000.0,366900.0,0.27,0.22,0.37,183450.0,37500.0,37500.0,183450.0,,,,,,,,,,,,0.19,,100.0,100.0,0.0,0.0,0.0,100.0,49.65,0.5,50.35,2.0
2025-07-17,75000.0,373800.0,0.27,0.22,0.37,186900.0,37500.0,37500.0,186900.0,,,,,,,,,,,,0.18,,100.0,100.0,0.0,0.0,0.0,100.0,49.53,0.5,50.47,2.0
2025-07-18,75000.0,372675.0,0.28,0.22,0.37,186337.5,37500.0,37500.0,186337.5,,,,,,,,,,,,0.19,,100.0,100.0,0.0,0.0,0.0,100.0,49.92,0.5,50.08,2.0
2025-07-21,75000.0,373125.0,0.28,0.22,0.37,186562.5,37500.0,37500.0,186562.5,,,,,,,,,,,,0.19,,100.0,100.0,0.0,0.0,0.0,100.0,49.97,0.5,50.03,2.0
2025-07-22,42400.0,209583.2,0.15,0.12,0.21,104791.6,21200.0,21200.0,104791.6,,,,0.08,,16300.0,,,,,16300.0,0.11,0.08,100.0,100.0,0.0,0.0,0.0,100.0,49.84,0.5,50.16,2.0
2025-07-23,76400.0,380777.6,0.27,0.22,0.38,190388.8,38200.0,38200.0,190388.8,17000.0,0.09,,,17000.0,,0.09,17000.0,,,,0.19,,100.0,100.0,0.0,0.0,0.0,100.0,49.79,0.5,50.21,2.0
2025-07-24,76400.0,381618.0,0.27,0.22,0.38,190809.0,38200.0,38200.0,190809.0,,,,,,,,,,,,0.19,,100.0,100.0,0.0,0.0,0.0,100.0,49.94,0.5,50.06,2.0
2025-07-25,42400.0,212254.4,0.15,0.12,0.21,106127.2,21200.0,21200.0,106127.2,,,,0.09,,17000.0,,,,,17000.0,0.11,0.09,100.0,55.5,0.0,0.0,0.0,100.0,49.95,0.5,50.06,1.1099
2025-07-28,42400.0,213950.4,0.15,0.12,0.21,106975.2,21200.0,21200.0,106975.2,,,,,,,,,,,,0.11,,100.0,55.5,0.0,0.0,0.0,100.0,50.0,0.5,50.0,1.1099
2025-07-29,42400.0,214925.6,0.14,0.12,0.22,107462.8,21200.0,21200.0,107462.8,,,,,,,,,,,,0.11,,100.0,100.0,0.0,0.0,0.0,100.0,49.89,0.5,50.11,2.0
2025-07-30,42400.0,215858.4,0.15,0.12,0.21,107929.2,21200.0,21200.0,107929.2,,,,,,,,,,,,0.11,,100.0,100.0,0.0,0.0,0.0,100.0,50.0,0.5,50.0,2.0
2025-07-31,42400.0,216367.2,0.14,0.12,0.21,108183.6,21200.0,21200.0,108183.6,,,,,,,,,,,,0.11,,100.0,100.0,0.0,0.0,0.0,100.0,49.94,0.5,50.06,2.0
2025-08-01,42400.0,209880.0,0.14,0.11,0.21,104940.0,21200.0,21200.0,104940.0,,,,,,,,,,,,0.11,,100.0,100.0,0.0,0.0,0.0,100.0,49.24,0.5001,50.76,2.0
2025-08-04,42400.0,212339.2,0.12,0.11,0.21,106169.6,21200.0,21200.0,106169.6,,,,,,,,,,,,0.1,,100.0,100.0,0.0,0.0,0.0,100.0,50.0,0.5,50.0,2.0
2025-08-05,42400.0,211957.6,0.12,0.11,0.21,105978.8,21200.0,21200.0,105978.8,,,,,,,,,,,,0.11,,100.0,100.0,0.0,0.0,0.0,100.0,50.0,0.5,50.0,2.0
2025-08-06,42400.0,212339.2,0.12,0.11,0.21,106169.6,21200.0,21200.0,106169.6,,,,,,,,,,,,0.11,,100.0,100.0,0.0,0.0,0.0,100.0,49.96,0.5,50.04,2.0
2025-08-07,42400.0,212763.2,0.11,0.11,0.21,106381.6,21200.0,21200.0,106381.6,,,,,,,,,,,,0.11,,100.0,100.0,0.0,0.0,0.0,100.0,49.95,0.5,50.05,2.0
2025-08-08,42400.0,213484.0,0.11,0.11,0.21,106742.0,21200.0,21200.0,106742.0,,,,,,,,,,,,0.11,,100.0,100.0,0.0,0.0,0.0,100.0,49.92,0.5,50.08,2.0
2025-08-11,79400.0,402081.6,0.21,0.2,0.4,201040.8,39700.0,39700.0,201040.8,18500.0,0.09,,,18500.0,,0.09,18500.0,,,,0.2,,100.0,100.0,0.0,0.0,0.0,100.0,49.86,0.5,50.14,2.0
2025-08-12,79400.0,402081.6,0.22,0.2,0.4,201040.8,39700.0,39700.0,201040.8,,,,,,,,,,,,0.2,,100.0,100.0,0.0,0.0,0.0,100.0,50.0,0.5,50.0,2.0
2025-08-13,79400.0,402796.2,0.22,0.19,0.4,201398.1,39700.0,39700.0,201398.1,,,,,,,,,,,,0.2,,100.0,100.0,0.0,0.0,0.0,100.0,49.96,0.5,50.04,2.0
2025-08-14,79400.0,404781.2,0.22,0.19,0.4,202390.6,39700.0,39700.0,202390.6,,,,,,,,,,,,0.2,,100.0,100.0,0.0,0.0,0.0,100.0,49.88,0.5,50.12,2.0
2025-08-15,79400.0,403510.8,0.22,0.19,0.41,201755.4,39700.0,39700.0,201755.4,,,,,,,,,,,,0.2,,100.0,100.0,0.0,0.0,0.0,100.0,49.92,0.5,50.08,2.0
2025-08-18,60900.0,310102.8,0.17,0.15,0.31,202152.4,21200.0,39700.0,107950.4,,,,0.1,,18500.0,,,,,,0.11,,100.0,53.4,0.0,0.0,0.0,100.0,34.77,0.5464,65.23,1.534
2025-08-19,60900.0,310285.5,0.17,0.14,0.31,202271.5,21200.0,39700.0,108014.0,,,,,,,,,,,,0.11,,100.0,53.4,0.0,0.0,0.0,100.0,34.8,0.5462,65.2,1.534
2025-08-20,60900.0,308458.5,0.17,0.14,0.31,201080.5,21200.0,39700.0,107378.0,,,,,,,,,,,,0.11,,100.0,53.4,0.0,0.0,0.0,100.0,34.95,0.5453,65.05,1.534
2025-08-21,60900.0,309493.8,0.17,0.14,0.31,201755.4,21200.0,39700.0,107738.4,,,,,,,,,,,,0.11,,100.0,100.0,0.0,0.0,0.0,100.0,34.74,0.5466,65.26,2.8726
2025-08-22,60900.0,311016.3,0.17,0.14,0.31,202747.9,21200.0,39700.0,108268.4,,,,,,,,,,,,0.11,,100.0,100.0,0.0,0.0,0.0,100.0,34.7,0.5468,65.3,2.8726
2025-08-25,60900.0,310955.4,0.17,0.14,0.31,202708.2,21200.0,39700.0,108247.2,,,,,,,,,,,,0.11,,100.0,53.4,0.0,0.0,0.0,100.0,34.81,0.5461,65.19,1.534
2025-08-26,60900.0,310285.5,0.17,0.14,0.31,202271.5,21200.0,39700.0,108014.0,,,,,,,,,,,,0.11,,100.0,53.4,0.0,0.0,0.0,100.0,34.86,0.5458,65.14,1.534
2025-08-27,60900.0,312843.3,0.17,0.14,0.31,203938.9,21200.0,39700.0,108904.4,,,,,,,,,,,,0.11,,100.0,53.4,0.0,0.0,0.0,100.0,34.63,0.5473,65.37,1.534
2025-08-28,60900.0,311868.9,0.16,0.14,0.31,203303.7,21200.0,39700.0,108565.2,,,,,,,,,,,,0.11,,100.0,53.4,0.0,0.0,0.0,100.0,34.88,0.5457,65.12,1.534
