,UNIC FP Equity_PX_LAST
2025-03-31,13.224
2025-04-01,13.438
2025-04-02,13.699
2025-04-03,12.772
2025-04-04,12.273
2025-04-07,11.744
2025-04-08,12.343
2025-04-09,11.593
2025-04-10,12.114
2025-04-11,11.81
2025-04-14,12.35
2025-04-15,12.489
2025-04-16,12.325
2025-04-17,12.153
2025-04-22,12.053
2025-04-23,12.556
2025-04-24,12.664
2025-04-25,12.762
2025-04-28,12.775
2025-04-29,13.024
2025-04-30,12.905
2025-05-02,13.315
2025-05-05,13.556
2025-05-06,13.453
2025-05-07,13.194
2025-05-08,13.47
2025-05-09,13.451
2025-05-12,13.93
2025-05-13,14.063
2025-05-14,13.987
2025-05-15,13.966
2025-05-16,14.077
2025-05-19,13.937
2025-05-20,13.985
2025-05-21,13.875
2025-05-22,13.787
2025-05-23,13.763
2025-05-26,13.698
2025-05-27,13.839
2025-05-28,13.826
2025-05-29,13.716
2025-05-30,13.702
2025-06-02,13.787
2025-06-03,13.874
2025-06-04,13.953
2025-06-05,14.052
2025-06-06,14.107
2025-06-09,14.122
2025-06-10,14.09
2025-06-11,14.128
2025-06-12,14.029
2025-06-13,13.893
2025-06-16,14.134
2025-06-17,13.992
2025-06-18,13.934
2025-06-19,13.769
2025-06-20,13.803
2025-06-23,13.791
2025-06-24,14.034
2025-06-25,14.078
2025-06-26,14.083
2025-06-27,14.166
2025-06-30,14.154
2025-07-01,14.055
2025-07-02,14.087
2025-07-03,14.473
2025-07-04,14.22
2025-07-07,14.422
2025-07-08,14.319
2025-07-09,14.332
2025-07-10,14.353
2025-07-11,14.237
2025-07-14,14.231
2025-07-15,14.335
2025-07-16,14.275
2025-07-17,14.803
2025-07-18,14.623
2025-07-21,14.639
2025-07-22,14.595
2025-07-23,14.587
2025-07-24,14.62
2025-07-25,14.679
2025-07-28,14.87
2025-07-29,14.947
2025-07-30,15.025
2025-07-31,15.009
2025-08-01,14.401
2025-08-04,14.732
2025-08-05,14.557
2025-08-06,14.53
2025-08-07,14.516
2025-08-08,14.456
2025-08-11,14.512
2025-08-12,14.446
2025-08-13,14.789
2025-08-14,14.762
2025-08-15,14.661
2025-08-18,14.853
2025-08-19,14.845
2025-08-20,14.526
2025-08-21,14.735
2025-08-22,14.732
2025-08-25,14.772
2025-08-26,14.739
2025-08-27,14.703
2025-08-28,14.944
2025-08-29,14.826
