,ALJXR FP Equity_DX_SI_QTY,ALJXR FP Equity_DX_SHORT_INTEREST_VALUE,ALJXR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALJXR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALJXR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALJXR FP Equity_DX_SI_MV,ALJXR FP Equity_DX_DSS,ALJXR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALJXR FP Equity_DX_SUPPLY_SI_QTY,ALJXR FP Equity_DX_BROKER_SI_QTY,ALJXR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALJXR FP Equity_DX_BROKER_SI_MV_NEW_x,ALJXR FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALJXR FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALJXR FP Equity_DX_BROKER_SI_MV_INC_x,ALJXR FP Equity_DX_SUPPLY_SI_MV_NEW,ALJXR FP Equity_DX_BROKER_SI_QTY_ADD,ALJXR FP Equity_DX_BROKER_SI_QTY_NEW,ALJXR FP Equity_DX_SUPPLY_SI_MV_DEC,ALJXR FP Equity_DX_BROKER_SI_QTY_INC,ALJXR FP Equity_DX_SUPPLY_SI_QTY_DEC,ALJXR FP Equity_DX_BROKER_SI_MV_NEW_y,ALJXR FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALJXR FP Equity_DX_BROKER_SI_MV_INC_y,ALJXR FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALJXR FP Equity_DX_BROKER_SI_MV_ADD,ALJXR FP Equity_DX_SUPPLY_SI_QTY_ADD,ALJXR FP Equity_DX_BROKER_SI_QTY_DEC,ALJXR FP Equity_DX_SUPPLY_SI_MV,ALJXR FP Equity_DX_BROKER_SI_MV_DEC,ALJXR FP Equity_DX_SUPPLY_SI_MV_RMV,ALJXR FP Equity_DX_BROKER_SI_MV_RMV,ALJXR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALJXR FP Equity_DX_UTILIZATION_QUANTITY,ALJXR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALJXR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALJXR FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALJXR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALJXR FP Equity_DX_ACTIVE_UTILIZATION_MV,ALJXR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALJXR FP Equity_DX_BROKER_SI_CON_RATIO,ALJXR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALJXR FP Equity_DX_DEMAND_SUPPLY_RATIO
2011-05-31,1199369.0,11573910.85,5.52,0.92,4.79,10.99,1.0,11316757.65,701154.0,1172721.0,6766136.1,,,,,,,,0.09,,10000.0,,,,,,,4092.0,6.76,0.04,,,59.78,57.93,471773.0,4552609.45,,4.55,59.75,37.12,0.3507,43.54,0.9909
2011-06-01,1198947.0,12169312.05,5.52,0.91,4.79,11.23,1.0,11898834.85,701154.0,1172299.0,7116713.1,,,,,,,,,,,,,,,,,422.0,7.1,0.01,,,59.78,57.93,471773.0,4788495.95,,4.79,59.73,36.54,0.3502,43.88,0.9906
2011-06-02,1193947.0,13061780.18,5.5,0.88,4.77,11.53,1.0,12770251.06,715154.0,1167299.0,7823784.76,,,,,,,,,,,,,,,,14000.0,5000.0,7.8,0.05,,,60.25,59.09,471773.0,5161196.62,,5.16,60.19,35.81,0.3548,44.96,0.9865
2011-06-03,1188947.0,12923853.89,5.48,0.87,4.75,12.1,1.0,12634190.13,714301.0,1162299.0,7764451.87,,,,,,,,0.06,,853.0,,,,,,,5000.0,7.77,0.05,,,60.18,58.73,472626.0,5137444.62,,5.14,60.19,34.52,0.3584,46.2,0.9776
2011-06-06,1192047.0,13100596.53,5.49,0.87,4.76,12.14,1.0,12773666.01,717401.0,1162299.0,7884236.99,,,3100.0,,,,,,,,,,,3100.0,,,,7.88,,,,56.94,56.03,542626.0,5963459.74,,5.96,56.92,34.43,0.3543,45.76,0.931
2011-06-07,788860.0,8456579.2,3.63,0.57,3.15,7.77,1.0,8137680.64,314559.0,759112.0,3372072.48,,,,,,,,4.5,,402842.0,,,,,,,403187.0,3.38,4.37,,,24.77,22.03,955468.0,10242616.96,,10.24,24.81,24.92,0.3827,54.52,0.5524
2011-06-08,663593.0,6987634.29,3.06,0.51,2.65,6.36,1.0,6773633.1,183673.0,643270.0,1934076.69,,,,0.16,,,,1.44,15000.0,130886.0,,,0.16,,,,130842.0,1.94,1.43,,,14.74,14.23,1062504.0,11188167.12,,11.19,14.76,17.27,0.5083,68.59,0.5143
2011-06-09,647728.0,7027848.8,2.98,0.57,2.59,6.13,1.0,6946972.9,170804.0,640274.0,1853223.4,,,,0.09,,,,0.14,10000.0,12869.0,,,0.09,,,,12996.0,1.85,0.15,,,13.85,12.92,1062504.0,11528168.4,,11.53,13.83,17.22,0.5426,71.11,0.4898
2011-06-10,602728.0,6394944.08,2.78,0.54,2.41,5.72,1.0,6315857.14,170804.0,595274.0,1812230.44,,,,,,,,,,,,,,,,,45000.0,1.81,0.46,,,13.85,12.38,1062504.0,11273167.44,,11.27,13.85,10.46,0.6093,76.78,0.437
2011-06-13,605974.0,6302129.6,2.79,0.57,2.42,6.46,1.0,6190849.6,129050.0,595274.0,1342120.0,,,,,,,,0.45,,40000.0,,,,,,,,1.34,,0.02,,10.48,10.02,1102504.0,11466041.6,1754.0,11.47,10.49,9.04,0.6399,79.06,0.4704
2011-06-14,686774.0,7382820.5,3.16,0.67,2.74,7.19,1.0,7021620.5,181950.0,653174.0,1955962.5,,,25000.0,0.25,,32900.0,,,25000.0,,,,0.25,25000.0,0.36,27900.0,,1.94,,,,14.45,13.86,1077504.0,11583168.0,,11.58,14.37,10.25,0.547,72.54,0.5233
2011-06-15,705950.0,7836045.0,3.25,0.72,2.82,7.67,1.0,7250231.4,201126.0,653174.0,2232498.6,,,,,,,,,,,,,,,,19176.0,,2.22,,,,15.73,15.32,1077504.0,11960294.4,,11.96,15.65,10.12,0.5166,70.43,0.5379
2011-06-16,708626.0,7801972.26,3.26,0.72,2.83,7.9,1.0,7191445.74,203802.0,653174.0,2243860.02,,,2676.0,,,,,,,,,,,2676.0,,,,2.25,,,,15.91,15.53,1077504.0,11863319.04,,11.86,15.94,10.0,0.5235,70.94,0.5399
2011-06-17,739506.0,8075405.52,3.41,0.76,2.95,8.16,1.0,7132660.08,234682.0,653174.0,2562727.44,,,30880.0,,,,,,,,,,,30880.0,,,,2.56,,,,18.3,17.88,1047504.0,11438743.68,,11.44,18.31,9.56,0.4844,67.94,0.5635
2011-06-20,731235.0,7933899.75,3.37,0.75,2.92,8.07,1.0,7086937.9,226411.0,653174.0,2456559.35,,,,,,,,0.1,,8271.0,,,,,,,,2.46,,,,17.7,17.21,1053099.0,11426124.15,,11.43,17.72,9.67,0.4954,68.82,0.5557
2011-06-21,733911.0,8491350.27,3.38,0.76,2.93,8.08,1.0,7557223.18,229087.0,653174.0,2650536.59,,,2676.0,,,,,,,,,,,2676.0,,,,2.61,,,,17.87,17.4,1053099.0,12184355.43,,12.18,17.63,9.52,0.4921,68.56,0.5573
2011-06-22,743911.0,9053396.87,3.43,0.74,2.97,8.42,1.0,8070827.58,229087.0,663174.0,2787988.79,,,,0.17,,,,,10000.0,,,,0.17,,,,,2.75,,,,17.87,17.4,1053099.0,12816214.83,,12.82,17.69,9.84,0.4847,67.94,0.5649
2011-06-23,749346.0,8872256.64,3.45,0.7,2.99,8.68,1.0,7857130.56,234087.0,663609.0,2771590.08,,,5000.0,0.06,,,,,435.0,,,,0.06,5000.0,,,,2.79,,,,18.26,17.77,1048099.0,12409492.16,,12.41,18.37,10.09,0.4688,66.7,0.569
2011-06-24,765911.0,8685430.74,3.53,0.74,3.06,8.74,1.0,7577093.16,251087.0,668174.0,2847326.58,,,17000.0,,,5000.0,,,,,,,,17000.0,0.06,,435.0,2.87,0.04,,,19.58,19.0,1031099.0,11692662.66,,11.69,19.72,9.72,0.4566,65.64,0.5795
2011-06-27,765911.0,8670112.52,3.53,0.7,3.06,8.64,1.0,7563729.68,251087.0,668174.0,2842304.84,,,,,,,,,,,,,,,,,,2.84,,,,19.58,19.0,1031099.0,11672040.68,,11.67,19.58,9.3,0.4659,66.46,0.5795
2011-06-28,765911.0,8731385.4,3.53,0.71,3.06,8.58,1.0,7617183.6,251087.0,668174.0,2862391.8,,,,,,,,,,,,,,,,,,2.86,,,,19.58,19.0,1031099.0,11754528.6,,11.75,19.55,9.36,0.4637,66.26,0.5795
2011-06-29,767911.0,8562207.65,3.54,0.73,3.07,8.61,1.0,7472440.1,251087.0,670174.0,2799620.05,,,,0.03,,,,,2000.0,,,,0.03,,,,,2.81,,,,19.58,19.0,1031099.0,11496753.85,,11.5,19.65,9.39,0.4649,66.37,0.581
2011-06-30,812911.0,8738793.25,3.74,0.78,3.25,9.02,1.0,7688120.5,296087.0,715174.0,3182935.25,,,35000.0,0.46,,,,,45000.0,,,,0.46,35000.0,,10000.0,,3.2,,,,24.59,23.9,908089.0,9761956.75,,9.76,24.71,13.23,0.4434,64.22,0.6562
2011-07-01,809431.0,9089910.13,3.73,0.76,3.23,8.88,1.0,8031404.02,292607.0,715174.0,3285976.61,,,,,,,,0.04,,3480.0,,,,,,,,3.26,,,,29.3,27.06,706099.0,7929491.77,,7.93,29.14,12.93,0.4467,64.54,0.7485
2011-07-04,818431.0,9051846.86,3.77,0.75,3.27,9.09,1.0,7909824.44,301607.0,715174.0,3335773.42,,,9000.0,,,,,,,,,,,9000.0,,,,3.35,,,,29.93,27.89,706099.0,7809454.94,,7.81,29.99,14.38,0.4343,63.27,0.7568
2011-07-05,802302.0,8793229.92,3.7,0.73,3.21,8.92,1.0,7760173.2,301607.0,708045.0,3305612.72,,,,,,,,,,,,,,,,,7129.0,3.31,0.08,,,29.93,27.89,706099.0,7738845.04,,7.74,29.99,12.53,0.4481,64.7,0.7419
2011-07-06,325796.0,3495791.08,1.5,0.3,1.3,3.6,1.0,2243696.65,289407.0,209105.0,3105337.11,,,434.0,,,,,0.19,,12634.0,,,,434.0,,,498940.0,3.12,5.54,,,28.71,25.61,718733.0,7712005.09,,7.71,28.82,28.47,0.2173,29.3,0.2883
2011-07-07,307291.0,3315669.89,1.42,0.28,1.23,3.33,1.0,1463124.0,279391.0,135600.0,3014628.89,,,,,,,,0.1,,10016.0,,,,,,,73505.0,3.01,0.81,,,27.71,25.84,728749.0,7863201.71,,7.86,27.68,30.82,0.2432,30.89,0.2842
2011-07-08,307291.0,3223482.59,1.42,0.28,1.23,3.31,1.0,1422444.0,279391.0,135600.0,2930811.59,,,,,,,,,,,,,,,,,,2.95,,,,27.71,25.84,728749.0,7644577.01,,7.64,27.85,30.45,0.2433,31.48,0.2842
2011-07-11,292382.0,2853648.32,1.35,0.27,1.17,3.03,1.0,1177944.16,279391.0,120691.0,2726856.16,,,,,,,,,,,,,,,,,14909.0,2.78,0.18,,,27.71,25.84,728749.0,7112590.24,,7.11,28.08,28.23,0.236,31.7,0.2704
2011-07-12,237382.0,2262250.46,1.09,0.21,0.95,2.34,0.0,1150185.23,209482.0,120691.0,1996363.46,,,,,,,,0.71,,69909.0,,,,,,,,2.01,,,,20.78,18.11,798658.0,7611210.74,,7.61,20.9,34.48,0.3068,40.42,0.2052
2011-07-13,251874.0,2229084.9,1.16,0.21,1.01,2.38,1.0,1228902.15,223974.0,138859.0,1982169.9,,,17168.0,,,25000.0,,0.04,,2676.0,,,,17168.0,0.25,,6832.0,2.03,0.09,,,26.05,23.94,635798.0,5626812.3,,5.63,26.47,29.15,0.2459,35.38,0.2692
2011-07-14,173967.0,1537868.28,0.8,0.14,0.7,1.58,0.0,1090475.88,107594.0,123357.0,951130.96,,,,,,,,1.03,,116380.0,,,,,,,15502.0,0.96,0.17,,,100.0,54.46,0.0,0.0,,0.0,100.0,19.8,0.2087,33.3,0.8806
2011-07-15,177860.0,1442444.6,0.82,0.15,0.71,1.61,0.0,1000425.27,75257.0,123357.0,610334.27,,,3893.0,,,,,0.32,,36230.0,,,,3893.0,,,,0.65,,,,100.0,39.96,0.0,0.0,,0.0,100.0,19.38,0.2061,32.46,0.9444
2011-07-18,203860.0,1490216.6,0.94,0.17,0.81,1.68,0.0,865189.67,96257.0,118357.0,703638.67,,,21000.0,,,,,,,,,,,21000.0,,,5000.0,0.83,0.06,,,100.0,78.89,0.0,0.0,,0.0,100.0,27.53,0.2227,28.9,1.6709
2011-07-19,171566.0,1501202.5,0.79,0.14,0.69,1.3,0.0,685623.75,103963.0,78357.0,909676.25,,,7706.0,,,,,,,,,,,7706.0,,,40000.0,0.79,0.35,,,100.0,64.52,0.0,0.0,,0.0,100.0,34.52,0.3526,43.72,1.0648
2011-07-20,135863.0,1180649.47,0.63,0.1,0.54,1.2,0.0,370663.26,103963.0,42654.0,903438.47,,,,,,,,,,,,,,,,,35703.0,0.91,0.24,,,100.0,82.85,0.0,0.0,,0.0,100.0,28.86,0.4168,56.18,1.0827
2011-07-21,171863.0,1520987.55,0.79,0.12,0.69,1.51,0.0,696087.9,103963.0,78654.0,920072.55,,,,0.19,,15000.0,,,21000.0,,,,0.19,,0.13,,,0.9,,,,100.0,85.21,0.0,0.0,,0.0,100.0,25.49,0.2924,41.42,1.4086
2011-07-22,159654.0,1408148.28,0.74,0.11,0.64,1.44,0.0,861308.28,63754.0,97654.0,562310.28,,,,0.17,,,,,19000.0,,,,0.17,,,,,0.56,,0.34,,100.0,18.37,0.0,0.0,40209.0,0.0,100.0,26.79,0.2471,28.24,0.46
2011-07-25,159654.0,1393779.42,0.74,0.11,0.64,1.43,0.0,852519.42,63754.0,97654.0,556572.42,,,,,,,,,,,,,,,,,,0.56,,,,100.0,82.44,0.0,0.0,,0.0,100.0,26.87,0.2471,28.16,2.0646
2011-07-26,159454.0,1385655.26,0.73,0.11,0.64,1.41,0.0,846875.26,63554.0,97454.0,552284.26,,,,,,,,0.0,,200.0,,,,,,,200.0,0.55,0.0,,,100.0,33.78,0.0,0.0,,0.0,100.0,27.01,0.2477,28.11,0.8475
2011-07-27,157755.0,1318831.8,0.73,0.11,0.63,1.42,0.0,787520.36,65108.0,94201.0,544302.88,,1554.0,,,0.01,,,,,,,1554.0,,,,,3253.0,0.56,0.0,,,100.0,78.13,0.0,0.0,,0.0,100.0,26.93,0.2485,28.57,1.893
2011-07-28,157755.0,1273082.85,0.73,0.11,0.63,1.34,0.0,760202.07,65108.0,94201.0,525421.56,,,,,,,,,,,,,,,,,,0.54,,,,100.0,29.19,0.0,0.0,,0.0,100.0,26.44,0.2469,27.75,0.7074
2011-07-29,157755.0,1307788.95,0.73,0.11,0.63,1.3,0.0,780926.29,65108.0,94201.0,539745.32,,,,,,,,,,,,,,,,,,0.53,,,,100.0,31.7,0.0,0.0,,0.0,100.0,26.01,0.246,27.51,0.768
2011-08-01,164755.0,1474557.25,0.76,0.11,0.66,1.41,0.0,905748.95,65108.0,101201.0,582716.6,,,,0.07,,,,,7000.0,,,,0.07,,,,,0.56,,,,100.0,81.89,0.0,0.0,,0.0,100.0,24.54,0.25,30.86,2.0722
2011-08-02,164755.0,1461376.85,0.76,0.11,0.66,1.5,0.0,897652.87,65108.0,101201.0,577507.96,,,,,,,,,,,,,,,,,,0.58,,,,100.0,36.27,0.0,0.0,,0.0,100.0,24.91,0.2517,31.49,0.9178
2011-08-03,174148.0,1529019.44,0.8,0.11,0.7,1.58,0.0,971015.32,65108.0,110594.0,571648.24,,,,0.1,,,,,11152.0,,,,0.1,,,,1759.0,0.57,0.01,,,100.0,36.27,0.0,0.0,,0.0,100.0,22.75,0.2223,29.39,0.9701
2011-08-04,154896.0,1254657.6,0.71,0.1,0.62,1.38,0.0,805480.2,57008.0,99442.0,461764.8,,,,,,,,0.07,,8100.0,,,,,,,11152.0,0.48,0.1,,,100.0,31.42,0.0,0.0,,0.0,100.0,24.32,0.2533,32.23,0.8537
2011-08-05,183896.0,1465651.12,0.85,0.12,0.73,1.5,0.0,792552.74,86008.0,99442.0,685483.76,,,,,,,,0.21,,26000.0,,,,,,55000.0,,0.69,,,,100.0,47.4,0.0,0.0,,0.0,100.0,26.32,0.3917,53.4,1.0135
2011-08-08,183896.0,1336923.92,0.85,0.12,0.73,1.45,0.0,722943.34,86008.0,99442.0,625278.16,,,,,,,,,,,,,,,,,,0.65,,,,100.0,45.74,0.0,0.0,,0.0,100.0,26.81,0.3837,52.1,0.9779
2011-08-09,232896.0,1599995.52,1.07,0.15,0.93,1.69,0.0,882396.54,126008.0,128442.0,865674.96,,,20000.0,,,29000.0,,,,,,,,20000.0,0.22,20000.0,,0.88,,,,100.0,53.77,0.0,0.0,,0.0,100.0,20.21,0.3179,49.28,0.9938
2011-08-10,164788.0,1054643.2,0.76,0.1,0.66,1.18,0.0,812083.2,71900.0,126888.0,460160.0,,,14000.0,,,,,0.54,,78108.0,,,,14000.0,,10000.0,1554.0,0.48,0.01,,,100.0,61.14,0.0,0.0,,0.0,100.0,23.14,0.2285,30.69,1.4013
2011-08-11,188788.0,1247888.68,0.87,0.11,0.75,1.24,0.0,997369.68,71900.0,150888.0,475259.0,,,,0.14,,,,,24000.0,,,,0.14,,,,,0.47,,,,100.0,53.57,0.0,0.0,,0.0,100.0,26.24,0.2263,28.13,1.4066
2011-08-12,196788.0,1357837.2,0.91,0.11,0.79,1.34,0.0,1041127.2,104000.0,150888.0,717600.0,,,,,,,,,,,,,,,,32100.0,,0.7,,,,100.0,74.63,0.0,0.0,,0.0,100.0,24.76,0.2075,26.88,1.4121
2011-08-15,194651.0,1380075.59,0.9,0.11,0.78,1.38,0.0,1054644.59,104000.0,148751.0,737360.0,,,,,,,,,,,,,,,,,2137.0,0.72,0.0,,,100.0,67.43,0.0,0.0,,0.0,100.0,24.71,0.2084,27.14,1.2621
2011-08-16,194651.0,1335305.86,0.9,0.11,0.78,1.4,0.0,1020431.86,104000.0,148751.0,713440.0,,,,,,,,,,,,,,,,,,0.73,,,,100.0,60.06,0.0,0.0,,0.0,100.0,24.74,0.209,27.54,1.1241
2011-08-17,194651.0,1337252.37,0.9,0.11,0.78,1.36,0.0,1021919.37,104000.0,148751.0,714480.0,,,,,,,,,,,,,,,,,,0.71,,,,100.0,57.92,0.0,0.0,,0.0,100.0,24.93,0.2087,27.42,1.0841
2011-08-18,194651.0,1179585.06,0.9,0.11,0.78,1.37,0.0,901431.06,104000.0,148751.0,630240.0,,,,,,,,,,,,,,,,,,0.69,,,,100.0,57.92,0.0,0.0,,0.0,100.0,24.8,0.2083,27.35,1.0841
2011-08-19,181651.0,1111704.12,0.84,0.1,0.73,1.16,0.0,830796.12,104000.0,135751.0,636480.0,,,,,,2000.0,,,,,,,,,0.01,,15000.0,0.63,0.12,,,100.0,49.56,0.0,0.0,,0.0,100.0,21.66,0.2,28.59,0.8657
2011-08-22,174651.0,1046159.49,0.8,0.1,0.7,1.11,0.0,771218.49,104000.0,128751.0,622960.0,,,,,,,,,,,,,,,,,7000.0,0.63,0.04,,,100.0,57.92,0.0,0.0,,0.0,100.0,20.62,0.2046,30.76,0.9727
2011-08-23,154651.0,912440.9,0.71,0.09,0.62,0.96,0.0,641630.9,84000.0,108751.0,495600.0,,,,,,,,0.12,,20000.0,,,,,,,20000.0,0.5,0.13,,,100.0,46.78,0.0,0.0,,0.0,100.0,22.86,0.1859,23.79,0.8613
2011-08-24,154651.0,923266.47,0.71,0.09,0.62,0.95,0.0,649243.47,84000.0,108751.0,501480.0,,,,,,,,,,,,,,,,,,0.5,,,,100.0,36.07,0.0,0.0,,0.0,100.0,22.9,0.1858,23.81,0.664
2011-08-25,154651.0,912440.9,0.71,0.1,0.62,0.96,0.0,641630.9,84000.0,108751.0,495600.0,,,,,,,,,,,,,,,,,,0.5,,,,100.0,46.78,0.0,0.0,,0.0,100.0,22.64,0.1858,23.94,0.8613
2011-08-26,220751.0,1335543.55,1.02,0.14,0.88,1.35,0.0,1057848.55,81000.0,174851.0,490050.0,,,,0.15,,41100.0,,0.02,25000.0,3000.0,,,0.15,,0.25,,,0.48,,,,100.0,45.11,0.0,0.0,,0.0,100.0,15.24,0.2038,34.97,1.2295
2011-08-29,217191.0,1350928.02,1.0,0.14,0.87,1.39,0.0,1065430.02,81000.0,171291.0,503820.0,,,,,,,,,,,,,,,,,3560.0,0.49,0.0,,,100.0,44.81,0.0,0.0,,0.0,100.0,15.29,0.2036,34.87,1.2016
2011-08-30,188600.0,1161776.0,0.87,0.13,0.75,1.26,0.0,928312.0,73000.0,150700.0,449680.0,,,,,,,,0.05,,8000.0,,,,,,,20591.0,0.45,0.11,,,100.0,40.39,0.0,0.0,,0.0,100.0,17.92,0.2493,41.02,1.0434
2011-08-31,188600.0,1201382.0,0.87,0.13,0.75,1.21,0.0,959959.0,73000.0,150700.0,465010.0,,,,,,,,,,,,,,,,,,0.45,,,,100.0,39.9,0.0,0.0,,0.0,100.0,18.52,0.2662,42.49,1.0309
2011-09-01,167500.0,1202650.0,0.77,0.13,0.67,1.13,0.0,930528.0,51900.0,129600.0,372642.0,,,,,,,,0.13,,21100.0,,,,,,,21100.0,0.34,0.13,,,100.0,28.37,0.0,0.0,,0.0,100.0,21.9,0.2256,32.52,0.9156
2011-09-02,147500.0,980875.0,0.68,0.11,0.59,1.05,0.0,728840.0,51900.0,109600.0,345135.0,,,,,,,,,,,,,,,,,20000.0,0.36,0.14,,,100.0,28.37,0.0,0.0,,0.0,100.0,22.79,0.2076,26.91,0.8062
2011-09-05,114800.0,701428.0,0.53,0.08,0.46,0.89,0.0,561509.0,36900.0,91900.0,225459.0,,,,,,,,0.11,,15000.0,,,,,,,17700.0,0.24,0.02,,,100.0,20.17,0.0,0.0,,0.0,100.0,22.36,0.2192,28.98,0.6274
2011-09-06,94800.0,609564.0,0.44,0.07,0.38,0.62,0.0,526617.0,26900.0,81900.0,172967.0,,,,,,,,0.07,,10000.0,,,,,,,10000.0,0.17,0.06,,,100.0,14.7,0.0,0.0,,0.0,100.0,21.42,0.2213,32.05,0.5181
2011-09-07,113800.0,759046.0,0.52,0.08,0.45,0.76,0.0,546273.0,45900.0,81900.0,306153.0,,,,,,,,,,,,,,,,19000.0,,0.3,,,,100.0,24.08,0.0,0.0,,0.0,100.0,18.08,0.1827,26.65,0.597
2011-09-08,145800.0,1035180.0,0.67,0.1,0.58,1.01,0.0,808690.0,104900.0,113900.0,744790.0,,,14000.0,,,59000.0,,,,,,,,14000.0,0.4,45000.0,27000.0,0.72,0.18,,,100.0,53.15,0.0,0.0,,0.0,100.0,13.93,0.2588,43.98,0.7388
2011-09-09,170000.0,1256300.0,0.78,0.12,0.68,1.26,0.0,945920.0,115000.0,128000.0,849850.0,,,5000.0,0.04,,9000.0,,,5100.0,,,,0.04,5000.0,0.07,5100.0,,0.84,,,,100.0,58.27,0.0,0.0,,0.0,100.0,12.62,0.2272,40.47,0.8614
2011-09-12,170000.0,1224000.0,0.78,0.11,0.68,1.29,0.0,921600.0,124000.0,128000.0,892800.0,,,,,,,,,,,,,,,,9000.0,,0.91,,,,100.0,63.96,0.0,0.0,,0.0,100.0,12.6,0.2277,40.5,0.8769
2011-09-13,170000.0,1258000.0,0.78,0.11,0.68,1.26,0.0,947200.0,124000.0,128000.0,917600.0,,,,,,,,,,,,,,,,,,0.9,,,,100.0,20.1,0.0,0.0,,0.0,100.0,12.6,0.2261,40.29,0.2756
2011-09-14,170000.0,1220600.0,0.78,0.11,0.68,1.29,0.0,919040.0,134000.0,128000.0,962120.0,,,11757.0,,,,,0.01,,1757.0,,,,11757.0,,,,0.98,,,,100.0,11.33,0.0,0.0,,0.0,100.0,12.62,0.2268,40.37,0.1438
2011-09-15,180000.0,1301400.0,0.83,0.12,0.72,1.32,0.0,997740.0,134000.0,138000.0,968820.0,,,,0.07,,,,,10000.0,,,,0.07,,,,,0.96,,,,100.0,11.33,0.0,0.0,,0.0,100.0,18.07,0.2173,37.73,0.1522
2011-09-16,191752.0,1449645.12,0.88,0.13,0.77,1.45,0.0,1018725.12,149000.0,134752.0,1126440.0,,,10000.0,,,,,,,,,,,10000.0,,5000.0,3248.0,1.1,0.0,,,13.26,12.82,975000.0,7371000.0,,7.37,12.93,17.32,0.2054,36.7,0.1649
2011-09-19,191752.0,1443892.56,0.88,0.13,0.77,1.48,0.0,971370.0,180752.0,129000.0,1361062.56,,,35000.0,,,,,0.02,,3248.0,,,,35000.0,,,5752.0,1.37,0.07,,,16.13,15.54,940000.0,7078200.0,,7.08,16.2,17.75,0.2142,37.72,0.1649
2011-09-20,221200.0,1641304.0,1.02,0.15,0.88,1.69,0.0,1054382.0,197100.0,142100.0,1462482.0,,,35000.0,,,35000.0,,0.14,,18652.0,,,,35000.0,0.28,,21900.0,1.47,0.18,,,17.88,16.41,905000.0,6715100.0,,6.72,17.94,26.1,0.2194,29.82,0.1841
2011-09-21,271200.0,1939080.0,1.25,0.21,1.08,2.03,1.0,1051765.0,247100.0,147100.0,1766765.0,,,50000.0,,,5000.0,,,,,,,,50000.0,0.04,,,1.79,,,,22.42,21.2,855000.0,6113250.0,,6.11,22.69,24.33,0.2593,39.82,0.2327
2011-09-22,271200.0,1773648.0,1.25,0.22,1.08,1.94,1.0,962034.0,247100.0,147100.0,1616034.0,,,,,,,,,,,,,,,,,,1.68,,,,22.42,21.11,855000.0,5591700.0,,5.59,23.05,24.66,0.254,38.58,0.2317
2011-09-23,271200.0,1773648.0,1.25,0.23,1.08,1.85,1.0,962034.0,223100.0,147100.0,1459074.0,,,,,,,,0.16,,24000.0,,,,,,,,1.46,,,,20.69,19.3,855000.0,5591700.0,,5.59,20.72,23.38,0.2581,39.75,0.2346
2011-09-26,276100.0,1720103.0,1.27,0.23,1.1,1.85,1.0,916433.0,211264.0,147100.0,1316174.72,,,4900.0,,,,,0.14,,16736.0,,,,4900.0,,,,1.34,,,,19.51,18.33,871736.0,5430915.28,,5.43,19.83,23.79,0.2544,38.85,0.2395
2011-09-27,249464.0,1671408.8,1.15,0.21,1.0,1.64,0.0,839938.8,206364.0,125364.0,1382638.8,,,,,,,,0.03,,4900.0,,,,,,,21736.0,1.34,0.18,,,18.32,17.14,919936.0,6163571.2,,6.16,17.85,25.07,0.2949,45.41,0.2072
2011-09-28,238467.0,1573882.2,1.1,0.19,0.95,1.62,0.0,754822.2,209367.0,114367.0,1381822.2,,,14000.0,,,,,0.08,,10997.0,,,,14000.0,,,10997.0,1.39,0.09,,,20.29,19.11,822733.0,5430037.8,,5.43,20.42,27.84,0.3148,46.47,0.2176
2011-09-29,224467.0,1438833.47,1.03,0.18,0.9,1.49,0.0,643352.47,200367.0,100367.0,1284352.47,,,,,,,,0.06,,9000.0,,,,,,,14000.0,1.3,0.1,,,19.58,18.28,822733.0,5273718.53,,5.27,19.78,27.85,0.3394,49.38,0.2048
2011-09-30,224467.0,1429854.79,1.03,0.18,0.9,1.47,0.0,639337.79,200367.0,100367.0,1276337.79,,,,,,,,,,,,,,,,,,1.29,,,,19.58,18.28,822733.0,5240809.21,,5.24,19.8,27.77,0.3402,49.55,0.2048
2011-10-03,224467.0,1360270.02,1.03,0.18,0.9,1.44,0.0,608224.02,200367.0,100367.0,1214224.02,,,,,,,,,,,,,,,,,,1.25,,,,19.58,17.72,822733.0,4985761.98,,4.99,20.02,28.2,0.3339,48.59,0.1985
2011-10-04,224467.0,1308642.61,1.03,0.18,0.9,1.37,0.0,585139.61,200367.0,100367.0,1168139.61,,,,,,,,,,,,,,,,,,1.2,,,,19.58,18.19,822733.0,4796533.39,,4.8,20.06,27.69,0.3341,48.88,0.2037
