,GDS FP Equity_DX_SI_QTY,GDS FP Equity_DX_SHORT_INTEREST_VALUE,GDS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,GDS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GDS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GDS FP Equity_DX_SI_MV,GDS FP Equity_DX_DSS,GDS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GDS FP Equity_DX_SUPPLY_SI_QTY,GDS FP Equity_DX_BROKER_SI_QTY,GDS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GDS FP Equity_DX_BROKER_SI_MV_NEW_x,GDS FP Equity_DX_SUPPLY_SI_QTY_NEW_x,GDS FP Equity_DX_SUPPLY_SI_QTY_INC_x,GDS FP Equity_DX_BROKER_SI_MV_INC_x,GDS FP Equity_DX_SUPPLY_SI_MV_NEW,GDS FP Equity_DX_BROKER_SI_QTY_ADD,GDS FP Equity_DX_BROKER_SI_QTY_NEW,GDS FP Equity_DX_SUPPLY_SI_MV_DEC,GDS FP Equity_DX_BROKER_SI_QTY_INC,GDS FP Equity_DX_SUPPLY_SI_QTY_DEC,GDS FP Equity_DX_BROKER_SI_MV_NEW_y,GDS FP Equity_DX_SUPPLY_SI_QTY_NEW_y,GDS FP Equity_DX_BROKER_SI_MV_INC_y,GDS FP Equity_DX_SUPPLY_SI_QTY_INC_y,GDS FP Equity_DX_BROKER_SI_MV_ADD,GDS FP Equity_DX_SUPPLY_SI_QTY_ADD,GDS FP Equity_DX_BROKER_SI_QTY_DEC,GDS FP Equity_DX_SUPPLY_SI_MV,GDS FP Equity_DX_BROKER_SI_MV_DEC,GDS FP Equity_DX_SUPPLY_SI_MV_RMV,GDS FP Equity_DX_BROKER_SI_MV_RMV,GDS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GDS FP Equity_DX_UTILIZATION_QUANTITY,GDS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GDS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GDS FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,GDS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GDS FP Equity_DX_ACTIVE_UTILIZATION_MV,GDS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,GDS FP Equity_DX_BROKER_SI_CON_RATIO,GDS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GDS FP Equity_DX_DEMAND_SUPPLY_RATIO
2007-05-17,1130450.0,13994786.02,3.65,5.27,2.07,36.86,1.0,9448588.23,747162.0,763224.0,9249743.3,,,1039.0,0.71,,,,0.62,21255.0,18702.0,,,0.71,1039.0,,1467.0,3.0,24.33,0.0,,,16.02,16.02,3916749.0,48488711.7,,127.4,16.03,23.1,0.2988,47.33,0.2424
2007-05-18,1236186.0,15303780.4,3.99,5.39,2.26,40.2,1.0,10756988.38,854338.0,868912.0,10576564.64,,1138.0,68642.0,3.43,0.04,,,0.76,105688.0,23488.0,,1138.0,3.43,68642.0,,62000.0,,27.74,,0.04,,65.29,65.29,454187.0,5622760.74,1116.0,14.77,65.25,27.72,0.2777,42.2,0.9447
2007-05-21,806449.0,9989850.48,2.6,2.32,1.47,26.3,1.0,5414606.01,541300.0,437104.0,6705329.24,,,,,,,,10.88,,335932.0,,,,,,22894.0,431808.0,17.62,14.01,,,38.52,38.52,864084.0,10703801.43,,28.16,38.49,15.58,0.2902,47.08,0.5738
2007-05-22,846551.0,10489836.85,2.73,2.31,1.55,27.62,1.0,7152249.92,441305.0,577201.0,5468326.72,,,699.0,4.57,,,,4.07,140097.0,124975.0,,,4.57,699.0,,24281.0,,14.38,,,,32.39,32.39,921093.0,11413506.44,,30.06,32.36,22.93,0.248,38.89,0.6214
2007-05-23,706561.0,8752492.4,2.28,1.77,1.29,23.05,1.0,6835694.82,322634.0,551824.0,3996614.07,,,13.0,,,,,4.36,,133684.0,,,,13.0,,15000.0,25377.0,10.51,0.83,,,37.11,37.11,546708.0,6772320.6,,17.89,37.02,21.43,0.2408,38.14,0.8128
2007-05-24,700972.0,8677918.66,2.26,1.73,1.28,22.89,1.0,6762832.25,322591.0,546278.0,3993623.79,,,,,,,,0.0,,44.0,,,,,,,5546.0,10.5,0.17,,,40.48,40.48,474335.0,5872189.68,,15.54,40.33,21.58,0.2385,37.63,0.8796
2007-05-25,651789.0,8069041.16,2.1,1.34,1.19,21.25,1.0,6836541.8,267455.0,552232.0,3311049.13,,,5862.0,0.18,,325.0,,2.02,5662.0,61766.0,,,0.18,5862.0,0.01,768.0,33.0,8.7,0.01,,,48.43,48.43,284832.0,3526173.55,,9.29,48.35,21.39,0.2365,37.3,1.1802
2007-05-28,638402.0,7903312.29,9.82,1.31,1.17,20.84,1.0,6814790.42,255824.0,550475.0,3167059.26,,,,0.14,,,,0.38,3562.0,11631.0,,,0.14,,,,5319.0,8.32,0.17,,,47.33,47.33,284704.0,3524588.93,,9.29,47.24,21.8,0.2485,38.7,1.1811
2007-05-29,613353.0,7593209.77,9.44,1.26,1.12,20.03,1.0,6646003.73,244408.0,536841.0,3025731.05,,,7468.0,0.01,,,,0.61,129.0,18884.0,,,0.01,7468.0,,,13762.0,7.96,0.45,,,50.79,50.79,236788.0,2931396.69,,7.7,50.85,22.72,0.2551,40.1,1.2746
2007-05-30,605640.0,7601538.74,9.32,1.25,1.11,19.81,1.0,6640251.09,182495.0,529051.0,2290540.27,,,87.0,,,,,2.02,,62000.0,,,,87.0,,,7790.0,5.99,0.24,,,36.1,36.1,323068.0,4054907.07,,10.56,36.2,22.97,0.2514,39.34,1.198
2007-05-31,619346.0,7724022.95,9.53,1.27,1.13,20.27,1.0,6769024.0,182485.0,542770.0,2275817.28,,,,0.45,,,,0.0,13718.0,10.0,,,0.45,,,,,5.98,,,,51.78,51.78,169938.0,2119340.42,,5.61,51.6,24.38,0.2514,38.72,1.7574
2007-06-01,632078.0,7897253.18,9.72,1.29,1.15,20.63,1.0,7158801.2,165008.0,572974.0,2061628.4,,,,1.73,,,,0.66,53619.0,20018.0,,,1.73,,,2540.0,23415.0,5.4,0.79,,,46.87,46.87,187064.0,2337198.53,,6.11,46.89,23.99,0.2981,46.23,1.7953
2007-06-04,632226.0,7899102.31,92.91,1.28,1.16,20.64,1.0,7160825.25,164995.0,573136.0,2061465.97,,,,0.01,,,,0.0,162.0,12.0,,,0.01,,,,,5.4,,,,47.18,47.18,184734.0,2308087.25,,6.04,47.21,24.02,0.2981,46.21,1.8078
2007-06-05,592771.0,7417436.99,87.11,1.2,1.08,19.35,1.0,6677971.94,165000.0,533676.0,2064671.02,,,5.0,,,,,,,,,,,5.0,,,39460.0,5.41,1.29,,,47.27,47.27,184088.0,2303522.17,,6.0,47.4,25.59,0.2954,45.14,1.6981
2007-06-06,491624.0,6121805.68,72.24,0.99,0.9,16.06,0.0,5572227.36,82043.0,447489.0,1021616.73,,,43.0,,,,,2.72,,83000.0,,,,43.0,,,86188.0,2.68,2.81,,,65.91,65.91,42432.0,528372.21,,1.39,65.85,30.69,0.3034,42.84,3.9496
2007-06-07,385440.0,4793707.29,56.64,0.77,0.7,12.59,0.0,4337145.97,74612.0,348730.0,927947.51,,,,,,,,0.24,,7431.0,,,,,,,98758.0,2.44,3.22,,,64.49,64.49,41082.0,510935.77,,1.34,64.56,21.29,0.3239,49.88,3.3315
2007-06-08,389863.0,4847230.96,57.29,0.78,0.71,12.74,0.0,4391020.84,74593.0,353170.0,927427.07,,,3039.0,0.15,,,,0.15,4550.0,4503.0,,,0.15,3039.0,,1446.0,111.0,2.44,0.0,,,73.8,73.8,26478.0,329205.34,,0.87,73.81,21.01,0.328,50.46,3.8573
2007-06-11,378404.0,4709083.55,55.61,0.75,0.69,12.36,0.0,4252727.91,74571.0,341733.0,928005.7,,,,,,4550.0,,0.0,,22.0,,,,,0.15,,15987.0,2.43,0.52,,,73.88,73.88,26364.0,328089.23,,0.86,73.87,18.48,0.3249,50.94,3.749
2007-06-12,383436.0,4760020.13,56.35,0.76,0.7,12.53,0.0,4304421.96,70004.0,346736.0,869037.99,,,30.0,0.31,,,,0.15,9601.0,4597.0,,,0.31,30.0,,,4597.0,2.29,0.16,,,72.66,72.66,26344.0,327037.55,,0.86,72.71,18.25,0.3385,52.76,3.9797
2007-06-13,396390.0,4937441.76,58.25,0.79,0.72,12.94,0.0,4468422.78,70957.0,358736.0,883841.81,,,,0.36,,1000.0,,0.0,11014.0,47.0,,,0.36,,0.03,1000.0,15.0,2.32,0.0,,,73.73,73.73,25286.0,314962.92,,0.83,73.72,17.66,0.3378,52.99,4.1186
2007-06-14,394105.0,4880456.63,57.91,0.78,0.72,12.87,0.0,4551831.83,59843.0,367568.0,741074.5,,,30.0,0.29,,,,0.36,9000.0,11144.0,,,0.29,30.0,,,168.0,1.95,0.0,,,66.77,66.77,29779.0,368772.58,,0.97,66.86,17.71,0.3627,55.54,4.3974
2007-06-15,394085.0,4883211.24,57.91,0.78,0.72,12.84,0.0,4555251.65,59769.0,367618.0,740613.45,,,,0.0,,,,0.0,50.0,74.0,,,0.0,,,,,1.94,,,,66.64,66.64,29923.0,370783.79,,0.98,66.52,17.72,0.3641,55.68,4.3938
2007-06-18,394161.0,4866135.81,57.92,0.78,0.72,12.84,0.0,4538978.63,59803.0,367661.0,738301.15,,,34.0,0.0,,,,,43.0,,,,0.0,34.0,,,,1.94,,,,66.39,66.39,30269.0,373687.57,,0.98,66.37,17.73,0.3638,55.65,4.3761
2007-06-19,386394.0,4782022.65,56.78,0.76,0.71,12.58,0.0,4466656.72,58781.0,360912.0,727475.25,,,,,,,,0.03,,1022.0,,,,,,,6749.0,1.91,0.22,,,65.29,65.29,31247.0,386713.72,,1.01,65.31,18.03,0.3626,55.38,4.2919
2007-06-20,379832.0,4674767.88,55.82,0.75,0.69,12.38,0.0,4360742.99,58816.0,354317.0,723875.68,,,35.0,0.01,,,,,141.0,,,,0.01,35.0,,,6736.0,1.91,0.22,,,65.16,65.16,31446.0,387020.45,,1.02,65.2,18.37,0.3554,54.52,4.2081
2007-06-21,365930.0,4484155.04,53.77,0.72,0.67,11.92,0.0,4184149.34,57778.0,341448.0,708019.32,,,,,,,,0.04,,1039.0,,,,,,,12869.0,1.87,0.42,,,63.94,63.94,32578.0,399215.16,,1.05,64.04,18.98,0.3634,55.05,4.0499
2007-06-22,364960.0,4349931.06,53.63,0.72,0.67,11.86,0.0,4057965.06,57794.0,340464.0,688842.38,,,804.0,0.0,,,,0.03,16.0,787.0,,,0.0,804.0,,,1000.0,1.83,0.03,,,65.65,65.65,30239.0,360416.39,,0.95,65.83,18.99,0.3664,55.32,4.1457
2007-06-25,360250.0,4275953.58,52.94,0.92,0.66,11.7,0.0,4018043.25,39920.0,338521.0,473826.7,,,,,,,,0.56,,17875.0,,,,,,,1943.0,1.26,0.06,,,56.09,56.09,31246.0,370871.47,,0.98,56.21,18.73,0.374,56.09,5.0621
2007-06-26,347306.0,4056168.42,51.04,1.0,0.63,11.26,0.0,3802560.09,39903.0,325591.0,466025.03,,,,,,,,0.0,,17.0,,,,,,,12929.0,1.25,0.43,,,54.26,54.26,33632.0,392786.35,,1.04,54.59,19.37,0.362,54.61,4.7231
2007-06-27,279322.0,3279210.69,41.05,0.87,0.51,9.04,0.0,3025511.58,39783.0,257712.0,467048.21,,,,,,,,0.0,,120.0,,,,,,,67880.0,1.24,2.21,,,54.23,54.23,33576.0,394178.68,,1.04,54.33,23.74,0.3311,48.6,3.8077
2007-06-28,319466.0,3733460.34,46.95,1.07,0.58,10.29,0.0,3480095.6,39864.0,297786.0,465873.25,,,81.0,1.24,,4550.0,,,39024.0,,,,1.24,81.0,0.14,,3500.0,1.24,0.11,,,53.96,53.96,34010.0,397460.09,,1.05,54.13,32.95,0.3108,41.6,4.3245
2007-06-29,386329.0,4495728.41,56.77,1.36,0.71,12.13,0.0,4242215.36,39990.0,364544.0,465365.48,,,126.0,1.89,,,,,67757.0,,,,1.89,126.0,,,998.0,1.23,0.03,,,54.27,54.27,33702.0,392191.73,,1.04,54.19,27.83,0.3574,50.98,5.2425
2007-07-02,358191.0,4317349.59,52.64,2.15,0.65,11.14,0.0,4054649.98,40004.0,336396.0,482176.42,,,14.0,0.0,,,,,343.0,,,,0.0,14.0,,,28491.0,1.24,0.97,,,51.0,51.0,38443.0,463361.36,,1.21,50.6,30.16,0.3814,52.77,4.566
2007-07-03,365620.0,4419572.53,53.73,2.47,0.67,11.46,0.0,4156636.85,39980.0,343868.0,483273.64,,,,0.31,,,,0.0,7472.0,25.0,,,0.31,,,,,1.24,,,,50.99,50.99,38431.0,464549.51,,1.22,50.47,30.03,0.377,52.28,4.6629
2007-07-04,360003.0,4357223.71,6.03,3.1,0.66,11.35,0.0,4094449.0,39936.0,338292.0,483357.32,,,,,,,,0.0,,43.0,,,,,,,5576.0,1.25,0.13,,,50.95,50.95,38442.0,465275.0,,1.21,50.91,30.33,0.373,51.68,4.5931
2007-07-05,375112.0,4438912.42,6.29,3.35,0.69,11.84,0.0,4182064.88,39930.0,353407.0,472514.27,,,,0.48,,,,0.0,15114.0,6.0,,,0.48,,,,,1.25,,,,51.08,51.08,38242.0,452539.21,,1.18,51.62,29.14,0.3603,51.12,4.7985
2007-07-06,379589.0,4519682.22,6.36,12.12,0.69,11.87,0.0,4222179.45,43215.0,354603.0,514551.44,,11638.0,,0.0,0.36,,,,1197.0,,,11638.0,0.0,,,,,1.34,,0.26,,55.24,55.24,35019.0,416963.48,8353.0,1.08,55.17,29.12,0.355,50.6,4.852
2007-07-09,376867.0,4452419.37,6.32,11.79,0.69,11.81,0.0,4157239.11,43215.0,351882.0,510554.93,,,,,,,,,,,,,,,,,2722.0,1.34,0.08,,,55.59,55.59,34521.0,407841.41,,1.06,55.73,28.6,0.3558,50.96,4.848
2007-07-10,318638.0,3762028.93,5.34,9.72,0.58,9.94,0.0,3467041.22,43215.0,293653.0,510221.88,,,,,,,,,,,,,,,,,58229.0,1.31,1.83,,,55.42,55.42,34757.0,410361.73,,1.07,55.03,15.54,0.4086,60.37,4.0866
2007-07-11,318254.0,3723157.77,5.33,9.65,0.58,9.93,0.0,3430865.78,43215.0,293269.0,505559.28,,,,,,,,,,,,,,,,,383.0,1.32,0.01,,,56.78,56.78,32899.0,384875.5,,1.0,56.74,15.44,0.4089,60.42,4.1813
2007-07-12,364246.0,4271029.25,6.11,11.71,0.67,11.26,0.0,4066005.87,18623.0,346761.0,218367.2,,,,2.17,,,,0.75,70584.0,24592.0,,,2.17,,,,17092.0,0.56,0.58,,,34.2,34.2,35837.0,420212.92,,1.09,34.08,32.88,0.3961,53.08,6.6883
2007-07-13,364391.0,4254475.95,6.11,12.5,0.67,11.28,0.0,4050328.45,18623.0,346906.0,217434.31,,,,0.01,,,,,145.0,,,,0.01,,,,,0.57,,,,33.01,33.01,37791.0,441231.81,,1.15,33.09,32.91,0.3959,53.05,6.4592
2007-07-16,384216.0,4490385.83,6.44,14.34,0.7,11.86,0.0,4286036.21,18623.0,366731.0,217649.59,,,,0.6,,,,,20000.0,,,,0.6,,,,175.0,0.56,0.02,,,33.01,33.01,37792.0,441680.36,,1.15,33.02,31.17,0.4108,55.5,6.8105
2007-07-17,374660.0,4313737.6,6.28,15.27,0.68,11.58,0.0,4112419.87,18623.0,357175.0,214420.37,,,,0.02,,,,,444.0,,,,0.02,,,,10000.0,0.56,0.3,,,34.78,34.78,34924.0,402105.83,,1.05,35.07,32.08,0.4032,54.26,6.9968
2007-07-18,375495.0,4352289.67,6.29,15.85,0.69,11.54,0.0,4149624.43,18623.0,358010.0,215855.58,,,,0.01,,,,,835.0,,,,0.01,,,,,0.56,,,,34.78,34.78,34924.0,404797.31,,1.05,34.63,32.23,0.403,54.15,7.0124
2007-07-19,380009.0,4510040.08,6.37,16.98,0.69,11.7,0.0,4302523.81,18623.0,362524.0,221022.33,,,,0.16,,,,,5000.0,,,,0.16,,,,485.0,0.56,0.01,,,38.08,38.08,30281.0,359382.34,,0.93,37.6,31.72,0.4068,54.82,7.7705
2007-07-20,384815.0,4587838.32,6.45,17.25,0.7,11.89,0.0,4379378.79,18623.0,367330.0,222026.98,,,,,,5000.0,,,,,,,,,0.15,,195.0,0.57,0.0,,,37.57,37.57,30945.0,368932.23,,0.96,37.42,31.27,0.3957,54.05,7.7634
2007-07-23,306372.0,3610125.96,5.14,14.52,0.56,9.53,0.0,3404091.95,18623.0,288887.0,219443.6,,,,,,,,,,,,,,,,,78442.0,0.58,2.36,,,36.91,36.91,31830.0,375067.92,,0.98,37.16,16.22,0.4778,66.63,6.0724
2007-07-24,301038.0,3504353.01,5.05,14.37,0.55,9.32,0.0,3300800.24,18623.0,283552.0,216788.47,,,,,,,,,,,,,,,,,5335.0,0.57,0.17,,,34.97,34.97,34635.0,403182.54,,1.05,35.12,16.4,0.495,67.87,5.6524
2007-07-25,295598.0,3437609.41,4.95,14.37,0.54,9.13,0.0,3234270.41,18623.0,278113.0,216573.18,,,,,,,,,,,,,,,,,5439.0,0.57,0.2,,,37.66,37.66,30823.0,358451.12,,0.93,37.89,16.55,0.4894,67.4,5.9782
2007-07-26,295603.0,3393244.41,4.95,14.0,0.54,9.12,0.0,3192533.06,18623.0,278118.0,213774.52,,,,0.0,,,,,5.0,,,,0.0,,,,,0.56,,,,37.66,37.66,30823.0,353819.05,,0.92,37.79,16.55,0.4901,67.45,5.9783
2007-07-27,295330.0,3338900.5,4.95,13.96,0.54,9.04,0.0,3141221.04,17485.0,277845.0,197679.46,,,,,,,,0.03,,1138.0,,,,,,,273.0,0.52,0.02,,,35.36,35.36,31962.0,361351.5,,0.94,35.85,16.48,0.4931,67.71,5.9727
2007-07-30,275803.0,3076687.28,4.62,13.93,0.5,8.38,0.0,2881635.46,17485.0,258318.0,195051.82,,,,,,,,,,,,,,,,,19527.0,0.51,0.64,,,34.84,34.84,32697.0,364747.46,,0.96,34.82,17.5,0.5324,70.39,5.4961
2007-07-31,259534.0,2886199.78,4.35,13.21,0.47,7.86,0.0,2691754.34,17485.0,242049.0,194445.44,,,,,,,,,,,,,,,,,16269.0,0.51,0.49,,,34.83,34.83,32722.0,363891.55,,0.95,34.72,18.42,0.5952,74.72,5.1693
2007-08-01,259846.0,2819580.44,4.36,13.4,0.47,7.86,0.0,2629851.27,17485.0,242361.0,189729.16,,,,0.01,,,,,400.0,,,,0.01,,,,88.0,0.51,0.0,,,34.48,34.48,33222.0,360490.83,,0.95,34.77,18.37,0.5949,74.71,5.1245
2007-08-02,165225.0,1834234.35,2.77,8.82,0.3,4.92,0.0,1640125.78,17485.0,147740.0,194108.56,,,,,,,,,,,,,,,,,94621.0,0.49,2.92,,,34.48,34.48,33222.0,368811.82,,0.97,33.67,28.59,0.4569,60.66,3.2584
2007-08-03,182079.0,2053611.96,3.05,9.8,0.33,5.44,0.0,1856404.12,17485.0,164594.0,197207.83,,,,0.51,,,,,16854.0,,,,0.51,,,,,0.5,,,,34.93,34.93,32575.0,367403.21,,0.96,34.23,35.2,0.4313,54.89,3.6372
2007-08-06,182908.0,2019264.13,3.07,10.3,0.33,5.48,0.0,1826233.57,17485.0,165423.0,193030.56,,,,0.03,,,,,829.0,,,,0.03,,,,,0.51,,,,34.93,34.93,32572.0,359587.72,,0.93,35.41,35.5,0.4291,54.48,3.654
2007-08-07,181693.0,2006550.92,3.05,10.33,0.33,5.43,0.0,1813452.98,17485.0,164208.0,193097.93,,,,,,,,,,,,,,,,,1216.0,0.5,0.04,,,35.11,35.11,32314.0,356863.98,,0.92,35.25,35.06,0.4314,54.98,3.6485
2007-08-08,181777.0,1981562.07,3.05,10.75,0.33,5.43,0.0,1790957.03,17485.0,164292.0,190605.04,,,,0.0,,,,,84.0,,,,0.0,,,,,0.5,,,,35.39,35.39,31917.0,347929.15,,0.9,35.59,35.09,0.4318,55.01,3.6795
2007-08-09,180967.0,1976916.16,3.03,10.8,0.33,5.41,0.0,1785906.87,17485.0,163482.0,191009.3,,,,,,,,,,,,,,,,,810.0,0.5,0.02,,,35.59,35.59,31642.0,345662.92,,0.89,35.85,34.8,0.4327,55.27,3.6837
2007-08-10,181165.0,1956042.25,3.04,10.07,0.33,5.41,0.0,1767256.35,17485.0,163680.0,188785.91,,,,0.0,,,,,199.0,,,,0.0,,,,,0.5,,,,35.59,35.59,31645.0,341671.72,,0.89,35.83,34.87,0.4331,55.26,3.6875
2007-08-13,180473.0,1954134.08,3.02,10.2,0.33,5.38,0.0,1764809.17,17485.0,162988.0,189324.91,,,,,,,,,,,,,,,,,692.0,0.49,0.02,,,38.3,38.3,28169.0,305009.63,,0.79,38.45,34.62,0.4341,55.51,3.9531
2007-08-14,185351.0,2025521.99,3.11,10.29,0.34,5.52,0.0,1823517.29,18485.0,166866.0,202004.7,,,1000.0,0.11,,,,,3878.0,,,,0.11,1000.0,,,,0.52,,,,40.49,40.49,27170.0,296914.68,,0.77,40.49,33.87,0.4338,55.97,4.0598
2007-08-15,189533.0,2071953.36,3.18,10.91,0.35,5.64,0.0,1880809.31,18485.0,172048.0,202075.93,,,,0.02,,4590.0,,,592.0,,,,0.02,,0.13,,,0.53,,,,40.5,40.5,27159.0,296899.12,,0.77,40.77,33.43,0.4174,54.74,4.1524
2007-08-16,189713.0,1936488.19,3.18,11.6,0.35,5.63,0.0,1758010.72,18485.0,172228.0,188684.93,,,,0.0,,,,,180.0,,,,0.0,,,,,0.53,,,,36.61,36.61,32005.0,326689.81,,0.85,38.3,33.49,0.4186,54.82,3.7574
2007-08-17,186133.0,1940110.42,3.12,10.74,0.34,5.47,0.0,1757859.93,19485.0,168648.0,203096.99,,,1000.0,,,,,,,,,,,1000.0,,,3581.0,0.51,0.13,,,38.59,38.59,31005.0,323172.8,,0.84,37.96,32.18,0.4273,56.42,3.6865
2007-08-20,190157.0,2000372.0,3.19,10.65,0.35,5.61,0.0,1784878.38,22485.0,169672.0,236532.78,,,3000.0,0.04,,,,,1025.0,,,,0.04,3000.0,,,,0.61,,,,44.53,44.53,28005.0,294600.87,,0.76,44.25,32.05,0.4135,55.2,3.7662
2007-08-21,202066.0,2102290.9,3.39,11.76,0.37,5.93,0.0,1889165.34,22485.0,181581.0,233933.52,,,,0.32,,,,,11908.0,,,,0.32,,,,,0.61,,,,44.53,44.53,28005.0,291363.5,,0.75,45.0,30.61,0.3742,52.13,4.0021
2007-08-22,208137.0,2191920.13,3.49,12.02,0.38,6.06,0.0,1934065.14,26485.0,183652.0,278917.27,,,4000.0,0.06,,,,,2300.0,,,,0.06,4000.0,,,229.0,0.71,0.02,,,57.88,57.88,19272.0,202956.15,,0.53,57.13,29.61,0.3576,50.97,4.5487
2007-08-23,210880.0,2234621.07,3.53,12.34,0.39,6.18,0.0,1975162.15,26485.0,186395.0,280652.21,,,,0.08,,,,,2800.0,,,,0.08,,,,57.0,0.72,0.0,,,57.78,57.78,19354.0,205087.52,,0.54,57.46,29.2,0.3495,50.26,4.6004
2007-08-24,216189.0,2335863.2,3.62,12.84,0.39,6.31,0.0,2068122.05,26780.0,191409.0,289350.6,,,295.0,0.13,,,,,5015.0,,,,0.13,295.0,,,,0.73,,,,58.42,58.42,19059.0,205927.3,,0.54,57.27,28.49,0.3367,49.04,4.7163
2007-08-27,274060.0,2962199.62,4.59,16.22,0.5,7.89,0.0,2694362.99,26780.0,249280.0,289453.79,,,,1.57,,,,,57870.0,,,,1.57,,,,,0.74,,,,58.42,58.42,19059.0,206000.74,,0.55,57.61,23.64,0.4008,57.85,5.9788
2007-08-28,282101.0,3044763.3,4.73,16.94,0.52,8.12,0.0,2777297.82,26780.0,257320.0,289041.02,,,,0.22,,,,,8058.0,,,,0.22,,,,17.0,0.75,0.0,,,21.93,21.93,95333.0,1028945.02,,2.67,22.01,22.96,0.4096,58.91,2.3102
2007-08-29,297173.0,3350576.0,4.98,18.27,0.54,8.54,0.0,3071185.63,26780.0,272393.0,301940.03,,,,0.42,,,,,15072.0,,,,0.42,,,,,0.75,,,,58.42,58.42,19059.0,214887.05,,0.57,56.57,21.82,0.4113,59.34,6.483
2007-08-30,302069.0,3375514.35,5.06,18.36,0.55,8.76,0.0,3098606.6,26780.0,277289.0,299257.04,,,,0.08,,2683.0,,,2214.0,,,,0.08,,0.08,,,0.79,,,,21.93,21.93,95333.0,1065312.59,,2.78,22.03,22.2,0.3955,57.81,2.4737
2007-08-31,299549.0,3306955.13,5.02,18.43,0.55,8.68,0.0,3033389.38,26780.0,274769.0,295645.32,,,,0.0,,,,,172.0,,,,0.0,,,,2692.0,0.78,0.08,,,25.0,25.0,80340.0,886935.95,,2.32,25.09,22.45,0.393,57.5,2.7964
2007-09-03,293575.0,3257972.09,4.92,16.16,0.54,8.49,0.0,3052833.32,20485.0,275090.0,227333.93,,,,0.0,,,,0.18,321.0,6295.0,,,0.0,,,,,0.59,,,,44.69,44.69,25354.0,281368.05,,0.73,44.53,23.01,0.4101,58.82,6.4045
2007-09-04,246044.0,2683088.62,4.12,13.03,0.45,7.12,0.0,2481511.28,20485.0,227559.0,223387.16,,,,0.11,,,,,3600.0,,,,0.11,,,,51131.0,0.59,1.48,,,45.6,45.6,24438.0,266494.28,,0.69,46.13,11.46,0.527,71.09,5.477
2007-09-05,328209.0,3503209.08,5.5,16.5,0.6,9.41,0.0,3460514.22,6000.0,324209.0,64042.29,,,,2.74,,,,0.42,96794.0,14485.0,,,2.74,,,,145.0,0.17,0.01,,,4.83,4.83,118134.0,1260928.56,,3.32,4.84,8.52,0.6962,82.83,2.644
2007-09-06,306862.0,3200863.61,5.14,14.91,0.56,8.8,0.0,3159139.79,6000.0,302862.0,62585.73,,,,,,,,,,,,,,,,,21346.0,0.17,0.59,,,12.18,12.18,43260.0,451243.1,,1.18,12.33,8.93,0.6831,81.98,6.2294
2007-09-07,307442.0,3198620.85,5.15,14.4,0.56,8.79,0.0,3157004.92,6000.0,303442.0,62423.89,,,,0.02,,,,,897.0,,,,0.02,,,,318.0,0.16,0.01,,,12.37,12.37,42492.0,442085.98,,1.15,12.32,8.74,0.6839,82.05,6.3401
2007-09-10,312712.0,3289599.27,5.24,13.16,0.57,8.93,0.0,3247520.95,6000.0,308712.0,63117.49,,,,0.15,,,,,5290.0,,,,0.15,,,,19.0,0.16,0.0,,,12.37,12.37,42492.0,446998.04,,1.16,12.25,8.58,0.6895,82.42,6.4487
2007-09-11,312870.0,3296083.72,5.24,12.74,0.57,8.95,0.0,3253943.75,6000.0,308870.0,63209.97,,,,0.0,,,,,157.0,,,,0.0,,,,,0.16,,,,12.37,12.37,42492.0,447652.99,,1.16,12.33,8.65,0.6877,82.3,6.452
2007-09-12,315639.0,3428637.23,5.29,12.35,0.58,8.97,0.0,3385187.12,6000.0,311639.0,65175.16,,,,0.07,,,,,2769.0,,,,0.07,,,,,0.16,,,,12.37,12.37,42492.0,461570.51,,1.19,12.05,8.64,0.6752,81.52,6.5091
2007-09-13,316086.0,3428620.85,5.3,11.83,0.58,9.0,0.0,3363538.17,6000.0,310086.0,65082.68,,,,0.01,,,,,447.0,,,,0.01,,,,,0.17,,,0.06,12.37,12.37,42492.0,460915.57,,1.2,12.41,8.87,0.6692,81.12,6.5183
2007-09-14,316159.0,3346570.75,5.3,11.58,0.58,8.95,0.0,3283060.23,6000.0,310159.0,63510.53,,,,0.0,,,,,72.0,,,,0.0,,,,,0.17,,,,12.37,12.37,42492.0,449781.55,,1.18,12.44,8.9,0.6669,80.97,6.5198
2007-09-17,319594.0,3429727.53,5.36,11.34,0.58,9.15,0.0,3365338.44,6000.0,313594.0,64389.08,,,,0.22,,,,,4000.0,,,,0.22,,,,565.0,0.17,0.01,,,12.37,12.37,42492.0,456003.5,,1.18,12.42,8.51,0.6778,81.7,6.5907
