,SBT FP Equity_DX_SI_QTY,SBT FP Equity_DX_SHORT_INTEREST_VALUE,SBT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,SBT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SBT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SBT FP Equity_DX_SI_MV,SBT FP Equity_DX_DSS,SBT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SBT FP Equity_DX_SUPPLY_SI_QTY,SBT FP Equity_DX_BROKER_SI_QTY,SBT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SBT FP Equity_DX_BROKER_SI_MV_NEW_x,SBT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,SBT FP Equity_DX_SUPPLY_SI_QTY_INC_x,SBT FP Equity_DX_BROKER_SI_MV_INC_x,SBT FP Equity_DX_SUPPLY_SI_MV_NEW,SBT FP Equity_DX_BROKER_SI_QTY_ADD,SBT FP Equity_DX_BROKER_SI_QTY_NEW,SBT FP Equity_DX_SUPPLY_SI_MV_DEC,SBT FP Equity_DX_BROKER_SI_QTY_INC,SBT FP Equity_DX_SUPPLY_SI_QTY_DEC,SBT FP Equity_DX_BROKER_SI_MV_NEW_y,SBT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,SBT FP Equity_DX_BROKER_SI_MV_INC_y,SBT FP Equity_DX_SUPPLY_SI_QTY_INC_y,SBT FP Equity_DX_BROKER_SI_MV_ADD,SBT FP Equity_DX_SUPPLY_SI_QTY_ADD,SBT FP Equity_DX_BROKER_SI_QTY_DEC,SBT FP Equity_DX_SUPPLY_SI_MV,SBT FP Equity_DX_BROKER_SI_MV_DEC,SBT FP Equity_DX_SUPPLY_SI_MV_RMV,SBT FP Equity_DX_BROKER_SI_MV_RMV,SBT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SBT FP Equity_DX_UTILIZATION_QUANTITY,SBT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SBT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SBT FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,SBT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SBT FP Equity_DX_ACTIVE_UTILIZATION_MV,SBT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SBT FP Equity_DX_BROKER_SI_CON_RATIO,SBT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SBT FP Equity_DX_DEMAND_SUPPLY_RATIO
2009-10-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,323674.0,330419.62,,0.39,0.0,,0.0,,0.0
2009-10-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,323674.0,330419.62,,0.39,0.0,,0.0,,0.0
2009-10-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,323674.0,330419.62,,0.39,0.0,,0.0,,0.0
2009-10-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,323674.0,330419.62,,0.39,0.0,,0.0,,0.0
2009-10-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,323674.0,330419.62,,0.39,0.0,,0.0,,0.0
2009-10-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,323674.0,330419.62,,0.39,0.0,,0.0,,0.0
2009-10-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,323674.0,344187.11,,0.4,0.0,,0.0,,0.0
2009-10-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,323674.0,338680.12,,0.4,0.0,,0.0,,0.0
2009-10-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,323674.0,327666.13,,0.39,0.0,,0.0,,0.0
2009-10-22,1.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.01,,,,,,,,,,,,,,,,1.0,,0.0,,,,100.0,0.0,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0
2009-10-23,1.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.01,,,,,,,,,,,,,,,,,,0.0,,,,100.0,0.0,0.0,0.0,,0.0,99.98,,1.0,100.0,0.0
2009-10-26,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,0.0,,,,100.0,0.0,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0
2009-10-27,1.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.98,,,,,,,,,,,,,,,,,,0.0,,,,100.0,0.0,0.0,0.0,,0.0,99.96,,1.0,100.0,0.0
2009-10-28,1.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.97,,,,,,,,,,,,,,,,,,0.0,,,,100.0,0.0,0.0,0.0,,0.0,100.02,,1.0,100.0,0.0
2009-10-29,1.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.97,,,,,,,,,,,,,,,,,,0.0,,,,100.0,0.0,0.0,0.0,,0.0,99.98,,1.0,100.0,0.0
2009-10-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,1.0,,,,,,,,0.0,,,,0.0,0.0,320871.0,305720.99,,0.36,0.0,,0.0,,0.0
2009-11-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,320871.0,324828.56,,0.37,0.0,,0.0,,0.0
2009-11-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,255535.0,252165.2,,0.3,0.0,,0.0,,0.0
2009-11-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,223199.0,220255.62,,0.26,0.0,,0.0,,0.0
2009-11-05,2774.0,2713.82,0.01,0.05,0.01,0.0,0.0,0.0,2774.0,0.0,2713.82,,,,,,,,,,,,,,,,2774.0,,0.0,,,,100.0,1.24,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0124
2009-11-06,2774.0,2713.82,0.01,0.06,0.01,0.0,0.0,0.0,2774.0,0.0,2713.82,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.24,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0124
2009-11-09,2774.0,2926.21,0.01,0.06,0.01,0.0,0.0,0.0,2774.0,0.0,2926.21,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.24,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0124
2009-11-10,2774.0,2973.4,0.01,0.05,0.01,0.0,0.0,0.0,2774.0,0.0,2973.4,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.24,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0124
2009-11-11,2774.0,2926.21,0.01,0.05,0.01,0.0,0.0,0.0,2774.0,0.0,2926.21,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.24,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0124
2009-11-12,2774.0,3067.8,0.01,0.05,0.01,0.0,0.0,0.0,2774.0,0.0,3067.8,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.24,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0124
2009-11-13,2774.0,2997.0,0.01,0.04,0.01,0.0,0.0,0.0,2774.0,0.0,2997.0,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.24,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0124
2009-11-16,2774.0,2902.61,0.01,0.04,0.01,0.0,0.0,0.0,2774.0,0.0,2902.61,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.24,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0124
2009-11-17,2774.0,3020.6,0.01,0.04,0.01,0.0,0.0,0.0,2774.0,0.0,3020.6,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.24,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0124
2009-11-18,2774.0,2949.8,0.01,0.04,0.01,0.0,0.0,0.0,2774.0,0.0,2949.8,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.24,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0124
2009-11-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,2774.0,,,,,,,,0.0,,,,0.0,0.0,223199.0,239243.18,,0.28,0.0,,0.0,,0.0
2009-11-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,223199.0,235445.67,,0.28,0.0,,0.0,,0.0
2009-11-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,223199.0,235445.67,,0.28,0.0,,0.0,,0.0
2009-11-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,223199.0,246838.2,,0.28,0.0,,0.0,,0.0
2009-11-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,223199.0,241141.93,,0.29,0.0,,0.0,,0.0
2009-11-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,223199.0,233546.91,,0.28,0.0,,0.0,,0.0
2009-11-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,223199.0,233546.91,,0.27,0.0,,0.0,,0.0
2009-11-30,14.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.29,,,,,,,,,,,,,,,,14.0,,0.0,,,,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0001
2009-12-01,14.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,13.7,,,,,,,,,,,,,,,,,,0.0,,,,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0001
2009-12-02,14.0,13.46,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,13.46,,,,,,,,,,,,,,,,,,0.0,,,,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0001
2009-12-03,14.0,13.58,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,13.58,,,,,,,,,,,,,,,,,,0.0,,,,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0001
2009-12-04,14.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,13.7,,,,,,,,,,,,,,,,,,0.0,,,,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0001
2009-12-07,14.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.29,,,,,,,,,,,,,,,,,,0.0,,,,100.0,0.01,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0001
2009-12-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,14.0,,,,,,,,0.0,,,,0.0,0.0,223199.0,218356.87,,0.26,0.0,,0.0,,0.0
2009-12-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,223199.0,222154.38,,0.26,0.0,,0.0,,0.0
2009-12-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,223199.0,220255.62,,0.26,0.0,,0.0,,0.0
2009-12-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,223199.0,220255.62,,0.26,0.0,,0.0,,0.0
2009-12-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,223199.0,218356.87,,0.26,0.0,,0.0,,0.0
2009-12-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,223199.0,216458.11,,0.26,0.0,,0.0,,0.0
2009-12-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,223199.0,212660.6,,0.25,0.0,,0.0,,0.0
2009-12-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,223199.0,212660.6,,0.25,0.0,,0.0,,0.0
2009-12-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,223199.0,222154.38,,0.25,0.0,,0.0,,0.0
2009-12-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,223199.0,220255.62,,0.26,0.0,,0.0,,0.0
2009-12-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,223199.0,212660.6,,0.26,0.0,,0.0,,0.0
2009-12-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,223199.0,216458.11,,0.25,0.0,,0.0,,0.0
2009-12-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,223199.0,220255.62,,0.26,0.0,,0.0,,0.0
2009-12-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,223199.0,220255.62,,0.26,0.0,,0.0,,0.0
2009-12-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,223199.0,216458.11,,0.26,0.0,,0.0,,0.0
2009-12-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,223199.0,214559.36,,0.25,0.0,,0.0,,0.0
2009-12-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,223199.0,218356.87,,0.25,0.0,,0.0,,0.0
2009-12-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,232884.0,227831.76,,0.27,0.0,,0.0,,0.0
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,232884.0,227831.76,,0.27,0.0,,0.0,,0.0
2010-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,232884.0,231794.05,,0.27,0.0,,0.0,,0.0
2010-01-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,232884.0,233775.2,,0.27,0.0,,0.0,,0.0
2010-01-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,232884.0,233775.2,,0.27,0.0,,0.0,,0.0
2010-01-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,232884.0,255567.8,,0.28,0.0,,0.0,,0.0
2010-01-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,190755.0,207712.52,,0.25,0.0,,0.0,,0.0
2010-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,232884.0,251605.51,,0.3,0.0,,0.0,,0.0
2010-01-12,3844.0,4087.62,0.02,0.06,0.01,0.0,0.0,0.0,3844.0,0.0,4087.62,,,,,,,,,,,,,,,,3844.0,,0.0,,,,100.0,1.65,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0165
2010-01-13,3844.0,4087.62,0.02,0.06,0.01,0.0,0.0,0.0,3844.0,0.0,4087.62,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.65,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0165
2010-01-14,3844.0,4153.02,0.02,0.06,0.01,0.0,0.0,0.0,3844.0,0.0,4153.02,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.65,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0165
2010-01-15,3844.0,4185.72,0.02,0.08,0.01,0.0,0.0,0.0,3844.0,0.0,4185.72,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.65,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0165
2010-01-18,3844.0,4087.62,0.02,0.08,0.01,0.0,0.0,0.0,3844.0,0.0,4087.62,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.65,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0165
2010-01-19,3844.0,4087.62,0.02,0.08,0.01,0.0,0.0,0.0,3844.0,0.0,4087.62,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.65,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0165
2010-01-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,3844.0,,,,,,,,0.0,,,,0.0,0.0,232884.0,247643.22,,0.29,0.0,,0.0,,0.0
2010-01-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,232884.0,243680.93,,0.29,0.0,,0.0,,0.0
2010-01-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,232884.0,241699.78,,0.29,0.0,,0.0,,0.0
2010-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,228341.0,236984.81,,0.28,0.0,,0.0,,0.0
2010-01-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,228341.0,227272.31,,0.28,0.0,,0.0,,0.0
2010-01-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,228341.0,223387.32,,0.27,0.0,,0.0,,0.0
2010-01-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,228341.0,225329.82,,0.26,0.0,,0.0,,0.0
2010-01-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,228341.0,240869.8,,0.27,0.0,,0.0,,0.0
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,228341.0,254467.29,,0.29,0.0,,0.0,,0.0
2010-02-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,228341.0,258352.29,,0.3,0.0,,0.0,,0.0
2010-02-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,232656.0,267192.83,,0.31,0.0,,0.0,,0.0
2010-02-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,232656.0,259276.0,,0.31,0.0,,0.0,,0.0
2010-02-05,1304.0,1453.2,0.01,0.01,0.0,0.0,0.0,0.0,1304.0,0.0,1453.2,,,,,,,,,,,,,,,,1304.0,,0.0,,,,100.0,0.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0056
2010-02-08,1304.0,1386.64,0.01,0.01,0.0,0.0,0.0,0.0,1304.0,0.0,1386.64,,,,,,,,,,,,,,,,,,0.0,,,,100.0,0.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0056
2010-02-09,1304.0,1408.83,0.01,0.01,0.0,0.0,0.0,0.0,1304.0,0.0,1408.83,,,,,,,,,,,,,,,,,,0.0,,,,100.0,0.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0056
2010-02-10,9465.0,10386.93,0.05,0.07,0.02,0.01,0.0,8955.91,1304.0,8161.0,1431.01,,,,,,8161.0,,,,,,,,,0.01,,,0.0,,,,100.0,0.56,0.0,0.0,,0.0,100.0,13.2,0.7709,86.8,0.0407
2010-02-11,9465.0,10467.45,0.05,0.07,0.02,0.01,0.0,9025.34,1304.0,8161.0,1442.11,,,,,,,,,,,,,,,,,,0.0,,,,100.0,0.56,0.0,0.0,,0.0,100.0,13.21,0.7707,86.79,0.0407
2010-02-12,9465.0,10145.37,0.05,0.07,0.02,0.01,0.0,8747.64,1304.0,8161.0,1397.74,,,,,,,,,,,,,,,,,,0.0,,,,100.0,0.56,0.0,0.0,,0.0,100.0,12.69,0.7784,87.31,0.0407
2010-02-15,9465.0,10386.93,0.05,0.07,0.02,0.01,0.0,8955.91,1304.0,8161.0,1431.01,,,,,,,,,,,,,,,,,,0.0,,,,100.0,0.56,0.0,0.0,,0.0,100.0,12.77,0.7773,87.23,0.0407
2010-02-16,9465.0,10709.0,0.05,0.07,0.02,0.01,0.0,9233.62,1304.0,8161.0,1475.39,,,,,,,,,,,,,,,,,,0.0,,,,100.0,0.56,0.0,0.0,,0.0,100.0,13.56,0.7656,86.44,0.0407
2010-02-17,9465.0,11031.08,0.05,0.06,0.02,0.01,0.0,9511.32,1304.0,8161.0,1519.76,,,,,,,,,,,,,,,,,,0.0,,,,100.0,0.56,0.0,0.0,,0.0,100.0,13.25,0.7701,86.75,0.0407
2010-02-18,9465.0,10789.52,0.05,0.06,0.02,0.01,0.0,9303.04,1304.0,8161.0,1486.48,,,,,,,,,,,,,,,,,,0.0,,,,100.0,0.56,0.0,0.0,,0.0,100.0,12.69,0.7784,87.31,0.0407
2010-02-19,11818.0,13471.8,0.06,0.08,0.03,0.02,0.0,9303.04,3657.0,8161.0,4168.76,,,2353.0,,,,,,,,,,,2353.0,,,,0.0,,,,100.0,1.61,0.0,0.0,,0.0,100.0,29.46,0.5844,70.54,0.0519
2010-02-22,11818.0,13170.19,0.06,0.08,0.03,0.02,0.0,9094.76,3657.0,8161.0,4075.43,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.61,0.0,0.0,,0.0,100.0,28.88,0.5892,71.12,0.0519
2010-02-23,11819.0,12869.67,0.06,0.08,0.03,0.02,0.0,8886.49,3658.0,8161.0,3983.18,,,1.0,,,,,,,,,,,1.0,,,,0.0,,,,100.0,1.61,0.0,0.0,,0.0,100.0,28.99,0.5883,71.01,0.0519
2010-02-24,11819.0,12970.22,0.06,0.08,0.03,0.02,0.0,8955.91,3658.0,8161.0,4014.3,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.61,0.0,0.0,,0.0,100.0,30.08,0.5794,69.92,0.0519
2010-02-25,11819.0,13171.3,0.06,0.08,0.03,0.02,0.0,9094.76,3658.0,8161.0,4076.54,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.61,0.0,0.0,,0.0,100.0,29.24,0.5862,70.76,0.0519
2010-02-26,11819.0,13271.85,0.06,0.08,0.03,0.02,0.0,9164.19,3658.0,8161.0,4107.66,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.61,0.0,0.0,,0.0,100.0,30.22,0.5782,69.78,0.0519
2010-03-01,11819.0,13070.76,0.06,0.08,0.03,0.02,0.0,9025.34,3658.0,8161.0,4045.42,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.61,0.0,0.0,,0.0,100.0,29.33,0.5855,70.67,0.0519
2010-03-02,11819.0,13070.76,0.06,0.08,0.03,0.02,0.0,9025.34,3658.0,8161.0,4045.42,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.61,0.0,0.0,,0.0,100.0,29.45,0.5844,70.55,0.0519
2010-03-03,11819.0,13372.39,0.06,0.08,0.03,0.02,0.0,9233.62,3658.0,8161.0,4138.78,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.61,0.0,0.0,,0.0,100.0,29.73,0.5822,70.27,0.0519
2010-03-04,11819.0,13070.76,0.06,0.08,0.03,0.02,0.0,9025.34,3658.0,8161.0,4045.42,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.61,0.0,0.0,,0.0,100.0,29.36,0.5852,70.64,0.0519
2010-03-05,11819.0,12970.22,0.06,0.08,0.03,0.02,0.0,8955.91,3658.0,8161.0,4014.3,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.61,0.0,0.0,,0.0,100.0,29.37,0.5852,70.64,0.0519
2010-03-08,11819.0,12769.13,0.06,0.08,0.03,0.02,0.0,8817.06,3658.0,8161.0,3952.07,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.61,0.0,0.0,,0.0,100.0,29.19,0.5866,70.81,0.0519
2010-03-09,11819.0,12970.22,0.06,0.08,0.03,0.02,0.0,8955.91,3658.0,8161.0,4014.3,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.61,0.0,0.0,,0.0,100.0,29.64,0.5829,70.36,0.0519
2010-03-10,11819.0,13271.85,0.06,0.08,0.03,0.02,0.0,9164.19,3658.0,8161.0,4107.66,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.61,0.0,0.0,,0.0,100.0,30.25,0.578,69.75,0.0519
2010-03-11,11819.0,13070.76,0.06,0.08,0.03,0.02,0.0,9025.34,3658.0,8161.0,4045.42,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.61,0.0,0.0,,0.0,100.0,29.63,0.583,70.37,0.0519
2010-03-12,11819.0,13171.3,0.06,0.08,0.03,0.02,0.0,9094.76,3658.0,8161.0,4076.54,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.61,0.0,0.0,,0.0,100.0,29.75,0.582,70.25,0.0519
