,ALKKO FP Equity_DX_SI_QTY,ALKKO FP Equity_DX_SHORT_INTEREST_VALUE,ALKKO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALKKO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALKKO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALKKO FP Equity_DX_SI_MV,ALKKO FP Equity_DX_DSS,ALKKO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALKKO FP Equity_DX_SUPPLY_SI_QTY,ALKKO FP Equity_DX_BROKER_SI_QTY,ALKKO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALKKO FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALKKO FP Equity_DX_BROKER_SI_MV_INC_x,ALKKO FP Equity_DX_BROKER_SI_QTY_ADD,ALKKO FP Equity_DX_SUPPLY_SI_MV_DEC,ALKKO FP Equity_DX_BROKER_SI_QTY_INC,ALKKO FP Equity_DX_SUPPLY_SI_QTY_DEC,ALKKO FP Equity_DX_BROKER_SI_MV_INC_y,ALKKO FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALKKO FP Equity_DX_BROKER_SI_MV_ADD,ALKKO FP Equity_DX_SUPPLY_SI_QTY_ADD,ALKKO FP Equity_DX_BROKER_SI_QTY_DEC,ALKKO FP Equity_DX_SUPPLY_SI_MV,ALKKO FP Equity_DX_BROKER_SI_MV_DEC,ALKKO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALKKO FP Equity_DX_UTILIZATION_QUANTITY,ALKKO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALKKO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALKKO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALKKO FP Equity_DX_ACTIVE_UTILIZATION_MV,ALKKO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALKKO FP Equity_DX_BROKER_SI_CON_RATIO,ALKKO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALKKO FP Equity_DX_DEMAND_SUPPLY_RATIO,ALKKO FP Equity_PX_LAST
2019-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071
2019-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0652
2019-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0666
2019-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0624
2019-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0678
2019-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071
2019-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071
2019-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079
2019-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0932
2019-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09
2019-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0804
2019-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0816
2019-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079
2019-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08
2019-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.085
2019-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0882
2019-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.088
2019-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087
2019-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.088
2019-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0916
2019-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.092
2019-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1005
2019-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112
2019-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108
2019-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
2019-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.102
2019-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093
2019-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0938
2019-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0912
2019-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.092
2019-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0968
2019-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0938
2019-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.092
2019-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.084
2019-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083
2019-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087
2019-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0876
2019-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0846
2019-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.082
2019-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0812
2019-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.094
2019-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.088
2019-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091
2019-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087
2019-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0848
2019-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.084
2019-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.082
2019-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.082
2019-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0848
2019-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0862
2019-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.082
2019-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08
2019-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076
2019-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075
2019-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075
2019-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0736
2019-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075
2019-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.072
2019-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.072
2019-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07
2019-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0742
2019-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071
2019-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0726
2019-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0746
2019-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0744
2019-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0732
2019-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0712
2019-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074
2019-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0752
2019-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0766
2019-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0744
2019-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0782
2019-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0744
2019-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074
2019-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0818
2019-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0826
2019-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08
2019-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0846
2019-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08
2019-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0816
2019-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.085
2019-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0802
2019-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0822
2019-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0878
2019-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091
2019-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0842
2019-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0838
2019-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.086
2019-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0836
2019-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.089
2019-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.089
2019-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0852
2019-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0856
2019-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095
2019-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0948
2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0962
2019-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0958
2019-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095
2019-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0942
2019-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0946
2019-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0968
2019-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1175
2019-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0988
2019-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
2019-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.099
2019-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.086
2019-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093
2019-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0942
2019-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09
2019-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.094
2019-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.094
2019-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0928
2019-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0948
2019-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104
2019-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098
2019-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095
2019-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0934
2019-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095
2019-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098
2019-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0954
2019-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.099
2019-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0984
2019-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0978
2019-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
2019-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0974
2019-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0952
2019-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0982
2019-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095
2019-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0934
2019-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093
2019-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095
2019-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0938
2019-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0926
2019-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0928
2019-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
2019-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098
2019-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096
2019-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.094
2019-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093
2019-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0952
2019-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0992
2019-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.094
2019-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0942
2019-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096
2019-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09
2019-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0862
2019-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0898
2019-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0898
2019-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0896
2019-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09
2019-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0906
2019-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095
2019-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0922
2019-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095
2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0954
2019-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096
2019-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1035
2019-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106
2019-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104
2019-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.102
2019-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1015
2019-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1045
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.105
2020-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109
2020-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1075
2020-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106
2020-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11
2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108
2020-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11
2020-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104
2020-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.107
2020-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104
2020-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104
2020-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11
2020-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11
2020-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1195
2020-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1235
2020-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118
2020-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118
2020-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12
2020-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124
2020-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.122
2020-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125
2020-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126
2020-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1245
2020-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115
2020-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121
2020-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125
2020-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127
2020-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123
2020-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131
2020-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1335
2020-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.136
2020-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141
2020-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144
2020-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159
2020-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,38700.0,8784.9,0.01,0.0,,0.0,,0.0,0.227
2020-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1805
2020-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22
2020-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201
2020-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.195
2020-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215
2020-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204
2020-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192
2020-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18
2020-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198
2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196
2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191
2020-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187
2020-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165
2020-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165
2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147
2020-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.099
2020-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114
2020-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1065
2020-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1165
2020-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1265
2020-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121
2020-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125
2020-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112
2020-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1235
2020-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1275
2020-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1295
2020-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123
2020-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19
2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1855
2020-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175
2020-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17
2020-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167
2020-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1625
2020-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163
2020-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15
2020-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16
2020-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152
2020-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14
2020-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1415
2020-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147
2020-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16
2020-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1745
2020-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1635
2020-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1605
2020-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152
2020-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162
2020-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162
2020-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1615
2020-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16
2020-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1615
2020-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161
2020-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165
2020-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1685
2020-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173
2020-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1825
2020-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179
2020-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17
2020-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161
2020-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155
2020-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1585
2020-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161
2020-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169
2020-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164
2020-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1605
2020-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1605
2020-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165
2020-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161
2020-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161
2020-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165
2020-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161
2020-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161
2020-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166
2020-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1635
2020-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1665
2020-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1685
2020-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164
2020-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1605
2020-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159
2020-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164
2020-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163
2020-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1645
2020-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1645
2020-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172
2020-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17
2020-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174
