,CHIP FP Equity_DX_SI_QTY,CHIP FP Equity_DX_SHORT_INTEREST_VALUE,CHIP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CHIP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CHIP FP Equity_DX_SI_MV,CHIP FP Equity_DX_DSS,CHIP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CHIP FP Equity_DX_SUPPLY_SI_QTY,CHIP FP Equity_DX_BROKER_SI_QTY,CHIP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CHIP FP Equity_DX_BROKER_SI_MV_NEW_x,CHIP FP Equity_DX_SUPPLY_SI_QTY_NEW_x,CHIP FP Equity_DX_SUPPLY_SI_QTY_INC_x,CHIP FP Equity_DX_BROKER_SI_MV_INC_x,CHIP FP Equity_DX_SUPPLY_SI_MV_NEW,CHIP FP Equity_DX_BROKER_SI_QTY_ADD,CHIP FP Equity_DX_BROKER_SI_QTY_NEW,CHIP FP Equity_DX_SUPPLY_SI_MV_DEC,CHIP FP Equity_DX_BROKER_SI_QTY_INC,CHIP FP Equity_DX_SUPPLY_SI_QTY_DEC,CHIP FP Equity_DX_BROKER_SI_MV_NEW_y,CHIP FP Equity_DX_SUPPLY_SI_QTY_NEW_y,CHIP FP Equity_DX_BROKER_SI_MV_INC_y,CHIP FP Equity_DX_SUPPLY_SI_QTY_INC_y,CHIP FP Equity_DX_BROKER_SI_MV_ADD,CHIP FP Equity_DX_SUPPLY_SI_QTY_ADD,CHIP FP Equity_DX_BROKER_SI_QTY_DEC,CHIP FP Equity_DX_SUPPLY_SI_MV,CHIP FP Equity_DX_BROKER_SI_MV_DEC,CHIP FP Equity_DX_SUPPLY_SI_MV_RMV,CHIP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CHIP FP Equity_DX_UTILIZATION_QUANTITY,CHIP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CHIP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CHIP FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,CHIP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CHIP FP Equity_DX_ACTIVE_UTILIZATION_MV,CHIP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CHIP FP Equity_DX_BROKER_SI_CON_RATIO,CHIP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CHIP FP Equity_DX_DEMAND_SUPPLY_RATIO,CHIP FP Equity_PX_LAST
2010-08-23,130232.0,897585.02,4.41,3.17,0.92,,897585.02,0.0,130232.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,6.93,0.871,93.07,0.0,7.135
2010-08-24,135464.0,920559.59,4.58,3.29,0.97,,920559.59,0.0,135464.0,0.0,,,,0.04,,,,,5232.0,,,,0.04,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,10.52,0.8117,89.48,0.0,7.035
2010-08-25,135464.0,902239.99,4.21,3.29,0.95,,902239.99,0.0,135464.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,10.52,0.8117,89.48,0.0,6.895
2010-08-26,135464.0,900277.18,3.78,3.29,0.93,,900277.18,0.0,135464.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,10.52,0.8117,89.48,0.0,6.88
2010-08-27,175464.0,1172044.55,4.86,4.27,1.21,,1172044.55,0.0,175464.0,0.0,,,,0.16,,17000.0,,,23000.0,,,,0.16,,0.12,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,9.68,0.6918,82.21,0.0,6.915
2010-08-30,170232.0,1137096.43,4.86,4.14,1.18,,1137096.43,0.0,170232.0,0.0,,,,,,,,,,,,,,,,,5232.0,0.0,0.04,,0.0,0.0,0.0,0.0,,0.0,0.0,9.96,0.7307,84.74,0.0,6.915
2010-08-31,170232.0,1124763.49,4.99,4.14,1.18,,1124763.49,0.0,170232.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,9.96,0.7307,84.74,0.0,6.84
2010-09-01,170232.0,1135452.04,5.14,4.14,1.17,,1135452.04,0.0,170232.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,10.07,0.7292,84.63,0.0,6.905
2010-09-02,170232.0,1129696.67,5.22,4.14,1.18,,1129696.67,0.0,170232.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,9.97,0.7306,84.72,0.0,6.87
2010-09-03,170232.0,1151895.95,4.98,4.14,1.17,,1151895.95,0.0,170232.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,10.03,0.7298,84.67,0.0,7.005
2010-09-06,170232.0,1152718.14,5.84,4.14,1.17,,1152718.14,0.0,170232.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,10.02,0.7284,84.58,0.0,7.01
2010-09-07,170232.0,1156829.12,5.92,4.11,1.19,,1156829.12,0.0,170232.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,9.85,0.7323,84.84,0.0,7.035
2010-09-08,170232.0,1161762.29,5.93,4.11,1.2,,1161762.29,0.0,170232.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,9.81,0.7329,84.88,0.0,7.065
2010-09-09,172182.0,1178396.68,6.1,4.16,1.21,,1178396.68,0.0,172182.0,0.0,,,,0.01,,,,,1950.0,,,,0.01,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,9.66,0.7183,83.96,0.0,7.085
2010-09-10,172182.0,1182554.75,6.03,4.16,1.22,,1182554.75,0.0,172182.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,9.63,0.7185,83.97,0.0,7.11
2010-09-13,172182.0,1205839.94,5.89,4.16,1.22,,1205839.94,0.0,172182.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,9.61,0.7188,83.99,0.0,7.25
2010-09-14,172182.0,1202513.48,5.63,4.16,1.24,,1202513.48,0.0,172182.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,9.44,0.7211,84.15,0.0,7.23
2010-09-15,170232.0,1184783.77,5.81,4.02,1.23,,1184783.77,0.0,170232.0,0.0,,,,,,,,,,,,,,,,,1950.0,0.0,0.01,,0.0,0.0,0.0,0.0,,0.0,0.0,9.57,0.7361,85.1,0.0,7.205
2010-09-16,170232.0,1169162.05,5.59,4.02,1.22,,1169162.05,0.0,170232.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,9.6,0.7358,85.08,0.0,7.11
2010-09-17,170232.0,1175739.62,5.87,3.88,1.21,,1175739.62,0.0,170232.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,9.72,0.7341,84.96,0.0,7.15
2010-09-20,170232.0,1190539.14,6.27,3.88,1.21,,1190539.14,0.0,170232.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,9.67,0.7348,85.0,0.0,7.24
2010-09-21,121632.0,844774.21,4.47,2.78,0.87,,844774.21,0.0,121632.0,0.0,,,,,,,,,,,,,,,,,48600.0,0.0,0.34,,0.0,0.0,0.0,0.0,,0.0,0.0,13.41,0.6495,79.12,0.0,7.19
2010-09-22,40832.0,277083.64,1.54,0.93,0.29,,277083.64,0.0,40832.0,0.0,,,,,,,,,,,,,,,,,80800.0,0.0,0.59,,0.0,0.0,0.0,0.0,,0.0,0.0,36.87,0.3517,40.64,0.0,7.025
2010-09-23,40832.0,279450.19,1.58,0.93,0.28,,279450.19,0.0,40832.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,36.53,0.3527,41.19,0.0,7.085
2010-09-24,40832.0,278858.56,1.59,0.93,0.29,,278858.56,0.0,40832.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,36.66,0.3523,40.98,0.0,7.07
2010-09-27,26032.0,177280.33,1.02,0.59,0.18,,177280.33,0.0,26032.0,0.0,,,,,,,,,,,,,,,,,14800.0,0.0,0.1,,0.0,0.0,0.0,0.0,,0.0,0.0,35.25,0.5435,64.75,0.0,7.05
2010-09-28,26032.0,176274.49,1.05,0.59,0.18,,176274.49,0.0,26032.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,35.18,0.5439,64.82,0.0,7.01
2010-09-29,26032.0,176903.14,1.04,0.59,0.18,,176903.14,0.0,26032.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,35.06,0.5447,64.95,0.0,7.035
2010-09-30,26032.0,177783.26,1.06,0.59,0.18,,177783.26,0.0,26032.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,34.58,0.5475,65.42,0.0,7.07
2010-10-01,26032.0,176903.14,1.03,0.59,0.18,,176903.14,0.0,26032.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,34.81,0.5462,65.19,0.0,7.035
2010-10-04,26032.0,176400.22,1.05,0.59,0.18,,176400.22,0.0,26032.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,34.76,0.5464,65.24,0.0,7.015
2010-10-05,26032.0,175520.1,1.02,0.59,0.18,,175520.1,0.0,26032.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,34.81,0.5462,65.19,0.0,6.98
2010-10-06,26032.0,176525.95,1.05,0.59,0.18,,176525.95,0.0,26032.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,34.57,0.5476,65.43,0.0,7.02
2010-10-07,26032.0,176148.76,1.23,0.59,0.18,,176148.76,0.0,26032.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,34.74,0.5465,65.26,0.0,7.005
2010-10-08,26032.0,175268.64,1.25,0.59,0.18,,175268.64,0.0,26032.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,34.81,0.5462,65.19,0.0,6.97
2010-10-11,54032.0,361960.7,2.39,1.23,0.38,,361960.7,0.0,54032.0,0.0,,,,,,28000.0,,,,,,,,,0.2,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,31.35,0.3957,51.9,0.0,6.935
2010-10-12,45000.0,298195.12,1.96,1.03,0.31,,298195.12,0.0,45000.0,0.0,,,,,,,,,,,,,,,,,9032.0,0.0,0.06,,0.0,0.0,0.0,0.0,,0.0,0.0,37.51,0.5312,62.49,0.0,6.86
2010-10-13,45000.0,299281.84,1.87,1.03,0.31,,299281.84,0.0,45000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,37.86,0.5295,62.14,0.0,6.885
2010-10-14,28000.0,186490.28,1.19,0.64,0.19,,186490.28,0.0,28000.0,0.0,,,,,,,,,,,,,,,,,17000.0,0.0,0.12,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,6.895
2010-10-15,28000.0,186355.05,1.24,0.64,0.19,,186355.05,0.0,28000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,6.89
2010-10-18,28000.0,183785.57,1.24,0.64,0.19,,183785.57,0.0,28000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,6.795
2010-10-19,28000.0,183650.33,1.19,0.64,0.19,,183650.33,0.0,28000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,6.79
2010-10-20,31000.0,204075.78,1.21,0.71,0.21,,204075.78,0.0,31000.0,0.0,,,,,,3000.0,,,,,,,,,0.02,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,9.7,0.8249,90.3,0.0,6.815
2010-10-21,31000.0,204824.41,1.21,0.71,0.21,,204824.41,0.0,31000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,9.73,0.8244,90.27,0.0,6.84
2010-10-22,31000.0,206171.94,1.26,0.71,0.21,,206171.94,0.0,31000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,9.79,0.8234,90.21,0.0,6.885
2010-10-25,3000.0,20430.28,0.12,0.07,0.02,,20430.28,0.0,3000.0,0.0,,,,,,,,,,,,,,,,,28000.0,0.0,0.19,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,7.05
2010-10-26,3000.0,20560.68,0.11,0.07,0.02,,20560.68,0.0,3000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,7.095
2010-10-27,3000.0,20473.75,0.11,0.07,0.02,,20473.75,0.0,3000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,7.065
2010-10-28,3000.0,20560.68,0.12,0.07,0.02,,20560.68,0.0,3000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,7.095
2010-10-29,3000.0,20604.15,0.13,0.07,0.02,,20604.15,0.0,3000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,7.11
2010-11-01,3000.0,20893.94,0.13,0.07,0.02,,20893.94,0.0,3000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,7.21
2010-11-02,3000.0,20676.6,0.12,0.07,0.02,,20676.6,0.0,3000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,7.135
2010-11-03,3000.0,20560.68,0.13,0.07,0.02,,20560.68,0.0,3000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,7.095
2010-11-04,3000.0,20792.52,0.14,0.07,0.02,,20792.52,0.0,3000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,7.175
2010-11-05,3000.0,21125.78,0.14,0.07,0.02,,21125.78,0.0,3000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,7.29
2010-11-08,3000.0,21198.22,0.13,0.07,0.02,,21198.22,0.0,3000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,7.315
2010-11-09,3000.0,21386.59,0.13,0.07,0.02,,21386.59,0.0,3000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,7.38
2010-11-10,3000.0,21517.0,0.13,0.07,0.02,,21517.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,7.425
2010-11-11,3000.0,21531.48,0.11,0.06,0.02,,21531.48,0.0,3000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,7.43
2010-11-12,3000.0,21053.33,0.11,0.06,0.02,,21053.33,0.0,3000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,7.265
2010-11-15,3000.0,21212.71,0.1,0.06,0.02,,21212.71,0.0,3000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,7.32
2010-11-16,3000.0,21140.27,0.11,0.06,0.02,,21140.27,0.0,3000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,7.295
2010-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.31
2010-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.36
2010-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.305
2010-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.38
2010-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.355
2010-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.455
2010-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.505
2010-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.495
2010-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.615
2010-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.695
2010-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.84
2010-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.875
2010-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.815
2010-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.93
2010-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.925
2010-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9
2010-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.02
2010-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2010-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.975
2010-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.965
2010-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.03
2010-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.13
2010-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.225
2010-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.165
2010-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.235
2010-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.27
2010-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.235
2010-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.31
2010-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.35
2010-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.39
2010-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.39
2011-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
2011-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.42
2011-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.375
2011-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.48
2011-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.37
2011-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.405
2011-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.61
2011-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.685
2011-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.465
2011-01-14,39700.0,324624.56,0.64,0.73,0.34,,324624.56,0.0,39700.0,0.0,,,,,,39700.0,,,,,,,,,0.34,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,8.465
2011-01-17,39700.0,323474.09,0.65,0.73,0.34,,323474.09,0.0,39700.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,8.435
2011-01-18,39700.0,323665.84,0.65,0.73,0.34,,323665.84,0.0,39700.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,8.44
2011-01-19,133700.0,1088091.02,2.17,2.44,1.13,,1088091.02,0.0,133700.0,0.0,,,,,,94000.0,,,,,,,,,0.79,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,35.08,0.3352,35.14,0.0,8.425
2011-01-20,94000.0,758644.33,1.51,1.72,0.79,,758644.33,0.0,94000.0,0.0,,,,,,,,,,,,,,,,,39700.0,0.0,0.34,,0.0,0.0,0.0,0.0,,0.0,0.0,49.78,0.5,50.22,0.0,8.355
2011-01-21,94000.0,751834.24,1.75,1.72,0.78,,751834.24,0.0,94000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,49.76,0.5,50.24,0.0,8.28
2011-01-24,94000.0,745932.16,1.72,1.72,0.77,,745932.16,0.0,94000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,49.8,0.5,50.2,0.0,8.215
2011-01-25,94000.0,748202.19,1.69,1.72,0.78,,748202.19,0.0,94000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,49.94,0.5,50.06,0.0,8.24
2011-01-26,94000.0,756828.31,1.77,1.72,0.78,,756828.31,0.0,94000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,49.71,0.5,50.29,0.0,8.335
2011-01-27,94000.0,759098.34,1.81,1.72,0.79,,759098.34,0.0,94000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,49.94,0.5,50.06,0.0,8.36
2011-01-28,94000.0,760460.35,1.68,1.72,0.79,,760460.35,0.0,94000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,49.96,0.5,50.04,0.0,8.375
2011-01-31,94000.0,748202.19,1.69,1.72,0.78,,748202.19,0.0,94000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,49.58,0.5,50.42,0.0,8.24
2011-02-01,94000.0,759552.34,1.67,1.72,0.78,,759552.34,0.0,94000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,49.61,0.5,50.39,0.0,8.365
2011-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.37
2011-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.42
2011-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.49
2011-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.565
2011-02-08,69500.0,561919.59,1.7,1.27,0.59,,561919.59,0.0,69500.0,0.0,,,,,,69500.0,,,,,,,,,0.59,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,8.37
2011-02-09,69500.0,554199.07,1.7,1.27,0.58,,554199.07,0.0,69500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,8.255
2011-02-10,69500.0,545135.85,1.72,1.27,0.57,,545135.85,0.0,69500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,8.12
2011-02-11,69500.0,535065.6,1.75,1.27,0.57,,535065.6,0.0,69500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,7.97
2011-02-14,69500.0,533722.91,1.46,1.27,0.55,,533722.91,0.0,69500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,7.95
2011-02-15,69500.0,532715.88,1.61,1.27,0.55,,532715.88,0.0,69500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,7.935
2011-02-16,69500.0,532380.21,1.6,1.27,0.55,,532380.21,0.0,69500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,7.93
2011-02-17,69500.0,530366.16,1.72,1.27,0.55,,530366.16,0.0,69500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,7.9
2011-02-18,69500.0,538422.35,1.59,1.27,0.55,,538422.35,0.0,69500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,8.02
2011-02-21,69500.0,533051.56,1.42,1.27,0.56,,533051.56,0.0,69500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,7.94
2011-02-22,69500.0,520295.91,1.4,1.27,0.55,,520295.91,0.0,69500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,7.75
2011-02-23,69500.0,510561.35,1.4,1.27,0.54,,510561.35,0.0,69500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,7.605
2011-02-24,369500.0,2698361.59,7.66,6.75,2.81,,2698361.59,0.0,369500.0,0.0,,,,,,300000.0,,,,,,,,,2.28,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,18.82,0.6944,81.18,3.695,7.56
2011-02-25,399500.0,2969540.93,8.53,7.3,3.02,,2969540.93,0.0,399500.0,0.0,,,,0.2,,,,,30000.0,,,,0.2,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,17.4,0.7126,82.6,3.995,7.695
