,3CAS FP Equity_DX_SI_QTY,3CAS FP Equity_DX_SHORT_INTEREST_VALUE,3CAS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,3CAS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,3CAS FP Equity_DX_SI_MV,3CAS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,3CAS FP Equity_DX_SUPPLY_SI_QTY,3CAS FP Equity_DX_BROKER_SI_QTY,3CAS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,3CAS FP Equity_DX_SUPPLY_SI_MV,3CAS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,3CAS FP Equity_DX_UTILIZATION_QUANTITY,3CAS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,3CAS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,3CAS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,3CAS FP Equity_DX_ACTIVE_UTILIZATION_MV,3CAS FP Equity_DX_BROKER_SI_CON_RATIO,3CAS FP Equity_DX_DEMAND_SUPPLY_RATIO,3CAS FP Equity_PX_LAST
2025-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,4380.5,0.0,0.0,0.0,0.0,
2025-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,4380.5,0.0,0.0,0.0,0.0,
2025-04-22,,,,,,,,,,,,,,,,,,,42.96
2025-04-23,,,,,,,,,,,,,,,,,,,39.985
2025-04-24,,,,,,,,,,,,,,,,,,,39.785
2025-04-25,,,,,,,,,,,,,,,,,,,38.95
2025-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,7676.0,0.01,0.0,0.0,0.0,38.38
2025-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,7700.0,0.01,0.0,0.0,0.0,38.5
2025-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,7628.0,0.01,0.0,0.0,0.0,38.14
2025-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,7628.0,0.01,0.0,0.0,0.0,
2025-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,7069.0,0.01,0.0,0.0,0.0,35.345
2025-05-05,,,,,,,,,,,,,,,,,,,35.47
2025-05-06,,,,,,,,,,,,,,,,,,,35.925
2025-05-07,,,,,,,,,,,,,,,,,,,36.925
2025-05-08,,,,,,,,,,,,,,,,,,,35.81
2025-05-09,,,,,,,,,,,,,,,,,,,35.2
2025-05-12,,,,,,,,,,,,,,,,,,,33.43
2025-05-13,,,,,,,,,,,,,,,,,,,33.09
2025-05-14,,,,,,,,,,,,,,,,,,,33.62
2025-05-15,,,,,,,,,,,,,,,,,,,33.305
2025-05-16,,,,,,,,,,,,,,,,,,,32.93
2025-05-19,,,,,,,,,,,,,,,,,,,32.635
2025-05-20,,,,,,,,,,,,,,,,,,,31.715
2025-05-21,,,,,,,,,,,,,,,,,,,32.0
2025-05-22,,,,,,,,,,,,,,,,,,,32.77
2025-05-23,,,,,,,,,,,,,,,,,,,34.385
2025-05-26,,,,,,,,,,,,,,,,,,,32.925
2025-05-27,,,,,,,,,,,,,,,,,,,32.68
2025-05-28,,,,,,,,,,,,,,,,,,,33.29
2025-05-29,,,,,,,,,,,,,,,,,,,33.34
2025-05-30,,,,,,,,,,,,,,,,,,,33.745
2025-06-02,,,,,,,,,,,,,,,,,,,33.97
2025-06-03,,,,,,,,,,,,,,,,,,,33.625
2025-06-04,,,,,,,,,,,,,,,,,,,33.085
2025-06-05,,,,,,,,,,,,,,,,,,,33.21
2025-06-06,,,,,,,,,,,,,,,,,,,33.085
2025-06-09,,,,,,,,,,,,,,,,,,,33.19
2025-06-10,,,,,,,,,,,,,,,,,,,33.09
2025-06-11,,,,,,,,,,,,,,,,,,,33.365
2025-06-12,,,,,,,,,,,,,,,,,,,33.595
2025-06-13,,,,,,,,,,,,,,,,,,,34.635
2025-06-16,,,,,,,,,,,,,,,,,,,33.885
2025-06-17,,,,,,,,,,,,,,,,,,,34.58
2025-06-18,,,,,,,,,,,,,,,,,,,34.905
2025-06-19,,,,,,,,,,,,,,,,,,,36.08
2025-06-20,,,,,,,,,,,,,,,,,,,35.96
2025-06-23,,,,,,,,,,,,,,,,,,,36.45
2025-06-24,,,,,,,,,,,,,,,,,,,34.99
2025-06-25,,,,,,,,,,,,,,,,,,,35.91
2025-06-26,,,,,,,,,,,,,,,,,,,36.085
2025-06-27,,,,,,,,,,,,,,,,,,,34.305
2025-06-30,,,,,,,,,,,,,,,,,,,34.335
2025-07-01,,,,,,,,,,,,,,,,,,,34.46
2025-07-02,,,,,,,,,,,,,,,,,,,33.435
2025-07-03,,,,,,,,,,,,,,,,,,,33.39
2025-07-04,,,,,,,,,,,,,,,,,,,34.1
2025-07-07,,,,,,,,,,,,,,,,,,,33.78
2025-07-08,,,,,,,,,,,,,,,,,,,33.31
2025-07-09,,,,,,,,,,,,,,,,,,,31.76
2025-07-10,,,,,,,,,,,,,,,,,,,31.505
2025-07-11,,,,,,,,,,,,,,,,,,,32.475
2025-07-14,,,,,,,,,,,,,,,,,,,32.605
2025-07-15,,,,,,,,,,,,,,,,,,,33.125
2025-07-16,,,,,,,,,,,,,,,,,,,33.465
2025-07-17,,,,,,,,,,,,,,,,,,,32.43
2025-07-18,,,,,,,,,,,,,,,,,,,32.455
2025-07-21,,,,,,,,,,,,,,,,,,,32.75
2025-07-22,,,,,,,,,,,,,,,,,,,33.5
2025-07-23,,,,,,,,,,,,,,,,,,,31.895
2025-07-24,,,,,,,,,,,,,,,,,,,32.37
2025-07-25,,,,,,,,,,,,,,,,,,,32.125
2025-07-28,,,,,,,,,,,,,,,,,,,32.715
2025-07-29,,,,,,,,,,,,,,,,,,,32.04
2025-07-30,,,,,,,,,,,,,,,,,,,31.785
2025-07-31,,,,,,,,,,,,,,,,,,,32.875
2025-08-01,,,,,,,,,,,,,,,,,,,35.845
2025-08-04,,,,,,,,,,,,,,,,,,,34.745
2025-08-05,,,,,,,,,,,,,,,,,,,34.64
2025-08-06,,,,,,,,,,,,,,,,,,,34.61
2025-08-07,,,,,,,,,,,,,,,,,,,33.7
2025-08-08,,,,,,,,,,,,,,,,,,,33.11
2025-08-11,,,,,,,,,,,,,,,,,,,33.805
2025-08-12,,,,,,,,,,,,,,,,,,,33.045
2025-08-13,,,,,,,,,,,,,,,,,,,32.3
2025-08-14,,,,,,,,,,,,,,,,,,,31.72
2025-08-15,,,,,,,,,,,,,,,,,,,30.955
2025-08-18,,,,,,,,,,,,,,,,,,,31.5
2025-08-19,,,,,,,,,,,,,,,,,,,30.25
2025-08-20,,,,,,,,,,,,,,,,,,,30.315
2025-08-21,,,,,,,,,,,,,,,,,,,30.805
2025-08-22,,,,,,,,,,,,,,,,,,,30.355
2025-08-25,,,,,,,,,,,,,,,,,,,31.99
2025-08-26,,,,,,,,,,,,,,,,,,,33.5
2025-08-27,,,,,,,,,,,,,,,,,,,33.17
2025-08-28,,,,,,,,,,,,,,,,,,,32.76
2025-08-29,,,,,,,,,,,,,,,,,,,33.64
