,ALOPM FP Equity_DX_SI_QTY,ALOPM FP Equity_DX_SHORT_INTEREST_VALUE,ALOPM FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALOPM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALOPM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALOPM FP Equity_DX_SI_MV,ALOPM FP Equity_DX_DSS,ALOPM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALOPM FP Equity_DX_SUPPLY_SI_QTY,ALOPM FP Equity_DX_BROKER_SI_QTY,ALOPM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALOPM FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALOPM FP Equity_DX_BROKER_SI_MV_INC_x,ALOPM FP Equity_DX_BROKER_SI_QTY_ADD,ALOPM FP Equity_DX_SUPPLY_SI_MV_DEC,ALOPM FP Equity_DX_BROKER_SI_QTY_INC,ALOPM FP Equity_DX_SUPPLY_SI_QTY_DEC,ALOPM FP Equity_DX_BROKER_SI_MV_INC_y,ALOPM FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALOPM FP Equity_DX_BROKER_SI_MV_ADD,ALOPM FP Equity_DX_SUPPLY_SI_QTY_ADD,ALOPM FP Equity_DX_BROKER_SI_QTY_DEC,ALOPM FP Equity_DX_SUPPLY_SI_MV,ALOPM FP Equity_DX_BROKER_SI_MV_DEC,ALOPM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALOPM FP Equity_DX_UTILIZATION_QUANTITY,ALOPM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALOPM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALOPM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALOPM FP Equity_DX_ACTIVE_UTILIZATION_MV,ALOPM FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALOPM FP Equity_DX_BROKER_SI_CON_RATIO,ALOPM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALOPM FP Equity_DX_DEMAND_SUPPLY_RATIO
2023-11-13,15446.0,34907.96,0.09,1.58,0.09,0.03,0.0,34907.96,15446.0,15446.0,34907.96,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-11-14,15446.0,34907.96,0.09,2.12,0.09,0.03,0.0,34907.96,15446.0,15446.0,34907.96,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-11-15,15446.0,34907.96,0.09,2.27,0.09,0.03,0.0,34907.96,15446.0,15446.0,34907.96,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-11-16,15446.0,34907.96,0.09,3.04,0.09,0.03,0.0,34907.96,15446.0,15446.0,34907.96,,,,,,,,,,,,0.04,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-11-17,15446.0,34907.96,0.09,3.06,0.09,0.03,0.0,34907.96,15446.0,15446.0,34907.96,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-11-20,15446.0,34135.66,0.09,3.74,0.09,0.03,0.0,34135.66,15446.0,15446.0,34135.66,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-11-21,15446.0,34135.66,0.09,3.87,0.09,0.03,0.0,34135.66,15446.0,15446.0,34135.66,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-11-22,15446.0,34753.5,0.09,4.0,0.09,0.03,0.0,34753.5,15446.0,15446.0,34753.5,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-11-23,15446.0,34753.5,0.09,3.99,0.09,0.03,0.0,34753.5,15446.0,15446.0,34753.5,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-11-24,15446.0,33826.74,0.09,4.32,0.09,0.03,0.0,33826.74,15446.0,15446.0,33826.74,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-11-27,15446.0,33981.2,0.09,4.39,0.09,0.03,0.0,33981.2,15446.0,15446.0,33981.2,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-11-28,15446.0,34290.12,0.09,4.79,0.09,0.03,0.0,34290.12,15446.0,15446.0,34290.12,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-11-29,15446.0,33981.2,0.09,5.06,0.09,0.03,0.0,33981.2,15446.0,15446.0,33981.2,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-11-30,15446.0,33517.82,0.09,5.21,0.09,0.03,0.0,33517.82,15446.0,15446.0,33517.82,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-12-01,15446.0,34135.66,0.09,5.17,0.09,0.03,0.0,34135.66,15446.0,15446.0,34135.66,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-12-04,15446.0,34135.66,0.09,5.41,0.09,0.03,0.0,34135.66,15446.0,15446.0,34135.66,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-12-05,15446.0,34290.12,0.09,5.22,0.09,0.03,0.0,34290.12,15446.0,15446.0,34290.12,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-12-06,15446.0,33981.2,0.09,5.45,0.09,0.03,0.0,33981.2,15446.0,15446.0,33981.2,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-12-07,15446.0,29192.94,0.09,5.08,0.09,0.03,0.0,29192.94,15446.0,15446.0,29192.94,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-12-08,15446.0,29192.94,0.09,3.35,0.09,0.03,0.0,29192.94,15446.0,15446.0,29192.94,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-12-11,15446.0,29965.24,0.09,3.69,0.09,0.03,0.0,29965.24,15446.0,15446.0,29965.24,,,,,,,,,,,,0.03,,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-12-12,15446.0,30274.16,0.09,3.84,0.09,0.03,0.0,0.0,15446.0,0.0,30274.16,,,,,,,,,,,15446.0,0.03,0.03,100.0,89.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.8947
2023-12-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.03,,15446.0,,,,,,0.0,,0.0,0.0,17344.0,33647.36,0.03,0.0,,0.0,,0.0
2023-12-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,33734.08,0.03,0.0,,0.0,,0.0
2023-12-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,33647.36,0.03,0.0,,0.0,,0.0
2023-12-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,32780.16,0.03,0.0,,0.0,,0.0
2023-12-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,32606.72,0.03,0.0,,0.0,,0.0
2023-12-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,31566.08,0.03,0.0,,0.0,,0.0
2023-12-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,32433.28,0.03,0.0,,0.0,,0.0
2023-12-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,31999.68,0.03,0.0,,0.0,,0.0
2023-12-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,31999.68,0.03,0.0,,0.0,,0.0
2023-12-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,31999.68,0.03,0.0,,0.0,,0.0
2023-12-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,31566.08,0.03,0.0,,0.0,,0.0
2023-12-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,31392.64,0.03,0.0,,0.0,,0.0
2023-12-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,31392.64,0.03,0.0,,0.0,,0.0
2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,31392.64,0.03,0.0,,0.0,,0.0
2024-01-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,32259.84,0.03,0.0,,0.0,,0.0
2024-01-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,32780.16,0.03,0.0,,0.0,,0.0
2024-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,33387.2,0.03,0.0,,0.0,,0.0
2024-01-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,32953.6,0.03,0.0,,0.0,,0.0
2024-01-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,32259.84,0.03,0.0,,0.0,,0.0
2024-01-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,35555.2,0.03,0.0,,0.0,,0.0
2024-01-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,35381.76,0.04,0.0,,0.0,,0.0
2024-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,35381.76,0.04,0.0,,0.0,,0.0
2024-01-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,35208.32,0.04,0.0,,0.0,,0.0
2024-01-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,34601.28,0.04,0.0,,0.0,,0.0
2024-01-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,34688.0,0.03,0.0,,0.0,,0.0
2024-01-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,33820.8,0.03,0.0,,0.0,,0.0
2024-01-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,34080.96,0.03,0.0,,0.0,,0.0
2024-01-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,33907.52,0.03,0.0,,0.0,,0.0
2024-01-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,33040.32,0.03,0.0,,0.0,,0.0
2024-01-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,32780.16,0.03,0.0,,0.0,,0.0
2024-01-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,33127.04,0.03,0.0,,0.0,,0.0
2024-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,27576.96,0.03,0.0,,0.0,,0.0
2024-01-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,27230.08,0.03,0.0,,0.0,,0.0
2024-01-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,25235.52,0.03,0.0,,0.0,,0.0
2024-01-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,22894.08,0.03,0.0,,0.0,,0.0
2024-01-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,23414.4,0.02,0.0,,0.0,,0.0
2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,22894.08,0.02,0.0,,0.0,,0.0
2024-02-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,24455.04,0.02,0.0,,0.0,,0.0
2024-02-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,23587.84,0.02,0.0,,0.0,,0.0
2024-02-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,23761.28,0.02,0.0,,0.0,,0.0
2024-02-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,23067.52,0.02,0.0,,0.0,,0.0
2024-02-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,23414.4,0.02,0.0,,0.0,,0.0
2024-02-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,23240.96,0.02,0.0,,0.0,,0.0
2024-02-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,23327.68,0.02,0.0,,0.0,,0.0
2024-02-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,23240.96,0.02,0.0,,0.0,,0.0
2024-02-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,23761.28,0.02,0.0,,0.0,,0.0
2024-02-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,22980.8,0.02,0.0,,0.0,,0.0
2024-02-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,24021.44,0.02,0.0,,0.0,,0.0
2024-02-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,22980.8,0.02,0.0,,0.0,,0.0
2024-02-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,23414.4,0.02,0.0,,0.0,,0.0
2024-02-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,22894.08,0.02,0.0,,0.0,,0.0
2024-02-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,22894.08,0.02,0.0,,0.0,,0.0
2024-02-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,23761.28,0.02,0.0,,0.0,,0.0
2024-02-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,23761.28,0.02,0.0,,0.0,,0.0
2024-02-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,22980.8,0.02,0.0,,0.0,,0.0
2024-02-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,22113.6,0.02,0.0,,0.0,,0.0
2024-02-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,22200.32,0.02,0.0,,0.0,,0.0
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,22633.92,0.02,0.0,,0.0,,0.0
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,23414.4,0.02,0.0,,0.0,,0.0
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,22720.64,0.02,0.0,,0.0,,0.0
2024-03-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,23240.96,0.02,0.0,,0.0,,0.0
2024-03-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,23240.96,0.02,0.0,,0.0,,0.0
2024-03-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,23327.68,0.02,0.0,,0.0,,0.0
2024-03-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,23501.12,0.02,0.0,,0.0,,0.0
2024-03-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,23414.4,0.02,0.0,,0.0,,0.0
2024-03-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,23761.28,0.02,0.0,,0.0,,0.0
2024-03-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,24021.44,0.02,0.0,,0.0,,0.0
2024-03-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,23934.72,0.02,0.0,,0.0,,0.0
2024-03-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,17344.0,23934.72,0.02,0.0,,0.0,,0.0
2024-03-19,16474.0,23310.71,0.09,1.34,0.09,0.02,0.0,23310.71,16474.0,16474.0,23310.71,,,16474.0,,,,,,0.02,16474.0,,0.02,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-03-20,16474.0,23063.6,0.09,1.4,0.09,0.02,0.0,23063.6,16474.0,16474.0,23063.6,,,,,,,,,,,,0.02,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-03-21,16474.0,24546.26,0.09,1.44,0.09,0.02,0.0,24546.26,16474.0,16474.0,24546.26,,,,,,,,,,,,0.02,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-03-22,16474.0,24546.26,0.09,1.44,0.09,0.02,0.0,24546.26,16474.0,16474.0,24546.26,,,,,,,,,,,,0.02,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-03-25,16474.0,24216.78,0.09,1.49,0.09,0.02,0.0,24216.78,16474.0,16474.0,24216.78,,,,,,,,,,,,0.02,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-03-26,16474.0,24711.0,0.09,1.79,0.09,0.02,0.0,24711.0,16474.0,16474.0,24711.0,,,,,,,,,,,,0.02,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-03-27,16474.0,24628.63,0.09,1.85,0.09,0.02,0.0,24628.63,16474.0,16474.0,24628.63,,,,,,,,,,,,0.02,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-03-28,16474.0,24052.04,0.09,1.75,0.09,0.02,0.0,24052.04,16474.0,16474.0,24052.04,,,,,,,,,,,,0.02,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-03-29,16474.0,24052.04,0.09,1.8,0.09,0.02,0.0,24052.04,16474.0,16474.0,24052.04,,,,,,,,,,,,0.02,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-04-01,16474.0,24052.04,0.09,1.8,0.09,0.02,0.0,24052.04,16474.0,16474.0,24052.04,,,,,,,,,,,,0.02,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-04-02,16474.0,24711.0,0.09,1.8,0.09,0.02,0.0,24711.0,16474.0,16474.0,24711.0,,,,,,,,,,,,0.02,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-04-03,16474.0,24711.0,0.09,1.8,0.09,0.02,0.0,24711.0,16474.0,16474.0,24711.0,,,,,,,,,,,,0.02,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-04-04,16474.0,24711.0,0.09,1.9,0.09,0.02,0.0,24711.0,16474.0,16474.0,24711.0,,,,,,,,,,,,0.02,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-04-05,16474.0,25205.22,0.09,1.98,0.09,0.03,0.0,25205.22,16474.0,16474.0,25205.22,,,,,,,,,,,,0.02,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-04-08,16474.0,26028.92,0.09,1.92,0.09,0.03,0.0,26028.92,16474.0,16474.0,26028.92,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-04-09,16474.0,27264.47,0.09,1.93,0.09,0.03,0.0,27264.47,16474.0,16474.0,27264.47,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-04-10,16474.0,26358.4,0.09,2.01,0.09,0.03,0.0,26358.4,16474.0,16474.0,26358.4,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-04-11,16474.0,26358.4,0.09,1.93,0.09,0.03,0.0,26358.4,16474.0,16474.0,26358.4,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-04-12,16474.0,25534.7,0.09,1.91,0.09,0.03,0.0,25534.7,16474.0,16474.0,25534.7,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-04-15,16474.0,26358.4,0.09,1.96,0.09,0.03,0.0,26358.4,16474.0,16474.0,26358.4,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-04-16,16474.0,25122.85,0.09,2.0,0.09,0.03,0.0,25122.85,16474.0,16474.0,25122.85,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-04-17,16474.0,24711.0,0.09,1.85,0.09,0.02,0.0,24711.0,16474.0,16474.0,24711.0,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-04-18,16474.0,25946.55,0.09,2.07,0.09,0.03,0.0,25946.55,16474.0,16474.0,25946.55,,,,,,,,,,,,0.02,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-04-19,16474.0,25864.18,0.09,2.01,0.09,0.03,0.0,25864.18,16474.0,16474.0,25864.18,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-04-22,16474.0,24711.0,0.09,1.97,0.09,0.02,0.0,24711.0,16474.0,16474.0,24711.0,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-04-23,16474.0,25122.85,0.09,1.93,0.09,0.03,0.0,25122.85,16474.0,16474.0,25122.85,,,,,,,,,,,,0.02,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-04-24,16474.0,25040.48,0.09,1.96,0.09,0.03,0.0,25040.48,16474.0,16474.0,25040.48,,,,,,,,,,,,0.03,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-04-25,16474.0,24793.37,0.09,2.0,0.09,0.02,0.0,24793.37,16474.0,16474.0,24793.37,,,,,,,,,,,,0.02,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-04-26,16474.0,24463.89,0.09,1.97,0.09,0.02,0.0,24463.89,16474.0,16474.0,24463.89,,,,,,,,,,,,0.02,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-04-29,16474.0,24052.04,0.09,2.02,0.09,0.02,0.0,24052.04,16474.0,16474.0,24052.04,,,,,,,,,,,,0.02,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-04-30,16474.0,24216.78,0.09,2.05,0.09,0.02,0.0,24216.78,16474.0,16474.0,24216.78,,,,,,,,,,,,0.02,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
2024-05-01,16474.0,24216.78,0.09,1.88,0.09,0.02,0.0,24216.78,16474.0,16474.0,24216.78,,,,,,,,,,,,0.02,,100.0,94.98,0.0,0.0,0.0,100.0,,1.0,100.0,0.9498
