,BON FP Equity_DX_SI_QTY,BON FP Equity_DX_SHORT_INTEREST_VALUE,BON FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,BON FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,BON FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,BON FP Equity_DX_SI_MV,BON FP Equity_DX_DSS,BON FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,BON FP Equity_DX_SUPPLY_SI_QTY,BON FP Equity_DX_BROKER_SI_QTY,BON FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,BON FP Equity_DX_BROKER_SI_MV_NEW_x,BON FP Equity_DX_SUPPLY_SI_QTY_NEW_x,BON FP Equity_DX_SUPPLY_SI_QTY_INC_x,BON FP Equity_DX_BROKER_SI_MV_INC_x,BON FP Equity_DX_SUPPLY_SI_MV_NEW,BON FP Equity_DX_BROKER_SI_QTY_ADD,BON FP Equity_DX_BROKER_SI_QTY_NEW,BON FP Equity_DX_SUPPLY_SI_MV_DEC,BON FP Equity_DX_BROKER_SI_QTY_INC,BON FP Equity_DX_SUPPLY_SI_QTY_DEC,BON FP Equity_DX_BROKER_SI_MV_NEW_y,BON FP Equity_DX_SUPPLY_SI_QTY_NEW_y,BON FP Equity_DX_BROKER_SI_MV_INC_y,BON FP Equity_DX_SUPPLY_SI_QTY_INC_y,BON FP Equity_DX_BROKER_SI_MV_ADD,BON FP Equity_DX_SUPPLY_SI_QTY_ADD,BON FP Equity_DX_BROKER_SI_QTY_DEC,BON FP Equity_DX_SUPPLY_SI_MV,BON FP Equity_DX_BROKER_SI_MV_DEC,BON FP Equity_DX_SUPPLY_SI_MV_RMV,BON FP Equity_DX_BROKER_SI_MV_RMV,BON FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,BON FP Equity_DX_UTILIZATION_QUANTITY,BON FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,BON FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,BON FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,BON FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,BON FP Equity_DX_ACTIVE_UTILIZATION_MV,BON FP Equity_DX_BROKER_SI_MARKET_SHARE_2,BON FP Equity_DX_BROKER_SI_CON_RATIO,BON FP Equity_DX_BROKER_SI_MARKET_SHARE_1,BON FP Equity_DX_DEMAND_SUPPLY_RATIO
2012-05-09,23817.0,1532734.54,0.44,5.57,0.3,1.69,0.0,1189724.29,15245.0,18487.0,981086.54,,,,,,,,,,,,,,,,,202.0,1.09,0.01,,,6.57,6.57,216818.0,13953245.05,,15.51,6.57,19.79,0.1649,22.61,0.1026
2012-05-10,23711.0,1523782.38,0.44,5.75,0.3,1.68,0.0,1181251.06,14937.0,18381.0,959923.13,,,,,,,,0.02,,308.0,,,,,,,106.0,1.07,0.01,,,6.44,6.44,217126.0,13953556.27,,15.54,6.44,19.89,0.165,22.7,0.1022
2012-05-11,22850.0,1475225.96,0.42,5.78,0.29,1.65,0.0,1131114.18,14937.0,17520.0,964352.31,,,,,,,,,,,,,,,,,861.0,1.07,0.03,,,6.42,6.42,217645.0,14051446.61,,15.59,6.42,20.23,0.1679,23.15,0.0982
2012-05-14,22766.0,1477985.43,0.42,5.98,0.28,1.62,0.0,1131957.92,14215.0,17436.0,922848.24,,,,,,,,0.05,,722.0,,,,,,,84.0,1.03,0.0,,,6.09,6.09,219044.0,14220497.29,,15.82,6.1,20.58,0.1738,23.81,0.0976
2012-05-15,21696.0,1413394.02,0.4,5.88,0.27,1.55,0.0,1066169.18,14266.0,16366.0,929363.9,,,300.0,,,,,0.02,,249.0,,,,300.0,,,1070.0,1.04,0.08,,,18.76,6.13,61792.0,4025462.91,,4.5,18.72,21.59,0.1766,25.09,0.0933
2012-05-16,22679.0,1474171.38,0.42,6.12,0.28,1.62,0.0,1127712.83,13905.0,17349.0,903847.31,,,,0.1,,,,0.03,1344.0,361.0,,,0.1,,,,361.0,1.01,0.03,,,5.98,5.98,218704.0,14216110.85,,15.89,5.98,20.59,0.175,23.92,0.0975
2012-05-17,22645.0,1469112.63,0.42,6.41,0.28,1.62,0.0,1123324.59,13871.0,17315.0,899892.31,,,,,,,,0.0,,34.0,,,,,,,34.0,1.01,0.0,,,5.73,5.73,228324.0,14812703.59,,16.54,5.73,20.67,0.1752,23.93,0.0935
2012-05-18,22507.0,1457126.2,0.41,6.75,0.28,1.59,0.0,1112056.55,13733.0,17177.0,889088.47,,,,,,,,0.01,,138.0,,,,,,,138.0,0.99,0.01,,,5.91,5.91,218578.0,14150963.27,,15.73,5.9,20.96,0.1758,24.0,0.0969
2012-05-21,22446.0,1444706.01,0.41,6.77,0.28,1.59,0.0,1101647.87,13672.0,17116.0,879979.53,,,,,,,,0.0,,61.0,,,,,,,61.0,0.98,0.01,,,5.89,5.89,218639.0,14072399.45,,15.68,5.88,21.07,0.1761,24.04,0.0966
2012-05-22,22486.0,1438188.33,0.41,7.11,0.28,1.6,0.0,1097285.38,13672.0,17156.0,874451.25,,,,,,40.0,,,,,,,,,0.0,,,0.98,,,,5.89,5.89,218639.0,13983992.64,,15.71,5.9,20.94,0.1755,24.08,0.0968
2012-05-23,21525.0,1376723.46,0.4,7.06,0.27,1.52,0.0,1097285.38,12711.0,17156.0,812986.39,,,,,,,,0.21,,2961.0,,,,,,2000.0,,0.92,,,,14.23,5.47,76639.0,4901775.13,,5.53,14.21,20.68,0.1712,21.92,0.0927
2012-05-24,21525.0,1374595.91,0.4,7.27,0.27,1.52,0.0,1095589.66,12711.0,17156.0,811730.01,,,,,,,,,,,,,,,,,,0.91,,,,5.47,5.47,219600.0,14023751.97,,15.67,5.49,20.59,0.1713,22.04,0.0927
2012-05-25,21495.0,1366499.46,0.4,7.51,0.27,1.51,0.0,1088749.47,12681.0,17126.0,806167.93,,,,,,,,0.0,,30.0,,,,,,,30.0,0.9,0.0,,,5.46,5.46,219630.0,13962515.77,,15.65,5.46,20.64,0.1715,22.09,0.0925
2012-05-28,21495.0,1371328.08,0.4,7.77,0.27,1.51,0.0,1092596.64,12681.0,17126.0,809016.58,,,,,,,,,,,,,,,,,,0.9,,,,5.46,5.46,219773.0,14020976.33,,15.53,5.45,20.46,0.1714,22.18,0.0925
2012-05-29,21491.0,1371072.89,0.4,8.31,0.27,1.51,0.0,1092341.45,12677.0,17122.0,808761.39,,,,,,,,0.0,,4.0,,,,,,,4.0,0.9,0.0,,,5.45,5.45,219777.0,14021231.52,,15.63,5.46,20.61,0.1715,22.13,0.0925
2012-05-30,21481.0,1347272.63,0.4,8.83,0.27,1.52,0.0,1073252.14,12667.0,17112.0,794464.99,,,,,,,,0.0,,10.0,,,,,,,10.0,0.91,0.0,,,5.45,5.45,219787.0,13784880.15,,15.7,5.47,20.71,0.1715,22.01,0.0924
2012-05-31,23271.0,1442811.87,0.43,9.98,0.29,1.61,0.0,1047931.17,14457.0,16902.0,896340.13,,,,,,,,0.02,,210.0,,,,,,2000.0,210.0,1.01,0.02,,,6.22,6.22,217997.0,13515906.49,,15.22,6.23,18.96,0.1519,20.72,0.1001
2012-06-01,23254.0,1441757.87,0.43,9.26,0.29,1.59,0.0,1170878.01,14457.0,18885.0,896340.13,,,,,,2000.0,,,,,,,,,0.14,,17.0,0.99,0.0,,,5.99,5.99,226714.0,14056364.19,,15.58,6.0,18.84,0.1522,21.01,0.0964
2012-06-04,23180.0,1405927.01,0.43,9.22,0.29,1.58,0.0,1140935.85,14366.0,18811.0,871335.09,,,,,,,,0.01,,91.0,,,,,,,74.0,0.98,0.01,,,5.96,5.96,226805.0,13756310.44,,15.53,5.95,18.89,0.1527,21.16,0.0961
2012-06-05,21974.0,1342652.43,0.41,8.93,0.27,1.48,0.0,1075698.38,14673.0,17605.0,896547.7,,,496.0,,,,,0.01,,189.0,,,,496.0,,,1206.0,1.0,0.09,,,16.16,6.09,76143.0,4652479.49,,5.16,16.21,19.97,0.1535,22.55,0.0912
2012-06-06,23000.0,1377649.43,0.42,10.03,0.29,1.55,0.0,1115955.93,14503.0,18631.0,868697.81,,,,0.08,,,,0.01,1196.0,170.0,,,0.08,,,,170.0,0.98,0.01,,,6.03,6.03,226198.0,13548762.84,,15.28,6.02,19.01,0.1556,21.57,0.0956
2012-06-07,22862.0,1391775.19,0.42,9.92,0.29,1.52,0.0,1125802.58,14365.0,18493.0,874501.38,,,,,,,,0.01,,138.0,,,,,,,138.0,0.95,0.01,,,5.97,5.97,226336.0,13778708.32,,15.06,5.95,19.02,0.1566,21.94,0.095
2012-06-08,22847.0,1375465.04,0.42,10.06,0.29,1.54,0.0,1112436.77,14350.0,18478.0,863917.51,,,,,,,,0.0,,15.0,,,,,,,15.0,0.98,0.0,,,5.96,5.96,226280.0,13622805.11,,15.35,5.97,19.24,0.1567,21.65,0.0949
2012-06-11,21198.0,1308189.76,0.39,9.49,0.26,1.41,0.0,1005241.2,13899.0,16289.0,857747.4,,,3.0,,,,,0.03,,454.0,,,,3.0,,,2189.0,0.93,0.16,,,5.78,5.78,226527.0,13979634.95,,15.21,5.78,20.7,0.16,23.64,0.0882
2012-06-12,21736.0,1310532.26,0.4,9.55,0.27,1.48,0.0,1047111.42,14829.0,17367.0,894087.36,,,,0.09,,,,0.04,1198.0,680.0,,,0.09,,,1610.0,120.0,1.02,0.01,,,6.16,6.16,225812.0,13614920.45,,15.48,6.17,20.33,0.1696,22.64,0.0903
2012-06-13,23111.0,1401741.98,0.43,10.03,0.29,1.54,0.0,1136750.82,14614.0,18742.0,886376.94,,,,0.11,,,,0.02,1610.0,215.0,,,0.11,,,,235.0,0.97,0.02,,,6.06,6.06,226678.0,13748607.56,,15.15,6.04,18.84,0.1664,21.65,0.0958
2012-06-14,22813.0,1393916.9,0.42,10.2,0.29,1.53,0.0,1126962.84,14316.0,18444.0,874734.33,,,,,,,,0.02,,298.0,,,,,,,298.0,0.96,0.02,,,5.95,5.95,226233.0,13823258.77,,15.24,5.94,19.21,0.17,21.87,0.0948
2012-06-15,22727.0,1358029.89,0.42,10.43,0.28,1.53,0.0,1096964.52,14128.0,18358.0,844204.97,,,,,,,,0.01,,86.0,,,,,,,86.0,0.96,0.01,0.01,,5.91,5.91,224735.0,13428822.4,102.0,15.22,5.92,19.35,0.1711,21.85,0.0951
2012-06-18,23005.0,1368646.83,0.42,10.56,0.29,1.53,0.0,1108719.95,15597.0,18636.0,927919.35,,,290.0,,,1179.0,,,,,,,,290.0,0.08,1179.0,901.0,1.04,0.07,,,6.53,6.53,223266.0,13282864.74,,14.87,6.54,19.03,0.1671,21.81,0.0963
2012-06-19,24196.0,1445156.32,0.45,10.87,0.3,1.6,0.0,1184208.72,14071.0,19827.0,840419.68,,,,0.08,,,,0.1,1191.0,1526.0,,,0.08,,,,,0.92,,,,5.89,5.89,224798.0,13426527.09,,14.82,5.87,20.9,0.1697,21.26,0.1013
2012-06-20,21544.0,1302634.09,0.4,9.23,0.27,1.42,0.0,1038467.35,11163.0,17175.0,674958.43,,,,,,,,0.19,,2908.0,,,,,,,2652.0,0.74,0.19,,,4.64,4.64,229392.0,13869933.12,,15.24,4.63,23.5,0.1877,24.15,0.0896
2012-06-21,19570.0,1184333.45,0.36,8.47,0.24,1.31,0.0,919931.16,11073.0,15201.0,670113.66,,,,,,,,0.01,,90.0,,,,,,,1974.0,0.75,0.13,,,4.61,4.61,229365.0,13880666.45,,15.55,4.63,25.42,0.2158,26.83,0.0814
2012-06-22,19592.0,1168412.41,0.36,8.24,0.24,1.31,0.0,907857.4,11095.0,15223.0,661674.95,,,,0.0,,,,,22.0,,,,0.0,,,22.0,,0.75,,,,4.62,4.62,229316.0,13675768.67,,15.45,4.62,25.52,0.2152,26.69,0.0815
2012-06-25,19614.0,1165318.35,0.36,8.05,0.25,1.3,0.0,905744.79,11166.0,15245.0,663400.87,,,22.0,0.0,,,,,22.0,,,,0.0,22.0,,49.0,,0.74,,,,4.64,4.64,229228.0,13619027.0,,15.23,4.65,25.76,0.215,26.56,0.0816
2012-06-26,18823.0,1112064.99,0.35,7.69,0.24,1.24,0.0,894177.53,10359.0,15135.0,612010.91,,,,,,,,0.06,,807.0,,,,,,,110.0,0.68,0.01,,,4.34,4.34,228348.0,13490825.97,,15.08,4.34,26.99,0.2179,27.61,0.0789
2012-06-27,20181.0,1200274.65,0.37,8.23,0.25,1.32,0.0,890585.83,16237.0,14974.0,965703.36,,,6039.0,,,,,0.01,,161.0,,,,6039.0,,,161.0,1.07,0.01,,,6.8,6.8,222470.0,13231509.92,,14.63,6.8,25.73,0.223,25.89,0.0845
2012-06-28,18582.0,1083300.31,0.34,7.64,0.23,1.22,0.0,868295.92,10069.0,14894.0,587006.29,,,,,,,,0.4,,6168.0,,,,,,,80.0,0.67,0.01,,,4.19,4.19,230373.0,13430370.38,,15.24,4.2,27.3,0.2236,28.04,0.0773
2012-06-29,18582.0,1108846.7,0.34,7.69,0.23,1.19,0.0,888772.07,10074.0,14894.0,601147.43,,,,,,,,,,,,,,,,5.0,,0.64,,,,4.19,4.19,230622.0,13761943.96,,14.84,4.14,27.62,0.2242,28.0,0.0772
2012-07-02,18581.0,1146687.14,0.34,7.93,0.23,1.23,0.0,919090.01,10068.0,14893.0,621325.34,,,,,,,,0.0,,6.0,,,,,,,1.0,0.67,0.0,,,4.19,4.19,230484.0,14223832.84,,15.39,4.2,27.18,0.2241,28.2,0.0772
2012-07-03,18541.0,1145384.83,0.34,7.86,0.23,1.25,0.0,917555.74,10028.0,14853.0,619487.57,,,,,,,,0.0,,40.0,,,,,,,40.0,0.69,0.0,,,4.17,4.17,230421.0,14234438.17,,15.81,4.17,26.69,0.2237,28.33,0.0771
2012-07-04,18475.0,1141307.63,0.34,7.72,0.23,1.25,0.0,913478.53,10028.0,14787.0,619487.57,,,,,,,,,,,,,,,,,66.0,0.69,0.0,,,4.17,4.17,230421.0,14234438.17,,15.9,4.18,26.71,0.2251,28.38,0.0768
2012-07-05,18702.0,1175328.46,0.34,7.8,0.23,1.27,0.0,943555.85,10255.0,15014.0,644476.17,,,,,,259.0,,0.0,,32.0,,,,,0.02,259.0,32.0,0.71,0.0,,,4.27,4.27,230184.0,14465929.07,,15.93,4.28,26.23,0.2214,28.21,0.0778
2012-07-06,18702.0,1163733.14,0.34,7.62,0.23,1.29,0.0,934247.1,10255.0,15014.0,638118.03,,,,,,,,,,,,,,,,,,0.72,,,,4.27,4.27,230176.0,14322716.22,,16.15,4.28,25.93,0.2211,28.31,0.0778
2012-07-09,18702.0,1151129.53,0.34,7.5,0.23,1.27,0.0,924128.9,10255.0,15014.0,631207.0,,,,,,,,,,,,,,,,,,0.71,,,,4.27,4.27,230152.0,14166119.32,,15.92,4.27,26.25,0.2213,28.13,0.0778
2012-07-10,18702.0,1125922.31,0.34,7.42,0.23,1.27,0.0,903892.5,10255.0,15014.0,617384.95,,,,,,,,,,,,,,,,,,0.71,,,,4.27,4.27,230152.0,13855912.33,,15.78,4.28,26.4,0.2217,28.13,0.0778
2012-07-11,19742.0,1206273.07,0.36,7.68,0.25,1.31,0.0,978485.3,10678.0,16014.0,652445.74,,,40.0,,,1000.0,,,,,,,,40.0,0.07,383.0,,0.72,,,,4.44,4.44,229712.0,14035832.17,,15.42,4.44,25.44,0.2025,26.44,0.0821
2012-07-12,22011.0,1320783.88,0.41,8.68,0.28,1.48,0.0,1097082.9,12928.0,18283.0,775752.76,,,,,,2269.0,,,,,,,,,0.15,2250.0,,0.88,,,,5.38,5.38,227462.0,13649000.16,,15.48,5.39,22.52,0.1731,23.82,0.0916
2012-07-13,20169.0,1218771.32,0.37,8.82,0.25,1.33,0.0,995913.04,11086.0,16481.0,669904.25,,,,,,,,0.13,,1842.0,,,,,,,1802.0,0.74,0.12,,,4.61,4.61,229304.0,13856370.59,,15.28,4.6,25.04,0.1937,25.77,0.0839
2012-07-16,20566.0,1235738.92,0.38,9.21,0.26,1.37,0.0,1014139.92,11086.0,16878.0,666118.92,,,,0.03,,,,,397.0,,,,0.03,,,,,0.74,,,,4.61,4.61,229290.0,13777233.16,,15.4,4.61,24.42,0.1878,25.39,0.0856
2012-07-17,20914.0,1245185.65,0.39,9.49,0.26,1.39,0.0,1025608.11,13138.0,17226.0,782215.22,,,1207.0,0.02,,,,,348.0,,,,0.02,1207.0,,845.0,,0.87,,,,5.34,5.34,232906.0,13866845.57,,15.52,5.33,24.12,0.183,24.87,0.085
2012-07-18,20320.0,1209454.68,0.37,9.05,0.25,1.34,0.0,989943.41,11831.0,16632.0,704185.94,,,,,,,,0.09,,1307.0,,,,,,,594.0,0.78,0.04,,,4.82,4.82,233536.0,13900157.84,,15.42,4.81,25.02,0.1915,25.52,0.0828
2012-07-19,20342.0,1227763.08,0.38,9.25,0.25,1.34,0.0,1003842.08,11259.0,16632.0,679548.94,,,22.0,,,,,0.04,,594.0,,,,22.0,,,,0.74,,,,4.64,4.64,231416.0,13967359.19,,15.33,4.63,24.95,0.1917,25.57,0.0838
2012-07-20,20320.0,1218766.6,0.37,6.87,0.25,1.36,0.0,997565.26,11237.0,16632.0,673980.33,,,,,,,,0.0,,22.0,,,,,,,,0.76,,,,4.67,4.67,229335.0,13755208.59,,15.47,4.69,24.59,0.1914,25.8,0.0845
2012-07-23,21445.0,1305126.77,0.4,6.29,0.27,1.43,0.0,1080677.83,11237.0,17757.0,683875.47,,,,0.08,,,,,1125.0,,,,0.08,,,,,0.75,,,,4.67,4.67,229200.0,13948941.72,,15.35,4.68,23.44,0.1746,24.33,0.0892
2012-07-24,21445.0,1304548.68,0.4,6.14,0.27,1.44,0.0,1080199.16,11237.0,17757.0,683572.56,,,,,,,,,,,,,,,,,,0.76,,,,4.77,4.77,224408.0,13651254.86,,15.24,4.78,23.18,0.1743,24.43,0.091
2012-07-25,21915.0,1335109.05,0.4,6.21,0.27,1.47,0.0,1108539.55,11268.0,18196.0,686470.85,,,31.0,0.03,,,,,439.0,,,,0.03,31.0,,,,0.76,,,,4.77,4.77,225014.0,13708338.02,,15.18,4.76,22.8,0.1726,23.78,0.0927
2012-07-26,22884.0,1419023.34,0.42,6.35,0.29,1.53,0.0,1190332.63,12237.0,19196.0,758809.15,,,,0.07,,,,0.0,1000.0,31.0,,,0.07,,,1000.0,,0.82,,,,5.19,5.19,223368.0,13850917.86,,15.06,5.16,21.84,0.1617,22.65,0.0971
2012-07-27,19881.0,1237096.49,0.37,5.39,0.25,1.34,0.0,1007610.45,12255.0,16193.0,762568.15,,,18.0,0.0,,,,,18.0,,,,0.0,18.0,,,3021.0,0.84,0.21,,,5.2,5.2,223350.0,13897967.93,,15.4,5.2,18.94,0.1581,24.92,0.0844
2012-07-30,20025.0,1257752.74,0.37,5.41,0.25,1.36,0.0,1026112.68,12399.0,16337.0,778770.35,,,,0.01,,,,,144.0,,,,0.01,,,144.0,,0.87,,,,5.26,5.26,223206.0,14019373.66,,15.54,5.27,18.92,0.1563,24.54,0.085
2012-07-31,22025.0,1375454.7,0.41,6.03,0.28,1.51,0.0,1145140.2,11378.0,18337.0,710552.72,,,,,,2000.0,,0.07,,1021.0,,,,,0.15,,,0.79,,,,4.83,4.83,224227.0,14002909.49,,15.62,4.82,16.97,0.1366,22.12,0.0935
2012-08-01,21225.0,1337891.66,0.39,5.99,0.27,1.51,0.0,1105423.13,11378.0,17537.0,717198.17,,,,,,,,,,,,,,,,,800.0,0.8,0.0,,,4.83,4.83,224227.0,14133871.96,,15.64,4.84,17.07,0.1367,22.1,0.0901
2012-08-02,21047.0,1331399.63,0.39,5.92,0.26,1.45,0.0,1098102.63,10456.0,17359.0,661429.87,,,,,,,,0.06,,922.0,,,,,,,178.0,0.74,0.01,,,4.44,4.44,225079.0,14238138.29,,15.87,4.45,17.98,0.1442,23.01,0.0894
2012-08-03,21014.0,1334976.78,0.39,5.9,0.26,1.44,0.0,1100685.63,10423.0,17326.0,662152.04,,,,,,,,0.0,,33.0,,,,,,,33.0,0.72,0.0,,,4.43,4.43,225111.0,14300845.07,,15.69,4.39,17.76,0.1449,23.28,0.0892
2012-08-06,21014.0,1330256.21,0.39,5.72,0.26,1.45,0.0,1096793.53,10040.0,17326.0,635565.45,,,,,,,,0.03,,383.0,,,,,,,,0.71,,,,4.26,4.26,225494.0,14274521.49,,15.89,4.26,17.9,0.1444,23.05,0.0892
2012-08-07,20372.0,1281561.1,0.38,5.53,0.25,1.4,0.0,1049556.52,9781.0,16684.0,615302.82,,,,,,,,0.02,,259.0,,,,,,,642.0,0.69,0.05,,,4.15,4.15,225753.0,14201662.21,,15.91,4.16,18.53,0.1461,23.81,0.0865
2012-08-08,20372.0,1276801.69,0.38,5.61,0.25,1.4,0.0,1045658.72,9781.0,16684.0,613017.74,,,,,,,,,,,,,,,,,,0.69,,,,4.19,4.19,223633.0,14016051.11,,15.7,4.2,18.53,0.1463,23.88,0.0873
2012-08-09,20372.0,1277716.96,0.38,5.55,0.25,1.39,0.0,1046408.3,9781.0,16684.0,613457.18,,,,,,,,,,,,,,,,,,0.68,,,,4.19,4.19,223597.0,14023840.57,,15.63,4.2,18.52,0.1465,23.96,0.0873
2012-08-10,20379.0,1277240.41,0.38,5.6,0.25,1.39,0.0,1046097.44,9581.0,16691.0,600482.87,,,,0.0,,,,0.01,7.0,200.0,,,0.0,,,,,0.67,,,,4.22,4.22,217694.0,13643828.19,,15.21,4.22,18.49,0.1464,23.96,0.0897
2012-08-13,20372.0,1262157.37,0.38,5.65,0.25,1.39,0.0,1033665.5,9581.0,16684.0,593595.61,,,,,,,,,,,,,,,,,7.0,0.67,0.0,,,4.1,4.1,223911.0,13872517.16,,15.59,4.1,18.46,0.1466,24.02,0.0872
2012-08-14,21330.0,1331477.17,0.39,5.93,0.27,1.45,0.0,1101262.09,10739.0,17642.0,670357.87,,,,0.07,,,,0.04,958.0,599.0,,,0.07,,,1757.0,,0.74,,,,4.6,4.6,222717.0,13902606.72,,15.39,4.6,17.53,0.139,22.98,0.0914
2012-08-15,21237.0,1322427.81,0.39,5.95,0.27,1.46,0.0,1092776.08,10646.0,17549.0,662926.33,,,,,,1086.0,,0.08,,1179.0,,,,,0.08,1086.0,1179.0,0.74,0.08,,,4.58,4.58,221631.0,13800960.45,,15.41,4.58,17.6,0.1391,22.9,0.0914
2012-08-16,21237.0,1323572.77,0.39,5.99,0.27,1.45,0.0,1093722.2,10646.0,17549.0,663500.29,,,1.0,,,,,0.0,,1.0,,,,1.0,,,,0.73,,,,4.53,4.53,224222.0,13974390.57,,15.49,4.53,17.52,0.1394,23.04,0.0904
2012-08-17,21311.0,1340440.19,0.39,6.12,0.27,1.46,0.0,1108468.74,10720.0,17623.0,674277.08,,,,0.01,,,,,74.0,,,,0.01,,,74.0,,0.75,,,,4.69,4.69,217714.0,13693988.78,,15.13,4.7,17.53,0.1385,22.85,0.0933
2012-08-20,20815.0,1299890.56,0.38,5.99,0.26,1.47,0.0,1069576.06,10753.0,17127.0,671521.65,,,,0.0,,,,,4.0,,,,0.0,,,33.0,500.0,0.75,0.0,,,4.59,4.59,223523.0,13958944.9,,15.6,4.58,17.5,0.1383,22.75,0.0888
2012-08-21,20833.0,1310000.08,0.38,5.97,0.26,1.43,0.0,1078094.92,10342.0,17145.0,650315.41,,,89.0,0.01,,,,0.03,104.0,500.0,,,0.01,89.0,,,86.0,0.71,0.04,,,4.42,4.42,223726.0,14068116.85,,15.46,4.41,17.77,0.1411,23.41,0.089
2012-08-22,20765.0,1279975.4,0.38,5.95,0.26,1.43,0.0,1052643.38,10213.0,17077.0,629539.55,,,25.0,,,,,0.01,,154.0,,,,25.0,,,68.0,0.71,0.0,,,4.37,4.37,223347.0,13767332.77,,15.57,4.36,18.03,0.1421,23.44,0.0889
2012-08-23,20715.0,1288061.51,0.38,5.85,0.26,1.4,0.0,1058741.17,10155.0,17027.0,631439.28,,,,,,,,0.0,,58.0,,,,,,,50.0,0.69,0.01,,,4.36,4.36,223015.0,13867102.95,,15.24,4.35,17.88,0.1433,23.81,0.0888
2012-08-24,20719.0,1276209.05,0.38,5.9,0.26,1.42,0.0,1049042.73,10182.0,17031.0,627171.22,,,27.0,0.0,,,,,4.0,,,,0.0,27.0,,,,0.71,,,,4.37,4.37,222747.0,13720340.63,,15.45,4.37,18.11,0.1429,23.58,0.089
2012-08-27,21215.0,1324870.44,0.39,6.11,0.27,1.44,0.0,1094555.94,10641.0,17527.0,664527.29,,,,0.04,,,,0.04,540.0,541.0,,,0.04,,,1000.0,44.0,0.73,0.0,,,4.57,4.57,222103.0,13870266.32,,15.25,4.57,17.53,0.1398,23.14,0.0912
2012-08-28,21215.0,1306760.7,0.39,6.15,0.27,1.45,0.0,1079594.38,10641.0,17527.0,655443.82,,,,,,,,,,,,,,,,,,0.74,,,,4.58,4.58,221470.0,13641682.44,,15.34,4.58,17.59,0.1396,23.02,0.0914
2012-08-29,21215.0,1301804.35,0.39,6.16,0.27,1.44,0.0,1075499.64,10641.0,17527.0,652957.82,,,,,,,,,,,,,,,,,,0.73,,,,4.58,4.58,221489.0,13591107.45,,15.2,4.59,17.55,0.1398,23.13,0.0914
2012-08-30,21237.0,1307161.68,0.39,6.03,0.27,1.44,0.0,1080161.06,10641.0,17549.0,654965.74,,,,0.0,,,,0.0,22.0,37.0,,,0.0,,,37.0,,0.73,,,,4.58,4.58,221477.0,13632163.13,,15.14,4.59,17.51,0.1398,23.2,0.0915
2012-08-31,19271.0,1194810.18,0.36,7.11,0.24,1.3,0.0,966152.61,10641.0,15583.0,659746.51,,,,0.0,,,,,34.0,,,,0.0,,,,2000.0,0.73,0.14,,,4.59,4.59,221259.0,13718151.88,,15.1,4.58,19.27,0.1485,25.67,0.0831
2012-09-03,18311.0,1146807.2,0.34,8.03,0.23,1.24,0.0,915829.92,10675.0,14623.0,668569.0,,,34.0,0.0,,,,,40.0,,,,0.0,34.0,,,1000.0,0.74,0.07,,,4.64,4.64,219452.0,13744150.18,,15.16,4.64,20.52,0.162,26.92,0.0796
2012-09-04,18806.0,1181188.41,0.35,8.7,0.24,1.29,0.0,949548.36,11170.0,15118.0,701577.93,,,500.0,0.04,,,,0.0,500.0,5.0,,,0.04,500.0,,,5.0,0.78,0.0,,,100.0,4.82,0.0,0.0,,0.0,100.0,19.88,0.153,25.81,0.0811
2012-09-05,16628.0,1069043.12,0.31,7.99,0.21,1.16,0.0,831935.17,11000.0,12940.0,707209.19,,,,,,,,0.01,,170.0,,,,,,,2178.0,0.77,0.14,,,100.0,4.75,0.0,0.0,,0.0,100.0,18.19,0.14,22.2,0.0718
2012-09-06,16628.0,1079501.97,0.31,8.04,0.21,1.18,0.0,840074.3,11000.0,12940.0,714128.08,,,,,,,,,,,,,,,,,,0.79,,,,100.0,4.75,0.0,0.0,,0.0,100.0,17.85,0.1399,22.32,0.0718
2012-09-07,16643.0,1065670.64,0.31,8.43,0.21,1.18,0.0,829523.71,11000.0,12955.0,704342.79,,,,0.0,,,,,15.0,,,,0.0,,,,,0.79,,,,100.0,4.75,0.0,0.0,,0.0,100.0,17.84,0.1396,22.26,0.0719
2012-09-10,16577.0,1076191.01,0.31,8.47,0.21,1.18,0.0,836763.34,10996.0,12889.0,713868.39,,,,,,,,0.0,,4.0,,,,,,,66.0,0.79,0.01,,,100.0,4.75,0.0,0.0,,0.0,100.0,17.88,0.1401,22.38,0.0716
2012-09-11,16277.0,1049548.14,0.3,8.35,0.2,1.18,0.0,811744.27,10996.0,12589.0,709026.93,,,,,,,,,,,,,,,,,300.0,0.79,0.0,,,4.75,4.75,220560.0,14221806.12,,15.88,4.75,17.79,0.1399,22.39,0.0703
