,EBUY FP Equity_PX_LAST
2025-03-31,14.859
2025-04-01,14.83
2025-04-02,14.827
2025-04-03,14.256
2025-04-04,13.426
2025-04-07,13.184
2025-04-08,13.568
2025-04-09,12.96
2025-04-10,13.692
2025-04-11,13.31
2025-04-14,13.925
2025-04-15,13.945
2025-04-16,13.554
2025-04-17,13.5
2025-04-22,13.394
2025-04-23,13.973
2025-04-24,14.23
2025-04-25,14.244
2025-04-28,14.357
2025-04-29,14.34
2025-04-30,14.527
2025-05-02,14.728
2025-05-05,14.999
2025-05-06,15.068
2025-05-07,14.925
2025-05-08,15.129
2025-05-09,15.067
2025-05-12,15.691
2025-05-13,16.134
2025-05-14,15.942
2025-05-15,15.827
2025-05-16,15.789
2025-05-19,15.793
2025-05-20,15.794
2025-05-21,15.71
2025-05-22,15.774
2025-05-23,15.369
2025-05-26,15.474
2025-05-27,15.63
2025-05-28,15.669
2025-05-29,15.592
2025-05-30,15.673
2025-06-02,15.63
2025-06-03,15.829
2025-06-04,15.956
2025-06-05,16.098
2025-06-06,15.94
2025-06-09,16.003
2025-06-10,16.121
2025-06-11,15.956
2025-06-12,15.959
2025-06-13,15.576
2025-06-16,15.761
2025-06-17,15.793
2025-06-18,15.735
2025-06-19,15.52
2025-06-20,15.559
2025-06-23,15.582
2025-06-24,15.671
2025-06-25,15.741
2025-06-26,15.896
2025-06-27,15.993
2025-06-30,16.032
2025-07-01,15.861
2025-07-02,16.018
2025-07-03,16.079
2025-07-04,15.929
2025-07-07,16.015
2025-07-08,16.216
2025-07-09,16.094
2025-07-10,16.067
2025-07-11,15.93
2025-07-14,15.965
2025-07-15,16.219
2025-07-16,16.024
2025-07-17,16.416
2025-07-18,16.373
2025-07-21,16.417
2025-07-22,16.292
2025-07-23,16.574
2025-07-24,16.423
2025-07-25,16.451
2025-07-28,16.627
2025-07-29,16.719
2025-07-30,16.744
2025-07-31,16.615
2025-08-01,15.991
2025-08-04,16.524
2025-08-05,16.33
2025-08-06,16.366
2025-08-07,16.177
2025-08-08,16.277
2025-08-11,16.45
2025-08-12,16.45
2025-08-13,16.46
2025-08-14,16.444
2025-08-15,16.495
2025-08-18,16.546
2025-08-19,16.524
2025-08-20,16.314
2025-08-21,16.345
2025-08-22,16.687
2025-08-25,16.632
2025-08-26,16.42
2025-08-27,16.496
2025-08-28,16.708
2025-08-29,16.55
