,ETZ FP Equity_DX_SI_QTY,ETZ FP Equity_DX_SHORT_INTEREST_VALUE,ETZ FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ETZ FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ETZ FP Equity_DX_SI_MV,ETZ FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ETZ FP Equity_DX_SUPPLY_SI_QTY,ETZ FP Equity_DX_BROKER_SI_QTY,ETZ FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ETZ FP Equity_DX_SUPPLY_SI_QTY_INC_x,ETZ FP Equity_DX_BROKER_SI_MV_INC_x,ETZ FP Equity_DX_BROKER_SI_QTY_ADD,ETZ FP Equity_DX_SUPPLY_SI_MV_DEC,ETZ FP Equity_DX_BROKER_SI_QTY_INC,ETZ FP Equity_DX_SUPPLY_SI_QTY_DEC,ETZ FP Equity_DX_BROKER_SI_MV_INC_y,ETZ FP Equity_DX_SUPPLY_SI_QTY_INC_y,ETZ FP Equity_DX_BROKER_SI_MV_ADD,ETZ FP Equity_DX_SUPPLY_SI_QTY_ADD,ETZ FP Equity_DX_BROKER_SI_QTY_DEC,ETZ FP Equity_DX_SUPPLY_SI_MV,ETZ FP Equity_DX_BROKER_SI_MV_DEC,ETZ FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ETZ FP Equity_DX_UTILIZATION_QUANTITY,ETZ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ETZ FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ETZ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ETZ FP Equity_DX_ACTIVE_UTILIZATION_MV,ETZ FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ETZ FP Equity_DX_BROKER_SI_CON_RATIO,ETZ FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ETZ FP Equity_DX_DEMAND_SUPPLY_RATIO,ETZ FP Equity_PX_LAST
2016-12-14,5800.0,258970.0,0.07,0.03,0.26,258970.0,0.0,5800.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.4093,44.65
2016-12-15,5800.0,261638.0,0.07,0.03,0.26,261638.0,0.0,5800.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.4093,45.11
2016-12-16,5800.0,262015.0,0.07,0.03,0.26,262015.0,0.0,5800.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.96,0.5,50.04,0.4093,45.175
2016-12-19,5800.0,262044.0,0.07,0.03,0.26,262044.0,0.0,5800.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.4093,45.18
2016-12-20,5800.0,263204.0,0.07,0.03,0.26,263204.0,0.0,5800.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.4093,45.38
2016-12-21,2900.0,131312.0,0.03,0.02,0.13,131312.0,0.0,2900.0,0.0,,,,,,,,,,,2900.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.2047,45.28
2016-12-22,2900.0,131123.5,0.04,0.02,0.13,131123.5,0.0,2900.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.2047,45.215
2016-12-23,2900.0,131297.5,0.04,0.02,0.13,131297.5,0.0,2900.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.2047,45.275
2016-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,2900.0,0.0,0.13,0.0,0.0,14169.0,641501.48,0.64,0.0,,0.0,100.0,0.0,
2016-12-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,14169.0,642068.24,0.64,0.0,,0.0,,0.0,45.315
2016-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,14169.0,643768.52,0.64,0.0,,0.0,,0.0,45.435
2016-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,14169.0,642139.08,0.64,0.0,,0.0,,0.0,45.32
2016-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,14169.0,642564.15,0.64,0.0,,0.0,,0.0,45.35
2017-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,831958.51,0.82,0.0,,0.0,,0.0,45.79
2017-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,834865.55,0.83,0.0,,0.0,,0.0,45.95
2017-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,834229.64,0.84,0.0,,0.0,,0.0,45.915
2017-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,835683.16,0.83,0.0,,0.0,,0.0,45.995
2017-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,835228.93,0.83,0.0,,0.0,,0.0,45.97
2017-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,830504.99,0.84,0.0,,0.0,,0.0,45.71
2017-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,831867.67,0.83,0.0,,0.0,,0.0,45.785
2017-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,834047.95,0.83,0.0,,0.0,,0.0,45.905
2017-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,826598.66,0.83,0.0,,0.0,,0.0,45.495
2017-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,835592.31,0.83,0.0,,0.0,,0.0,45.99
2017-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,828324.71,0.83,0.0,,0.0,,0.0,45.59
2017-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,827143.73,0.83,0.0,,0.0,,0.0,45.525
2017-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,828869.78,0.82,0.0,,0.0,,0.0,45.62
2017-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,828324.71,0.83,0.0,,0.0,,0.0,45.59
2017-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,828143.02,0.83,0.0,,0.0,,0.0,45.58
2017-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,824690.91,0.83,0.0,,0.0,,0.0,45.39
2017-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,825871.9,0.82,0.0,,0.0,,0.0,45.455
2017-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,837500.06,0.83,0.0,,0.0,,0.0,46.095
2017-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,839135.27,0.84,0.0,,0.0,,0.0,46.185
2017-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,836864.14,0.84,0.0,,0.0,,0.0,46.06
2017-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,827870.49,0.84,0.0,,0.0,,0.0,45.565
2017-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,821693.03,0.83,0.0,,0.0,,0.0,45.225
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,829869.08,0.82,0.0,,0.0,,0.0,45.675
2017-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,827052.88,0.83,0.0,,0.0,,0.0,45.52
2017-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,831685.98,0.83,0.0,,0.0,,0.0,45.775
2017-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,826416.97,0.83,0.0,,0.0,,0.0,45.485
2017-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,829869.08,0.83,0.0,,0.0,,0.0,45.675
2017-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,830959.22,0.83,0.0,,0.0,,0.0,45.735
2017-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,838499.35,0.83,0.0,,0.0,,0.0,46.15
2017-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,839135.27,0.84,0.0,,0.0,,0.0,46.185
2017-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,845585.26,0.84,0.0,,0.0,,0.0,46.54
2017-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,845857.8,0.85,0.0,,0.0,,0.0,46.555
2017-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,849219.06,0.85,0.0,,0.0,,0.0,46.74
2017-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,846312.02,0.85,0.0,,0.0,,0.0,46.58
2017-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,846221.18,0.85,0.0,,0.0,,0.0,46.575
2017-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,848128.92,0.85,0.0,,0.0,,0.0,46.68
2017-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,853579.62,0.85,0.0,,0.0,,0.0,46.98
2017-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,854033.85,0.86,0.0,,0.0,,0.0,47.005
2017-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,853943.0,0.86,0.0,,0.0,,0.0,47.0
2017-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,846766.25,0.85,0.0,,0.0,,0.0,46.605
2017-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,845403.57,0.85,0.0,,0.0,,0.0,46.53
2017-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,846675.4,0.84,0.0,,0.0,,0.0,46.6
2017-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18169.0,860029.62,0.85,0.0,,0.0,,0.0,47.335
2017-03-02,72200.0,3415782.0,0.54,0.35,3.42,3415782.0,0.0,72200.0,0.0,,,72200.0,,,,,,3.42,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,3.9738,47.31
2017-03-03,72200.0,3415060.0,0.58,0.35,3.43,3415060.0,0.0,72200.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.99,0.5,50.01,3.1162,47.3
2017-03-06,72200.0,3396649.0,0.59,0.35,3.42,3396649.0,0.0,72200.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,3.1162,47.045
2017-03-07,72200.0,3386541.0,1.13,0.35,3.39,3386541.0,0.0,72200.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,3.1162,46.905
2017-03-08,72200.0,3389790.0,1.13,0.35,3.39,3389790.0,0.0,72200.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,3.1162,46.95
2017-03-09,72200.0,3394844.0,1.09,0.35,3.39,3394844.0,0.0,72200.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,3.1162,47.02
2017-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,72200.0,0.0,3.36,0.0,0.0,23169.0,1089058.85,1.09,0.0,,0.0,,0.0,47.005
2017-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1094040.18,1.09,0.0,,0.0,,0.0,47.22
2017-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1090564.83,1.09,0.0,,0.0,,0.0,47.07
2017-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1095082.78,1.1,0.0,,0.0,,0.0,47.265
2017-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1103423.63,1.1,0.0,,0.0,,0.0,47.625
2017-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1106319.75,1.1,0.0,,0.0,,0.0,47.75
2017-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1104118.7,1.11,0.0,,0.0,,0.0,47.655
2017-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1099369.05,1.1,0.0,,0.0,,0.0,47.45
2017-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1093345.11,1.1,0.0,,0.0,,0.0,47.19
2017-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1103655.32,1.09,0.0,,0.0,,0.0,47.635
2017-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1101454.26,1.1,0.0,,0.0,,0.0,47.54
2017-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1097399.69,1.1,0.0,,0.0,,0.0,47.365
2017-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1103771.16,1.1,0.0,,0.0,,0.0,47.64
2017-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1107594.05,1.11,0.0,,0.0,,0.0,47.805
2017-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1113965.52,1.1,0.0,,0.0,,0.0,48.08
2017-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1117556.72,1.11,0.0,,0.0,,0.0,48.235
2017-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1110721.86,1.12,0.0,,0.0,,0.0,47.94
2017-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1113270.45,1.11,0.0,,0.0,,0.0,48.05
2017-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1113502.14,1.11,0.0,,0.0,,0.0,48.06
2017-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1115934.89,1.11,0.0,,0.0,,0.0,48.165
2017-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1118831.01,1.12,0.0,,0.0,,0.0,48.29
2017-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1117788.41,1.12,0.0,,0.0,,0.0,48.245
2017-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1118599.32,1.12,0.0,,0.0,,0.0,48.28
2017-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1120684.53,1.13,0.0,,0.0,,0.0,48.37
2017-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1115934.89,1.12,0.0,,0.0,,0.0,48.165
2017-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1115934.89,1.12,0.0,,0.0,,0.0,
2017-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1115934.89,1.11,0.0,,0.0,,0.0,
2017-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1104697.92,1.12,0.0,,0.0,,0.0,47.68
2017-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1107709.89,1.11,0.0,,0.0,,0.0,47.81
2017-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1109100.03,1.1,0.0,,0.0,,0.0,47.87
2017-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1110142.64,1.11,0.0,,0.0,,0.0,47.915
2017-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1134585.93,1.11,0.0,,0.0,,0.0,48.97
2017-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1137713.75,1.13,0.0,,0.0,,0.0,49.105
2017-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1142231.7,1.14,0.0,,0.0,,0.0,49.3
2017-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1139914.8,1.14,0.0,,0.0,,0.0,49.2
2017-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1139335.58,1.14,0.0,,0.0,,0.0,49.175
2017-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1139335.58,1.14,0.0,,0.0,,0.0,
2017-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1146402.12,1.14,0.0,,0.0,,0.0,49.48
2017-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1146865.5,1.14,0.0,,0.0,,0.0,49.5
2017-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1155901.41,1.15,0.0,,0.0,,0.0,49.89
2017-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1162736.26,1.16,0.0,,0.0,,0.0,50.185
2017-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1161693.66,1.16,0.0,,0.0,,0.0,50.14
2017-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1167370.07,1.16,0.0,,0.0,,0.0,50.385
2017-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1170034.5,1.17,0.0,,0.0,,0.0,50.5
2017-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1163894.72,1.17,0.0,,0.0,,0.0,50.235
2017-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1168876.05,1.17,0.0,,0.0,,0.0,50.45
2017-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1170497.88,1.17,0.0,,0.0,,0.0,50.52
2017-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1171540.49,1.17,0.0,,0.0,,0.0,50.565
2017-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1156364.79,1.17,0.0,,0.0,,0.0,49.91
2017-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1151730.99,1.15,0.0,,0.0,,0.0,49.71
2017-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1158913.38,1.15,0.0,,0.0,,0.0,50.02
2017-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1159608.45,1.16,0.0,,0.0,,0.0,50.05
2017-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1162388.73,1.16,0.0,,0.0,,0.0,50.17
2017-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1162157.04,1.17,0.0,,0.0,,0.0,50.16
2017-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1162388.73,1.16,0.0,,0.0,,0.0,50.17
2017-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1158565.85,1.16,0.0,,0.0,,0.0,50.005
2017-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1160535.21,1.16,0.0,,0.0,,0.0,50.09
2017-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1157407.4,1.16,0.0,,0.0,,0.0,49.955
2017-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1156248.95,1.16,0.0,,0.0,,0.0,49.905
2017-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1162388.73,1.16,0.0,,0.0,,0.0,50.17
2017-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1165516.55,1.16,0.0,,0.0,,0.0,50.305
2017-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1160535.21,1.17,0.0,,0.0,,0.0,50.09
2017-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1155438.03,1.16,0.0,,0.0,,0.0,49.87
2017-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1155322.19,1.15,0.0,,0.0,,0.0,49.865
2017-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1155322.19,1.16,0.0,,0.0,,0.0,49.865
2017-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1159608.45,1.15,0.0,,0.0,,0.0,50.05
2017-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,23169.0,1148255.64,1.16,0.0,,0.0,,0.0,49.56
