,ANTIN FP Equity_DX_SI_QTY,ANTIN FP Equity_DX_SHORT_INTEREST_VALUE,ANTIN FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ANTIN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ANTIN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ANTIN FP Equity_DX_SI_MV,ANTIN FP Equity_DX_DSS,ANTIN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ANTIN FP Equity_DX_SUPPLY_SI_QTY,ANTIN FP Equity_DX_BROKER_SI_QTY,ANTIN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ANTIN FP Equity_DX_BROKER_SI_MV_NEW_x,ANTIN FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ANTIN FP Equity_DX_SUPPLY_SI_QTY_INC_x,ANTIN FP Equity_DX_BROKER_SI_MV_INC_x,ANTIN FP Equity_DX_SUPPLY_SI_MV_NEW,ANTIN FP Equity_DX_BROKER_SI_QTY_ADD,ANTIN FP Equity_DX_BROKER_SI_QTY_NEW,ANTIN FP Equity_DX_SUPPLY_SI_MV_DEC,ANTIN FP Equity_DX_BROKER_SI_QTY_INC,ANTIN FP Equity_DX_SUPPLY_SI_QTY_DEC,ANTIN FP Equity_DX_BROKER_SI_MV_NEW_y,ANTIN FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ANTIN FP Equity_DX_BROKER_SI_MV_INC_y,ANTIN FP Equity_DX_SUPPLY_SI_QTY_INC_y,ANTIN FP Equity_DX_BROKER_SI_MV_ADD,ANTIN FP Equity_DX_SUPPLY_SI_QTY_ADD,ANTIN FP Equity_DX_BROKER_SI_QTY_DEC,ANTIN FP Equity_DX_SUPPLY_SI_MV,ANTIN FP Equity_DX_BROKER_SI_MV_DEC,ANTIN FP Equity_DX_SUPPLY_SI_MV_RMV,ANTIN FP Equity_DX_BROKER_SI_MV_RMV,ANTIN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ANTIN FP Equity_DX_UTILIZATION_QUANTITY,ANTIN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ANTIN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ANTIN FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ANTIN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ANTIN FP Equity_DX_ACTIVE_UTILIZATION_MV,ANTIN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ANTIN FP Equity_DX_BROKER_SI_CON_RATIO,ANTIN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ANTIN FP Equity_DX_DEMAND_SUPPLY_RATIO
2022-10-12,2246157.0,43912369.35,4.05,31.21,1.29,45.29,1.0,35869479.8,2008745.0,1834756.0,39270964.75,,,12856.0,0.15,,,,0.7,14448.0,17753.0,,,0.15,12856.0,,8455.0,15230.0,40.71,1.08,,,17.1,17.1,9737176.0,190361790.8,,198.53,17.02,23.97,0.2431,39.46,0.1912
2022-10-13,2237024.0,44740480.0,4.03,31.11,1.28,44.25,1.0,36533680.0,1994432.0,1826684.0,39888640.0,,,5550.0,0.0,,,,0.98,7854.0,19863.0,,,0.0,5550.0,,,15926.0,39.09,0.05,,,16.9,16.9,9808063.0,196161260.0,,190.97,16.99,23.69,0.2505,40.75,0.1895
2022-10-14,2251573.0,44941397.08,4.06,30.85,1.29,45.16,1.0,36777038.52,2007981.0,1842537.0,40079300.76,,,12859.0,0.55,,,,0.0,20318.0,3408.0,,,0.55,12859.0,,4098.0,4465.0,40.18,0.06,,,16.89,16.89,9881498.0,197234700.08,,197.5,16.9,24.19,0.2503,40.45,0.1894
2022-10-17,2243801.0,47119821.0,4.04,30.15,1.29,45.75,1.0,38674482.0,2000209.0,1841642.0,42004389.0,,,14369.0,0.3,,,,0.37,14369.0,22141.0,,,0.3,14369.0,,,15264.0,40.24,0.0,,,16.88,16.88,9849712.0,206843952.0,,196.03,17.03,24.49,0.2601,41.68,0.1894
2022-10-18,2192569.0,46482462.8,3.95,29.06,1.26,46.27,1.0,38281730.4,1960067.0,1805742.0,41553420.4,,,,,,,,0.0,,40142.0,,,,,,,35900.0,41.19,0.0,,,16.49,16.49,9923137.0,210370504.4,,207.98,16.53,25.02,0.2607,41.43,0.1845
2022-10-19,2178421.0,44701198.92,3.93,29.18,1.25,45.82,1.0,36924467.76,1944999.0,1799438.0,39911379.48,,,5683.0,0.18,,,,0.42,6100.0,21168.0,,,0.18,5683.0,,417.0,12404.0,41.05,0.23,,,16.37,16.37,9936789.0,203902910.28,,211.42,16.26,25.73,0.259,40.67,0.1833
2022-10-20,2177744.0,45297075.2,3.92,29.14,1.25,45.11,1.0,37414228.8,1944322.0,1798761.0,40441897.6,,,,0.0,,,,0.39,2175.0,5945.0,,,0.0,,,5268.0,2852.0,40.04,0.0,,,16.4,16.4,9911359.0,206156267.2,,203.49,16.44,25.35,0.265,41.75,0.1837
2022-10-21,2128621.0,44275316.8,3.84,29.69,1.22,44.35,1.0,36594022.4,1906559.0,1759328.0,39656427.2,,,2870.0,0.02,,,,0.58,4383.0,40633.0,,,0.02,2870.0,,,43816.0,39.62,0.78,,,16.1,16.1,9936386.0,206676828.8,,206.46,16.1,24.28,0.267,42.45,0.1797
2022-10-24,2094988.0,44204246.8,3.78,29.76,1.2,43.96,1.0,36408176.6,1878626.0,1725506.0,39639008.6,,,13830.0,0.54,,,,0.84,11988.0,41763.0,,,0.54,13830.0,,,45810.0,39.14,0.93,,,15.87,15.87,9956310.0,210078141.0,,206.31,15.95,22.79,0.273,43.82,0.177
2022-10-25,2056474.0,46517441.88,3.71,29.51,1.18,44.92,1.0,38553347.04,1854368.0,1704392.0,41945804.16,,,33222.0,1.93,,,,0.98,29013.0,57480.0,,,1.93,33222.0,,,50127.0,39.65,0.78,,,15.66,15.66,9987295.0,225912612.9,,210.33,15.86,19.98,0.2891,47.01,0.1737
2022-10-26,1995434.0,46254160.12,3.6,29.01,1.14,45.7,1.0,39236206.5,1857047.0,1692675.0,43046349.46,,,25909.0,,,,,3.5,,178566.0,,,,25909.0,,155336.0,11717.0,41.94,0.0,,,15.68,15.68,9983353.0,231414122.54,,223.24,15.82,18.36,0.2884,47.28,0.1685
2022-10-27,1994852.0,46240669.36,3.59,30.96,1.14,46.71,1.0,39399416.88,1853643.0,1699716.0,42967444.74,,,8645.0,0.94,,,,0.01,12325.0,16387.0,,,0.94,8645.0,,4338.0,5284.0,43.12,0.07,,,15.66,15.66,9985853.0,231472072.54,,232.57,15.64,18.98,0.2798,46.02,0.1685
2022-10-28,2020938.0,45471105.0,3.64,32.63,1.16,46.66,1.0,38399917.5,1859732.0,1706663.0,41843970.0,,,6947.0,0.13,,,,0.07,6947.0,858.0,,,0.13,6947.0,,,,42.91,,,,15.71,15.71,9978555.0,224517487.5,,231.59,15.63,20.17,0.2726,44.71,0.1707
2022-10-31,2006942.0,44192862.84,3.62,50.1,1.15,45.17,1.0,37463066.4,1850281.0,1701320.0,40743187.62,,,7300.0,0.0,,,,0.93,7300.0,16751.0,,,0.0,7300.0,,,12643.0,41.56,0.57,,,15.63,15.63,9985967.0,219890993.34,,225.32,15.57,20.2,0.2788,45.46,0.1696
2022-11-01,1938940.0,43393477.2,3.49,50.03,1.11,43.45,1.0,37814076.06,1838817.0,1689637.0,41152724.46,,,75929.0,0.33,,,,2.83,20727.0,101990.0,,,0.33,75929.0,,14597.0,32410.0,40.62,0.93,,,15.53,15.53,9998501.0,223766452.38,,220.31,15.57,20.54,0.285,46.23,0.1638
2022-11-02,1930253.0,43314877.32,3.48,50.45,1.11,43.78,1.0,37037421.96,1821152.0,1650509.0,40866650.88,,,1586.0,0.21,,,,0.05,1586.0,19251.0,,,0.21,1586.0,,,40714.0,40.86,0.71,,,15.41,15.41,9997762.0,224349779.28,,224.47,15.4,20.89,0.2897,46.78,0.1633
2022-11-03,1858134.0,40358670.48,3.35,49.41,1.06,41.61,1.0,35416892.64,1793935.0,1630612.0,38964268.2,,,,,,,,0.63,,27217.0,,,,,,,19897.0,39.84,1.02,,,15.17,15.17,10034050.0,217939566.0,,224.1,15.1,22.08,0.281,44.99,0.1571
2022-11-04,1848026.0,40915295.64,3.33,49.88,1.06,40.78,1.0,36033514.2,1773738.0,1627530.0,39270559.32,,,,0.0,,,,0.73,130.0,20197.0,,,0.0,,,,3212.0,38.64,0.11,,,15.01,15.01,10044582.0,222387045.48,,220.3,14.92,21.21,0.2902,46.49,0.1564
2022-11-07,1904356.0,41019828.24,3.43,52.13,1.09,41.92,1.0,33417931.44,1811468.0,1551436.0,39019020.72,,,106971.0,0.03,,,,1.53,1497.0,69241.0,,,0.03,106971.0,,,77591.0,39.71,1.94,,,15.32,15.32,10013116.0,215682518.64,,219.8,15.3,23.23,0.285,45.04,0.1611
2022-11-08,1879067.0,41677706.06,3.39,51.67,1.08,41.42,1.0,34496376.56,1780735.0,1555292.0,39496702.3,,,2523.0,0.15,,3840.0,,0.67,12820.0,33256.0,,,0.15,2523.0,0.09,,12804.0,38.69,0.0,,,15.07,15.07,10036713.0,222614294.34,,215.67,15.21,22.65,0.2896,45.92,0.159
2022-11-09,1839811.0,41690117.26,3.32,49.88,1.05,41.71,1.0,35252229.98,1785728.0,1555703.0,40464596.48,,,9116.0,0.55,,,,0.17,11392.0,11318.0,,,0.55,9116.0,,7195.0,10981.0,39.85,0.0,,,15.11,15.11,10030795.0,227297814.7,,223.37,15.14,23.79,0.2835,44.54,0.1557
2022-11-10,1882113.0,42874542.87,3.39,52.08,1.08,43.06,1.0,36208749.04,1801943.0,1589497.0,41048269.9,,,32494.0,0.23,,34368.0,,0.25,10442.0,21279.0,,,0.23,32494.0,0.78,5000.0,11016.0,40.67,0.08,,,15.26,15.26,10008815.0,228000852.14,,224.63,15.33,22.73,0.2716,43.26,0.1594
2022-11-11,1854983.0,44742189.96,3.34,51.4,1.06,43.49,1.0,37805205.6,1791898.0,1567380.0,43220579.76,,,130399.0,3.11,,,,3.09,139507.0,142326.0,,,3.11,130399.0,,1882.0,161624.0,41.23,3.63,,,15.15,15.15,10033074.0,241997744.88,,228.29,15.3,22.66,0.2831,45.1,0.1569
2022-11-14,2329435.0,55347375.6,4.2,65.51,1.33,55.89,1.0,31707720.0,1761065.0,1334500.0,41842904.4,,,9458.0,0.05,,,,0.37,2091.0,40291.0,,,0.05,9458.0,,,234971.0,42.37,5.46,,,14.93,14.93,10033316.0,238391588.16,,241.71,14.91,20.16,0.3257,51.3,0.1975
2022-11-15,2292010.0,53633034.0,4.13,64.5,1.31,54.27,1.0,31793884.2,1790693.0,1358713.0,41902216.2,,,16307.0,0.48,,,,1.12,31593.0,39260.0,,,0.48,16307.0,,52581.0,7380.0,42.42,0.17,,,15.22,15.22,9972588.0,233358559.2,,236.68,15.2,18.48,0.3244,51.49,0.1948
2022-11-16,1796304.0,40057579.2,3.24,50.65,1.03,41.67,1.0,36097143.8,1735280.0,1618706.0,38696744.0,,,20049.0,7.54,,,,2.11,310858.0,75462.0,,,7.54,20049.0,,,50865.0,40.21,2.13,,,14.82,14.82,9974655.0,222434806.5,,232.76,14.73,25.02,0.2706,42.32,0.1534
2022-11-17,1803083.0,39667826.0,3.25,50.83,1.03,40.56,1.0,34928036.0,1723548.0,1587638.0,37918056.0,,,26459.0,0.01,,,,1.57,1094.0,38191.0,,,0.01,26459.0,,,32162.0,38.38,1.59,,,14.73,14.73,9977987.0,219515714.0,,222.85,14.69,24.59,0.274,43.07,0.1541
2022-11-18,1762307.0,40180599.6,3.18,50.01,1.01,39.99,1.0,35292621.6,1679318.0,1547922.0,38288450.4,,,4308.0,0.0,,,,1.14,3220.0,48538.0,,,0.0,4308.0,,,42936.0,37.25,0.4,,,14.37,14.37,10007401.0,228168742.8,,220.46,14.45,24.72,0.2848,44.77,0.1508
2022-11-21,1711280.0,39359440.0,3.08,47.75,0.98,39.84,0.0,34512834.0,1628391.0,1500558.0,37452993.0,,,4496.0,0.12,,,,0.66,4465.0,55423.0,,,0.12,4496.0,,,51829.0,37.35,0.43,,,13.94,13.94,10051180.0,231177140.0,,230.69,13.93,25.2,0.2801,44.03,0.1465
2022-11-22,1721331.0,39143066.94,3.09,49.66,0.99,39.86,0.0,34063041.9,1624470.0,1497935.0,36940447.8,,,22867.0,0.46,,,,0.69,22867.0,26788.0,,,0.46,22867.0,,,25490.0,37.2,0.56,,,13.91,13.91,10054370.0,228636373.8,,230.36,13.9,25.88,0.277,43.51,0.1474
2022-11-23,1610653.0,35498792.12,2.89,47.17,0.92,36.61,0.0,31298210.56,1553155.0,1420064.0,34231536.2,,,19903.0,0.18,,,,2.19,8697.0,91900.0,,,0.18,19903.0,,682.0,86568.0,34.96,2.57,,,13.3,13.3,10122537.0,223100715.48,,228.55,13.27,27.7,0.2508,38.7,0.1379
2022-11-24,1654649.0,37891462.1,2.97,49.07,0.95,37.9,0.0,32648117.8,1556652.0,1425682.0,35647330.8,,,11778.0,0.17,,,,0.17,11778.0,8281.0,,,0.17,11778.0,,,6160.0,34.58,0.0,,,13.33,13.33,10117801.0,231697642.9,,222.95,13.43,26.93,0.2612,40.77,0.1417
2022-11-25,1635186.0,36824388.72,2.94,50.65,0.94,37.71,0.0,31668051.88,1532754.0,1406219.0,34517620.08,,,14935.0,0.5,,,,0.62,19370.0,38833.0,,,0.5,14935.0,,,38833.0,34.98,0.94,,,13.14,13.14,10131154.0,228153588.08,,231.78,13.11,27.28,0.2472,38.37,0.1402
2022-11-28,1586910.0,35070711.0,2.85,52.43,0.91,36.1,0.0,30891446.3,1526498.0,1397803.0,33735605.8,,,5573.0,0.02,,,,0.37,879.0,11829.0,,,0.02,5573.0,,,9295.0,34.33,0.54,,,13.08,13.08,10140602.0,224107304.2,,228.97,13.04,28.08,0.239,36.48,0.136
2022-11-29,1630159.0,35211434.4,2.93,55.67,0.93,36.32,0.0,30157747.2,1527072.0,1396192.0,32984755.2,,,10619.0,0.19,,,,0.36,10619.0,10045.0,,,0.19,10619.0,,,12230.0,33.66,0.77,,,13.09,13.09,10140101.0,219026181.6,,224.73,13.03,26.97,0.2398,37.46,0.1397
2022-11-30,1641817.0,36579682.76,2.95,55.95,0.94,36.33,0.0,31268620.92,1534385.0,1403439.0,34186097.8,,,16115.0,0.0,,,,0.17,7247.0,8803.0,,,0.0,16115.0,,1.0,,33.28,,,,13.15,13.15,10131018.0,225719081.04,,218.48,13.22,26.33,0.2425,38.35,0.1407
2022-12-01,1666745.0,38568479.3,3.0,54.8,0.95,37.93,0.0,32902442.04,1553293.0,1421886.0,35943200.02,,,23558.0,1.1,,,,0.04,18447.0,9582.0,,,1.1,23558.0,,4932.0,,34.49,,,,13.31,13.31,10117340.0,234115247.6,,222.7,13.41,25.68,0.2424,38.83,0.1428
2022-12-02,1688762.0,37963369.76,3.04,54.75,0.97,39.04,0.0,32597798.4,1569262.0,1450080.0,35277009.76,,,15636.0,1.33,,1000.0,,0.11,27493.0,6745.0,,,1.33,15636.0,0.02,7078.0,299.0,36.04,0.03,,,13.42,13.42,10125971.0,227631828.08,,233.32,13.38,26.25,0.2318,36.85,0.1444
2022-12-05,1698197.0,37971684.92,3.05,55.98,0.97,38.63,0.0,32515867.28,1585103.0,1454198.0,35442903.08,,,14368.0,0.06,,,,0.08,9094.0,3047.0,,,0.06,14368.0,,4520.0,4976.0,35.6,0.36,,,13.52,13.52,10137349.0,226671123.64,,227.58,13.53,25.76,0.2308,36.98,0.1449
2022-12-06,1762432.0,38773504.0,3.17,58.1,1.01,39.75,1.0,33563310.0,1655338.0,1525605.0,36417436.0,,,93537.0,1.74,,,,0.6,88429.0,23302.0,,,1.74,93537.0,,,17022.0,36.99,0.38,,,14.11,14.11,10072467.0,221594274.0,,225.8,14.07,24.97,0.2264,35.42,0.1503
2022-12-07,1686779.0,35793450.38,3.03,55.4,0.97,37.12,0.0,30631324.64,1580185.0,1443512.0,33531525.7,,,12773.0,0.0,,,,2.12,5682.0,87926.0,,,0.0,12773.0,,,87775.0,34.52,2.23,,,13.48,13.48,10145021.0,215277345.62,,222.86,13.41,25.97,0.2322,36.83,0.1439
2022-12-08,1701366.0,35796740.64,3.06,55.35,0.97,36.48,0.0,30577852.8,1584438.0,1453320.0,33336575.52,,,5854.0,0.0,,,,0.47,9808.0,6380.0,,,0.0,5854.0,,4779.0,,33.53,,,,13.54,13.54,10118767.0,212898857.68,,214.02,13.54,25.75,0.2322,37.08,0.1454
2022-12-09,1688880.0,36006921.6,3.04,55.38,0.97,36.27,0.0,31463267.16,1606881.0,1475763.0,34258702.92,,,24445.0,0.62,,,,0.03,23052.0,2002.0,,,0.62,24445.0,,,609.0,33.94,0.02,,,13.72,13.72,10105248.0,215443887.36,,212.75,13.76,26.46,0.2307,36.39,0.1442
2022-12-12,1711615.0,37484368.5,3.08,55.98,0.98,37.38,0.0,32173049.1,1593370.0,1469089.0,34894803.0,,,15470.0,0.51,,,,0.43,5248.0,28981.0,,,0.51,15470.0,,,11922.0,34.19,0.14,,,13.58,13.58,10137282.0,222006475.8,,216.32,13.65,25.77,0.2421,38.62,0.1459
2022-12-13,1665648.0,39275979.84,2.99,53.43,0.95,37.91,0.0,33331509.0,1557484.0,1413550.0,36725472.72,,,1456.0,0.67,,,,0.77,29700.0,53778.0,,,0.67,1456.0,,16436.0,85239.0,34.56,0.72,,,13.29,13.29,10164610.0,239681503.8,,221.97,13.47,22.23,0.2481,40.92,0.1421
2022-12-14,1623670.0,36565048.4,2.92,51.01,0.93,37.94,0.0,31281496.08,1509525.0,1389054.0,33994503.0,,,11026.0,1.15,,,,0.96,13074.0,58985.0,,,1.15,11026.0,,,37570.0,35.24,1.19,,,12.9,12.9,10193641.0,229560795.32,,239.43,12.83,23.88,0.2307,37.49,0.1387
2022-12-15,1600549.0,34123704.68,2.88,49.27,0.92,35.77,0.0,29876526.16,1524052.0,1401338.0,32492788.64,,,26294.0,0.1,,8600.0,,0.54,19485.0,11767.0,,,0.1,26294.0,0.19,,15801.0,34.01,1.03,,,12.97,12.97,10223055.0,217955532.6,,229.97,12.88,24.73,0.216,34.69,0.1363
2022-12-16,1554995.0,31441998.9,2.79,47.62,0.89,33.07,0.0,27553025.64,1493366.0,1362662.0,30195860.52,,,18872.0,0.0,,,,1.49,5987.0,49558.0,,,0.0,18872.0,,,44663.0,31.6,1.54,,,12.73,12.73,10239991.0,207052618.02,,218.62,12.63,25.57,0.2115,33.15,0.1325
2022-12-19,1562276.0,32432849.76,2.81,44.74,0.89,32.4,0.0,27626411.52,1464225.0,1330752.0,30397311.0,,,,,,,,1.0,,29141.0,,,,,,,31910.0,29.8,0.89,,,12.55,12.55,10202158.0,211796800.08,,206.63,12.6,24.29,0.2201,35.65,0.1339
2022-12-20,1511306.0,30498155.08,2.72,43.51,0.87,31.54,0.0,26654490.66,1456225.0,1320837.0,29386620.5,,,3869.0,0.08,,,,0.24,3869.0,11869.0,,,0.08,3869.0,,,13784.0,30.04,0.29,,,12.49,12.49,10198618.0,205808111.24,,210.97,12.46,25.51,0.2097,32.95,0.1297
2022-12-21,1485610.0,30722414.8,2.67,44.79,0.85,30.75,0.0,26794414.24,1463963.0,1295668.0,30274754.84,,,71858.0,,,69839.0,,1.55,,64120.0,,,,71858.0,1.41,,95008.0,29.74,1.92,,,12.56,12.56,10194387.0,210819923.16,,206.3,12.6,25.05,0.1833,28.7,0.1274
2022-12-22,1476187.0,30055167.32,2.65,44.65,0.85,30.88,0.0,26092846.64,1417503.0,1281574.0,28860361.08,,,2057.0,0.19,,,,0.89,5900.0,48517.0,,,0.19,2057.0,,,19994.0,29.26,0.5,,,12.16,12.16,10239946.0,208485300.56,,211.8,12.14,25.52,0.1835,28.05,0.1266
2022-12-23,1457976.0,30355060.32,2.62,45.51,0.84,30.43,0.0,26405881.08,1406886.0,1268294.0,29291366.52,,,,,,,,0.24,,10617.0,,,,,,,13280.0,28.79,0.39,,,12.07,12.07,10244886.0,213298526.52,,208.51,12.13,24.47,0.1842,29.06,0.1251
2022-12-26,1457976.0,30355060.32,2.62,46.06,0.84,30.66,0.0,26405881.08,1406886.0,1268294.0,29291366.52,,,,,,,,,,,,,,,,,,29.26,,,,12.07,12.07,10245634.0,213314099.88,,211.85,12.14,24.32,0.1831,28.85,0.1251
2022-12-27,1529513.0,31569148.32,2.75,48.32,0.88,32.18,0.0,27606639.84,1471004.0,1337531.0,30361522.56,,,56831.0,1.53,,,,0.0,72308.0,355.0,,,1.53,56831.0,,7642.0,3071.0,30.58,0.06,,,12.63,12.63,10178180.0,210077635.2,,211.52,12.63,23.69,0.1931,31.48,0.1313
2022-12-28,1526800.0,30688680.0,2.74,48.47,0.87,31.75,0.0,26829841.8,1406598.0,1334818.0,28272619.8,,,8009.0,0.0,,,,1.54,3887.0,72415.0,,,0.0,8009.0,,,6600.0,28.98,0.16,,,12.08,12.08,10239906.0,205822110.6,,211.59,12.05,24.05,0.1927,31.22,0.1311
2022-12-29,1457795.0,29913953.4,2.62,47.13,0.84,30.0,0.0,25934776.56,1398351.0,1263878.0,28694162.52,,,4357.0,0.04,,,,0.54,2352.0,12604.0,,,0.04,4357.0,,,73292.0,28.24,1.75,,,12.01,12.01,10248129.0,210291607.08,,206.45,12.03,24.46,0.2113,33.72,0.1252
2022-12-30,1461530.0,29669059.0,2.63,46.96,0.84,30.27,0.0,25654023.5,1398218.0,1263745.0,28383825.4,,,5155.0,0.17,,,,0.09,1154.0,5288.0,,,0.17,5155.0,,,1287.0,28.62,0.02,,,12.01,12.01,10246704.0,208008091.2,,209.76,12.01,25.18,0.2107,33.03,0.1255
2023-01-02,1438802.0,29725649.32,2.59,46.83,0.82,29.97,0.0,25385375.86,1380148.0,1228721.0,28513857.68,,,,,,,,0.41,,18070.0,,,,,,,35024.0,28.11,0.52,,,11.86,11.86,10255171.0,211871832.86,,207.77,11.92,25.39,0.2111,32.89,0.1237
2023-01-03,1420765.0,29495081.4,2.55,47.46,0.81,29.97,0.0,25558694.76,1380515.0,1231151.0,28659491.4,,,2709.0,0.06,,,,0.0,3125.0,2342.0,,,0.06,2709.0,,,695.0,28.63,0.0,,,11.72,11.72,10402926.0,215964743.76,,216.31,11.69,25.79,0.2117,32.47,0.1206
2023-01-04,1417704.0,29204702.4,2.55,47.01,0.81,29.8,0.0,25180760.2,1357907.0,1222367.0,27972884.2,,,4880.0,0.0,,,,0.55,1439.0,27488.0,,,0.0,4880.0,,,10223.0,28.14,0.29,,,11.53,11.53,10423393.0,214721895.8,,215.8,11.54,25.88,0.212,32.37,0.1203
2023-01-05,1481244.0,29802629.28,2.66,48.67,0.85,30.7,0.0,24029175.16,1315309.0,1194293.0,26464017.08,,,90537.0,,,,,2.99,,138306.0,,,,90537.0,,5171.0,28074.0,27.07,0.93,,,11.18,11.18,10446299.0,210179535.88,,215.89,11.14,26.29,0.2123,32.37,0.1259
2023-01-06,1349789.0,27481704.04,2.43,44.46,0.77,27.59,0.0,23412859.84,1177929.0,1149944.0,23982634.44,,,,,,,,2.94,,137380.0,,,,,,,44349.0,23.69,1.05,,,10.02,10.02,10572006.0,215246042.16,,211.45,10.07,26.45,0.2049,30.89,0.1149
2023-01-09,1322535.0,28196446.2,2.38,42.56,0.76,27.65,0.0,23795124.08,1148819.0,1116094.0,24492821.08,,,4676.0,0.01,,,,0.51,485.0,33786.0,,,0.01,4676.0,,,34335.0,23.55,0.24,,,9.8,9.8,10578826.0,225540570.32,,214.38,9.9,25.8,0.2031,31.01,0.1128
2023-01-10,1315567.0,28337313.18,2.36,38.31,0.75,28.21,0.0,23987310.18,1168707.0,1113617.0,25173948.78,,,106237.0,0.18,,,,1.87,3304.0,96543.0,,,0.18,106237.0,,10194.0,5781.0,25.01,0.12,,,9.97,9.97,10549543.0,227237156.22,,225.04,10.0,26.0,0.2013,30.22,0.1123
2023-01-11,1306622.0,29503524.76,2.35,37.22,0.75,28.68,0.0,23209869.1,1183546.0,1027895.0,26724468.68,,,33531.0,0.09,,,,1.79,4146.0,85246.0,,,0.09,33531.0,,66554.0,89868.0,25.67,1.42,,,10.1,10.1,10532960.0,237834236.8,,227.03,10.16,26.59,0.1899,26.84,0.1115
2023-01-12,1235793.0,27582899.76,2.22,34.67,0.71,27.88,0.0,21499271.28,1120674.0,963229.0,25013443.68,,,1670.0,0.48,,,,1.23,6849.0,67575.0,,,0.48,1670.0,,3033.0,71515.0,25.23,1.51,,,9.56,9.56,10596653.0,236517294.96,,238.05,9.58,26.83,0.2001,29.62,0.1055
2023-01-13,1224298.0,27350817.32,2.2,35.28,0.7,27.53,0.0,21114025.48,1103254.0,945122.0,24646694.36,,,4527.0,0.01,,,,0.5,2427.0,21947.0,,,0.01,4527.0,,,20534.0,24.66,0.45,,,9.43,9.43,10592281.0,236631557.54,,236.04,9.46,26.04,0.1977,30.04,0.1047
2023-01-16,1209083.0,28002362.28,2.17,34.84,0.69,27.45,0.0,21643367.4,1089457.0,934515.0,25231824.12,,,6682.0,0.03,,1769.0,,0.43,1751.0,20479.0,,,0.03,6682.0,0.04,,14127.0,24.49,0.08,,,9.41,9.41,10486604.0,242869748.64,,234.81,9.45,26.38,0.2028,30.67,0.1044
2023-01-17,1185865.0,27512068.0,2.13,34.27,0.68,27.66,0.0,21464129.6,1081911.0,925178.0,25100335.2,,,2255.0,,,,,0.16,,9801.0,,,,2255.0,,,9337.0,25.14,0.0,,,9.35,9.35,10493803.0,243456229.6,,243.38,9.36,24.91,0.2009,31.24,0.1024
2023-01-18,1177957.0,26268441.1,2.12,34.39,0.67,27.2,0.0,20415672.3,1070729.0,915501.0,23877256.7,,,,,,,,0.26,,11182.0,,,,,,,9677.0,24.79,0.47,,,9.25,9.25,10504339.0,234246759.7,,243.2,9.25,24.55,0.2005,31.31,0.1018
2023-01-19,1177621.0,25413061.18,2.12,34.14,0.67,26.2,0.0,19593539.42,1064711.0,907949.0,22976463.38,,,3701.0,,,,,0.31,,9719.0,,,,3701.0,,,7552.0,23.69,0.69,,,9.19,9.19,10519026.0,227000581.08,,234.12,9.19,23.44,0.1941,31.05,0.1017
2023-01-20,1160655.0,25580836.2,2.09,33.63,0.66,25.34,0.0,19745305.4,1050195.0,895885.0,23146297.8,,,,,,183.0,,0.52,,14516.0,,,,,0.0,,12247.0,22.72,0.4,,,9.07,9.07,10529246.0,232064581.84,,226.71,9.11,23.96,0.192,30.35,0.1002
2023-01-23,1164862.0,25743450.2,2.09,34.04,0.67,25.84,0.0,19759278.5,1048737.0,894085.0,23177087.7,,,9849.0,0.26,,,,0.13,5265.0,11307.0,,,0.26,9849.0,,,7065.0,23.14,0.13,,,9.06,9.06,10532825.0,232775432.5,,231.73,9.08,22.98,0.1932,31.25,0.1006
2023-01-24,1162917.0,25677207.36,2.09,34.08,0.67,25.83,0.0,19736605.44,1048520.0,893868.0,23151321.6,,,3142.0,0.02,,,,0.07,1511.0,3359.0,,,0.02,3142.0,,,1728.0,23.18,0.02,,,9.06,9.06,10530574.0,232515073.92,,232.43,9.07,23.09,0.1925,31.01,0.1004
2023-01-25,1144340.0,24580423.2,2.06,34.25,0.66,25.27,0.0,18881177.76,1032807.0,879012.0,22184694.36,,,,,,,,0.36,,15713.0,,,,,,,14856.0,22.74,0.45,,,8.92,8.92,10541376.0,226428756.48,,231.96,8.93,22.24,0.1902,30.98,0.0989
2023-01-26,1131203.0,24682849.46,2.03,34.38,0.65,24.61,0.0,18898061.98,1025013.0,866089.0,22365783.66,,,,,,,,0.29,,7794.0,,,,,,,12923.0,22.11,0.45,,,8.86,8.86,10541537.0,230016337.34,,226.71,8.89,22.66,0.1902,30.79,0.0978
