,LWCE FP Equity_DX_SI_QTY,LWCE FP Equity_DX_SHORT_INTEREST_VALUE,LWCE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,LWCE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,LWCE FP Equity_DX_SI_MV,LWCE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,LWCE FP Equity_DX_SUPPLY_SI_QTY,LWCE FP Equity_DX_BROKER_SI_QTY,LWCE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,LWCE FP Equity_DX_SUPPLY_SI_QTY_INC_x,LWCE FP Equity_DX_BROKER_SI_QTY_ADD,LWCE FP Equity_DX_SUPPLY_SI_MV_DEC,LWCE FP Equity_DX_SUPPLY_SI_QTY_DEC,LWCE FP Equity_DX_SUPPLY_SI_QTY_INC_y,LWCE FP Equity_DX_BROKER_SI_MV_ADD,LWCE FP Equity_DX_SUPPLY_SI_QTY_ADD,LWCE FP Equity_DX_BROKER_SI_QTY_DEC,LWCE FP Equity_DX_SUPPLY_SI_MV,LWCE FP Equity_DX_BROKER_SI_MV_DEC,LWCE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,LWCE FP Equity_DX_UTILIZATION_QUANTITY,LWCE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,LWCE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,LWCE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,LWCE FP Equity_DX_ACTIVE_UTILIZATION_MV,LWCE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,LWCE FP Equity_DX_BROKER_SI_CON_RATIO,LWCE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,LWCE FP Equity_DX_DEMAND_SUPPLY_RATIO,LWCE FP Equity_PX_LAST
2021-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.87
2021-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.89
2021-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.85
2021-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.34
2021-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.89
2021-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.76
2021-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.87
2021-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.9
2021-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.86
2021-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.73
2021-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.56
2021-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.91
2021-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.84
2021-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.03
2021-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.87
2021-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.48
2021-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.41
2021-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.27
2021-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.35
2021-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.43
2021-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2
2021-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.08
2021-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.28
2021-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.41
2021-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.39
2021-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.74
2021-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.96
2021-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.89
2021-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.01
2021-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.11
