,ALGEN FP Equity_DX_SI_QTY,ALGEN FP Equity_DX_SHORT_INTEREST_VALUE,ALGEN FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALGEN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALGEN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALGEN FP Equity_DX_SI_MV,ALGEN FP Equity_DX_DSS,ALGEN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALGEN FP Equity_DX_SUPPLY_SI_QTY,ALGEN FP Equity_DX_BROKER_SI_QTY,ALGEN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALGEN FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALGEN FP Equity_DX_BROKER_SI_MV_INC_x,ALGEN FP Equity_DX_BROKER_SI_QTY_ADD,ALGEN FP Equity_DX_SUPPLY_SI_MV_DEC,ALGEN FP Equity_DX_BROKER_SI_QTY_INC,ALGEN FP Equity_DX_SUPPLY_SI_QTY_DEC,ALGEN FP Equity_DX_BROKER_SI_MV_INC_y,ALGEN FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALGEN FP Equity_DX_BROKER_SI_MV_ADD,ALGEN FP Equity_DX_SUPPLY_SI_QTY_ADD,ALGEN FP Equity_DX_BROKER_SI_QTY_DEC,ALGEN FP Equity_DX_SUPPLY_SI_MV,ALGEN FP Equity_DX_BROKER_SI_MV_DEC,ALGEN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALGEN FP Equity_DX_UTILIZATION_QUANTITY,ALGEN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALGEN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALGEN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALGEN FP Equity_DX_ACTIVE_UTILIZATION_MV,ALGEN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALGEN FP Equity_DX_BROKER_SI_CON_RATIO,ALGEN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALGEN FP Equity_DX_DEMAND_SUPPLY_RATIO,ALGEN FP Equity_PX_LAST
2013-09-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,19448.0,0.02,0.0,,0.0,,0.0,1.7
2013-09-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,20935.2,0.02,0.0,,0.0,,0.0,1.83
2013-09-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,19905.6,0.02,0.0,,0.0,,0.0,1.74
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,18532.8,0.02,0.0,,0.0,,0.0,1.62
2013-10-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,18075.2,0.02,0.0,,0.0,,0.0,1.58
2013-10-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17846.4,0.02,0.0,,0.0,,0.0,1.56
2013-10-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17503.2,0.02,0.0,,0.0,,0.0,1.53
2013-10-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17846.4,0.02,0.0,,0.0,,0.0,1.56
2013-10-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,18189.6,0.02,0.0,,0.0,,0.0,1.59
2013-10-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,18075.2,0.02,0.0,,0.0,,0.0,1.58
2013-10-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,18075.2,0.02,0.0,,0.0,,0.0,1.58
2013-10-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,18075.2,0.02,0.0,,0.0,,0.0,1.58
2013-10-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,18189.6,0.02,0.0,,0.0,,0.0,1.59
2013-10-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17732.0,0.02,0.0,,0.0,,0.0,1.55
2013-10-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17388.8,0.02,0.0,,0.0,,0.0,1.52
2013-10-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17732.0,0.02,0.0,,0.0,,0.0,1.55
2013-10-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17732.0,0.02,0.0,,0.0,,0.0,1.55
2013-10-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17503.2,0.02,0.0,,0.0,,0.0,1.53
2013-10-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17503.2,0.02,0.0,,0.0,,0.0,1.53
2013-10-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17503.2,0.02,0.0,,0.0,,0.0,1.53
2013-10-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17503.2,0.02,0.0,,0.0,,0.0,1.53
2013-10-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17045.6,0.02,0.0,,0.0,,0.0,1.49
2013-10-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17732.0,0.02,0.0,,0.0,,0.0,1.55
2013-10-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17617.6,0.02,0.0,,0.0,,0.0,1.54
2013-10-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,18075.2,0.02,0.0,,0.0,,0.0,1.58
2013-10-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17846.4,0.02,0.0,,0.0,,0.0,1.56
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17846.4,0.02,0.0,,0.0,,0.0,1.56
2013-11-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17388.8,0.02,0.0,,0.0,,0.0,1.52
2013-11-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17503.2,0.02,0.0,,0.0,,0.0,1.53
2013-11-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17846.4,0.02,0.0,,0.0,,0.0,1.56
2013-11-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17732.0,0.02,0.0,,0.0,,0.0,1.55
2013-11-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17732.0,0.02,0.0,,0.0,,0.0,1.55
2013-11-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17732.0,0.02,0.0,,0.0,,0.0,1.55
2013-11-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17732.0,0.02,0.0,,0.0,,0.0,1.55
2013-11-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17846.4,0.02,0.0,,0.0,,0.0,1.56
2013-11-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17274.4,0.02,0.0,,0.0,,0.0,1.51
2013-11-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17617.6,0.02,0.0,,0.0,,0.0,1.54
2013-11-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17503.2,0.02,0.0,,0.0,,0.0,1.53
2013-11-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,16816.8,0.02,0.0,,0.0,,0.0,1.47
2013-11-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,16702.4,0.02,0.0,,0.0,,0.0,1.46
2013-11-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,16816.8,0.02,0.0,,0.0,,0.0,1.47
2013-11-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17160.0,0.02,0.0,,0.0,,0.0,1.5
2013-11-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17388.8,0.02,0.0,,0.0,,0.0,1.52
2013-11-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17160.0,0.02,0.0,,0.0,,0.0,1.5
2013-11-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17617.6,0.02,0.0,,0.0,,0.0,1.54
2013-11-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17274.4,0.02,0.0,,0.0,,0.0,1.51
2013-11-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17160.0,0.02,0.0,,0.0,,0.0,1.5
2013-12-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17503.2,0.02,0.0,,0.0,,0.0,1.53
2013-12-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17388.8,0.02,0.0,,0.0,,0.0,1.52
2013-12-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17388.8,0.02,0.0,,0.0,,0.0,1.52
2013-12-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17160.0,0.02,0.0,,0.0,,0.0,1.5
2013-12-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17160.0,0.02,0.0,,0.0,,0.0,1.5
2013-12-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17960.8,0.02,0.0,,0.0,,0.0,1.57
2013-12-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,18189.6,0.02,0.0,,0.0,,0.0,1.59
2013-12-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,18075.2,0.02,0.0,,0.0,,0.0,1.58
2013-12-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17732.0,0.02,0.0,,0.0,,0.0,1.55
2013-12-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17503.2,0.02,0.0,,0.0,,0.0,1.53
2013-12-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17160.0,0.02,0.0,,0.0,,0.0,1.5
2013-12-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17160.0,0.02,0.0,,0.0,,0.0,1.5
2013-12-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,18990.4,0.02,0.0,,0.0,,0.0,1.66
2013-12-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,18189.6,0.02,0.0,,0.0,,0.0,1.59
2013-12-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,18075.2,0.02,0.0,,0.0,,0.0,1.58
2013-12-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,18189.6,0.02,0.0,,0.0,,0.0,1.59
2013-12-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17732.0,0.02,0.0,,0.0,,0.0,1.55
2013-12-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17732.0,0.02,0.0,,0.0,,0.0,
2013-12-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17732.0,0.02,0.0,,0.0,,0.0,
2013-12-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,17960.8,0.02,0.0,,0.0,,0.0,1.57
2013-12-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,18304.0,0.02,0.0,,0.0,,0.0,1.6
2013-12-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,18304.0,0.02,0.0,,0.0,,0.0,1.6
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,18304.0,0.02,0.0,,0.0,,0.0,
2014-01-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,18876.0,0.02,0.0,,0.0,,0.0,1.65
2014-01-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,18761.6,0.02,0.0,,0.0,,0.0,1.64
2014-01-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,18876.0,0.02,0.0,,0.0,,0.0,1.65
2014-01-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,18876.0,0.02,0.0,,0.0,,0.0,1.65
2014-01-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,18761.6,0.02,0.0,,0.0,,0.0,1.64
2014-01-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,18532.8,0.02,0.0,,0.0,,0.0,1.62
2014-01-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,18761.6,0.02,0.0,,0.0,,0.0,1.64
2014-01-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,20020.0,0.02,0.0,,0.0,,0.0,1.75
2014-01-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,18876.0,0.02,0.0,,0.0,,0.0,1.65
2014-01-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,19448.0,0.02,0.0,,0.0,,0.0,1.7
2014-01-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,21621.6,0.02,0.0,,0.0,,0.0,1.89
2014-01-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,21049.6,0.02,0.0,,0.0,,0.0,1.84
2014-01-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,21164.0,0.02,0.0,,0.0,,0.0,1.85
2014-01-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,20592.0,0.02,0.0,,0.0,,0.0,1.8
2014-01-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,22422.4,0.02,0.0,,0.0,,0.0,1.96
2014-01-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,23452.0,0.02,0.0,,0.0,,0.0,2.05
2014-01-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,21964.8,0.02,0.0,,0.0,,0.0,1.92
2014-01-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,20935.2,0.02,0.0,,0.0,,0.0,1.83
2014-01-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,21736.0,0.02,0.0,,0.0,,0.0,1.9
2014-01-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,21964.8,0.02,0.0,,0.0,,0.0,1.92
2014-01-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,21621.6,0.02,0.0,,0.0,,0.0,1.89
2014-01-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,22193.6,0.02,0.0,,0.0,,0.0,1.94
2014-02-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,21392.8,0.02,0.0,,0.0,,0.0,1.87
2014-02-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,21278.4,0.02,0.0,,0.0,,0.0,1.86
2014-02-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,24367.2,0.02,0.0,,0.0,,0.0,2.13
2014-02-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,24252.8,0.02,0.0,,0.0,,0.0,2.12
2014-02-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,23909.6,0.02,0.0,,0.0,,0.0,2.09
2014-02-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,23108.8,0.02,0.0,,0.0,,0.0,2.02
2014-02-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,22765.6,0.02,0.0,,0.0,,0.0,1.99
2014-02-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,24481.6,0.02,0.0,,0.0,,0.0,2.14
2014-02-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,24710.4,0.02,0.0,,0.0,,0.0,2.16
2014-02-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,24596.0,0.02,0.0,,0.0,,0.0,2.15
2014-02-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,24939.2,0.02,0.0,,0.0,,0.0,2.18
2014-02-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,25168.0,0.02,0.0,,0.0,,0.0,2.2
2014-02-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,30888.0,0.03,0.0,,0.0,,0.0,2.7
2014-02-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,31345.6,0.03,0.0,,0.0,,0.0,2.74
2014-02-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,32032.0,0.03,0.0,,0.0,,0.0,2.8
2014-02-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,30888.0,0.03,0.0,,0.0,,0.0,2.7
2014-02-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,30773.6,0.03,0.0,,0.0,,0.0,2.69
2014-02-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,30201.6,0.03,0.0,,0.0,,0.0,2.64
2014-02-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,30430.4,0.03,0.0,,0.0,,0.0,2.66
2014-02-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,32032.0,0.03,0.0,,0.0,,0.0,2.8
2014-03-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,11440.0,30430.4,0.03,0.0,,0.0,,0.0,2.66
2014-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2014-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85
2014-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97
2014-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01
2014-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85
2014-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73
2014-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74
2014-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2014-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69
2014-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66
2014-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61
2014-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72
2014-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79
2014-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71
2014-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71
2014-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76
2014-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2014-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85
2014-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03
2014-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79
2014-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2014-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74
2014-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74
2014-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78
2014-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72
