,GOLD FP Equity_PX_LAST
2024-05-08,85.653
2024-05-09,86.034
2024-05-10,87.209
2024-05-13,85.931
2024-05-14,86.441
2024-05-15,87.039
2024-05-16,87.015
2024-05-17,87.934
2024-05-20,88.79
2024-05-21,88.941
2024-05-22,87.553
2024-05-23,85.907
2024-05-24,85.439
2024-05-27,86.195
2024-05-28,86.157
2024-05-29,85.937
2024-05-30,85.806
2024-05-31,85.369
2024-06-03,85.476
2024-06-04,84.854
2024-06-05,86.018
2024-06-06,86.64
2024-06-07,84.871
2024-06-10,85.181
2024-06-11,85.484
2024-06-12,85.291
2024-06-13,85.229
2024-06-14,86.434
2024-06-17,85.761
2024-06-18,86.02
2024-06-19,86.045
2024-06-20,87.305
2024-06-21,86.48
2024-06-24,86.281
2024-06-25,86.109
2024-06-26,85.51
2024-06-27,86.39
2024-06-28,86.312
2024-07-01,86.181
2024-07-02,86.097
2024-07-03,86.878
2024-07-04,86.7
2024-07-05,87.476
2024-07-08,86.869
2024-07-09,86.471
2024-07-10,87.279
2024-07-11,88.515
2024-07-12,87.807
2024-07-15,88.608
2024-07-16,89.771
2024-07-17,89.533
2024-07-18,89.818
2024-07-19,87.754
2024-07-22,87.027
2024-07-23,87.993
2024-07-24,88.806
2024-07-25,86.522
2024-07-26,87.254
2024-07-29,87.198
2024-07-30,87.8
2024-07-31,88.91
2024-08-01,90.2
2024-08-02,88.19
2024-08-05,87.254
2024-08-06,86.764
2024-08-07,87.167
2024-08-08,87.905
2024-08-09,88.3
2024-08-12,89.206
2024-08-13,89.499
2024-08-14,88.14
2024-08-15,88.694
2024-08-16,89.939
2024-08-19,89.896
2024-08-20,89.754
2024-08-21,89.472
2024-08-22,88.575
2024-08-23,89.295
2024-08-26,89.343
2024-08-27,89.527
2024-08-28,89.505
2024-08-29,90.319
2024-08-30,89.969
2024-09-02,89.787
2024-09-03,89.351
2024-09-04,89.421
2024-09-05,89.809
2024-09-06,90.0
2024-09-09,89.863
2024-09-10,90.509
2024-09-11,90.6
2024-09-12,91.923
2024-09-13,92.451
2024-09-16,92.122
2024-09-17,91.603
2024-09-18,91.848
2024-09-19,92.091
2024-09-20,93.28
2024-09-23,93.834
2024-09-24,94.089
2024-09-25,94.678
2024-09-26,94.871
2024-09-27,94.295
2024-09-30,93.817
2024-10-01,95.642
2024-10-02,95.192
2024-10-03,95.6
2024-10-04,96.318
2024-10-07,95.708
2024-10-08,94.488
2024-10-09,94.8
2024-10-10,95.212
2024-10-11,96.38
2024-10-14,96.34
2024-10-15,96.956
2024-10-16,97.579
2024-10-17,98.675
2024-10-18,99.29
2024-10-21,99.883
2024-10-22,100.644
2024-10-23,99.895
2024-10-24,100.463
2024-10-25,100.54
2024-10-28,100.669
2024-10-29,101.709
2024-10-30,101.819
2024-10-31,100.209
2024-11-01,100.465
2024-11-04,99.82
2024-11-05,99.555
2024-11-06,98.821
2024-11-07,99.142
2024-11-08,99.406
2024-11-11,97.539
2024-11-12,97.267
2024-11-13,97.231
2024-11-14,96.68
2024-11-15,96.573
2024-11-18,98.097
2024-11-19,98.506
2024-11-20,100.079
2024-11-21,100.901
2024-11-22,103.221
2024-11-25,99.821
2024-11-26,99.658
2024-11-27,99.185
2024-11-28,99.359
2024-11-29,100.18
2024-12-02,99.954
2024-12-03,99.897
2024-12-04,100.067
2024-12-05,98.98
2024-12-06,99.099
2024-12-09,100.095
2024-12-10,101.575
2024-12-11,102.667
2024-12-12,101.32
2024-12-13,100.625
2024-12-16,100.226
2024-12-17,99.767
2024-12-18,99.925
2024-12-19,99.196
2024-12-20,99.984
2024-12-23,99.686
2024-12-24,99.842
2024-12-27,99.605
2024-12-30,99.357
2024-12-31,99.826
2025-01-02,102.872
2025-01-03,101.824
2025-01-06,100.822
2025-01-07,101.5
2025-01-08,102.719
2025-01-09,102.94
2025-01-10,104.456
2025-01-13,103.6
2025-01-14,103.098
2025-01-15,103.724
2025-01-16,104.749
2025-01-17,104.695
2025-01-20,103.355
2025-01-21,104.52
2025-01-22,105.17
2025-01-23,104.893
2025-01-24,104.734
2025-01-27,103.63
2025-01-28,104.899
2025-01-29,104.784
2025-01-30,106.355
2025-01-31,107.217
2025-02-03,108.721
2025-02-04,108.679
2025-02-05,109.332
2025-02-06,109.103
2025-02-07,110.082
2025-02-10,111.866
2025-02-11,111.469
2025-02-12,110.847
2025-02-13,110.953
2025-02-14,109.342
2025-02-17,109.714
2025-02-18,111.072
2025-02-19,111.556
2025-02-20,111.594
2025-02-21,111.515
2025-02-24,111.441
2025-02-25,109.422
2025-02-26,109.931
2025-02-27,109.58
2025-02-28,108.652
2025-03-03,109.207
2025-03-04,109.635
2025-03-05,107.934
2025-03-06,106.794
2025-03-07,106.711
2025-03-10,106.285
2025-03-11,105.94
2025-03-12,106.816
2025-03-13,108.9
2025-03-14,108.93
2025-03-17,108.802
2025-03-18,110.115
2025-03-19,110.691
2025-03-20,111.114
2025-03-21,110.68
2025-03-24,110.679
2025-03-25,111.014
2025-03-26,111.05
2025-03-27,112.227
2025-03-28,113.012
2025-03-31,114.609
2025-04-01,114.829
2025-04-02,114.372
2025-04-03,111.557
2025-04-04,109.141
2025-04-07,108.445
2025-04-08,109.381
2025-04-09,110.689
2025-04-10,112.286
2025-04-11,113.25
2025-04-14,111.874
2025-04-15,113.123
2025-04-16,115.8
2025-04-17,114.981
2025-04-22,118.195
2025-04-23,114.153
2025-04-24,116.185
2025-04-25,114.186
2025-04-28,116.104
2025-04-29,115.276
2025-04-30,115.669
2025-05-02,113.437
2025-05-05,116.096
2025-05-06,118.908
2025-05-07,118.354
2025-05-08,117.676
2025-05-09,117.683
2025-05-12,115.572
2025-05-13,115.478
2025-05-14,112.819
2025-05-15,114.067
2025-05-16,113.204
2025-05-19,114.028
2025-05-20,115.5
2025-05-21,115.86
2025-05-22,115.784
2025-05-23,117.487
2025-05-26,116.428
2025-05-27,115.354
2025-05-28,115.781
2025-05-29,115.687
2025-05-30,115.007
2025-06-02,117.093
2025-06-03,116.844
2025-06-04,117.15
2025-06-05,116.286
2025-06-06,116.046
2025-06-09,115.675
2025-06-10,115.602
2025-06-11,115.294
2025-06-12,116.136
2025-06-13,117.468
2025-06-16,116.638
2025-06-17,116.427
2025-06-18,116.643
2025-06-19,116.543
2025-06-20,115.962
2025-06-23,116.419
2025-06-24,113.128
2025-06-25,113.439
2025-06-26,112.571
2025-06-27,110.751
2025-06-30,111.085
2025-07-01,112.589
2025-07-02,112.561
2025-07-03,112.275
2025-07-04,112.217
2025-07-07,112.247
2025-07-08,111.674
2025-07-09,112.131
2025-07-10,112.78
2025-07-11,114.048
2025-07-14,113.591
2025-07-15,113.8
2025-07-16,114.345
2025-07-17,114.173
2025-07-18,114.102
2025-07-21,115.192
2025-07-22,115.747
2025-07-23,115.4
2025-07-24,113.649
2025-07-25,112.557
2025-07-28,113.205
2025-07-29,114.34
2025-07-30,113.782
2025-07-31,114.303
2025-08-01,115.091
2025-08-04,115.682
2025-08-05,115.917
2025-08-06,115.048
2025-08-07,115.503
2025-08-08,115.354
2025-08-11,114.573
2025-08-12,113.819
2025-08-13,113.58
2025-08-14,113.734
2025-08-15,113.225
2025-08-18,113.331
2025-08-19,113.074
2025-08-20,113.647
2025-08-21,114.107
2025-08-22,114.332
2025-08-25,114.603
2025-08-26,115.173
2025-08-27,115.765
2025-08-28,115.808
2025-08-29,116.794
