,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_x,AM FP Equity_y,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity,AM FP Equity
2009-01-23,714.0,256003.04,0.22,2.04,0.01,0.36,0.0,145928.9,307.0,407.0,110074.14,,,,,,,,,,,,,,,,,,0.12,,,,100.0,76.75,0.0,0.0,,0.0,100.0,33.7,0.432,55.36,1.785
2009-01-26,714.0,249615.76,0.22,1.97,0.01,0.36,0.0,142287.98,307.0,407.0,107327.79,,,,,,,,,,,,,,,,,,0.12,,,,100.0,76.75,0.0,0.0,,0.0,100.0,34.05,0.433,55.29,1.785
2009-01-27,714.0,249602.96,0.22,1.97,0.01,0.36,0.0,142280.68,307.0,407.0,107322.28,,,,,,,,,,,,,,,,,,0.12,,,,100.0,76.75,0.0,0.0,,0.0,100.0,33.43,0.4337,55.68,1.785
2009-01-28,714.0,255676.64,0.22,1.98,0.01,0.36,0.0,145742.84,307.0,407.0,109933.79,,,,,,,,,,,,,,,,,,0.12,,,,100.0,76.75,0.0,0.0,,0.0,100.0,33.31,0.4313,55.48,1.785
2009-01-29,714.0,249602.96,0.22,2.0,0.01,0.36,0.0,142280.68,307.0,407.0,107322.28,,,,,,,,,,,,,,,,,,0.12,,,,100.0,76.75,0.0,0.0,,0.0,100.0,33.93,0.4313,55.16,1.785
2009-01-30,714.0,249602.96,0.22,1.99,0.01,0.36,0.0,142280.68,307.0,407.0,107322.28,,,,,,,,,,,,,,,,,,0.12,,,,100.0,76.75,0.0,0.0,,0.0,100.0,33.43,0.4335,55.67,1.785
2009-02-02,714.0,246415.73,0.22,1.79,0.01,0.36,0.0,140463.87,307.0,407.0,105951.86,,,,,,,,,,,,,,,,,,0.12,,,,100.0,76.75,0.0,0.0,,0.0,100.0,33.5,0.435,55.8,1.785
2009-02-03,407.0,140456.57,0.13,1.03,0.0,0.24,0.0,140456.57,0.0,407.0,0.0,,,,,,,,0.12,,307.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,15.97,0.7316,84.03,1.0175
2009-02-04,407.0,140456.57,0.13,1.24,0.0,0.24,0.0,140456.57,0.0,407.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,16.16,0.729,83.84,1.0175
2009-02-05,407.0,140164.71,0.13,1.35,0.0,0.24,0.0,140164.71,0.0,407.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,16.15,0.7292,83.85,1.0175
2009-02-06,714.0,255350.23,0.22,2.6,0.01,0.36,0.0,145556.78,307.0,407.0,109793.45,,,,,,,,,,,,,,,,307.0,,0.12,,,,100.0,76.75,0.0,0.0,,0.0,100.0,33.06,0.4339,55.89,1.785
2009-02-09,714.0,246441.33,0.22,2.6,0.01,0.36,0.0,140478.46,307.0,407.0,105962.87,,,,,,,,,,,,,,,,,,0.12,,,,100.0,76.75,0.0,0.0,,0.0,100.0,33.99,0.4331,55.33,1.785
2009-02-10,635.0,219714.74,0.2,2.31,0.01,0.33,0.0,113490.45,307.0,328.0,106224.29,,,,,,,,,,,,,,,,,79.0,0.12,0.03,,,100.0,76.75,0.0,0.0,,0.0,100.0,36.29,0.507,61.21,1.5875
2009-02-11,635.0,216384.96,0.2,2.23,0.01,0.33,0.0,111770.5,307.0,328.0,104614.46,,,,,,,,,,,,,,,,,,0.12,,,,100.0,76.75,0.0,0.0,,0.0,100.0,36.36,0.5071,61.18,1.5875
2009-02-12,635.0,221980.14,0.2,2.27,0.01,0.32,0.0,114660.61,307.0,328.0,107319.53,,,,,,,,,,,,,,,,,,0.12,,,,100.0,76.75,0.0,0.0,,0.0,100.0,35.99,0.5083,61.49,1.5875
2009-02-13,635.0,218570.66,0.2,2.4,0.01,0.33,0.0,112899.49,307.0,328.0,105671.17,,,,,,,,,,,,,,,,,,0.12,,,,100.0,76.75,0.0,0.0,,0.0,100.0,36.6,0.506,60.95,1.5875
2009-02-16,635.0,213504.83,0.2,2.24,0.01,0.33,0.0,110282.81,307.0,328.0,103222.02,,,,,,,,,,,,,,,,,,0.12,,,,100.0,76.75,0.0,0.0,,0.0,100.0,36.26,0.5081,61.32,1.5875
2009-02-17,328.0,111135.44,0.1,1.15,0.0,0.21,0.0,111135.44,0.0,328.0,0.0,,,,,,,,0.12,,307.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,3.84,0.9262,96.16,0.82
2009-02-18,635.0,213447.91,0.2,2.28,0.01,0.32,0.0,110253.41,307.0,328.0,103194.5,,,,,,,,,,,,,,,,307.0,,0.12,,,,100.0,76.75,0.0,0.0,,0.0,100.0,35.89,0.5097,61.67,1.5875
2009-02-19,635.0,210596.25,0.2,2.34,0.01,0.32,0.0,108780.42,307.0,328.0,101815.82,,,,,,,,,,,,,,,,,,0.12,,,,100.0,76.75,0.0,0.0,,0.0,100.0,35.72,0.5109,61.86,1.5875
2009-02-20,635.0,204910.0,0.2,2.33,0.01,0.32,0.0,105843.27,307.0,328.0,99066.72,,,,,,,,,,,,,,,,,,0.11,,,,100.0,76.75,0.0,0.0,,0.0,100.0,35.69,0.5124,62.01,1.5875
2009-02-23,635.0,191306.25,0.2,2.47,0.01,0.32,0.0,98816.46,307.0,328.0,92489.79,,,,,,,,,,,,,,,,,,0.12,,,,100.0,76.75,0.0,0.0,,0.0,100.0,36.04,0.5118,61.76,1.5875
2009-02-24,635.0,187834.16,0.2,2.4,0.01,0.32,0.0,97023.0,307.0,328.0,90811.16,,,,,,,,,,,,,,,,,,0.12,,,,100.0,76.75,0.0,0.0,,0.0,100.0,35.81,0.5137,62.04,1.5875
2009-02-25,635.0,188972.55,0.2,2.52,0.01,0.31,0.0,97611.02,307.0,328.0,91361.53,,,,,,,,,,,,,,,,,,0.1,,,,100.0,76.75,0.0,0.0,,0.0,100.0,32.92,0.5288,64.8,1.5875
2009-02-26,635.0,190680.14,0.2,2.45,0.01,0.31,0.0,98493.05,307.0,328.0,92187.09,,,,,,,,,,,,,,,,,,0.1,,,,100.0,76.75,0.0,0.0,,0.0,100.0,33.05,0.5279,64.66,1.5875
2009-02-27,635.0,193526.11,0.2,2.42,0.01,0.31,0.0,99963.09,307.0,328.0,93563.02,,,,,,,,,,,,,,,,,,0.1,,,,100.0,76.75,0.0,0.0,,0.0,100.0,33.24,0.5265,64.45,1.5875
2009-03-02,635.0,187834.16,0.2,2.45,0.01,0.31,0.0,97023.0,307.0,328.0,90811.16,,,,,,,,,,,,,,,,,,0.1,,,,100.0,76.75,0.0,0.0,,0.0,100.0,33.59,0.5252,64.17,1.5875
2009-03-03,635.0,183394.45,0.2,2.48,0.01,0.31,0.0,94729.73,307.0,328.0,88664.72,,,,,,,,,,,,,,,,,,0.1,,,,100.0,76.75,0.0,0.0,,0.0,100.0,32.95,0.5295,64.85,1.5875
2009-03-04,635.0,182142.22,0.2,2.52,0.01,0.31,0.0,94082.91,307.0,328.0,88059.31,,,,,,,,,,,,,,,,,,0.1,,,,100.0,76.75,0.0,0.0,,0.0,100.0,32.43,0.5331,65.38,1.5875
2009-03-05,635.0,176734.87,0.2,2.63,0.01,0.3,0.0,91289.82,307.0,328.0,85445.05,,,,,,,,,,,,,,,,,,0.1,,,,100.0,76.75,0.0,0.0,,0.0,100.0,32.3,0.5346,65.56,1.5875
2009-03-06,635.0,180434.64,0.2,2.6,0.01,0.3,0.0,93200.88,307.0,328.0,87233.75,,,,,,,,,,,,,,,,,,0.1,,,,100.0,76.75,0.0,0.0,,0.0,100.0,31.63,0.5382,66.16,1.5875
2009-03-09,635.0,181294.12,0.2,2.76,0.01,0.3,0.0,93644.84,307.0,328.0,87649.28,,,,,,,,,,,,,,,,,,0.1,,,,100.0,76.75,0.0,0.0,,0.0,100.0,32.08,0.5354,65.73,1.5875
2009-03-10,635.0,185841.98,0.2,2.68,0.01,0.3,0.0,95993.97,307.0,328.0,89848.01,,,,,,,,,,,,,,,,,,0.1,,,,100.0,76.75,0.0,0.0,,0.0,100.0,32.19,0.5349,65.63,1.5875
2009-03-11,635.0,184988.19,0.2,2.43,0.01,0.31,0.0,95552.96,307.0,328.0,89435.24,,,,,,,,,,,,,,,,,,0.1,,,,100.0,76.75,0.0,0.0,,0.0,100.0,32.71,0.5309,65.07,1.5875
2009-03-12,635.0,181573.02,0.2,1.85,0.01,0.31,0.0,93788.9,307.0,328.0,87784.12,,,,,,,,,,,,,,,,,,0.1,,,,100.0,76.75,0.0,0.0,,0.0,100.0,32.63,0.5321,65.2,1.5875
2009-03-13,635.0,175881.08,0.2,1.87,0.01,0.3,0.0,90848.81,307.0,328.0,85032.27,,,,,,,,,,,,,,,,,,0.1,,,,100.0,76.75,0.0,0.0,,0.0,100.0,32.24,0.5351,65.63,1.5875
2009-03-16,635.0,179301.94,0.2,2.11,0.01,0.3,0.0,92615.8,307.0,328.0,86686.13,,,,,,,,,,,,,,,,,,0.09,,,,100.0,76.75,0.0,0.0,,0.0,100.0,31.53,0.539,66.27,1.5875
2009-03-17,635.0,175311.89,0.2,2.09,0.01,0.3,0.0,90554.8,307.0,328.0,84757.08,,,,,,,,,,,,,,,,,,0.1,,,,100.0,76.75,0.0,0.0,,0.0,100.0,31.97,0.537,65.91,1.5875
2009-03-18,635.0,178727.05,0.2,2.09,0.01,0.3,0.0,92318.86,307.0,328.0,86408.2,,,,,,,,,,,,,,,,,,0.09,,,,100.0,76.75,0.0,0.0,,0.0,100.0,31.48,0.5403,66.39,1.5875
2009-03-19,635.0,179011.65,0.2,2.0,0.01,0.3,0.0,92465.86,307.0,328.0,86545.79,,,,,,,,,,,,,,,,,,0.1,,,,100.0,76.75,0.0,0.0,,0.0,100.0,31.88,0.5369,65.94,1.5875
2009-03-20,635.0,192672.32,0.2,1.95,0.01,0.3,0.0,99522.08,307.0,328.0,93150.24,,,,,,,,,,,,,,,,,,0.1,,,,100.0,76.75,0.0,0.0,,0.0,100.0,31.86,0.535,65.8,1.5875
2009-03-23,635.0,193526.11,0.2,1.93,0.01,0.31,0.0,99963.09,307.0,328.0,93563.02,,,,,,,,,,,,,,,,,,0.1,,,,100.0,76.75,0.0,0.0,,0.0,100.0,33.48,0.5252,64.24,1.5875
2009-03-24,635.0,193526.11,0.2,1.78,0.01,0.31,0.0,99963.09,307.0,328.0,93563.02,,,,,,,,,,,,,,,,,,0.1,,,,100.0,76.75,0.0,0.0,,0.0,100.0,33.57,0.5245,64.13,1.5875
2009-03-25,635.0,187834.16,0.2,1.79,0.01,0.31,0.0,97023.0,307.0,328.0,90811.16,,,,,,,,,,,,,,,,,,0.1,,,,100.0,76.75,0.0,0.0,,0.0,100.0,33.6,0.5254,64.19,1.5875
2009-03-26,635.0,187834.16,0.2,1.72,0.01,0.31,0.0,97023.0,307.0,328.0,90811.16,,,,,,,,,,,,,,,,,,0.1,,,,100.0,16.16,0.0,0.0,,0.0,100.0,32.93,0.5289,64.81,0.3342
2009-03-27,635.0,182142.22,0.2,1.69,0.01,0.31,0.0,94082.91,307.0,328.0,88059.31,,,,,,,,,,,,,,,,,,0.1,,,,100.0,16.16,0.0,0.0,,0.0,100.0,32.96,0.5298,64.86,0.3342
2009-03-30,635.0,176455.97,0.2,1.71,0.01,0.3,0.0,91145.76,307.0,328.0,85310.21,,,,,,,,,,,,,,,,,,0.1,,,,100.0,16.16,0.0,0.0,,0.0,100.0,32.3,0.5346,65.56,0.3342
2009-03-31,635.0,176450.27,0.2,1.71,0.01,0.3,0.0,91142.82,307.0,328.0,85307.46,,,,,,,,,,,,,,,,,,0.1,,,,100.0,16.16,0.0,0.0,,0.0,100.0,31.61,0.5388,66.22,0.3342
2009-04-01,635.0,179865.44,0.2,1.71,0.01,0.3,0.0,92906.87,307.0,328.0,86958.57,,,,,,,,,,,,,,,,,,0.1,,,,100.0,16.16,0.0,0.0,,0.0,100.0,31.6,0.5386,66.2,0.3342
2009-04-02,635.0,187834.16,0.2,1.66,0.01,0.3,0.0,97023.0,307.0,328.0,90811.16,,,,,,,,,,,,,,,,,,0.1,,,,100.0,16.16,0.0,0.0,,0.0,100.0,31.99,0.535,65.74,0.3342
2009-04-03,635.0,187777.24,0.2,1.5,0.01,0.31,0.0,96993.6,307.0,328.0,90783.64,,,,,,,,,,,,,,,,,,0.1,,,,100.0,16.16,0.0,0.0,,0.0,100.0,32.94,0.5292,64.82,0.3342
2009-04-06,635.0,183849.8,0.2,1.52,0.01,0.31,0.0,94964.94,307.0,328.0,88884.86,,,,,,,,,,,,,,,,,,0.1,,,,100.0,16.16,0.0,0.0,,0.0,100.0,32.94,0.5295,64.84,0.3342
2009-04-07,635.0,183280.61,0.2,1.47,0.01,0.31,0.0,94670.93,307.0,328.0,88609.68,,,,,,,,,,,,,,,,,,0.1,,,,100.0,16.16,0.0,0.0,,0.0,100.0,32.48,0.5325,65.31,0.3342
2009-04-08,328.0,93259.68,0.1,0.75,0.0,0.21,0.0,93259.68,0.0,328.0,0.0,,,,,,,,0.1,,307.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,3.22,0.9376,96.78,0.1726
2009-04-09,328.0,96564.35,0.1,0.8,0.0,0.21,0.0,96564.35,0.0,328.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,3.37,0.9349,96.63,0.1726
2009-04-10,328.0,96564.35,0.1,0.79,0.0,0.21,0.0,96564.35,0.0,328.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,3.36,0.935,96.64,0.1726
2009-04-13,328.0,96564.35,0.1,0.79,0.0,0.21,0.0,96564.35,0.0,328.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,3.32,0.9358,96.68,0.1726
2009-04-14,328.0,97023.0,0.1,0.79,0.0,0.21,0.0,97023.0,0.0,328.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,3.36,0.9351,96.64,0.1726
2009-04-15,328.0,95846.96,0.1,0.79,0.0,0.21,0.0,95846.96,0.0,328.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,3.3,0.9361,96.7,0.1726
2009-04-16,328.0,94091.73,0.1,0.77,0.0,0.21,0.0,94091.73,0.0,328.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,3.27,0.9368,96.73,0.1726
2009-04-17,328.0,97023.0,0.1,0.78,0.0,0.21,0.0,97023.0,0.0,328.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,3.36,0.935,96.64,0.1726
2009-04-20,328.0,94082.91,0.1,0.78,0.0,0.21,0.0,94082.91,0.0,328.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,3.27,0.9367,96.73,0.1726
2009-04-21,328.0,94082.91,0.1,0.77,0.0,0.21,0.0,94082.91,0.0,328.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,3.26,0.937,96.74,0.1728
2009-04-22,328.0,94082.91,0.1,0.77,0.0,0.21,0.0,94082.91,0.0,328.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,3.25,0.9372,96.75,0.1728
2009-04-23,328.0,94079.97,0.1,0.78,0.0,0.21,0.0,94079.97,0.0,328.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,3.24,0.9374,96.76,0.1728
2009-04-24,328.0,95552.96,0.1,0.82,0.0,0.21,0.0,95552.96,0.0,328.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,3.3,0.9361,96.7,0.1728
2009-04-27,328.0,92612.86,0.1,1.0,0.0,0.21,0.0,92612.86,0.0,328.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,3.23,0.9374,96.77,0.1728
2009-04-28,328.0,91142.82,0.1,0.98,0.0,0.21,0.0,91142.82,0.0,328.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,3.12,0.9395,96.88,0.1728
2009-04-29,328.0,91142.82,0.1,0.94,0.0,0.21,0.0,91142.82,0.0,328.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,3.16,0.9389,96.84,0.1728
2009-04-30,328.0,89966.78,0.1,0.9,0.0,0.21,0.0,89966.78,0.0,328.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,3.12,0.9396,96.88,0.1728
2009-05-01,328.0,89966.78,0.1,0.89,0.0,0.21,0.0,89966.78,0.0,328.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,3.09,0.9401,96.91,0.1728
2009-05-04,328.0,91142.82,0.1,0.89,0.0,0.21,0.0,91142.82,0.0,328.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,3.12,0.9395,96.88,0.1728
2009-05-05,328.0,91139.88,0.1,0.84,0.0,0.21,0.0,91139.88,0.0,328.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,3.18,0.9384,96.82,0.1728
2009-05-06,635.0,176450.27,0.2,1.54,0.01,0.3,0.0,91142.82,307.0,328.0,85307.46,,,,,,,,,,,,,,,,307.0,,0.1,,,,100.0,16.17,0.0,0.0,,0.0,100.0,31.61,0.539,66.23,0.3346
2009-05-07,635.0,184419.0,0.2,1.27,0.01,0.3,0.0,95258.95,307.0,328.0,89160.05,,,,,,,,,,,,,,,,,,0.1,,,,100.0,16.17,0.0,0.0,,0.0,100.0,31.58,0.538,66.17,0.3346
2009-05-08,635.0,196377.77,0.2,1.32,0.01,0.31,0.0,101436.08,307.0,328.0,94941.69,,,,,,,,,,,,,,,,,,0.1,,,,100.0,16.17,0.0,0.0,,0.0,100.0,32.51,0.5309,65.16,0.3346
2009-05-11,635.0,196372.08,0.2,1.27,0.01,0.31,0.0,101433.14,307.0,328.0,94938.94,,,,,,,,,,,,,,,,,,0.11,,,,100.0,16.17,0.0,0.0,,0.0,100.0,33.89,0.5224,63.8,0.3346
2009-05-12,646.0,199756.43,0.2,1.27,0.01,0.32,0.0,104825.74,307.0,339.0,94930.69,,,,,,11.0,,,,,,,,,0.0,,,0.11,,,,100.0,16.17,0.0,0.0,,0.0,100.0,33.38,0.5113,63.14,0.3404
2009-05-13,646.0,195720.42,0.2,1.26,0.01,0.32,0.0,102707.77,307.0,339.0,93012.65,,,,,,,,,,,,,,,,,,0.11,,,,100.0,16.17,0.0,0.0,,0.0,100.0,33.5,0.5112,63.07,0.3404
2009-05-14,646.0,191788.64,0.2,1.26,0.01,0.31,0.0,100644.5,307.0,339.0,91144.14,,,,,,,,,,,,,,,,,,0.1,,,,100.0,16.17,0.0,0.0,,0.0,100.0,33.08,0.5145,63.56,0.3404
2009-05-15,646.0,196839.58,0.2,1.25,0.01,0.31,0.0,103295.07,307.0,339.0,93544.5,,,,,,,,,,,,,,,,,,0.1,,,,100.0,11.49,0.0,0.0,,0.0,100.0,32.61,0.5166,63.96,0.2418
2009-05-18,649.0,197102.37,0.2,1.25,0.01,0.31,0.0,103865.96,307.0,342.0,93236.41,,,,0.0,,,,,3.0,,,,0.0,,,,,0.1,,,,100.0,16.17,0.0,0.0,,0.0,100.0,32.7,0.5127,63.59,0.3419
2009-05-19,649.0,197753.69,0.2,1.27,0.01,0.31,0.0,104209.19,307.0,342.0,93544.5,,,,,,,,,,,,,,,,,,0.1,,,,100.0,16.17,0.0,0.0,,0.0,100.0,32.62,0.5129,63.65,0.3419
2009-05-20,649.0,197753.69,0.2,1.4,0.01,0.31,0.0,104209.19,307.0,342.0,93544.5,,,,,,,,,,,,,,,,,,0.1,,,,100.0,16.17,0.0,0.0,,0.0,100.0,32.7,0.5126,63.59,0.3419
2009-05-21,649.0,198357.65,0.2,1.39,0.01,0.31,0.0,104527.45,307.0,342.0,93830.2,,,,,,,,,,,,,,,,,,0.1,,,,100.0,16.17,0.0,0.0,,0.0,100.0,32.7,0.5127,63.59,0.3419
2009-05-22,649.0,206647.22,0.2,1.44,0.01,0.31,0.0,108895.76,307.0,342.0,97751.46,,,,,,,,,,,,,,,,,,0.1,,,,100.0,16.17,0.0,0.0,,0.0,100.0,32.74,0.5117,63.48,0.3419
2009-05-25,649.0,227963.27,0.2,1.38,0.01,0.32,0.0,120128.56,307.0,342.0,107834.7,,,,,,,,,,,,,,,,,,0.11,,,,100.0,16.17,0.0,0.0,,0.0,100.0,33.48,0.5021,62.31,0.3419
2009-05-26,649.0,230627.77,0.2,1.14,0.01,0.33,0.0,121532.66,307.0,342.0,109095.11,,,,,,,,,,,,,,,,,,0.12,,,,100.0,16.17,0.0,0.0,,0.0,100.0,35.73,0.4927,60.28,0.3419
2009-05-27,649.0,226779.04,0.2,1.1,0.01,0.33,0.0,119504.52,307.0,342.0,107274.52,,,,,,,,,,,,,,,,,,0.12,,,,100.0,14.43,0.0,0.0,,0.0,100.0,35.97,0.4908,59.98,0.305
2009-05-28,649.0,229147.49,0.2,0.97,0.01,0.33,0.0,120752.61,307.0,342.0,108394.88,,,,,,,,,,,,,,,,,,0.12,,,,100.0,14.43,0.0,0.0,,0.0,100.0,35.58,0.4923,60.34,0.305
2009-05-29,649.0,236252.84,0.2,0.95,0.01,0.33,0.0,124496.87,307.0,342.0,111755.97,,,,,,,,,,,,,,,,,,0.12,,,,100.0,14.43,0.0,0.0,,0.0,100.0,35.77,0.4901,60.03,0.305
2009-06-01,649.0,233884.39,0.2,0.93,0.01,0.34,0.0,123248.78,307.0,342.0,110635.6,,,,,,,,,,,,,,,,,,0.12,,,,100.0,14.43,0.0,0.0,,0.0,100.0,36.48,0.4875,59.39,0.305
2009-06-02,649.0,230917.91,0.2,0.91,0.01,0.33,0.0,121685.55,307.0,342.0,109232.35,,,,,,,,,,,,,,,,,,0.12,,,,100.0,14.43,0.0,0.0,,0.0,100.0,36.25,0.4885,59.61,0.305
2009-06-03,750.0,263439.83,0.24,0.99,0.01,0.37,0.0,155253.87,308.0,442.0,108185.96,,,1.0,0.04,,,,,100.0,,,,0.04,1.0,,,,0.12,,,,100.0,14.47,0.0,0.0,,0.0,100.0,32.33,0.4122,53.67,0.3523
2009-06-04,749.0,263088.58,0.23,0.86,0.01,0.37,0.0,155253.87,307.0,442.0,107834.7,,,,,,,,0.0,,1.0,,,,,,,,0.12,,,,100.0,22.28,0.0,0.0,,0.0,100.0,31.99,0.4132,53.96,0.5435
2009-06-05,749.0,262405.23,0.23,0.82,0.01,0.37,0.0,154850.62,307.0,442.0,107554.61,,,,,,,,,,,,,,,,,,0.12,,,,100.0,26.74,0.0,0.0,,0.0,100.0,31.98,0.4132,53.96,0.6524
2009-06-08,749.0,254895.25,0.23,0.81,0.01,0.37,0.0,150418.82,307.0,442.0,104476.42,,,,,,,,,,,,,,,,,,0.12,,,,100.0,26.74,0.0,0.0,,0.0,100.0,32.07,0.4158,54.24,0.6524
2009-06-09,749.0,261038.54,0.23,0.72,0.01,0.37,0.0,154044.1,307.0,442.0,106994.43,,,,,,,,,,,,,,,,,,0.11,,,,100.0,26.74,0.0,0.0,,0.0,100.0,31.34,0.4158,54.57,0.6524
2009-06-10,749.0,262815.24,0.23,0.66,0.01,0.37,0.0,155092.57,307.0,442.0,107722.67,,,,,,,,,,,,,,,,,,0.12,,,,100.0,26.74,0.0,0.0,,0.0,100.0,31.81,0.4136,54.09,0.6524
2009-06-11,749.0,266505.31,0.23,0.66,0.01,0.37,0.0,157270.16,307.0,442.0,109235.15,,,,,,,,,,,,,,,,,,0.12,,,,100.0,26.74,0.0,0.0,,0.0,100.0,31.94,0.4129,53.94,0.6524
2009-06-12,749.0,267188.66,0.24,0.67,0.01,0.37,0.0,157673.41,307.0,442.0,109515.24,,,,,,,,,,,,,,,,,,0.12,,,,100.0,26.74,0.0,0.0,,0.0,100.0,32.15,0.4105,53.54,0.6524
2009-06-15,749.0,266505.31,0.24,0.66,0.01,0.37,0.0,157270.16,307.0,442.0,109235.15,,,,,,,,,,,,,,,,,,0.12,,,,100.0,26.74,0.0,0.0,,0.0,100.0,32.27,0.4115,53.61,0.6524
2009-06-16,749.0,263095.41,0.24,0.66,0.01,0.37,0.0,155257.91,307.0,442.0,107837.5,,,,,,,,,,,,,,,,,,0.12,,,,100.0,26.74,0.0,0.0,,0.0,100.0,32.26,0.4124,53.73,0.6524
2009-06-17,749.0,262302.73,0.24,0.67,0.01,0.37,0.0,154790.13,307.0,442.0,107512.6,,,,,,,,,,,,,,,,,,0.12,,,,100.0,26.74,0.0,0.0,,0.0,100.0,32.0,0.4135,53.99,0.6524
2009-06-18,749.0,267024.65,0.24,0.64,0.01,0.37,0.0,157576.63,307.0,442.0,109448.02,,,,,,,,,,,,,,,,,,0.12,,,,100.0,26.74,0.0,0.0,,0.0,100.0,31.85,0.4122,53.89,0.6524
2009-06-19,749.0,267913.01,0.24,0.64,0.01,0.37,0.0,158100.87,307.0,442.0,109812.14,,,,,,,,,,,,,,,,,,0.12,,,,100.0,26.74,0.0,0.0,,0.0,100.0,32.22,0.4109,53.56,0.6524
2009-06-22,749.0,278805.56,0.24,0.61,0.01,0.37,0.0,164528.78,307.0,442.0,114276.78,,,,,,,,,,,,,,,,,,0.12,,,,100.0,26.74,0.0,0.0,,0.0,100.0,32.11,0.4077,53.2,0.6524
2009-06-23,749.0,280172.25,0.24,0.61,0.01,0.38,0.0,165335.29,307.0,442.0,114836.96,,,,,,,,,,,,,,,,,,0.13,,,,100.0,26.74,0.0,0.0,,0.0,100.0,32.97,0.4053,52.48,0.6524
2009-06-24,749.0,272655.43,0.24,0.61,0.01,0.38,0.0,160899.47,307.0,442.0,111755.97,,,,,,,,,,,,,,,,,,0.13,,,,100.0,26.74,0.0,0.0,,0.0,100.0,33.19,0.4069,52.58,0.6524
2009-06-25,749.0,266512.14,0.24,0.61,0.01,0.37,0.0,157274.19,307.0,442.0,109237.96,,,,,,,,,,,,,,,,,,0.12,,,,100.0,26.74,0.0,0.0,,0.0,100.0,32.71,0.4102,53.24,0.6524
2009-06-26,749.0,269922.05,0.24,0.61,0.01,0.38,0.0,159286.44,307.0,442.0,110635.6,,,,,,,,,,,,,,,,,,0.12,,,,100.0,26.74,0.0,0.0,,0.0,100.0,32.75,0.4089,53.06,0.6524
2009-06-29,752.0,267572.76,0.24,0.61,0.01,0.37,0.0,157270.16,310.0,442.0,110302.6,,,3.0,,,,,,,,,,,3.0,,,,0.12,,,,100.0,26.93,0.0,0.0,,0.0,100.0,32.7,0.4102,53.25,0.6533
