,ELLE FP Equity_PX_LAST
2022-10-21,11.498
2022-10-24,11.602
2022-10-25,11.8
2022-10-26,11.874
2022-10-27,11.876
2022-10-28,11.938
2022-10-31,12.062
2022-11-01,12.082
2022-11-02,12.042
2022-11-03,11.914
2022-11-04,11.93
2022-11-07,11.934
2022-11-08,12.052
2022-11-09,11.99
2022-11-10,12.238
2022-11-11,12.236
2022-11-14,12.266
2022-11-15,12.338
2022-11-16,12.17
2022-11-17,12.088
2022-11-18,12.254
2022-11-21,12.266
2022-11-22,12.368
2022-11-23,12.386
2022-11-24,12.434
2022-11-25,12.406
2022-11-28,12.302
2022-11-29,12.318
2022-11-30,12.356
2022-12-01,12.51
2022-12-02,12.482
2022-12-05,12.31
2022-12-06,12.3
2022-12-07,12.156
2022-12-08,12.176
2022-12-09,12.166
2022-12-12,12.204
2022-12-13,12.332
2022-12-14,12.272
2022-12-15,11.92
2022-12-16,11.86
2022-12-19,11.864
2022-12-20,11.696
2022-12-21,11.772
2022-12-22,11.78
2022-12-23,11.78
2022-12-27,11.958
2022-12-28,11.75
2022-12-29,11.766
2022-12-30,11.762
2023-01-02,11.962
2023-01-03,11.982
2023-01-04,12.144
2023-01-05,12.15
2023-01-06,12.142
2023-01-09,12.318
2023-01-10,12.18
2023-01-11,12.304
2023-01-12,12.336
2023-01-13,12.414
2023-01-16,12.494
2023-01-17,12.466
2023-01-18,12.458
2023-01-19,12.27
2023-01-20,12.34
2023-01-23,12.368
2023-01-24,12.472
2023-01-25,12.368
2023-01-26,12.47
2023-01-27,12.5
2023-01-30,12.552
2023-01-31,12.572
2023-02-01,12.548
2023-02-02,12.706
2023-02-03,12.824
2023-02-06,12.736
2023-02-07,12.736
2023-02-08,12.764
2023-02-09,12.808
2023-02-10,12.62
2023-02-13,12.64
2023-02-14,12.64
2023-02-15,12.68
2023-02-16,12.69
2023-02-17,12.65
2023-02-20,12.696
2023-02-21,12.642
2023-02-22,12.558
2023-02-23,12.646
2023-02-24,12.58
2023-02-27,12.626
2023-02-28,12.582
2023-03-01,12.412
2023-03-02,12.45
2023-03-03,12.54
2023-03-06,12.62
2023-03-07,12.498
2023-03-08,12.466
2023-03-09,12.46
2023-03-10,12.152
2023-03-13,11.972
2023-03-14,11.964
2023-03-15,11.898
2023-03-16,12.01
2023-03-17,12.082
2023-03-20,11.928
2023-03-21,12.022
2023-03-22,12.032
2023-03-23,11.994
2023-03-24,11.938
2023-03-27,12.036
2023-03-28,11.95
2023-03-29,12.1
2023-03-30,12.15
2023-03-31,12.166
2023-04-03,12.3
2023-04-04,12.268
2023-04-05,12.236
2023-04-06,12.326
2023-04-11,12.398
2023-04-12,12.364
2023-04-13,12.37
2023-04-14,12.454
2023-04-17,12.518
2023-04-18,12.526
2023-04-19,12.504
2023-04-20,12.502
2023-04-21,12.472
2023-04-24,12.44
2023-04-25,12.404
2023-04-26,12.282
2023-04-27,12.282
2023-04-28,12.378
2023-05-02,12.306
2023-05-03,12.314
2023-05-04,12.21
2023-05-05,12.278
2023-05-08,12.392
2023-05-09,12.406
2023-05-10,12.358
2023-05-11,12.422
2023-05-12,12.388
2023-05-15,12.428
2023-05-16,12.328
2023-05-17,12.314
2023-05-18,12.394
2023-05-19,12.412
2023-05-22,12.428
2023-05-23,12.454
2023-05-24,12.234
2023-05-25,12.148
2023-05-26,12.252
2023-05-29,12.276
2023-05-30,12.17
2023-05-31,12.134
2023-06-01,12.27
2023-06-02,12.444
2023-06-05,12.456
2023-06-06,12.472
2023-06-07,12.432
2023-06-08,12.392
2023-06-09,12.396
2023-06-12,12.456
2023-06-13,12.472
2023-06-14,12.522
2023-06-15,12.462
2023-06-16,12.564
2023-06-19,12.52
2023-06-20,12.476
2023-06-21,12.382
2023-06-22,12.242
2023-06-23,12.21
2023-06-26,12.224
2023-06-27,12.212
2023-06-28,12.29
2023-06-29,12.35
2023-06-30,12.426
2023-07-03,12.5
2023-07-04,12.504
2023-07-05,12.448
2023-07-06,12.234
2023-07-07,12.212
2023-07-10,12.256
2023-07-11,12.332
2023-07-12,12.45
2023-07-13,12.498
2023-07-14,12.438
2023-07-17,12.432
2023-07-18,12.548
2023-07-19,12.62
2023-07-20,12.672
2023-07-21,12.704
2023-07-24,12.706
2023-07-25,12.754
2023-07-26,12.672
2023-07-27,12.824
2023-07-28,12.76
2023-07-31,12.776
2023-08-01,12.706
2023-08-02,12.552
2023-08-03,12.494
2023-08-04,12.522
2023-08-07,12.484
2023-08-08,12.442
2023-08-09,12.434
2023-08-10,12.546
2023-08-11,12.456
2023-08-14,12.478
2023-08-15,12.378
2023-08-16,12.322
2023-08-17,12.302
2023-08-18,12.222
2023-08-21,12.138
2023-08-22,12.21
2023-08-23,12.286
2023-08-24,12.244
2023-08-25,12.282
2023-08-28,12.404
2023-08-29,12.472
2023-08-30,12.496
2023-08-31,12.582
2023-09-01,12.626
2023-09-04,12.566
2023-09-05,12.626
2023-09-06,12.506
2023-09-07,12.476
2023-09-08,12.544
2023-09-11,12.568
2023-09-12,12.502
2023-09-13,12.522
2023-09-14,12.704
2023-09-15,12.662
2023-09-18,12.598
2023-09-19,12.532
2023-09-20,12.654
2023-09-21,12.454
2023-09-22,12.42
2023-09-25,12.394
2023-09-26,12.344
2023-09-27,12.274
2023-09-28,12.334
2023-09-29,12.378
2023-10-02,12.27
2023-10-03,12.086
2023-10-04,12.04
2023-10-05,12.044
2023-10-06,12.072
2023-10-09,12.138
2023-10-10,12.32
2023-10-11,12.274
2023-10-12,12.32
2023-10-13,12.188
2023-10-16,12.256
2023-10-17,12.302
2023-10-18,12.168
2023-10-19,12.01
2023-10-20,11.808
2023-10-23,11.8
2023-10-24,11.852
2023-10-25,11.8
2023-10-26,11.752
2023-10-27,11.63
2023-10-30,11.642
2023-10-31,11.762
2023-11-01,11.756
2023-11-02,12.01
2023-11-03,12.118
2023-11-06,12.05
2023-11-07,12.044
2023-11-08,12.02
2023-11-09,12.058
2023-11-10,11.922
2023-11-13,12.006
2023-11-14,12.23
2023-11-15,12.266
2023-11-16,12.228
2023-11-17,12.282
2023-11-20,12.28
2023-11-21,12.27
2023-11-22,12.324
2023-11-23,12.34
2023-11-24,12.354
2023-11-27,12.348
2023-11-28,12.332
2023-11-29,12.438
2023-11-30,12.516
2023-12-01,12.726
2023-12-04,12.762
2023-12-05,12.804
2023-12-06,12.888
2023-12-07,12.868
2023-12-08,12.966
2023-12-11,13.19
2023-12-12,12.968
2023-12-13,13.05
2023-12-14,13.216
2023-12-15,13.244
2023-12-18,13.2
2023-12-19,13.324
2023-12-20,13.348
2023-12-21,13.21
2023-12-22,13.268
2023-12-27,13.32
2023-12-28,13.302
2023-12-29,13.262
2024-01-02,13.324
2024-01-03,13.284
2024-01-04,13.23
2024-01-05,13.278
2024-01-08,13.288
2024-01-09,13.34
2024-01-10,13.338
2024-01-11,13.208
2024-01-12,13.34
2024-01-15,13.248
2024-01-16,13.204
2024-01-17,13.148
2024-01-18,13.184
2024-01-19,13.168
2024-01-22,13.316
2024-01-23,13.328
2024-01-24,13.382
2024-01-25,13.418
2024-01-26,13.544
2024-01-29,13.55
2024-01-30,13.582
2024-01-31,13.606
2024-02-01,13.466
2024-02-02,13.614
2024-02-05,13.562
2024-02-06,13.652
2024-02-07,13.554
2024-02-08,13.572
2024-02-09,13.508
2024-02-12,13.65
2024-02-13,13.426
2024-02-14,13.524
2024-02-15,13.698
2024-02-16,13.716
2024-02-19,13.676
2024-02-20,13.71
2024-02-21,13.594
2024-02-22,13.708
2024-02-23,13.742
2024-02-26,13.69
2024-02-27,13.73
2024-02-28,13.696
2024-02-29,13.73
2024-03-01,13.798
2024-03-04,13.708
2024-03-05,13.724
2024-03-06,13.738
2024-03-07,13.742
2024-03-08,13.868
2024-03-11,13.834
2024-03-12,13.886
2024-03-13,13.922
2024-03-14,13.81
2024-03-15,13.772
2024-03-18,13.816
2024-03-19,13.822
2024-03-20,13.868
2024-03-21,14.042
2024-03-22,14.034
2024-03-25,14.046
2024-03-26,14.014
2024-03-27,14.134
2024-03-28,14.252
2024-04-02,14.0
2024-04-03,14.0
2024-04-04,14.048
2024-04-05,13.914
2024-04-08,13.978
2024-04-09,13.904
2024-04-10,13.932
2024-04-11,13.852
2024-04-12,13.874
2024-04-15,13.828
2024-04-16,13.64
2024-04-17,13.57
2024-04-18,13.704
2024-04-19,13.68
2024-04-22,13.8
2024-04-23,13.966
2024-04-24,13.918
2024-04-25,13.888
2024-04-26,13.928
2024-04-29,13.98
2024-04-30,13.896
2024-05-02,13.904
2024-05-03,13.938
2024-05-06,14.012
2024-05-07,14.176
2024-05-08,14.144
2024-05-09,14.136
2024-05-10,14.292
2024-05-13,14.268
2024-05-14,14.262
2024-05-15,14.35
2024-05-16,14.306
2024-05-17,14.256
2024-05-20,14.314
2024-05-21,14.252
2024-05-22,14.184
2024-05-23,14.1
2024-05-24,14.114
2024-05-27,14.134
2024-05-28,14.138
2024-05-29,13.91
2024-05-30,13.958
2024-05-31,14.102
2024-06-03,14.228
2024-06-04,14.09
2024-06-05,14.256
2024-06-06,14.25
2024-06-07,14.258
2024-06-10,14.238
2024-06-11,14.132
2024-06-12,14.208
2024-06-13,14.074
2024-06-14,13.998
2024-06-17,13.99
2024-06-18,14.114
2024-06-19,14.084
2024-06-20,14.31
2024-06-21,14.31
2024-06-24,14.35
2024-06-25,14.286
2024-06-26,14.172
2024-06-27,14.116
2024-06-28,14.122
2024-07-01,14.184
2024-07-02,14.128
2024-07-03,14.104
2024-07-04,14.098
2024-07-05,14.17
2024-07-08,14.098
2024-07-09,14.074
2024-07-10,14.148
2024-07-11,14.284
2024-07-12,14.396
2024-07-15,14.29
2024-07-16,14.378
2024-07-17,14.37
2024-07-18,14.442
2024-07-19,14.27
2024-07-22,14.33
2024-07-23,14.348
2024-07-24,14.232
2024-07-25,14.254
2024-07-26,14.318
2024-07-29,14.446
2024-07-30,14.442
2024-07-31,14.494
2024-08-01,14.412
2024-08-02,13.902
2024-08-05,13.676
2024-08-06,13.804
2024-08-07,14.06
2024-08-08,14.06
2024-08-09,14.024
2024-08-12,14.07
2024-08-13,14.086
2024-08-14,14.128
2024-08-15,14.336
2024-08-16,14.44
2024-08-19,14.458
2024-08-20,14.474
2024-08-21,14.402
2024-08-22,14.474
2024-08-23,14.678
2024-08-26,14.64
2024-08-27,14.71
2024-08-28,14.684
2024-08-29,14.798
2024-08-30,14.794
2024-09-02,14.892
2024-09-03,14.796
2024-09-04,14.738
2024-09-05,14.73
2024-09-06,14.556
2024-09-09,14.736
2024-09-10,14.714
2024-09-11,14.592
2024-09-12,14.704
2024-09-13,14.786
2024-09-16,14.812
2024-09-17,14.876
2024-09-18,14.85
2024-09-19,14.976
2024-09-20,14.946
2024-09-23,14.932
2024-09-24,14.972
2024-09-25,14.906
2024-09-26,15.034
2024-09-27,15.15
2024-09-30,15.01
2024-10-01,15.072
2024-10-02,15.006
2024-10-03,14.872
2024-10-04,15.018
2024-10-07,14.984
2024-10-08,15.046
2024-10-09,15.172
2024-10-10,15.152
2024-10-11,15.148
2024-10-14,15.26
2024-10-15,15.354
2024-10-16,15.468
2024-10-17,15.52
2024-10-18,15.424
2024-10-21,15.31
2024-10-22,15.22
2024-10-23,15.302
2024-10-24,15.152
2024-10-25,15.158
2024-10-28,15.208
2024-10-29,15.172
2024-10-30,15.086
2024-10-31,14.902
2024-11-01,15.016
2024-11-04,14.96
2024-11-05,14.978
2024-11-06,15.318
2024-11-07,15.32
2024-11-08,15.416
2024-11-11,15.586
2024-11-12,15.394
2024-11-13,15.514
2024-11-14,15.474
2024-11-15,15.372
2024-11-18,15.266
2024-11-19,15.25
2024-11-20,15.266
2024-11-21,15.442
2024-11-22,15.73
2024-11-25,15.816
2024-11-26,15.78
2024-11-27,15.648
2024-11-28,15.852
2024-11-29,15.748
2024-12-02,15.824
2024-12-03,15.704
2024-12-04,15.69
2024-12-05,15.768
2024-12-06,15.682
2024-12-09,15.824
2024-12-10,15.65
2024-12-11,15.684
2024-12-12,15.6
2024-12-13,15.588
2024-12-16,15.626
2024-12-17,15.414
2024-12-18,15.564
2024-12-19,15.278
2024-12-20,15.228
2024-12-23,15.12
2024-12-24,15.252
2024-12-27,15.398
2024-12-30,15.316
2024-12-31,15.178
2025-01-02,15.414
2025-01-03,15.488
2025-01-06,15.576
2025-01-07,15.366
2025-01-08,15.458
2025-01-09,15.576
2025-01-10,15.238
2025-01-13,15.198
2025-01-14,15.234
2025-01-15,15.542
2025-01-16,15.612
2025-01-17,15.632
2025-01-20,15.57
2025-01-21,15.684
2025-01-22,15.594
2025-01-23,15.598
2025-01-24,15.572
2025-01-27,15.626
2025-01-28,15.772
2025-01-29,15.894
2025-01-30,15.9
2025-01-31,15.932
2025-02-03,15.964
2025-02-04,15.884
2025-02-05,15.806
2025-02-06,16.048
2025-02-07,15.992
2025-02-10,16.022
2025-02-11,15.9
2025-02-12,15.824
2025-02-13,15.882
2025-02-14,15.708
2025-02-17,16.0
2025-02-18,16.034
2025-02-19,15.788
2025-02-20,15.722
2025-02-21,15.966
2025-02-24,15.858
2025-02-25,15.864
2025-02-26,15.912
2025-02-27,15.936
2025-02-28,15.852
2025-03-03,15.934
2025-03-04,15.55
2025-03-05,15.246
2025-03-06,15.43
2025-03-07,15.268
2025-03-10,15.284
2025-03-11,14.958
2025-03-12,14.862
2025-03-13,14.86
2025-03-14,15.018
2025-03-17,15.094
2025-03-18,15.07
2025-03-19,15.106
2025-03-20,15.182
2025-03-21,15.206
2025-03-24,15.264
2025-03-25,15.306
2025-03-26,15.336
2025-03-27,15.256
2025-03-28,15.14
2025-03-31,15.062
2025-04-01,15.186
2025-04-02,15.066
2025-04-03,14.602
2025-04-04,13.778
2025-04-07,13.554
2025-04-08,13.698
2025-04-09,13.174
2025-04-10,13.616
2025-04-11,13.538
2025-04-14,13.828
2025-04-15,14.032
2025-04-16,14.028
2025-04-17,13.944
2025-04-22,14.12
2025-04-23,14.232
2025-04-24,14.294
2025-04-25,14.338
2025-04-28,14.43
2025-04-29,14.444
2025-04-30,14.662
2025-05-02,14.7
2025-05-05,14.96
2025-05-06,14.77
2025-05-07,14.856
2025-05-08,14.894
2025-05-09,15.006
2025-05-12,15.2
2025-05-13,15.178
2025-05-14,15.184
2025-05-15,15.29
2025-05-16,15.398
2025-05-19,15.394
2025-05-20,15.448
2025-05-21,15.348
2025-05-22,15.242
2025-05-23,15.094
2025-05-26,15.446
2025-05-27,15.292
2025-05-28,15.372
2025-05-29,15.268
2025-05-30,15.31
2025-06-02,15.154
2025-06-03,15.37
2025-06-04,15.344
2025-06-05,15.266
2025-06-06,15.454
2025-06-09,15.468
2025-06-10,15.292
2025-06-11,15.5
2025-06-12,15.232
2025-06-13,15.162
2025-06-16,15.254
2025-06-17,15.19
2025-06-18,15.1
2025-06-19,14.974
2025-06-20,15.022
2025-06-23,15.062
2025-06-24,15.12
2025-06-25,15.034
2025-06-26,15.034
2025-06-27,15.078
2025-06-30,15.082
2025-07-01,15.3
2025-07-02,15.146
2025-07-03,15.246
2025-07-04,15.168
2025-07-07,15.214
2025-07-08,15.224
2025-07-09,15.224
2025-07-10,15.442
2025-07-11,15.146
2025-07-14,15.188
2025-07-15,15.146
2025-07-16,15.024
2025-07-17,15.222
2025-07-18,15.242
2025-07-21,15.204
2025-07-22,15.244
2025-07-23,15.386
2025-07-24,15.38
2025-07-25,15.366
2025-07-28,15.528
2025-07-29,15.476
2025-07-30,15.554
2025-07-31,15.484
2025-08-01,15.272
2025-08-04,15.338
2025-08-05,15.4
2025-08-06,15.34
2025-08-07,15.374
2025-08-08,15.344
2025-08-11,15.52
2025-08-12,15.364
2025-08-13,15.606
2025-08-14,15.608
2025-08-15,15.618
2025-08-18,15.746
2025-08-19,15.72
2025-08-20,15.724
2025-08-21,15.794
2025-08-22,15.89
2025-08-25,15.808
2025-08-26,15.694
2025-08-27,15.896
2025-08-28,15.678
2025-08-29,15.692
