,SCR FP Equity_DX_SI_QTY,SCR FP Equity_DX_SHORT_INTEREST_VALUE,SCR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,SCR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SCR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SCR FP Equity_DX_SI_MV,SCR FP Equity_DX_DSS,SCR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SCR FP Equity_DX_SUPPLY_SI_QTY,SCR FP Equity_DX_BROKER_SI_QTY,SCR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SCR FP Equity_DX_BROKER_SI_MV_NEW_x,SCR FP Equity_DX_SUPPLY_SI_QTY_NEW_x,SCR FP Equity_DX_SUPPLY_SI_QTY_INC_x,SCR FP Equity_DX_BROKER_SI_MV_INC_x,SCR FP Equity_DX_SUPPLY_SI_MV_NEW,SCR FP Equity_DX_BROKER_SI_QTY_ADD,SCR FP Equity_DX_BROKER_SI_QTY_NEW,SCR FP Equity_DX_SUPPLY_SI_MV_DEC,SCR FP Equity_DX_BROKER_SI_QTY_INC,SCR FP Equity_DX_SUPPLY_SI_QTY_DEC,SCR FP Equity_DX_BROKER_SI_MV_NEW_y,SCR FP Equity_DX_SUPPLY_SI_QTY_NEW_y,SCR FP Equity_DX_BROKER_SI_MV_INC_y,SCR FP Equity_DX_SUPPLY_SI_QTY_INC_y,SCR FP Equity_DX_BROKER_SI_MV_ADD,SCR FP Equity_DX_SUPPLY_SI_QTY_ADD,SCR FP Equity_DX_BROKER_SI_QTY_DEC,SCR FP Equity_DX_SUPPLY_SI_MV,SCR FP Equity_DX_BROKER_SI_MV_DEC,SCR FP Equity_DX_SUPPLY_SI_MV_RMV,SCR FP Equity_DX_BROKER_SI_MV_RMV,SCR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SCR FP Equity_DX_UTILIZATION_QUANTITY,SCR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SCR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SCR FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,SCR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SCR FP Equity_DX_ACTIVE_UTILIZATION_MV,SCR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SCR FP Equity_DX_BROKER_SI_CON_RATIO,SCR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SCR FP Equity_DX_DEMAND_SUPPLY_RATIO
2010-11-03,1757525.0,21780454.61,1.09,4.11,0.94,31.29,0.0,11824580.02,1138942.0,954158.0,14114550.02,,,41221.0,0.05,,,,0.11,2685.0,6302.0,,,0.05,41221.0,,,70632.0,20.24,1.25,,,2.9,2.9,38095504.0,472105600.55,,678.65,2.9,10.57,0.1788,37.12,0.0448
2010-11-04,1815593.0,22531888.78,1.13,4.26,0.97,32.17,0.0,12880568.44,974954.0,1037901.0,12099383.01,,,18428.0,1.5,,,,2.5,83743.0,140316.0,,,1.5,18428.0,,,,17.21,,0.74,,2.5,2.5,38088680.0,472688483.42,42100.0,670.95,2.5,10.21,0.1733,35.93,0.0465
2010-11-05,1863914.0,24150631.62,1.16,4.32,0.99,33.45,0.0,13580459.35,1044213.0,1048122.0,13529810.65,,42100.0,27159.0,0.25,0.78,,,,10221.0,,,42100.0,0.25,27159.0,,,,18.82,,,,2.7,2.7,37690916.0,488359134.39,,677.86,2.7,9.97,0.1631,34.55,0.0481
2010-11-08,1966049.0,25666921.78,1.22,4.27,1.05,36.41,1.0,15124006.85,1109518.0,1158477.0,14484843.32,,,91166.0,2.1,,,,0.35,110355.0,25861.0,,,2.1,91166.0,,,,20.57,,,,2.82,2.82,38259056.0,499474935.72,,708.1,2.82,9.7,0.1557,33.07,0.0499
2010-11-09,1967517.0,25534383.58,1.22,4.21,1.05,36.52,1.0,14441707.27,1091468.0,1112786.0,14165042.83,,,,1.73,,,,0.65,92750.0,36050.0,,,1.73,,,18000.0,138441.0,20.18,2.49,,,2.79,2.79,38092328.0,494361225.06,,707.6,2.77,11.01,0.1578,33.11,0.0502
2010-11-10,1876258.0,24133026.72,1.16,4.05,1.0,34.61,0.0,13867327.89,973274.0,1078136.0,12518559.52,,,550.0,,,,,2.26,,118744.0,,,,550.0,,,34650.0,17.82,0.65,,,2.51,2.51,37765848.0,485756339.96,,699.09,2.49,11.56,0.1685,34.83,0.0484
2010-11-11,1852191.0,23674166.92,1.15,3.96,0.99,33.96,0.0,13508694.57,942409.0,1056877.0,12045597.88,,,,,,,,0.57,,30865.0,,,,,,,21259.0,17.2,0.4,,,2.43,2.43,37865024.0,483979729.22,,694.64,2.42,11.71,0.1712,35.24,0.0477
2010-11-12,1362779.0,17356554.97,0.84,3.07,0.73,24.8,0.0,7335817.44,884968.0,575984.0,11271083.38,,,6329.0,,,,,1.16,,63770.0,,,,6329.0,,,480893.0,16.03,8.84,,,2.29,2.29,37751664.0,480810778.11,,687.46,2.28,14.38,0.1034,16.29,0.0353
2010-11-15,1603903.0,20652395.06,0.99,3.66,0.85,29.25,0.0,6685368.26,1182878.0,519198.0,15231135.4,,,281984.0,,,,,0.03,,1074.0,,,,281984.0,,17000.0,56786.0,21.58,1.1,,,3.04,3.04,37718936.0,485681719.96,,689.06,3.04,13.88,0.1048,18.49,0.0412
2010-11-16,1649906.0,21163790.79,1.02,3.75,0.88,30.22,0.0,11053259.11,1161379.0,861700.0,14897322.75,,,,0.31,,328000.0,,0.38,17000.0,21499.0,,,0.31,,6.07,,2498.0,21.22,0.04,,,2.97,2.97,37980312.0,487183740.97,,698.57,2.95,13.42,0.1115,21.63,0.0422
2010-11-17,1581556.0,20176188.66,0.98,3.63,0.84,28.87,0.0,10992858.79,1093029.0,861700.0,13943963.61,,,,,,,,1.26,,68350.0,,,,,,,,19.87,,,,2.79,2.79,38147468.0,486653973.3,,697.61,2.77,14.03,0.12,22.72,0.0403
2010-11-18,1573706.0,20186352.77,0.98,3.65,0.84,28.73,0.0,11053259.11,1083798.0,861700.0,13902170.26,,,,,,,,0.2,,9231.0,,,,,,,,19.65,,,,2.76,2.76,38142680.0,489266479.25,,693.7,2.76,14.1,0.1205,22.84,0.0401
2010-11-19,1599947.0,20500523.72,0.99,3.75,0.85,29.23,0.0,10981020.83,1111420.0,857005.0,14240904.28,,,30936.0,,,,,0.03,,3314.0,,,,30936.0,,,4695.0,20.22,0.09,,,2.84,2.84,38049796.0,487541615.71,,694.92,2.83,13.2,0.1166,22.42,0.0409
2010-11-22,1599297.0,20324042.52,0.99,3.83,0.85,29.31,0.0,10905985.8,1109584.0,858191.0,14100715.75,,,,0.03,,,,0.03,1186.0,1836.0,,,0.03,,,,,20.25,,,,2.83,2.83,38033700.0,483336450.96,,694.25,2.83,13.82,0.1182,22.43,0.0409
2010-11-23,1597473.0,20188889.06,0.99,3.84,0.85,29.06,0.0,10822779.7,1110770.0,856367.0,14037928.84,,,2410.0,,,,,0.07,,1224.0,,,,2410.0,,,1824.0,20.07,0.05,,,2.73,2.73,39651432.0,501115425.15,,721.94,2.71,13.81,0.1187,22.57,0.0392
2010-11-24,1593125.0,20262358.43,0.99,3.8,0.85,28.94,0.0,10836509.61,1108946.0,852019.0,14104267.61,,,93206.0,,,,,1.71,,95030.0,,,,93206.0,,,4348.0,19.98,0.09,,,2.72,2.72,39670320.0,504551898.22,,718.37,2.71,13.87,0.1194,22.67,0.0391
2010-11-25,1611465.0,20563390.78,1.0,3.87,0.86,29.29,0.0,10882206.66,1124355.0,852792.0,14347535.47,,,17567.0,0.02,,,,0.0,2190.0,2158.0,,,0.02,17567.0,,,1417.0,20.32,0.02,,,2.76,2.76,39571428.0,504958368.73,,719.01,2.75,13.91,0.1193,22.62,0.0396
2010-11-26,1672868.0,21212087.44,1.04,4.05,0.89,30.4,0.0,11029025.58,1167341.0,869792.0,14801968.46,,,15591.0,0.29,,,,0.01,17000.0,1417.0,,,0.29,15591.0,,28812.0,,21.1,,,,2.88,2.88,39403824.0,499643343.18,,718.14,2.85,13.71,0.1181,22.32,0.0412
2010-11-29,1746001.0,22053749.79,1.08,4.21,0.93,31.81,0.0,11730832.46,1181533.0,928733.0,14923950.87,,,17400.0,0.31,,41970.0,,0.06,16971.0,3208.0,,,0.31,17400.0,0.8,,,21.36,,,,2.92,2.92,39250828.0,495777459.23,,710.73,2.92,13.01,0.1083,21.29,0.0432
2010-11-30,1749772.0,22021659.35,1.08,4.13,0.93,31.69,0.0,11741377.0,1181104.0,932933.0,14864719.48,,,,0.09,,,,0.01,4200.0,429.0,,,0.09,,,,,21.18,,,,2.92,2.92,39225784.0,493673948.88,,708.39,2.9,12.97,0.1081,21.31,0.0433
2010-12-01,1763501.0,22484931.95,1.09,4.13,0.94,31.9,0.0,12070098.43,1185304.0,946662.0,15112823.74,,,4200.0,0.25,,,,,13729.0,,,,0.25,4200.0,,,,21.23,,,,3.06,3.06,37551112.0,478782942.51,,674.16,3.05,12.91,0.1073,21.13,0.0455
2010-12-02,1819767.0,23355399.35,1.13,4.19,0.97,33.07,0.0,12525333.29,1221033.0,975928.0,15671079.5,,,30729.0,0.54,,,,,29266.0,,,,0.54,30729.0,,5000.0,,22.04,,,,3.16,3.16,37391200.0,479889133.19,,677.38,3.15,12.58,0.1047,20.37,0.0471
2010-12-03,1830686.0,23392880.22,1.13,4.15,0.98,33.35,0.0,12470607.64,1223375.0,975928.0,15632536.02,,,2966.0,,,,,0.27,,14543.0,,,,2966.0,,13919.0,,22.16,,,,3.14,3.14,37684048.0,481534474.61,,685.15,3.13,12.55,0.1044,20.3,0.0471
2010-12-06,1840375.0,23503788.25,1.14,4.16,0.98,33.72,0.0,12805894.48,1189511.0,1002717.0,15191477.1,,,7000.0,0.69,,,,0.72,38332.0,40864.0,,,0.69,7000.0,,,11543.0,21.69,0.19,,,3.06,3.06,37680900.0,481230126.91,,688.5,3.05,12.43,0.1025,20.16,0.0473
2010-12-07,1736063.0,22396722.61,1.08,4.05,0.92,31.75,0.0,12552081.82,1114952.0,972964.0,14383850.51,,,10000.0,0.04,,,,1.54,2502.0,84559.0,,,0.04,10000.0,,,32255.0,20.23,0.59,,,2.92,2.92,37090664.0,478501824.57,,678.02,2.9,13.23,0.1075,21.37,0.0454
2010-12-08,1647171.0,21423124.63,1.02,3.88,0.88,30.31,0.0,12708069.59,1015322.0,977092.0,13205289.4,,,,0.3,,,,1.79,14962.0,99630.0,,,0.3,,,,10834.0,18.56,0.18,,,2.67,2.67,36981456.0,480981234.45,,683.55,2.64,14.05,0.1172,22.48,0.0434
2010-12-09,1633241.0,21556773.66,1.01,3.85,0.87,30.23,0.0,12455812.02,1011098.0,943710.0,13345250.79,,,,0.1,,,,0.08,3000.0,4224.0,,,0.1,,,,36382.0,18.61,0.66,,,2.66,2.66,36954824.0,487758252.92,,688.15,2.63,14.22,0.118,22.47,0.043
2010-12-10,1764598.0,23222495.99,1.09,4.11,0.94,32.89,0.0,13270251.51,1074838.0,1008361.0,14145103.38,,,17399.0,1.69,,,,0.66,88000.0,41659.0,,,1.69,17399.0,,88000.0,23349.0,19.96,0.41,,,2.83,2.83,36962408.0,486433381.11,,694.67,2.79,20.45,0.1381,24.14,0.0464
2010-12-13,1793196.0,23730829.53,1.11,4.25,0.96,33.59,0.0,13344465.97,1103436.0,1008361.0,14602671.21,,,4500.0,,,,,,,,,,,4500.0,,24098.0,,20.69,,,,2.88,2.88,37176200.0,491983065.27,,696.56,2.88,20.11,0.1344,23.67,0.0468
2010-12-14,1717196.0,22743114.23,1.06,4.06,0.91,32.17,0.0,13315335.04,1030436.0,1005361.0,13647436.66,,,,,,,,1.39,,73000.0,,,,,,,3000.0,19.2,0.05,,,2.69,2.69,37218744.0,492937408.51,,703.1,2.66,21.24,0.1415,24.85,0.0449
2010-12-15,1679096.0,22267928.97,1.04,4.01,0.89,31.88,0.0,13652536.77,992336.0,1029459.0,13160216.9,,,,,,24098.0,,0.72,,38100.0,,,,,0.46,,,18.84,,,,2.6,2.6,37219476.0,493599322.34,,706.68,2.6,21.8,0.148,25.47,0.0439
2010-12-16,1677524.0,22211805.83,1.04,4.1,0.89,31.82,0.0,13610074.41,990764.0,1027887.0,13118535.17,,,,,,,,0.03,,1572.0,,,,,,,1572.0,18.77,0.03,,,2.59,2.59,37291212.0,493766503.56,,706.48,2.59,21.85,0.1483,25.48,0.0438
2010-12-17,1674438.0,22294181.76,1.04,4.16,0.89,31.77,0.0,13685725.96,989392.0,1027887.0,13173187.11,,,3000.0,,,,,0.12,,6086.0,,,,3000.0,,1714.0,,18.75,,,,2.58,2.58,37414344.0,498150534.94,,707.91,2.58,21.92,0.1457,24.83,0.0436
2010-12-20,1676662.0,22388431.56,1.04,4.23,0.89,31.89,0.0,13713842.69,998031.0,1027025.0,13326686.44,,,8639.0,,,,,,,,,,,8639.0,,,862.0,18.98,0.01,,,2.6,2.6,37326908.0,498425398.2,,709.97,2.6,21.78,0.1483,25.5,0.0437
2010-12-21,1521605.0,20365953.96,0.94,3.91,0.81,29.02,0.0,13274821.39,889281.0,991804.0,11902600.15,,,11086.0,0.39,,,,2.36,19779.0,123107.0,,,0.39,11086.0,,3271.0,55000.0,16.92,1.05,,,2.32,2.32,37523052.0,502228074.51,,715.47,2.31,23.11,0.1568,26.27,0.0396
2010-12-22,999422.0,13660502.8,0.62,2.58,0.53,19.14,0.0,9539875.64,675013.0,697951.0,9226349.81,,,3963.0,0.13,,,,4.5,6897.0,235750.0,,,0.13,3963.0,,17519.0,300750.0,12.9,5.72,,,1.76,1.76,37595804.0,513874605.44,,720.24,1.76,16.89,0.1856,36.62,0.0261
2010-12-23,995851.0,13552359.91,0.62,2.58,0.53,19.15,0.0,9468501.85,641668.0,695762.0,8732346.19,,,9800.0,0.4,,,,0.8,20894.0,43145.0,,,0.4,9800.0,,,23083.0,12.44,0.42,,,1.67,1.67,37719536.0,513318486.09,,734.05,1.67,17.09,0.1919,37.09,0.026
2010-12-24,985688.0,13327689.47,0.61,2.58,0.53,19.17,0.0,9270124.59,641668.0,685599.0,8676124.54,,,,,,9800.0,,,,,,,,,0.19,,19963.0,12.49,0.37,,,1.67,1.67,37693704.0,509664297.19,,729.61,1.68,17.17,0.197,38.02,0.0257
2010-12-27,992158.0,13376922.08,0.62,2.65,0.53,19.16,0.0,9279921.33,638279.0,688286.0,8605694.3,,,5200.0,0.08,,,,0.17,4010.0,8589.0,,,0.08,5200.0,,,1323.0,12.31,0.03,,,1.66,1.66,37777940.0,509346857.81,,727.18,1.66,17.15,0.1966,37.97,0.0258
2010-12-28,904482.0,12039489.2,0.56,2.47,0.48,17.51,0.0,9334363.8,547566.0,701256.0,7288608.22,,,9933.0,0.41,,,,1.94,18819.0,100646.0,,,0.41,9933.0,,,5849.0,10.54,0.12,,,1.43,1.43,37794808.0,503083734.75,,724.74,1.43,19.7,0.2107,39.38,0.0236
2010-12-29,819601.0,11070503.22,0.51,2.25,0.44,15.78,0.0,8848327.98,514169.0,655083.0,6944976.36,,,5311.0,0.13,,,,0.81,9473.0,41970.0,,,0.13,5311.0,,3262.0,55646.0,9.78,1.06,,,1.35,1.35,37679004.0,508937318.23,,716.92,1.35,21.58,0.2359,41.73,0.0215
2010-12-30,784302.0,10607456.84,0.49,2.2,0.42,14.99,0.0,8426516.26,510907.0,623046.0,6909868.84,,,,0.17,,,,0.06,9933.0,3262.0,,,0.17,,,,41970.0,9.83,0.83,,,1.33,1.33,37768172.0,510803561.1,,725.17,1.34,23.07,0.253,43.01,0.0205
2010-12-31,794685.0,10583560.21,0.49,2.25,0.42,15.3,0.0,8369374.23,511004.0,628429.0,6805516.15,,,5000.0,0.12,,,,0.09,5383.0,4903.0,,,0.12,5000.0,,,,9.84,,,,1.33,1.33,37858260.0,504193704.47,,725.49,1.34,22.59,0.2489,42.74,0.0207
2011-01-03,893092.0,12019339.32,0.55,2.54,0.48,17.08,0.0,8322461.04,616265.0,618397.0,8293768.33,,,,,,,,0.17,,8378.0,,,,,,113639.0,10032.0,11.75,0.2,,,1.59,1.59,38190912.0,513977877.16,,728.86,1.59,22.74,0.2541,43.38,0.023
2011-01-04,784073.0,10607107.64,0.49,2.23,0.42,15.1,0.0,8255268.15,514151.0,610226.0,6955544.96,,,,,,,,2.27,,118908.0,,,,,,16794.0,8171.0,9.87,0.15,,,1.32,1.32,38378656.0,519194686.36,,738.89,1.32,23.16,0.2616,44.04,0.0202
2011-01-05,751095.0,10329446.3,0.47,2.13,0.4,14.5,0.0,8445131.51,472021.0,614079.0,6491476.54,,,4000.0,0.08,,,,0.88,4000.0,46130.0,,,0.08,4000.0,,,147.0,9.13,0.0,,,1.21,1.21,38571220.0,530451335.23,,750.84,1.2,23.78,0.2716,44.76,0.0192
2011-01-06,760630.0,10852448.29,0.47,2.06,0.41,14.81,0.0,8985475.63,490858.0,629777.0,7003419.62,,,,0.44,,,,0.13,20997.0,6746.0,,,0.44,,,25583.0,5299.0,9.68,0.1,,,1.24,1.24,39004376.0,556503127.32,,775.78,1.23,23.09,0.2632,43.69,0.0193
2011-01-07,982899.0,14127061.47,0.61,2.49,0.52,19.48,0.0,8990793.6,718364.0,625540.0,10324939.17,,,226000.0,,,,,0.54,,26494.0,,,,226000.0,,28000.0,4237.0,14.34,0.03,,,1.81,1.81,38946044.0,559765711.18,,797.23,1.77,23.1,0.2495,42.12,0.0248
2011-01-10,969285.0,13387858.06,0.6,2.38,0.52,19.8,0.0,8756634.44,689923.0,633983.0,9529283.13,,,,,,8443.0,,0.53,,28441.0,,,,,0.17,,,14.11,,,,1.74,1.74,38950308.0,537985417.04,,792.27,1.75,23.16,0.261,43.51,0.0245
2011-01-11,978086.0,13581404.57,0.61,2.43,0.52,19.74,0.0,8447210.24,688190.0,608339.0,9555996.93,,,1898.0,,,5721.0,,0.83,,27852.0,,,,1898.0,0.12,24221.0,31365.0,13.73,0.7,,,1.74,1.74,38778904.0,538472060.62,,764.31,1.76,22.5,0.2648,44.3,0.0248
2011-01-12,986422.0,14015211.84,0.61,2.55,0.53,19.49,0.0,8875648.21,690969.0,624688.0,9817377.26,,,17140.0,0.36,,,,0.73,16349.0,38723.0,,,0.36,17140.0,,24362.0,,13.64,,,,1.75,1.75,38811436.0,551437921.5,,769.97,1.74,22.74,0.2505,42.8,0.025
2011-01-13,1015720.0,14513357.33,0.63,2.67,0.54,20.3,0.0,9135304.83,705641.0,639336.0,10082719.62,,,,0.28,,,,0.1,14648.0,5000.0,,,0.28,,,19672.0,,14.18,,,,1.79,1.79,38739888.0,553544123.7,,777.73,1.79,22.57,0.2409,41.74,0.0258
2011-01-14,1032521.0,14843889.81,0.64,2.76,0.55,20.99,0.0,9272275.41,706474.0,644967.0,10156521.96,,,11170.0,0.13,,,,0.2,5631.0,10337.0,,,0.13,11170.0,,,,14.37,,,,1.79,1.79,38729424.0,556787999.81,,789.79,1.79,21.95,0.2357,41.3,0.0262
2011-01-17,1040495.0,14695968.63,0.65,2.76,0.55,21.27,0.0,8904316.76,731406.0,630438.0,10330390.47,,,,0.11,,,,0.09,5052.0,4505.0,,,0.11,,,29437.0,19581.0,14.94,0.38,,,1.85,1.85,38761304.0,547465300.27,,792.87,1.85,22.45,0.2444,42.13,0.0263
2011-01-18,1039832.0,14617362.35,0.64,2.76,0.55,21.17,0.0,8805248.9,734846.0,626377.0,10330043.94,,,42.0,,,,,0.1,,4648.0,,,,42.0,,8046.0,4061.0,14.82,0.1,,,1.85,1.85,38882400.0,546586496.53,,780.55,1.86,22.61,0.2497,42.73,0.0262
2011-01-19,1033450.0,14198050.26,0.64,2.71,0.55,20.81,0.0,8656311.3,724764.0,630077.0,9957168.41,,,1959.0,0.07,,,,0.24,3700.0,12041.0,,,0.07,1959.0,,,,14.55,,,,1.82,1.82,39100200.0,537178000.53,,777.72,1.84,22.3,0.247,42.47,0.026
2011-01-20,1009195.0,13652606.32,0.63,2.62,0.54,20.17,0.0,8354118.82,716711.0,617533.0,9695820.06,,,9919.0,0.78,,,,0.49,40042.0,24181.0,,,0.78,9919.0,,6209.0,52586.0,14.19,1.1,,,1.8,1.8,39121776.0,529247773.03,,763.37,1.83,22.76,0.2163,36.82,0.0253
2011-01-21,825981.0,11318789.6,0.51,2.13,0.44,16.29,0.0,5951668.84,756711.0,434319.0,10369551.6,,,,,,,,,,,,,,,,40000.0,183214.0,14.85,3.65,,,1.9,1.9,39080692.0,535540321.58,,753.24,1.93,17.87,0.2827,48.3,0.0207
2011-01-24,865906.0,12105645.66,0.54,2.16,0.46,16.91,0.0,6859012.14,740378.0,490619.0,10350723.66,,,8542.0,1.16,,,,0.66,56300.0,26404.0,,,1.16,8542.0,,1529.0,,14.48,,,,1.86,1.86,39057472.0,546036078.38,,766.78,1.85,25.68,0.2686,43.37,0.0218
2011-01-25,869971.0,12040515.53,0.54,2.15,0.46,17.32,0.0,6846493.03,796678.0,494684.0,11026130.56,,,,,,5200.0,,0.07,,3700.0,,,,,0.1,60000.0,1135.0,15.95,0.02,,,2.02,2.02,38732888.0,536068374.02,,769.62,2.03,25.4,0.2648,43.09,0.022
2011-01-26,893147.0,12508395.25,0.55,2.22,0.48,17.75,0.0,7041949.77,747716.0,502822.0,10471655.01,,,15038.0,0.13,,,,1.32,8138.0,64000.0,,,0.13,15038.0,,,,14.9,,,,1.89,1.89,38855676.0,544168152.61,,769.09,1.9,25.85,0.2598,42.12,0.0226
2011-01-27,895771.0,12990942.4,0.56,2.19,0.48,17.96,0.0,6613471.0,815744.0,456022.0,11830348.74,,,66404.0,0.38,,,,0.0,17200.0,42.0,,,0.38,66404.0,,1666.0,64000.0,16.4,1.21,,,2.05,2.05,38927176.0,564542389.96,,783.79,2.05,27.36,0.2039,32.32,0.0225
2011-01-28,915563.0,13210591.79,0.57,2.17,0.49,18.7,0.0,6637017.89,831578.0,459980.0,11998778.35,,,17500.0,0.23,,,,0.03,4000.0,1666.0,,,0.23,17500.0,,,42.0,17.08,0.0,,,2.1,2.1,38837704.0,560386400.11,,801.06,2.09,27.52,0.1993,30.93,0.0231
2011-01-31,1034702.0,14661290.61,0.64,2.55,0.55,21.32,0.0,7504576.88,885071.0,529626.0,12541082.5,,,8000.0,0.43,,47000.0,,0.02,22646.0,1507.0,,,0.43,8000.0,0.97,47000.0,,18.2,,,,2.22,2.22,38949436.0,551897068.41,,798.81,2.23,23.45,0.1635,27.04,0.026
2011-02-01,1088345.0,15806637.94,0.67,2.66,0.58,22.12,0.0,7898780.36,940262.0,543860.0,13655946.42,,,36681.0,0.49,,,,0.19,27877.0,8443.0,,,0.49,36681.0,,26953.0,13643.0,19.05,0.3,,,2.35,2.35,39054984.0,567217189.24,,792.48,2.35,25.87,0.1712,26.32,0.0272
2011-02-02,1033903.0,14856510.86,0.64,2.48,0.55,21.19,0.0,7886759.73,880820.0,548860.0,12656808.13,,,,0.13,,,,1.19,5000.0,59442.0,,,0.13,,,,,18.1,,,,2.21,2.21,39008232.0,560522817.2,,805.88,2.2,27.13,0.1853,27.96,0.0259
2011-02-03,1029833.0,14758325.59,0.64,2.44,0.55,21.18,0.0,7795379.24,871819.0,543960.0,12493859.35,,,,0.02,,,,0.3,2000.0,14001.0,,,0.02,,,5000.0,6900.0,17.82,0.14,,,2.18,2.18,39068476.0,559882319.91,,803.69,2.17,27.76,0.1902,28.01,0.0258
2011-02-04,1094581.0,16046818.57,0.68,2.55,0.58,22.42,0.0,8767966.15,919231.0,598078.0,13476145.74,,,49301.0,0.92,,7000.0,,0.36,47118.0,17436.0,,,0.92,49301.0,0.14,15547.0,,18.78,,,,2.31,2.31,38858520.0,569675172.79,,799.6,2.29,25.56,0.1923,30.87,0.0275
2011-02-07,1094725.0,15964522.17,0.68,2.46,0.58,22.79,0.0,8755772.43,908192.0,600404.0,13244286.3,,,3705.0,0.23,,,,0.31,5705.0,14744.0,,,0.23,3705.0,,,3379.0,18.97,0.05,,,2.28,2.28,38993852.0,568652597.54,,813.74,2.28,24.98,0.1942,31.57,0.0274
2011-02-08,1116368.0,16424909.52,0.69,2.43,0.59,23.12,0.0,9152058.9,940692.0,622047.0,13840222.03,,,32500.0,0.61,,,,,30500.0,,,,0.61,32500.0,,,8857.0,19.42,0.18,,,2.35,2.35,39015280.0,574024375.54,,812.12,2.34,24.9,0.1998,32.89,0.0279
2011-02-09,1132255.0,16527700.16,0.7,2.39,0.6,23.5,0.0,9226087.15,942597.0,632047.0,13759233.2,,,5887.0,0.25,,,,0.08,10000.0,3982.0,,,0.25,5887.0,,,,19.55,,,,2.36,2.36,39062052.0,570194773.35,,816.85,2.34,24.43,0.203,33.8,0.0283
2011-02-10,1113250.0,16425854.52,0.69,2.31,0.59,23.15,0.0,9405179.45,930186.0,637429.0,13724769.74,,,10000.0,,,9364.0,,0.66,,31775.0,,,,10000.0,0.2,9364.0,3982.0,19.23,0.08,,,2.33,2.33,38977576.0,575108909.07,,816.2,2.3,24.43,0.2004,33.48,0.0279
2011-02-11,1083981.0,15815439.07,0.67,2.16,0.58,22.56,0.0,9066592.8,921564.0,621419.0,13445751.62,,,25747.0,0.55,,,,0.71,25747.0,34369.0,,,0.55,25747.0,,,41757.0,19.16,0.89,,,2.33,2.33,38641212.0,563780854.06,,811.72,2.31,24.65,0.208,34.33,0.0274
2011-02-14,1098242.0,16054301.35,0.68,2.17,0.59,22.94,0.0,9292485.88,929601.0,635680.0,13589076.53,,,3037.0,0.23,,,,,14261.0,,,,0.23,3037.0,,5000.0,,19.35,,,,2.4,2.4,37868980.0,553575638.84,,789.62,2.39,24.54,0.2099,34.75,0.0283
2011-02-15,1121744.0,16386063.67,0.7,2.18,0.6,23.23,0.0,9292171.19,958891.0,636116.0,14007161.15,,,29358.0,0.01,,,,0.0,504.0,68.0,,,0.01,29358.0,,,68.0,19.82,0.0,,,2.48,2.48,37687596.0,550527881.26,,785.71,2.46,24.37,0.2103,34.97,0.029
2011-02-16,1082080.0,15852173.77,0.67,2.12,0.58,22.37,0.0,9216376.01,844731.0,629116.0,12375076.33,,,,,,,,2.26,,108130.0,,,,,,,7000.0,17.43,0.15,0.13,,2.19,2.19,37754752.0,553096711.25,6030.0,786.24,2.17,24.72,0.2153,35.35,0.028
2011-02-17,988519.0,14730973.54,0.61,1.99,0.53,20.48,0.0,7891015.51,841397.0,529525.0,12538552.06,,,,,,,,0.19,,9364.0,,,,,,6030.0,99591.0,17.41,2.05,,,2.21,2.21,37279956.0,555548295.49,,780.97,2.18,17.49,0.216,38.62,0.0259
2011-02-18,992311.0,14752704.46,0.62,2.06,0.53,20.76,0.0,8181497.83,811263.0,550312.0,12061060.77,,,,0.62,,,,0.56,23699.0,30134.0,,,0.62,,,,2912.0,16.93,0.05,,,2.13,2.13,37347884.0,555251624.61,,791.37,2.09,17.24,0.2392,41.78,0.026
2011-02-21,1111930.0,16176454.99,0.69,2.37,0.59,23.59,0.0,7728147.78,969765.0,531214.0,14108226.12,,,3512.0,,,,,0.09,,3914.0,,,,3512.0,,158904.0,19098.0,20.51,0.4,,,2.5,2.5,37751324.0,549209566.57,,794.99,2.51,15.41,0.1974,35.33,0.0287
2011-02-22,1141608.0,16532193.84,0.71,2.46,0.61,23.65,0.0,7692774.42,984259.0,531214.0,14253544.63,,,19678.0,,,,,0.32,,15184.0,,,,19678.0,,10000.0,,20.28,,,,2.52,2.52,38003988.0,550354672.06,,788.21,2.51,15.05,0.1894,34.53,0.0293
2011-02-23,1146894.0,16520313.14,0.71,2.44,0.61,23.59,0.0,7651815.8,989545.0,531214.0,14253796.14,,,6486.0,,,,,0.03,,1200.0,,,,6486.0,,,,20.31,,,,2.53,2.53,38135784.0,549322861.21,,785.83,2.52,15.13,0.1898,34.59,0.0293
