,CBOT FP Equity_DX_SI_QTY,CBOT FP Equity_DX_SHORT_INTEREST_VALUE,CBOT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,CBOT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CBOT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CBOT FP Equity_DX_SI_MV,CBOT FP Equity_DX_DSS,CBOT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CBOT FP Equity_DX_SUPPLY_SI_QTY,CBOT FP Equity_DX_BROKER_SI_QTY,CBOT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CBOT FP Equity_DX_BROKER_SI_MV_NEW_x,CBOT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,CBOT FP Equity_DX_SUPPLY_SI_QTY_INC_x,CBOT FP Equity_DX_BROKER_SI_MV_INC_x,CBOT FP Equity_DX_SUPPLY_SI_MV_NEW,CBOT FP Equity_DX_BROKER_SI_QTY_ADD,CBOT FP Equity_DX_BROKER_SI_QTY_NEW,CBOT FP Equity_DX_SUPPLY_SI_MV_DEC,CBOT FP Equity_DX_BROKER_SI_QTY_INC,CBOT FP Equity_DX_SUPPLY_SI_QTY_DEC,CBOT FP Equity_DX_BROKER_SI_MV_NEW_y,CBOT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,CBOT FP Equity_DX_BROKER_SI_MV_INC_y,CBOT FP Equity_DX_SUPPLY_SI_QTY_INC_y,CBOT FP Equity_DX_BROKER_SI_MV_ADD,CBOT FP Equity_DX_SUPPLY_SI_QTY_ADD,CBOT FP Equity_DX_BROKER_SI_QTY_DEC,CBOT FP Equity_DX_SUPPLY_SI_MV,CBOT FP Equity_DX_BROKER_SI_MV_DEC,CBOT FP Equity_DX_SUPPLY_SI_MV_RMV,CBOT FP Equity_DX_BROKER_SI_MV_RMV,CBOT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CBOT FP Equity_DX_UTILIZATION_QUANTITY,CBOT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CBOT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CBOT FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,CBOT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CBOT FP Equity_DX_ACTIVE_UTILIZATION_MV,CBOT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CBOT FP Equity_DX_BROKER_SI_CON_RATIO,CBOT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CBOT FP Equity_DX_DEMAND_SUPPLY_RATIO
2011-12-12,4200.0,8021.16,0.02,0.25,0.01,0.01,0.0,4010.58,2100.0,2100.0,4010.58,,,,,,,,,,,,,,,,,,0.01,,,,100.0,1.83,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0367
2011-12-13,4200.0,8284.15,0.02,0.24,0.01,0.01,0.0,4142.07,2100.0,2100.0,4142.07,,,,,,,,,,,,,,,,,,0.01,,,,100.0,1.83,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0367
2011-12-14,4200.0,8251.27,0.02,0.25,0.01,0.01,0.0,4125.64,2100.0,2100.0,4125.64,,,,,,,,,,,,,,,,,,0.01,,,,100.0,1.83,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0367
2011-12-15,2100.0,3977.71,0.01,0.12,0.01,0.01,0.0,3977.71,0.0,2100.0,0.0,,,,,,,,0.01,,2100.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0243
2011-12-16,2100.0,4010.58,0.01,0.12,0.01,0.01,0.0,4010.58,0.0,2100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0243
2011-12-19,2100.0,4059.89,0.01,0.12,0.01,0.01,0.0,4059.89,0.0,2100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0243
2011-12-20,2100.0,3977.71,0.01,0.12,0.01,0.01,0.0,3977.71,0.0,2100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0243
2011-12-21,2100.0,3928.4,0.01,0.12,0.01,0.01,0.0,3928.4,0.0,2100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0243
2011-12-22,430.0,817.85,0.0,0.02,0.0,0.0,0.0,817.85,0.0,430.0,0.0,,,,,,,,,,,,,,,,,1670.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.005
2011-12-23,430.0,821.21,0.0,0.02,0.0,0.0,0.0,821.21,0.0,430.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.005
2011-12-26,430.0,821.21,0.0,0.02,0.0,0.0,0.0,821.21,0.0,430.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.005
2011-12-27,1430.0,2775.78,0.01,0.07,0.0,0.0,0.0,834.68,1000.0,430.0,1941.11,,,,,,,,,,,,,,,,1000.0,,0.0,,,,100.0,1.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0165
2011-12-28,1430.0,2786.98,0.01,0.07,0.0,0.0,0.0,2786.98,1000.0,1430.0,1948.93,,,,,,1000.0,,,,,,,,,0.0,,,0.0,,,,100.0,1.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0165
2011-12-29,1000.0,1995.9,0.0,0.06,0.0,0.0,0.0,1995.9,1000.0,1000.0,1995.9,,,,,,,,,,,,,,,,,430.0,0.0,0.0,,,100.0,1.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0116
2011-12-30,1000.0,1995.9,0.0,0.06,0.0,0.0,0.0,1995.9,1000.0,1000.0,1995.9,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0116
2012-01-02,1000.0,1956.76,0.0,0.07,0.0,0.0,0.0,1956.76,1000.0,1000.0,1956.76,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0116
2012-01-03,1000.0,1925.45,0.0,0.07,0.0,0.0,0.0,1925.45,1000.0,1000.0,1925.45,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0116
2012-01-04,2000.0,4085.72,0.01,0.15,0.01,0.01,0.0,2042.86,1000.0,1000.0,2042.86,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0231
2012-01-05,1000.0,1995.9,0.0,0.08,0.0,0.0,0.0,1995.9,1000.0,1000.0,1995.9,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0116
2012-01-06,1000.0,1972.42,0.0,0.08,0.0,0.0,0.0,1972.42,1000.0,1000.0,1972.42,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0116
2012-01-09,2000.0,4085.72,0.01,0.16,0.01,0.01,0.0,2042.86,1000.0,1000.0,2042.86,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0231
2012-01-10,1000.0,2003.72,0.0,0.07,0.0,0.0,0.0,2003.72,1000.0,1000.0,2003.72,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0116
2012-01-11,2000.0,4117.03,0.01,0.15,0.01,0.01,0.0,2058.51,1000.0,1000.0,2058.51,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0231
2012-01-12,1000.0,2050.69,0.0,0.07,0.0,0.0,0.0,2050.69,1000.0,1000.0,2050.69,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0116
2012-01-13,1000.0,2050.69,0.0,0.07,0.0,0.0,0.0,2050.69,1000.0,1000.0,2050.69,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0116
2012-01-16,1000.0,2050.69,0.0,0.07,0.0,0.0,0.0,2050.69,1000.0,1000.0,2050.69,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0116
2012-01-17,2000.0,4179.64,0.01,0.15,0.01,0.01,0.0,2089.82,1000.0,1000.0,2089.82,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0231
2012-01-18,2000.0,4226.61,0.01,0.15,0.01,0.01,0.0,2113.3,1000.0,1000.0,2113.3,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0231
2012-01-19,1000.0,2113.3,0.0,0.08,0.0,0.0,0.0,2113.3,1000.0,1000.0,2113.3,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0116
2012-01-20,2000.0,4242.26,0.01,0.15,0.01,0.01,0.0,2121.13,1000.0,1000.0,2121.13,,,,,,,,,,,,,,,,,,0.0,,,,100.0,1.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0231
2012-01-23,2000.0,4383.15,0.01,0.14,0.01,0.01,0.0,2191.57,1000.0,1000.0,2191.57,,,,,,,,,,,,,,,,,,0.0,,,,100.0,0.88,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0175
2012-01-24,1000.0,2191.57,0.0,0.08,0.0,0.0,0.0,2191.57,1000.0,1000.0,2191.57,,,,,,,,,,,,,,,,,,0.0,,,,100.0,0.88,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0088
2012-01-25,2000.0,4414.46,0.01,0.16,0.01,0.01,0.0,2207.23,1000.0,1000.0,2207.23,,,,,,,,,,,,,,,,,,0.0,,,,100.0,0.88,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0175
2012-01-26,2000.0,4414.46,0.01,0.16,0.01,0.01,0.0,4414.46,2000.0,2000.0,4414.46,,,1000.0,0.0,,,,,1000.0,,,,0.0,1000.0,,,,0.01,,,,100.0,1.75,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0175
2012-01-27,3000.0,6692.13,0.01,0.22,0.01,0.01,0.0,4461.42,2000.0,2000.0,4461.42,,,,,,,,,,,,,,,,,,0.01,,,,100.0,1.75,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0263
2012-01-30,3000.0,6809.53,0.01,0.23,0.01,0.01,0.0,4539.69,2000.0,2000.0,4539.69,,,,,,,,,,,,,,,,,,0.01,,,,100.0,1.75,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0263
2012-01-31,3000.0,6926.94,0.01,0.22,0.01,0.01,0.0,4617.96,2000.0,2000.0,4617.96,,,,,,,,,,,,,,,,,,0.01,,,,100.0,1.75,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0263
2012-02-01,2000.0,4571.0,0.01,0.15,0.01,0.01,0.0,4571.0,2000.0,2000.0,4571.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,1.75,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0175
2012-02-02,2000.0,4492.73,0.01,0.14,0.01,0.01,0.0,4492.73,2000.0,2000.0,4492.73,,,,,,,,,,,,,,,,,,0.01,,,,100.0,2.31,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0231
2012-02-03,3000.0,6973.9,0.01,0.2,0.01,0.01,0.0,4649.27,2000.0,2000.0,4649.27,,,,,,,,,,,,,,,,,,0.01,,,,100.0,2.31,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0347
2012-02-06,2000.0,4571.0,0.01,0.15,0.01,0.01,0.0,4571.0,2000.0,2000.0,4571.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,2.31,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0231
2012-02-07,2000.0,4539.69,0.01,0.14,0.01,0.01,0.0,4539.69,2000.0,2000.0,4539.69,,,,,,,,,,,,,,,,,,0.01,,,,100.0,2.31,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0231
2012-02-08,2000.0,4477.07,0.01,0.14,0.01,0.01,0.0,4477.07,2000.0,2000.0,4477.07,,,,,,,,,,,,,,,,,,0.01,,,,100.0,2.31,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0231
2012-02-09,2000.0,4383.15,0.01,0.14,0.01,0.01,0.0,4383.15,2000.0,2000.0,4383.15,,,,,,,,,,,,,,,,,,0.01,,,,100.0,2.31,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0231
2012-02-10,3000.0,6410.35,0.01,0.19,0.01,0.01,0.0,4273.57,2000.0,2000.0,4273.57,,,,,,,,,,,,,,,,,,0.01,,,,100.0,2.31,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0347
2012-02-13,3000.0,6480.8,0.01,0.18,0.01,0.01,0.0,4320.53,2000.0,2000.0,4320.53,,,,,,,,,,,,,,,,,,0.01,,,,100.0,2.31,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0347
2012-02-14,2000.0,4257.91,0.01,0.12,0.01,0.01,0.0,4257.91,2000.0,2000.0,4257.91,,,,,,,,,,,,,,,,,,0.01,,,,100.0,2.31,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0231
2012-02-15,3000.0,6574.72,0.01,0.17,0.01,0.01,0.0,4383.15,2000.0,2000.0,4383.15,,,,,,,,,,,,,,,,,,0.01,,,,100.0,2.31,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0347
2012-02-16,4000.0,8515.83,0.02,0.23,0.01,0.01,0.0,4257.91,2000.0,2000.0,4257.91,,,,,,,,,,,,,,,,,,0.01,,,,100.0,2.31,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0462
2012-02-17,4000.0,8609.75,0.02,0.22,0.01,0.01,0.0,4304.88,2000.0,2000.0,4304.88,,,,,,,,,,,,,,,,,,0.01,,,,100.0,2.31,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0462
2012-02-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.01,,2000.0,,,,,,,2000.0,0.0,0.01,,,0.0,0.0,86500.0,190248.14,,0.24,0.0,,0.0,,0.0
2012-02-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,194310.38,,0.25,0.0,,0.0,,0.0
2012-02-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,190248.14,,0.24,0.0,,0.0,,0.0
2012-02-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,190925.18,,0.24,0.0,,0.0,,0.0
2012-02-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,190925.18,,0.24,0.0,,0.0,,0.0
2012-02-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,190925.18,,0.24,0.0,,0.0,,0.0
2012-02-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,188217.02,,0.24,0.0,,0.0,,0.0
2012-02-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,193633.34,,0.25,0.0,,0.0,,0.0
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,194987.42,,0.25,0.0,,0.0,,0.0
2012-03-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,194310.38,,0.25,0.0,,0.0,,0.0
2012-03-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,192279.26,,0.25,0.0,,0.0,,0.0
2012-03-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,186862.94,,0.24,0.0,,0.0,,0.0
2012-03-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,188217.02,,0.24,0.0,,0.0,,0.0
2012-03-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,187539.98,,0.24,0.0,,0.0,,0.0
2012-03-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,188894.06,,0.24,0.0,,0.0,,0.0
2012-03-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,189571.1,,0.24,0.0,,0.0,,0.0
2012-03-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,188217.02,,0.24,0.0,,0.0,,0.0
2012-03-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,190248.14,,0.24,0.0,,0.0,,0.0
2012-03-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,184831.82,,0.24,0.0,,0.0,,0.0
2012-03-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,87076.0,192196.54,,0.25,0.0,,0.0,,0.0
2012-03-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,191602.22,,0.24,0.0,,0.0,,0.0
2012-03-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,192279.26,,0.25,0.0,,0.0,,0.0
2012-03-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,87121.0,190932.07,,0.24,0.0,,0.0,,0.0
2012-03-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,186185.9,,0.24,0.0,,0.0,,0.0
2012-03-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86676.0,196062.57,,0.25,0.0,,0.0,,0.0
2012-03-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,196341.5,,0.25,0.0,,0.0,,0.0
2012-03-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,194987.42,,0.25,0.0,,0.0,,0.0
2012-03-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,197018.54,,0.25,0.0,,0.0,,0.0
2012-03-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,197018.54,,0.25,0.0,,0.0,,0.0
2012-03-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,196341.5,,0.25,0.0,,0.0,,0.0
2012-04-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,195664.46,,0.25,0.0,,0.0,,0.0
2012-04-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,197695.58,,0.25,0.0,,0.0,,0.0
2012-04-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,192956.3,,0.25,0.0,,0.0,,0.0
2012-04-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,199049.65,,0.25,0.0,,0.0,,0.0
2012-04-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,199049.65,,0.25,0.0,,0.0,,0.0
2012-04-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,199049.65,,0.25,0.0,,0.0,,0.0
2012-04-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,196341.5,,0.25,0.0,,0.0,,0.0
2012-04-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,192956.3,,0.25,0.0,,0.0,,0.0
2012-04-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,196341.5,,0.25,0.0,,0.0,,0.0
2012-04-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,195664.46,,0.25,0.0,,0.0,,0.0
2012-04-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,195664.46,,0.25,0.0,,0.0,,0.0
2012-04-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,195664.46,,0.25,0.0,,0.0,,0.0
2012-04-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,194310.38,,0.25,0.0,,0.0,,0.0
2012-04-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,195664.46,,0.25,0.0,,0.0,,0.0
2012-04-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,194310.38,,0.25,0.0,,0.0,,0.0
2012-04-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,189571.1,,0.24,0.0,,0.0,,0.0
2012-04-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,191602.22,,0.24,0.0,,0.0,,0.0
2012-04-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,192279.26,,0.25,0.0,,0.0,,0.0
2012-04-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,192279.26,,0.25,0.0,,0.0,,0.0
2012-04-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,192279.26,,0.25,0.0,,0.0,,0.0
2012-04-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,189571.1,,0.24,0.0,,0.0,,0.0
2012-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,189571.1,,0.24,0.0,,0.0,,0.0
2012-05-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,189571.1,,0.24,0.0,,0.0,,0.0
2012-05-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,187539.98,,0.24,0.0,,0.0,,0.0
2012-05-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,186185.9,,0.24,0.0,,0.0,,0.0
2012-05-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,186185.9,,0.24,0.0,,0.0,,0.0
2012-05-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,186185.9,,0.24,0.0,,0.0,,0.0
2012-05-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,182800.7,,0.23,0.0,,0.0,,0.0
2012-05-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,182800.7,,0.23,0.0,,0.0,,0.0
2012-05-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,183477.74,,0.23,0.0,,0.0,,0.0
2012-05-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,86500.0,178738.47,,0.23,0.0,,0.0,,0.0
