,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_x,CDI FP Equity_y,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity,CDI FP Equity
2008-02-15,1604959.0,94293629.33,2.86,4.98,0.88,125.86,0.0,47667557.92,813828.0,811343.0,47813555.22,,,,,,,,,,,,,,,,,20841.0,60.26,1.58,,,8.84,8.84,8392515.0,493072220.86,,618.97,8.87,21.92,0.1721,29.16,0.1743
2008-02-18,1604080.0,95040866.12,2.86,4.99,0.88,125.37,0.0,49204539.58,813828.0,830464.0,48218865.64,,,,,,20000.0,,,,,,,,,1.46,,879.0,59.91,0.07,,,8.84,8.84,8388875.0,497036273.61,,615.41,8.87,21.84,0.1724,29.27,0.1743
2008-02-19,1612656.0,96248507.54,2.87,5.1,0.89,126.09,0.0,50076611.36,813828.0,839040.0,48571877.94,,,,1.13,,,,,16454.0,,,,1.13,,,,7878.0,60.14,0.58,,,8.82,8.82,8416252.0,502309044.25,,621.16,8.83,21.75,0.1732,29.39,0.1747
2008-02-20,1575321.0,92375196.66,2.81,5.09,0.87,124.18,0.0,48271891.11,823928.0,823205.0,48314287.08,,,,1.11,,,,0.14,10000.0,2400.0,,,1.11,,,12500.0,25835.0,61.3,1.92,,,8.96,8.96,8368871.0,490741953.2,,616.84,9.04,22.36,0.1767,29.75,0.1714
2008-02-21,1590751.0,94570582.17,2.83,5.22,0.88,124.06,0.0,49857080.2,823928.0,838635.0,48982745.02,,,,,,23761.0,,,,,,,,,1.8,,8331.0,60.18,0.63,,,8.97,8.97,8358781.0,496931817.38,,612.62,8.94,21.79,0.1735,29.73,0.1732
2008-02-22,1590751.0,94864478.05,2.83,5.3,0.88,125.26,0.0,50012020.45,823928.0,838635.0,49134968.12,,,,,,,,,,,,,,,,,,61.14,,,,9.0,9.0,8330987.0,496818630.57,,616.79,9.02,22.02,0.1729,29.45,0.1738
2008-02-25,1602634.0,97774495.49,2.86,5.44,0.88,126.71,0.0,51888933.07,831857.0,850518.0,50750451.13,,,,0.87,,,,,11883.0,,,,0.87,,,7929.0,,62.22,,,,9.23,9.23,8176910.0,498862029.59,,611.99,9.23,21.9,0.1702,29.11,0.1779
2008-02-26,1614907.0,99794522.13,2.88,5.55,0.89,128.86,0.0,53316887.94,831947.0,862791.0,51410857.29,,,90.0,1.19,,,,,15727.0,,,,1.19,90.0,,,3454.0,63.2,0.26,,,9.36,9.36,8054089.0,497709133.09,,613.35,9.34,21.84,0.1666,28.53,0.1817
2008-02-27,1619444.0,98175639.35,2.89,5.69,0.89,129.46,0.0,52580071.26,834247.0,867328.0,50574600.05,,,2300.0,0.35,,,,0.4,4537.0,5173.0,,,0.35,2300.0,,5173.0,,63.5,,,,9.4,9.4,8041044.0,487472636.13,,612.09,9.4,21.82,0.1655,28.4,0.1825
2008-02-28,1659104.0,97927848.14,2.96,6.1,0.91,131.6,0.0,51763812.08,864247.0,876988.0,51011780.44,,,,0.78,,4244.0,,,7416.0,,,,0.78,,0.33,30000.0,2000.0,64.86,0.21,,,9.88,9.88,7884732.0,465392668.5,,588.39,9.93,21.23,0.1632,27.74,0.1896
2008-02-29,1656957.0,96243864.51,2.95,6.23,0.91,129.9,0.0,50814884.56,860689.0,874841.0,49992869.76,,,,,,,,0.32,,3558.0,,,,,,,2147.0,63.42,0.18,,,9.84,9.84,7885059.0,458001354.33,,576.07,9.92,21.06,0.1642,28.09,0.1895
2008-03-03,1643163.0,94571503.88,2.93,6.26,0.9,127.32,0.0,51099172.41,865139.0,887839.0,49792684.17,,,1242.0,2.04,,,,0.42,30000.0,2792.0,,,2.04,1242.0,,6000.0,17002.0,62.7,1.27,,,9.86,9.86,7909366.0,455219985.7,,569.69,9.92,21.48,0.1686,28.67,0.1873
2008-03-04,1665767.0,94815394.33,2.97,6.86,0.92,128.21,0.0,51822380.96,865139.0,910443.0,49243679.0,,,,1.6,,,,,22604.0,,,,1.6,,,,,62.11,,,,9.86,9.86,7908858.0,450171896.76,,565.06,9.9,21.15,0.1668,28.45,0.1899
2008-03-05,1669775.0,95557210.08,2.98,7.23,0.92,127.85,0.0,52331832.92,865139.0,914451.0,49509825.68,,,,0.49,,,,,6808.0,,,,0.49,,,,2800.0,61.64,0.21,,,9.79,9.79,7969324.0,456065258.87,,568.01,9.79,20.97,0.1658,28.44,0.189
2008-03-06,1662572.0,92870511.87,2.96,7.58,0.91,127.59,0.0,50678458.53,865139.0,907248.0,48326269.04,,,,,,,,,,,,,,,,,7203.0,61.93,0.52,,,9.73,9.73,8027016.0,448385444.16,,573.92,9.74,21.18,0.1671,28.46,0.187
2008-03-07,1692718.0,92036771.34,3.02,8.34,0.93,128.43,0.0,50968157.27,881139.0,937394.0,47909450.16,,,,2.14,,,,,30146.0,,,,2.14,,,16000.0,,62.09,,,,9.89,9.89,8032288.0,436733025.81,,560.41,9.97,20.67,0.1647,28.6,0.1899
2008-03-10,1665296.0,90280868.71,2.97,8.34,0.92,124.29,0.0,49668529.83,860297.0,916172.0,46639372.52,,,,0.89,,,,1.55,13000.0,22200.0,,,0.89,,,1358.0,34222.0,59.13,3.07,,,9.66,9.66,8046217.0,436210415.79,,549.56,9.71,20.52,0.172,30.3,0.187
2008-03-11,1666854.0,91372927.4,2.97,8.35,0.92,124.31,0.0,50296787.89,856618.0,917530.0,46957738.54,,,6200.0,0.09,,,,0.69,1358.0,9879.0,,,0.09,6200.0,,,,58.91,,,,9.54,9.54,8119579.0,445095792.73,,554.81,9.6,20.53,0.1719,30.29,0.1857
2008-03-12,1662481.0,93156335.59,2.96,8.46,0.91,124.21,0.0,50832112.92,862618.0,907157.0,48336391.15,,,6000.0,0.8,,,,,11582.0,,,,0.8,6000.0,,,21955.0,59.55,1.56,,,9.64,9.64,8084443.0,453007935.21,,559.07,9.63,20.83,0.1754,30.65,0.1858
2008-03-13,1661192.0,89846973.48,2.96,8.51,0.91,125.54,0.0,48994636.48,862618.0,905868.0,46655423.68,,,,0.38,,,,,2024.0,,,,0.38,,,,3313.0,60.33,0.2,,,9.65,9.65,8078633.0,436939694.44,,561.02,9.71,21.03,0.1748,30.31,0.1858
2008-03-14,1670263.0,89846043.43,2.98,8.72,0.92,123.89,0.0,49215991.21,872358.0,914939.0,46925493.03,,,9740.0,1.04,,,,,15424.0,,,,1.04,9740.0,,,6353.0,59.38,0.51,,,9.74,9.74,8084085.0,434855500.01,,547.15,9.79,20.7,0.1778,31.17,0.1865
2008-03-17,1931248.0,99338046.82,3.44,10.14,1.06,141.42,1.0,60486272.8,873483.0,1175924.0,44929545.63,,,1125.0,19.21,,,,,271985.0,,,,19.21,1125.0,,,11000.0,58.64,0.85,,,10.17,10.17,7718586.0,397022680.37,,510.79,10.3,17.87,0.1548,26.59,0.2248
2008-03-18,1946942.0,102669453.67,3.47,10.19,1.07,141.26,1.0,62838425.1,1092371.0,1191618.0,57604763.66,,,8199.0,0.56,,,,,15694.0,,,,0.56,8199.0,,210689.0,,72.67,,,,12.24,12.24,7829723.0,412890257.03,,514.28,12.38,18.0,0.1551,26.85,0.2182
2008-03-19,2389935.0,125954076.99,4.26,12.54,1.32,170.52,1.0,86147079.2,1074172.0,1634611.0,56610888.07,,,,32.78,,,,,502776.0,,,,32.78,,,,59783.0,71.88,4.29,1.18,,11.98,11.98,7891076.0,415874571.49,18199.0,522.43,12.09,14.75,0.2281,41.64,0.2666
2008-03-20,2389935.0,126144167.65,4.26,12.58,1.32,171.13,1.0,86277092.91,1099371.0,1634611.0,58026364.62,,25199.0,,,1.69,,,,,,,25199.0,,,,,,73.9,,,,12.14,12.14,7955797.0,419918278.36,,529.75,12.24,14.76,0.2271,41.49,0.2639
2008-03-21,2389935.0,126144167.65,4.26,13.03,1.32,170.87,1.0,86277092.91,1099371.0,1634611.0,58026364.62,,,,,,,,,,,,,,,,,,73.69,,,,12.14,12.14,7956530.0,419956967.14,,529.76,12.21,14.75,0.227,41.48,0.2639
2008-03-24,2389935.0,126144167.65,4.26,13.03,1.32,170.71,1.0,86277092.91,1099371.0,1634611.0,58026364.62,,,,,,,,,,,,,,,,,,73.39,,,,12.14,12.14,7954466.0,419848026.29,,529.12,12.18,14.62,0.2277,41.59,0.264
2008-03-25,2396581.0,132327902.9,4.27,13.07,1.32,170.84,1.0,93803756.84,1038471.0,1698873.0,57339472.21,,,,0.94,,50000.0,,3.77,18352.0,60900.0,,,0.94,,3.47,,4090.0,69.2,0.27,,,11.49,11.49,8000199.0,441733267.69,,540.0,11.36,14.5,0.2265,41.7,0.2651
2008-03-26,2443176.0,136979940.36,4.35,13.23,1.34,177.86,1.0,96748303.44,1052358.0,1725604.0,59001863.18,,,,3.29,,,,0.5,35600.0,8275.0,,,3.29,,,22162.0,8869.0,72.6,0.06,,,11.58,11.58,8035857.0,450541104.13,,558.79,11.5,14.49,0.2268,41.9,0.2688
2008-03-27,2420874.0,134632005.29,4.31,12.93,1.33,179.27,1.0,95509945.75,1053608.0,1717404.0,58594275.39,,,15352.0,,,,,1.02,,14102.0,,,,15352.0,,,8200.0,74.46,0.17,,,11.62,11.62,8014194.0,445693170.73,,563.35,11.67,14.74,0.2271,41.74,0.267
2008-03-28,2410231.0,132717352.09,4.29,12.87,1.33,177.07,1.0,94463672.51,1044849.0,1715520.0,57533735.4,,,,0.07,,,,3.82,1332.0,53759.0,,,0.07,,,45000.0,3216.0,73.18,0.23,,,11.55,11.55,8003013.0,440679210.46,,556.96,11.61,14.82,0.2287,41.93,0.2664
2008-03-31,2390240.0,133289575.77,4.26,12.9,1.32,174.82,1.0,96057449.45,1025810.0,1722568.0,57203368.58,,,,0.51,,,,1.87,8348.0,27039.0,,,0.51,,,8000.0,1300.0,71.37,0.09,,,11.46,11.46,7929023.0,442154809.55,,551.54,11.46,14.82,0.2302,42.09,0.2669
2008-04-01,2411516.0,139367095.75,4.3,13.05,1.33,179.08,1.0,99682730.24,1044810.0,1724844.0,60381990.13,,,,4.14,,,,,45576.0,,,,4.14,,,19000.0,43300.0,74.44,3.24,,,11.63,11.63,7935684.0,458621560.84,,564.16,11.66,14.88,0.2267,41.54,0.2685
2008-04-02,2484440.0,144549818.94,4.43,13.25,1.37,186.74,1.0,104597832.47,1044810.0,1797768.0,60789190.45,,,,,,78462.0,,,,,,,,,5.67,,5538.0,75.55,0.0,,,11.42,11.42,8100954.0,471330132.31,,587.56,11.39,14.46,0.2121,40.0,0.2716
2008-04-03,2587440.0,146220774.08,4.61,13.76,1.42,195.49,1.0,101142929.84,1154670.0,1789768.0,65252427.58,,36192.0,48248.0,,2.65,,,0.08,,1332.0,,36192.0,,48248.0,,26752.0,8000.0,84.36,0.37,,,12.42,12.42,8140740.0,460047500.39,,589.62,12.52,13.86,0.1956,37.99,0.2784
2008-04-04,2536748.0,142730599.79,4.52,13.44,1.4,187.98,1.0,100544088.12,1106586.0,1786968.0,62262267.87,,,3108.0,,,,,1.1,,15000.0,,,,3108.0,,,2800.0,78.55,0.31,2.65,,11.97,11.97,8136051.0,457776428.38,36192.0,576.22,12.0,14.04,0.2061,39.25,0.2745
2008-04-07,2568509.0,145314385.33,4.58,13.49,1.41,190.38,1.0,100847716.9,1144012.0,1782537.0,64722919.25,,36192.0,1234.0,,2.56,,,,,,,36192.0,,1234.0,,,4431.0,81.33,0.23,,,12.18,12.18,8245984.0,466519718.8,,584.73,12.21,14.12,0.206,39.24,0.2735
2008-04-08,2705528.0,148267499.55,4.82,14.31,1.49,199.89,1.0,101475791.23,1214797.0,1851691.0,66572925.38,,,2920.0,4.58,,,,,69154.0,,,,4.58,2920.0,,67865.0,,86.46,,,,12.56,12.56,8454389.0,463314782.64,,593.86,12.71,13.43,0.1945,37.37,0.2798
2008-04-09,2672256.0,144998825.56,4.76,14.15,1.47,192.85,1.0,100632730.13,1186620.0,1854611.0,64386984.78,,,1166.0,0.09,,,,,2920.0,,,,0.09,1166.0,,6849.0,,81.59,,2.54,,12.95,12.95,7974709.0,432714320.48,36192.0,547.61,12.97,13.25,0.1973,37.92,0.2917
2008-04-10,2720932.0,144393763.01,4.85,14.16,1.5,195.33,1.0,99687307.24,1227351.0,1878491.0,65132766.8,,,15935.0,1.58,,,,0.22,23880.0,3108.0,,,1.58,15935.0,,27904.0,,83.85,,,,13.43,13.43,7910318.0,419782847.44,,535.07,13.55,12.98,0.1926,37.28,0.2978
2008-04-11,2813457.0,148610149.42,5.01,13.92,1.55,198.76,1.0,103305730.87,1245604.0,1955763.0,65794286.73,,,3000.0,4.59,,,,0.99,77272.0,14731.0,,,4.59,3000.0,,29984.0,,83.48,,,,13.64,13.64,7885788.0,416536713.72,,525.22,13.71,12.51,0.1945,37.93,0.3081
2008-04-14,2826599.0,148450001.71,5.04,13.69,1.56,198.98,1.0,101927090.8,1259389.0,1940768.0,66141783.54,,28137.0,2063.0,0.33,1.87,,,1.23,5005.0,17365.0,,28137.0,0.33,2063.0,,950.0,20000.0,83.96,1.41,,,13.74,13.74,7907814.0,415310060.55,,524.58,13.8,12.43,0.1934,37.82,0.3083
2008-04-15,2942776.0,155066432.95,5.24,14.07,1.62,206.06,1.0,107071167.87,1270369.0,2031945.0,66940735.33,,,25000.0,4.64,,33000.0,,0.93,73044.0,14020.0,,,4.64,25000.0,2.18,,14867.0,84.36,1.01,,,13.97,13.97,7825673.0,412365466.33,,517.11,14.03,11.99,0.1969,38.62,0.3235
2008-04-16,3022573.0,164656421.83,5.39,14.53,1.66,211.04,1.0,113404106.0,1272022.0,2081742.0,69294138.14,,,2500.0,0.16,,77297.0,,0.72,2500.0,10847.0,,,0.16,2500.0,5.1,10000.0,30000.0,84.27,1.95,,,13.98,13.98,7828189.0,426445147.94,,525.22,13.83,11.65,0.1882,37.73,0.3321
2008-04-17,3022103.0,164462557.87,5.39,13.77,1.66,216.07,1.0,113292011.07,1271482.0,2081812.0,69193929.53,,,,0.79,,,,0.27,70.0,3950.0,,,0.79,,,3410.0,,87.5,,,,14.12,14.12,7731049.0,420722951.39,,530.24,14.16,11.73,0.1854,37.21,0.3357
2008-04-18,3717449.0,208364630.06,6.63,16.57,2.05,265.78,1.0,142324102.93,1540489.0,2539215.0,86345077.12,,,1064.0,13.14,,267403.0,,0.23,190000.0,3410.0,,,13.14,1064.0,19.31,271353.0,,106.68,,,,17.14,17.14,7446472.0,417377987.84,,516.41,17.12,14.47,0.1698,34.3,0.4136
2008-04-21,3782613.0,211505635.99,7.29,16.71,2.08,272.62,1.0,146896494.56,1531739.0,2627129.0,85647522.32,,,,6.9,,,,1.56,87914.0,22750.0,,,6.9,,,14000.0,,107.63,,,,17.07,17.07,7443388.0,416198673.47,,522.1,17.09,14.09,0.1701,34.39,0.4215
2008-04-22,3599836.0,201228355.17,6.93,15.83,1.98,260.77,1.0,135687306.41,1528739.0,2427352.0,85455458.1,,,,2.05,,,,0.21,29234.0,3000.0,,,2.05,,,,113323.0,107.46,7.53,,8.15,16.85,16.85,7543021.0,421649683.16,,530.25,16.85,14.9,0.1883,36.69,0.3968
2008-04-23,3810679.0,214347946.56,7.34,16.97,2.1,276.24,1.0,149521552.41,1528739.0,2658195.0,85990466.65,8.18,,,7.96,,1832.0,115688.0,,113323.0,,8.18,,7.96,,0.13,,,107.9,,,,16.38,16.38,7805316.0,439043398.01,,549.28,16.42,14.18,0.1711,34.55,0.4083
2008-04-24,4085679.0,230661411.91,7.87,17.97,2.25,297.66,1.0,165596685.42,1820739.0,2933195.0,102791782.82,,,,19.46,,,,,275000.0,,,,19.46,,,292000.0,,129.64,,,,19.5,19.5,7517264.0,424395242.0,,533.93,19.54,13.27,0.154,32.12,0.4375
2008-04-25,4105079.0,241062189.27,7.91,17.9,2.26,300.47,1.0,173332123.15,1821639.0,2951695.0,106971945.1,,,900.0,1.31,,,,,18500.0,,,,1.31,900.0,,,,131.76,,,,19.64,19.64,7454290.0,437737609.16,,537.39,19.69,13.39,0.155,32.26,0.4426
2008-04-28,4066018.0,235534383.93,7.83,17.53,2.24,302.86,1.0,168747590.07,1814794.0,2913081.0,105126535.78,,,3553.0,0.96,,,,0.6,11386.0,10398.0,,,0.96,3553.0,,,50000.0,133.64,3.55,,,70.03,19.6,776721.0,44993529.84,,56.92,70.13,13.53,0.1551,32.05,0.439
2008-04-29,4214166.0,241702889.95,8.12,18.25,2.32,312.07,1.0,175576352.73,1814794.0,3061229.0,104087251.06,,,,11.17,,,,,154366.0,,,,11.17,,,,6218.0,132.29,0.44,,,70.03,19.57,776721.0,44548722.19,,56.17,70.2,13.0,0.1613,33.45,0.4544
2008-04-30,4485299.0,263354139.36,8.64,19.32,2.47,329.48,1.0,179533136.01,1894970.0,3057707.0,111263082.68,,,58176.0,1.4,,,,,19661.0,,,,1.4,58176.0,,22000.0,23183.0,137.59,2.13,,,66.19,20.61,968104.0,56842185.04,,70.58,66.09,12.72,0.1524,31.51,0.4878
2008-05-01,4515666.0,265137136.47,8.7,19.22,2.48,337.81,1.0,180509096.03,1908715.0,3074329.0,112070119.77,,,,2.05,,,,,16622.0,,,,2.05,,,13745.0,,141.59,,,,67.81,21.01,906073.0,53200037.53,,66.89,67.92,13.23,0.1486,30.73,0.497
2008-05-02,4606506.0,277139143.24,8.87,19.6,2.53,345.03,1.0,184959469.3,1999555.0,3074329.0,120298325.79,,,88998.0,,,,,0.44,,6051.0,,,,88998.0,,7893.0,,149.5,,,,72.28,21.77,766942.0,46141185.7,,57.55,72.2,12.86,0.1434,30.14,0.5014
2008-05-05,4615219.0,277332962.73,8.89,19.79,2.54,349.23,1.0,183874086.0,2023193.0,3059929.0,121575619.46,,,9309.0,,,,,,,,,,,9309.0,,14329.0,14400.0,152.77,1.02,,,68.68,22.11,922646.0,55442688.36,,69.78,68.65,13.2,0.1416,29.65,0.5043
2008-05-06,4649244.0,280302036.83,8.95,20.56,2.56,352.12,1.0,185358247.13,2039129.0,3074454.0,122938699.72,,,20788.0,1.12,,,,0.41,14525.0,5471.0,,,1.12,20788.0,,619.0,,154.27,,,,69.12,22.11,911094.0,54929684.04,,68.95,69.11,13.09,0.1398,29.4,0.5042
2008-05-07,4824892.0,292887385.3,9.29,21.56,2.66,367.27,1.0,194687725.77,2136735.0,3207196.0,129707095.46,,,45065.0,12.56,,,,,162651.0,,,,12.56,45065.0,,52541.0,29909.0,163.19,2.42,,,71.4,23.69,855848.0,51952889.92,,65.11,71.48,12.73,0.1468,31.06,0.5349
2008-05-08,5514318.0,335308069.96,10.62,24.73,3.03,420.2,1.0,235631423.81,2206339.0,3875083.0,134160429.59,,,51913.0,47.29,,48065.0,,,619822.0,,,,47.29,51913.0,3.67,17691.0,,168.61,,,,73.44,23.96,797916.0,48518724.16,,60.94,73.45,17.39,0.1589,31.92,0.5987
2008-05-09,6384926.0,381644986.7,12.3,28.87,3.51,485.82,1.0,271809155.63,2457359.0,4547371.0,146883259.55,,,36194.0,54.92,,12469.0,,0.13,719116.0,500.0,,,54.92,36194.0,0.94,215326.0,59297.0,186.65,4.49,,,74.71,27.22,831697.0,49712869.11,,62.98,74.77,20.56,0.1737,33.18,0.7073
2008-05-12,6238461.0,376661441.84,12.02,28.83,3.43,470.79,1.0,281428746.54,2476446.0,4661168.0,149521127.25,,,6209.0,0.0,,111297.0,,0.39,2500.0,5500.0,,,0.0,6209.0,8.11,18378.0,,186.41,,,,74.74,27.53,836986.0,50534956.23,,63.41,74.62,17.05,0.1688,34.25,0.6935
2008-05-13,6371007.0,382586589.14,12.27,29.82,3.51,482.34,1.0,261633632.29,2723285.0,4356843.0,163536520.9,,,225609.0,12.3,,,,2.21,158587.0,30032.0,,,12.3,225609.0,,51262.0,462912.0,206.82,35.61,,,74.22,30.85,946082.0,56813355.47,,71.63,74.28,16.71,0.1294,26.11,0.7217
2008-05-14,7330282.0,443981934.21,14.12,34.32,4.03,556.84,1.0,297090256.87,3249979.0,4905054.0,196845355.0,,,163737.0,71.88,,,,0.49,922361.0,6424.0,,,71.88,163737.0,,369381.0,374150.0,246.03,28.34,,,75.99,37.15,1026602.0,62179427.97,,77.85,75.96,15.58,0.13,26.6,0.838
2008-05-15,8538750.0,531167253.52,16.45,40.58,4.7,653.7,1.0,355451745.18,3661047.0,5714045.0,227741564.05,,,230858.0,62.81,,,,3.51,808991.0,46599.0,,,62.81,230858.0,,226809.0,,281.31,,,,80.71,47.04,875156.0,54440545.62,,67.72,80.6,14.31,0.1245,24.46,1.097
2008-05-16,8830662.0,549255891.36,17.01,41.44,4.86,685.08,1.0,369650799.34,3775043.0,5943061.0,234802850.33,,,83764.0,56.68,,,,2.26,679508.0,31117.0,,,56.68,83764.0,,61349.0,450492.0,294.23,34.24,,,82.61,47.52,794598.0,49422980.15,,62.13,82.57,19.3,0.1368,25.16,1.1116
2008-05-19,9756507.0,616930437.87,18.79,45.47,5.37,758.92,2.0,401735277.41,4306467.0,6353282.0,272309605.48,,,312222.0,53.71,,,,4.12,680513.0,55177.0,,,53.71,312222.0,,274379.0,270292.0,338.81,22.96,,,88.71,55.52,547994.0,34651149.06,,43.45,88.63,19.6,0.1413,26.34,1.2579
2008-05-20,10703011.0,658722622.28,20.61,49.25,5.89,833.63,2.0,420715791.46,4473592.0,6835845.0,275329648.19,,,78202.0,45.06,,,,1.28,543563.0,16432.0,,,45.06,78202.0,,105355.0,61000.0,349.92,4.64,,,90.4,58.22,475340.0,29255058.35,,36.44,90.57,21.17,0.1483,26.3,1.3929
2008-05-21,11262145.0,678315707.05,21.69,51.1,6.2,852.98,2.0,473463146.28,4712500.0,7860957.0,283832499.89,,,54869.0,68.15,,12895.0,,0.03,1012217.0,80.0,,,68.15,54869.0,0.96,184119.0,,356.41,,,,91.57,61.87,434109.0,26146258.4,,32.5,91.64,20.5,0.1366,23.92,1.4785
2008-05-22,10817365.0,660870439.47,20.83,49.06,5.95,814.93,2.0,452429087.74,4698155.0,7405522.0,287026624.28,,,6482.0,,,,,3.34,,43430.0,,,,6482.0,,22603.0,455435.0,353.49,37.12,,,91.27,61.7,449493.0,27461090.24,,34.03,91.22,20.5,0.1286,21.38,1.4207
2008-05-23,10777365.0,643375455.79,20.76,49.49,5.93,813.4,2.0,442086826.61,4658155.0,7405522.0,278077488.91,,,,,,,,3.03,,40000.0,,,,,,,,350.65,,,,90.53,61.13,487094.0,29078009.72,,36.26,90.63,20.55,0.1295,21.55,1.4142
2008-05-26,11129987.0,672871613.05,21.44,52.87,6.12,833.22,2.0,467919214.5,4676435.0,7739864.0,282717343.86,,,6185.0,23.66,,,,0.07,334342.0,900.0,,,23.66,6185.0,,12995.0,,348.08,,,,89.01,60.63,577539.0,34915548.29,,43.26,88.95,19.82,0.1306,22.41,1.4429
2008-05-27,10713563.0,652885573.43,20.63,52.9,5.9,809.08,2.0,462151356.22,4253153.0,7583699.0,259187558.36,,,,12.83,,,,31.24,160835.0,423282.0,,,12.83,,,,317000.0,320.76,21.5,,,86.46,53.95,666300.0,40604386.94,,50.17,86.47,17.7,0.1293,23.1,1.3589
2008-05-28,10173997.0,632406098.79,19.6,49.43,5.6,772.01,2.0,456396129.08,4215258.0,7342391.0,262016478.6,,,5200.0,0.39,,,,4.22,2610.0,57635.0,,,0.39,5200.0,,14540.0,243918.0,320.75,17.58,,,86.64,52.95,649933.0,40399224.91,,49.41,86.65,18.6,0.1309,23.41,1.2779
2008-05-29,8302256.0,517937019.45,15.99,40.54,4.57,635.5,1.0,371370977.28,3846900.0,5952880.0,239989217.4,,199080.0,56032.0,6.39,15.33,,,46.91,75724.0,624777.0,,199080.0,6.39,56032.0,,1307.0,1465235.0,297.12,111.52,,,78.07,44.18,1080753.0,67422877.3,,83.27,78.11,11.39,0.1293,28.57,0.9535
2008-05-30,6350003.0,398349758.81,12.23,32.47,3.49,486.98,1.0,281064541.62,2992503.0,4480386.0,187726344.11,,,11957.0,,,1300.0,,67.07,,875716.0,,,,11957.0,0.1,9362.0,1473794.0,231.76,112.4,,,70.64,34.72,1244010.0,78039503.83,,96.3,70.65,12.0,0.1463,32.32,0.7367
2008-06-02,5912804.0,362188389.65,11.39,26.86,3.25,452.11,1.0,246090268.69,2959132.0,4017477.0,181261420.78,,,16674.0,0.65,,,,18.69,25333.0,237488.0,,,0.65,16674.0,,187443.0,488242.0,228.08,37.83,,,68.55,34.35,1357829.0,83173719.09,,104.85,68.51,11.27,0.1372,30.97,0.6864
2008-06-03,5718801.0,349196774.68,11.01,26.12,3.15,433.81,1.0,242465301.09,2701732.0,3970858.0,164970961.65,,,1080.0,2.99,,,,20.69,39476.0,258623.0,,,2.99,1080.0,,143.0,86095.0,205.65,6.61,,,67.49,31.07,1301584.0,79476263.43,,98.53,67.61,11.52,0.1409,31.49,0.6578
2008-06-04,5513430.0,337368701.65,10.62,25.18,3.03,417.49,1.0,232731309.27,2673264.0,3803399.0,163577955.07,,,44288.0,0.88,,,,8.05,14937.0,103807.0,,,0.88,44288.0,,31051.0,182396.0,202.69,13.51,,,65.48,29.57,1409453.0,86244919.89,,106.6,65.53,12.1,0.1512,32.93,0.6098
2008-06-05,5491211.0,338092547.12,10.58,24.96,3.02,413.51,1.0,235809843.76,2483245.0,3829962.0,152892800.36,,,,10.18,,,,14.32,133000.0,190019.0,,,10.18,,,,106437.0,187.54,8.11,,,62.12,27.31,1514441.0,93243769.93,,114.53,62.08,14.45,0.1564,32.89,0.6038
2008-06-06,5103081.0,307521860.18,9.83,23.59,2.81,383.08,1.0,229484620.88,2065860.0,3808115.0,124492852.47,,,,,,,,31.84,,417385.0,,,,,,,21847.0,155.67,1.76,,,72.12,24.04,798457.0,48116614.63,,60.56,71.99,15.64,0.1776,35.36,0.5939
2008-06-09,4337837.0,256714362.75,8.35,20.46,2.39,327.48,1.0,180087808.97,1916638.0,3043038.0,113427153.39,,,21101.0,,,,,11.19,,146254.0,,,,21101.0,,10238.0,765077.0,143.39,54.88,2.59,,74.66,22.6,650397.0,38490669.75,34307.0,48.39,74.77,13.09,0.2007,40.03,0.5116
2008-06-10,3781529.0,222815048.06,7.28,18.09,2.08,284.25,1.0,166826354.25,1797579.0,2831311.0,105916853.02,,,754.0,0.89,,,,8.9,13157.0,116816.0,,,0.89,754.0,,13157.0,224884.0,132.89,17.55,1.22,,72.78,21.39,672137.0,39603620.11,16154.0,49.31,72.94,9.68,0.1998,40.63,0.4499
2008-06-11,3669255.0,216318127.27,7.07,17.51,2.02,273.3,1.0,165296536.97,1712805.0,2803811.0,100977111.15,,,,0.0,,,,6.27,2500.0,84774.0,,,0.0,,,,30000.0,124.96,2.39,,,77.1,20.39,508833.0,29997861.05,,37.09,77.11,9.74,0.21,41.86,0.4367
2008-06-12,3686497.0,219149953.97,7.1,17.58,2.03,275.94,1.0,167046021.71,1663042.0,2810015.0,98862301.46,,,2000.0,0.82,,,,3.75,6204.0,51763.0,,,0.82,2000.0,,,,122.31,,,,76.93,19.84,498683.0,29645041.48,,36.32,77.11,9.6,0.2077,41.46,0.4397
