,GLO FP Equity_DX_SI_QTY,GLO FP Equity_DX_SHORT_INTEREST_VALUE,GLO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,GLO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GLO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GLO FP Equity_DX_SI_MV,GLO FP Equity_DX_DSS,GLO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GLO FP Equity_DX_SUPPLY_SI_QTY,GLO FP Equity_DX_BROKER_SI_QTY,GLO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GLO FP Equity_DX_BROKER_SI_MV_NEW_x,GLO FP Equity_DX_SUPPLY_SI_QTY_NEW_x,GLO FP Equity_DX_SUPPLY_SI_QTY_INC_x,GLO FP Equity_DX_BROKER_SI_MV_INC_x,GLO FP Equity_DX_SUPPLY_SI_MV_NEW,GLO FP Equity_DX_BROKER_SI_QTY_ADD,GLO FP Equity_DX_BROKER_SI_QTY_NEW,GLO FP Equity_DX_SUPPLY_SI_MV_DEC,GLO FP Equity_DX_BROKER_SI_QTY_INC,GLO FP Equity_DX_SUPPLY_SI_QTY_DEC,GLO FP Equity_DX_BROKER_SI_MV_NEW_y,GLO FP Equity_DX_SUPPLY_SI_QTY_NEW_y,GLO FP Equity_DX_BROKER_SI_MV_INC_y,GLO FP Equity_DX_SUPPLY_SI_QTY_INC_y,GLO FP Equity_DX_BROKER_SI_MV_ADD,GLO FP Equity_DX_SUPPLY_SI_QTY_ADD,GLO FP Equity_DX_BROKER_SI_QTY_DEC,GLO FP Equity_DX_SUPPLY_SI_MV,GLO FP Equity_DX_BROKER_SI_MV_DEC,GLO FP Equity_DX_SUPPLY_SI_MV_RMV,GLO FP Equity_DX_BROKER_SI_MV_RMV,GLO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GLO FP Equity_DX_UTILIZATION_QUANTITY,GLO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GLO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GLO FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,GLO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GLO FP Equity_DX_ACTIVE_UTILIZATION_MV,GLO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,GLO FP Equity_DX_BROKER_SI_CON_RATIO,GLO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GLO FP Equity_DX_DEMAND_SUPPLY_RATIO
2007-08-06,9824.0,313830.21,0.16,0.9,0.06,0.46,0.0,303607.73,2154.0,9504.0,68810.09,,,,0.09,,,,,2000.0,,,,0.09,,,,,0.1,,,,0.4,0.4,536359.0,17134126.64,,50.13,0.2,21.01,0.6426,77.35,0.0182
2007-08-07,10824.0,341008.68,0.18,1.0,0.07,0.51,0.0,330927.13,2154.0,10504.0,67861.48,,,,0.05,,,,,1000.0,,,,0.05,,,,,0.1,,,,0.4,0.4,536163.0,16891744.21,,50.22,0.2,18.99,0.5381,69.99,0.0201
2007-08-08,12824.0,399413.48,0.21,1.58,0.08,0.6,0.0,389446.83,4154.0,12504.0,129379.57,,,2000.0,0.09,,,,,2000.0,,,,0.09,2000.0,,,,0.19,,,,0.77,0.77,534074.0,16634151.12,,50.23,0.38,31.42,0.4597,59.37,0.0238
2007-08-09,12824.0,392549.51,0.21,1.54,0.08,0.6,0.0,382754.14,4154.0,12504.0,127156.17,,,,,,,,,,,,,,,,,,0.19,,,,0.77,0.77,533782.0,16339352.95,,49.97,0.38,31.45,0.4594,59.32,0.0238
2007-08-10,12824.0,389247.85,0.21,1.5,0.08,0.59,0.0,379534.87,4154.0,12504.0,126086.68,,,,,,,,,,,,,,,,,,0.19,,,,100.0,0.77,0.0,0.0,,0.0,100.0,30.89,0.4643,60.05,0.0239
2007-08-13,12824.0,390898.68,0.21,1.46,0.08,0.59,0.0,381144.5,4154.0,12504.0,126621.42,,,,,,,,,,,,,,,,,,0.19,,,,0.77,0.77,533397.0,16258903.93,,49.78,0.37,31.4,0.4616,59.57,0.0239
2007-08-14,12824.0,390116.71,0.21,1.46,0.08,0.59,0.0,380382.05,5531.0,12504.0,168257.6,,,1377.0,,,,,,,,,,,1377.0,,,,0.25,,,,0.99,0.99,551062.0,16763762.84,,50.47,0.49,31.36,0.4619,59.61,0.023
2007-08-15,14201.0,428157.58,0.24,1.6,0.09,0.65,0.0,418509.64,5531.0,13881.0,166758.65,,,,0.06,,,,,1377.0,,,,0.06,,,,,0.25,,,,100.0,0.99,0.0,0.0,,0.0,100.0,37.83,0.4411,53.97,0.0255
2007-08-16,14201.0,422384.67,0.24,1.59,0.09,0.64,0.0,412866.82,5531.0,13881.0,164510.22,,,,,,,,,,,,,,,,,,0.24,,,,100.0,0.99,0.0,0.0,,0.0,100.0,37.44,0.4425,54.36,0.0255
2007-08-17,14201.0,422865.75,0.24,1.55,0.09,0.64,0.0,413337.05,5531.0,13881.0,164697.59,,,,,,,,,,,,,,,,,,0.24,,,,100.0,0.99,0.0,0.0,,0.0,100.0,37.48,0.4427,54.36,0.0255
2007-08-20,14201.0,425271.13,0.24,1.51,0.09,0.64,0.0,415688.23,5531.0,13881.0,165634.44,,,,,,,,,,,,,,,,,,0.24,,,,100.0,0.99,0.0,0.0,,0.0,100.0,37.52,0.4433,54.41,0.0255
2007-08-21,14201.0,425944.63,0.24,1.53,0.09,0.64,0.0,416346.56,5531.0,13881.0,165896.75,,,,,,,,,,,,,,,,,,0.25,,,,100.0,0.99,0.0,0.0,,0.0,100.0,37.49,0.4429,54.38,0.0255
2007-08-22,14201.0,450287.08,0.24,1.7,0.09,0.64,0.0,440140.48,5531.0,13881.0,175377.64,,,,,,,,,,,,,,,,,,0.25,,,,100.0,0.99,0.0,0.0,,0.0,100.0,37.49,0.4428,54.37,0.0255
2007-08-23,14201.0,456541.06,0.24,1.74,0.09,0.65,0.0,446253.54,5531.0,13881.0,177813.44,,,,,,,,,,,,,,,,,,0.25,,,,100.0,0.99,0.0,0.0,,0.0,100.0,37.33,0.4397,54.14,0.0254
2007-08-24,14201.0,457599.43,0.24,1.71,0.09,0.65,0.0,447288.06,5531.0,13881.0,178225.65,,,,,,,,,,,,,,,,,,0.26,,,,100.0,1.03,0.0,0.0,,0.0,100.0,37.33,0.4397,54.14,0.0264
2007-08-27,14201.0,464142.06,0.24,1.68,0.09,0.67,0.0,453683.26,5531.0,13881.0,180773.87,,,,,,,,,,,,,,,,,,0.26,,,,100.0,0.99,0.0,0.0,,0.0,100.0,39.51,0.4346,52.1,0.0255
2007-08-28,14218.0,467683.93,0.24,1.41,0.09,0.67,0.0,457157.92,5531.0,13898.0,181935.56,,,,0.0,,,,,17.0,,,,0.0,,,,,0.26,,,,100.0,0.99,0.0,0.0,,0.0,100.0,39.37,0.434,52.13,0.0255
2007-08-29,14218.0,468165.58,0.24,1.4,0.09,0.67,0.0,457628.73,5531.0,13898.0,182122.93,,,,,,,,,,,,,,,,,,0.26,,,,100.0,1.03,0.0,0.0,,0.0,100.0,39.4,0.4336,52.06,0.0264
2007-08-30,14218.0,468647.23,0.24,1.4,0.09,0.67,0.0,458099.54,2478.0,13898.0,81678.71,,,,,,,,0.14,,3053.0,,,,,,,,0.12,,,,100.0,0.45,0.0,0.0,,0.0,100.0,39.43,0.4335,52.03,0.0259
2007-08-31,14218.0,472211.46,0.24,1.38,0.09,0.67,0.0,461583.54,2478.0,13898.0,82299.9,,,,,,,,,,,,,,,,,,0.12,,,,100.0,0.46,0.0,0.0,,0.0,100.0,39.45,0.4334,52.0,0.0262
2007-09-03,14218.0,467202.28,0.24,1.39,0.09,0.68,0.0,456687.1,3393.0,13898.0,111493.69,,,915.0,,,,,,,,,,,915.0,,,,0.16,,,,100.0,0.59,0.0,0.0,,0.0,100.0,39.5,0.4332,51.95,0.0249
2007-09-04,14226.0,468429.0,0.24,1.4,0.09,0.68,0.0,457892.15,3393.0,13906.0,111723.58,,,,0.0,,,,,8.0,,,,0.0,,,,,0.16,,,,100.0,0.56,0.0,0.0,,0.0,100.0,39.47,0.4336,52.02,0.0233
2007-09-05,16031.0,518088.19,0.27,1.58,0.1,0.76,0.0,507746.47,3393.0,15711.0,109654.62,,,,0.09,,,,,1805.0,,,,0.09,,,,,0.16,,,,100.0,0.56,0.0,0.0,,0.0,100.0,34.83,0.4592,57.64,0.0262
2007-09-06,16031.0,527320.37,0.27,1.66,0.1,0.76,0.0,516794.36,3393.0,15711.0,111608.64,,,,,,,,,,,,,,,,,,0.16,,,,100.0,0.6,0.0,0.0,,0.0,100.0,34.85,0.4604,57.75,0.0284
2007-09-07,16031.0,527863.44,0.27,1.72,0.1,0.76,0.0,517326.59,3393.0,15711.0,111723.58,,,,,,,,,,,,,,,,,,0.16,,,,100.0,0.62,0.0,0.0,,0.0,100.0,34.75,0.4596,57.72,0.0295
2007-09-10,13893.0,442874.19,0.23,1.57,0.09,0.65,0.0,432673.38,3235.0,13573.0,103123.73,,,,,,,,0.01,,158.0,,,,,,,2138.0,0.15,0.11,,,100.0,0.57,0.0,0.0,,0.0,100.0,23.8,0.5186,67.39,0.0246
2007-09-11,13893.0,446356.94,0.23,1.59,0.09,0.65,0.0,436075.92,3235.0,13573.0,103934.69,,,,,,,,,,,,,,,,,,0.15,,,,100.0,0.57,0.0,0.0,,0.0,100.0,23.8,0.5186,67.39,0.0246
2007-09-12,13735.0,469942.52,0.23,1.62,0.09,0.64,0.0,458993.74,51070.0,13415.0,1747358.19,,,,,,,,0.04,,915.0,,,,,,48750.0,158.0,2.52,0.01,,,100.0,9.37,0.0,0.0,,0.0,100.0,24.12,0.5305,68.3,0.0252
2007-09-13,65716.0,2137605.36,1.1,7.04,0.4,3.12,0.0,924281.09,128051.0,28415.0,4165233.79,,,,,,15000.0,,,,,,,,,0.71,76981.0,,6.14,,,,82.71,23.47,26772.0,870837.71,,1.29,82.69,31.96,0.3992,53.2,0.1204
2007-09-14,230589.0,7436528.41,3.61,23.34,1.41,11.1,1.0,5974339.14,136089.0,185250.0,4388889.82,,,10000.0,6.29,,28000.0,,0.09,129750.0,1962.0,,,6.29,10000.0,1.34,,915.0,6.49,0.04,,,89.03,25.03,16772.0,540899.41,,0.8,89.06,25.84,0.2802,42.74,0.4242
2007-09-17,247486.0,7929479.0,3.88,23.41,1.52,11.85,1.0,6480112.52,135986.0,202250.0,4357006.58,,,,0.67,,3000.0,,0.01,14000.0,103.0,,,0.67,,0.14,,,6.45,,,,89.02,25.02,16772.0,537376.75,,0.79,89.05,23.76,0.247,39.31,0.4554
2007-09-18,247700.0,7778582.25,3.88,22.98,1.52,11.7,1.0,6351305.04,136200.0,202250.0,4277121.12,,,214.0,,,,,,,,,,,214.0,,,,6.39,,,,89.04,25.05,16772.0,526695.12,,0.79,88.96,23.59,0.2456,39.17,0.4556
2007-09-19,258129.0,7999404.58,4.04,23.49,1.58,12.02,1.0,6577616.7,146629.0,212250.0,4544025.25,0.47,,10429.0,,,,10000.0,,,,0.47,,,10429.0,,,,6.73,,,,100.0,27.05,0.0,0.0,,0.0,100.0,22.56,0.2251,37.24,0.4762
2007-09-20,247658.0,7441674.82,3.88,22.48,1.52,11.43,1.0,6377728.48,136158.0,212250.0,4091301.55,,,,,,,,0.57,,10471.0,,,,,,,,6.09,,,,89.03,25.15,16772.0,503968.25,,0.74,89.1,23.75,0.2433,38.73,0.4575
2007-09-21,253137.0,7777815.25,3.96,22.39,1.55,11.56,1.0,6721250.1,135137.0,218750.0,4152180.91,,,,0.2,,,,0.05,6500.0,1021.0,,,0.2,,,,,6.13,,,,88.96,25.01,16772.0,515331.69,,0.76,88.97,23.4,0.2403,38.27,0.4686
2007-09-24,260397.0,8089096.56,4.08,23.46,1.6,12.02,1.0,6853941.9,140511.0,220636.0,4364900.69,,,5374.0,0.08,,,,,1886.0,,,,0.08,5374.0,,,,6.45,,,,100.0,25.99,0.0,0.0,,0.0,100.0,22.47,0.2306,37.56,0.4816
2007-09-25,272084.0,8295455.17,4.26,24.53,1.67,12.5,1.0,6726878.63,152198.0,220636.0,4640301.1,,,11687.0,,,,,,,,,,,11687.0,,,,6.87,,,,100.0,28.19,0.0,0.0,,0.0,100.0,21.11,0.2123,36.2,0.504
2007-09-26,271796.0,8128306.9,4.26,24.11,1.67,12.4,1.0,6598320.51,151910.0,220636.0,4543006.89,,,,,,,,0.03,,288.0,,,,,,,,6.74,,,,100.0,28.15,0.0,0.0,,0.0,100.0,21.25,0.211,35.9,0.5037
2007-09-27,270999.0,8484541.14,4.24,23.46,1.66,12.33,1.0,6907756.92,151113.0,220636.0,4731104.05,,,,,,,,0.03,,797.0,,,,,,,,6.81,,,,100.0,27.2,0.0,0.0,,0.0,100.0,21.92,0.2096,35.33,0.4879
2007-09-28,265822.0,8644838.05,4.16,23.01,1.63,12.5,1.0,7001349.04,151286.0,215286.0,4919995.22,,,173.0,,,,,,,,,,,173.0,,,5350.0,7.22,0.1,,,100.0,27.26,0.0,0.0,,0.0,100.0,22.55,0.2045,34.11,0.4789
2007-10-01,265270.0,8720344.31,4.15,23.29,1.63,12.77,1.0,7077196.98,150734.0,215286.0,4955149.01,,,,,,,,0.0,,552.0,,,,,,,,7.23,,,,100.0,27.39,0.0,0.0,,0.0,100.0,22.25,0.2078,34.84,0.4821
2007-10-02,264661.0,9023089.9,4.14,23.1,1.62,13.01,1.0,7339747.57,150125.0,215286.0,5118213.0,,,,,,,,0.0,,609.0,,,,,,,,7.41,,,,100.0,27.31,0.0,0.0,,0.0,100.0,22.6,0.2079,34.75,0.4815
2007-10-03,267128.0,9380485.67,4.18,22.08,1.64,13.27,1.0,7559998.35,152592.0,215286.0,5358431.42,,,2468.0,,,,,,,,,,,2468.0,,,,7.55,,,,100.0,27.64,0.0,0.0,,0.0,100.0,23.03,0.2074,34.36,0.4838
2007-10-04,262507.0,9230664.14,4.11,22.01,1.61,13.13,1.0,7570208.65,147971.0,215286.0,5203177.84,,,378.0,,,,,0.16,,5000.0,,,,378.0,,,,7.62,,,,100.0,26.62,0.0,0.0,,0.0,100.0,23.44,0.2151,34.97,0.4722
2007-10-05,262092.0,9233828.66,4.1,22.52,1.61,13.34,1.0,7584794.79,147556.0,215286.0,5198582.26,,,,,,,,0.0,,415.0,,,,,,,,7.64,,,,100.0,26.56,0.0,0.0,,0.0,100.0,23.06,0.2192,35.96,0.4718
2007-10-08,212347.0,7495637.17,3.33,18.35,1.3,10.85,1.0,5843714.47,97811.0,165549.0,3452630.68,,,,,,,,2.57,,49745.0,,,,,,,49737.0,5.07,2.5,,,68.71,17.7,44549.0,1572535.24,,2.32,68.57,23.67,0.1733,23.88,0.3843
2007-10-09,152754.0,5414832.54,2.39,15.23,0.94,7.72,0.0,4816221.19,67900.0,135867.0,2406923.09,,,,,,,,1.54,,29912.0,,,,,,,29682.0,3.53,1.59,,,57.32,12.69,50549.0,1791863.85,,2.64,57.23,20.43,0.1865,30.38,0.2854
2007-10-10,150001.0,5115001.76,2.35,15.39,0.92,7.49,0.0,4530736.06,68147.0,132867.0,2323798.01,,,247.0,,,,,,,,,,,247.0,,,3000.0,3.46,0.16,,,45.73,11.98,80871.0,2757683.67,,4.16,45.4,21.21,0.192,30.24,0.2636
2007-10-11,120281.0,4064884.2,1.51,11.9,0.67,5.87,0.0,3493277.28,65927.0,103367.0,2227996.28,,,,0.15,,,,0.13,3000.0,2220.0,,,0.15,,,,32500.0,3.28,1.71,,,42.69,11.3,88500.0,2990848.53,,4.4,42.71,23.06,0.2355,37.1,0.2062
2007-10-12,108258.0,3651233.39,1.36,10.63,0.6,5.26,0.0,3093352.67,55554.0,91717.0,1873677.88,,,,,,,,0.51,,10053.0,,,,,,,11650.0,2.75,0.59,0.01,,41.44,9.68,78506.0,2647783.34,320.0,3.91,41.36,25.96,0.2155,31.08,0.1887
2007-10-15,108525.0,3705090.8,1.36,10.57,0.61,5.29,0.0,3131258.36,55821.0,91717.0,1905753.27,,360.0,,,0.02,,,0.0,,93.0,,360.0,,,,,,2.8,,,,41.56,9.2,78506.0,2680229.06,,3.96,41.43,25.88,0.2162,31.36,0.1788
2007-10-16,108699.0,3682309.23,1.36,10.38,0.61,5.3,0.0,3107023.57,55995.0,91717.0,1896897.9,,,173.0,,,,,,,,,,,173.0,,,,2.79,,,,41.63,9.22,78506.0,2659485.07,,3.92,41.55,25.85,0.2154,31.14,0.1789
2007-10-17,98562.0,3352261.8,1.24,9.52,0.55,4.83,0.0,2779334.6,45858.0,81717.0,1559708.83,,,,,,,,0.5,,10137.0,,,,,,,10000.0,2.29,0.46,,,34.13,7.48,88506.0,3010240.08,,4.44,34.03,28.7,0.2537,34.68,0.1607
2007-10-18,98636.0,3300647.77,1.24,9.51,0.55,4.84,0.0,2734488.77,45932.0,81717.0,1537018.47,,,74.0,,,,,,,,,,,74.0,,,,2.27,,,,34.17,7.42,88506.0,2961668.47,,4.37,34.16,28.54,0.2514,34.05,0.1594
2007-10-19,98500.0,3286753.76,1.4,9.33,0.55,4.81,0.0,2726737.63,45796.0,81717.0,1528123.61,,,,,,,,0.01,,137.0,,,,,,,,2.25,,,,34.1,7.31,88506.0,2953273.38,,4.35,34.13,28.76,0.2522,34.12,0.1573
2007-10-22,98580.0,3232651.43,1.4,9.25,0.55,4.78,0.0,2679677.19,45876.0,81717.0,1504373.27,,,81.0,,,,,,,,,,,81.0,,,,2.22,,,,34.14,7.48,88506.0,2902303.18,,4.27,34.19,28.93,0.2515,33.77,0.1608
2007-10-23,91292.0,3054896.15,1.3,8.55,0.51,4.44,0.0,2500248.38,45588.0,74717.0,1525507.22,,,,,,,,0.01,,288.0,,,,,,,7000.0,2.24,0.33,,,34.0,7.45,88506.0,2961668.47,,4.37,33.96,22.85,0.2525,37.36,0.1492
2007-10-24,68759.0,2306466.66,0.98,6.2,0.38,3.34,0.0,2126669.67,34373.0,63399.0,1153015.29,,,,,,,,0.55,,11215.0,,,,,,,11318.0,1.7,0.57,,,27.97,5.69,88506.0,2968864.27,,4.37,27.98,26.64,0.3168,43.66,0.1138
2007-10-25,48759.0,1640207.32,0.69,4.5,0.27,2.36,0.0,1459901.92,14373.0,43399.0,483494.33,,,,,,,,0.99,,20000.0,,,,,,,20000.0,0.71,0.99,,,26.55,2.42,39764.0,1337623.9,,1.97,26.47,31.76,0.2949,37.9,0.082
2007-10-26,48759.0,1638555.55,0.69,4.77,0.27,2.36,0.0,1458431.72,14373.0,43399.0,483007.42,,,,,,,,,,,,,,,,,,0.71,,,,11.7,2.41,108506.0,3646364.95,,5.38,11.69,31.8,0.2946,37.84,0.0816
2007-10-29,48959.0,1658544.95,0.71,5.12,0.27,2.37,0.0,1470193.27,14573.0,43399.0,493677.88,,,200.0,,,,,,,,,,,200.0,,,,0.73,,,,11.84,2.47,108506.0,3675771.12,,5.42,11.84,31.57,0.2916,37.61,0.0829
2007-10-30,48143.0,1630901.97,0.69,5.11,0.27,2.34,0.0,1442550.29,14573.0,42583.0,493677.88,,,,,,250.0,,,,,,,,,0.01,,1066.0,0.73,0.05,,,11.84,2.5,108506.0,3675771.12,,5.42,11.84,32.24,0.2875,36.0,0.0825
2007-10-31,48143.0,1662215.29,0.69,5.31,0.27,2.35,0.0,1470247.25,14573.0,42583.0,503156.5,,,,,,,,,,,,,,,,,,0.74,,,,11.84,2.53,108506.0,3746345.92,,5.52,11.84,32.15,0.2867,35.9,0.0835
2007-11-01,48143.0,1696464.23,0.69,5.42,0.27,2.37,0.0,1500540.81,14573.0,42583.0,513523.74,,,,,,,,,,,,,,,,,,0.75,,,,11.84,2.5,108506.0,3823537.12,,5.58,11.89,31.9,0.2853,35.62,0.0826
2007-11-02,48143.0,1679176.67,0.69,5.66,0.27,2.36,0.0,1485249.78,14573.0,42583.0,508290.75,,,,,,,,,,,,,,,,,,0.75,,,,11.84,2.52,108506.0,3784573.94,,5.55,11.87,31.97,0.2856,35.69,0.0832
2007-11-05,48143.0,1643296.82,0.69,5.86,0.27,2.35,0.0,1453513.67,14573.0,42583.0,497429.84,,,,,,,,,,,,,,,,,,0.74,,,,11.84,2.48,108506.0,3703706.98,,5.5,11.82,32.12,0.2864,35.86,0.0819
2007-11-06,33143.0,1111082.25,0.48,3.95,0.19,1.59,0.0,924689.43,14573.0,27583.0,488543.63,,,,,,,,,,,,,,,,,15000.0,0.72,0.75,,,11.84,2.5,108506.0,3637543.1,,5.37,11.85,30.22,0.4012,53.38,0.0569
2007-11-07,33143.0,1044165.82,0.48,4.03,0.19,1.54,0.0,868998.76,14573.0,27583.0,459120.43,,,,,,,,,,,,,,,,,,0.68,,,,11.84,2.47,108506.0,3418467.14,,5.05,11.86,29.21,0.4099,54.89,0.0562
2007-11-08,30513.0,977433.19,0.44,3.78,0.17,1.43,0.0,799327.84,12193.0,24953.0,390582.47,,,,,,,,0.11,,2380.0,,,,,,,2630.0,0.58,0.12,,,9.91,2.08,110886.0,3552048.51,,5.24,9.9,23.28,0.4341,59.31,0.052
2007-11-09,31513.0,997083.05,0.45,4.0,0.18,1.47,0.0,821162.58,12193.0,25953.0,385791.06,,,,,,1000.0,,,,,,,,,0.05,,,0.57,,,,9.91,2.07,110886.0,3508474.31,,5.19,9.9,22.42,0.4086,57.56,0.0536
2007-11-12,31513.0,1003488.29,0.45,3.93,0.18,1.47,0.0,826437.71,12193.0,25953.0,388269.37,,,,,,,,,,,,,,,,,,0.57,,,,9.91,2.09,110886.0,3531012.69,,5.21,9.91,22.28,0.4094,57.66,0.0541
2007-11-13,31513.0,990677.8,0.45,3.91,0.18,1.47,0.0,815887.45,12193.0,25953.0,383312.74,,,,,,,,,,,,,,,,,,0.57,,,,9.91,2.09,110886.0,3485935.93,,5.14,9.91,22.27,0.4107,57.82,0.0541
2007-11-14,31513.0,1023771.57,0.45,4.25,0.18,1.48,0.0,843142.31,12193.0,25953.0,396117.37,,,,,,,,,,,,,,,,,,0.58,,,,9.91,2.08,110886.0,3602384.22,,5.32,9.89,22.73,0.4055,57.09,0.0538
2007-11-15,31513.0,1012882.65,0.45,4.15,0.18,1.48,0.0,834174.58,12193.0,25953.0,391904.24,,,,,,,,,,,,,,,,,,0.58,,,,9.91,2.09,110886.0,3564068.98,,5.26,9.91,22.74,0.4065,57.23,0.0541
2007-11-16,28579.0,893987.83,0.41,3.78,0.16,1.33,0.0,720063.89,12193.0,23019.0,381412.7,,,,,,,,,,,,,,,,,2934.0,0.57,0.13,,,9.91,2.09,110886.0,3468656.51,,5.17,9.96,24.49,0.3802,53.66,0.049
2007-11-19,28579.0,890696.13,0.41,3.94,0.16,1.33,0.0,717412.58,12193.0,23019.0,380008.32,,,,,,,,,,,,,,,,,,0.56,,,,9.91,2.1,110886.0,3455884.76,,5.11,9.92,24.47,0.3807,53.73,0.0491
2007-11-20,28579.0,852163.84,0.41,3.97,0.16,1.3,0.0,686376.69,12193.0,23019.0,363568.83,,,,,,,,,,,,,,,,,,0.54,,,,9.91,2.09,110886.0,3306380.18,,4.87,9.93,23.83,0.3873,54.77,0.0491
2007-11-21,28579.0,813244.29,0.41,3.45,0.16,1.28,0.0,655028.88,12193.0,23019.0,346964.12,,,,,,,,,,,,,,,,,,0.52,,,,9.91,2.16,110886.0,3155373.04,,4.78,9.85,23.05,0.3924,55.52,0.0507
2007-11-22,28579.0,813244.29,0.41,1.56,0.16,1.28,0.0,655028.88,12193.0,23019.0,346964.12,,,,,,,,,,,,,,,,,,0.52,,,,9.91,2.14,110886.0,3155373.04,,4.77,9.85,23.05,0.3925,55.53,0.0501
2007-11-23,27579.0,784788.28,0.4,1.53,0.15,1.23,0.0,626572.87,12193.0,22019.0,346964.12,,,,,,,,,,,,,,,,,1000.0,0.51,0.04,,,22.44,2.37,42144.0,1199250.05,,1.77,22.42,24.06,0.4239,57.98,0.0537
2007-11-26,27619.0,790043.28,0.4,1.53,0.15,1.23,0.0,630999.12,12193.0,22059.0,348781.55,,,,0.0,,,,,40.0,,,,0.0,,,,,0.51,,,,22.44,1.63,42144.0,1205531.84,,1.78,22.39,24.27,0.4228,57.8,0.0368
2007-11-27,27619.0,796218.41,0.4,1.51,0.15,1.24,0.0,635931.13,12193.0,22059.0,351507.7,,,,,,,,0.06,,1375.0,,,,,,1375.0,,0.52,,,,22.44,1.65,42144.0,1214954.52,,1.79,22.45,24.34,0.4207,57.53,0.0373
2007-11-28,27619.0,796218.41,0.4,1.5,0.15,1.24,0.0,635931.13,12193.0,22059.0,351507.7,,,,,,,,,,,,,,,,,,0.52,,,,22.44,1.63,42144.0,1214954.52,,1.79,22.4,24.48,0.4208,57.52,0.0369
2007-11-29,29120.0,868097.99,0.42,1.57,0.16,1.32,0.0,645945.99,14085.0,21668.0,419888.74,,,,,,,,,,,,,,,,1892.0,391.0,0.61,0.02,,,5.31,1.89,250986.0,7482158.03,,11.25,5.18,25.31,0.4133,56.42,0.0391
2007-11-30,22145.0,682671.52,0.32,1.14,0.12,1.02,0.0,513830.16,12110.0,16668.0,373319.13,,,25.0,,,,,0.21,,5000.0,,,,25.0,,3000.0,5000.0,0.55,0.23,,,4.2,1.62,276206.0,8514697.2,,12.62,4.15,34.74,0.3907,49.91,0.0297
2007-12-03,22207.0,674050.77,0.32,1.14,0.12,1.03,0.0,505925.08,12172.0,16668.0,369457.65,,,62.0,,,,,,,,,,,62.0,,,,0.55,,,,4.16,1.62,280079.0,8501259.32,,12.82,4.11,34.59,0.3878,49.61,0.0296
2007-12-04,27205.0,811009.81,0.39,1.39,0.15,1.24,0.0,645945.99,12170.0,21668.0,362800.57,,,,0.23,,,,0.0,5000.0,2.0,,,0.23,,,,,0.54,,,,4.17,1.62,279899.0,8344085.13,,12.62,4.11,27.09,0.451,60.29,0.0362
2007-12-05,27174.0,810085.67,0.39,1.41,0.15,1.24,0.0,645945.99,12139.0,21668.0,361876.42,,,,,,,,0.0,,32.0,,,,,,,,0.54,,,,4.21,1.63,276380.0,8239180.02,,12.43,4.14,27.15,0.4524,60.42,0.0364
2007-12-06,27164.0,817885.44,0.39,1.45,0.15,1.24,0.0,652405.45,12129.0,21668.0,365194.1,,,,,,,,0.0,,10.0,,,,,,,,0.54,,,,4.22,1.62,275281.0,8288481.84,,12.43,4.16,27.35,0.4515,60.26,0.0363
2007-12-07,27228.0,829220.71,0.39,1.44,0.15,1.24,0.0,659892.55,12193.0,21668.0,371334.22,,,64.0,,,,,,,,,,,64.0,,,,0.55,,,,4.14,1.62,282394.0,8600226.0,,12.57,4.16,27.33,0.4505,60.17,0.0361
2007-12-10,27228.0,823686.42,0.39,1.45,0.15,1.25,0.0,655488.37,12193.0,21668.0,368855.9,,,,,,,,,,,,,,,,,,0.55,,,,4.83,1.62,240250.0,7267910.36,,10.8,4.81,27.37,0.4492,60.02,0.0361
2007-12-11,27228.0,823686.42,0.39,1.44,0.15,1.25,0.0,655488.37,12193.0,21668.0,368855.9,,,,,,,,,,,,,,,,,,0.54,,,,4.83,1.61,240250.0,7267910.36,,10.73,4.83,27.42,0.4496,60.05,0.036
2007-12-12,27228.0,816307.37,0.39,1.4,0.15,1.24,0.0,649616.14,12193.0,21668.0,365551.48,,,,,,,,,,,,,,,,,,0.54,,,,4.83,1.61,240250.0,7202800.31,,10.73,4.81,27.21,0.4506,60.22,0.036
2007-12-13,27228.0,805238.8,0.39,1.41,0.15,1.24,0.0,640807.78,12193.0,21668.0,360594.85,,,,,,,,,,,,,,,,,,0.54,,,,4.83,1.61,240250.0,7105135.22,,10.63,4.84,26.97,0.4527,60.51,0.0359
