,ALNRG FP Equity_DX_SI_QTY,ALNRG FP Equity_DX_SHORT_INTEREST_VALUE,ALNRG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALNRG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALNRG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALNRG FP Equity_DX_SI_MV,ALNRG FP Equity_DX_DSS,ALNRG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALNRG FP Equity_DX_SUPPLY_SI_QTY,ALNRG FP Equity_DX_BROKER_SI_QTY,ALNRG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALNRG FP Equity_DX_BROKER_SI_MV_NEW_x,ALNRG FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALNRG FP Equity_DX_BROKER_SI_MV_INC_x,ALNRG FP Equity_DX_BROKER_SI_QTY_ADD,ALNRG FP Equity_DX_BROKER_SI_QTY_NEW,ALNRG FP Equity_DX_SUPPLY_SI_MV_DEC,ALNRG FP Equity_DX_BROKER_SI_QTY_INC,ALNRG FP Equity_DX_SUPPLY_SI_QTY_DEC,ALNRG FP Equity_DX_BROKER_SI_MV_NEW_y,ALNRG FP Equity_DX_BROKER_SI_MV_INC_y,ALNRG FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALNRG FP Equity_DX_BROKER_SI_MV_ADD,ALNRG FP Equity_DX_SUPPLY_SI_QTY_ADD,ALNRG FP Equity_DX_BROKER_SI_QTY_DEC,ALNRG FP Equity_DX_SUPPLY_SI_MV,ALNRG FP Equity_DX_BROKER_SI_MV_DEC,ALNRG FP Equity_DX_BROKER_SI_MV_RMV,ALNRG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALNRG FP Equity_DX_UTILIZATION_QUANTITY,ALNRG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALNRG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALNRG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALNRG FP Equity_DX_ACTIVE_UTILIZATION_MV,ALNRG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALNRG FP Equity_DX_BROKER_SI_CON_RATIO,ALNRG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALNRG FP Equity_DX_DEMAND_SUPPLY_RATIO,ALNRG FP Equity_PX_LAST
2022-01-05,72235.0,233319.05,1.0,2.95,1.0,0.22,0.0,120072.02,35061.0,37174.0,113247.03,,,,,,,,,,,,,,,0.11,,,100.0,14.97,0.0,0.0,0.0,100.0,29.89,0.3335,44.83,0.3084,3.23
2022-01-06,72235.0,256434.25,1.0,2.56,1.0,0.24,0.0,131967.7,35061.0,37174.0,124466.55,,,,,,,,,,,,,,,0.11,,,100.0,14.97,0.0,0.0,0.0,100.0,29.84,0.3338,44.74,0.3084,3.55
2022-01-07,74235.0,255368.4,1.02,2.03,1.02,0.26,1.0,131318.56,36061.0,38174.0,124049.84,,1000.0,0.0,,,,1000.0,,,0.0,1000.0,,,,0.13,,,100.0,15.27,0.0,0.0,0.0,100.0,29.64,0.3317,44.48,0.3143,3.44
2022-01-10,69038.0,225063.88,0.95,1.8,0.95,0.24,0.0,114670.5,33863.0,35175.0,110393.38,,,,,,0.01,,2198.0,,,,,,2999.0,0.12,0.01,,100.0,14.34,0.0,0.0,0.0,100.0,32.0,0.3376,44.78,0.2923,3.26
2022-01-11,87328.0,278576.32,1.21,2.13,1.21,0.28,1.0,141208.54,43062.0,44266.0,137367.78,,9199.0,,10000.0,,,,,,,9199.0,0.03,,909.0,0.14,0.0,,18.48,18.23,189939.0,605905.41,0.62,18.48,25.11,0.3048,45.71,0.3697,3.19
2022-01-12,85552.0,296009.92,1.18,2.01,1.18,0.28,1.0,150160.54,42153.0,43399.0,145849.38,,,,,,0.01,,909.0,,,,,,867.0,0.13,0.0,,18.09,17.85,190848.0,660334.08,0.61,18.09,25.38,0.302,45.16,0.3622,3.46
2022-01-13,83185.0,284492.7,1.15,1.8,1.15,0.29,1.0,143294.58,41286.0,41899.0,141198.12,,,,,,0.0,,867.0,,,,,,1500.0,0.14,0.01,,17.72,17.48,191715.0,655665.3,0.66,17.72,26.37,0.3087,45.85,0.3522,3.42
2022-01-14,83185.0,307784.5,1.15,1.76,1.15,0.29,1.0,155026.3,41286.0,41899.0,152758.2,,,,,,,,,,,,,,,0.14,,,17.72,17.48,191715.0,709345.5,0.66,17.73,26.38,0.305,45.29,0.3522,3.7
2022-01-17,81685.0,298967.1,1.13,1.59,1.13,0.3,1.0,153350.34,39786.0,41899.0,145616.76,,,,,,0.0,,1500.0,,,,,,,0.15,,,17.19,17.06,191715.0,701676.9,0.71,17.19,25.58,0.319,47.6,0.3503,3.66
2022-01-18,61685.0,212196.4,0.85,1.18,0.85,0.22,0.0,109732.56,29786.0,31899.0,102463.84,,,,,,0.04,,10000.0,,,,,,10000.0,0.11,0.04,,100.0,12.77,0.0,0.0,0.0,100.0,35.77,0.3561,45.83,0.2645,3.44
2022-01-19,56285.0,200374.6,0.78,1.08,0.78,0.19,0.0,103948.44,27086.0,29199.0,96426.16,,,,,,0.02,,2700.0,,,,,,2700.0,0.09,0.01,,100.0,11.69,0.0,0.0,0.0,100.0,38.75,0.3858,46.13,0.2428,3.56
2022-01-20,76285.0,222752.2,1.05,1.45,1.05,0.27,1.0,114461.08,37086.0,39199.0,108291.12,,10000.0,,10000.0,,,,,,,10000.0,0.04,,,0.13,,,16.07,16.0,193715.0,565647.8,0.69,16.07,29.22,0.3435,48.13,0.3291,2.92
2022-01-21,76285.0,224277.9,1.05,1.19,1.05,0.22,1.0,115245.06,37086.0,39199.0,109032.84,,,,,,,,,,,,,,,0.11,,,100.0,16.0,0.0,0.0,0.0,100.0,28.7,0.3349,47.27,0.3291,2.94
2022-01-24,76285.0,203680.95,1.05,1.17,1.05,0.22,1.0,104661.33,37086.0,39199.0,99019.62,,,,,,,,,,,,,,,0.11,,,100.0,16.0,0.0,0.0,0.0,100.0,28.73,0.3353,47.31,0.3291,2.67
2022-01-25,76285.0,199103.85,1.05,1.17,1.05,0.2,1.0,102309.39,37086.0,39199.0,96794.46,,,,,,,,,,,,,,,0.1,,,100.0,16.0,0.0,0.0,0.0,100.0,28.78,0.3362,47.4,0.3291,2.61
2022-01-26,76285.0,209020.9,1.05,1.18,1.05,0.2,1.0,107405.26,37086.0,39199.0,101615.64,,,,,,,,,,,,,,,0.1,,,100.0,16.07,0.0,0.0,0.0,100.0,28.59,0.3331,47.07,0.3305,2.74
2022-01-27,76285.0,209783.75,1.05,1.18,1.05,0.21,1.0,107797.25,37086.0,39199.0,101986.5,,,,,,,,,,,,,,,0.1,,,100.0,16.07,0.0,0.0,0.0,100.0,28.73,0.335,47.27,0.3305,2.75
2022-01-28,76285.0,202918.1,1.05,1.2,1.05,0.21,1.0,104269.34,37086.0,39199.0,98648.76,,,,,,,,,,,,,,,0.1,,,100.0,35.58,0.0,0.0,0.0,100.0,28.81,0.3367,47.45,0.7319,2.66
2022-01-31,65134.0,181072.52,0.9,0.94,0.9,0.17,0.0,113143.22,24435.0,40699.0,67929.3,,1500.0,,1500.0,,0.04,,14151.0,,,1500.0,0.0,,,0.07,,,100.0,94.96,0.0,0.0,0.0,100.0,33.46,0.267,33.51,2.5311,2.78
2022-02-01,65134.0,183026.54,0.9,0.9,0.9,0.18,0.0,114364.19,24435.0,40699.0,68662.35,,,,,,,,,,,,,,,0.07,,,100.0,94.96,0.0,0.0,0.0,100.0,33.58,0.2681,33.64,2.5311,2.81
2022-02-02,19113.0,52943.01,0.26,0.26,0.26,0.05,0.0,46018.01,2500.0,16613.0,6925.0,,,,,,0.06,,21935.0,,,,,,24086.0,0.01,0.07,,100.0,100.0,0.0,0.0,0.0,100.0,36.42,0.3045,36.68,7.6452,2.77
2022-02-03,110121.0,299529.12,1.52,1.51,1.52,0.3,1.0,162158.24,50504.0,59617.0,137370.88,,48004.0,0.12,,,,43004.0,,,0.12,48004.0,,,,0.14,,,100.0,38.7,0.0,0.0,0.0,100.0,6.34,0.7972,89.0,0.8438,2.72
2022-02-04,110121.0,308338.8,1.52,1.5,1.52,0.31,1.0,166927.6,50504.0,59617.0,141411.2,,,,,,,,,,,,,,,0.14,,,100.0,100.0,0.0,0.0,0.0,100.0,6.23,0.8006,89.2,2.1804,2.8
2022-02-07,109121.0,320815.74,1.51,1.48,1.51,0.31,1.0,172333.98,50504.0,58617.0,148481.76,,,,,,,,,,,,,,1000.0,0.14,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,6.28,0.7995,89.13,2.1606,2.94
2022-02-08,76829.0,228182.13,1.06,1.02,1.06,0.23,1.0,78185.25,50504.0,26325.0,149996.88,,,,,,,,,,,,,,32292.0,0.15,0.09,,100.0,100.0,0.0,0.0,0.0,100.0,9.11,0.7201,84.24,1.5212,2.97
2022-02-09,43537.0,127563.41,0.6,0.58,0.6,0.13,0.0,77132.25,17212.0,26325.0,50431.16,,,,,,0.1,,33292.0,,,,,,,0.05,,,100.0,100.0,0.0,0.0,0.0,100.0,16.14,0.5523,72.05,2.5295,2.93
2022-02-10,43537.0,120162.12,0.6,0.57,0.6,0.12,0.0,72657.0,17212.0,26325.0,47505.12,,,,,,,,,,,,,,,0.05,,,100.0,100.0,0.0,0.0,0.0,100.0,16.43,0.5467,71.57,2.5295,2.76
2022-02-11,43537.0,118856.01,0.6,0.56,0.6,0.12,0.0,71867.25,17212.0,26325.0,46988.76,,,,,,,,,,,,,,,0.05,,,100.0,100.0,0.0,0.0,0.0,100.0,15.81,0.5569,72.44,2.5295,2.73
2022-02-14,43537.0,114502.31,0.6,0.56,0.6,0.12,0.0,69234.75,17212.0,26325.0,45267.56,,,,,,,,,,,,,,,0.05,,,100.0,100.0,0.0,0.0,0.0,100.0,16.32,0.5486,71.74,2.5295,2.63
2022-02-15,43687.0,117518.03,0.6,0.55,0.6,0.12,0.0,70814.25,17362.0,26325.0,46703.78,,150.0,,,,,,,,,150.0,,,,0.05,,,100.0,100.0,0.0,0.0,0.0,100.0,15.82,0.5537,72.23,2.5162,2.69
2022-02-16,43687.0,114896.81,0.6,0.58,0.6,0.12,0.0,69234.75,17362.0,26325.0,45662.06,,,,,,,,,,,,,,,0.05,,,100.0,100.0,0.0,0.0,0.0,100.0,16.14,0.5475,71.72,2.5162,2.63
2022-02-17,43687.0,103538.19,0.6,0.61,0.6,0.11,0.0,62390.25,17362.0,26325.0,41147.94,,,,,,,,,,,,,,,0.05,,,100.0,100.0,0.0,0.0,0.0,100.0,16.65,0.5374,70.86,2.5162,2.37
2022-02-18,43687.0,97422.01,0.6,0.66,0.6,0.11,0.0,58704.75,17362.0,26325.0,38717.26,,,,,,,,,,,,,,,0.05,,,100.0,100.0,0.0,0.0,0.0,100.0,15.62,0.5467,71.73,2.5162,2.23
2022-02-21,43687.0,93490.18,0.6,0.63,0.6,0.1,0.0,56335.5,17362.0,26325.0,37154.68,,,,,,,,,,,,,,,0.04,,,100.0,100.0,0.0,0.0,0.0,100.0,16.14,0.5362,70.86,2.5162,2.14
2022-02-22,36687.0,86948.19,0.51,0.55,0.51,0.08,0.0,45800.25,17362.0,19325.0,41147.94,,,,,,,,,,,,,,7000.0,0.04,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,7.82,0.7535,86.27,2.1131,2.37
2022-02-23,36687.0,74107.74,0.51,0.55,0.51,0.08,0.0,39036.5,17362.0,19325.0,35071.24,,,,,,,,,,,,,,,0.04,,,100.0,100.0,0.0,0.0,0.0,100.0,8.73,0.7282,84.66,2.1131,2.02
2022-02-24,36687.0,66220.04,0.51,0.54,0.51,0.07,0.0,34881.63,17362.0,19325.0,31338.41,,,,,,,,,,,,,,,0.04,,,100.0,100.0,0.0,0.0,0.0,100.0,8.55,0.7322,84.92,2.1131,1.805
2022-02-25,36687.0,64935.99,0.51,0.51,0.51,0.07,0.0,34205.25,17362.0,19325.0,30730.74,,,,,,,,,,,,,,,0.03,,,100.0,100.0,0.0,0.0,0.0,100.0,8.27,0.7464,85.82,2.1131,1.77
2022-02-28,43136.0,79801.6,0.6,0.63,0.6,0.08,0.0,35751.25,23811.0,19325.0,44050.35,,6449.0,,,,,,,,,6449.0,,,,0.04,,,100.0,100.0,0.0,0.0,0.0,100.0,15.05,0.5664,73.26,1.8116,1.85
2022-03-01,43136.0,77644.8,0.6,0.61,0.6,0.08,0.0,34785.0,23811.0,19325.0,42859.8,,,,,,,,,,,,,,,0.04,,,100.0,100.0,0.0,0.0,0.0,100.0,15.44,0.5575,72.54,1.8116,1.8
2022-03-02,44136.0,79444.8,0.61,0.61,0.61,0.08,0.0,35685.0,24311.0,19825.0,43759.8,,500.0,0.0,,,,500.0,,,0.0,500.0,,,,0.04,,,100.0,100.0,0.0,0.0,0.0,100.0,14.95,0.5396,71.18,1.8155,1.8
2022-03-03,44136.0,73045.08,0.61,0.62,0.61,0.08,0.0,32810.38,24311.0,19825.0,40234.71,,,,,,,,,,,,,,,0.04,,,100.0,100.0,0.0,0.0,0.0,100.0,15.37,0.5299,70.36,1.8155,1.655
2022-03-04,44136.0,71500.32,0.61,0.73,0.61,0.08,0.0,32116.5,24311.0,19825.0,39383.82,,,,,,,,,,,,,,,0.04,,,100.0,100.0,0.0,0.0,0.0,100.0,15.64,0.5335,70.61,1.8155,1.62
2022-03-07,51136.0,73635.84,0.71,0.86,0.71,0.08,0.0,33588.0,27811.0,23325.0,40047.84,,3500.0,0.01,,,,3500.0,,,0.01,3500.0,,,,0.05,,,100.0,100.0,0.0,0.0,0.0,100.0,22.27,0.4302,60.07,1.8387,1.44
2022-03-08,51136.0,74658.56,0.71,0.83,0.71,0.07,0.0,34054.5,27811.0,23325.0,40604.06,,,,,,,,,,,,,,,0.04,,,100.0,100.0,0.0,0.0,0.0,100.0,21.42,0.4438,61.62,1.8387,1.46
2022-03-09,51136.0,76704.0,0.71,0.83,0.71,0.08,0.0,34987.5,27811.0,23325.0,41716.5,,,,,,,,,,,,,,,0.04,,,100.0,100.0,0.0,0.0,0.0,100.0,21.35,0.4457,61.82,1.8387,1.5
2022-03-10,50136.0,74702.64,0.69,0.76,0.69,0.08,0.0,34009.25,27311.0,22825.0,40693.39,,,,,,0.0,,500.0,,,,,,500.0,0.04,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,19.98,0.4505,62.56,1.8357,1.49
2022-03-11,50136.0,76708.08,0.69,0.75,0.69,0.08,0.0,34922.25,27311.0,22825.0,41785.83,,,,,,,,,,,,,,,0.04,,,100.0,100.0,0.0,0.0,0.0,100.0,19.76,0.4539,62.92,1.8357,1.53
2022-03-14,50136.0,81220.32,0.69,0.81,0.69,0.08,0.0,36976.5,27311.0,22825.0,44243.82,,,,,,,,,,,,,,,0.04,,,100.0,100.0,0.0,0.0,0.0,100.0,19.58,0.458,63.34,1.8357,1.62
2022-03-15,50136.0,76708.08,0.69,0.83,0.69,0.08,0.0,34922.25,27311.0,22825.0,41785.83,,,,,,,,,,,,,,,0.04,,,100.0,100.0,0.0,0.0,0.0,100.0,20.3,0.4455,62.01,1.8357,1.53
2022-03-16,60136.0,97119.64,0.83,0.98,0.83,0.09,0.0,36862.38,37311.0,22825.0,60257.27,,10000.0,,,,,,,,,10000.0,,,,0.06,,,100.0,100.0,0.0,0.0,0.0,100.0,16.38,0.3473,52.99,1.6118,1.615
2022-03-17,70136.0,109412.16,0.97,1.14,0.97,0.11,0.0,51207.0,37311.0,32825.0,58205.16,,,,10000.0,,,,,,,,0.02,,,0.06,,,100.0,100.0,0.0,0.0,0.0,100.0,29.27,0.3098,44.04,1.8798,1.56
2022-03-18,74215.0,118001.85,1.02,1.2,1.02,0.12,1.0,58677.36,41390.0,36904.0,65810.1,,4079.0,,4079.0,,,,,,,4079.0,0.01,,,0.06,,,100.0,100.0,0.0,0.0,0.0,100.0,27.27,0.2818,42.2,1.7931,1.59
2022-03-21,74215.0,114291.1,1.02,1.19,1.02,0.12,1.0,56832.16,41390.0,36904.0,63740.6,,,,,,,,,,,,,,,0.07,,,100.0,100.0,0.0,0.0,0.0,100.0,27.62,0.2798,41.67,1.7931,1.54
2022-03-22,70136.0,114321.68,0.97,1.15,0.97,0.11,0.0,53504.75,37311.0,32825.0,60816.93,,,,,,0.01,,4079.0,,,,,,4079.0,0.06,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,28.64,0.3152,45.19,1.8798,1.63
2022-03-23,70136.0,110814.88,0.97,1.1,0.97,0.11,0.0,51863.5,37311.0,32825.0,58951.38,,,,,,,,,,,,,,,0.06,,,100.0,100.0,0.0,0.0,0.0,100.0,29.29,0.3106,44.16,1.8798,1.58
2022-03-24,70136.0,110814.88,0.97,1.11,0.97,0.11,0.0,51863.5,37311.0,32825.0,58951.38,,,,,,,,,,,,,,,0.06,,,100.0,100.0,0.0,0.0,0.0,100.0,29.05,0.3121,44.52,1.8798,1.58
2022-03-25,70136.0,110113.52,0.97,1.15,0.97,0.11,0.0,51535.25,37311.0,32825.0,58578.27,,,,,,,,,,,,,,,0.06,,,100.0,100.0,0.0,0.0,0.0,100.0,29.09,0.3117,44.44,1.8798,1.57
2022-03-28,63136.0,95019.68,0.87,1.04,0.87,0.1,0.0,38866.63,37311.0,25825.0,56153.06,,,,,,,,,,,,,,7000.0,0.06,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,32.38,0.2866,38.05,1.6922,1.505
2022-03-29,51136.0,75169.92,0.71,0.85,0.71,0.08,0.0,37962.75,25311.0,25825.0,37207.17,,,,,,0.02,,12000.0,,,,,,,0.04,,,100.0,100.0,0.0,0.0,0.0,100.0,33.47,0.3117,39.9,2.0203,1.47
2022-03-30,51581.0,77371.5,0.71,0.84,0.71,0.08,0.0,39405.0,25311.0,26270.0,37966.5,,,,445.0,,,,,,,,0.0,,,0.04,,,100.0,100.0,0.0,0.0,0.0,100.0,33.71,0.307,39.26,2.0379,1.5
2022-03-31,51581.0,68602.73,0.71,0.82,0.71,0.08,0.0,34939.1,25311.0,26270.0,33663.63,,,,,,,,,,,,,,,0.04,,,100.0,100.0,0.0,0.0,0.0,100.0,32.21,0.3057,40.18,2.0379,1.33
2022-04-01,46581.0,62232.22,0.64,0.69,0.64,0.07,0.0,28416.72,25311.0,21270.0,33815.5,,,,,,,,,,,,,,5000.0,0.04,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,36.91,0.3386,43.21,1.8403,1.336
2022-04-04,28869.0,38915.41,0.4,0.45,0.4,0.04,0.0,4796.18,25311.0,3558.0,34119.23,,,,,,,,,,,,,,17712.0,0.04,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,33.72,0.2755,35.1,1.1406,1.348
2022-04-05,4558.0,6107.72,0.06,0.07,0.06,0.01,0.0,4767.72,1000.0,3558.0,1340.0,,,,,,0.04,,24311.0,,,,,,,0.0,,,100.0,34.48,0.0,0.0,0.0,100.0,43.51,0.4172,46.72,1.5717,1.34
2022-04-06,4113.0,5429.16,0.06,0.07,0.06,0.01,0.0,4109.16,1000.0,3113.0,1320.0,,,,,,,,,,,,,,445.0,0.0,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,48.29,0.5006,51.71,4.113,1.32
2022-04-07,5472.0,6588.29,0.08,0.09,0.08,0.01,0.0,5384.29,2359.0,4472.0,2840.24,,1359.0,,1359.0,,,,,,,1359.0,0.0,,,0.0,,,100.0,100.0,0.0,0.0,0.0,100.0,35.21,0.3435,39.35,2.3196,1.204
2022-04-08,5472.0,6850.94,0.08,0.1,0.08,0.01,0.0,3897.48,2359.0,3113.0,2953.47,,,,,,,,,,,,,,1359.0,0.0,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,36.88,0.3416,37.2,2.3196,1.252
2022-04-11,4113.0,4952.05,0.06,0.07,0.06,0.01,0.0,3748.05,1000.0,3113.0,1204.0,,,,,,0.0,,1359.0,,,,,,,0.0,,,100.0,100.0,0.0,0.0,0.0,100.0,48.14,0.5007,51.86,4.113,1.204
2022-04-12,18791.0,21797.56,0.26,0.34,0.26,0.02,0.0,20637.56,15678.0,17791.0,18186.48,,14678.0,,14678.0,,,,,,,14678.0,0.02,,,0.02,,,100.0,100.0,0.0,0.0,0.0,100.0,10.99,0.6444,78.87,1.1986,1.16
2022-04-13,18791.0,21985.47,0.26,0.35,0.26,0.02,0.0,20815.47,15678.0,17791.0,18343.26,,,,,,,,,,,,,,,0.02,,,100.0,100.0,0.0,0.0,0.0,100.0,11.29,0.633,78.03,1.1986,1.17
2022-04-14,18791.0,21609.65,0.26,0.35,0.26,0.02,0.0,20459.65,15678.0,17791.0,18029.7,,,,,,,,,,,,,,,0.02,,,100.0,100.0,0.0,0.0,0.0,100.0,11.25,0.6356,78.22,1.1986,1.15
2022-04-15,18791.0,21609.65,0.26,0.35,0.26,0.02,0.0,20459.65,15678.0,17791.0,18029.7,,,,,,,,,,,,,,,0.02,,,100.0,100.0,0.0,0.0,0.0,100.0,11.4,0.6315,77.92,1.1986,
2022-04-18,18791.0,21609.65,0.26,0.35,0.26,0.02,0.0,20459.65,15678.0,17791.0,18029.7,,,,,,,,,,,,,,,0.02,,,100.0,100.0,0.0,0.0,0.0,100.0,11.32,0.6322,77.97,1.1986,
2022-04-19,18791.0,21271.41,0.26,0.35,0.26,0.02,0.0,20139.41,15678.0,17791.0,17747.5,,,,,,,,,,,,,,,0.02,,,100.0,100.0,0.0,0.0,0.0,100.0,11.33,0.6342,78.12,1.1986,1.132
2022-04-20,4113.0,4524.3,0.06,0.08,0.06,0.0,0.0,3424.3,1000.0,3113.0,1100.0,,,,,,0.02,,14678.0,,,,,,14678.0,0.0,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,48.43,0.5005,51.57,4.113,1.1
2022-04-21,4113.0,4450.27,0.06,0.08,0.06,0.0,0.0,3368.27,1000.0,3113.0,1082.0,,,,,,,,,,,,,,,0.0,,,100.0,100.0,0.0,0.0,0.0,100.0,48.24,0.5006,51.76,4.113,1.082
2022-04-22,4113.0,4269.29,0.06,0.08,0.06,0.0,0.0,3231.29,1000.0,3113.0,1038.0,,,,,,,,,,,,,,,0.0,,,100.0,100.0,0.0,0.0,0.0,100.0,47.96,0.5008,52.04,4.113,1.038
2022-04-25,4113.0,4113.0,0.06,0.09,0.06,0.0,0.0,3113.0,1000.0,3113.0,1000.0,,,,,,,,,,,,,,,0.0,,,100.0,100.0,0.0,0.0,0.0,100.0,47.8,0.501,52.2,4.113,1.0
2022-04-26,4113.0,4096.55,0.06,0.09,0.06,0.0,0.0,3100.55,1000.0,3113.0,996.0,,,,,,,,,,,,,,,0.0,,,100.0,100.0,0.0,0.0,0.0,100.0,48.25,0.5006,51.75,4.113,0.996
2022-04-27,4113.0,4067.76,0.06,0.09,0.06,0.0,0.0,3078.76,1000.0,3113.0,989.0,,,,,,,,,,,,,,,0.0,,,100.0,100.0,0.0,0.0,0.0,100.0,48.19,0.5007,51.81,4.113,0.989
2022-04-28,4113.0,4088.32,0.06,0.09,0.06,0.0,0.0,3094.32,1000.0,3113.0,994.0,,,,,,,,,,,,,,,0.0,,,100.0,100.0,0.0,0.0,0.0,100.0,48.37,0.5005,51.63,4.113,0.994
2022-04-29,4113.0,4178.81,0.06,0.09,0.06,0.0,0.0,3162.81,1000.0,3113.0,1016.0,,,,,,,,,,,,,,,0.0,,,100.0,100.0,0.0,0.0,0.0,100.0,48.92,0.5002,51.08,4.113,1.016
2022-05-02,4113.0,4071.87,0.06,0.09,0.06,0.0,0.0,3081.87,1000.0,3113.0,990.0,,,,,,,,,,,,,,,0.0,,,100.0,100.0,0.0,0.0,0.0,100.0,47.71,0.501,52.29,4.113,0.99
2022-05-03,4113.0,4129.45,0.06,0.09,0.06,0.0,0.0,3125.45,1000.0,3113.0,1004.0,,,,,,,,,,,,,,,0.0,,,100.0,100.0,0.0,0.0,0.0,100.0,48.56,0.5004,51.44,4.113,1.004
2022-05-04,4113.0,4277.52,0.06,0.1,0.06,0.0,0.0,3237.52,1000.0,3113.0,1040.0,,,,,,,,,,,,,,,0.0,,,100.0,100.0,0.0,0.0,0.0,100.0,49.15,0.5001,50.85,4.113,1.04
2022-05-05,4113.0,4129.45,0.06,0.09,0.06,0.0,0.0,3125.45,1000.0,3113.0,1004.0,,,,,,,,,,,,,,,0.0,,,100.0,100.0,0.0,0.0,0.0,100.0,47.39,0.5014,52.61,4.113,1.004
2022-05-06,4113.0,4071.87,0.06,0.1,0.06,0.0,0.0,3081.87,1000.0,3113.0,990.0,,,,,,,,,,,,,,,0.0,,,100.0,100.0,0.0,0.0,0.0,100.0,48.17,0.5007,51.83,4.113,0.99
2022-05-09,4113.0,3948.48,0.06,0.1,0.06,0.0,0.0,2988.48,1000.0,3113.0,960.0,,,,,,,,,,,,,,,0.0,,,100.0,100.0,0.0,0.0,0.0,100.0,48.14,0.5007,51.86,4.113,0.96
2022-05-10,4113.0,3783.96,0.06,0.1,0.06,0.0,0.0,2863.96,1000.0,3113.0,920.0,,,,,,,,,,,,,,,0.0,,,100.0,100.0,0.0,0.0,0.0,100.0,47.9,0.5009,52.1,4.113,0.92
2022-05-11,4113.0,3652.34,0.06,0.1,0.06,0.0,0.0,2764.34,1000.0,3113.0,888.0,,,,,,,,,,,,,,,0.0,,,100.0,100.0,0.0,0.0,0.0,100.0,48.14,0.5007,51.86,4.113,0.888
2022-05-12,4113.0,3483.71,0.06,0.1,0.06,0.0,0.0,2636.71,1000.0,3113.0,847.0,,,,,,,,,,,,,,,0.0,,,100.0,100.0,0.0,0.0,0.0,100.0,48.16,0.5007,51.84,4.113,0.847
2022-05-13,4113.0,3623.55,0.06,0.1,0.06,0.0,0.0,2742.55,1000.0,3113.0,881.0,,,,,,,,,,,,,,,0.0,,,100.0,100.0,0.0,0.0,0.0,100.0,49.95,0.5,50.05,4.113,0.881
2022-05-16,4113.0,3726.38,0.06,0.11,0.06,0.0,0.0,2820.38,1000.0,3113.0,906.0,,,,,,,,,,,,,,,0.0,,,100.0,100.0,0.0,0.0,0.0,100.0,49.71,0.5,50.29,4.113,0.906
2022-05-17,4113.0,3528.95,0.06,0.14,0.06,0.0,0.0,2670.95,1000.0,3113.0,858.0,,,,,,,,,,,,,,,0.0,,,100.0,100.0,0.0,0.0,0.0,100.0,47.93,0.5009,52.07,4.113,0.858
2022-05-18,4113.0,3627.67,0.06,0.14,0.06,0.0,0.0,2745.67,1000.0,3113.0,882.0,,,,,,,,,,,,,,,0.0,,,100.0,100.0,0.0,0.0,0.0,100.0,48.64,0.5004,51.36,4.113,0.882
2022-05-19,4113.0,3537.18,0.06,0.15,0.06,0.0,0.0,2677.18,1000.0,3113.0,860.0,,,,,,,,,,,,,,,0.0,,,100.0,100.0,0.0,0.0,0.0,100.0,48.36,0.5005,51.64,4.113,0.86
2022-05-20,4113.0,3549.52,0.06,0.15,0.06,0.0,0.0,2686.52,1000.0,3113.0,863.0,,,,,,,,,,,,,,,0.0,,,100.0,100.0,0.0,0.0,0.0,100.0,48.92,0.5002,51.08,4.113,0.863
2022-05-23,4113.0,3475.49,0.06,0.15,0.06,0.0,0.0,2630.49,1000.0,3113.0,845.0,,,,,,,,,,,,,,,0.0,,,100.0,100.0,0.0,0.0,0.0,100.0,48.75,0.5003,51.25,4.113,0.845
2022-05-24,4113.0,3512.5,0.06,0.17,0.06,0.0,0.0,2658.5,1000.0,3113.0,854.0,,,,,,,,,,,,,,,0.0,,,100.0,100.0,0.0,0.0,0.0,100.0,48.69,0.5003,51.31,4.113,0.854
2022-05-25,4113.0,3533.07,0.06,0.17,0.06,0.0,0.0,2674.07,1000.0,3113.0,859.0,,,,,,,,,,,,,,,0.0,,,100.0,100.0,0.0,0.0,0.0,100.0,48.41,0.5005,51.59,4.113,0.859
