,ENX FP Equity_DX_SI_QTY,ENX FP Equity_DX_SHORT_INTEREST_VALUE,ENX FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ENX FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ENX FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ENX FP Equity_DX_SI_MV,ENX FP Equity_DX_DSS,ENX FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ENX FP Equity_DX_SUPPLY_SI_QTY,ENX FP Equity_DX_BROKER_SI_QTY,ENX FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ENX FP Equity_DX_BROKER_SI_MV_NEW_x,ENX FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ENX FP Equity_DX_SUPPLY_SI_QTY_INC_x,ENX FP Equity_DX_BROKER_SI_MV_INC_x,ENX FP Equity_DX_SUPPLY_SI_MV_NEW,ENX FP Equity_DX_BROKER_SI_QTY_ADD,ENX FP Equity_DX_BROKER_SI_QTY_NEW,ENX FP Equity_DX_SUPPLY_SI_MV_DEC,ENX FP Equity_DX_BROKER_SI_QTY_INC,ENX FP Equity_DX_SUPPLY_SI_QTY_DEC,ENX FP Equity_DX_BROKER_SI_MV_NEW_y,ENX FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ENX FP Equity_DX_BROKER_SI_MV_INC_y,ENX FP Equity_DX_SUPPLY_SI_QTY_INC_y,ENX FP Equity_DX_BROKER_SI_MV_ADD,ENX FP Equity_DX_SUPPLY_SI_QTY_ADD,ENX FP Equity_DX_BROKER_SI_QTY_DEC,ENX FP Equity_DX_SUPPLY_SI_MV,ENX FP Equity_DX_BROKER_SI_MV_DEC,ENX FP Equity_DX_SUPPLY_SI_MV_RMV,ENX FP Equity_DX_BROKER_SI_MV_RMV,ENX FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ENX FP Equity_DX_UTILIZATION_QUANTITY,ENX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ENX FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ENX FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ENX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ENX FP Equity_DX_ACTIVE_UTILIZATION_MV,ENX FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ENX FP Equity_DX_BROKER_SI_CON_RATIO,ENX FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ENX FP Equity_DX_DEMAND_SUPPLY_RATIO,ENX FP Equity_PX_LAST
2017-03-03,190020.0,7579543.46,0.33,1.29,0.27,7.84,0.0,6985529.35,24467.0,175128.0,975943.01,,,,,,,,,,,,,,,,,,1.01,,,,0.19,0.19,13143820.0,524282470.05,,541.31,0.19,26.13,0.2024,30.2,0.0144,41.12
2017-03-06,205020.0,8120190.86,0.36,1.43,0.29,8.42,0.0,7530366.05,24467.0,190128.0,969060.14,,,,,,15000.0,,,,,,,,,0.63,,,1.0,,,,0.19,0.19,13138563.0,520376739.56,,539.09,0.19,21.73,0.1832,28.0,0.0156,40.83
2017-03-07,54020.0,2128032.21,0.09,0.38,0.08,2.22,0.0,1541385.49,24467.0,39128.0,963838.65,,,,,,,,,,,,,,,,,151000.0,1.0,6.17,,,0.18,0.18,13217677.0,520689418.77,,539.64,0.18,21.85,0.182,27.56,0.0041,40.61
2017-03-08,54020.0,2147158.82,0.09,0.39,0.08,2.22,0.0,1555239.36,24467.0,39128.0,972501.57,,,,,,,,,,,,,,,,,,1.0,,,,0.18,0.18,13254481.0,526832207.13,,540.02,0.18,21.76,0.1818,27.45,0.0041,40.975
2017-03-09,51520.0,2046040.95,0.09,0.38,0.07,2.13,0.0,1454627.09,24467.0,36628.0,971670.88,,,,,,,,,,,,,,,,,2500.0,1.0,0.1,,,0.18,0.18,13206934.0,524493938.82,,540.66,0.19,22.88,0.1976,28.85,0.0039,40.94
2017-03-10,56520.0,2259685.95,0.1,0.43,0.08,2.34,0.0,1464398.04,29467.0,36628.0,1178099.18,,,,,,,,,,,,,,,,5000.0,,1.21,,,,0.22,0.22,13219754.0,528529589.04,,540.29,0.22,20.83,0.1881,26.28,0.0043,41.215
2017-03-13,56520.0,2239674.17,0.1,0.43,0.08,2.34,0.0,1451429.33,29467.0,36628.0,1167665.94,,,,,,,,,,,,,,,,,,1.21,,,,0.22,0.22,13270478.0,525858932.09,,545.87,0.22,20.93,0.1878,26.23,0.0043,40.85
2017-03-14,41520.0,1647697.38,0.07,0.31,0.06,1.72,0.0,858294.77,29467.0,21628.0,1169380.99,,,,,,,,,,,,,,,,,15000.0,1.2,0.61,,,0.22,0.22,13297208.0,527692072.23,,544.51,0.22,24.65,0.219,28.3,0.0031,40.91
2017-03-15,41520.0,1643871.15,0.07,0.33,0.06,1.72,0.0,856301.67,29467.0,21628.0,1166665.49,,,,,,,,,,,,,,,,,,1.21,,,,0.22,0.22,13288193.0,526109756.87,,541.72,0.22,24.59,0.219,28.33,0.0031,40.815
2017-03-16,41520.0,1644072.53,0.07,0.34,0.06,1.71,0.0,856406.57,29467.0,21628.0,1166808.41,,,,,,,,,,,,,,,,,,1.2,,,,0.22,0.22,13301509.0,526701482.69,,540.64,0.22,24.63,0.2189,28.31,0.0031,40.82
2017-03-17,41520.0,1639440.77,0.07,0.34,0.06,1.71,0.0,853993.86,29467.0,21628.0,1163521.22,,,,,,,,,,,,,,,,,,1.2,,,,0.22,0.22,13270919.0,524009771.29,,541.32,0.22,24.57,0.2189,28.32,0.0031,40.705
2017-03-20,41520.0,1637829.73,0.07,0.34,0.06,1.71,0.0,853154.66,29467.0,21628.0,1162377.86,,,,,,,,,,,,,,,,,,1.2,,,,0.22,0.22,13236417.0,522133844.91,,538.69,0.22,24.62,0.219,28.32,0.0031,40.665
2017-03-21,41520.0,1631184.16,0.07,0.35,0.06,1.71,0.0,849692.94,29467.0,21628.0,1157661.46,,,,,,,,,,,,,,,,,,1.2,,,,0.22,0.22,13235308.0,519971695.24,,536.77,0.22,24.55,0.2188,28.33,0.0031,40.5
2017-03-22,41520.0,1602990.86,0.07,0.34,0.06,1.69,0.0,835006.89,29467.0,21628.0,1137652.49,,,,,,,,,,,,,,,,,,1.19,,,,0.22,0.22,13248849.0,511507316.73,,534.65,0.22,24.34,0.2189,28.47,0.0031,39.8
2017-03-23,41520.0,1634204.87,0.07,0.35,0.06,1.68,0.0,851266.45,29467.0,21628.0,1159805.27,,,,,,,,,,,,,,,,,,1.18,,,,0.22,0.22,13250106.0,521517047.11,,529.96,0.22,24.93,0.2189,28.11,0.0031,40.575
2017-03-24,41520.0,1607421.23,0.07,0.35,0.06,1.69,0.0,837314.7,29467.0,21628.0,1140796.76,,,,,,,,,,,,,,,,,,1.19,,,,0.22,0.22,13283455.0,514260780.4,,536.34,0.22,24.4,0.2194,28.52,0.0031,39.91
2017-03-27,36520.0,1409952.46,0.06,0.31,0.05,1.48,0.0,835006.89,24467.0,21628.0,944614.1,,,,,,,,0.2,,5000.0,,,,,,,,0.98,,,,0.18,0.18,13304666.0,513662281.58,,530.3,0.18,27.91,0.2259,32.17,0.0027,39.8
2017-03-28,36520.0,1409598.2,0.06,0.31,0.05,1.47,0.0,834797.09,24467.0,21628.0,944376.76,,,,,,,,,,,,,,,,,,0.97,,,,0.18,0.18,13315952.0,513968837.5,,531.15,0.18,27.96,0.226,32.15,0.0027,39.79
2017-03-29,36520.0,1422705.8,0.06,0.34,0.05,1.48,0.0,842559.72,24467.0,21628.0,953158.34,,,,,,,,,,,,,,,,,,0.98,,,,0.18,0.18,13304332.0,518295461.47,,532.12,0.18,28.1,0.2258,32.0,0.0027,40.16
2017-03-30,41720.0,1652396.66,0.07,0.41,0.06,1.71,0.0,959594.11,27067.0,24228.0,1072037.88,,,,,,2600.0,,,,,,,,,0.1,2600.0,,1.09,,,,0.2,0.2,13275048.0,525782476.8,,536.44,0.2,26.36,0.2014,29.8,0.0031,40.83
2017-03-31,75901.0,3011719.51,0.13,0.76,0.11,3.14,0.0,1159754.65,61248.0,29228.0,2430294.68,,,29181.0,0.22,,,,,5000.0,,,,0.22,29181.0,,5000.0,,2.5,,,,0.46,0.46,13227786.0,524872942.43,,541.75,0.46,21.06,0.2379,39.43,0.0057,40.905
2017-04-03,102901.0,4095545.36,0.18,1.05,0.15,4.26,0.0,3260046.3,64748.0,81909.0,2577024.24,,,,0.98,,29181.0,,,23500.0,,,,0.98,,1.2,3500.0,,2.65,,,,0.48,0.48,13314123.0,529913165.64,,545.44,0.48,23.42,0.2012,28.81,0.0077,41.03
2017-04-04,112901.0,4548860.63,0.2,1.15,0.16,4.73,0.0,3703078.2,64748.0,91909.0,2608742.42,,,,0.45,,,,,10000.0,,,,0.45,,,,,2.66,,,,0.48,0.48,13397187.0,539782079.46,,550.76,0.48,26.16,0.2097,28.14,0.0084,41.535
2017-04-05,112901.0,4606357.97,0.2,1.15,0.16,4.8,0.0,3749884.9,74748.0,91909.0,3049716.53,,,5000.0,,,,,,,,,,,5000.0,,5000.0,,3.12,,,,0.55,0.55,13522260.0,551707869.02,,563.21,0.55,26.18,0.2097,28.12,0.0083,42.06
2017-04-06,106401.0,4366961.5,0.19,1.09,0.15,4.56,0.0,3772173.8,74748.0,91909.0,3067843.7,,,,,,,,,,,,,,,,,,3.15,,,,0.55,0.55,13439017.0,551570660.11,,566.32,0.55,27.78,0.212,29.8,0.0079,42.31
2017-04-07,140382.0,5770477.67,0.25,1.44,0.2,6.02,0.0,5076122.92,77148.0,123490.0,3171210.06,,,,1.46,,,,0.1,34181.0,2600.0,,,1.46,,,5000.0,2600.0,3.27,0.11,,,0.57,0.57,13422005.0,551718739.58,,569.3,0.57,22.89,0.2722,42.72,0.0104,42.375
2017-04-10,142382.0,5778105.81,0.25,1.45,0.2,6.04,0.0,5092599.47,79148.0,125490.0,3211961.61,,,2000.0,0.08,,,,,2000.0,,,,0.08,2000.0,,,,3.34,,,,0.59,0.59,13436835.0,545289814.34,,568.03,0.58,22.52,0.2645,41.92,0.0105,41.835
2017-04-11,145795.0,5968232.17,0.26,1.58,0.21,6.2,0.0,3533126.31,111742.0,86309.0,4574246.02,,,,,,,,0.43,,10000.0,,,,,,42594.0,39181.0,4.68,1.63,,,0.83,0.83,13420385.0,549373939.15,,562.47,0.83,22.1,0.192,29.77,0.0108,42.2
2017-04-12,171547.0,7093133.72,0.3,1.92,0.25,7.33,0.0,3668977.76,130494.0,88734.0,5395672.28,,,23327.0,,,7000.0,,0.19,,4575.0,,,,23327.0,0.3,,4575.0,5.51,0.2,,,0.96,0.96,13411365.0,554533774.16,,566.55,0.96,19.58,0.2463,40.77,0.0127,42.625
2017-04-13,164571.0,6787129.25,0.29,1.85,0.24,7.07,0.0,3659509.43,123518.0,88734.0,5094048.34,,,,,,,,2.78,,65921.0,,,,,,58945.0,,5.25,,,,0.95,0.95,12837323.0,529428455.59,,546.76,0.95,20.32,0.2334,38.31,0.0127,42.515
2017-04-14,164571.0,6787129.25,0.29,1.86,0.24,7.06,0.0,3659509.43,123518.0,88734.0,5094048.34,,,,,,,,,,,,,,,,,,5.24,,,,0.95,0.95,12836202.0,529382224.04,,545.99,0.95,20.34,0.2332,38.25,0.0127,
2017-04-17,164571.0,6787129.25,0.29,1.86,0.24,7.06,0.0,3659509.43,123518.0,88734.0,5094048.34,,,,,,,,,,,,,,,,,,5.25,,,,0.95,0.95,12839202.0,529505948.08,,545.92,0.95,20.35,0.2333,38.27,0.0127,
2017-04-18,167571.0,6908415.01,0.29,1.9,0.24,7.18,0.0,3781898.67,123518.0,91734.0,5092251.08,,,,0.13,,,,,3000.0,,,,0.13,,,,,5.24,,,,0.96,0.96,12729055.0,524778121.94,,540.24,0.96,19.96,0.2269,37.55,0.013,42.5
2017-04-19,160571.0,6676680.09,0.28,1.74,0.23,6.92,0.0,3523312.5,123518.0,84734.0,5135984.53,,,,,,,,,,,,,,,,,7000.0,5.26,0.3,,,0.95,0.95,12866197.0,534987522.08,,547.66,0.95,20.05,0.2263,37.38,0.0124,42.865
2017-04-20,162795.0,6748626.58,0.29,1.76,0.23,7.04,0.0,3616263.96,123242.0,87234.0,5108966.72,,,,0.11,,,,0.0,2500.0,276.0,,,0.11,,,,,5.28,,,,0.95,0.95,12882185.0,534027802.65,,551.84,0.95,19.64,0.2218,36.86,0.0125,42.735
2017-04-21,244795.0,10175224.43,0.43,2.64,0.35,10.54,0.0,7034432.61,205242.0,169234.0,8531152.24,,,,3.51,,,,,82000.0,,,,3.51,,,82000.0,,8.77,,,,1.57,1.57,12827486.0,533191237.41,,549.05,1.57,24.29,0.3006,47.0,0.0188,42.85
2017-04-24,244795.0,10794998.9,0.43,2.65,0.35,10.96,0.0,7462900.97,205242.0,169234.0,9050786.02,,,,,,,,,,,,,,,,,,8.85,,,,1.57,1.57,12833127.0,565916754.04,,554.22,1.57,23.39,0.3054,47.94,0.0188,45.46
2017-04-25,207363.0,9005524.03,0.37,2.08,0.3,9.39,0.0,7506970.23,164187.0,172857.0,7130442.63,,,10000.0,,,3623.0,,2.17,,51055.0,,,,10000.0,0.17,,,7.44,,,,1.21,1.21,13429442.0,583224406.95,,607.25,1.21,10.85,0.3431,55.33,0.0153,44.77
2017-04-26,198195.0,8661201.0,0.35,1.97,0.28,8.99,0.0,7738467.03,109796.0,177080.0,4798129.24,,,,,,4223.0,,2.66,,58614.0,,,,,0.19,4223.0,,4.92,,,,0.81,0.81,13478016.0,588994705.37,,604.55,0.81,11.67,0.3882,59.52,0.0146,45.05
2017-04-27,198195.0,8688117.05,0.35,1.92,0.28,9.02,0.0,7762515.54,135796.0,177080.0,5952781.57,,,,,,,,0.68,,15000.0,,,,,,41000.0,,6.12,,,,1.0,1.0,13434230.0,588905687.41,,605.69,1.0,11.65,0.3878,59.48,0.0146,45.19
2017-04-28,198195.0,8656394.56,0.35,1.89,0.28,9.0,0.0,7734172.65,145796.0,177080.0,6367807.97,,,,,,,,,,,,,,,,10000.0,,6.59,,,,1.07,1.07,13418446.0,586066061.0,,605.27,1.08,11.64,0.3874,59.45,0.0146,45.025
2017-05-01,198195.0,8656394.56,0.35,1.86,0.28,9.0,0.0,7734172.65,145796.0,177080.0,6367807.97,,,,,,,,,,,,,,,,,,6.56,,,,1.07,1.07,13421020.0,586178483.41,,604.25,1.07,11.64,0.3876,59.47,0.0146,
2017-05-02,198195.0,8812123.15,0.35,1.86,0.28,9.12,0.0,7873310.46,145796.0,177080.0,6482364.87,,,,,,,,,,,,,,,,,,6.58,,,,1.07,1.07,13424370.0,596872784.89,,606.79,1.07,11.69,0.3895,59.64,0.0146,45.835
2017-05-03,185172.0,8398350.71,0.33,1.7,0.26,8.69,0.0,7540473.69,138596.0,166257.0,6285927.76,,,,,,,,0.33,,7200.0,,,,,,,10823.0,6.37,0.4,,,1.02,1.02,13447401.0,609897769.28,,619.46,1.02,12.4,0.4027,60.45,0.0136,46.755
2017-05-04,185172.0,8568096.01,0.33,1.63,0.26,8.85,0.0,7692879.8,138596.0,166257.0,6412977.31,,,,,,,,,,,,,,,,,,6.49,,,,1.03,1.03,13324764.0,616550327.47,,624.42,1.03,12.43,0.4025,60.43,0.0138,47.7
2017-05-05,185172.0,8800709.94,0.33,1.58,0.26,9.11,0.0,7901732.61,138596.0,166257.0,6587082.25,,,,,,,,,,,,,,,,,,6.64,,,,1.02,1.02,13442627.0,638890658.4,,644.17,1.02,12.41,0.4019,60.37,0.0136,48.995
2017-05-08,180172.0,8432866.89,0.32,1.54,0.26,8.77,0.0,7547559.09,138596.0,161257.0,6486921.49,,,,,,,,,,,,,,,,,5000.0,6.78,0.33,,,1.03,1.03,13325579.0,623697544.03,,651.91,1.03,12.71,0.3872,58.93,0.0134,48.25
2017-05-09,199353.0,9241669.52,0.35,1.67,0.28,9.61,0.0,7475603.08,138596.0,161257.0,6425077.27,,,,,,,,,,,,,,,,,,6.68,,,,1.02,1.02,13464420.0,624187847.05,,649.43,1.02,19.93,0.3438,53.07,0.0147,47.79
2017-05-10,299353.0,13899280.07,0.53,2.46,0.43,14.37,0.0,9808888.53,188596.0,211257.0,8756714.06,,,,2.39,,,,,50000.0,,,,2.39,,,50000.0,,9.02,,,,1.38,1.38,13491574.0,626428215.5,,645.41,1.38,24.62,0.2338,35.07,0.0219,47.865
2017-05-11,290261.0,13289887.78,0.51,2.33,0.41,13.78,0.0,9768761.86,177404.0,213357.0,8122618.1,,,400.0,0.1,,,,0.65,2100.0,13592.0,,,0.1,400.0,,2000.0,,8.45,,,,1.3,1.3,13418850.0,614395356.6,,640.49,1.3,25.57,0.2494,36.43,0.0213,47.2
2017-05-12,255299.0,11842661.43,0.45,2.03,0.36,12.25,0.0,9007323.28,161623.0,194176.0,7497273.66,,,,,,,,0.84,,17481.0,,,,,,1700.0,19181.0,7.67,0.91,,,1.18,1.18,13531350.0,627684388.61,,639.38,1.19,29.46,0.308,41.95,0.0186,47.82
2017-05-15,255299.0,11949151.27,0.45,2.0,0.36,12.36,0.0,9088317.61,161623.0,194176.0,7564689.55,,41000.0,,,1.96,,,,,,,41000.0,,,,,,7.76,,1.94,,1.18,1.18,13514438.0,632537001.92,41000.0,646.49,1.19,29.47,0.3083,41.98,0.0187,48.25
2017-05-16,245299.0,11318109.9,0.43,1.95,0.35,11.73,0.0,8728591.47,156623.0,189176.0,7226594.19,,,,,,,,0.24,,5000.0,,,,,,,5000.0,7.51,0.29,,,1.14,1.14,13596391.0,627338259.04,,649.28,1.14,27.96,0.3081,42.76,0.0178,47.565
2017-05-17,195299.0,8902174.28,0.35,1.56,0.28,9.25,0.0,6343959.82,156623.0,139176.0,7139233.91,,,,,,,,,,,,,,,,,50000.0,7.43,2.39,,,1.15,1.15,13505880.0,615628844.03,,639.06,1.15,26.46,0.3743,53.85,0.0143,46.99
2017-05-18,165299.0,7450523.62,0.29,1.32,0.24,7.74,0.0,6273081.35,126623.0,139176.0,5707279.85,,,,,,,,1.44,,30000.0,,,,,,,,5.93,,,,0.94,0.94,13395777.0,603788001.7,,628.62,0.93,12.47,0.447,64.14,0.0122,46.465
2017-05-19,145299.0,6605441.86,0.26,1.14,0.21,6.85,0.0,6327083.99,106623.0,139176.0,4847191.16,,,,,,,,0.93,,20000.0,,,,,,,,4.96,,,,0.79,0.79,13442900.0,611128049.31,,624.5,0.79,12.28,0.5646,73.38,0.0107,46.865
2017-05-22,138599.0,6353287.26,0.24,1.08,0.2,6.58,0.0,6150539.84,99923.0,134176.0,4580404.79,,,,,,,,0.31,,6700.0,,,,,,,5000.0,4.66,0.2,,,0.74,0.74,13402845.0,614377624.69,,628.3,0.74,12.75,0.5527,72.44,0.0103,47.255
2017-05-23,128323.0,5900291.58,0.23,0.99,0.18,6.13,0.0,5555441.57,107300.0,120823.0,4933654.03,,,,,,12500.0,,0.24,,5123.0,,,,,0.62,12500.0,25853.0,5.08,1.23,,,0.8,0.8,13386981.0,615533390.13,,634.37,0.79,10.96,0.4879,67.84,0.0095,47.4
2017-05-24,108823.0,5042857.82,0.19,0.82,0.16,5.1,0.0,4950177.82,98800.0,106823.0,4578392.0,,,,,,,,0.4,,8500.0,,,,,,,14000.0,4.68,0.66,,,0.73,0.73,13383008.0,620168590.72,,631.09,0.74,12.45,0.6538,79.75,0.0081,46.34
2017-05-25,107123.0,4936227.84,0.19,0.79,0.15,4.97,0.0,4844067.84,98800.0,105123.0,4552704.0,,,,,,,,,,,,,,,,,1700.0,4.58,0.1,,,0.73,0.73,13370941.0,616132961.28,,618.3,0.73,12.44,0.6528,79.69,0.008,46.08
2017-05-26,134180.0,6179659.9,0.24,0.99,0.19,6.23,0.0,4936174.9,129980.0,107180.0,5986228.9,,,,,,6180.0,,,,,,,,,0.3,31180.0,4123.0,5.99,0.19,,,73.55,0.96,46748.0,2152979.14,,2.16,73.51,18.77,0.4488,63.32,0.0099,46.055
2017-05-29,159180.0,7385952.0,0.28,1.17,0.23,7.42,0.0,6133152.0,129980.0,132180.0,6031072.0,,,,1.16,,,,,25000.0,,,,1.16,,,,,6.0,,,,73.55,0.96,46748.0,2169107.2,,2.16,73.55,17.23,0.3494,53.48,0.0118,46.4
2017-05-30,158520.0,7342646.4,0.28,1.16,0.23,7.38,0.0,6092006.4,129320.0,131520.0,5990102.4,,,,,,,,0.03,,660.0,,,,,,,660.0,6.0,0.03,,,73.45,0.96,46748.0,2165367.36,,2.17,73.46,17.29,0.3516,53.67,0.0117,46.32
2017-05-31,158246.0,7367933.76,0.28,1.14,0.23,7.38,0.0,6110813.76,129046.0,131246.0,6008381.76,,,,,,,,0.01,,274.0,,,,,,,274.0,5.97,0.01,,,73.41,0.96,46748.0,2176586.88,,2.15,73.5,17.37,0.3538,53.89,0.0118,46.56
2017-06-01,169438.0,7987307.32,0.3,1.23,0.24,8.01,0.0,6186936.44,140238.0,131246.0,6610819.32,,,,,,,,,,,,,,,,11192.0,,6.55,,,,1.04,1.04,13340472.0,628869850.08,,623.64,1.04,16.2,0.3129,50.3,0.0126,47.14
2017-06-02,169438.0,8119468.96,0.3,1.2,0.24,8.12,0.0,6289308.32,140238.0,131246.0,6720204.96,,,,,,,,,,,,,,,,,,6.63,,,,1.05,1.05,13214233.0,633226045.36,,624.44,1.05,16.23,0.3135,50.36,0.0127,47.92
2017-06-05,158246.0,7552290.35,0.28,1.11,0.23,7.59,0.0,6263715.35,129046.0,131246.0,6158720.35,,,,,,,,0.52,,11192.0,,,,,,,,6.18,,,,73.41,0.97,46748.0,2231048.3,,2.24,73.36,17.32,0.3524,53.73,0.0119,47.725
2017-06-06,158246.0,7348153.01,0.28,1.11,0.23,7.41,0.0,6094408.01,134292.0,131246.0,6235849.02,,,5246.0,,,,,,,,,,,5246.0,,,,6.39,,,,74.18,1.01,46748.0,2170743.38,,2.23,74.15,17.28,0.351,53.6,0.0119,46.435
2017-06-07,160746.0,7477903.92,0.28,1.17,0.23,7.51,0.0,6221863.92,136792.0,133746.0,6363563.84,,,,,,2500.0,,,,,,,,,0.12,2500.0,,6.38,,,,59.21,1.04,94248.0,4384416.96,,4.38,59.27,17.06,0.3422,52.94,0.0122,46.52
2017-06-08,199376.0,9235096.32,0.35,1.48,0.28,9.29,0.0,7984456.32,136792.0,172376.0,6336205.44,,,,1.8,,,,,38630.0,,,,1.8,,,,,6.39,,,,59.21,1.03,94248.0,4365567.36,,4.38,59.29,22.19,0.2695,42.52,0.0151,46.32
2017-06-09,197182.0,9188681.2,0.35,1.46,0.28,9.21,0.0,7930481.2,136792.0,170182.0,6374507.2,,,,,,,,,,,,,,,,,2194.0,6.37,0.11,,,59.21,1.03,94248.0,4391956.8,,4.39,59.22,21.18,0.2713,43.13,0.0149,46.6
2017-06-12,184564.0,8443803.0,0.33,1.37,0.26,8.52,0.0,7208553.0,131546.0,157564.0,6018229.5,,,,,,,,0.26,,5246.0,,,,,,,12618.0,6.1,0.58,,,58.26,1.0,94248.0,4311846.0,,4.35,58.4,16.08,0.2819,45.86,0.014,45.75
2017-06-13,101502.0,4738620.87,0.18,0.76,0.15,4.73,0.0,3478125.87,49546.0,74502.0,2313055.01,,,,,,,,3.82,,82000.0,,,,,,,83062.0,2.29,3.82,,,34.46,0.37,94248.0,4399967.88,,4.36,34.5,27.37,0.2328,27.61,0.0077,46.685
2017-06-14,101502.0,4605653.25,0.18,0.77,0.15,4.7,0.0,3380528.25,49546.0,74502.0,2248149.75,,,,,,,,,,,,,,,,,,2.27,,,,34.46,0.38,94248.0,4276503.0,,4.34,34.4,26.8,0.2324,28.39,0.0077,45.375
2017-06-15,92238.0,4212048.27,0.17,0.43,0.13,4.24,0.0,2979093.27,49546.0,65238.0,2262518.09,,,,,,,,,,,,,,,,,9264.0,2.26,0.46,,,34.46,0.38,94248.0,4303834.92,,4.32,34.41,27.5,0.2301,29.92,0.007,45.665
2017-06-16,86992.0,4043823.12,0.17,0.4,0.12,4.05,0.0,2788728.12,44300.0,59992.0,2059285.5,,,,,,,,0.24,,5246.0,,,,,,,5246.0,2.05,0.23,,,31.97,0.33,94248.0,4381118.28,,4.33,32.08,29.34,0.2371,31.92,0.0064,46.485
2017-06-19,86742.0,4063862.7,0.17,0.39,0.12,4.09,0.0,2798912.7,44300.0,59742.0,2075455.0,,,,,,,,,,,,,,,,,250.0,2.07,0.0,,,28.85,0.33,109248.0,5118268.8,,5.11,28.85,29.3,0.2369,31.88,0.0064,46.85
2017-06-20,73888.0,3447983.52,0.14,0.33,0.11,3.49,0.0,2188028.52,44300.0,46888.0,2067259.5,,,,,,,,,,,,,,,,,12854.0,2.07,0.6,,,28.85,0.33,109248.0,5098057.92,,5.11,28.83,34.37,0.2941,37.4,0.0055,46.665
2017-06-21,28500.0,1332232.5,0.05,0.13,0.04,1.37,0.0,1005017.5,24300.0,21500.0,1135903.5,,,,,,,,1.17,,25000.0,,,,,,5000.0,25388.0,1.13,1.18,,,18.2,0.18,109248.0,5106797.76,,5.1,18.19,11.21,0.3913,59.09,0.0021,46.745
2017-06-22,23500.0,1100152.5,0.04,0.11,0.03,1.14,0.0,1006522.5,19300.0,21500.0,903529.5,,,,,,,,0.23,,5000.0,,,,,,,,0.9,,,,23.59,0.14,62500.0,2925937.5,,2.93,23.56,11.21,0.3912,59.08,0.0017,46.815
2017-06-23,20420.0,952184.6,0.04,0.09,0.03,0.98,0.0,858924.6,16220.0,18420.0,756338.6,,,,,,,,0.14,,3080.0,,,,,,,3080.0,0.76,0.15,,,20.6,0.12,62500.0,2914375.0,,2.91,20.62,13.14,0.3293,52.11,0.0015,46.63
2017-06-26,20457.0,954625.91,0.05,0.09,0.03,0.98,0.0,859569.3,16257.0,18420.0,758632.91,,2000.0,,,0.09,,,,,,,2000.0,,,,37.0,,0.76,,0.09,,0.12,0.12,13464841.0,628336805.27,2000.0,628.32,0.12,13.1,0.328,52.01,0.0015,46.665
2017-06-27,11037.0,506708.67,0.03,0.05,0.02,0.51,0.0,413190.0,6837.0,9000.0,313886.67,,,,,,,,0.44,,9420.0,,,,,,,9420.0,0.32,0.46,,,0.05,0.05,13368998.0,613770698.18,,618.9,0.05,26.27,0.25,27.64,0.0008,45.91
2017-06-28,11037.0,508750.52,0.03,0.05,0.02,0.51,0.0,414855.0,6837.0,9000.0,315151.52,,,,,,,,,,,,,,,,,,0.31,,,,0.05,0.05,13320890.0,614026424.55,,610.49,0.05,26.42,0.2498,27.24,0.0008,46.095
2017-06-29,11141.0,505857.11,0.03,0.05,0.02,0.51,0.0,408645.0,6941.0,9000.0,315156.11,,,104.0,,,,,,,,,,,104.0,,,,0.32,,,,0.05,0.05,13370851.0,607103489.66,,612.67,0.05,25.98,0.2446,27.3,0.0008,45.405
2017-06-30,11141.0,506358.45,0.03,0.05,0.02,0.51,0.0,409050.0,6941.0,9000.0,315468.45,,,,,,,,,,,,,,,,,,0.32,,,,0.05,0.05,13350180.0,606765681.0,,606.13,0.05,26.1,0.2444,26.99,0.0008,45.45
2017-07-03,13636.0,621869.78,0.04,0.06,0.02,0.63,0.0,515336.5,7136.0,11300.0,325437.28,,,195.0,,,2300.0,,,,,,,,195.0,0.1,,,0.33,,,,0.05,0.05,13377152.0,610065016.96,,609.39,0.05,20.58,0.1906,21.23,0.001,45.605
2017-07-04,13636.0,625074.24,0.04,0.06,0.02,0.63,0.0,517992.0,7136.0,11300.0,327114.24,,,,,,,,,,,,,,,,,,0.33,,,,0.05,0.05,13401105.0,614306653.2,,612.09,0.05,20.6,0.1906,21.21,0.001,45.84
2017-07-05,13636.0,626301.48,0.04,0.06,0.02,0.63,0.0,519009.0,7136.0,11300.0,327756.48,,,,,,,,,,,,,,,,,,0.33,,,,0.05,0.05,13395226.0,615242730.18,,614.09,0.05,20.57,0.1906,21.25,0.001,45.93
