,ALRIB FP Equity_DX_SI_QTY,ALRIB FP Equity_DX_SHORT_INTEREST_VALUE,ALRIB FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALRIB FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALRIB FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALRIB FP Equity_DX_SI_MV,ALRIB FP Equity_DX_DSS,ALRIB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALRIB FP Equity_DX_SUPPLY_SI_QTY,ALRIB FP Equity_DX_BROKER_SI_QTY,ALRIB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALRIB FP Equity_DX_BROKER_SI_MV_NEW_x,ALRIB FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALRIB FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALRIB FP Equity_DX_BROKER_SI_MV_INC_x,ALRIB FP Equity_DX_SUPPLY_SI_MV_NEW,ALRIB FP Equity_DX_BROKER_SI_QTY_ADD,ALRIB FP Equity_DX_BROKER_SI_QTY_NEW,ALRIB FP Equity_DX_SUPPLY_SI_MV_DEC,ALRIB FP Equity_DX_BROKER_SI_QTY_INC,ALRIB FP Equity_DX_SUPPLY_SI_QTY_DEC,ALRIB FP Equity_DX_BROKER_SI_MV_NEW_y,ALRIB FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALRIB FP Equity_DX_BROKER_SI_MV_INC_y,ALRIB FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALRIB FP Equity_DX_BROKER_SI_MV_ADD,ALRIB FP Equity_DX_SUPPLY_SI_QTY_ADD,ALRIB FP Equity_DX_BROKER_SI_QTY_DEC,ALRIB FP Equity_DX_SUPPLY_SI_MV,ALRIB FP Equity_DX_BROKER_SI_MV_DEC,ALRIB FP Equity_DX_SUPPLY_SI_MV_RMV,ALRIB FP Equity_DX_BROKER_SI_MV_RMV,ALRIB FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALRIB FP Equity_DX_UTILIZATION_QUANTITY,ALRIB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALRIB FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALRIB FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALRIB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALRIB FP Equity_DX_ACTIVE_UTILIZATION_MV,ALRIB FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALRIB FP Equity_DX_BROKER_SI_CON_RATIO,ALRIB FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALRIB FP Equity_DX_DEMAND_SUPPLY_RATIO
2010-07-30,10000.0,18221.79,0.09,0.31,0.05,0.02,0.0,0.0,10000.0,0.0,18221.79,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-08-02,10000.0,18315.71,0.09,0.32,0.05,0.02,0.0,0.0,10000.0,0.0,18315.71,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-08-03,10000.0,18127.86,0.09,0.32,0.05,0.02,0.0,0.0,10000.0,0.0,18127.86,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-08-04,10000.0,18315.71,0.09,0.31,0.05,0.02,0.0,0.0,10000.0,0.0,18315.71,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-08-05,10000.0,18127.86,0.09,0.32,0.05,0.02,0.0,0.0,10000.0,0.0,18127.86,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-08-06,10000.0,18221.79,0.09,0.32,0.05,0.02,0.0,0.0,10000.0,0.0,18221.79,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-08-09,10000.0,18221.79,0.09,0.31,0.05,0.02,0.0,0.0,10000.0,0.0,18221.79,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-08-10,10000.0,18221.79,0.09,0.31,0.05,0.02,0.0,0.0,10000.0,0.0,18221.79,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-08-11,10000.0,18221.79,0.09,0.31,0.05,0.02,0.0,0.0,10000.0,0.0,18221.79,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-08-12,10000.0,18221.79,0.09,0.31,0.05,0.02,0.0,0.0,10000.0,0.0,18221.79,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-08-13,10000.0,18221.79,0.09,0.31,0.05,0.02,0.0,0.0,10000.0,0.0,18221.79,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-08-16,10000.0,18315.71,0.09,0.31,0.05,0.02,0.0,0.0,10000.0,0.0,18315.71,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-08-17,10000.0,18409.64,0.09,0.31,0.05,0.02,0.0,0.0,10000.0,0.0,18409.64,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-08-18,10000.0,18221.79,0.09,0.31,0.05,0.02,0.0,0.0,10000.0,0.0,18221.79,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-08-19,10000.0,18409.64,0.09,0.31,0.05,0.02,0.0,0.0,10000.0,0.0,18409.64,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-08-20,10000.0,18409.64,0.09,0.34,0.05,0.02,0.0,0.0,10000.0,0.0,18409.64,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-08-23,10000.0,18409.64,0.09,0.35,0.05,0.02,0.0,0.0,10000.0,0.0,18409.64,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-08-24,10000.0,18315.71,0.09,0.36,0.05,0.02,0.0,0.0,10000.0,0.0,18315.71,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-08-25,10000.0,18315.71,0.09,0.48,0.05,0.02,0.0,0.0,10000.0,0.0,18315.71,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-08-26,10000.0,18597.49,0.09,0.51,0.05,0.02,0.0,0.0,10000.0,0.0,18597.49,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-08-27,10000.0,18597.49,0.09,0.51,0.05,0.02,0.0,0.0,10000.0,0.0,18597.49,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-08-30,10000.0,18597.49,0.09,0.54,0.05,0.02,0.0,0.0,10000.0,0.0,18597.49,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-08-31,10000.0,18597.49,0.09,0.56,0.05,0.02,0.0,0.0,10000.0,0.0,18597.49,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-09-01,10000.0,18785.35,0.09,0.58,0.05,0.02,0.0,0.0,10000.0,0.0,18785.35,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-09-02,10000.0,18597.49,0.09,0.57,0.05,0.02,0.0,0.0,10000.0,0.0,18597.49,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-09-03,10000.0,18691.42,0.09,0.6,0.05,0.02,0.0,0.0,10000.0,0.0,18691.42,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-09-06,10000.0,18691.42,0.09,0.59,0.05,0.02,0.0,0.0,10000.0,0.0,18691.42,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-09-07,10000.0,18785.35,0.09,0.6,0.05,0.02,0.0,0.0,10000.0,0.0,18785.35,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-09-08,10000.0,18785.35,0.09,0.62,0.05,0.02,0.0,0.0,10000.0,0.0,18785.35,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-09-09,10000.0,18973.2,0.09,0.55,0.05,0.02,0.0,0.0,10000.0,0.0,18973.2,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-09-10,10000.0,20194.25,0.09,0.54,0.05,0.02,0.0,0.0,10000.0,0.0,20194.25,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-09-13,10000.0,19630.69,0.09,0.4,0.05,0.02,0.0,0.0,10000.0,0.0,19630.69,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-09-14,10000.0,19067.13,0.09,0.37,0.05,0.02,0.0,0.0,10000.0,0.0,19067.13,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-09-15,10000.0,19442.83,0.09,0.38,0.05,0.02,0.0,0.0,10000.0,0.0,19442.83,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-09-16,10000.0,19630.69,0.09,0.38,0.05,0.02,0.0,0.0,10000.0,0.0,19630.69,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-09-17,10000.0,19724.61,0.09,0.36,0.05,0.02,0.0,0.0,10000.0,0.0,19724.61,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-09-20,10000.0,20194.25,0.09,0.35,0.05,0.02,0.0,0.0,10000.0,0.0,20194.25,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-09-21,10000.0,20194.25,0.09,0.34,0.05,0.02,0.0,0.0,10000.0,0.0,20194.25,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-09-22,10000.0,19818.54,0.09,0.34,0.05,0.02,0.0,0.0,10000.0,0.0,19818.54,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-09-23,10000.0,19818.54,0.09,0.34,0.05,0.02,0.0,0.0,10000.0,0.0,19818.54,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-09-24,10000.0,19818.54,0.09,0.34,0.05,0.02,0.0,0.0,10000.0,0.0,19818.54,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-09-27,10000.0,19912.47,0.09,0.34,0.05,0.02,0.0,0.0,10000.0,0.0,19912.47,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-09-28,10000.0,19818.54,0.09,0.34,0.05,0.02,0.0,0.0,10000.0,0.0,19818.54,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-09-29,10000.0,19818.54,0.09,0.34,0.05,0.02,0.0,0.0,10000.0,0.0,19818.54,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-09-30,10000.0,19912.47,0.09,0.34,0.05,0.02,0.0,0.0,10000.0,0.0,19912.47,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-10-01,10000.0,20382.1,0.09,0.34,0.05,0.02,0.0,0.0,10000.0,0.0,20382.1,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-10-04,10000.0,20382.1,0.09,0.32,0.05,0.02,0.0,0.0,10000.0,0.0,20382.1,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-10-05,10000.0,20476.03,0.09,0.32,0.05,0.02,0.0,0.0,10000.0,0.0,20476.03,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-10-06,10000.0,20663.88,0.09,0.32,0.05,0.02,0.0,0.0,10000.0,0.0,20663.88,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-10-07,10000.0,20663.88,0.09,0.31,0.05,0.02,0.0,0.0,10000.0,0.0,20663.88,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-10-08,10000.0,21039.59,0.09,0.31,0.05,0.02,0.0,0.0,10000.0,0.0,21039.59,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-10-11,10000.0,21791.0,0.09,0.3,0.05,0.02,0.0,0.0,10000.0,0.0,21791.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-10-12,10000.0,22072.78,0.09,0.28,0.05,0.02,0.0,0.0,10000.0,0.0,22072.78,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-10-13,10000.0,22448.49,0.09,0.27,0.05,0.02,0.0,0.0,10000.0,0.0,22448.49,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-10-14,10000.0,22072.78,0.09,0.27,0.05,0.02,0.0,0.0,10000.0,0.0,22072.78,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-10-15,10000.0,22072.78,0.09,0.26,0.05,0.02,0.0,0.0,10000.0,0.0,22072.78,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-10-18,10000.0,21978.86,0.09,0.25,0.05,0.02,0.0,0.0,10000.0,0.0,21978.86,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-10-19,10000.0,21791.0,0.09,0.25,0.05,0.02,0.0,0.0,10000.0,0.0,21791.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-10-20,10000.0,21791.0,0.09,0.25,0.05,0.02,0.0,0.0,10000.0,0.0,21791.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-10-21,10000.0,21791.0,0.09,0.26,0.05,0.02,0.0,0.0,10000.0,0.0,21791.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-10-22,10000.0,21884.93,0.09,0.26,0.05,0.02,0.0,0.0,10000.0,0.0,21884.93,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-10-25,10000.0,21884.93,0.09,0.32,0.05,0.02,0.0,0.0,10000.0,0.0,21884.93,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-10-26,10000.0,21791.0,0.09,0.33,0.05,0.02,0.0,0.0,10000.0,0.0,21791.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-10-27,10000.0,21697.08,0.09,0.35,0.05,0.02,0.0,0.0,10000.0,0.0,21697.08,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-10-28,10000.0,21791.0,0.09,0.35,0.05,0.02,0.0,0.0,10000.0,0.0,21791.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-10-29,10000.0,21603.15,0.09,0.37,0.05,0.02,0.0,0.0,10000.0,0.0,21603.15,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-11-01,10000.0,21039.59,0.09,0.38,0.05,0.02,0.0,0.0,10000.0,0.0,21039.59,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-11-02,10000.0,20663.88,0.09,0.38,0.05,0.02,0.0,0.0,10000.0,0.0,20663.88,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-11-03,10000.0,20851.74,0.09,0.37,0.05,0.02,0.0,0.0,10000.0,0.0,20851.74,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-11-04,10000.0,20851.74,0.09,0.37,0.05,0.02,0.0,0.0,10000.0,0.0,20851.74,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-11-05,10000.0,21509.22,0.09,0.37,0.05,0.02,0.0,0.0,10000.0,0.0,21509.22,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-11-08,10000.0,21603.15,0.09,0.35,0.05,0.02,0.0,0.0,10000.0,0.0,21603.15,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-11-09,10000.0,21603.15,0.09,0.35,0.05,0.02,0.0,0.0,10000.0,0.0,21603.15,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-11-10,10000.0,21415.3,0.09,0.35,0.05,0.02,0.0,0.0,10000.0,0.0,21415.3,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-11-11,10000.0,21321.37,0.09,0.34,0.05,0.02,0.0,0.0,10000.0,0.0,21321.37,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-11-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.02,,10000.0,,,,,,,,0.0,,,,0.0,0.0,51500.0,109321.33,,0.12,0.0,,0.0,,0.0
2010-11-15,10000.0,21227.44,0.09,0.36,0.05,0.02,0.0,0.0,10000.0,0.0,21227.44,,,,,,,,,,,,,,,,10000.0,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-11-16,10000.0,21133.52,0.09,0.36,0.05,0.02,0.0,0.0,10000.0,0.0,21133.52,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-11-17,10000.0,21509.22,0.09,0.36,0.05,0.02,0.0,0.0,10000.0,0.0,21509.22,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-11-18,10000.0,21603.15,0.09,0.35,0.05,0.02,0.0,0.0,10000.0,0.0,21603.15,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-11-19,10000.0,21321.37,0.09,0.36,0.05,0.02,0.0,0.0,10000.0,0.0,21321.37,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-11-22,10000.0,21227.44,0.09,0.37,0.05,0.02,0.0,0.0,10000.0,0.0,21227.44,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-11-23,10000.0,20945.66,0.09,0.4,0.05,0.02,0.0,0.0,10000.0,0.0,20945.66,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-11-24,10000.0,21039.59,0.09,0.41,0.05,0.02,0.0,0.0,10000.0,0.0,21039.59,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-11-25,10000.0,20757.81,0.09,0.41,0.05,0.02,0.0,0.0,10000.0,0.0,20757.81,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-11-26,10000.0,21133.52,0.09,0.45,0.05,0.02,0.0,0.0,10000.0,0.0,21133.52,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-11-29,10000.0,20945.66,0.09,0.49,0.05,0.02,0.0,0.0,10000.0,0.0,20945.66,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-11-30,10000.0,20945.66,0.09,0.51,0.05,0.02,0.0,0.0,10000.0,0.0,20945.66,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-12-01,10000.0,20757.81,0.09,0.52,0.05,0.02,0.0,0.0,10000.0,0.0,20757.81,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-12-02,10000.0,20476.03,0.09,0.55,0.05,0.02,0.0,0.0,10000.0,0.0,20476.03,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-12-03,10000.0,21133.52,0.09,0.53,0.05,0.02,0.0,0.0,10000.0,0.0,21133.52,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-12-06,10000.0,21509.22,0.09,0.47,0.05,0.02,0.0,0.0,10000.0,0.0,21509.22,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-12-07,10000.0,21227.44,0.09,0.47,0.05,0.02,0.0,0.0,10000.0,0.0,21227.44,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-12-08,10000.0,21509.22,0.09,0.46,0.05,0.02,0.0,0.0,10000.0,0.0,21509.22,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-12-09,10000.0,21133.52,0.09,0.44,0.05,0.02,0.0,0.0,10000.0,0.0,21133.52,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-12-10,10000.0,21227.44,0.09,0.42,0.05,0.02,0.0,0.0,10000.0,0.0,21227.44,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-12-13,10000.0,21415.3,0.09,0.42,0.05,0.02,0.0,0.0,10000.0,0.0,21415.3,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-12-14,10000.0,20945.66,0.09,0.42,0.05,0.02,0.0,0.0,10000.0,0.0,20945.66,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-12-15,10000.0,21133.52,0.09,0.43,0.05,0.02,0.0,0.0,10000.0,0.0,21133.52,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-12-16,10000.0,21603.15,0.09,0.43,0.05,0.02,0.0,0.0,10000.0,0.0,21603.15,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-12-17,10000.0,22918.12,0.09,0.38,0.05,0.02,0.0,0.0,10000.0,0.0,22918.12,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-12-20,10000.0,23387.76,0.09,0.33,0.05,0.02,0.0,0.0,10000.0,0.0,23387.76,,,,,,,,,,,,,,,,,,0.02,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-12-21,10000.0,23763.46,0.09,0.3,0.05,0.03,0.0,0.0,10000.0,0.0,23763.46,,,,,,,,,,,,,,,,,,0.03,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-12-22,10000.0,23951.32,0.09,0.27,0.05,0.03,0.0,0.0,10000.0,0.0,23951.32,,,,,,,,,,,,,,,,,,0.03,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-12-23,10000.0,24890.59,0.09,0.27,0.05,0.03,0.0,0.0,10000.0,0.0,24890.59,,,,,,,,,,,,,,,,,,0.03,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-12-24,10000.0,24139.17,0.09,0.24,0.05,0.03,0.0,0.0,10000.0,0.0,24139.17,,,,,,,,,,,,,,,,,,0.03,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-12-27,10000.0,24233.1,0.09,0.23,0.05,0.03,0.0,0.0,10000.0,0.0,24233.1,,,,,,,,,,,,,,,,,,0.03,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-12-28,10000.0,23857.39,0.09,0.22,0.05,0.03,0.0,0.0,10000.0,0.0,23857.39,,,,,,,,,,,,,,,,,,0.03,,,,100.0,19.42,0.0,0.0,,0.0,100.0,,0.0,,0.1942
2010-12-29,10000.0,24514.88,0.09,0.22,0.05,0.03,0.0,0.0,10000.0,0.0,24514.88,,,,,,,,,,,,,,,,,,0.03,,,,100.0,20.0,0.0,0.0,,0.0,100.0,,0.0,,0.2
