,FORSE FP Equity_DX_SI_QTY,FORSE FP Equity_DX_SHORT_INTEREST_VALUE,FORSE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,FORSE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,FORSE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,FORSE FP Equity_DX_SI_MV,FORSE FP Equity_DX_DSS,FORSE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,FORSE FP Equity_DX_SUPPLY_SI_QTY,FORSE FP Equity_DX_BROKER_SI_QTY,FORSE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,FORSE FP Equity_DX_BROKER_SI_MV_NEW_x,FORSE FP Equity_DX_SUPPLY_SI_QTY_NEW_x,FORSE FP Equity_DX_SUPPLY_SI_QTY_INC_x,FORSE FP Equity_DX_BROKER_SI_MV_INC_x,FORSE FP Equity_DX_SUPPLY_SI_MV_NEW,FORSE FP Equity_DX_BROKER_SI_QTY_ADD,FORSE FP Equity_DX_BROKER_SI_QTY_NEW,FORSE FP Equity_DX_SUPPLY_SI_MV_DEC,FORSE FP Equity_DX_BROKER_SI_QTY_INC,FORSE FP Equity_DX_SUPPLY_SI_QTY_DEC,FORSE FP Equity_DX_BROKER_SI_MV_NEW_y,FORSE FP Equity_DX_SUPPLY_SI_QTY_NEW_y,FORSE FP Equity_DX_BROKER_SI_MV_INC_y,FORSE FP Equity_DX_SUPPLY_SI_QTY_INC_y,FORSE FP Equity_DX_BROKER_SI_MV_ADD,FORSE FP Equity_DX_SUPPLY_SI_QTY_ADD,FORSE FP Equity_DX_BROKER_SI_QTY_DEC,FORSE FP Equity_DX_SUPPLY_SI_MV,FORSE FP Equity_DX_BROKER_SI_MV_DEC,FORSE FP Equity_DX_SUPPLY_SI_MV_RMV,FORSE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,FORSE FP Equity_DX_UTILIZATION_QUANTITY,FORSE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,FORSE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,FORSE FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,FORSE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,FORSE FP Equity_DX_ACTIVE_UTILIZATION_MV,FORSE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,FORSE FP Equity_DX_BROKER_SI_CON_RATIO,FORSE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,FORSE FP Equity_DX_DEMAND_SUPPLY_RATIO,FORSE FP Equity_PX_LAST
2022-03-08,35622.0,147831.3,3.03,1.41,0.07,0.14,0.0,145341.3,3568.0,35022.0,14807.2,,,,0.01,,,,,1778.0,,,,0.01,,,,,0.01,,,100.0,0.97,0.0,0.0,,0.0,100.0,9.17,0.7592,86.55,0.0973,4.15
2022-03-09,35622.0,153174.6,3.03,1.45,0.07,0.15,0.0,150594.6,3568.0,35022.0,15342.4,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.97,0.0,0.0,,0.0,100.0,9.16,0.7596,86.58,0.0973,4.3
2022-03-10,35636.0,149314.84,3.03,1.47,0.07,0.15,0.0,146800.84,3568.0,35036.0,14949.92,,,,0.0,,,,,14.0,,,,0.0,,,,,0.02,,,100.0,0.97,0.0,0.0,,0.0,100.0,8.8,0.7642,86.88,0.0973,4.19
2022-03-11,35636.0,150205.74,3.03,1.56,0.07,0.15,0.0,147676.74,3568.0,35036.0,15039.12,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.97,0.0,0.0,,0.0,100.0,9.07,0.7601,86.62,0.0973,4.215
2022-03-14,34936.0,150574.16,2.97,1.65,0.07,0.15,0.0,147988.16,3568.0,34336.0,15378.08,,,,,,,,,,,,,,,,,700.0,0.02,0.0,,100.0,0.97,0.0,0.0,,0.0,100.0,9.31,0.7557,86.34,0.0954,4.31
2022-03-15,34936.0,150923.52,2.97,1.69,0.07,0.15,0.0,148331.52,3568.0,34336.0,15413.76,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.97,0.0,0.0,,0.0,100.0,9.17,0.7573,86.44,0.0954,4.32
2022-03-16,34936.0,152320.96,2.97,1.71,0.07,0.15,0.0,149704.96,3568.0,34336.0,15556.48,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.97,0.0,0.0,,0.0,100.0,9.19,0.7571,86.43,0.0954,4.36
2022-03-17,34936.0,151447.56,2.97,1.73,0.07,0.15,0.0,148846.56,3568.0,34336.0,15467.28,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.97,0.0,0.0,,0.0,100.0,9.12,0.7584,86.51,0.0954,4.335
2022-03-18,34936.0,152320.96,2.97,1.82,0.07,0.15,0.0,149704.96,3568.0,34336.0,15556.48,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.97,0.0,0.0,,0.0,100.0,9.17,0.7571,86.43,0.0954,4.36
2022-03-21,34936.0,153369.04,2.97,1.94,0.07,0.15,0.0,150735.04,3568.0,34336.0,15663.52,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.97,0.0,0.0,,0.0,100.0,9.2,0.7568,86.41,0.0954,4.39
2022-03-22,30636.0,134492.04,2.61,1.71,0.06,0.13,0.0,131858.04,3568.0,30036.0,15663.52,,,,,,,,,,,,,,,,,4300.0,0.02,0.02,,100.0,0.97,0.0,0.0,,0.0,100.0,10.41,0.728,84.56,0.0837,4.39
2022-03-23,30636.0,134492.04,2.61,1.71,0.06,0.13,0.0,131858.04,3568.0,30036.0,15663.52,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.97,0.0,0.0,,0.0,100.0,10.42,0.7286,84.59,0.0837,4.39
2022-03-24,30636.0,133726.14,2.61,1.72,0.06,0.13,0.0,131107.14,3568.0,30036.0,15574.32,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.97,0.0,0.0,,0.0,100.0,10.39,0.7289,84.61,0.0837,4.365
2022-03-25,30636.0,131734.8,2.61,1.74,0.06,0.13,0.0,129154.8,3568.0,30036.0,15342.4,,,,,,,,,,,,,,,,,,0.02,,,100.0,0.97,0.0,0.0,,0.0,100.0,10.3,0.73,84.69,0.0837,4.3
2022-03-28,29036.0,124999.98,2.47,1.68,0.05,0.13,0.0,122416.98,1968.0,28436.0,8472.24,,,,,,,,0.01,,1600.0,,,,,,,1600.0,0.01,0.01,,100.0,0.54,0.0,0.0,,0.0,100.0,11.01,0.7158,83.74,0.0797,4.305
2022-03-29,6036.0,26075.52,0.51,0.35,0.01,0.03,0.0,23483.52,1968.0,5436.0,8501.76,,,,,,,,,,,,,,,,,23000.0,0.01,0.1,,100.0,0.54,0.0,0.0,,0.0,100.0,23.3,0.3819,52.63,0.0166,4.32
2022-03-30,6036.0,26045.34,0.51,0.36,0.01,0.03,0.0,23456.34,1968.0,5436.0,8491.92,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.54,0.0,0.0,,0.0,100.0,23.47,0.3809,52.47,0.0166,4.315
2022-03-31,6036.0,26075.52,0.51,0.36,0.01,0.03,0.0,23483.52,1968.0,5436.0,8501.76,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.54,0.0,0.0,,0.0,100.0,23.62,0.3807,52.42,0.0166,4.32
2022-04-01,6036.0,26105.7,0.51,0.37,0.01,0.03,0.0,23510.7,1968.0,5436.0,8511.6,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.54,0.0,0.0,,0.0,100.0,23.52,0.3808,52.45,0.0166,4.325
2022-04-04,6036.0,25532.28,0.51,0.38,0.01,0.03,0.0,22994.28,1968.0,5436.0,8324.64,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.54,0.0,0.0,,0.0,100.0,23.84,0.3776,51.91,0.0166,4.23
2022-04-05,6036.0,25049.4,0.51,0.39,0.01,0.03,0.0,22559.4,1968.0,5436.0,8167.2,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.54,0.0,0.0,,0.0,100.0,23.75,0.3784,52.05,0.0166,4.15
2022-04-06,6036.0,25532.28,0.51,0.35,0.01,0.03,0.0,22994.28,1968.0,5436.0,8324.64,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.54,0.0,0.0,,0.0,100.0,23.31,0.3833,52.86,0.0166,4.23
2022-04-07,8268.0,33568.08,0.7,0.47,0.02,0.03,0.0,23824.08,3768.0,5868.0,15298.08,,,1800.0,0.01,,,,,1800.0,,,,0.01,1800.0,,,1368.0,0.02,0.01,,100.0,1.03,0.0,0.0,,0.0,100.0,17.63,0.6897,81.15,0.0226,4.06
2022-04-08,12768.0,49412.16,1.09,0.79,0.02,0.05,0.0,22709.16,6900.0,5868.0,26703.0,,,3132.0,,,,,,,,,,,3132.0,,,,0.03,,,100.0,1.88,0.0,0.0,,0.0,100.0,36.23,0.4164,52.11,0.0349,3.87
2022-04-11,11400.0,42066.0,0.97,0.68,0.02,0.04,0.0,16605.0,6900.0,4500.0,25461.0,,,,,,,,,,,,,,,,,1368.0,0.03,0.01,,100.0,1.88,0.0,0.0,,0.0,100.0,41.4,0.5148,58.6,0.0311,3.69
2022-04-12,11400.0,41268.0,0.97,0.62,0.02,0.04,0.0,16290.0,6900.0,4500.0,24978.0,,,,,,,,,,,,,,,,,,0.03,,,100.0,1.88,0.0,0.0,,0.0,100.0,40.54,0.5179,59.46,0.0311,3.62
2022-04-13,11400.0,40584.0,0.97,0.61,0.02,0.04,0.0,16020.0,6900.0,4500.0,24564.0,,,,,,,,,,,,,,,,,,0.02,,,100.0,1.88,0.0,0.0,,0.0,100.0,40.53,0.5179,59.47,0.0311,3.56
2022-04-14,11400.0,39843.0,0.97,0.61,0.02,0.04,0.0,15727.5,6900.0,4500.0,24115.5,,,,,,,,,,,,,,,,,,0.02,,,100.0,1.88,0.0,0.0,,0.0,100.0,40.81,0.5169,59.19,0.0311,3.495
2022-04-15,11400.0,39843.0,0.97,0.62,0.02,0.04,0.0,15727.5,6900.0,4500.0,24115.5,,,,,,,,,,,,,,,,,,0.02,,,100.0,1.88,0.0,0.0,,0.0,100.0,39.84,0.5207,60.16,0.0311,
2022-04-18,11400.0,39843.0,0.97,0.62,0.02,0.04,0.0,15727.5,6900.0,4500.0,24115.5,,,,,,,,,,,,,,,,,,0.02,,,100.0,1.88,0.0,0.0,,0.0,100.0,39.95,0.5202,60.05,0.0311,
2022-04-19,11300.0,38250.5,0.96,0.62,0.02,0.04,0.0,15232.5,6800.0,4500.0,23018.0,,,,,,,,0.0,,100.0,,,,,,,,0.02,,,100.0,1.86,0.0,0.0,,0.0,100.0,39.96,0.5202,60.04,0.0309,3.385
2022-04-20,6800.0,22474.0,0.58,0.37,0.01,0.02,0.0,14872.5,2300.0,4500.0,7601.5,,,,,,,,0.02,,4500.0,,,,,,,,0.01,,,100.0,0.63,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0186,3.305
2022-04-21,6800.0,22100.0,0.58,0.38,0.01,0.02,0.0,14625.0,2300.0,4500.0,7475.0,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.63,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0186,3.25
2022-04-22,6900.0,22597.5,0.59,0.38,0.01,0.02,0.0,15065.0,2300.0,4600.0,7532.5,,,,0.0,,,,,100.0,,,,0.0,,,,,0.01,,,100.0,0.63,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0188,3.275
2022-04-25,7000.0,22750.0,0.6,0.39,0.01,0.02,0.0,14950.0,2400.0,4600.0,7800.0,,,100.0,,,,,,,,,,,100.0,,,,0.01,,,100.0,0.66,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0191,3.25
2022-04-26,7000.0,22750.0,0.6,0.39,0.01,0.02,0.0,14950.0,2400.0,4600.0,7800.0,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.66,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0191,3.25
2022-04-27,7000.0,21560.0,0.6,0.39,0.01,0.02,0.0,14168.0,2400.0,4600.0,7392.0,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.66,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0191,3.08
2022-04-28,7000.0,22050.0,0.6,0.36,0.01,0.02,0.0,14490.0,2400.0,4600.0,7560.0,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.66,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0191,3.15
2022-04-29,7000.0,20930.0,0.6,0.36,0.01,0.02,0.0,13754.0,2400.0,4600.0,7176.0,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.66,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0191,2.99
2022-05-02,6600.0,20130.0,0.56,0.31,0.01,0.02,0.0,12810.0,2400.0,4200.0,7320.0,,,,,,,,,,,,,,,,,400.0,0.01,0.0,,100.0,0.66,0.0,0.0,,0.0,100.0,,1.0,100.0,0.018,3.05
2022-05-03,6200.0,18972.0,0.53,0.29,0.01,0.02,0.0,12852.0,2000.0,4200.0,6120.0,,,,,,,,0.0,,400.0,,,,,,,,0.01,,,100.0,0.55,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0169,3.06
2022-05-04,6200.0,18972.0,0.53,0.29,0.01,0.02,0.0,12852.0,2000.0,4200.0,6120.0,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.55,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0169,3.06
2022-05-05,6200.0,19282.0,0.53,0.3,0.01,0.02,0.0,13062.0,2000.0,4200.0,6220.0,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.55,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0169,3.11
2022-05-06,6200.0,19220.0,0.53,0.28,0.01,0.02,0.0,13020.0,2000.0,4200.0,6200.0,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.55,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0169,3.1
2022-05-09,6200.0,19251.0,0.53,0.28,0.01,0.02,0.0,13041.0,2000.0,4200.0,6210.0,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.55,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0169,3.105
2022-05-10,6200.0,19096.0,0.53,0.26,0.01,0.02,0.0,12936.0,2000.0,4200.0,6160.0,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.55,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0169,3.08
2022-05-11,6200.0,19096.0,0.53,0.26,0.01,0.02,0.0,12936.0,2000.0,4200.0,6160.0,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.55,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0169,3.08
2022-05-12,6200.0,18910.0,0.53,0.26,0.01,0.02,0.0,12810.0,2000.0,4200.0,6100.0,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.55,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0169,3.05
2022-05-13,6200.0,18972.0,0.53,0.26,0.01,0.02,0.0,12852.0,2000.0,4200.0,6120.0,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.55,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0169,3.06
2022-05-16,6200.0,19437.0,0.53,0.26,0.01,0.02,0.0,13167.0,2000.0,4200.0,6270.0,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.55,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0169,3.135
2022-05-17,6200.0,19437.0,0.53,0.26,0.01,0.02,0.0,13167.0,2000.0,4200.0,6270.0,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.55,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0169,3.135
2022-05-18,6200.0,18600.0,0.53,0.26,0.01,0.02,0.0,12600.0,2000.0,4200.0,6000.0,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.55,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0169,3.0
2022-05-19,6200.0,18600.0,0.53,0.25,0.01,0.02,0.0,12600.0,2000.0,4200.0,6000.0,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.55,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0169,3.0
2022-05-20,6200.0,18352.0,0.53,0.27,0.01,0.02,0.0,12432.0,2000.0,4200.0,5920.0,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.55,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0169,2.96
2022-05-23,20200.0,58782.0,1.72,0.89,0.04,0.06,0.0,52962.0,16000.0,18200.0,46560.0,,,,,,14000.0,,,,,,,,,0.04,14000.0,,0.05,,,100.0,4.37,0.0,0.0,,0.0,100.0,30.36,0.5772,69.64,0.0552,2.91
2022-05-24,20200.0,59691.0,1.72,0.88,0.04,0.06,0.0,53781.0,16000.0,18200.0,47280.0,,,,,,,,,,,,,,,,,,0.05,,,100.0,4.37,0.0,0.0,,0.0,100.0,30.68,0.5747,69.32,0.0552,2.955
2022-05-25,20200.0,58378.0,1.72,0.92,0.04,0.06,0.0,52598.0,16000.0,18200.0,46240.0,,,,,,,,,,,,,,,,,,0.05,,,100.0,4.37,0.0,0.0,,0.0,100.0,30.28,0.5778,69.72,0.0552,2.89
2022-05-26,20200.0,58580.0,1.72,0.99,0.04,0.06,0.0,52780.0,16000.0,18200.0,46400.0,,,,,,,,,,,,,,,,,,0.05,,,100.0,4.37,0.0,0.0,,0.0,100.0,30.21,0.5783,69.79,0.0552,2.9
2022-05-27,20200.0,59085.0,1.72,1.01,0.04,0.06,0.0,53235.0,16000.0,18200.0,46800.0,,,,,,,,,,,,,,,,,,0.05,,,100.0,4.37,0.0,0.0,,0.0,100.0,30.33,0.5774,69.67,0.0552,2.925
2022-05-30,20200.0,58378.0,1.72,1.01,0.04,0.06,0.0,52598.0,16000.0,18200.0,46240.0,,,,,,,,,,,,,,,,,,0.05,,,100.0,4.37,0.0,0.0,,0.0,100.0,30.28,0.5778,69.72,0.0552,2.89
2022-05-31,34200.0,100206.0,2.91,1.79,0.06,0.1,0.0,53326.0,16000.0,18200.0,46880.0,,,,,,,,,,,,,,,,,,0.05,,,100.0,4.37,0.0,0.0,,0.0,100.0,18.05,0.7041,81.95,0.0935,2.93
2022-06-01,20200.0,59994.0,1.72,1.08,0.04,0.06,0.0,12474.0,16000.0,4200.0,47520.0,,,,,,,,,,,,,,,,,14000.0,0.05,0.04,,100.0,4.37,0.0,0.0,,0.0,100.0,30.92,0.5728,69.08,0.0552,2.97
2022-06-02,18861.0,56300.09,1.6,1.01,0.04,0.06,0.0,8540.08,16000.0,2861.0,47760.0,,,,,,,,,,,,,,,,,1339.0,0.05,0.0,,100.0,4.37,0.0,0.0,,0.0,100.0,25.79,0.6173,74.21,0.0515,2.985
2022-06-03,18861.0,54696.9,1.6,1.04,0.04,0.06,0.0,8296.9,16000.0,2861.0,46400.0,,,,,,,,,,,,,,,,,,0.05,,,100.0,4.37,0.0,0.0,,0.0,100.0,25.43,0.6207,74.57,0.0515,2.9
2022-06-06,18861.0,56394.39,1.6,1.03,0.04,0.06,0.0,8554.39,16000.0,2861.0,47840.0,,,,,,,,,,,,,,,,,,0.05,,,100.0,4.37,0.0,0.0,,0.0,100.0,25.97,0.6155,74.03,0.0515,2.99
2022-06-07,18861.0,54036.77,1.6,1.02,0.04,0.06,0.0,8196.77,16000.0,2861.0,45840.0,,,,,,,,,,,,,,,,,,0.05,,,100.0,4.37,0.0,0.0,,0.0,100.0,25.46,0.6204,74.54,0.0515,2.865
2022-06-08,18861.0,53753.85,1.6,1.01,0.04,0.05,0.0,8153.85,16000.0,2861.0,45600.0,,,,,,,,,,,,,,,,,,0.05,,,100.0,4.37,0.0,0.0,,0.0,100.0,25.49,0.6202,74.51,0.0515,2.85
2022-06-09,5860.0,16290.8,0.5,0.34,0.01,0.02,0.0,10730.8,2999.0,3860.0,8337.22,,,,,,999.0,,0.04,,13001.0,,,,,0.0,,,0.01,,,100.0,0.82,0.0,0.0,,0.0,100.0,17.64,0.7094,82.36,0.016,2.78
2022-06-10,6460.0,18443.3,0.55,0.37,0.01,0.02,0.0,12733.3,2999.0,4460.0,8562.15,,,,,,600.0,,,,,,,,,0.0,,,0.01,,,100.0,0.8,0.0,0.0,,0.0,100.0,15.79,0.598,75.16,0.0172,2.855
2022-06-13,7060.0,19415.0,0.6,0.44,0.01,0.02,0.0,12265.0,3599.0,4460.0,9897.25,,,600.0,,,,,,,,,,,600.0,,,,0.01,,,100.0,0.96,0.0,0.0,,0.0,100.0,17.4,0.5148,68.07,0.0188,2.75
2022-06-14,16060.0,44004.4,1.37,1.0,0.03,0.04,0.0,12220.4,12599.0,4460.0,34521.26,,,9000.0,,,,,,,,,,,9000.0,,,,0.03,,,100.0,3.36,0.0,0.0,,0.0,100.0,30.13,0.4135,55.94,0.0428,2.74
2022-06-15,16060.0,43201.4,1.37,0.98,0.03,0.04,0.0,11997.4,12599.0,4460.0,33891.31,,,,,,,,,,,,,,,,,,0.03,,,100.0,3.36,0.0,0.0,,0.0,100.0,30.05,0.4119,55.82,0.0428,2.69
2022-06-16,16060.0,40310.6,1.37,0.98,0.03,0.04,0.0,11194.6,12599.0,4460.0,31623.49,,,,,,,,,,,,,,,,,,0.03,,,100.0,3.36,0.0,0.0,,0.0,100.0,29.22,0.4152,56.53,0.0428,2.51
2022-06-17,16060.0,38142.5,1.37,1.02,0.03,0.04,0.0,10592.5,12599.0,4460.0,29922.63,,,,,,,,,,,,,,,,,,0.03,,,100.0,3.36,0.0,0.0,,0.0,100.0,29.92,0.4067,55.35,0.0428,2.375
2022-06-20,16060.0,39186.4,1.37,0.95,0.03,0.04,0.0,10882.4,12599.0,4460.0,30741.56,,,,,,,,,,,,,,,,,,0.03,,,100.0,3.36,0.0,0.0,,0.0,100.0,29.93,0.4074,55.41,0.0428,2.44
2022-06-21,16060.0,39186.4,1.37,1.07,0.03,0.04,0.0,10882.4,12599.0,4460.0,30741.56,,,,,,,,,,,,,,,,,,0.03,,,100.0,3.36,0.0,0.0,,0.0,100.0,30.2,0.4044,54.97,0.0428,2.44
2022-06-22,7060.0,17297.0,0.6,0.48,0.01,0.02,0.0,10927.0,3599.0,4460.0,8817.55,,,,,,,,0.02,,9000.0,,,,,,,,0.01,,,100.0,0.96,0.0,0.0,,0.0,100.0,16.53,0.505,67.17,0.0188,2.45
2022-06-23,7060.0,17085.2,0.6,0.47,0.01,0.02,0.0,10793.2,3599.0,4460.0,8709.58,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.96,0.0,0.0,,0.0,100.0,16.65,0.5028,66.95,0.0188,2.42
2022-06-24,7060.0,17226.4,0.6,0.46,0.01,0.02,0.0,10882.4,3599.0,4460.0,8781.56,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.96,0.0,0.0,,0.0,100.0,16.51,0.5047,67.14,0.0188,2.44
2022-06-27,7060.0,17650.0,0.6,0.47,0.01,0.02,0.0,11150.0,3599.0,4460.0,8997.5,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.96,0.0,0.0,,0.0,100.0,16.41,0.5078,67.44,0.0188,2.5
2022-06-28,7060.0,17650.0,0.6,0.48,0.01,0.02,0.0,11150.0,3599.0,4460.0,8997.5,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.96,0.0,0.0,,0.0,100.0,16.64,0.5073,67.39,0.0188,2.5
2022-06-29,7060.0,18108.9,0.6,0.47,0.01,0.02,0.0,11439.9,3599.0,4460.0,9231.44,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.96,0.0,0.0,,0.0,100.0,16.45,0.511,67.74,0.0188,2.565
2022-06-30,7060.0,17650.0,0.6,0.5,0.01,0.02,0.0,11150.0,3599.0,4460.0,8997.5,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.96,0.0,0.0,,0.0,100.0,16.82,0.5055,67.21,0.0188,2.5
2022-07-01,7060.0,17085.2,0.6,0.51,0.01,0.02,0.0,10793.2,3599.0,4460.0,8709.58,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.96,0.0,0.0,,0.0,100.0,16.86,0.5028,66.94,0.0188,2.42
2022-07-04,6199.0,15249.54,0.53,0.44,0.01,0.02,0.0,8853.54,3599.0,3599.0,8853.54,,,,,,,,,,,,,,,,,861.0,0.01,0.0,,100.0,0.96,0.0,0.0,,0.0,100.0,18.73,0.465,62.95,0.0165,2.46
2022-07-05,6199.0,15807.45,0.53,0.45,0.01,0.02,0.0,9177.45,3599.0,3599.0,9177.45,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.96,0.0,0.0,,0.0,100.0,18.64,0.4677,63.26,0.0165,2.55
2022-07-06,6199.0,15373.52,0.53,0.44,0.01,0.02,0.0,8925.52,3599.0,3599.0,8925.52,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.96,0.0,0.0,,0.0,100.0,19.09,0.4631,62.74,0.0165,2.48
2022-07-07,6199.0,18349.04,0.53,0.45,0.01,0.02,0.0,10653.04,3599.0,3599.0,10653.04,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.96,0.0,0.0,,0.0,100.0,17.71,0.4815,64.76,0.0165,2.96
2022-07-08,6199.0,19836.8,0.53,0.42,0.01,0.02,0.0,11516.8,3599.0,3599.0,11516.8,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.96,0.0,0.0,,0.0,100.0,18.88,0.489,65.49,0.0165,3.2
2022-07-11,6199.0,19836.8,0.53,0.38,0.01,0.02,0.0,11516.8,3599.0,3599.0,11516.8,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.96,0.0,0.0,,0.0,100.0,19.61,0.4882,65.35,0.0165,3.2
2022-07-12,6199.0,19526.85,0.53,0.38,0.01,0.02,0.0,11336.85,3599.0,3599.0,11336.85,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.96,0.0,0.0,,0.0,100.0,19.71,0.4864,65.17,0.0165,3.15
2022-07-13,6199.0,19371.88,0.53,0.38,0.01,0.02,0.0,11246.88,3599.0,3599.0,11246.88,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.96,0.0,0.0,,0.0,100.0,19.61,0.4861,65.14,0.0165,3.125
2022-07-14,6199.0,19278.89,0.53,0.38,0.01,0.02,0.0,11192.89,3599.0,3599.0,11192.89,,,,,,,,,,,,,,,,,,0.01,,,100.0,0.96,0.0,0.0,,0.0,100.0,19.58,0.4857,65.11,0.0165,3.11
2022-07-15,6899.0,21386.9,0.59,0.43,0.01,0.02,0.0,12241.9,3949.0,3949.0,12241.9,,,350.0,0.0,,,,,350.0,,,,0.0,350.0,,,,0.01,,,100.0,1.05,0.0,0.0,,0.0,100.0,27.8,0.4377,58.43,0.0184,3.1
2022-07-18,6899.0,21386.9,0.59,0.44,0.01,0.02,0.0,12241.9,3949.0,3949.0,12241.9,,,,,,,,,,,,,,,,,,0.01,,,100.0,1.05,0.0,0.0,,0.0,100.0,27.75,0.4375,58.43,0.0184,3.1
2022-07-19,8299.0,25394.94,0.71,0.54,0.02,0.03,0.0,14225.94,4649.0,4649.0,14225.94,,,700.0,0.0,,,,,700.0,,,,0.0,700.0,,,,0.01,,,100.0,1.23,0.0,0.0,,0.0,100.0,40.17,0.4085,48.38,0.022,3.06
2022-07-20,7099.0,22006.9,0.6,0.47,0.01,0.02,0.0,12551.9,4049.0,4049.0,12551.9,,,,,,,,0.0,,600.0,,,,,,,600.0,0.01,0.0,,100.0,1.08,0.0,0.0,,0.0,100.0,29.65,0.4293,56.85,0.0189,3.1
2022-07-21,8299.0,25726.9,0.71,0.57,0.02,0.03,0.0,14411.9,4649.0,4649.0,14411.9,,,600.0,0.0,,,,,600.0,,,,0.0,600.0,,,,0.01,,,100.0,1.23,0.0,0.0,,0.0,100.0,40.04,0.409,48.54,0.022,3.1
