,SP5 FP Equity_PX_LAST
2015-05-27,19.958
2015-05-28,19.928
2015-05-29,19.705
2015-06-01,19.833
2015-06-02,19.435
2015-06-03,19.301
2015-06-04,19.147
2015-06-05,19.328
2015-06-08,19.089
2015-06-09,18.973
2015-06-10,19.105
2015-06-11,19.272
2015-06-12,19.109
2015-06-15,19.006
2015-06-16,19.106
2015-06-17,19.161
2015-06-18,19.106
2015-06-19,19.186
2015-06-22,19.203
2015-06-23,19.482
2015-06-24,19.475
2015-06-25,19.399
2015-06-26,19.386
2015-06-29,19.076
2015-06-30,18.991
2015-07-01,19.26
2015-07-02,19.222
2015-07-03,19.198
2015-07-06,19.24
2015-07-07,19.19
2015-07-08,18.888
2015-07-09,19.025
2015-07-10,18.923
2015-07-13,19.335
2015-07-14,19.459
2015-07-15,19.594
2015-07-16,19.79
2015-07-17,19.886
2015-07-20,19.94
2015-07-21,19.726
2015-07-22,19.71
2015-07-23,19.554
2015-07-24,19.416
2015-07-27,18.937
2015-07-28,19.166
2015-07-29,19.419
2015-07-30,19.587
2015-07-31,19.461
2015-08-03,19.527
2015-08-04,19.459
2015-08-05,19.754
2015-08-06,19.423
2015-08-07,19.251
2015-08-10,19.462
2015-08-11,19.16
2015-08-12,18.732
2015-08-13,19.047
2015-08-14,19.087
2015-08-17,19.272
2015-08-18,19.377
2015-08-19,19.08
2015-08-20,18.693
2015-08-21,17.932
2015-08-24,16.791
2015-08-25,17.334
2015-08-26,16.919
2015-08-27,17.939
2015-08-28,18.136
2015-08-31,17.981
2015-09-01,17.527
2015-09-02,17.493
2015-09-03,18.06
2015-09-04,17.616
2015-09-07,17.688
2015-09-08,17.784
2015-09-09,18.034
2015-09-10,17.628
2015-09-11,17.503
2015-09-14,17.596
2015-09-15,17.811
2015-09-16,17.937
2015-09-17,18.019
2015-09-18,17.691
2015-09-21,17.981
2015-09-22,17.706
2015-09-23,17.707
2015-09-24,17.334
2015-09-25,17.743
2015-09-28,17.237
2015-09-29,17.119
2015-09-30,17.504
2015-10-01,17.431
2015-10-02,17.355
2015-10-05,17.983
2015-10-06,17.952
2015-10-07,17.98
2015-10-08,18.052
2015-10-09,18.118
2015-10-12,18.122
2015-10-13,18.113
2015-10-14,17.811
2015-10-15,17.95
2015-10-16,18.261
2015-10-19,18.338
2015-10-20,18.31
2015-10-21,18.319
2015-10-22,18.715
2015-10-23,19.181
2015-10-26,19.143
2015-10-27,19.079
2015-10-28,19.213
2015-10-29,19.469
2015-10-30,19.366
2015-11-02,19.401
2015-11-03,19.654
2015-11-04,19.779
2015-11-05,19.721
2015-11-06,19.896
2015-11-09,19.69
2015-11-10,19.84
2015-11-11,19.792
2015-11-12,19.573
2015-11-13,19.374
2015-11-16,19.369
2015-11-17,19.866
2015-11-18,19.88
2015-11-19,19.837
2015-11-20,20.119
2015-11-23,20.203
2015-11-24,20.02
2015-11-25,20.152
2015-11-26,20.259
2015-11-27,20.225
2015-11-30,20.228
2015-12-01,20.187
2015-12-02,20.306
2015-12-03,19.472
2015-12-04,19.538
2015-12-07,19.51
2015-12-08,19.465
2015-12-09,19.103
2015-12-10,19.076
2015-12-11,18.691
2015-12-14,18.385
2015-12-15,19.019
2015-12-16,19.027
2015-12-17,19.269
2015-12-18,18.94
2015-12-21,18.663
2015-12-22,18.77
2015-12-23,19.223
2015-12-24,19.208
2015-12-28,18.926
2015-12-29,19.357
2015-12-30,19.311
2015-12-31,19.238
2016-01-04,18.794
2016-01-05,19.1
2016-01-06,18.905
2016-01-07,18.454
2016-01-08,18.034
2016-01-11,17.886
2016-01-12,18.062
2016-01-13,18.157
2016-01-14,17.808
2016-01-15,17.439
2016-01-18,17.547
2016-01-19,17.663
2016-01-20,17.144
2016-01-21,17.58
2016-01-22,17.831
2016-01-25,17.792
2016-01-26,17.789
2016-01-27,17.81
2016-01-28,17.54
2016-01-29,18.043
2016-02-01,18.088
2016-02-02,17.898
2016-02-03,17.376
2016-02-04,17.384
2016-02-05,17.256
2016-02-08,16.767
2016-02-09,16.679
2016-02-10,16.923
2016-02-11,16.268
2016-02-12,16.871
2016-02-15,17.241
2016-02-16,17.205
2016-02-17,17.612
2016-02-18,17.665
2016-02-19,17.581
2016-02-22,17.976
2016-02-23,17.808
2016-02-24,17.53
2016-02-25,17.875
2016-02-26,18.243
2016-02-29,18.379
2016-03-01,18.447
2016-03-02,18.628
2016-03-03,18.453
2016-03-04,18.558
2016-03-07,18.573
2016-03-08,18.367
2016-03-09,18.424
2016-03-10,18.047
2016-03-11,18.447
2016-03-14,18.546
2016-03-15,18.493
2016-03-16,18.598
2016-03-17,18.393
2016-03-18,18.554
2016-03-21,18.607
2016-03-22,18.712
2016-03-23,18.714
2016-03-24,18.526
2016-03-29,18.586
2016-03-30,18.609
2016-03-31,18.529
2016-04-01,18.549
2016-04-04,18.586
2016-04-05,18.405
2016-04-06,18.465
2016-04-07,18.384
2016-04-08,18.395
2016-04-11,18.353
2016-04-12,18.471
2016-04-13,18.868
2016-04-14,18.956
2016-04-15,18.866
2016-04-18,18.876
2016-04-19,18.894
2016-04-20,19.015
2016-04-21,19.013
2016-04-22,18.99
2016-04-25,18.893
2016-04-26,18.897
2016-04-27,18.906
2016-04-28,18.956
2016-04-29,18.37
2016-05-02,18.432
2016-05-03,18.249
2016-05-04,18.243
2016-05-05,18.434
2016-05-06,18.338
2016-05-09,18.456
2016-05-10,18.671
2016-05-11,18.57
2016-05-12,18.487
2016-05-13,18.743
2016-05-16,18.632
2016-05-17,18.614
2016-05-18,18.647
2016-05-19,18.532
2016-05-20,18.82
2016-05-23,18.752
2016-05-24,19.07
2016-05-25,19.189
2016-05-26,19.173
2016-05-27,19.316
2016-05-30,19.379
2016-05-31,19.289
2016-06-01,19.199
2016-06-02,19.245
2016-06-03,18.939
2016-06-06,19.023
2016-06-07,19.14
2016-06-08,19.029
2016-06-09,19.104
2016-06-10,19.127
2016-06-13,18.982
2016-06-14,18.917
2016-06-15,18.978
2016-06-16,18.975
2016-06-17,18.82
2016-06-20,19.017
2016-06-21,19.007
2016-06-22,19.056
2016-06-23,19.02
2016-06-24,18.982
2016-06-27,18.65
2016-06-28,18.764
2016-06-29,19.076
2016-06-30,19.264
2016-07-01,19.395
2016-07-04,19.399
2016-07-05,19.323
2016-07-06,19.128
2016-07-07,19.281
2016-07-08,19.539
2016-07-11,19.697
2016-07-12,19.767
2016-07-13,19.656
2016-07-14,19.799
2016-07-15,19.853
2016-07-18,19.867
2016-07-19,19.969
2016-07-20,20.096
2016-07-21,20.066
2016-07-22,20.095
2016-07-25,20.045
2016-07-26,20.021
2016-07-27,20.036
2016-07-28,19.811
2016-07-29,20.152
2016-08-01,19.8
2016-08-02,19.499
2016-08-03,19.647
2016-08-04,19.781
2016-08-05,20.052
2016-08-08,20.039
2016-08-09,20.025
2016-08-10,19.826
2016-08-11,19.925
2016-08-12,19.881
2016-08-15,19.934
2016-08-16,19.698
2016-08-17,19.6
2016-08-18,19.637
2016-08-19,19.622
2016-08-22,19.598
2016-08-23,19.706
2016-08-24,19.757
2016-08-25,19.654
2016-08-26,19.756
2016-08-29,19.876
2016-08-30,19.875
2016-08-31,19.8
2016-09-01,19.677
2016-09-02,19.889
2016-09-05,19.911
2016-09-06,19.782
2016-09-07,19.789
2016-09-08,19.739
2016-09-09,19.59
2016-09-12,19.404
2016-09-13,19.27
2016-09-14,19.292
2016-09-15,19.412
2016-09-16,19.504
2016-09-19,19.614
2016-09-20,19.567
2016-09-21,19.626
2016-09-22,19.746
2016-09-23,19.738
2016-09-26,19.446
2016-09-27,19.632
2016-09-28,19.623
2016-09-29,19.67
2016-09-30,19.7
2016-10-03,19.65
2016-10-04,19.759
2016-10-05,19.68
2016-10-06,19.683
2016-10-07,19.681
2016-10-10,19.839
2016-10-11,19.755
2016-10-12,19.838
2016-10-13,19.673
2016-10-14,19.86
2016-10-17,19.783
2016-10-18,19.898
2016-10-19,19.979
2016-10-20,19.985
2016-10-21,20.082
2016-10-24,20.193
2016-10-25,20.129
2016-10-26,20.069
2016-10-27,19.988
2016-10-28,19.988
2016-10-31,19.868
2016-11-01,19.543
2016-11-02,19.328
2016-11-03,19.286
2016-11-04,19.27
2016-11-07,19.691
2016-11-08,19.811
2016-11-09,20.144
2016-11-10,20.32
2016-11-11,20.317
2016-11-14,20.621
2016-11-15,20.702
2016-11-16,20.869
2016-11-17,20.955
2016-11-18,21.081
2016-11-21,21.156
2016-11-22,21.148
2016-11-23,21.298
2016-11-24,21.374
2016-11-25,21.346
2016-11-28,21.324
2016-11-29,21.318
2016-11-30,21.4
2016-12-01,21.178
2016-12-02,21.067
2016-12-05,21.081
2016-12-06,21.032
2016-12-07,21.103
2016-12-08,21.632
2016-12-09,21.877
2016-12-12,21.853
2016-12-13,21.835
2016-12-14,21.612
2016-12-15,22.169
2016-12-16,22.009
2016-12-19,22.01
2016-12-20,22.222
2016-12-21,22.117
2016-12-22,21.947
2016-12-23,21.985
2016-12-27,22.072
2016-12-28,22.122
2016-12-29,21.809
2016-12-30,21.643
2017-01-02,21.93
2017-01-03,21.982
2017-01-04,22.009
2017-01-05,21.727
2017-01-06,21.913
2017-01-09,21.869
2017-01-10,21.883
2017-01-11,21.977
2017-01-12,21.558
2017-01-13,21.825
2017-01-16,21.802
2017-01-17,21.549
2017-01-18,21.615
2017-01-19,21.719
2017-01-20,21.682
2017-01-23,21.426
2017-01-24,21.497
2017-01-25,21.724
2017-01-26,21.938
2017-01-27,21.841
2017-01-30,21.621
2017-01-31,21.392
2017-02-01,21.552
2017-02-02,21.482
2017-02-03,21.661
2017-02-06,21.756
2017-02-07,21.87
2017-02-08,21.823
2017-02-09,22.068
2017-02-10,22.135
2017-02-13,22.361
2017-02-14,22.424
2017-02-15,22.567
2017-02-16,22.407
2017-02-17,22.484
2017-02-20,22.608
2017-02-21,22.817
2017-02-22,22.849
2017-02-23,22.75
2017-02-24,22.723
2017-02-27,22.731
2017-02-28,22.737
2017-03-01,23.115
2017-03-02,23.119
2017-03-03,23.005
2017-03-06,22.846
2017-03-07,22.853
2017-03-08,22.918
2017-03-09,22.83
2017-03-10,22.691
2017-03-13,22.695
2017-03-14,22.662
2017-03-15,22.815
2017-03-16,22.653
2017-03-17,22.632
2017-03-20,22.575
2017-03-21,22.238
2017-03-22,22.177
2017-03-23,22.329
2017-03-24,22.203
2017-03-27,21.944
2017-03-28,22.12
2017-03-29,22.402
2017-03-30,22.56
2017-03-31,22.635
2017-04-03,22.537
2017-04-04,22.582
2017-04-05,22.727
2017-04-06,22.648
2017-04-07,22.671
2017-04-10,22.72
2017-04-11,22.533
2017-04-12,22.575
2017-04-13,22.567
2017-04-18,22.358
2017-04-19,22.431
2017-04-20,22.3
2017-04-21,22.482
2017-04-24,22.307
2017-04-25,22.333
2017-04-26,22.548
2017-04-27,22.451
2017-04-28,22.376
2017-05-02,22.402
2017-05-03,22.34
2017-05-04,22.339
2017-05-05,22.26
2017-05-08,22.432
2017-05-09,22.563
2017-05-10,22.582
2017-05-11,22.479
2017-05-12,22.401
2017-05-15,22.409
2017-05-16,22.178
2017-05-17,21.79
2017-05-18,21.776
2017-05-19,21.803
2017-05-22,21.802
2017-05-23,21.868
2017-05-24,22.011
2017-05-25,22.053
2017-05-26,22.132
2017-05-29,22.142
2017-05-30,22.089
2017-05-31,21.939
2017-06-01,22.088
2017-06-02,22.11
2017-06-05,22.194
2017-06-06,22.131
2017-06-07,22.141
2017-06-08,22.237
2017-06-09,22.407
2017-06-12,22.201
2017-06-13,22.286
2017-06-14,22.165
2017-06-15,22.346
2017-06-16,22.252
2017-06-19,22.495
2017-06-20,22.548
2017-06-21,22.416
2017-06-22,22.448
2017-06-23,22.345
2017-06-26,22.345
2017-06-27,22.149
2017-06-28,22.026
2017-06-29,21.772
2017-06-30,21.805
2017-07-03,22.018
2017-07-04,22.03
2017-07-05,21.94
2017-07-06,21.787
2017-07-07,21.842
2017-07-10,21.893
2017-07-11,21.739
2017-07-12,21.747
2017-07-13,21.834
2017-07-14,21.744
2017-07-17,21.824
2017-07-18,21.586
2017-07-19,21.787
2017-07-20,21.582
2017-07-21,21.547
2017-07-24,21.557
2017-07-25,21.635
2017-07-26,21.66
2017-07-27,21.625
2017-07-28,21.338
2017-07-31,21.33
2017-08-01,21.307
2017-08-02,21.175
2017-08-03,21.167
2017-08-04,21.442
2017-08-07,21.362
2017-08-08,21.547
2017-08-09,21.376
2017-08-10,21.26
2017-08-11,21.076
2017-08-14,21.318
2017-08-15,21.408
2017-08-16,21.498
2017-08-17,21.284
2017-08-18,21.111
2017-08-21,20.919
2017-08-22,21.172
2017-08-23,21.112
2017-08-24,21.028
2017-08-25,20.952
2017-08-28,20.803
2017-08-29,20.659
2017-08-30,20.961
2017-08-31,21.156
2017-09-01,21.253
2017-09-04,21.113
2017-09-05,21.073
2017-09-06,21.008
2017-09-07,20.881
2017-09-08,20.889
2017-09-11,21.131
2017-09-12,21.247
2017-09-13,21.396
2017-09-14,21.435
2017-09-15,21.303
2017-09-18,21.389
2017-09-19,21.364
2017-09-20,21.33
2017-09-21,21.412
2017-09-22,21.304
2017-09-25,21.467
2017-09-26,21.658
2017-09-27,21.708
2017-09-28,21.71
2017-09-29,21.725
2017-10-02,21.955
2017-10-03,21.963
2017-10-04,22.022
2017-10-05,22.195
2017-10-06,22.17
2017-10-09,22.167
2017-10-10,22.041
2017-10-11,21.987
2017-10-12,22.028
2017-10-13,22.042
2017-10-16,22.104
2017-10-17,22.207
2017-10-18,22.229
2017-10-19,22.047
2017-10-20,22.287
2017-10-23,22.389
2017-10-24,22.304
2017-10-25,22.1
2017-10-26,22.382
2017-10-27,22.737
2017-10-30,22.586
2017-10-31,22.591
2017-11-01,22.693
2017-11-02,22.592
2017-11-03,22.759
2017-11-06,22.841
2017-11-07,22.892
2017-11-08,22.826
2017-11-09,22.678
2017-11-10,22.611
2017-11-13,22.644
2017-11-14,22.381
2017-11-15,22.282
2017-11-16,22.444
2017-11-17,22.397
2017-11-20,22.498
2017-11-21,22.652
2017-11-22,22.539
2017-11-23,22.444
2017-11-24,22.313
2017-11-27,22.327
2017-11-28,22.502
2017-11-29,22.67
2017-11-30,22.723
2017-12-01,22.481
2017-12-04,22.936
2017-12-05,22.933
2017-12-06,22.857
2017-12-07,22.9
2017-12-08,23.043
2017-12-11,23.048
2017-12-12,23.331
2017-12-13,23.087
2017-12-14,23.012
2017-12-15,23.124
2017-12-18,23.196
2017-12-19,23.143
2017-12-20,22.969
2017-12-21,23.036
2017-12-22,23.028
2017-12-27,22.967
2017-12-28,22.863
2017-12-29,22.747
2018-01-02,22.723
2018-01-03,22.905
2018-01-04,22.977
2018-01-05,23.132
2018-01-08,23.321
2018-01-09,23.54
2018-01-10,23.359
2018-01-11,23.308
2018-01-12,23.358
2018-01-15,23.197
2018-01-16,23.289
2018-01-17,23.244
2018-01-18,23.298
2018-01-19,23.352
2018-01-22,23.424
2018-01-23,23.569
2018-01-24,23.32
2018-01-25,23.164
2018-01-26,23.418
2018-01-29,23.609
2018-01-30,23.263
2018-01-31,23.171
2018-02-01,23.096
2018-02-02,22.875
2018-02-05,22.59
2018-02-06,21.63
2018-02-07,22.525
2018-02-08,22.029
2018-02-09,21.543
2018-02-12,21.938
2018-02-13,21.83
2018-02-14,21.99
2018-02-15,22.092
2018-02-16,22.486
2018-02-19,22.453
2018-02-20,22.593
2018-02-21,22.685
2018-02-22,22.572
2018-02-23,22.614
2018-02-26,22.905
2018-02-27,23.114
2018-02-28,22.903
2018-03-01,22.666
2018-03-02,22.067
2018-03-05,22.406
2018-03-06,22.341
2018-03-07,22.388
2018-03-08,22.611
2018-03-09,22.958
2018-03-12,23.112
2018-03-13,22.884
2018-03-14,22.733
2018-03-15,22.829
2018-03-16,22.919
2018-03-19,22.466
2018-03-20,22.66
2018-03-21,22.738
2018-03-22,22.241
2018-03-23,21.798
2018-03-26,21.458
2018-03-27,21.96
2018-03-28,21.563
2018-03-29,21.883
2018-04-03,21.625
2018-04-04,21.677
2018-04-05,22.337
2018-04-06,21.956
2018-04-09,21.932
2018-04-10,22.048
2018-04-11,21.882
2018-04-12,22.132
2018-04-13,22.085
2018-04-16,22.083
2018-04-17,22.403
2018-04-18,22.443
2018-04-19,22.317
2018-04-20,22.26
2018-04-23,22.452
2018-04-24,22.362
2018-04-25,22.076
2018-04-26,22.445
2018-04-27,22.568
2018-04-30,22.673
2018-05-02,22.642
2018-05-03,22.273
2018-05-04,22.777
2018-05-07,22.985
2018-05-08,23.026
2018-05-09,23.113
2018-05-10,23.365
2018-05-11,23.395
2018-05-14,23.417
2018-05-15,23.397
2018-05-16,23.603
2018-05-17,23.699
2018-05-18,23.635
2018-05-21,23.754
2018-05-22,23.803
2018-05-23,23.779
2018-05-24,23.757
2018-05-25,23.944
2018-05-28,24.0
2018-05-29,23.963
2018-05-30,23.905
2018-05-31,23.854
2018-06-01,23.985
2018-06-04,24.068
2018-06-05,24.101
2018-06-06,24.06
2018-06-07,24.049
2018-06-08,24.129
2018-06-11,24.182
2018-06-12,24.239
2018-06-13,24.304
2018-06-14,24.522
2018-06-15,24.428
2018-06-18,24.487
2018-06-19,24.411
2018-06-20,24.509
2018-06-21,24.375
2018-06-22,24.349
2018-06-25,23.788
2018-06-26,23.933
2018-06-27,24.187
2018-06-28,24.021
2018-06-29,24.087
2018-07-02,23.959
2018-07-03,24.057
2018-07-04,23.974
2018-07-05,23.936
2018-07-06,24.098
2018-07-09,24.292
2018-07-10,24.438
2018-07-11,24.138
2018-07-12,24.303
2018-07-13,24.453
2018-07-16,24.322
2018-07-17,24.412
2018-07-18,24.604
2018-07-19,24.634
2018-07-20,24.416
2018-07-23,24.375
2018-07-24,24.566
2018-07-25,24.638
2018-07-26,24.8
2018-07-27,24.756
2018-07-30,24.416
2018-07-31,24.492
2018-08-01,24.559
2018-08-02,24.668
2018-08-03,24.869
2018-08-06,25.056
2018-08-07,25.117
2018-08-08,25.104
2018-08-09,25.173
2018-08-10,25.368
2018-08-13,25.296
2018-08-14,25.462
2018-08-15,25.336
2018-08-16,25.46
2018-08-17,25.386
2018-08-20,25.443
2018-08-21,25.36
2018-08-22,25.199
2018-08-23,25.165
2018-08-24,25.213
2018-08-27,25.292
2018-08-28,25.225
2018-08-29,25.402
2018-08-30,25.439
2018-08-31,25.468
2018-09-03,25.537
2018-09-04,25.547
2018-09-05,25.296
2018-09-06,25.236
2018-09-07,25.396
2018-09-10,25.335
2018-09-11,25.396
2018-09-12,25.37
2018-09-13,25.338
2018-09-14,25.45
2018-09-17,25.314
2018-09-18,25.397
2018-09-19,25.437
2018-09-20,25.437
2018-09-21,25.526
2018-09-24,25.309
2018-09-25,25.361
2018-09-26,25.407
2018-09-27,25.568
2018-09-28,25.657
2018-10-01,25.893
2018-10-02,25.863
2018-10-03,26.0
2018-10-04,25.764
2018-10-05,25.627
2018-10-08,25.59
2018-10-09,25.703
2018-10-10,25.154
2018-10-11,24.401
2018-10-12,24.404
2018-10-15,24.424
2018-10-16,24.626
2018-10-17,24.759
2018-10-18,24.69
2018-10-19,24.754
2018-10-22,24.611
2018-10-23,24.125
2018-10-24,24.267
2018-10-25,24.28
2018-10-26,23.908
2018-10-29,23.992
2018-10-30,23.895
2018-10-31,24.531
2018-11-01,24.506
2018-11-02,24.366
2018-11-05,24.455
2018-11-06,24.581
2018-11-07,24.889
2018-11-08,25.186
2018-11-09,25.108
2018-11-12,24.895
2018-11-13,24.917
2018-11-14,24.549
2018-11-15,24.456
2018-11-16,24.464
2018-11-19,24.187
2018-11-20,23.805
2018-11-21,23.951
2018-11-22,23.621
2018-11-23,23.883
2018-11-26,24.031
2018-11-27,24.238
2018-11-28,24.448
2018-11-29,24.609
2018-11-30,24.78
2018-12-03,25.121
2018-12-04,24.98
2018-12-05,24.496
2018-12-06,23.723
2018-12-07,23.885
2018-12-10,23.374
2018-12-11,23.975
2018-12-12,23.907
2018-12-13,23.783
2018-12-14,23.61
2018-12-17,23.245
2018-12-18,22.9
2018-12-19,22.808
2018-12-20,22.112
2018-12-21,22.035
2018-12-24,21.334
2018-12-27,21.7
2018-12-28,22.122
2018-12-31,22.288
2019-01-02,22.433
2019-01-03,21.974
2019-01-04,22.448
2019-01-07,22.625
2019-01-08,22.673
2019-01-09,22.837
2019-01-10,22.871
2019-01-11,22.969
2019-01-14,22.915
2019-01-15,23.217
2019-01-16,23.398
2019-01-17,23.448
2019-01-18,23.919
2019-01-21,23.853
2019-01-22,23.716
2019-01-23,23.522
2019-01-24,23.686
2019-01-25,23.812
2019-01-28,23.448
2019-01-29,23.501
2019-01-30,23.711
2019-01-31,24.013
2019-02-01,24.058
2019-02-04,24.188
2019-02-05,24.401
2019-02-06,24.468
2019-02-07,24.151
2019-02-08,24.162
2019-02-11,24.47
2019-02-12,24.719
2019-02-13,24.839
2019-02-14,24.755
2019-02-15,25.045
2019-02-18,25.037
2019-02-19,24.991
2019-02-20,24.992
2019-02-21,24.979
2019-02-22,25.117
2019-02-25,25.259
2019-02-26,25.14
2019-02-27,25.001
2019-02-28,25.015
2019-03-01,25.044
2019-03-04,25.179
2019-03-05,25.235
2019-03-06,25.075
2019-03-07,25.071
2019-03-08,24.827
2019-03-11,25.232
2019-03-12,25.267
2019-03-13,25.426
2019-03-14,25.418
2019-03-15,25.514
2019-03-18,25.46
2019-03-19,25.67
2019-03-20,25.327
2019-03-21,25.611
2019-03-22,25.446
2019-03-25,25.265
2019-03-26,25.478
2019-03-27,25.419
2019-03-28,25.55
2019-03-29,25.752
2019-04-01,26.04
2019-04-02,26.167
2019-04-03,26.24
2019-04-04,26.186
2019-04-05,26.346
2019-04-08,26.242
2019-04-09,26.138
2019-04-10,26.188
2019-04-11,26.232
2019-04-12,26.232
2019-04-15,26.257
2019-04-16,26.363
2019-04-17,26.262
2019-04-18,26.383
2019-04-23,26.744
2019-04-24,26.819
2019-04-25,26.914
2019-04-26,26.871
2019-04-29,26.982
2019-04-30,26.768
2019-05-02,26.661
2019-05-03,26.867
2019-05-06,26.685
2019-05-07,26.469
2019-05-08,26.351
2019-05-09,25.895
2019-05-10,25.774
2019-05-13,25.661
2019-05-14,25.993
2019-05-15,26.065
2019-05-16,26.48
2019-05-17,26.435
2019-05-20,26.118
2019-05-21,26.294
2019-05-22,26.268
2019-05-23,25.889
2019-05-24,25.851
2019-05-27,25.91
2019-05-28,25.915
2019-05-29,25.587
2019-05-30,25.642
2019-05-31,25.453
2019-06-03,25.22
2019-06-04,25.441
2019-06-05,25.654
2019-06-06,25.761
2019-06-07,26.018
2019-06-10,26.309
2019-06-11,26.215
2019-06-12,26.123
2019-06-13,26.272
2019-06-14,26.411
2019-06-17,26.44
2019-06-18,26.796
2019-06-19,26.704
2019-06-20,26.781
2019-06-21,26.841
2019-06-24,26.6
2019-06-25,26.467
2019-06-26,26.359
2019-06-27,26.362
2019-06-28,26.472
2019-07-01,26.913
2019-07-02,26.925
2019-07-03,27.237
2019-07-04,27.315
2019-07-05,27.29
2019-07-08,27.253
2019-07-09,27.258
2019-07-10,27.035
2019-07-11,27.113
2019-07-12,27.187
2019-07-15,27.218
2019-07-16,27.327
2019-07-17,27.143
2019-07-18,26.983
2019-07-19,27.18
2019-07-22,27.028
2019-07-23,27.292
2019-07-24,27.449
2019-07-25,27.44
2019-07-26,27.657
2019-07-29,27.602
2019-07-30,27.525
2019-07-31,27.562
2019-08-01,27.717
2019-08-02,26.772
2019-08-05,26.099
2019-08-06,25.91
2019-08-07,25.929
2019-08-08,26.547
2019-08-09,26.4
2019-08-12,26.241
2019-08-13,26.579
2019-08-14,26.211
2019-08-15,26.125
2019-08-16,26.516
2019-08-19,26.883
2019-08-20,26.828
2019-08-21,26.883
2019-08-22,26.83
2019-08-23,26.331
2019-08-26,26.335
2019-08-27,26.479
2019-08-28,26.544
2019-08-29,26.96
2019-08-30,27.123
2019-09-02,27.116
2019-09-03,27.018
2019-09-04,27.132
2019-09-05,27.532
2019-09-06,27.548
2019-09-09,27.539
2019-09-10,27.345
2019-09-11,27.77
2019-09-12,27.832
2019-09-13,27.776
2019-09-16,27.817
2019-09-17,27.702
2019-09-18,27.653
2019-09-19,27.924
2019-09-20,27.952
2019-09-23,27.792
2019-09-24,27.776
2019-09-25,27.724
2019-09-26,27.723
2019-09-27,27.841
2019-09-30,27.91
2019-10-01,27.675
2019-10-02,26.903
2019-10-03,26.862
2019-10-04,27.347
2019-10-07,27.479
2019-10-08,27.047
2019-10-09,27.121
2019-10-10,27.348
2019-10-11,27.711
2019-10-14,27.554
2019-10-15,27.765
2019-10-16,27.648
2019-10-17,27.536
2019-10-18,27.43
2019-10-21,27.559
2019-10-22,27.629
2019-10-23,27.596
2019-10-24,27.764
2019-10-25,27.895
2019-10-28,28.002
2019-10-29,28.041
2019-10-30,27.935
2019-10-31,27.782
2019-11-01,28.033
2019-11-04,28.295
2019-11-05,28.458
2019-11-06,28.435
2019-11-07,28.687
2019-11-08,28.647
2019-11-11,28.584
2019-11-12,28.821
2019-11-13,28.772
2019-11-14,28.741
2019-11-15,28.886
2019-11-18,28.849
2019-11-19,28.853
2019-11-20,28.839
2019-11-21,28.687
2019-11-22,28.823
2019-11-25,29.132
2019-11-26,29.187
2019-11-27,29.332
2019-11-28,29.341
2019-11-29,29.258
2019-12-02,28.786
2019-12-03,28.444
2019-12-04,28.81
2019-12-05,28.724
2019-12-06,29.235
2019-12-09,29.126
2019-12-10,29.008
2019-12-11,28.785
2019-12-12,28.946
2019-12-13,28.929
2019-12-16,29.217
2019-12-17,29.184
2019-12-18,29.282
2019-12-19,29.348
2019-12-20,29.675
2019-12-23,29.642
2019-12-24,29.667
2019-12-27,29.604
2019-12-30,29.289
2019-12-31,29.22
2020-01-02,29.508
2020-01-03,29.54
2020-01-06,29.47
2020-01-07,29.677
2020-01-08,29.796
2020-01-09,30.043
2020-01-10,30.058
2020-01-13,30.001
2020-01-14,30.125
2020-01-15,30.143
2020-01-16,30.284
2020-01-17,30.552
2020-01-20,30.598
2020-01-21,30.582
2020-01-22,30.647
2020-01-23,30.563
2020-01-24,30.667
2020-01-27,30.053
2020-01-28,30.389
2020-01-29,30.474
2020-01-30,30.116
2020-01-31,29.847
2020-02-03,30.018
2020-02-04,30.554
2020-02-05,30.84
2020-02-06,31.111
2020-02-07,31.146
2020-02-10,31.253
2020-02-11,31.476
2020-02-12,31.655
2020-02-13,31.825
2020-02-14,31.841
2020-02-17,31.961
2020-02-18,31.745
2020-02-19,32.101
2020-02-20,31.705
2020-02-21,31.508
2020-02-24,30.525
2020-02-25,29.965
2020-02-26,29.79
2020-02-27,28.455
2020-02-28,27.094
2020-03-02,27.614
2020-03-03,27.944
2020-03-04,28.126
2020-03-05,28.078
2020-03-06,26.691
2020-03-09,25.143
2020-03-10,24.89
2020-03-11,25.165
2020-03-12,23.196
2020-03-13,23.428
2020-03-16,23.174
2020-03-17,23.304
2020-03-18,22.474
2020-03-19,22.914
2020-03-20,22.78
2020-03-23,21.293
2020-03-24,23.06
2020-03-25,23.769
2020-03-26,24.121
2020-03-27,23.558
2020-03-30,24.182
2020-03-31,24.562
2020-04-01,23.455
2020-04-02,23.617
2020-04-03,23.685
2020-04-06,24.73
2020-04-07,25.629
2020-04-08,25.613
2020-04-09,26.127
2020-04-14,26.408
2020-04-15,26.067
2020-04-16,26.393
2020-04-17,26.751
2020-04-20,26.959
2020-04-21,25.835
2020-04-22,26.449
2020-04-23,26.809
2020-04-24,26.541
2020-04-27,27.188
2020-04-28,27.273
2020-04-29,27.726
2020-04-30,27.295
2020-05-04,26.474
2020-05-05,27.345
2020-05-06,27.233
2020-05-07,27.487
2020-05-08,27.581
2020-05-11,27.737
2020-05-12,27.639
2020-05-13,26.88
2020-05-14,26.679
