,ALVIA FP Equity_PX_LAST
2024-02-27,14.2
2024-02-28,14.2
2024-02-29,14.2
2024-03-01,14.2
2024-03-04,14.2
2024-03-05,14.2
2024-03-06,14.2
2024-03-07,14.2
2024-03-08,14.2
2024-03-11,14.2
2024-03-12,14.2
2024-03-13,14.2
2024-03-14,14.2
2024-03-15,14.2
2024-03-18,14.2
2024-03-19,14.2
2024-03-20,14.5
2024-03-21,14.5
2024-03-22,14.5
2024-03-25,14.5
2024-03-26,14.5
2024-03-27,14.5
2024-03-28,14.5
2024-04-02,14.5
2024-04-03,14.5
2024-04-04,14.5
2024-04-05,14.5
2024-04-08,14.5
2024-04-09,14.5
2024-04-10,14.5
2024-04-11,14.5
2024-04-12,14.5
2024-04-15,14.5
2024-04-16,14.5
2024-04-17,14.5
2024-04-18,14.5
2024-04-19,14.5
2024-04-22,14.5
2024-04-23,14.5
2024-04-24,14.5
2024-04-25,14.5
2024-04-26,14.5
2024-04-29,14.5
2024-04-30,14.5
2024-05-02,14.5
2024-05-03,14.5
2024-05-06,14.5
2024-05-07,12.0
2024-05-08,12.0
2024-05-09,12.0
2024-05-10,12.0
2024-05-13,12.0
2024-05-14,12.0
2024-05-15,12.0
2024-05-16,12.0
2024-05-17,12.0
2024-05-20,12.0
2024-05-21,12.0
2024-05-22,12.0
2024-05-23,12.0
2024-05-24,12.0
2024-05-27,12.0
2024-05-28,12.0
2024-05-29,12.0
2024-05-30,12.0
2024-05-31,12.0
2024-06-03,12.0
2024-06-04,12.0
2024-06-05,12.0
2024-06-06,12.0
2024-06-07,12.0
2024-06-10,12.0
2024-06-11,12.0
2024-06-12,12.0
2024-06-13,12.0
2024-06-14,12.0
2024-06-17,12.0
2024-06-18,12.0
2024-06-19,12.0
2024-06-20,12.0
2024-06-21,12.0
2024-06-24,12.0
2024-06-25,12.0
2024-06-26,12.0
2024-06-27,12.0
2024-06-28,12.0
2024-07-01,13.5
2024-07-02,13.5
2024-07-03,13.5
2024-07-04,13.5
2024-07-05,13.5
2024-07-08,13.5
2024-07-09,13.5
2024-07-10,13.5
2024-07-11,13.5
2024-07-12,13.5
2024-07-15,13.3
2024-07-16,13.3
2024-07-17,13.3
2024-07-18,13.3
2024-07-19,13.3
2024-07-22,13.3
2024-07-23,13.3
2024-07-24,13.3
2024-07-25,13.3
2024-07-26,13.3
2024-07-29,12.5
2024-07-30,12.5
2024-07-31,12.5
2024-08-01,12.5
2024-08-02,12.5
2024-08-05,12.5
2024-08-06,12.5
2024-08-07,12.5
2024-08-08,12.5
2024-08-09,12.5
2024-08-12,12.5
2024-08-13,12.5
2024-08-14,12.5
2024-08-15,12.5
2024-08-16,12.5
2024-08-19,12.5
2024-08-20,12.5
2024-08-21,12.5
2024-08-22,12.5
2024-08-23,12.5
2024-08-26,12.5
2024-08-27,12.5
2024-08-28,12.5
2024-08-29,12.5
2024-08-30,12.5
2024-09-02,12.5
2024-09-03,12.5
2024-09-04,12.5
2024-09-05,13.5
2024-09-06,13.5
2024-09-09,13.5
2024-09-10,13.5
2024-09-11,12.5
2024-09-12,12.5
2024-09-13,12.5
2024-09-16,14.0
2024-09-17,14.0
2024-09-18,14.0
2024-09-19,14.0
2024-09-20,14.0
2024-09-23,12.0
2024-09-24,12.0
2024-09-25,12.0
2024-09-26,12.0
2024-09-27,14.0
2024-09-30,14.0
2024-10-01,14.0
2024-10-02,14.0
2024-10-03,14.0
2024-10-04,14.0
2024-10-07,14.0
2024-10-08,14.0
2024-10-09,14.0
2024-10-10,14.0
2024-10-11,14.0
2024-10-14,14.0
2024-10-15,14.0
2024-10-16,14.0
2024-10-17,14.0
2024-10-18,14.0
2024-10-21,14.0
2024-10-22,14.0
2024-10-23,14.0
2024-10-24,14.0
2024-10-25,14.0
2024-10-28,14.0
2024-10-29,14.0
2024-10-30,14.0
2024-10-31,14.0
2024-11-01,14.0
2024-11-04,20.0
2024-11-05,20.0
2024-11-06,19.0
2024-11-07,19.0
2024-11-08,19.0
2024-11-11,19.0
2024-11-12,11.1
2024-11-13,11.1
2024-11-14,18.9
2024-11-15,18.4
2024-11-18,18.4
2024-11-19,18.4
2024-11-20,18.4
2024-11-21,18.4
2024-11-22,18.4
2024-11-25,18.4
2024-11-26,18.4
2024-11-27,18.4
2024-11-28,18.4
2024-11-29,18.4
2024-12-02,18.4
2024-12-03,18.4
2024-12-04,18.4
2024-12-05,18.4
2024-12-06,18.4
2024-12-09,18.4
2024-12-10,18.4
2024-12-11,18.4
2024-12-12,18.4
2024-12-13,18.4
2024-12-16,18.4
2024-12-17,18.4
2024-12-18,18.4
2024-12-19,18.4
2024-12-20,18.4
2024-12-23,18.4
2024-12-24,13.3
2024-12-27,13.3
2024-12-30,13.3
2024-12-31,13.3
2025-01-02,13.3
2025-01-03,13.3
2025-01-06,13.3
2025-01-07,13.3
2025-01-08,13.3
2025-01-09,13.3
2025-01-10,13.3
2025-01-13,13.3
2025-01-14,13.3
2025-01-15,13.3
2025-01-16,13.3
2025-01-17,13.3
2025-01-20,13.3
2025-01-21,13.3
2025-01-22,13.3
2025-01-23,13.3
2025-01-24,13.3
2025-01-27,13.3
2025-01-28,13.3
2025-01-29,13.3
2025-01-30,13.3
2025-01-31,13.3
2025-02-03,13.3
2025-02-04,12.0
2025-02-05,12.0
2025-02-06,12.0
2025-02-07,12.0
2025-02-10,12.0
2025-02-11,12.0
2025-02-12,12.0
2025-02-13,12.0
2025-02-14,12.0
2025-02-17,12.0
2025-02-18,12.1
2025-02-19,12.1
2025-02-20,12.1
2025-02-21,12.1
2025-02-24,12.1
2025-02-25,12.1
2025-02-26,12.0
2025-02-27,12.0
2025-02-28,12.0
2025-03-03,12.5
2025-03-04,12.5
2025-03-05,12.5
2025-03-06,12.5
2025-03-07,12.5
2025-03-10,12.5
2025-03-11,12.5
2025-03-12,12.5
2025-03-13,12.5
2025-03-14,12.5
2025-03-17,12.5
2025-03-18,12.5
2025-03-19,12.5
2025-03-20,12.5
2025-03-21,12.5
2025-03-24,12.5
2025-03-25,12.5
2025-03-26,12.5
2025-03-27,12.5
2025-03-28,13.0
2025-03-31,13.0
2025-04-01,13.0
2025-04-02,15.0
2025-04-03,15.0
2025-04-04,15.0
2025-04-07,15.0
2025-04-08,15.0
2025-04-09,15.0
2025-04-10,15.0
2025-04-11,15.0
2025-04-14,15.0
2025-04-15,15.0
2025-04-16,15.0
2025-04-17,15.0
2025-04-22,15.0
2025-04-23,15.0
2025-04-24,15.0
2025-04-25,15.0
2025-04-28,15.0
2025-04-29,15.0
2025-04-30,15.0
2025-05-02,15.0
2025-05-05,15.0
2025-05-06,15.0
2025-05-07,15.0
2025-05-08,15.0
2025-05-09,15.0
2025-05-12,15.0
2025-05-13,15.0
2025-05-14,15.0
2025-05-15,15.0
2025-05-16,15.0
2025-05-19,15.0
2025-05-20,15.0
2025-05-21,15.0
2025-05-22,15.0
2025-05-23,15.0
2025-05-26,15.0
2025-05-27,15.0
2025-05-28,15.0
2025-05-29,13.9
2025-05-30,13.9
2025-06-02,13.9
2025-06-03,13.9
2025-06-04,13.9
2025-06-05,13.9
2025-06-06,13.9
2025-06-09,13.5
2025-06-10,13.5
2025-06-11,13.5
2025-06-12,13.5
2025-06-13,13.5
2025-06-16,13.5
2025-06-17,13.5
2025-06-18,13.5
2025-06-19,13.5
2025-06-20,13.5
2025-06-23,13.5
2025-06-24,13.5
2025-06-25,13.5
2025-06-26,13.5
2025-06-27,13.5
2025-06-30,13.5
2025-07-01,11.7
2025-07-02,11.6
2025-07-03,11.7
2025-07-04,13.5
2025-07-07,13.8
2025-07-08,13.8
2025-07-09,11.5
2025-07-10,13.8
2025-07-11,13.7
2025-07-14,13.7
2025-07-15,13.7
2025-07-16,13.7
2025-07-17,13.7
2025-07-18,13.7
2025-07-21,13.2
2025-07-22,13.2
2025-07-23,13.2
2025-07-24,13.2
2025-07-25,13.2
2025-07-28,13.2
2025-07-29,13.2
2025-07-30,13.2
2025-07-31,13.2
2025-08-01,13.2
2025-08-04,13.2
2025-08-05,12.9
2025-08-06,12.9
2025-08-07,12.9
2025-08-08,12.9
2025-08-11,12.8
2025-08-12,12.8
2025-08-13,12.8
2025-08-14,12.8
2025-08-15,12.8
2025-08-18,12.8
2025-08-19,12.8
2025-08-20,12.8
2025-08-21,12.8
2025-08-22,12.8
2025-08-25,12.8
2025-08-26,12.8
2025-08-27,12.8
2025-08-28,12.8
2025-08-29,12.8
