,ALAMA FP Equity_DX_SI_QTY,ALAMA FP Equity_DX_SHORT_INTEREST_VALUE,ALAMA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALAMA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALAMA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALAMA FP Equity_DX_SI_MV,ALAMA FP Equity_DX_DSS,ALAMA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALAMA FP Equity_DX_SUPPLY_SI_QTY,ALAMA FP Equity_DX_BROKER_SI_QTY,ALAMA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALAMA FP Equity_DX_BROKER_SI_QTY_ADD,ALAMA FP Equity_DX_SUPPLY_SI_MV_DEC,ALAMA FP Equity_DX_SUPPLY_SI_QTY_DEC,ALAMA FP Equity_DX_BROKER_SI_MV_ADD,ALAMA FP Equity_DX_SUPPLY_SI_QTY_ADD,ALAMA FP Equity_DX_BROKER_SI_QTY_DEC,ALAMA FP Equity_DX_SUPPLY_SI_MV,ALAMA FP Equity_DX_BROKER_SI_MV_DEC,ALAMA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALAMA FP Equity_DX_UTILIZATION_QUANTITY,ALAMA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALAMA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALAMA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALAMA FP Equity_DX_ACTIVE_UTILIZATION_MV,ALAMA FP Equity_DX_BROKER_SI_CON_RATIO,ALAMA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALAMA FP Equity_DX_DEMAND_SUPPLY_RATIO,ALAMA FP Equity_PX_LAST
2022-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.638
2022-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64
2022-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63
2022-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.592
2022-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58
2022-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.598
2022-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.588
2022-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57
2022-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.564
2022-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.562
2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58
2022-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58
2022-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62
2022-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.612
2022-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63
2022-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64
2022-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62
2022-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63
2022-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62
2022-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.612
2022-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64
2022-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.636
2022-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64
2022-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64
2022-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63
2022-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.612
2022-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62
2022-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
2022-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
2022-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61
2022-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62
2022-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
2022-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.592
2022-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.586
2022-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
2022-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.598
2022-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.532
2022-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.558
2022-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56
2022-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.558
2022-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56
2022-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55
2022-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54
2022-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.542
2022-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55
2022-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.548
2022-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51
2022-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51
2022-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51
2022-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.538
2022-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.524
2022-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49
2022-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.472
2022-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49
2022-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.486
2022-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46
2022-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.477
2022-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46
2022-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
2022-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.441
2022-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.441
2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.486
2022-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.453
2022-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44
2022-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43
2022-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43
2022-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.419
2022-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41
2022-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.414
2022-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.391
2022-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.393
2022-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.378
2022-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.365
2022-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.347
2022-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34
2023-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.359
2023-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.359
2023-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.359
2023-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.359
2023-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2023-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47
2023-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47
2023-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49
2023-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46
2023-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47
2023-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
2023-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53
2023-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67
2023-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.628
2023-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64
2023-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65
2023-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61
2023-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62
2023-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
2023-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.618
2023-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.542
2023-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58
2023-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.522
2023-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53
2023-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52
2023-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53
2023-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.504
2023-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.502
2023-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
2023-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52
2023-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52
2023-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51
2023-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
2023-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52
2023-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49
2023-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.475
2023-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
2023-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42
2023-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.418
2023-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.405
2023-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41
2023-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38
2023-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.365
2023-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36
2023-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.361
2023-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.365
2023-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.341
2023-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34
2023-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.385
2023-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354
2023-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.334
2023-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2023-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315
2023-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2023-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2023-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.326
2023-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2023-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2023-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.339
2023-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.365
2023-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.351
2023-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33
2023-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33
2023-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322
2023-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2023-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2023-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31
2023-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.342
2023-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345
2023-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.368
2023-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.369
2023-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36
2023-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.327
2023-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323
2023-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.334
2023-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315
2023-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2023-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2023-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31
2023-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29
2023-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2023-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29
2023-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29
2023-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.289
2023-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29
2023-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.287
2023-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286
2023-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296
2023-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.294
2023-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.294
2023-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2023-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.294
2023-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.295
2023-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2023-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2023-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.306
2023-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31
2023-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.295
2023-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.294
2023-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.294
2023-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.295
2023-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.294
2023-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.292
2023-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.292
2023-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296
2023-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2023-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286
2023-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29
2023-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2023-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29
2023-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2023-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29
2023-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.287
2023-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266
2023-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.277
2023-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.265
2023-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244
2023-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
2023-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249
2023-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243
2023-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2023-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236
2023-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24
2023-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
2023-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236
2023-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24
2023-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239
2023-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24
2023-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2023-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231
2023-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231
2023-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2023-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224
2023-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2023-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231
2023-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2023-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239
2023-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225
2023-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2023-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22
2023-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212
2023-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212
2023-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21
2023-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205
2023-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2023-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2023-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2023-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194
2023-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1995
2023-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2023-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201
2023-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21
2023-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226
2023-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226
2023-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225
2023-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226
2023-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226
2023-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2023-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221
2023-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2023-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2023-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224
2023-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224
2023-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228
2023-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228
2023-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229
2023-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224
2023-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224
2023-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225
2023-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22
2023-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214
2023-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214
2023-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21
2023-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201
2023-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1995
2023-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1855
2023-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.184
2023-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185
2023-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18
2023-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174
2023-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16
2023-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.154
2023-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1455
2023-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15
2023-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15
2023-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14
2023-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.136
2023-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13
2023-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11
2023-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.094
2023-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08
2023-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108
2023-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.084
2023-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106
2023-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.107
2023-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
2023-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
2023-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
2023-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0952
2023-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114
2023-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114
2023-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11
2023-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1095
2023-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1015
2023-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.094
2023-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.094
2023-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0942
2023-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1055
2023-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
2023-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
2023-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
2023-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.103
2023-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
2023-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11
2023-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12
2023-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13
2023-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14
2023-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178
2023-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1705
2023-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15
2023-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1535
2023-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144
2023-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15
2023-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169
2023-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2023-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24
2023-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231
2023-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
2023-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233
2023-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24
2023-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234
2023-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235
2023-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239
2023-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2023-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235
2023-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22
2023-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226
2023-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224
2023-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22
2023-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221
2023-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225
2023-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225
2023-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22
2023-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214
2023-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224
2023-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206
2023-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204
2023-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197
2023-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.184
2023-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18
2023-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18
2023-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19
2023-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206
2024-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215
2024-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.223
2024-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.227
2024-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268
2024-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
