,AM3A FP Equity_DX_SI_QTY,AM3A FP Equity_DX_SHORT_INTEREST_VALUE,AM3A FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,AM3A FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,AM3A FP Equity_DX_SI_MV,AM3A FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,AM3A FP Equity_DX_SUPPLY_SI_QTY,AM3A FP Equity_DX_BROKER_SI_QTY,AM3A FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,AM3A FP Equity_DX_BROKER_SI_MV_NEW_x,AM3A FP Equity_DX_SUPPLY_SI_QTY_INC_x,AM3A FP Equity_DX_BROKER_SI_MV_INC_x,AM3A FP Equity_DX_BROKER_SI_QTY_ADD,AM3A FP Equity_DX_BROKER_SI_QTY_NEW,AM3A FP Equity_DX_SUPPLY_SI_MV_DEC,AM3A FP Equity_DX_BROKER_SI_QTY_INC,AM3A FP Equity_DX_SUPPLY_SI_QTY_DEC,AM3A FP Equity_DX_BROKER_SI_MV_NEW_y,AM3A FP Equity_DX_BROKER_SI_MV_INC_y,AM3A FP Equity_DX_SUPPLY_SI_QTY_INC_y,AM3A FP Equity_DX_BROKER_SI_MV_ADD,AM3A FP Equity_DX_SUPPLY_SI_QTY_ADD,AM3A FP Equity_DX_BROKER_SI_QTY_DEC,AM3A FP Equity_DX_SUPPLY_SI_MV,AM3A FP Equity_DX_BROKER_SI_MV_DEC,AM3A FP Equity_DX_BROKER_SI_MV_RMV,AM3A FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,AM3A FP Equity_DX_UTILIZATION_QUANTITY,AM3A FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,AM3A FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,AM3A FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,AM3A FP Equity_DX_ACTIVE_UTILIZATION_MV,AM3A FP Equity_DX_BROKER_SI_MARKET_SHARE_2,AM3A FP Equity_DX_BROKER_SI_CON_RATIO,AM3A FP Equity_DX_BROKER_SI_MARKET_SHARE_1,AM3A FP Equity_DX_DEMAND_SUPPLY_RATIO,AM3A FP Equity_PX_LAST
2016-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.03
2016-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.59
2016-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.43
2016-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.47
2016-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.41
2016-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.81
2016-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.8
2016-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.08
2016-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.63
2016-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.3
2016-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.4
2016-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.85
2016-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.16
2016-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.54
2016-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.22
2016-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.37
2016-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.1
2016-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.16
2016-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.01
2016-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.65
2016-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.82
2016-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.62
2016-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.83
2016-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.35
2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.26
2016-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.75
2016-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.94
2016-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.1
2016-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.56
2016-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.19
2016-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.77
2016-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.55
2016-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.24
2016-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.71
2016-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.41
2016-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.74
2016-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.62
2016-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.33
2016-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.03
2016-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.59
2016-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.56
2016-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.92
2016-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.45
2016-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.61
2016-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.05
2016-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.04
2016-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.57
2016-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.52
2016-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.87
2016-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.81
2016-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.42
2016-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.92
2016-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.51
2016-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.78
2016-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.47
2016-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.27
2016-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.05
2016-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.38
2016-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.6
2016-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.07
2016-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.04
2016-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.65
2016-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.48
2016-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.48
2016-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.83
2016-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.16
2016-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.1
2016-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.82
2016-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.63
2016-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.25
2016-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.73
2016-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.61
2016-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.05
2016-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.84
2016-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.73
2016-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.76
2016-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.02
2016-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.11
2016-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.14
2016-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.27
2016-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.11
2016-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.26
2016-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.96
2016-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.06
2016-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.09
2016-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.17
2016-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.89
2016-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.81
2016-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.09
2016-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.1
2016-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.28
2016-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.29
2016-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.86
2016-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.42
2016-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.7
2016-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.44
2016-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.35
2016-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.55
2016-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.57
2016-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.73
2016-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.35
2016-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.47
2016-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.23
2016-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.72
2016-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.42
2016-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.96
2016-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.41
2016-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.25
2016-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.71
2016-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.94
2017-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.1
2017-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.64
2017-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.13
2017-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.33
2017-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.65
2017-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.99
2017-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.85
2017-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.54
2017-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.32
2017-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.58
2017-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.88
2017-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.11
2017-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.43
2017-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.04
2017-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.9
2017-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.93
2017-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.39
2017-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.2
2017-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.78
2017-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.08
2017-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.91
2017-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.39
2017-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.66
2017-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.46
2017-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.18
2017-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.0
2017-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.28
2017-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.33
2017-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.53
2017-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.91
2017-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.76
2017-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.34
2017-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.28
2017-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.9
2017-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.19
2017-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.85
2017-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.6
2017-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.4
2017-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.3
2017-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.45
2017-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.33
2017-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.29
2017-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.27
2017-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.89
2017-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.48
2017-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.42
2017-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.48
2017-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.68
2017-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.99
2017-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.19
2017-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.66
2017-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.76
2017-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.55
2017-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.85
2017-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.9
2017-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.61
2017-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.66
2017-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.72
2017-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.43
2017-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.88
2017-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.02
2017-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.18
2017-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.74
2017-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.61
2017-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.44
2017-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.95
2017-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.39
2017-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.46
2017-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.64
2017-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.01
2017-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.84
2017-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.63
2017-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.2
2017-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.3
2017-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.65
2017-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.41
2017-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.32
2017-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.95
2017-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.14
2017-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.21
2017-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.47
2017-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.33
2017-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.05
2017-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.01
2017-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.1
2017-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.45
2017-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.16
2017-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.06
2017-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.75
2017-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.92
2017-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.7
2017-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.19
2017-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.64
2017-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.63
2017-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.33
2017-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.74
2017-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.52
2017-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.11
2017-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.15
2017-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.1
2017-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.77
2017-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.43
2017-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.86
2017-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.75
2017-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.75
2017-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.72
2017-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.17
2017-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.83
2017-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.4
2017-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.19
2017-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.6
2017-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.51
2017-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.92
2017-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.91
2017-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.45
2017-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.62
2017-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.62
2017-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.72
2017-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.92
2017-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.11
2017-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.21
2017-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.03
2017-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.04
2017-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.38
2017-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.46
2017-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.11
2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.71
2017-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.5
2017-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.46
2017-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.62
2017-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.28
2017-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.1
2017-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.45
2017-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.3
2017-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.9
2017-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.67
2017-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.83
2017-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.16
2017-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.49
2017-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.79
2017-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.89
2017-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.23
2017-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.39
2017-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.45
2017-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.61
2017-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.86
2017-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.77
2017-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.95
2017-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.9
2017-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.91
2017-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.25
2017-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.87
2017-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.13
2017-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.78
2017-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.51
2017-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.69
2017-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.28
2017-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.76
2017-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.34
2017-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.09
2017-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.36
2017-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.56
2017-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.76
2017-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.6
