,ALMGI FP Equity_DX_SI_QTY,ALMGI FP Equity_DX_SHORT_INTEREST_VALUE,ALMGI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALMGI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALMGI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALMGI FP Equity_DX_SI_MV,ALMGI FP Equity_DX_DSS,ALMGI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALMGI FP Equity_DX_SUPPLY_SI_QTY,ALMGI FP Equity_DX_BROKER_SI_QTY,ALMGI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALMGI FP Equity_DX_BROKER_SI_MV_NEW_x,ALMGI FP Equity_DX_BROKER_SI_MV_INC_x,ALMGI FP Equity_DX_BROKER_SI_QTY_ADD,ALMGI FP Equity_DX_BROKER_SI_QTY_NEW,ALMGI FP Equity_DX_SUPPLY_SI_MV_DEC,ALMGI FP Equity_DX_BROKER_SI_QTY_INC,ALMGI FP Equity_DX_SUPPLY_SI_QTY_DEC,ALMGI FP Equity_DX_BROKER_SI_MV_NEW_y,ALMGI FP Equity_DX_BROKER_SI_MV_INC_y,ALMGI FP Equity_DX_BROKER_SI_MV_ADD,ALMGI FP Equity_DX_SUPPLY_SI_QTY_ADD,ALMGI FP Equity_DX_BROKER_SI_QTY_DEC,ALMGI FP Equity_DX_SUPPLY_SI_MV,ALMGI FP Equity_DX_BROKER_SI_MV_DEC,ALMGI FP Equity_DX_BROKER_SI_MV_RMV,ALMGI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALMGI FP Equity_DX_UTILIZATION_QUANTITY,ALMGI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALMGI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALMGI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALMGI FP Equity_DX_ACTIVE_UTILIZATION_MV,ALMGI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALMGI FP Equity_DX_BROKER_SI_CON_RATIO,ALMGI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALMGI FP Equity_DX_DEMAND_SUPPLY_RATIO
2008-01-31,566.0,3962.0,0.12,0.03,0.02,0.0,,3962.0,0.0,566.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-02-01,12000.0,86640.0,2.44,0.73,0.49,0.08,,86640.0,0.0,12000.0,0.0,,0.08,,,,11434.0,,,0.08,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-02-04,12000.0,84720.0,2.44,0.76,0.49,0.08,,84720.0,0.0,12000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-02-05,12000.0,87600.0,2.44,0.76,0.49,0.09,,87600.0,0.0,12000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-02-06,12000.0,89040.0,2.44,0.75,0.49,0.09,,89040.0,0.0,12000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-02-07,12000.0,84000.0,2.44,0.91,0.49,0.09,,84000.0,0.0,12000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-02-08,12000.0,80400.0,2.44,0.97,0.49,0.08,,80400.0,0.0,12000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-02-11,12000.0,80880.0,2.44,0.97,0.49,0.08,,80880.0,0.0,12000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-02-12,12000.0,84600.0,2.44,1.01,0.49,0.08,,84600.0,0.0,12000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-02-13,12000.0,85080.0,2.44,0.97,0.49,0.08,,85080.0,0.0,12000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-02-14,12000.0,81840.0,2.44,0.96,0.49,0.08,,81840.0,0.0,12000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-02-15,12000.0,79800.0,2.44,0.95,0.49,0.08,,79800.0,0.0,12000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-02-18,12000.0,83400.0,2.44,0.98,0.49,0.08,,83400.0,0.0,12000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-02-19,12000.0,82440.0,2.44,1.01,0.49,0.08,,82440.0,0.0,12000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-02-20,12000.0,78000.0,2.44,1.01,0.49,0.08,,78000.0,0.0,12000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-02-21,12000.0,77400.0,2.44,1.04,0.49,0.08,,77400.0,0.0,12000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-02-22,12000.0,77040.0,2.44,1.03,0.49,0.08,,77040.0,0.0,12000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-02-25,12000.0,82200.0,2.44,1.04,0.49,0.08,,82200.0,0.0,12000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-02-26,12000.0,96000.0,2.44,0.92,0.49,0.08,,96000.0,0.0,12000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-02-27,12000.0,91320.0,2.44,0.77,0.49,0.1,,91320.0,0.0,12000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-02-28,12000.0,87600.0,2.44,0.75,0.49,0.09,,87600.0,0.0,12000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-02-29,12000.0,100800.0,2.44,0.75,0.49,0.09,,100800.0,0.0,12000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-03-03,12000.0,99600.0,2.44,0.61,0.49,0.1,,99600.0,0.0,12000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-03-04,12000.0,103800.0,2.44,0.59,0.49,0.1,,103800.0,0.0,12000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-03-05,12000.0,118560.0,2.44,0.57,0.49,0.1,,118560.0,0.0,12000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-03-06,12000.0,110160.0,2.44,0.5,0.49,0.1,,110160.0,0.0,12000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-03-07,12000.0,132240.0,2.44,0.49,0.49,0.11,,132240.0,0.0,12000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-03-10,12000.0,178560.0,2.44,0.47,0.49,0.13,,178560.0,0.0,12000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-03-11,12000.0,156240.0,2.44,0.41,0.49,0.18,,156240.0,0.0,12000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-03-12,4000.0,45000.0,0.81,0.11,0.16,0.05,,45000.0,0.0,4000.0,0.0,,,,,,,,,,,,8000.0,0.0,0.13,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-03-13,4000.0,41080.0,0.5,0.1,0.14,0.04,,41080.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-03-14,4000.0,36480.0,0.5,0.09,0.14,0.04,,36480.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-03-17,4000.0,32640.0,0.5,0.08,0.14,0.04,,32640.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-03-18,4000.0,34800.0,0.5,0.08,0.14,0.03,,34800.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-03-19,4000.0,31000.0,0.5,0.08,0.14,0.04,,31000.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-03-20,4000.0,29640.0,0.5,0.08,0.14,0.04,,29640.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-03-21,4000.0,29640.0,0.5,0.07,0.14,0.04,,29640.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-03-24,4000.0,29640.0,0.5,0.07,0.14,0.03,,29640.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-03-25,4000.0,34800.0,0.5,0.07,0.14,0.03,,34800.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-03-26,4000.0,33080.0,0.5,0.07,0.14,0.03,,33080.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-03-27,4000.0,33720.0,0.5,0.07,0.14,0.03,,33720.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-03-28,4000.0,33640.0,0.5,0.07,0.14,0.03,,33640.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-03-31,4000.0,33680.0,0.5,0.07,0.14,0.03,,33680.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-04-01,4000.0,33800.0,0.5,0.07,0.14,0.03,,33800.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-04-02,4000.0,32680.0,0.5,0.07,0.14,0.03,,32680.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-04-03,4000.0,37680.0,0.5,0.07,0.14,0.03,,37680.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-04-04,4000.0,36080.0,0.5,0.07,0.14,0.04,,36080.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-04-07,4000.0,35720.0,0.5,0.07,0.14,0.04,,35720.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-04-08,4000.0,34000.0,0.5,0.06,0.14,0.04,,34000.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-04-09,4000.0,34320.0,0.5,0.06,0.14,0.03,,34320.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-04-10,4000.0,34520.0,0.5,0.06,0.14,0.03,,34520.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-04-11,4000.0,33720.0,0.5,0.07,0.14,0.03,,33720.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-04-14,4000.0,33760.0,0.5,0.07,0.14,0.03,,33760.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-04-15,4000.0,33600.0,0.5,0.07,0.14,0.03,,33600.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-04-16,4000.0,35200.0,0.5,0.07,0.14,0.03,,35200.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-04-17,4000.0,34760.0,0.5,0.07,0.14,0.04,,34760.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-04-18,4000.0,35800.0,0.5,0.07,0.14,0.04,,35800.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-04-21,4000.0,34760.0,0.5,0.08,0.14,0.04,,34760.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-04-22,4000.0,34240.0,0.5,0.08,0.14,0.03,,34240.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-04-23,4000.0,35240.0,0.5,0.08,0.14,0.03,,35240.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-04-24,4000.0,36000.0,0.5,0.09,0.14,0.04,,36000.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-04-25,4000.0,36200.0,0.5,0.11,0.14,0.04,,36200.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-04-28,4000.0,36080.0,0.5,0.12,0.14,0.04,,36080.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-04-29,4000.0,35000.0,0.5,0.13,0.14,0.04,,35000.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-04-30,4000.0,35280.0,0.5,0.15,0.14,0.03,,35280.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-05-01,4000.0,35280.0,0.5,0.15,0.14,0.04,,35280.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-05-02,4000.0,30400.0,0.5,0.15,0.14,0.04,,30400.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-05-05,4000.0,31600.0,0.5,0.17,0.14,0.04,,31600.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-05-06,4000.0,31600.0,0.5,0.18,0.14,0.03,,31600.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-05-07,4000.0,30560.0,0.5,0.19,0.14,0.03,,30560.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-05-08,4000.0,30480.0,0.5,0.22,0.14,0.03,,30480.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-05-09,4000.0,29600.0,0.5,0.23,0.14,0.03,,29600.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-05-12,4000.0,29200.0,0.5,0.22,0.14,0.03,,29200.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-05-13,4000.0,28200.0,0.5,0.22,0.14,0.03,,28200.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-05-14,4000.0,29400.0,0.5,0.23,0.14,0.03,,29400.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-05-15,4000.0,30960.0,0.5,0.23,0.14,0.03,,30960.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-05-16,4000.0,30160.0,0.5,0.23,0.14,0.03,,30160.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-05-19,4000.0,30000.0,0.5,0.27,0.14,0.03,,30000.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-05-20,4000.0,30480.0,0.5,0.28,0.14,0.03,,30480.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-05-21,4000.0,30240.0,0.5,0.3,0.14,0.03,,30240.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-05-22,4000.0,29600.0,0.5,0.33,0.14,0.03,,29600.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-05-23,4000.0,29800.0,0.5,0.33,0.14,0.03,,29800.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-05-26,4000.0,29200.0,0.5,0.33,0.14,0.03,,29200.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-05-27,4000.0,29600.0,0.5,0.37,0.14,0.03,,29600.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-05-28,4000.0,29200.0,0.5,0.38,0.14,0.03,,29200.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-05-29,4000.0,28920.0,0.5,0.39,0.14,0.03,,28920.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-05-30,4000.0,28000.0,0.5,0.38,0.14,0.03,,28000.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-06-02,4000.0,28000.0,0.5,0.38,0.14,0.03,,28000.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-06-03,4000.0,27200.0,0.5,0.4,0.14,0.03,,27200.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-06-04,4000.0,27720.0,0.5,0.4,0.14,0.03,,27720.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-06-05,4000.0,29000.0,0.5,0.41,0.14,0.03,,29000.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-06-06,4000.0,29200.0,0.5,0.4,0.14,0.03,,29200.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-06-09,4000.0,29240.0,0.5,0.43,0.14,0.03,,29240.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-06-10,4000.0,28200.0,0.5,0.47,0.14,0.03,,28200.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-06-11,4000.0,28200.0,0.5,0.48,0.14,0.03,,28200.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-06-12,4000.0,28000.0,0.78,0.51,0.14,0.03,,28000.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-06-13,4000.0,26600.0,0.78,0.52,0.14,0.03,,26600.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-06-16,4000.0,26440.0,0.78,0.64,0.14,0.03,,26440.0,0.0,4000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-07-25,600.0,4200.0,0.12,0.01,0.02,0.0,,4200.0,0.0,600.0,0.0,,,600.0,,,,,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-07-28,600.0,4074.0,0.12,0.01,0.02,0.0,,4074.0,0.0,600.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-07-29,600.0,3960.0,0.12,0.01,0.02,0.0,,3960.0,0.0,600.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-07-30,600.0,3792.0,0.12,0.01,0.02,0.0,,3792.0,0.0,600.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-07-31,600.0,3792.0,0.12,0.01,0.02,0.0,,3792.0,0.0,600.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-08-01,600.0,4026.0,0.12,0.01,0.02,0.0,,4026.0,0.0,600.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-08-04,600.0,4140.0,0.12,0.01,0.02,0.0,,4140.0,0.0,600.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-08-05,600.0,3930.0,0.12,0.01,0.02,0.0,,3930.0,0.0,600.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-08-06,600.0,4026.0,0.12,0.01,0.02,0.0,,4026.0,0.0,600.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-08-07,600.0,3954.0,0.12,0.01,0.02,0.0,,3954.0,0.0,600.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-08-08,600.0,4122.0,0.12,0.01,0.02,0.0,,4122.0,0.0,600.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-08-11,600.0,4104.0,0.12,0.01,0.02,0.0,,4104.0,0.0,600.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-08-12,600.0,3960.0,0.12,0.01,0.02,0.0,,3960.0,0.0,600.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-08-13,600.0,4014.0,0.12,0.01,0.02,0.0,,4014.0,0.0,600.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-08-14,600.0,3858.0,0.12,0.01,0.02,0.0,,3858.0,0.0,600.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-08-15,600.0,4008.0,0.12,0.01,0.02,0.0,,4008.0,0.0,600.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-08-18,600.0,3996.0,0.12,0.01,0.02,0.0,,3996.0,0.0,600.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-08-19,600.0,4014.0,0.12,0.01,0.02,0.0,,4014.0,0.0,600.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-08-20,600.0,3954.0,0.12,0.01,0.02,0.0,,3954.0,0.0,600.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-08-21,600.0,3834.0,0.12,0.01,0.02,0.0,,3834.0,0.0,600.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-08-22,600.0,3780.0,0.12,0.01,0.02,0.0,,3780.0,0.0,600.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2008-08-25,600.0,3498.0,0.12,0.02,0.02,0.0,0.0,3498.0,0.0,600.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0963
