,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_y,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity
2015-12-15,15275267.0,1116683393.93,1.31,4.63,1.17,1162.16,1.0,955430551.0,3376819.0,13069467.0,246859037.01,,,13073.0,148.99,,,,0.03,2010000.0,3273.0,,,148.99,13073.0,,584333.0,,258.63,,,,1.32,1.32,251887232.0,18413968745.59,,19132.38,1.33,17.35,0.1685,27.82,0.0598
2015-12-16,14053448.0,1027363515.75,1.2,4.12,1.08,1097.62,1.0,892680401.27,3013368.0,12211099.0,220289308.55,,,19571.0,9.21,,24632.0,,29.93,117000.0,381622.0,,,9.21,19571.0,1.98,,1000000.0,237.09,70.79,0.11,,1.17,1.17,254990464.0,18640827473.62,1400.0,20056.92,1.17,19.59,0.1825,30.65,0.0545
2015-12-17,15555284.0,1146976736.31,1.33,4.5,1.19,1218.81,1.0,947749150.54,3995204.0,12853362.0,294588388.41,,,700658.0,50.77,,,,14.76,642263.0,187455.0,,,50.77,700658.0,,468633.0,,315.79,,,,1.55,1.55,254315280.0,18752065847.81,,20135.54,1.54,17.71,0.1596,27.75,0.0602
2015-12-18,15153838.0,1108228628.47,1.3,4.32,1.16,1201.46,1.0,911919997.63,3977592.0,12469528.0,290888771.99,,,163.0,5.95,,40000.0,,1.42,80000.0,17775.0,,,5.95,163.0,3.33,,503834.0,314.75,38.23,,,1.54,1.54,254977952.0,18647016421.45,,20183.73,1.54,16.29,0.1589,28.47,0.0585
2015-12-21,17235182.0,1245075844.76,1.48,4.97,1.32,1355.91,1.0,1043165323.9,4160199.0,14440200.0,300534295.74,,,22199.0,170.78,,,,0.66,2183235.0,2630.0,,,170.78,22199.0,,163038.0,212563.0,325.78,17.12,,,1.62,1.62,252565952.0,18245456650.49,,19804.16,1.62,18.91,0.1516,24.54,0.0671
2015-12-22,16557378.0,1196418559.24,1.42,4.85,1.27,1290.91,1.0,995034125.94,4310320.0,13770395.0,311459147.96,,,152926.0,5.5,,,,19.86,71827.0,252805.0,,,5.5,152926.0,,250000.0,741632.0,334.99,60.75,,,1.68,1.68,251681424.0,18186232547.81,,19563.83,1.68,15.72,0.1481,25.26,0.0647
2015-12-23,15440378.0,1146533835.99,1.32,4.55,1.18,1211.68,1.0,985400544.24,3639320.0,13270395.0,270239726.0,,,,15.79,,,,52.2,190000.0,671000.0,,,15.79,,,,690000.0,286.79,53.27,,,1.43,1.43,251446912.0,18671329974.18,,19728.72,1.43,17.04,0.1587,25.97,0.0605
2015-12-24,15318236.0,1125088003.71,1.31,4.51,1.17,1211.88,1.0,969537619.0,3571253.0,13200395.0,262300039.54,,,2784.0,,,,,9.31,,124926.0,,,,2784.0,,54075.0,70000.0,283.83,5.52,,,1.4,1.4,250883536.0,18426799057.21,,19959.56,1.4,17.51,0.1623,26.49,0.0602
2015-12-25,15349236.0,1127364879.99,1.32,4.7,1.18,1214.83,1.0,971814495.28,3571253.0,13231395.0,262300039.54,,,,2.14,,,,,31000.0,,,,2.14,,,,,282.66,,,,1.4,1.4,250912720.0,18428942552.6,,19896.41,1.4,17.52,0.1623,26.48,0.0603
2015-12-28,14329780.0,1045169149.61,1.23,4.39,1.1,1132.3,1.0,890480427.78,3541035.0,12208922.0,258271972.05,,,,,,,,2.55,,33235.0,,,,,,3017.0,1022473.0,278.9,81.37,,,1.39,1.39,250900784.0,18299915215.02,,19806.76,1.39,16.71,0.1646,28.24,0.0563
2015-12-29,14462276.0,1075784601.96,1.24,4.55,1.11,1142.3,1.0,897383985.5,3583998.0,12063953.0,266597723.75,,,,9.63,,,,14.97,111732.0,190659.0,,,9.63,,,236622.0,256701.0,284.03,20.56,0.24,,1.4,1.4,252000784.0,18745221230.04,3000.0,19919.47,1.41,16.81,0.1685,28.48,0.0566
2015-12-30,13074661.0,967830732.83,1.12,4.18,1.0,1039.77,1.0,828889865.76,1963761.0,11197675.0,145364246.75,,,142058.0,,,236622.0,,138.51,,1762295.0,,,,142058.0,19.32,,1102900.0,156.72,82.37,,,0.77,0.77,254059744.0,18806363562.1,,20312.67,0.77,18.82,0.185,31.78,0.0511
2015-12-31,13056505.0,953027972.18,1.12,4.3,1.0,1039.26,0.0,817347176.63,1945605.0,11197675.0,142014726.59,,,,,,,,4.29,,53317.0,,,,,,35161.0,,153.51,,,,0.76,0.76,253716224.0,18519401514.27,,20187.07,0.75,18.81,0.1858,31.87,0.0511
2016-01-01,12841883.0,937362158.9,1.1,4.35,0.98,1018.55,0.0,818953013.37,1708983.0,11219675.0,124743076.57,,,,1.17,,,,18.95,22000.0,236622.0,,,1.17,,,,,134.34,,,,0.67,0.67,253864880.0,18530252299.09,,20053.63,0.67,18.62,0.1859,31.96,0.0502
2016-01-04,11773183.0,848093722.08,1.01,3.99,0.9,923.55,0.0,731236248.56,1643983.0,10150975.0,118426058.74,,,,,,1300.0,,5.09,,65000.0,,,,,0.1,,1070000.0,127.69,91.07,,,0.64,0.64,255025888.0,18371060280.11,,20062.06,0.63,20.21,0.1704,26.95,0.0459
2016-01-05,9064867.0,660742021.78,0.78,3.04,0.69,704.75,0.0,543642531.14,1606514.0,7458353.0,117099490.63,,,,,,,,4.29,,54236.0,,,,,,16767.0,2692622.0,126.02,215.23,,,0.63,0.63,255297872.0,18608770774.07,,19898.31,0.63,17.86,0.2144,34.87,0.0353
2016-01-06,8013416.0,576213077.19,0.69,2.71,0.61,624.88,0.0,426953090.95,2075764.0,5937652.0,149259986.25,,,294217.0,,,48374.0,,,,,,,,294217.0,3.8,175033.0,1569075.0,161.19,121.71,,,0.81,0.81,254291136.0,18285070683.7,,19857.57,0.81,19.06,0.241,39.95,0.0313
2016-01-07,8051506.0,572671213.21,0.69,2.72,0.62,620.57,0.0,421610027.03,2123854.0,5927652.0,151061186.18,,,73103.0,,,,,37.65,,481303.0,,,,73103.0,,456290.0,10000.0,162.59,0.96,,,0.83,0.83,254583728.0,18107515833.3,,19557.62,0.82,19.11,0.2405,39.94,0.0314
2016-01-08,8174018.0,566810521.59,0.7,2.74,0.63,621.87,0.0,412754132.6,2221659.0,5952359.0,154056388.98,,,18920.0,,,46707.0,,0.08,,186.0,,,,18920.0,3.62,79071.0,22000.0,166.76,2.07,,,0.87,0.87,254412208.0,17641693022.28,,19316.79,0.86,18.56,0.2331,39.35,0.0319
2016-01-11,11367797.0,777508638.73,0.97,3.8,0.87,849.91,0.0,629933454.9,2239438.0,9210130.0,153167970.09,,,64486.0,,,3279071.0,,3.58,,46707.0,,,,64486.0,245.17,,21300.0,165.83,1.78,,,0.87,0.87,254537824.0,17409297249.27,,19003.23,0.87,27.61,0.1989,28.81,0.0443
2016-01-12,11260621.0,777498351.32,0.97,3.7,0.86,834.9,0.0,634539686.88,2152262.0,9190130.0,148604606.85,,,,,,,,6.55,,87476.0,,,,,,300.0,20000.0,159.37,1.36,,,0.84,0.84,254925440.0,17601525645.0,,18831.97,0.84,27.7,0.2011,28.89,0.0438
2016-01-13,11400257.0,790633320.78,0.98,3.68,0.87,851.62,0.0,637356070.16,2291898.0,9190130.0,158948252.36,,,17089.0,,,,,,,,,,,17089.0,,122547.0,,170.77,,,,0.89,0.89,254822208.0,17672490060.55,,18941.51,0.89,27.71,0.2009,28.91,0.0443
2016-01-14,11374633.0,774279088.43,0.98,3.66,0.87,849.38,0.0,627874695.86,2159478.0,9223863.0,146997152.11,,,49205.0,2.4,,2000.0,,13.79,31733.0,187001.0,,,2.4,49205.0,0.15,5376.0,,159.11,,,,0.84,0.84,254243936.0,17306559517.57,,18889.27,0.84,27.89,0.2023,29.11,0.0444
2016-01-15,9766105.0,648460599.38,0.84,3.09,0.75,717.5,0.0,531999695.7,1761724.0,8012152.0,116976891.09,,,400.0,51.83,,10000.0,,30.1,693974.0,398654.0,,,51.83,400.0,0.79,500.0,1915685.0,126.25,144.82,,,0.69,0.69,253620848.0,16840196486.58,,18445.32,0.68,15.17,0.1872,33.55,0.0382
2016-01-18,9750205.0,654376905.93,0.84,2.97,0.75,711.75,0.0,537728923.2,1745824.0,8012152.0,117169526.94,,,3510.0,,,,,1.55,,19410.0,,,,3510.0,,,,125.98,,,,0.68,0.68,254143616.0,17056637588.63,,18277.47,0.68,15.46,0.1894,33.88,0.0381
2016-01-19,9756194.0,677610493.88,0.84,3.02,0.75,713.67,0.0,556479122.26,1751813.0,8012152.0,121671101.67,,,2025.0,,,,,,,,,,,2025.0,,3964.0,,130.33,,,,0.68,0.68,254015856.0,17642516091.5,,18523.51,0.7,15.97,0.1853,32.93,0.0381
2016-01-20,6510861.0,442533684.03,0.56,2.02,0.5,486.26,0.0,323279558.84,1762320.0,4756312.0,119782308.67,,,10507.0,1.34,,,,,20000.0,,,,1.34,10507.0,,,3275840.0,129.44,234.37,,,0.69,0.69,253723936.0,17245244234.78,,18868.29,0.68,19.8,0.174,23.36,0.0255
2016-01-21,10761735.0,744051776.67,0.92,3.24,0.82,794.61,0.0,573492546.89,2472087.0,8294819.0,170916745.71,,,709767.0,270.8,,,,,3700000.0,,,,270.8,709767.0,,,161493.0,182.82,12.02,,,0.96,0.96,253971152.0,17559221340.09,,18684.59,0.97,14.21,0.1872,34.85,0.042
2016-01-22,13260787.0,938383651.59,1.14,3.91,1.02,994.15,1.0,797222116.87,2052527.0,11265960.0,145244605.86,,,6351.0,190.79,,471141.0,,30.67,2500000.0,425911.0,,,190.79,6351.0,35.19,,,155.65,,,,0.8,0.8,255331376.0,18068217895.18,,19147.63,0.81,11.52,0.263,47.04,0.0515
2016-01-25,13402054.0,950744968.67,1.15,3.94,1.03,1021.87,1.0,804886295.54,2302083.0,11345976.0,163310327.63,,,,14.31,,,,1.52,188305.0,20125.0,,,14.31,,,269681.0,108289.0,175.64,0.0,,,0.89,0.89,257006992.0,18232138488.43,,19571.64,0.89,11.23,0.253,45.99,0.0517
2016-01-26,13210691.0,943181060.69,1.13,3.91,1.01,1010.3,1.0,796386784.08,2302083.0,11154613.0,164357873.92,,,,1.78,,,,,23000.0,,,,1.78,,,,214363.0,176.36,16.01,,,0.89,0.89,257522080.0,18385862523.43,,19673.67,0.89,11.44,0.2599,46.72,0.0508
2016-01-27,12930957.0,926571736.83,1.11,3.85,0.99,995.01,0.0,801117117.9,2167766.0,11180150.0,155331945.47,,,6230.0,28.0,,95255.0,,29.7,325000.0,390547.0,,,28.0,6230.0,7.29,250000.0,394718.0,166.16,29.54,,,0.83,0.83,257769072.0,18470522850.17,,19802.64,0.83,11.75,0.2927,50.04,0.0497
2016-01-28,13245986.0,922944105.45,1.14,3.97,1.01,1017.67,1.0,819082683.26,1657566.0,11755379.0,115494669.03,,,,48.98,,3229.0,,38.39,643000.0,510200.0,,,48.98,,0.25,,71000.0,125.11,5.13,,,0.64,0.64,257805568.0,17963187439.32,,19719.17,0.63,12.85,0.2899,49.49,0.0511
2016-01-29,13486422.0,958733940.54,1.16,4.14,1.03,1018.29,1.0,820676520.97,2109000.0,11544381.0,149926339.29,,,209754.0,3.31,,,,0.01,39002.0,1000.0,,,3.31,209754.0,,242680.0,250000.0,160.83,32.27,,,0.81,0.81,258928960.0,18406956429.29,,19601.39,0.81,12.89,0.2639,46.4,0.0517
2016-02-01,11124985.0,792928413.62,0.95,3.4,0.85,852.86,0.0,665740885.27,2249432.0,9340512.0,160327276.6,,,41024.0,31.75,,,,18.02,390313.0,241528.0,,,31.75,41024.0,,340936.0,2594182.0,172.39,189.32,,,0.86,0.86,259184288.0,18473246149.87,,19810.6,0.86,15.69,0.1889,33.08,0.0426
2016-02-02,11404261.0,797159500.63,0.98,3.54,0.87,872.04,0.0,663186365.8,2390861.0,9487625.0,167121531.23,,,101100.0,10.9,,,,0.02,147113.0,684.0,,,10.9,101100.0,,41013.0,,181.22,,,,0.92,0.92,257878304.0,18025730912.4,,19678.17,0.91,15.51,0.1849,32.81,0.0438
2016-02-03,10558131.0,720464118.1,0.91,3.37,0.81,792.83,0.0,590171115.98,2422671.0,8648736.0,165317850.81,,,838.0,11.65,,,,0.61,230695.0,8079.0,,,11.65,838.0,,39051.0,1069584.0,179.61,83.31,,,0.93,0.93,257952128.0,17602097607.27,,19204.08,0.93,17.14,0.2211,37.5,0.0406
2016-02-04,15661310.0,1052841087.28,1.34,4.94,1.2,1156.02,1.0,924211945.0,2466019.0,13747915.0,165779626.69,,,43348.0,369.44,,,,,5119179.0,,,,369.44,43348.0,,,20000.0,179.69,1.77,,,0.95,0.95,257749344.0,17327356369.42,,18800.62,0.95,11.48,0.3751,58.26,0.0602
2016-02-05,14550901.0,968869320.08,1.25,4.5,1.11,1059.88,1.0,842279499.78,4915928.0,12649720.0,327326247.28,,,,3.17,,,,4.98,175913.0,63837.0,,,3.17,,,2513746.0,1274108.0,353.42,96.0,,,1.87,1.87,257926400.0,17173986394.26,,18642.5,1.86,12.51,0.438,63.81,0.0554
2016-02-08,14475496.0,939785885.43,1.24,4.38,1.11,1042.64,1.0,819150662.64,4822523.0,12617355.0,313090414.83,,,,0.83,,,,7.07,18000.0,93450.0,,,0.83,,,45.0,50365.0,338.92,3.94,,,1.83,1.83,258129728.0,16758436117.48,,18376.52,1.81,12.7,0.4423,64.14,0.0551
2016-02-09,14550251.0,931532317.9,1.25,4.23,1.11,1026.6,1.0,806548510.07,4912500.0,12598042.0,314506774.6,,,94113.0,2.3,,,,0.32,37000.0,4136.0,,,2.3,94113.0,,,56313.0,339.88,4.33,,,1.87,1.87,257243744.0,16469190882.88,,17881.54,1.87,12.93,0.4369,63.66,0.0555
2016-02-10,14838657.0,946827159.24,1.27,4.14,1.14,1048.11,1.0,803857675.18,5174479.0,12598042.0,330173899.98,,,4892.0,,,,,6.95,,97913.0,,,,4892.0,,355000.0,,357.42,,,,1.98,1.98,256786208.0,16385051278.74,,17709.81,1.98,12.64,0.4202,62.42,0.0566
2016-02-11,14893844.0,930431469.02,1.28,4.05,1.14,1034.21,1.0,778282403.18,5367166.0,12458324.0,335291557.09,,,176037.0,0.59,,,,1.15,15000.0,15918.0,,,0.59,176037.0,,32568.0,154718.0,364.25,23.42,,,2.05,2.05,256781040.0,16041336290.68,,17519.86,2.04,12.89,0.4171,62.13,0.0568
2016-02-12,14588277.0,932070154.02,1.25,3.85,1.12,1003.02,1.0,818319055.36,4704739.0,12807904.0,300593881.26,,,5000.0,20.8,,94860.0,,47.82,500000.0,674441.0,,,20.8,5000.0,6.55,7014.0,245280.0,323.31,16.48,,,1.8,1.8,257379376.0,16444411812.98,,17441.66,1.82,12.84,0.4406,64.0,0.0557
2016-02-15,14130217.0,915794839.73,1.21,3.64,1.08,976.67,1.0,785141958.41,4869275.0,12114314.0,315583045.77,,,70129.0,2.6,,,,7.45,37006.0,108664.0,,,2.6,70129.0,,203071.0,730596.0,339.17,50.16,,,1.86,1.86,256920240.0,16651282143.38,,17769.31,1.87,13.37,0.4792,66.91,0.054
2016-02-16,14362332.0,926303647.23,1.23,3.72,1.1,1004.6,1.0,777747054.5,4893784.0,12058963.0,315626318.06,,,22044.0,1.16,,,,0.0,15419.0,535.0,,,1.16,22044.0,,3000.0,70770.0,339.85,4.85,,,1.87,1.87,257082496.0,16580625881.92,,17908.88,1.86,13.0,0.4691,66.26,0.0548
2016-02-17,9294515.0,611623329.99,0.8,2.4,0.71,662.6,0.0,466189611.55,4779967.0,7084436.0,314544581.81,,,198641.0,3.69,,,,21.7,51000.0,312458.0,,,3.69,198641.0,,,5025527.0,338.35,342.92,,,1.82,1.82,257579200.0,16949937467.3,,17987.86,1.85,20.07,0.3066,48.37,0.0354
2016-02-18,8927522.0,589380286.61,0.77,2.28,0.68,643.67,0.0,472960092.39,4483834.0,7164070.0,296015329.68,,,8810.0,10.33,,,,31.87,144494.0,450609.0,,,10.33,8810.0,,145666.0,64860.0,318.72,4.6,,,1.71,1.71,257373744.0,16991390332.68,,18259.05,1.72,20.57,0.3308,50.57,0.0341
2016-02-19,9205223.0,601387750.72,0.79,2.36,0.7,663.12,0.0,484962882.68,4676535.0,7423150.0,305523382.19,,,18947.0,18.74,,,,0.11,259080.0,326.0,,,18.74,18947.0,,174080.0,,329.2,,,,1.79,1.79,256202560.0,16738006378.27,,18127.11,1.78,20.12,0.319,49.63,0.0353
2016-02-22,10121364.0,669041703.97,0.87,2.6,0.78,728.56,0.0,539853478.32,4998676.0,8166985.0,330422135.66,,,148715.0,10.62,,624000.0,,9.74,149835.0,138621.0,,,10.62,148715.0,46.09,312047.0,30000.0,355.33,2.12,,,1.91,1.91,256936656.0,16984009086.4,,18173.5,1.92,18.37,0.2682,44.83,0.0386
2016-02-23,11842994.0,775366063.18,1.02,3.07,0.91,853.45,0.0,644163753.77,5078337.0,9839001.0,332480972.9,,,79803.0,111.69,,148641.0,,0.59,1523375.0,7992.0,,,111.69,79803.0,10.69,7850.0,,358.81,,,,1.94,1.94,257010848.0,16826614064.63,,18248.09,1.93,16.47,0.2859,48.07,0.0452
2016-02-24,15384999.0,990117802.49,1.32,4.03,1.18,1094.85,1.0,862279009.23,5071873.0,13398569.0,326405724.78,,,34437.0,246.44,,,,3.59,3559568.0,49372.0,,,246.44,34437.0,,8471.0,,352.84,,,,1.94,1.94,256986624.0,16538644651.45,,18059.56,1.92,12.5,0.3732,58.32,0.0587
2016-02-25,14131734.0,946077343.06,1.21,3.68,1.08,1003.78,1.0,811746493.01,5012568.0,12125209.0,335576442.02,,,20095.0,45.83,,,,5.81,650000.0,79400.0,,,45.83,20095.0,,,1923360.0,358.4,146.94,,,1.91,1.91,257080832.0,17210793133.32,,17997.82,1.95,18.72,0.3455,53.95,0.0539
2016-02-26,13852885.0,948121247.11,1.19,3.63,1.06,1012.32,1.0,817976306.82,4811026.0,11951353.0,329276968.01,,,28203.0,,,,,16.33,,244236.0,,,,28203.0,,14491.0,173856.0,353.85,11.3,,,1.83,1.83,257639744.0,17633418265.4,,18666.67,1.86,18.64,0.3662,55.87,0.0528
2016-02-29,14042774.0,954466776.69,1.2,3.74,1.08,1037.49,1.0,824726533.89,4818322.0,12133946.0,327494287.7,,,56872.0,33.94,,,,3.54,452524.0,49807.0,,,33.94,56872.0,,231.0,269931.0,353.27,19.8,,,1.84,1.84,257062912.0,17472189542.04,,18937.78,1.83,18.17,0.3632,55.69,0.0536
2016-03-01,14434900.0,985408637.32,1.24,3.83,1.11,1064.74,1.0,864322341.57,4707538.0,12661150.0,321363404.37,,,,43.75,,,,10.04,577204.0,135078.0,,,43.75,,,24294.0,50000.0,345.82,3.56,,,1.8,1.8,257465088.0,17576035963.03,,18864.86,1.8,17.55,0.3422,53.42,0.0551
2016-03-02,15837344.0,1083206515.25,1.36,4.27,1.21,1171.22,1.0,908143707.89,5609982.0,13277786.0,383698747.27,,,553449.0,8.97,,500000.0,,2.0,116636.0,27244.0,,,8.97,553449.0,36.76,376239.0,,413.06,,,,2.13,2.13,257348336.0,17601524235.66,,18916.18,2.14,15.82,0.2865,48.34,0.0602
2016-03-03,15794810.0,1053601632.25,1.35,4.36,1.21,1163.18,1.0,882098304.47,5567448.0,13223760.0,371379731.71,,,55.0,,,,,5.19,,69845.0,,,,55.0,,27256.0,54026.0,402.11,3.94,,,2.12,2.12,257047392.0,17146490003.73,,18746.64,2.1,15.9,0.2892,48.7,0.0601
2016-03-04,15640526.0,1052024858.7,1.34,4.39,1.2,1136.82,1.0,882647086.5,5363164.0,13122375.0,360741182.83,,,25870.0,,,400000.0,,17.87,,230154.0,,,,25870.0,28.97,,501385.0,387.61,38.21,,,2.05,2.05,256769584.0,17271029460.69,,18454.85,2.06,15.91,0.2764,47.53,0.0597
2016-03-07,13667278.0,918410306.52,1.17,3.89,1.05,997.63,1.0,606975084.83,4785805.0,9032670.0,321595319.64,,,9285.0,,,,,41.76,,586644.0,,,,9285.0,,,4089705.0,346.32,292.62,,,1.82,1.82,257869888.0,17328275819.16,,18663.77,1.82,17.77,0.2774,46.99,0.052
2016-03-08,15581208.0,1048469055.4,1.34,4.47,1.19,1135.53,1.0,910047013.44,2135632.0,13524130.0,143707988.86,,,,348.21,,,,191.74,4815849.0,2650173.0,,,348.21,,,,324389.0,154.68,23.95,,,0.82,0.82,257808384.0,17348084490.41,,18652.87,0.82,15.52,0.3547,56.04,0.0599
2016-03-09,8525074.0,578407595.89,0.73,2.48,0.65,627.62,0.0,429573520.18,2560498.0,6331428.0,173724180.28,,,6068.0,22.96,,,,0.03,307446.0,648.0,,,22.96,6068.0,,419446.0,7500148.0,186.6,542.6,,,0.99,0.99,257132480.0,17445875494.0,,18694.43,0.99,17.63,0.1664,28.6,0.0328
2016-03-10,9733570.0,655881819.61,0.83,2.86,0.75,715.33,0.0,507356028.94,2669194.0,7529383.0,179859580.57,,,105185.0,97.67,,20000.0,,0.02,1337955.0,322.0,,,97.67,105185.0,1.45,3833.0,160000.0,193.17,11.46,,,1.03,1.03,257238688.0,17333637992.93,,18681.44,1.02,17.33,0.1567,25.1,0.0375
2016-03-11,11037506.0,758095672.38,0.95,3.21,0.85,815.13,0.0,517145147.46,3967130.0,7529383.0,272476779.15,,,1262747.0,,,,,,,,,,,1262747.0,,35189.0,,290.26,,,,1.53,1.53,256052544.0,17586611097.56,,18670.82,1.53,21.95,0.1551,23.74,0.0424
2016-03-14,10842478.0,754769409.03,0.93,3.19,0.83,809.42,0.0,527269926.73,3727102.0,7574383.0,259451997.41,,,15032.0,3.52,,,,18.67,45000.0,283009.0,,,3.52,15032.0,,27949.0,,277.29,,,,1.44,1.44,255924576.0,17815488395.13,,18986.01,1.44,22.24,0.1603,24.31,0.0418
2016-03-15,11103991.0,765033819.95,0.95,3.29,0.85,830.02,0.0,526449176.34,3921915.0,7641083.0,270208937.85,,,221852.0,1.71,,61700.0,,1.96,25000.0,27039.0,,,1.71,221852.0,4.63,,20000.0,292.63,1.45,,,1.51,1.51,255856256.0,17627778056.24,,19125.15,1.51,21.72,0.154,23.75,0.0427
2016-03-16,11632031.0,788775734.74,1.0,3.47,0.89,862.78,0.0,521609317.11,6223975.0,7692143.0,422051871.56,,,459192.0,32.12,,,,,433160.0,,,,32.12,459192.0,,1842868.0,382100.0,459.23,28.39,,,2.39,2.39,253817120.0,17211507200.89,,18689.67,2.4,19.3,0.1354,20.86,0.0447
2016-03-17,9821355.0,653314839.11,0.84,2.96,0.75,720.35,0.0,452219879.83,5175410.0,6798272.0,344267379.75,,,140618.0,12.43,,,,90.5,176000.0,1209183.0,,,12.43,140618.0,,20000.0,1069871.0,374.86,80.5,,,2.0,2.0,254176000.0,16907743640.85,,18361.23,2.0,15.23,0.1384,25.2,0.0379
2016-03-18,9559242.0,627889581.11,0.82,2.88,0.73,695.33,0.0,443702878.14,4956459.0,6755110.0,325560223.85,,,181880.0,1.9,,425695.0,,29.92,30000.0,401243.0,,,1.9,181880.0,31.76,412.0,498857.0,353.74,37.42,,,1.92,1.92,253849712.0,16673873235.28,,18162.46,1.91,15.7,0.1469,26.31,0.0369
2016-03-21,9387918.0,617508146.82,0.8,2.79,0.72,679.86,0.0,431842123.94,4974990.0,6565255.0,327239421.5,,,130064.0,8.26,,,,7.96,121940.0,111533.0,,,8.26,130064.0,,,311795.0,352.21,22.87,,,1.91,1.91,255041760.0,16775856433.81,,18074.69,1.91,15.75,0.1448,26.36,0.0361
2016-03-22,8084539.0,534253482.96,0.69,2.45,0.62,586.02,0.0,368909155.12,4740384.0,5582482.0,313260491.73,,,269.0,6.26,,,,22.67,86000.0,320875.0,,,6.26,269.0,,86000.0,1068773.0,336.4,78.17,,,1.82,1.82,255410688.0,16878395867.59,,18130.96,1.82,18.41,0.1702,30.66,0.0311
2016-03-23,8557801.0,561713532.1,0.73,2.67,0.65,618.81,0.0,376430069.53,4997523.0,5734976.0,328025423.36,,,322454.0,35.69,,,,11.95,506550.0,170379.0,,,35.69,322454.0,,105064.0,354056.0,355.05,25.7,,,1.93,1.93,254335216.0,16693953565.37,,18087.47,1.93,17.36,0.1598,29.11,0.033
2016-03-24,8612073.0,551999672.05,0.74,2.73,0.66,616.92,0.0,371067801.85,5001795.0,5789248.0,320595192.32,,,,23.27,,,,21.13,350000.0,295728.0,,,23.27,,,300000.0,295728.0,351.02,21.35,,,1.93,1.93,254404992.0,16306349487.85,,17884.16,1.92,17.0,0.1634,29.19,0.0332
2016-03-25,8609173.0,551813793.57,0.74,2.79,0.66,614.08,0.0,371067801.85,4998895.0,5789248.0,320409313.84,,,,,,,,0.43,,2900.0,,,,,,,,345.52,,,,1.93,1.93,254247744.0,16296270515.64,,17564.21,1.93,17.07,0.1641,29.31,0.0332
2016-03-28,7397850.0,474172800.66,0.63,2.4,0.56,527.23,0.0,293426808.93,4998895.0,4577925.0,320409313.84,,,,,,,,,,,,,,,,,1211323.0,345.23,86.78,,,1.93,1.93,254112128.0,16287578068.71,,17539.53,1.93,19.87,0.1962,34.11,0.0286
2016-03-29,7109868.0,465354154.54,0.61,2.31,0.54,510.95,0.0,303063298.07,4603515.0,4630323.0,301308664.34,,,66214.0,18.7,,45570.0,,34.93,250000.0,505594.0,,,18.7,66214.0,3.28,44000.0,243172.0,320.16,17.02,,,1.81,1.81,250435104.0,16391445817.06,,17330.93,1.81,21.18,0.2125,35.61,0.0279
2016-03-30,6229938.0,412331625.12,0.53,2.03,0.48,450.57,0.0,276970740.45,3683494.0,4184764.0,243793929.75,,,133370.0,39.12,,,,72.65,565394.0,1053391.0,,,39.12,133370.0,,,1010953.0,260.66,71.14,,,1.43,1.43,254795232.0,16863752429.38,,17928.46,1.43,24.17,0.2466,40.18,0.0241
2016-03-31,6694816.0,440550760.91,0.57,2.17,0.51,483.99,0.0,276073671.34,4137791.0,4195345.0,272286344.17,,,292902.0,12.14,,59393.0,,3.23,168188.0,47000.0,,,12.14,292902.0,4.31,208395.0,217000.0,294.1,14.85,,,1.6,1.6,255200688.0,16793420055.71,,18146.63,1.59,23.86,0.2419,39.9,0.0258
2016-04-01,7528520.0,494643395.77,0.64,2.4,0.57,542.93,0.0,307926900.13,4480163.0,4686677.0,294358391.81,,,66301.0,35.24,,,,11.47,492902.0,161944.0,,,35.24,66301.0,,438015.0,1570.0,317.23,0.04,,,1.72,1.72,255420560.0,16781796840.31,,18094.32,1.72,21.58,0.2098,36.14,0.029
2016-04-04,7680720.0,526683585.63,0.66,2.43,0.59,562.5,0.0,332072837.76,4632363.0,4842677.0,317651151.82,,,,17.58,,,,3.4,200000.0,47800.0,,,17.58,,,200000.0,44000.0,333.57,3.32,,,1.78,1.78,256114256.0,17562308570.17,,18291.72,1.79,21.65,0.2074,34.74,0.0295
2016-04-05,11205730.0,751959193.74,0.96,3.5,0.86,823.19,0.0,580170761.92,5197973.0,8645731.0,348809366.83,,,66872.0,34.0,,3304316.0,,,498738.0,,,,34.0,66872.0,243.99,498738.0,,381.05,,,,1.99,1.99,256183408.0,17191157463.92,,18798.85,1.99,22.93,0.2028,32.37,0.0429
