,EEE FP Equity_DX_SI_QTY,EEE FP Equity_DX_SHORT_INTEREST_VALUE,EEE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EEE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EEE FP Equity_DX_SI_MV,EEE FP Equity_DX_DSS,EEE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EEE FP Equity_DX_SUPPLY_SI_QTY,EEE FP Equity_DX_BROKER_SI_QTY,EEE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EEE FP Equity_DX_BROKER_SI_MV_NEW_x,EEE FP Equity_DX_SUPPLY_SI_QTY_NEW_x,EEE FP Equity_DX_SUPPLY_SI_QTY_INC_x,EEE FP Equity_DX_BROKER_SI_MV_INC_x,EEE FP Equity_DX_SUPPLY_SI_MV_NEW,EEE FP Equity_DX_BROKER_SI_QTY_ADD,EEE FP Equity_DX_BROKER_SI_QTY_NEW,EEE FP Equity_DX_SUPPLY_SI_MV_DEC,EEE FP Equity_DX_BROKER_SI_QTY_INC,EEE FP Equity_DX_SUPPLY_SI_QTY_DEC,EEE FP Equity_DX_BROKER_SI_MV_NEW_y,EEE FP Equity_DX_SUPPLY_SI_QTY_NEW_y,EEE FP Equity_DX_BROKER_SI_MV_INC_y,EEE FP Equity_DX_SUPPLY_SI_QTY_INC_y,EEE FP Equity_DX_BROKER_SI_MV_ADD,EEE FP Equity_DX_SUPPLY_SI_QTY_ADD,EEE FP Equity_DX_BROKER_SI_QTY_DEC,EEE FP Equity_DX_SUPPLY_SI_MV,EEE FP Equity_DX_BROKER_SI_MV_DEC,EEE FP Equity_DX_SUPPLY_SI_MV_RMV,EEE FP Equity_DX_BROKER_SI_MV_RMV,EEE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EEE FP Equity_DX_UTILIZATION_QUANTITY,EEE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EEE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EEE FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,EEE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EEE FP Equity_DX_ACTIVE_UTILIZATION_MV,EEE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EEE FP Equity_DX_BROKER_SI_CON_RATIO,EEE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EEE FP Equity_DX_DEMAND_SUPPLY_RATIO
2023-12-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,4626097.0,31240033.04,,31.57,0.0,,0.0,,0.0
2023-12-22,353000.0,2392987.0,14.35,1.65,2.38,,1535443.5,126500.0,226500.0,857543.5,,,,,,226500.0,,,,,,,,,1.53,126500.0,,0.85,,,,17.08,2.73,613943.0,4161919.6,,4.15,17.08,,1.0,100.0,0.0763
2023-12-25,353000.0,2392987.0,14.45,1.65,2.39,,1535443.5,126500.0,226500.0,857543.5,,,,,,,,,,,,,,,,,,0.85,,,,17.08,2.73,613943.0,4161919.6,,4.15,17.08,,1.0,100.0,0.0763
2023-12-26,353000.0,2392987.0,14.45,1.65,2.4,,1535443.5,126500.0,226500.0,857543.5,,,,,,,,,,,,,,,,,,0.86,,,,17.08,2.74,613943.0,4161919.6,,4.16,17.08,,1.0,100.0,0.0764
2023-12-27,214600.0,1472585.2,8.78,1.0,1.45,,736292.6,107300.0,107300.0,736292.6,,,,,,,,0.13,,19200.0,,,,,,,119200.0,0.73,0.8,,,14.88,2.15,613943.0,4212876.87,,4.15,14.88,,1.0,100.0,0.043
2023-12-28,158600.0,1086092.8,6.43,0.74,1.09,,734790.4,51300.0,107300.0,351302.4,,,,,,,,0.38,,56000.0,,,,,,,,0.35,,,,7.11,1.03,669943.0,4587769.66,,4.58,7.11,,1.0,100.0,0.0318
2023-12-29,102600.0,696448.8,4.18,0.48,0.7,,348224.4,51300.0,51300.0,348224.4,,,,,,,,,,,,,,,,,56000.0,0.35,0.39,,,7.11,1.03,669943.0,4547573.08,,4.54,7.11,,1.0,100.0,0.0206
2024-01-01,102600.0,696448.8,4.21,0.48,0.7,,348224.4,51300.0,51300.0,348224.4,,,,,,,,,,,,,,,,,,0.35,,,,7.11,1.03,669943.0,4547573.08,,4.54,7.11,,1.0,100.0,0.0206
2024-01-02,67600.0,454948.0,2.77,0.32,0.46,,345249.0,16300.0,51300.0,109699.0,,,,,,,,0.24,,35000.0,,,,,,,,0.11,,,,2.26,0.33,704943.0,4744266.39,,4.78,2.26,,1.0,100.0,0.0136
2024-01-03,32600.0,216007.6,1.45,0.15,0.22,,108003.8,16300.0,16300.0,108003.8,,,,,,,,,,,,,,,,,35000.0,0.11,0.24,,,2.26,0.33,704943.0,4670952.32,,4.77,2.26,,1.0,100.0,0.0065
2024-01-04,39400.0,262522.2,1.85,0.18,0.26,,131261.1,19700.0,19700.0,131261.1,,,,0.02,,,,,3400.0,,,,0.02,,,3400.0,,0.13,,,,2.72,0.4,704943.0,4697035.21,,4.67,2.72,,1.0,100.0,0.0079
2024-01-05,39400.0,260355.2,1.92,0.18,0.26,,130177.6,19700.0,19700.0,130177.6,,,,,,,,,,,,,,,,,,0.13,,,,2.73,0.4,701996.0,4638789.57,,4.65,2.73,,1.0,100.0,0.0079
2024-01-08,39400.0,260197.6,1.89,0.18,0.26,,130098.8,19700.0,19700.0,130098.8,,,,,,,,,,,,,,,,,,0.13,,,,2.73,0.4,701996.0,4635981.58,,4.65,2.73,,1.0,100.0,0.0079
2024-01-09,69800.0,457818.2,3.32,0.33,0.46,,228909.1,34900.0,34900.0,228909.1,,,15200.0,0.1,,,,,15200.0,,,,0.1,15200.0,,,,0.23,,,,4.84,0.7,686796.0,4504694.96,,4.53,4.84,,1.0,100.0,0.014
2024-01-10,69800.0,461098.8,3.19,0.33,0.46,,230549.4,34900.0,34900.0,230549.4,,,,,,,,,,,,,,,,,,0.23,,,,4.84,0.7,686796.0,4536974.38,,4.51,4.84,,1.0,100.0,0.014
2024-01-11,69800.0,456073.2,2.98,0.33,0.46,,228036.6,34900.0,34900.0,228036.6,,,,,,,,,,,,,,,,,,0.23,,,,4.84,0.7,686796.0,4487525.06,,4.55,4.84,,1.0,100.0,0.014
2024-01-12,69800.0,462285.4,1.26,0.33,0.46,,231142.7,34900.0,34900.0,231142.7,,,,,,,,,,,,,,,,,,0.23,,,,4.84,0.7,686796.0,4548649.91,,4.54,4.83,,1.0,100.0,0.0141
2024-01-15,69800.0,461238.4,1.27,0.29,0.46,,230619.2,34900.0,34900.0,230619.2,,,,,,,,,,,,,,,,,,0.23,,,,4.84,0.7,686796.0,4538347.97,,4.54,4.84,,1.0,100.0,0.0141
2024-01-16,71180.0,465730.74,1.32,0.29,0.47,,237380.04,36280.0,36280.0,237380.04,,,1380.0,,,1380.0,,,,,,,,1380.0,0.01,,,0.24,,,,5.03,0.73,685311.0,4483989.87,,4.53,5.03,3.48,0.9329,96.52,0.0144
2024-01-17,645280.0,4123339.2,11.98,2.61,4.23,,4101613.2,4780.0,641880.0,30544.2,,,,3.97,,,,0.21,605600.0,31500.0,,,3.97,,,,,0.03,,,,100.0,0.1,0.0,0.0,,0.0,100.0,0.21,0.9958,99.79,0.1301
2024-01-18,609992.0,3883819.06,11.43,2.47,3.9,,3864641.66,4392.0,606980.0,27963.86,,,,,,,,0.0,,388.0,,,,,,,34900.0,0.03,0.32,,,100.0,0.09,0.0,0.0,,0.0,100.0,0.49,0.9857,99.28,0.1234
2024-01-19,4392.0,27985.82,0.08,0.02,0.03,,8793.36,4392.0,1380.0,27985.82,,,,,,,,,,,,,,,,,605600.0,0.03,3.86,,,100.0,0.09,0.0,0.0,,0.0,100.0,31.44,0.5689,68.56,0.0009
2024-01-22,4392.0,28148.33,0.08,0.02,0.03,,8844.42,4392.0,1380.0,28148.33,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.1,0.0,0.0,,0.0,100.0,31.42,0.569,68.58,0.001
2024-01-23,4392.0,27753.05,0.08,0.02,0.03,,8720.22,4392.0,1380.0,27753.05,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.1,0.0,0.0,,0.0,100.0,31.42,0.569,68.58,0.001
2024-01-24,4392.0,28306.44,0.08,0.02,0.03,,8894.1,4392.0,1380.0,28306.44,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.1,0.0,0.0,,0.0,100.0,31.85,0.5659,68.15,0.001
