,MLCLP FP Equity_PX_LAST
2024-10-16,1.0
2024-10-17,1.0
2024-10-18,1.0
2024-10-21,1.0
2024-10-22,1.0
2024-10-23,1.0
2024-10-24,1.0
2024-10-25,1.0
2024-10-28,1.0
2024-10-29,1.0
2024-10-30,1.0
2024-10-31,1.0
2024-11-01,1.0
2024-11-04,1.0
2024-11-05,1.0
2024-11-06,1.0
2024-11-07,1.0
2024-11-08,1.0
2024-11-11,1.0
2024-11-12,0.72
2024-11-13,0.72
2024-11-14,0.72
2024-11-15,0.72
2024-11-18,0.72
2024-11-19,0.72
2024-11-20,0.72
2024-11-21,0.72
2024-11-22,0.72
2024-11-25,0.63
2024-11-26,0.63
2024-11-27,0.63
2024-11-28,0.63
2024-11-29,0.63
2024-12-02,0.63
2024-12-03,0.63
2024-12-04,0.63
2024-12-05,0.565
2024-12-06,0.565
2024-12-09,0.6
2024-12-10,0.6
2024-12-11,0.6
2024-12-12,0.6
2024-12-13,0.6
2024-12-16,0.6
2024-12-17,0.6
2024-12-18,0.6
2024-12-19,0.6
2024-12-20,0.6
2024-12-23,0.6
2024-12-24,0.6
2024-12-27,0.62
2024-12-30,0.62
2024-12-31,0.62
2025-01-02,0.62
2025-01-03,0.62
2025-01-06,0.62
2025-01-07,1.3
2025-01-08,1.3
2025-01-09,1.3
2025-01-10,1.3
2025-01-13,1.3
2025-01-14,1.3
2025-01-15,1.43
2025-01-16,1.43
2025-01-17,1.43
2025-01-20,1.43
2025-01-21,1.43
2025-01-22,1.43
2025-01-23,1.43
2025-01-24,1.43
2025-01-27,1.43
2025-01-28,1.43
2025-01-29,1.06
2025-01-30,1.0
2025-01-31,1.0
2025-02-03,1.0
2025-02-04,1.0
2025-02-05,1.0
2025-02-06,1.0
2025-02-07,1.0
2025-02-10,1.0
2025-02-11,1.0
2025-02-12,1.0
2025-02-13,1.0
2025-02-14,1.0
2025-02-17,1.0
2025-02-18,1.0
2025-02-19,1.0
2025-02-20,1.0
2025-02-21,1.0
2025-02-24,1.0
2025-02-25,1.0
2025-02-26,1.0
2025-02-27,1.0
2025-02-28,0.8
2025-03-03,0.71
2025-03-04,0.71
2025-03-05,0.71
2025-03-06,0.71
2025-03-07,0.71
2025-03-10,0.71
2025-03-11,0.71
2025-03-12,0.63
2025-03-13,0.7
2025-03-14,0.7
2025-03-17,0.7
2025-03-18,0.77
2025-03-19,0.7
2025-03-20,0.7
2025-03-21,0.7
2025-03-24,0.7
2025-03-25,0.63
2025-03-26,0.63
2025-03-27,0.63
2025-03-28,0.63
2025-03-31,0.63
2025-04-01,0.63
2025-04-02,0.63
2025-04-03,0.63
2025-04-04,0.63
2025-04-07,0.63
2025-04-08,0.63
2025-04-09,0.63
2025-04-10,0.63
2025-04-11,0.63
2025-04-14,0.63
2025-04-15,0.63
2025-04-16,0.63
2025-04-17,0.63
2025-04-22,0.63
2025-04-23,0.63
2025-04-24,0.63
2025-04-25,0.63
2025-04-28,0.63
2025-04-29,0.63
2025-04-30,0.63
2025-05-02,0.57
2025-05-05,0.57
2025-05-06,0.57
2025-05-07,0.57
2025-05-08,0.57
2025-05-09,0.57
2025-05-12,0.52
2025-05-13,0.52
2025-05-14,0.52
2025-05-15,0.52
2025-05-16,0.52
2025-05-19,0.52
2025-05-20,0.52
2025-05-21,0.57
2025-05-22,0.57
2025-05-23,0.57
2025-05-26,0.57
2025-05-27,0.57
2025-05-28,0.57
2025-05-29,0.57
2025-05-30,0.57
2025-06-02,0.605
2025-06-03,0.605
2025-06-04,0.605
2025-06-05,0.745
2025-06-06,0.745
2025-06-09,0.685
2025-06-10,0.685
2025-06-11,0.685
2025-06-12,0.685
2025-06-13,0.685
2025-06-16,0.685
2025-06-17,0.69
2025-06-18,0.78
2025-06-19,0.78
2025-06-20,0.69
2025-06-23,0.69
2025-06-24,0.69
2025-06-25,0.85
2025-06-26,0.9
2025-06-27,0.77
2025-06-30,0.77
2025-07-01,0.765
2025-07-02,0.86
2025-07-03,0.86
2025-07-04,0.86
2025-07-07,0.86
2025-07-08,0.9
2025-07-09,0.9
2025-07-10,0.9
2025-07-11,0.9
2025-07-14,0.9
2025-07-15,0.99
2025-07-16,0.99
2025-07-17,1.09
2025-07-18,1.08
2025-07-21,1.08
2025-07-22,1.08
2025-07-23,1.08
2025-07-24,1.08
2025-07-25,1.08
2025-07-28,1.08
2025-07-29,1.08
2025-07-30,1.08
2025-07-31,1.08
2025-08-01,1.08
2025-08-04,1.25
2025-08-05,1.25
2025-08-06,1.06
2025-08-07,1.37
2025-08-08,1.37
2025-08-11,1.37
2025-08-12,1.37
2025-08-13,1.37
2025-08-14,1.37
2025-08-15,1.5
2025-08-18,1.5
2025-08-19,1.5
2025-08-20,1.5
2025-08-21,1.5
2025-08-22,1.5
2025-08-25,1.5
2025-08-26,1.5
2025-08-27,1.5
2025-08-28,1.5
2025-08-29,1.5
