,SRIC5 FP Equity_DX_SI_QTY,SRIC5 FP Equity_DX_SHORT_INTEREST_VALUE,SRIC5 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SRIC5 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SRIC5 FP Equity_DX_SI_MV,SRIC5 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SRIC5 FP Equity_DX_SUPPLY_SI_QTY,SRIC5 FP Equity_DX_BROKER_SI_QTY,SRIC5 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SRIC5 FP Equity_DX_SUPPLY_SI_QTY_INC_x,SRIC5 FP Equity_DX_BROKER_SI_MV_INC_x,SRIC5 FP Equity_DX_BROKER_SI_QTY_ADD,SRIC5 FP Equity_DX_SUPPLY_SI_MV_DEC,SRIC5 FP Equity_DX_BROKER_SI_QTY_INC,SRIC5 FP Equity_DX_SUPPLY_SI_QTY_DEC,SRIC5 FP Equity_DX_BROKER_SI_MV_INC_y,SRIC5 FP Equity_DX_SUPPLY_SI_QTY_INC_y,SRIC5 FP Equity_DX_BROKER_SI_MV_ADD,SRIC5 FP Equity_DX_SUPPLY_SI_QTY_ADD,SRIC5 FP Equity_DX_BROKER_SI_QTY_DEC,SRIC5 FP Equity_DX_SUPPLY_SI_MV,SRIC5 FP Equity_DX_BROKER_SI_MV_DEC,SRIC5 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SRIC5 FP Equity_DX_UTILIZATION_QUANTITY,SRIC5 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SRIC5 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SRIC5 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SRIC5 FP Equity_DX_ACTIVE_UTILIZATION_MV,SRIC5 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SRIC5 FP Equity_DX_BROKER_SI_CON_RATIO,SRIC5 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SRIC5 FP Equity_DX_DEMAND_SUPPLY_RATIO,SRIC5 FP Equity_PX_LAST
2020-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1397
2020-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.148
2020-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1456
2020-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1499
2020-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1459
2020-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1427
2020-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1407
2020-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1379
2020-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1357
2020-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1305
2020-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1352
2020-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1275
2020-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1261
2020-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1212
2020-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1208
2020-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1211
2020-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1337
2020-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1335
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1285
2021-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1402
2021-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1421
2021-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1398
2021-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.139
2021-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1373
2021-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1235
2021-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1167
2021-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1149
2021-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1193
2021-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1191
2021-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1173
2021-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1175
2021-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1239
2021-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1241
2021-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1239
2021-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1331
2021-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1294
2021-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1269
2021-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1197
2021-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1212
2021-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1254
2021-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.131
2021-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1317
2021-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1349
2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1315
2021-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1312
2021-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1351
2021-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1326
2021-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1366
2021-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1319
2021-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1275
2021-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1245
2021-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1271
2021-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1179
2021-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1136
2021-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1172
2021-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1136
2021-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.109
2021-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0933
2021-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0898
2021-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1061
2021-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1178
2021-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1117
2021-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1144
2021-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1085
2021-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1065
2021-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1048
2021-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1009
2021-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1106
2021-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1055
2021-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1156
2021-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1121
2021-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1045
2021-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.096
2021-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0996
2021-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.114
2021-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1113
2021-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1154
2021-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1213
2021-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1178
2021-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1133
2021-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1069
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1134
2021-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1251
2021-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1269
2021-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1308
2021-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1343
2021-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1332
2021-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1277
2021-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1247
2021-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1188
2021-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1269
2021-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1255
2021-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1177
2021-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1159
2021-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1213
2021-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1189
2021-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1196
2021-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1209
2021-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1202
2021-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0083
2021-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0069
2021-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0085
2021-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0138
2021-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98442.1,0.1,0.0,,0.0,,0.0,10.0114
2021-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98504.04,0.1,0.0,,0.0,,0.0,10.0177
2021-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98514.86,0.1,0.0,,0.0,,0.0,10.0188
2021-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98513.88,0.1,0.0,,0.0,,0.0,10.0187
2021-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98519.78,0.1,0.0,,0.0,,0.0,10.0193
2021-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98383.1,0.1,0.0,,0.0,,0.0,10.0054
2021-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98243.47,0.1,0.0,,0.0,,0.0,9.9912
2021-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98161.86,0.1,0.0,,0.0,,0.0,9.9829
2021-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98199.22,0.1,0.0,,0.0,,0.0,9.9867
2021-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98175.62,0.1,0.0,,0.0,,0.0,9.9843
2021-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98166.77,0.1,0.0,,0.0,,0.0,9.9834
2021-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98114.66,0.1,0.0,,0.0,,0.0,9.9781
2021-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98151.04,0.1,0.0,,0.0,,0.0,9.9818
2021-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98175.62,0.1,0.0,,0.0,,0.0,9.9843
2021-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98201.19,0.1,0.0,,0.0,,0.0,9.9869
2021-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98279.85,0.1,0.0,,0.0,,0.0,9.9949
2021-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98355.57,0.1,0.0,,0.0,,0.0,10.0026
2021-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98331.97,0.1,0.0,,0.0,,0.0,10.0002
2021-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98361.47,0.1,0.0,,0.0,,0.0,10.0032
2021-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98367.37,0.1,0.0,,0.0,,0.0,10.0038
2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98393.91,0.1,0.0,,0.0,,0.0,10.0065
2021-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98453.9,0.1,0.0,,0.0,,0.0,10.0126
2021-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98442.1,0.1,0.0,,0.0,,0.0,10.0114
2021-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98529.61,0.1,0.0,,0.0,,0.0,10.0203
2021-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98507.98,0.1,0.0,,0.0,,0.0,10.0181
2021-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98554.19,0.1,0.0,,0.0,,0.0,10.0228
2021-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98578.77,0.1,0.0,,0.0,,0.0,10.0253
2021-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98594.51,0.1,0.0,,0.0,,0.0,10.0269
2021-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98657.44,0.1,0.0,,0.0,,0.0,10.0333
2021-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98633.84,0.1,0.0,,0.0,,0.0,10.0309
2021-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98535.51,0.1,0.0,,0.0,,0.0,10.0209
2021-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98594.51,0.1,0.0,,0.0,,0.0,10.0269
2021-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98565.01,0.1,0.0,,0.0,,0.0,10.0239
2021-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98529.61,0.1,0.0,,0.0,,0.0,10.0203
2021-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98469.63,0.1,0.0,,0.0,,0.0,10.0142
2021-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98376.22,0.1,0.0,,0.0,,0.0,10.0047
2021-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98397.85,0.1,0.0,,0.0,,0.0,10.0069
2021-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98433.25,0.1,0.0,,0.0,,0.0,10.0105
2021-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98395.88,0.1,0.0,,0.0,,0.0,10.0067
2021-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98412.6,0.1,0.0,,0.0,,0.0,10.0084
2021-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98422.43,0.1,0.0,,0.0,,0.0,10.0094
2021-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98489.29,0.1,0.0,,0.0,,0.0,10.0162
2021-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98517.81,0.1,0.0,,0.0,,0.0,10.0191
2021-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98565.99,0.1,0.0,,0.0,,0.0,10.024
2021-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98546.33,0.1,0.0,,0.0,,0.0,10.022
2021-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98646.62,0.1,0.0,,0.0,,0.0,10.0322
2021-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98724.3,0.1,0.0,,0.0,,0.0,10.0401
2021-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98764.62,0.1,0.0,,0.0,,0.0,10.0442
2021-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98771.5,0.1,0.0,,0.0,,0.0,10.0449
2021-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98760.69,0.1,0.0,,0.0,,0.0,10.0438
2021-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98753.8,0.1,0.0,,0.0,,0.0,10.0431
2021-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98784.28,0.1,0.0,,0.0,,0.0,10.0462
2021-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98807.88,0.1,0.0,,0.0,,0.0,10.0486
2021-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98848.2,0.1,0.0,,0.0,,0.0,10.0527
2021-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98859.02,0.1,0.0,,0.0,,0.0,10.0538
2021-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,98910.15,0.1,0.0,,0.0,,0.0,10.059
2021-07-21,19600.0,197238.72,0.72,0.08,0.2,98619.36,9800.0,9800.0,98619.36,,,9800.0,,,,,,0.1,9800.0,,0.1,,100.0,99.66,0.0,0.0,0.0,100.0,49.99,0.5,50.01,1.9933,10.0632
2021-07-22,19600.0,197350.44,0.72,0.08,0.2,98675.22,9800.0,9800.0,98675.22,,,,,,,,,,,,0.1,,100.0,99.66,0.0,0.0,0.0,100.0,49.99,0.5,50.01,1.9933,10.0689
2021-07-23,19600.0,197344.56,0.72,0.08,0.2,98672.28,9800.0,9800.0,98672.28,,,,,,,,,,,,0.1,,100.0,99.66,0.0,0.0,0.0,100.0,50.0,0.5,50.0,1.9933,10.0686
2021-07-26,19600.0,197373.96,0.82,0.08,0.2,98686.98,9800.0,9800.0,98686.98,,,,,,,,,,,,0.1,,100.0,99.66,0.0,0.0,0.0,100.0,50.0,0.5,50.0,1.9933,10.0701
2021-07-27,9800.0,98731.08,0.41,0.04,0.1,98731.08,0.0,9800.0,0.0,,,,0.1,,9800.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.99,1.0,100.0,0.9966,10.0746
2021-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,9800.0,0.0,0.1,0.0,0.0,9833.0,99093.04,0.1,0.0,,0.0,,0.0,10.0776
2021-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,99173.67,0.1,0.0,,0.0,,0.0,10.0858
2021-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,99173.67,0.1,0.0,,0.0,,0.0,10.0858
2021-08-02,19600.0,197689.52,0.85,0.08,0.2,98844.76,9800.0,9800.0,98844.76,,,9800.0,,,,,,0.1,9800.0,,0.1,,100.0,99.66,0.0,0.0,0.0,100.0,50.0,0.5,50.0,1.9933,10.0862
2021-08-03,19600.0,197679.72,0.85,0.08,0.2,98839.86,9800.0,9800.0,98839.86,,,,,,,,,,,,0.1,,100.0,99.66,0.0,0.0,0.0,100.0,50.0,0.5,50.0,1.9933,10.0857
2021-08-04,19600.0,197760.08,0.66,0.08,0.2,98880.04,9800.0,9800.0,98880.04,,,,,,,,,,,,0.1,,100.0,99.66,0.0,0.0,0.0,100.0,49.99,0.5,50.01,1.9933,10.0898
2021-08-05,19600.0,197830.64,0.85,0.08,0.2,98915.32,9800.0,9800.0,98915.32,,,,,,,,,,,,0.1,,100.0,99.66,0.0,0.0,0.0,100.0,49.99,0.5,50.01,1.9933,10.0934
2021-08-06,19600.0,197671.88,0.86,0.08,0.2,98835.94,9800.0,9800.0,98835.94,,,,,,,,,,,,0.1,,100.0,99.66,0.0,0.0,0.0,100.0,49.98,0.5,50.02,1.9933,10.0853
2021-08-09,19600.0,197532.72,0.86,0.08,0.2,98766.36,9800.0,9800.0,98766.36,,,,,,,,,,,,0.1,,100.0,99.66,0.0,0.0,0.0,100.0,49.98,0.5,50.02,1.9933,10.0782
2021-08-10,9800.0,98750.68,0.43,0.04,0.1,98750.68,0.0,9800.0,0.0,,,,0.1,,9800.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,100.0,0.9966,10.0766
2021-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,9800.0,0.0,0.1,0.0,0.0,9833.0,99097.96,0.1,0.0,,0.0,,0.0,10.0781
2021-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,99087.14,0.1,0.0,,0.0,,0.0,10.077
2021-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,99069.44,0.1,0.0,,0.0,,0.0,10.0752
2021-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,99091.07,0.1,0.0,,0.0,,0.0,10.0774
2021-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,99075.34,0.1,0.0,,0.0,,0.0,10.0758
2021-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9833.0,99110.74,0.1,0.0,,0.0,,0.0,10.0794
2021-08-19,19600.0,197566.04,1.36,0.08,0.2,98783.02,9800.0,9800.0,98783.02,,,9800.0,,,,,,0.1,9800.0,,0.1,,100.0,99.66,0.0,0.0,0.0,100.0,50.0,0.5,50.0,1.9933,10.0799
2021-08-20,19600.0,197554.28,0.96,0.08,0.2,98777.14,9800.0,9800.0,98777.14,,,,,,,,,,,,0.1,,100.0,99.66,0.0,0.0,0.0,100.0,50.0,0.5,50.0,1.9933,10.0793
2021-08-23,19600.0,197534.68,0.96,0.08,0.2,98767.34,9800.0,9800.0,98767.34,,,,,,,,,,,,0.1,,100.0,99.66,0.0,0.0,0.0,100.0,50.0,0.5,50.0,1.9933,10.0783
2021-08-24,19600.0,197489.6,0.73,0.08,0.2,98744.8,9800.0,9800.0,98744.8,,,,,,,,,,,,0.1,,100.0,99.66,0.0,0.0,0.0,100.0,49.99,0.5,50.01,1.9933,10.076
