,ALCAB FP Equity_DX_SI_QTY,ALCAB FP Equity_DX_SHORT_INTEREST_VALUE,ALCAB FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALCAB FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALCAB FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALCAB FP Equity_DX_SI_MV,ALCAB FP Equity_DX_DSS,ALCAB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALCAB FP Equity_DX_SUPPLY_SI_QTY,ALCAB FP Equity_DX_BROKER_SI_QTY,ALCAB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALCAB FP Equity_DX_BROKER_SI_QTY_ADD,ALCAB FP Equity_DX_BROKER_SI_MV_ADD,ALCAB FP Equity_DX_SUPPLY_SI_QTY_ADD,ALCAB FP Equity_DX_BROKER_SI_QTY_DEC,ALCAB FP Equity_DX_SUPPLY_SI_MV,ALCAB FP Equity_DX_BROKER_SI_MV_DEC,ALCAB FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALCAB FP Equity_DX_UTILIZATION_QUANTITY,ALCAB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALCAB FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALCAB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALCAB FP Equity_DX_ACTIVE_UTILIZATION_MV,ALCAB FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALCAB FP Equity_DX_BROKER_SI_CON_RATIO,ALCAB FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALCAB FP Equity_DX_DEMAND_SUPPLY_RATIO,ALCAB FP Equity_PX_LAST
2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,437.0,943.92,0.0,0.0,,0.0,,0.0,2.16
2024-02-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,437.0,952.66,0.0,0.0,,0.0,,0.0,2.18
2024-02-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,437.0,961.4,0.0,0.0,,0.0,,0.0,2.2
2024-02-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,437.0,1005.1,0.0,0.0,,0.0,,0.0,2.3
2024-02-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,437.0,1005.1,0.0,0.0,,0.0,,0.0,2.3
2024-02-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,437.0,974.51,0.0,0.0,,0.0,,0.0,2.23
2024-02-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,437.0,974.51,0.0,0.0,,0.0,,0.0,2.23
2024-02-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,437.0,974.51,0.0,0.0,,0.0,,0.0,2.23
2024-02-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,437.0,974.51,0.0,0.0,,0.0,,0.0,2.23
2024-02-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,437.0,965.77,0.0,0.0,,0.0,,0.0,2.21
2024-02-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,437.0,974.51,0.0,0.0,,0.0,,0.0,2.23
2024-02-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,279.0,616.59,0.0,0.0,,0.0,,0.0,2.21
2024-02-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,279.0,613.8,0.0,0.0,,0.0,,0.0,2.2
2024-02-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,279.0,611.01,0.0,0.0,,0.0,,0.0,2.19
2024-02-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,279.0,608.22,0.0,0.0,,0.0,,0.0,2.18
2024-02-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,279.0,611.01,0.0,0.0,,0.0,,0.0,2.19
2024-02-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,279.0,608.22,0.0,0.0,,0.0,,0.0,2.18
2024-02-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,279.0,608.22,0.0,0.0,,0.0,,0.0,2.18
2024-02-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,279.0,611.01,0.0,0.0,,0.0,,0.0,2.19
2024-02-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,279.0,613.8,0.0,0.0,,0.0,,0.0,2.2
2024-02-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,279.0,591.48,0.0,0.0,,0.0,,0.0,2.12
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,279.0,546.84,0.0,0.0,,0.0,,0.0,1.96
2024-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.955
2024-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87
2024-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87
2024-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
2024-03-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,279.0,518.94,0.0,0.0,,0.0,,0.0,1.86
2024-03-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,279.0,527.31,0.0,0.0,,0.0,,0.0,1.89
2024-03-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,279.0,538.47,0.0,0.0,,0.0,,0.0,1.93
2024-03-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,279.0,542.66,0.0,0.0,,0.0,,0.0,1.945
2024-03-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,279.0,542.66,0.0,0.0,,0.0,,0.0,1.945
2024-03-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,455.4,0.0,0.0,,0.0,,0.0,1.98
2024-03-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,454.25,0.0,0.0,,0.0,,0.0,1.975
2024-03-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,454.25,0.0,0.0,,0.0,,0.0,1.975
2024-03-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,455.4,0.0,0.0,,0.0,,0.0,1.98
2024-03-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,464.6,0.0,0.0,,0.0,,0.0,2.02
2024-03-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,469.2,0.0,0.0,,0.0,,0.0,2.04
2024-03-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,450.8,0.0,0.0,,0.0,,0.0,1.96
2024-03-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,416.3,0.0,0.0,,0.0,,0.0,1.81
2024-03-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,420.9,0.0,0.0,,0.0,,0.0,1.83
2024-03-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,423.2,0.0,0.0,,0.0,,0.0,1.84
2024-03-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,423.2,0.0,0.0,,0.0,,0.0,
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,423.2,0.0,0.0,,0.0,,0.0,
2024-04-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,433.55,0.0,0.0,,0.0,,0.0,1.885
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,434.7,0.0,0.0,,0.0,,0.0,1.89
2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,432.4,0.0,0.0,,0.0,,0.0,1.88
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,432.4,0.0,0.0,,0.0,,0.0,1.88
2024-04-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,441.6,0.0,0.0,,0.0,,0.0,1.92
2024-04-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,437.0,0.0,0.0,,0.0,,0.0,1.9
2024-04-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,450.8,0.0,0.0,,0.0,,0.0,1.96
2024-04-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,448.5,0.0,0.0,,0.0,,0.0,1.95
2024-04-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,460.0,0.0,0.0,,0.0,,0.0,2.0
2024-04-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,457.7,0.0,0.0,,0.0,,0.0,1.99
2024-04-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,450.8,0.0,0.0,,0.0,,0.0,1.96
2024-04-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,464.6,0.0,0.0,,0.0,,0.0,2.02
2024-04-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,460.0,0.0,0.0,,0.0,,0.0,2.0
2024-04-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,455.4,0.0,0.0,,0.0,,0.0,1.98
2024-04-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,473.8,0.0,0.0,,0.0,,0.0,2.06
2024-04-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,450.8,0.0,0.0,,0.0,,0.0,1.96
2024-04-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,447.35,0.0,0.0,,0.0,,0.0,1.945
2024-04-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,447.35,0.0,0.0,,0.0,,0.0,1.945
2024-04-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,230.0,446.2,0.0,0.0,,0.0,,0.0,1.94
2024-04-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,372.0,719.82,0.0,0.0,,0.0,,0.0,1.935
2024-04-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,372.0,717.96,0.0,0.0,,0.0,,0.0,1.93
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,372.0,717.96,0.0,0.0,,0.0,,0.0,
2024-05-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,372.0,717.96,0.0,0.0,,0.0,,0.0,1.93
2024-05-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,372.0,719.82,0.0,0.0,,0.0,,0.0,1.935
2024-05-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,372.0,712.38,0.0,0.0,,0.0,,0.0,1.915
2024-05-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,638.4,0.0,0.0,,0.0,,0.0,1.9
2024-05-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,635.04,0.0,0.0,,0.0,,0.0,1.89
2024-05-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,636.72,0.0,0.0,,0.0,,0.0,1.895
2024-05-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,631.68,0.0,0.0,,0.0,,0.0,1.88
2024-05-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,638.4,0.0,0.0,,0.0,,0.0,1.9
2024-05-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,651.84,0.0,0.0,,0.0,,0.0,1.94
2024-05-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,651.84,0.0,0.0,,0.0,,0.0,1.94
2024-05-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,651.84,0.0,0.0,,0.0,,0.0,1.94
2024-05-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,651.84,0.0,0.0,,0.0,,0.0,1.94
2024-05-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,660.24,0.0,0.0,,0.0,,0.0,1.965
2024-05-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,661.92,0.0,0.0,,0.0,,0.0,1.97
2024-05-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,655.2,0.0,0.0,,0.0,,0.0,1.95
2024-05-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,656.88,0.0,0.0,,0.0,,0.0,1.955
2024-05-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,685.44,0.0,0.0,,0.0,,0.0,2.04
2024-05-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,621.6,0.0,0.0,,0.0,,0.0,1.85
2024-05-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,621.6,0.0,0.0,,0.0,,0.0,1.85
2024-05-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,618.24,0.0,0.0,,0.0,,0.0,1.84
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,936.0,1666.08,0.0,0.0,,0.0,,0.0,1.78
2024-05-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,936.0,1717.56,0.0,0.0,,0.0,,0.0,1.835
2024-06-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,936.0,1717.56,0.0,0.0,,0.0,,0.0,1.835
2024-06-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,936.0,1717.56,0.0,0.0,,0.0,,0.0,1.835
2024-06-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,936.0,1722.24,0.0,0.0,,0.0,,0.0,1.84
2024-06-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,611.52,0.0,0.0,,0.0,,0.0,1.82
2024-06-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,936.0,1694.16,0.0,0.0,,0.0,,0.0,1.81
2024-06-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,611.52,0.0,0.0,,0.0,,0.0,1.82
2024-06-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,611.52,0.0,0.0,,0.0,,0.0,1.82
2024-06-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,604.8,0.0,0.0,,0.0,,0.0,1.8
2024-06-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,624.96,0.0,0.0,,0.0,,0.0,1.86
2024-06-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,626.64,0.0,0.0,,0.0,,0.0,1.865
2024-06-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,608.16,0.0,0.0,,0.0,,0.0,1.81
2024-06-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,604.8,0.0,0.0,,0.0,,0.0,1.8
2024-06-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,603.12,0.0,0.0,,0.0,,0.0,1.795
2024-06-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,603.12,0.0,0.0,,0.0,,0.0,1.795
2024-06-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,604.8,0.0,0.0,,0.0,,0.0,1.8
2024-06-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,601.44,0.0,0.0,,0.0,,0.0,1.79
2024-06-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,601.44,0.0,0.0,,0.0,,0.0,1.79
2024-06-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,601.44,0.0,0.0,,0.0,,0.0,1.79
2024-06-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,591.36,0.0,0.0,,0.0,,0.0,1.76
2024-06-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,588.0,0.0,0.0,,0.0,,0.0,1.75
2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,584.64,0.0,0.0,,0.0,,0.0,1.74
2024-07-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,584.64,0.0,0.0,,0.0,,0.0,1.74
2024-07-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,584.64,0.0,0.0,,0.0,,0.0,1.74
2024-07-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,557.76,0.0,0.0,,0.0,,0.0,1.66
2024-07-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,554.4,0.0,0.0,,0.0,,0.0,1.65
2024-07-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,527.52,0.0,0.0,,0.0,,0.0,1.57
2024-07-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,514.08,0.0,0.0,,0.0,,0.0,1.53
2024-07-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,504.0,0.0,0.0,,0.0,,0.0,1.5
2024-07-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,505.68,0.0,0.0,,0.0,,0.0,1.505
2024-07-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,529.2,0.0,0.0,,0.0,,0.0,1.575
2024-07-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,529.2,0.0,0.0,,0.0,,0.0,1.575
2024-07-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,535.92,0.0,0.0,,0.0,,0.0,1.595
2024-07-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,336.0,537.6,0.0,0.0,,0.0,,0.0,1.6
2024-07-18,300.0,480.0,0.01,0.2,0.01,0.0,0.0,320.0,100.0,200.0,160.0,200.0,0.0,100.0,,0.0,,100.0,22.94,0.0,0.0,0.0,100.0,32.79,0.5593,67.21,0.6881,1.6
2024-07-19,300.0,478.5,0.01,0.2,0.01,0.0,0.0,319.0,100.0,200.0,159.5,,,,,0.0,,100.0,22.94,0.0,0.0,0.0,100.0,32.79,0.5593,67.21,0.6881,1.595
2024-07-22,300.0,480.0,0.01,0.2,0.01,0.0,0.0,320.0,100.0,200.0,160.0,,,,,0.0,,100.0,22.94,0.0,0.0,0.0,100.0,32.79,0.5593,67.21,0.6881,1.6
2024-07-23,300.0,478.5,0.01,0.21,0.01,0.0,0.0,319.0,100.0,200.0,159.5,,,,,0.0,,100.0,22.94,0.0,0.0,0.0,100.0,32.79,0.5593,67.21,0.6881,1.595
2024-07-24,300.0,478.5,0.01,0.27,0.01,0.0,0.0,319.0,100.0,200.0,159.5,,,,,0.0,,100.0,22.94,0.0,0.0,0.0,100.0,32.79,0.5593,67.21,0.6881,1.595
2024-07-25,300.0,469.5,0.01,0.29,0.01,0.0,0.0,313.0,100.0,200.0,156.5,,,,,0.0,,100.0,22.94,0.0,0.0,0.0,100.0,32.79,0.5593,67.21,0.6881,1.565
2024-07-26,300.0,468.0,0.01,0.28,0.01,0.0,0.0,312.0,100.0,200.0,156.0,,,,,0.0,,100.0,22.94,0.0,0.0,0.0,100.0,32.79,0.5593,67.21,0.6881,1.56
2024-07-29,300.0,466.5,0.01,0.28,0.01,0.0,0.0,311.0,100.0,200.0,155.5,,,,,0.0,,100.0,22.94,0.0,0.0,0.0,100.0,32.79,0.5593,67.21,0.6881,1.555
2024-07-30,300.0,459.0,0.01,0.29,0.01,0.0,0.0,306.0,100.0,200.0,153.0,,,,,0.0,,100.0,22.94,0.0,0.0,0.0,100.0,32.79,0.5593,67.21,0.6881,1.53
2024-07-31,300.0,463.5,0.01,0.41,0.01,0.0,0.0,309.0,100.0,200.0,154.5,,,,,0.0,,100.0,22.94,0.0,0.0,0.0,100.0,32.79,0.5593,67.21,0.6881,1.545
2024-08-01,300.0,463.5,0.01,0.41,0.01,0.0,0.0,309.0,100.0,200.0,154.5,,,,,0.0,,100.0,22.94,0.0,0.0,0.0,100.0,32.79,0.5593,67.21,0.6881,1.545
2024-08-02,300.0,463.5,0.01,0.41,0.01,0.0,0.0,309.0,100.0,200.0,154.5,,,,,0.0,,100.0,22.94,0.0,0.0,0.0,100.0,32.79,0.5593,67.21,0.6881,1.545
2024-08-05,300.0,463.5,0.01,0.41,0.01,0.0,0.0,309.0,100.0,200.0,154.5,,,,,0.0,,100.0,22.94,0.0,0.0,0.0,100.0,32.79,0.5593,67.21,0.6881,1.545
2024-08-06,300.0,466.5,0.01,0.4,0.01,0.0,0.0,311.0,100.0,200.0,155.5,,,,,0.0,,100.0,22.94,0.0,0.0,0.0,100.0,32.79,0.5593,67.21,0.6881,1.555
2024-08-07,300.0,466.5,0.01,0.41,0.01,0.0,0.0,311.0,100.0,200.0,155.5,,,,,0.0,,100.0,22.94,0.0,0.0,0.0,100.0,32.79,0.5593,67.21,0.6881,1.555
2024-08-08,300.0,466.5,0.01,0.41,0.01,0.0,0.0,311.0,100.0,200.0,155.5,,,,,0.0,,100.0,22.94,0.0,0.0,0.0,100.0,32.79,0.5593,67.21,0.6881,1.555
2024-08-09,300.0,466.5,0.01,0.44,0.01,0.0,0.0,311.0,100.0,200.0,155.5,,,,,0.0,,100.0,22.94,0.0,0.0,0.0,100.0,32.79,0.5593,67.21,0.6881,1.555
2024-08-12,300.0,466.5,0.01,0.45,0.01,0.0,0.0,311.0,100.0,200.0,155.5,,,,,0.0,,100.0,22.94,0.0,0.0,0.0,100.0,32.79,0.5593,67.21,0.6881,1.555
