,GREAL FP Equity_DX_SI_QTY,GREAL FP Equity_DX_SHORT_INTEREST_VALUE,GREAL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GREAL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GREAL FP Equity_DX_SI_MV,GREAL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GREAL FP Equity_DX_SUPPLY_SI_QTY,GREAL FP Equity_DX_BROKER_SI_QTY,GREAL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GREAL FP Equity_DX_BROKER_SI_QTY_ADD,GREAL FP Equity_DX_BROKER_SI_MV_ADD,GREAL FP Equity_DX_BROKER_SI_QTY_DEC,GREAL FP Equity_DX_SUPPLY_SI_MV,GREAL FP Equity_DX_BROKER_SI_MV_DEC,GREAL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GREAL FP Equity_DX_UTILIZATION_QUANTITY,GREAL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GREAL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GREAL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GREAL FP Equity_DX_ACTIVE_UTILIZATION_MV,GREAL FP Equity_DX_BROKER_SI_CON_RATIO,GREAL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GREAL FP Equity_DX_DEMAND_SUPPLY_RATIO,GREAL FP Equity_PX_LAST
2022-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,183.0,1237.23,0.0,0.0,0.0,,0.0,6.7608
2022-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,183.0,1220.66,0.0,0.0,0.0,,0.0,6.6703
2022-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,183.0,1227.89,0.0,0.0,0.0,,0.0,6.7098
2022-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,183.0,1204.52,0.0,0.0,0.0,,0.0,6.5821
2022-09-20,,,,,,,,,,,,,,,,,,,,,,,,6.2833
2022-09-21,,,,,,,,,,,,,,,,,,,,,,,,6.3614
2022-09-22,,,,,,,,,,,,,,,,,,,,,,,,6.1027
2022-09-23,,,,,,,,,,,,,,,,,,,,,,,,5.9938
2022-09-26,,,,,,,,,,,,,,,,,,,,,,,,5.8723
2022-09-27,,,,,,,,,,,,,,,,,,,,,,,,5.6761
2022-09-28,,,,,,,,,,,,,,,,,,,,,,,,5.8542
2022-09-29,,,,,,,,,,,,,,,,,,,,,,,,5.7333
2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,6.0023
2022-10-03,,,,,,,,,,,,,,,,,,,,,,,,6.0617
2022-10-04,,,,,,,,,,,,,,,,,,,,,,,,6.0811
2022-10-05,,,,,,,,,,,,,,,,,,,,,,,,5.8138
2022-10-06,,,,,,,,,,,,,,,,,,,,,,,,5.8975
2022-10-07,,,,,,,,,,,,,,,,,,,,,,,,5.7154
2022-10-10,,,,,,,,,,,,,,,,,,,,,,,,5.6257
