,EPEJ FP Equity_DX_SI_QTY,EPEJ FP Equity_DX_SHORT_INTEREST_VALUE,EPEJ FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EPEJ FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EPEJ FP Equity_DX_SI_MV,EPEJ FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EPEJ FP Equity_DX_SUPPLY_SI_QTY,EPEJ FP Equity_DX_BROKER_SI_QTY,EPEJ FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EPEJ FP Equity_DX_SUPPLY_SI_QTY_INC_x,EPEJ FP Equity_DX_BROKER_SI_MV_INC_x,EPEJ FP Equity_DX_BROKER_SI_QTY_ADD,EPEJ FP Equity_DX_SUPPLY_SI_MV_DEC,EPEJ FP Equity_DX_BROKER_SI_QTY_INC,EPEJ FP Equity_DX_SUPPLY_SI_QTY_DEC,EPEJ FP Equity_DX_BROKER_SI_MV_INC_y,EPEJ FP Equity_DX_SUPPLY_SI_QTY_INC_y,EPEJ FP Equity_DX_BROKER_SI_MV_ADD,EPEJ FP Equity_DX_SUPPLY_SI_QTY_ADD,EPEJ FP Equity_DX_BROKER_SI_QTY_DEC,EPEJ FP Equity_DX_SUPPLY_SI_MV,EPEJ FP Equity_DX_BROKER_SI_MV_DEC,EPEJ FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EPEJ FP Equity_DX_UTILIZATION_QUANTITY,EPEJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EPEJ FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EPEJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EPEJ FP Equity_DX_ACTIVE_UTILIZATION_MV,EPEJ FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EPEJ FP Equity_DX_BROKER_SI_CON_RATIO,EPEJ FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EPEJ FP Equity_DX_DEMAND_SUPPLY_RATIO
2019-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,174919.0,1957343.61,1.97,0.0,,0.0,,0.0
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,174919.0,1957343.61,1.97,0.0,,0.0,,0.0
2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,174919.0,1983581.46,1.98,0.0,,0.0,,0.0
2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,174919.0,1980083.08,1.98,0.0,,0.0,,0.0
2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,174919.0,1971337.13,1.97,0.0,,0.0,,0.0
2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,174919.0,1983581.46,1.99,0.0,,0.0,,0.0
2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,174919.0,1995825.79,1.99,0.0,,0.0,,0.0
2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,174919.0,2002822.55,2.0,0.0,,0.0,,0.0
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,174919.0,2013317.69,2.0,0.0,,0.0,,0.0
2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,174919.0,2051799.87,2.05,0.0,,0.0,,0.0
2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,174919.0,2062295.01,2.06,0.0,,0.0,,0.0
2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,174919.0,2053549.06,2.06,0.0,,0.0,,0.0
2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,174919.0,2034307.97,2.03,0.0,,0.0,,0.0
2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,174919.0,2039555.54,2.04,0.0,,0.0,,0.0
2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,174919.0,2029060.4,2.03,0.0,,0.0,,0.0
2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,174919.0,2034307.97,2.03,0.0,,0.0,,0.0
2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,174919.0,1973086.32,1.97,0.0,,0.0,,0.0
2020-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,174919.0,1992327.41,2.0,0.0,,0.0,,0.0
2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,2005095.6,2.01,0.0,,0.0,,0.0
2020-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1980450.0,1.98,0.0,,0.0,,0.0
2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1941721.2,1.94,0.0,,0.0,,0.0
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1954044.0,1.92,0.0,,0.0,,0.0
2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1989252.0,1.99,0.0,,0.0,,0.0
2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,2003335.2,2.0,0.0,,0.0,,0.0
2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,2015658.0,2.02,0.0,,0.0,,0.0
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,2001574.8,2.0,0.0,,0.0,,0.0
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,2006856.0,2.01,0.0,,0.0,,0.0
2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,2022699.6,2.02,0.0,,0.0,,0.0
2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,2054386.8,2.05,0.0,,0.0,,0.0
2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,2054386.8,2.05,0.0,,0.0,,0.0
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,2057907.6,2.06,0.0,,0.0,,0.0
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,2064949.2,2.07,0.0,,0.0,,0.0
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,2050866.0,2.05,0.0,,0.0,,0.0
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,2066709.6,2.07,0.0,,0.0,,0.0
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,2036782.8,2.04,0.0,,0.0,,0.0
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,2027980.8,2.03,0.0,,0.0,,0.0
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1959325.2,1.96,0.0,,0.0,,0.0
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1943481.6,1.94,0.0,,0.0,,0.0
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1934679.6,1.94,0.0,,0.0,,0.0
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1883628.0,1.89,0.0,,0.0,,0.0
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1809691.2,1.81,0.0,,0.0,,0.0
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1797368.4,1.79,0.0,,0.0,,0.0
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1816732.8,1.82,0.0,,0.0,,0.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1825534.8,1.83,0.0,,0.0,,0.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1814972.4,1.82,0.0,,0.0,,0.0
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1746316.8,1.74,0.0,,0.0,,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1594922.4,1.59,0.0,,0.0,,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1654776.0,1.65,0.0,,0.0,,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1624849.2,1.62,0.0,,0.0,,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1471694.4,1.47,0.0,,0.0,,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1533308.4,1.54,0.0,,0.0,,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1418882.4,1.42,0.0,,0.0,,0.0
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1475215.2,1.48,0.0,,0.0,,0.0
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1390716.0,1.4,0.0,,0.0,,0.0
2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1373112.0,1.37,0.0,,0.0,,0.0
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1403038.8,1.4,0.0,,0.0,,0.0
2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1311498.0,1.31,0.0,,0.0,,0.0
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1392476.4,1.4,0.0,,0.0,,0.0
2020-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1469934.0,1.47,0.0,,0.0,,0.0
2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1438246.8,1.44,0.0,,0.0,,0.0
2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1408320.0,1.42,0.0,,0.0,,0.0
2020-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1485777.6,1.42,0.0,,0.0,,0.0
2020-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1498100.4,1.51,0.0,,0.0,,0.0
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1464652.8,1.47,0.0,,0.0,,0.0
2020-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176040.0,1482256.8,1.48,0.0,,0.0,,0.0
2020-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,234558.0,1949176.98,1.95,0.0,,0.0,,0.0
2020-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2161952.65,2.16,0.0,,0.0,,0.0
2020-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2189256.3,2.19,0.0,,0.0,,0.0
2020-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2186774.15,2.19,0.0,,0.0,,0.0
2020-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2253792.2,2.25,0.0,,0.0,,0.0
2020-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2253792.2,2.25,0.0,,0.0,,0.0
2020-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2253792.2,2.25,0.0,,0.0,,0.0
2020-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2266202.95,2.27,0.0,,0.0,,0.0
2020-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2214077.8,2.21,0.0,,0.0,,0.0
2020-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2226488.55,2.23,0.0,,0.0,,0.0
2020-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2261238.65,2.26,0.0,,0.0,,0.0
2020-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2251310.05,2.25,0.0,,0.0,,0.0
2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2142095.45,2.15,0.0,,0.0,,0.0
2020-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2216559.95,2.22,0.0,,0.0,,0.0
2020-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2228970.7,2.22,0.0,,0.0,,0.0
2020-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2214077.8,2.22,0.0,,0.0,,0.0
2020-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2256274.35,2.26,0.0,,0.0,,0.0
2020-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2273649.4,2.27,0.0,,0.0,,0.0
2020-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2308399.5,2.31,0.0,,0.0,,0.0
2020-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2291024.45,2.29,0.0,,0.0,,0.0
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2291024.45,2.29,0.0,,0.0,,0.0
2020-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2204149.2,2.21,0.0,,0.0,,0.0
2020-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2266202.95,2.27,0.0,,0.0,,0.0
2020-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2256274.35,2.25,0.0,,0.0,,0.0
2020-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2271167.25,2.28,0.0,,0.0,,0.0
2020-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2283578.0,2.28,0.0,,0.0,,0.0
2020-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2295988.75,2.3,0.0,,0.0,,0.0
2020-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2283578.0,2.28,0.0,,0.0,,0.0
2020-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2258756.5,2.26,0.0,,0.0,,0.0
2020-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2224006.4,2.23,0.0,,0.0,,0.0
2020-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2228970.7,2.23,0.0,,0.0,,0.0
2020-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2313363.8,2.31,0.0,,0.0,,0.0
2020-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2308399.5,2.31,0.0,,0.0,,0.0
2020-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2325774.55,2.33,0.0,,0.0,,0.0
2020-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,248215.0,2273649.4,2.27,0.0,,0.0,,0.0
2020-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,223669.0,2019731.07,2.02,0.0,,0.0,,0.0
2020-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,225509.0,2070172.62,2.07,0.0,,0.0,,0.0
2020-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,225509.0,2101743.88,2.1,0.0,,0.0,,0.0
2020-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,225509.0,2094978.61,2.1,0.0,,0.0,,0.0
2020-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,225509.0,2099488.79,2.1,0.0,,0.0,,0.0
2020-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,225509.0,2040856.45,2.04,0.0,,0.0,,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,225509.0,2122039.69,2.12,0.0,,0.0,,0.0
2020-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,225509.0,2164886.4,2.12,0.0,,0.0,,0.0
2020-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,225509.0,2223518.74,2.16,0.0,,0.0,,0.0
2020-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,153824.0,1499784.0,1.5,0.0,,0.0,,0.0
2020-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,153824.0,1553622.4,1.55,0.0,,0.0,,0.0
2020-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,153824.0,1552084.16,1.55,0.0,,0.0,,0.0
2020-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,153824.0,1539778.24,1.54,0.0,,0.0,,0.0
2020-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,153824.0,1541316.48,1.54,0.0,,0.0,,0.0
2020-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,153824.0,1472095.68,1.46,0.0,,0.0,,0.0
2020-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,153824.0,1478248.64,1.48,0.0,,0.0,,0.0
2020-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,153824.0,1469019.2,1.47,0.0,,0.0,,0.0
2020-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,153824.0,1501322.24,1.5,0.0,,0.0,,0.0
2020-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,153824.0,1515166.4,1.52,0.0,,0.0,,0.0
2020-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,153824.0,1507475.2,1.51,0.0,,0.0,,0.0
2020-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,153824.0,1512089.92,1.51,0.0,,0.0,,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,153824.0,1510551.68,1.51,0.0,,0.0,,0.0
2020-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,153824.0,1522857.6,1.52,0.0,,0.0,,0.0
2020-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,153824.0,1490554.56,1.49,0.0,,0.0,,0.0
2020-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,153824.0,1487478.08,1.49,0.0,,0.0,,0.0
2020-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,153824.0,1485939.84,1.48,0.0,,0.0,,0.0
2020-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,153824.0,1495169.28,1.5,0.0,,0.0,,0.0
2020-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,153824.0,1502860.48,1.5,0.0,,0.0,,0.0
2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,153824.0,1509013.44,1.51,0.0,,0.0,,0.0
2020-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,153824.0,1549007.68,1.55,0.0,,0.0,,0.0
2020-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,153824.0,1539778.24,1.54,0.0,,0.0,,0.0
2020-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,153824.0,1559775.36,1.56,0.0,,0.0,,0.0
2020-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,153824.0,1547469.44,1.55,0.0,,0.0,,0.0
2020-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,153824.0,1524395.84,1.52,0.0,,0.0,,0.0
2020-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,153824.0,1516704.64,1.52,0.0,,0.0,,0.0
