,SOLVA FP Equity_DX_SI_QTY,SOLVA FP Equity_DX_SHORT_INTEREST_VALUE,SOLVA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SOLVA FP Equity_DX_SI_MV,SOLVA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SOLVA FP Equity_DX_SUPPLY_SI_QTY,SOLVA FP Equity_DX_BROKER_SI_QTY,SOLVA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SOLVA FP Equity_DX_SUPPLY_SI_MV,SOLVA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SOLVA FP Equity_DX_UTILIZATION_QUANTITY,SOLVA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SOLVA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SOLVA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SOLVA FP Equity_DX_ACTIVE_UTILIZATION_MV,SOLVA FP Equity_DX_BROKER_SI_CON_RATIO,SOLVA FP Equity_DX_DEMAND_SUPPLY_RATIO,SOLVA FP Equity_PX_LAST
2024-02-09,,,,,,,,,,,,,,,,,,9.244
2024-02-12,,,,,,,,,,,,,,,,,,9.561
2024-02-13,,,,,,,,,,,,,,,,,,9.707
2024-02-14,,,,,,,,,,,,,,,,,,10.289
2024-02-15,,,,,,,,,,,,,,,,,,10.09
2024-02-16,,,,,,,,,,,,,,,,,,9.672
2024-02-19,,,,,,,,,,,,,,,,,,10.002
2024-02-20,,,,,,,,,,,,,,,,,,9.389
2024-02-21,,,,,,,,,,,,,,,,,,9.054
2024-02-22,,,,,,,,,,,,,,,,,,9.115
2024-02-23,,,,,,,,,,,,,,,,,,8.709
2024-02-26,,,,,,,,,,,,,,,,,,9.193
2024-02-27,,,,,,,,,,,,,,,,,,9.361
2024-02-28,,,,,,,,,,,,,,,,,,10.126
2024-02-29,,,,,,,,,,,,,,,,,,11.284
2024-03-01,,,,,,,,,,,,,,,,,,11.413
2024-03-04,,,,,,,,,,,,,,,,,,11.399
2024-03-05,,,,,,,,,,,,,,,,,,11.81
2024-03-06,,,,,,,,,,,,,,,,,,11.244
2024-03-07,,,,,,,,,,,,,,,,,,12.727
2024-03-08,,,,,,,,,,,,,,,,,,12.521
2024-03-11,,,,,,,,,,,,,,,,,,12.662
2024-03-12,,,,,,,,,,,,,,,,,,12.783
2024-03-13,,,,,,,,,,,,,,,,,,13.644
2024-03-14,,,,,,,,,,,,,,,,,,14.306
2024-03-15,,,,,,,,,,,,,,,,,,15.662
2024-03-18,,,,,,,,,,,,,,,,,,17.807
2024-03-19,,,,,,,,,,,,,,,,,,15.817
2024-03-20,,,,,,,,,,,,,,,,,,14.563
2024-03-21,,,,,,,,,,,,,,,,,,16.263
2024-03-22,,,,,,,,,,,,,,,,,,14.925
2024-03-25,,,,,,,,,,,,,,,,,,16.631
2024-03-26,,,,,,,,,,,,,,,,,,16.6
2024-03-27,,,,,,,,,,,,,,,,,,15.917
2024-03-28,,,,,,,,,,,,,,,,,,16.274
2024-04-02,,,,,,,,,,,,,,,,,,15.901
2024-04-03,,,,,,,,,,,,,,,,,,16.47
2024-04-04,,,,,,,,,,,,,,,,,,16.254
2024-04-05,,,,,,,,,,,,,,,,,,15.2
2024-04-08,,,,,,,,,,,,,,,,,,15.708
2024-04-09,,,,,,,,,,,,,,,,,,14.817
2024-04-10,,,,,,,,,,,,,,,,,,14.774
2024-04-11,,,,,,,,,,,,,,,,,,15.276
2024-04-12,,,,,,,,,,,,,,,,,,14.885
2024-04-15,,,,,,,,,,,,,,,,,,12.928
2024-04-16,,,,,,,,,,,,,,,,,,11.65
2024-04-17,,,,,,,,,,,,,,,,,,11.394
2024-04-18,,,,,,,,,,,,,,,,,,12.331
2024-04-19,,,,,,,,,,,,,,,,,,12.96
2024-04-22,,,,,,,,,,,,,,,,,,13.49
2024-04-23,,,,,,,,,,,,,,,,,,14.044
2024-04-24,,,,,,,,,,,,,,,,,,13.501
2024-04-25,,,,,,,,,,,,,,,,,,12.821
2024-04-26,,,,,,,,,,,,,,,,,,12.57
2024-04-29,,,,,,,,,,,,,,,,,,11.993
2024-04-30,,,,,,,,,,,,,,,,,,11.274
2024-05-02,,,,,,,,,,,,,,,,,,12.295
2024-05-03,,,,,,,,,,,,,,,,,,12.333
2024-05-06,,,,,,,,,,,,,,,,,,13.393
2024-05-07,,,,,,,,,,,,,,,,,,13.579
2024-05-08,,,,,,,,,,,,,,,,,,12.721
2024-05-09,,,,,,,,,,,,,,,,,,12.888
2024-05-10,,,,,,,,,,,,,,,,,,12.946
2024-05-13,,,,,,,,,,,,,,,,,,12.764
2024-05-14,,,,,,,,,,,,,,,,,,12.547
2024-05-15,,,,,,,,,,,,,,,,,,13.315
2024-05-16,,,,,,,,,,,,,,,,,,13.923
2024-05-17,,,,,,,,,,,,,,,,,,14.702
2024-05-20,,,,,,,,,,,,,,,,,,15.385
2024-05-21,,,,,,,,,,,,,,,,,,15.44
2024-05-22,,,,,,,,,,,,,,,,,,15.696
2024-05-23,,,,,,,,,,,,,,,,,,15.027
2024-05-24,,,,,,,,,,,,,,,,,,14.541
2024-05-27,,,,,,,,,,,,,,,,,,14.676
2024-05-28,,,,,,,,,,,,,,,,,,14.473
2024-05-29,,,,,,,,,,,,,,,,,,14.688
2024-05-30,,,,,,,,,,,,,,,,,,14.604
2024-05-31,,,,,,,,,,,,,,,,,,14.409
2024-06-03,,,,,,,,,,,,,,,,,,14.196
2024-06-04,,,,,,,,,,,,,,,,,,14.413
2024-06-05,,,,,,,,,,,,,,,,,,15.099
2024-06-06,,,,,,,,,,,,,,,,,,14.973
2024-06-07,,,,,,,,,,,,,,,,,,14.798
2024-06-10,,,,,,,,,,,,,,,,,,14.085
2024-06-11,,,,,,,,,,,,,,,,,,13.276
2024-06-12,,,,,,,,,,,,,,,,,,13.81
2024-06-13,,,,,,,,,,,,,,,,,,12.881
2024-06-14,,,,,,,,,,,,,,,,,,12.747
2024-06-17,,,,,,,,,,,,,,,,,,12.504
2024-06-18,,,,,,,,,,,,,,,,,,11.795
2024-06-19,,,,,,,,,,,,,,,,,,11.938
2024-06-20,,,,,,,,,,,,,,,,,,11.748
2024-06-21,,,,,,,,,,,,,,,,,,11.591
2024-06-24,,,,,,,,,,,,,,,,,,11.225
2024-06-25,,,,,,,,,,,,,,,,,,12.193
2024-06-26,,,,,,,,,,,,,,,,,,12.009
2024-06-27,,,,,,,,,,,,,,,,,,12.89
2024-06-28,,,,,,,,,,,,,,,,,,12.424
2024-07-01,,,,,,,,,,,,,,,,,,12.925
2024-07-02,,,,,,,,,,,,,,,,,,12.91
2024-07-03,,,,,,,,,,,,,,,,,,12.362
2024-07-04,,,,,,,,,,,,,,,,,,11.639
2024-07-05,,,,,,,,,,,,,,,,,,11.571
2024-07-08,,,,,,,,,,,,,,,,,,12.037
2024-07-09,,,,,,,,,,,,,,,,,,12.104
2024-07-10,,,,,,,,,,,,,,,,,,12.215
2024-07-11,,,,,,,,,,,,,,,,,,12.125
2024-07-12,,,,,,,,,,,,,,,,,,11.945
2024-07-15,,,,,,,,,,,,,,,,,,13.147
2024-07-16,,,,,,,,,,,,,,,,,,13.625
2024-07-17,,,,,,,,,,,,,,,,,,13.728
2024-07-18,,,,,,,,,,,,,,,,,,13.522
2024-07-19,,,,,,,,,,,,,,,,,,14.424
2024-07-22,,,,,,,,,,,,,,,,,,15.354
2024-07-23,,,,,,,,,,,,,,,,,,15.254
2024-07-24,,,,,,,,,,,,,,,,,,15.468
2024-07-25,,,,,,,,,,,,,,,,,,14.749
2024-07-26,,,,,,,,,,,,,,,,,,15.708
2024-07-29,,,,,,,,,,,,,,,,,,16.165
2024-07-30,,,,,,,,,,,,,,,,,,15.771
2024-07-31,,,,,,,,,,,,,,,,,,15.648
2024-08-01,,,,,,,,,,,,,,,,,,14.165
2024-08-02,,,,,,,,,,,,,,,,,,13.184
2024-08-05,,,,,,,,,,,,,,,,,,11.135
2024-08-06,,,,,,,,,,,,,,,,,,12.356
2024-08-07,,,,,,,,,,,,,,,,,,12.647
2024-08-08,,,,,,,,,,,,,,,,,,13.682
2024-08-09,,,,,,,,,,,,,,,,,,13.129
2024-08-12,,,,,,,,,,,,,,,,,,12.527
2024-08-13,,,,,,,,,,,,,,,,,,12.47
2024-08-14,,,,,,,,,,,,,,,,,,12.312
2024-08-15,,,,,,,,,,,,,,,,,,12.43
2024-08-16,,,,,,,,,,,,,,,,,,11.674
2024-08-19,,,,,,,,,,,,,,,,,,12.2
2024-08-20,,,,,,,,,,,,,,,,,,11.987
2024-08-21,,,,,,,,,,,,,,,,,,11.778
2024-08-22,,,,,,,,,,,,,,,,,,12.041
2024-08-23,,,,,,,,,,,,,,,,,,12.06
2024-08-26,,,,,,,,,,,,,,,,,,13.177
2024-08-27,,,,,,,,,,,,,,,,,,12.906
2024-08-28,,,,,,,,,,,,,,,,,,12.14
2024-08-29,,,,,,,,,,,,,,,,,,12.371
2024-08-30,,,,,,,,,,,,,,,,,,11.275
2024-09-02,,,,,,,,,,,,,,,,,,11.2
2024-09-03,,,,,,,,,,,,,,,,,,10.976
2024-09-04,,,,,,,,,,,,,,,,,,11.194
2024-09-05,,,,,,,,,,,,,,,,,,11.023
2024-09-06,,,,,,,,,,,,,,,,,,10.766
2024-09-09,,,,,,,,,,,,,,,,,,10.84
2024-09-10,,,,,,,,,,,,,,,,,,11.54
2024-09-11,,,,,,,,,,,,,,,,,,11.091
2024-09-12,,,,,,,,,,,,,,,,,,11.39
2024-09-13,,,,,,,,,,,,,,,,,,11.458
2024-09-16,,,,,,,,,,,,,,,,,,11.027
2024-09-17,,,,,,,,,,,,,,,,,,11.383
2024-09-18,,,,,,,,,,,,,,,,,,10.699
2024-09-19,,,,,,,,,,,,,,,,,,11.906
2024-09-20,,,,,,,,,,,,,,,,,,12.371
2024-09-23,,,,,,,,,,,,,,,,,,12.074
2024-09-24,,,,,,,,,,,,,,,,,,12.207
2024-09-25,,,,,,,,,,,,,,,,,,12.703
2024-09-26,,,,,,,,,,,,,,,,,,13.029
2024-09-27,,,,,,,,,,,,,,,,,,13.459
2024-09-30,,,,,,,,,,,,,,,,,,13.111
2024-10-01,,,,,,,,,,,,,,,,,,12.558
2024-10-02,,,,,,,,,,,,,,,,,,12.453
2024-10-03,,,,,,,,,,,,,,,,,,11.344
2024-10-04,,,,,,,,,,,,,,,,,,12.073
2024-10-07,,,,,,,,,,,,,,,,,,12.691
2024-10-08,,,,,,,,,,,,,,,,,,12.113
2024-10-09,,,,,,,,,,,,,,,,,,12.168
2024-10-10,,,,,,,,,,,,,,,,,,11.73
2024-10-11,,,,,,,,,,,,,,,,,,12.284
2024-10-14,,,,,,,,,,,,,,,,,,13.432
2024-10-15,,,,,,,,,,,,,,,,,,13.103
2024-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,24001.2,0.02,0.0,0.0,0.0,13.334
2024-10-17,,,,,,,,,,,,,,,,,,13.088
2024-10-18,,,,,,,,,,,,,,,,,,13.29
2024-10-21,,,,,,,,,,,,,,,,,,14.105
2024-10-22,,,,,,,,,,,,,,,,,,14.485
2024-10-23,,,,,,,,,,,,,,,,,,14.43
2024-10-24,,,,,,,,,,,,,,,,,,15.228
2024-10-25,,,,,,,,,,,,,,,,,,15.12
2024-10-28,,,,,,,,,,,,,,,,,,15.052
2024-10-29,,,,,,,,,,,,,,,,,,15.681
2024-10-30,,,,,,,,,,,,,,,,,,14.962
2024-10-31,,,,,,,,,,,,,,,,,,14.595
2024-11-01,,,,,,,,,,,,,,,,,,14.289
2024-11-04,,,,,,,,,,,,,,,,,,13.822
2024-11-05,,,,,,,,,,,,,,,,,,14.309
2024-11-06,,,,,,,,,,,,,,,,,,16.106
2024-11-07,,,,,,,,,,,,,,,,,,16.609
2024-11-08,,,,,,,,,,,,,,,,,,17.404
2024-11-11,,,,,,,,,,,,,,,,,,19.255
2024-11-12,,,,,,,,,,,,,,,,,,18.367
2024-11-13,,,,,,,,,,,,,,,,,,18.985
2024-11-14,,,,,,,,,,,,,,,,,,18.756
2024-11-15,,,,,,,,,,,,,,,,,,18.667
2024-11-18,,,,,,,,,,,,,,,,,,21.348
2024-11-19,,,,,,,,,,,,,,,,,,21.305
2024-11-20,,,,,,,,,,,,,,,,,,20.736
2024-11-21,,,,,,,,,,,,,,,,,,22.189
2024-11-22,,,,,,,,,,,,,,,,,,22.913
2024-11-25,,,,,,,,,,,,,,,,,,21.651
2024-11-26,,,,,,,,,,,,,,,,,,20.592
2024-11-27,,,,,,,,,,,,,,,,,,21.171
2024-11-28,,,,,,,,,,,,,,,,,,20.8
2024-11-29,,,,,,,,,,,,,,,,,,21.571
2024-12-02,,,,,,,,,,,,,,,,,,20.192
2024-12-03,,,,,,,,,,,,,,,,,,19.953
2024-12-04,,,,,,,,,,,,,,,,,,20.36
2024-12-05,,,,,,,,,,,,,,,,,,21.223
2024-12-06,,,,,,,,,,,,,,,,,,21.073
2024-12-09,,,,,,,,,,,,,,,,,,19.929
2024-12-10,,,,,,,,,,,,,,,,,,18.578
2024-12-11,,,,,,,,,,,,,,,,,,20.493
2024-12-12,,,,,,,,,,,,,,,,,,20.646
2024-12-13,,,,,,,,,,,,,,,,,,19.673
2024-12-16,,,,,,,,,,,,,,,,,,19.365
2024-12-17,,,,,,,,,,,,,,,,,,19.968
2024-12-18,,,,,,,,,,,,,,,,,,19.293
2024-12-19,,,,,,,,,,,,,,,,,,18.427
2024-12-20,,,,,,,,,,,,,,,,,,17.077
2024-12-23,,,,,,,,,,,,,,,,,,16.441
2024-12-24,,,,,,,,,,,,,,,,,,17.192
2024-12-27,,,,,,,,,,,,,,,,,,16.421
2024-12-30,,,,,,,,,,,,,,,,,,16.83
2024-12-31,,,,,,,,,,,,,,,,,,17.302
2025-01-02,,,,,,,,,,,,,,,,,,18.907
2025-01-03,,,,,,,,,,,,,,,,,,19.745
2025-01-06,,,,,,,,,,,,,,,,,,19.908
2025-01-07,,,,,,,,,,,,,,,,,,18.749
2025-01-08,,,,,,,,,,,,,,,,,,17.798
2025-01-09,,,,,,,,,,,,,,,,,,17.311
2025-01-10,,,,,,,,,,,,,,,,,,16.829
2025-01-13,,,,,,,,,,,,,,,,,,16.178
2025-01-14,,,,,,,,,,,,,,,,,,16.851
2025-01-15,,,,,,,,,,,,,,,,,,17.836
2025-01-16,,,,,,,,,,,,,,,,,,19.295
2025-01-17,,,,,,,,,,,,,,,,,,19.929
2025-01-20,,,,,,,,,,,,,,,,,,22.327
2025-01-21,,,,,,,,,,,,,,,,,,21.999
2025-01-22,,,,,,,,,,,,,,,,,,23.093
2025-01-23,,,,,,,,,,,,,,,,,,22.415
2025-01-24,,,,,,,,,,,,,,,,,,23.11
2025-01-27,,,,,,,,,,,,,,,,,,20.478
2025-01-28,,,,,,,,,,,,,,,,,,20.769
2025-01-29,,,,,,,,,,,,,,,,,,20.07
2025-01-30,,,,,,,,,,,,,,,,,,21.437
2025-01-31,,,,,,,,,,,,,,,,,,21.099
2025-02-03,,,,,,,,,,,,,,,,,,18.51
2025-02-04,,,,,,,,,,,,,,,,,,19.19
2025-02-05,,,,,,,,,,,,,,,,,,17.599
2025-02-06,,,,,,,,,,,,,,,,,,16.887
2025-02-07,,,,,,,,,,,,,,,,,,17.558
2025-02-10,,,,,,,,,,,,,,,,,,18.131
2025-02-11,,,,,,,,,,,,,,,,,,17.675
2025-02-12,,,,,,,,,,,,,,,,,,16.868
2025-02-13,,,,,,,,,,,,,,,,,,16.748
2025-02-14,,,,,,,,,,,,,,,,,,17.511
2025-02-17,,,,,,,,,,,,,,,,,,15.689
2025-02-18,,,,,,,,,,,,,,,,,,14.59
2025-02-19,,,,,,,,,,,,,,,,,,15.13
2025-02-20,,,,,,,,,,,,,,,,,,15.204
2025-02-21,,,,,,,,,,,,,,,,,,15.304
2025-02-24,,,,,,,,,,,,,,,,,,13.52
2025-02-25,,,,,,,,,,,,,,,,,,12.222
2025-02-26,,,,,,,,,,,,,,,,,,12.09
2025-02-27,,,,,,,,,,,,,,,,,,12.255
2025-02-28,,,,,,,,,,,,,,,,,,12.816
2025-03-03,,,,,,,,,,,,,,,,,,13.924
2025-03-04,,,,,,,,,,,,,,,,,,11.692
2025-03-05,,,,,,,,,,,,,,,,,,12.079
2025-03-06,,,,,,,,,,,,,,,,,,12.532
2025-03-07,,,,,,,,,,,,,,,,,,12.133
2025-03-10,,,,,,,,,,,,,,,,,,10.297
2025-03-11,,,,,,,,,,,,,,,,,,10.646
2025-03-12,,,,,,,,,,,,,,,,,,10.461
2025-03-13,,,,,,,,,,,,,,,,,,10.425
2025-03-14,,,,,,,,,,,,,,,,,,11.22
2025-03-17,,,,,,,,,,,,,,,,,,10.781
2025-03-18,,,,,,,,,,,,,,,,,,10.453
2025-03-19,,,,,,,,,,,,,,,,,,11.154
2025-03-20,,,,,,,,,,,,,,,,,,10.91
2025-03-21,,,,,,,,,,,,,,,,,,10.709
2025-03-24,,,,,,,,,,,,,,,,,,12.162
2025-03-25,,,,,,,,,,,,,,,,,,12.34
2025-03-26,,,,,,,,,,,,,,,,,,11.96
2025-03-27,,,,,,,,,,,,,,,,,,11.808
2025-03-28,,,,,,,,,,,,,,,,,,11.069
2025-03-31,,,,,,,,,,,,,,,,,,10.884
2025-04-01,,,,,,,,,,,,,,,,,,10.995
2025-04-02,,,,,,,,,,,,,,,,,,10.965
2025-04-03,,,,,,,,,,,,,,,,,,9.514
2025-04-04,,,,,,,,,,,,,,,,,,10.023
2025-04-07,,,,,,,,,,,,,,,,,,8.853
2025-04-08,,,,,,,,,,,,,,,,,,9.075
2025-04-09,,,,,,,,,,,,,,,,,,8.891
2025-04-10,,,,,,,,,,,,,,,,,,9.153
2025-04-11,,,,,,,,,,,,,,,,,,9.681
2025-04-14,,,,,,,,,,,,,,,,,,10.526
2025-04-15,,,,,,,,,,,,,,,,,,10.689
2025-04-16,,,,,,,,,,,,,,,,,,10.487
2025-04-17,,,,,,,,,,,,,,,,,,10.702
2025-04-22,,,,,,,,,,,,,,,,,,11.645
2025-04-23,,,,,,,,,,,,,,,,,,12.105
2025-04-24,,,,,,,,,,,,,,,,,,12.193
2025-04-25,,,,,,,,,,,,,,,,,,12.468
2025-04-28,,,,,,,,,,,,,,,,,,11.817
2025-04-29,,,,,,,,,,,,,,,,,,11.948
2025-04-30,,,,,,,,,,,,,,,,,,11.539
2025-05-02,,,,,,,,,,,,,,,,,,12.172
2025-05-05,,,,,,,,,,,,,,,,,,11.746
2025-05-06,,,,,,,,,,,,,,,,,,11.63
2025-05-07,,,,,,,,,,,,,,,,,,11.859
2025-05-08,,,,,,,,,,,,,,,,,,13.063
2025-05-09,,,,,,,,,,,,,,,,,,13.838
2025-05-12,,,,,,,,,,,,,,,,,,14.611
2025-05-13,,,,,,,,,,,,,,,,,,14.415
2025-05-14,,,,,,,,,,,,,,,,,,14.503
2025-05-15,,,,,,,,,,,,,,,,,,14.035
2025-05-16,,,,,,,,,,,,,,,,,,14.214
2025-05-19,,,,,,,,,,,,,,,,,,13.361
2025-05-20,,,,,,,,,,,,,,,,,,13.598
2025-05-21,,,,,,,,,,,,,,,,,,14.042
2025-05-22,,,,,,,,,,,,,,,,,,14.622
2025-05-23,,,,,,,,,,,,,,,,,,14.762
2025-05-26,,,,,,,,,,,,,,,,,,14.357
2025-05-27,,,,,,,,,,,,,,,,,,14.418
2025-05-28,,,,,,,,,,,,,,,,,,13.845
2025-05-29,,,,,,,,,,,,,,,,,,13.815
2025-05-30,,,,,,,,,,,,,,,,,,13.128
2025-06-02,,,,,,,,,,,,,,,,,,12.334
2025-06-03,,,,,,,,,,,,,,,,,,13.172
2025-06-04,,,,,,,,,,,,,,,,,,12.673
2025-06-05,,,,,,,,,,,,,,,,,,12.174
2025-06-06,,,,,,,,,,,,,,,,,,12.213
2025-06-09,,,,,,,,,,,,,,,,,,12.503
2025-06-10,,,,,,,,,,,,,,,,,,12.762
2025-06-11,,,,,,,,,,,,,,,,,,13.313
2025-06-12,,,,,,,,,,,,,,,,,,12.565
2025-06-13,,,,,,,,,,,,,,,,,,11.713
2025-06-16,,,,,,,,,,,,,,,,,,12.461
2025-06-17,,,,,,,,,,,,,,,,,,11.77
2025-06-18,,,,,,,,,,,,,,,,,,11.608
2025-06-19,,,,,,,,,,,,,,,,,,11.522
2025-06-20,,,,,,,,,,,,,,,,,,11.445
2025-06-23,,,,,,,,,,,,,,,,,,10.674
2025-06-24,,,,,,,,,,,,,,,,,,11.426
2025-06-25,,,,,,,,,,,,,,,,,,11.402
2025-06-26,,,,,,,,,,,,,,,,,,11.178
2025-06-27,,,,,,,,,,,,,,,,,,11.188
2025-06-30,,,,,,,,,,,,,,,,,,12.16
2025-07-01,,,,,,,,,,,,,,,,,,11.502
2025-07-02,,,,,,,,,,,,,,,,,,11.748
2025-07-03,,,,,,,,,,,,,,,,,,11.838
2025-07-04,,,,,,,,,,,,,,,,,,11.461
2025-07-07,,,,,,,,,,,,,,,,,,11.917
2025-07-08,,,,,,,,,,,,,,,,,,11.792
2025-07-09,,,,,,,,,,,,,,,,,,12.058
2025-07-10,,,,,,,,,,,,,,,,,,12.321
2025-07-11,,,,,,,,,,,,,,,,,,12.984
2025-07-14,,,,,,,,,,,,,,,,,,12.977
2025-07-15,,,,,,,,,,,,,,,,,,12.553
2025-07-16,,,,,,,,,,,,,,,,,,13.134
2025-07-17,,,,,,,,,,,,,,,,,,13.754
2025-07-18,,,,,,,,,,,,,,,,,,13.881
2025-07-21,,,,,,,,,,,,,,,,,,15.454
2025-07-22,,,,,,,,,,,,,,,,,,15.968
2025-07-23,,,,,,,,,,,,,,,,,,14.907
2025-07-24,,,,,,,,,,,,,,,,,,14.758
2025-07-25,,,,,,,,,,,,,,,,,,13.918
2025-07-28,,,,,,,,,,,,,,,,,,14.897
2025-07-29,,,,,,,,,,,,,,,,,,14.333
2025-07-30,,,,,,,,,,,,,,,,,,14.271
2025-07-31,,,,,,,,,,,,,,,,,,14.196
2025-08-01,,,,,,,,,,,,,,,,,,13.298
2025-08-04,,,,,,,,,,,,,,,,,,13.152
2025-08-05,,,,,,,,,,,,,,,,,,12.986
2025-08-06,,,,,,,,,,,,,,,,,,13.234
2025-08-07,,,,,,,,,,,,,,,,,,13.421
2025-08-08,,,,,,,,,,,,,,,,,,13.795
2025-08-11,,,,,,,,,,,,,,,,,,14.111
2025-08-12,,,,,,,,,,,,,,,,,,14.215
2025-08-13,,,,,,,,,,,,,,,,,,15.403
2025-08-14,,,,,,,,,,,,,,,,,,15.409
2025-08-15,,,,,,,,,,,,,,,,,,14.596
2025-08-18,,,,,,,,,,,,,,,,,,14.266
2025-08-19,,,,,,,,,,,,,,,,,,14.113
2025-08-20,,,,,,,,,,,,,,,,,,14.503
2025-08-21,,,,,,,,,,,,,,,,,,14.447
2025-08-22,,,,,,,,,,,,,,,,,,15.157
2025-08-25,,,,,,,,,,,,,,,,,,15.506
2025-08-26,,,,,,,,,,,,,,,,,,15.044
2025-08-27,,,,,,,,,,,,,,,,,,16.372
2025-08-28,,,,,,,,,,,,,,,,,,16.667
2025-08-29,,,,,,,,,,,,,,,,,,16.349
