,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_y,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity
2012-02-20,4270457.0,355075000.73,1.51,5.22,1.5,418.15,1.0,239679493.9,2060293.0,2882605.0,171306850.41,,,68355.0,0.45,,,,10.49,6947.0,96017.0,,,0.45,68355.0,,7596.0,36762.0,197.37,0.06,,,4.19,4.19,47098020.0,3916051487.22,,4508.8,4.19,13.02,0.0906,15.93,0.0869
2012-02-21,4341108.0,363905862.51,1.54,5.25,1.53,422.48,1.0,242195834.24,2051506.0,2889204.0,171973390.29,,,2937.0,6.95,,,,7.13,115238.0,74724.0,,,6.95,2937.0,,63000.0,108639.0,198.12,10.73,,,4.19,4.19,46957760.0,3936369275.87,,4537.46,4.18,13.1,0.091,15.7,0.0886
2012-02-22,4669397.0,392351463.96,1.65,5.69,1.64,455.73,1.0,297439051.31,2254909.0,3539839.0,189471327.29,,,46919.0,58.2,,100000.0,,33.57,598540.0,350255.0,,,58.2,46919.0,9.74,506739.0,47905.0,219.47,4.51,,,4.73,4.73,45398280.0,3814642794.23,,4415.04,4.74,12.34,0.0864,14.41,0.098
2012-02-23,5058943.0,427351325.4,1.79,6.22,1.78,494.86,1.0,310463296.59,2200367.0,3675234.0,185874747.71,,,106823.0,22.65,,27340.0,,21.27,230129.0,218504.0,,,22.65,106823.0,2.77,57139.0,122074.0,214.62,12.23,,,4.64,4.64,45244844.0,3822032399.04,,4401.03,4.65,13.33,0.0932,18.64,0.1066
2012-02-24,4665163.0,392076131.36,1.65,5.78,1.64,457.56,1.0,298200921.08,2183947.0,3548178.0,183546317.86,,,4571.0,1.11,,,,12.8,10530.0,129842.0,,,1.11,4571.0,,108851.0,137586.0,213.15,12.77,,,4.43,4.43,47062012.0,3955251209.63,,4590.08,4.44,12.71,0.0867,14.57,0.0947
2012-02-27,4299912.0,359748190.97,1.52,5.36,1.51,420.97,1.0,274860605.25,2124560.0,3285288.0,177749362.46,,,14587.0,16.87,,,,10.03,166045.0,101683.0,,,16.87,14587.0,,27709.0,428935.0,206.94,42.78,,,4.31,4.31,47179064.0,3947193088.1,,4601.23,4.3,12.93,0.0825,13.24,0.0872
2012-02-28,4547400.0,383394186.82,1.61,5.63,1.6,444.26,1.0,301644654.86,2088922.0,3577777.0,176118342.68,,,58478.0,29.24,,,,9.82,306874.0,100880.0,,,29.24,58478.0,,6764.0,14385.0,203.02,1.42,,,4.23,4.23,47281544.0,3986337052.66,,4589.88,4.24,12.43,0.0877,14.9,0.0921
2012-02-29,4577074.0,384830663.52,1.62,5.66,1.61,450.33,1.0,304316511.68,2036781.0,3619460.0,171248221.83,,,5798.0,7.94,,,,5.32,74222.0,58716.0,,,7.94,5798.0,,777.0,32539.0,199.49,2.67,,,4.16,4.16,46912408.0,3944295656.57,,4598.91,4.16,12.34,0.0871,14.78,0.0935
2012-03-01,4950443.0,422496164.17,1.75,6.17,1.74,487.48,1.0,303464297.7,2567085.0,3555731.0,219088183.74,,,123862.0,1.66,,,,3.29,19737.0,33139.0,,,1.66,123862.0,,439581.0,83466.0,252.32,7.95,,,5.27,5.27,46135348.0,3937426925.73,,4513.6,5.29,11.3,0.0813,13.54,0.1016
2012-03-02,4992365.0,422846169.04,1.77,6.25,1.76,496.08,1.0,299543856.35,2610554.0,3536587.0,221110186.85,,,14700.0,6.98,,,,2.29,60148.0,26427.0,,,6.98,14700.0,,55307.0,79292.0,258.39,7.2,0.01,,5.34,5.34,46276808.0,3919579393.37,111.0,4586.81,5.33,11.26,0.0816,14.53,0.1021
2012-03-05,4746140.0,404814408.76,1.68,6.06,1.67,469.73,1.0,278838021.42,2609499.0,3269163.0,222573037.21,,,22382.0,2.17,,,,2.85,20418.0,28714.0,,,2.17,22382.0,,5277.0,287842.0,256.98,29.01,,,5.32,5.32,46473172.0,3963854763.32,,4571.96,5.32,10.46,0.077,11.87,0.0967
2012-03-06,4745974.0,390725933.7,1.68,6.12,1.67,470.53,1.0,302638899.16,2669442.0,3676020.0,219769475.75,,,27147.0,0.07,,441794.0,,0.6,390.0,6292.0,,,0.07,27147.0,43.72,39088.0,35327.0,261.11,1.78,,,5.43,5.43,46447848.0,3823952423.3,,4586.79,5.39,10.5,0.0762,11.92,0.0966
2012-03-07,4831068.0,399605669.21,1.71,6.04,1.7,466.34,1.0,310997275.07,2647197.0,3759829.0,218965025.69,,,25048.0,7.28,,,,5.2,85276.0,47701.0,,,7.28,25048.0,,408.0,1467.0,252.98,0.24,,,5.39,5.39,46495140.0,3845882843.04,,4449.08,5.38,10.36,0.0762,11.59,0.0983
2012-03-08,4761248.0,401957437.72,1.69,6.06,1.68,459.92,1.0,311885502.46,2647094.0,3694332.0,223474837.19,,,80677.0,0.08,,,,8.76,24503.0,91763.0,,,0.08,80677.0,,10983.0,90000.0,255.01,8.79,,,5.4,5.4,46414632.0,3918448808.23,,4459.81,5.41,10.57,0.0776,11.82,0.097
2012-03-09,5060677.0,429068364.42,1.79,6.48,1.78,497.61,1.0,336950638.24,2742749.0,3974188.0,232543358.81,,39176.0,74717.0,33.57,3.84,39585.0,,2.24,316301.0,32929.0,,39176.0,33.57,74717.0,3.88,53867.0,36445.0,269.66,3.15,,,5.57,5.57,46540388.0,3945916358.34,,4568.59,5.57,11.01,0.0755,12.95,0.1027
2012-03-12,5246454.0,446990379.68,1.86,6.77,1.85,518.33,1.0,355898453.93,2960386.0,4177282.0,252220654.59,,,302530.0,37.45,,,,9.57,380000.0,93938.0,,,37.45,302530.0,,9045.0,176906.0,291.27,16.72,,,6.0,6.0,46416928.0,3954655900.99,,4564.55,6.0,10.6,0.0737,12.53,0.1063
2012-03-13,4931176.0,423487457.35,1.75,6.44,1.74,489.97,1.0,327079955.11,2674087.0,3808587.0,229649540.87,,,,2.19,,,,27.83,20600.0,287210.0,,,2.19,,,911.0,389295.0,265.38,37.88,,,5.42,5.42,46652928.0,4006535126.04,,4627.47,5.42,11.3,0.0728,12.03,0.1
2012-03-14,4819128.0,411995323.37,1.71,6.38,1.7,481.31,1.0,324803817.69,2528341.0,3799245.0,216152106.33,,,2229.0,3.74,,,,14.64,37045.0,149036.0,,,3.74,2229.0,,1061.0,46387.0,251.77,3.63,,,5.15,5.15,46591420.0,3983178522.96,,4645.62,5.14,11.57,0.0748,12.34,0.0981
2012-03-15,4745282.0,410100141.59,1.68,6.36,1.67,473.19,1.0,323239093.19,2503987.0,3740210.0,216401348.38,,,32618.0,2.77,,,,8.35,25000.0,82898.0,,,2.77,32618.0,,25926.0,84035.0,249.12,8.89,,,5.11,5.11,46521168.0,4020485523.07,,4618.83,5.12,11.13,0.0754,12.37,0.0968
2012-03-16,5116522.0,442624790.36,1.81,6.86,1.8,513.27,1.0,338975425.96,2575527.0,3918387.0,222806058.18,,,84118.0,16.12,,30225.0,,2.91,147952.0,32323.0,,,16.12,84118.0,3.16,19745.0,,257.66,,,,5.24,5.24,46585328.0,4030046394.73,,4654.4,5.25,10.74,0.0813,16.94,0.1041
2012-03-19,5166902.0,445646837.35,1.83,6.87,1.82,519.11,1.0,343296196.2,2690239.0,3980232.0,232033915.5,,,47871.0,36.34,,,,5.84,355395.0,58368.0,,,36.34,47871.0,,125209.0,293550.0,269.34,29.26,,,5.52,5.52,46029248.0,3970036357.72,,4608.29,5.52,11.78,0.0776,13.75,0.1061
2012-03-20,5379136.0,460335065.36,1.91,7.17,1.89,541.28,1.0,376313673.97,2611860.0,4397324.0,223517446.63,,,2377.0,58.68,,14147.0,,11.75,562563.0,113885.0,,,58.68,2377.0,1.48,33129.0,159618.0,260.76,16.08,,,5.39,5.39,45878112.0,3926151650.77,,4584.87,5.38,11.2,0.075,12.21,0.1109
2012-03-21,5034747.0,435333507.75,1.78,6.68,1.77,505.86,1.0,336857589.9,2411351.0,3895847.0,208499431.9,,,8939.0,,,43200.0,,28.89,,284448.0,,,,8939.0,4.29,54000.0,565677.0,240.33,56.29,,,4.96,4.96,46213664.0,3995902168.47,,4600.23,4.96,11.85,0.0795,13.43,0.1035
2012-03-22,4591759.0,393071762.24,1.63,6.1,1.62,463.23,1.0,310393526.13,2264853.0,3625934.0,193879896.55,30.37,,,0.12,,,288391.0,16.76,1100.0,167516.0,30.37,,0.12,,,15186.0,278013.0,226.42,27.99,,30.14,4.64,4.64,46518724.0,3982176943.46,,4652.5,4.64,11.47,0.0743,11.62,0.0941
2012-03-23,4596607.0,392654621.94,1.63,6.11,1.62,460.05,1.0,309400795.57,2278636.0,3621997.0,194647259.84,,,15847.0,,,,,0.36,,2064.0,,,,15847.0,,,3937.0,225.81,0.58,,,4.67,4.67,46481548.0,3970579746.6,,4605.21,4.67,11.39,0.0743,11.6,0.0943
2012-03-26,4574540.0,393648414.32,1.62,6.09,1.61,456.96,1.0,310363395.59,2622543.0,3606695.0,225675126.55,,285672.0,87419.0,5.26,28.31,,,3.23,57062.0,32409.0,,285672.0,5.26,87419.0,,3225.0,72364.0,259.93,7.16,,,5.31,5.31,46808740.0,4027986699.68,,4636.95,5.31,11.49,0.0767,11.65,0.0925
2012-03-27,4632518.0,395762172.48,1.64,6.14,1.63,465.79,1.0,312972123.23,2622149.0,3663435.0,224013675.68,,,17207.0,10.46,,,,2.52,91104.0,25798.0,,,10.46,17207.0,,8197.0,34364.0,261.37,3.26,,,5.28,5.28,47038148.0,4018531529.08,,4687.86,5.28,11.49,0.0791,13.49,0.0933
2012-03-28,4845864.0,412568260.59,1.72,6.37,1.71,484.19,1.0,331803415.73,3045555.0,3897232.0,259293147.49,,,61607.0,38.99,,17249.0,,6.01,395000.0,58794.0,,,38.99,61607.0,1.81,412249.0,186037.0,301.36,19.63,,,6.21,6.21,45966024.0,3913465703.49,,4551.25,6.21,10.96,0.0739,11.09,0.0989
2012-03-29,4750166.0,402946508.17,1.68,6.19,1.67,473.37,1.0,322810204.38,2910816.0,3805473.0,246918348.35,,,27807.0,0.15,,,,22.66,3815.0,227800.0,,,0.15,27807.0,,65254.0,95574.0,287.45,9.64,,,5.79,5.79,47378212.0,4018993249.64,,4674.56,5.79,11.19,0.0765,11.3,0.0945
2012-03-30,4739130.0,408383682.47,1.68,6.17,1.67,471.21,1.0,326358205.01,2912427.0,3787257.0,250971731.77,,,15060.0,,,3977.0,,1.44,,14449.0,,,,15060.0,0.41,1000.0,22193.0,287.39,2.41,,,5.8,5.8,47311984.0,4077001949.94,,4670.46,5.8,11.23,0.0764,11.24,0.0944
2012-04-02,4656652.0,410469234.68,1.65,6.46,1.64,471.14,1.0,324179720.79,2918552.0,3677723.0,257261183.75,,,30299.0,,,,,2.88,,29126.0,,,,30299.0,,4952.0,109534.0,293.05,9.2,,,5.83,5.83,47169948.0,4157882627.99,,4729.26,5.84,11.42,0.0766,11.66,0.093
2012-04-03,4702651.0,412091487.83,1.67,6.58,1.66,483.76,1.0,316935104.33,2979214.0,3616758.0,261067370.26,,,302429.0,7.22,,,,27.49,57685.0,278554.0,,,7.22,302429.0,,36787.0,118650.0,304.67,11.59,,,5.94,5.94,47167576.0,4133276437.28,,4824.81,5.94,11.31,0.0755,11.63,0.0938
2012-04-04,5014787.0,430019471.1,1.78,7.11,1.77,512.76,1.0,326368285.95,3203240.0,3806031.0,274678779.1,,,263271.0,14.6,,135500.0,,4.53,131395.0,42223.0,,,14.6,263271.0,13.77,2978.0,77622.0,325.2,8.81,,,6.39,6.39,46960824.0,4026904572.22,,4770.56,6.38,10.66,0.0738,10.85,0.1
2012-04-05,4927053.0,419225699.5,1.74,6.89,1.74,495.82,1.0,318189223.5,3207804.0,3739597.0,272940817.92,,,13644.0,0.0,,25897.0,,5.45,3000.0,34977.0,,,0.0,13644.0,2.82,25897.0,95331.0,318.91,10.72,,,6.44,6.44,46624188.0,3967089014.09,,4636.53,6.44,10.64,0.075,10.99,0.0989
2012-04-06,5185434.0,441210434.69,1.84,7.22,1.83,518.97,1.0,343282934.34,3171265.0,4034517.0,269831842.27,,,,27.92,,,,3.61,294920.0,36539.0,,,27.92,,,,,313.1,,,,6.36,6.36,46716996.0,3974985722.06,,4609.97,6.36,10.14,0.0743,10.48,0.1039
2012-04-09,5134619.0,436886764.15,1.82,7.15,1.81,512.52,1.0,343282934.34,3120450.0,4034517.0,265508171.72,,,4176.0,,,,,9.85,,100000.0,,,,4176.0,,45009.0,,308.18,,,,6.26,6.26,46754816.0,3978203693.52,,4613.75,6.26,9.94,0.0734,10.33,0.1029
2012-04-10,5024342.0,423129022.37,1.78,6.99,1.77,500.78,1.0,329791463.08,3164851.0,3916028.0,266530484.9,,,122915.0,,,,,7.98,,81830.0,,,,122915.0,,3316.0,118489.0,311.78,11.8,,,6.32,6.32,46888524.0,3948754945.53,,4613.95,6.33,10.16,0.0762,10.62,0.1004
2012-04-11,5287155.0,444213712.74,1.87,7.25,1.86,522.61,1.0,349822116.33,3231119.0,4163680.0,271470642.96,,,86078.0,14.3,,160000.0,,6.96,156652.0,68821.0,,,14.3,86078.0,15.63,49011.0,69000.0,315.57,7.69,,,6.44,6.44,46916624.0,3941818943.53,,4579.54,6.45,9.46,0.0711,9.58,0.1054
2012-04-12,5560683.0,474001926.65,1.97,7.54,1.96,549.11,1.0,366445772.67,3410412.0,4298904.0,290709227.39,,,10946.0,13.52,,,,1.38,140423.0,13647.0,,,13.52,10946.0,,181994.0,5199.0,333.25,0.79,0.39,,6.81,6.81,46704332.0,3981155435.59,4000.0,4560.75,6.81,9.54,0.0729,10.09,0.111
2012-04-13,6502149.0,540072604.18,2.3,8.72,2.29,642.77,1.0,426165911.63,3854818.0,5130781.0,320183618.66,,4000.0,235883.0,99.54,0.4,,,6.64,1024290.0,71985.0,,4000.0,99.54,235883.0,,280508.0,192413.0,378.91,17.6,,,7.64,7.64,46585144.0,3869391494.44,,4591.62,7.62,8.87,0.0765,12.44,0.1289
2012-04-16,6516622.0,553240648.31,2.31,8.58,2.29,638.97,1.0,424076380.9,3965885.0,4995196.0,336691124.41,,,146489.0,6.59,,,,5.86,71000.0,38702.0,,,6.59,146489.0,,3280.0,206585.0,384.19,24.88,,,7.86,7.86,46485460.0,3946468895.6,,4495.35,7.87,9.18,0.0758,12.76,0.1292
2012-04-17,6625526.0,568140817.6,2.35,8.6,2.33,655.09,1.0,429685902.45,4290717.0,5010897.0,367930254.06,,,373169.0,6.01,,1317.0,,5.57,52768.0,69398.0,,,6.01,373169.0,0.13,21061.0,38384.0,423.7,2.49,,,8.53,8.53,45982168.0,3942984530.25,,4533.25,8.55,8.98,0.0735,12.61,0.1318
2012-04-18,6615251.0,560929600.57,2.34,8.48,2.33,658.25,1.0,436769937.11,4085459.0,5150990.0,346419944.61,,,73920.0,14.75,,67285.0,,38.6,131341.0,403884.0,,,14.75,73920.0,6.73,124706.0,58533.0,405.65,4.79,,,8.08,8.08,46483100.0,3941459925.87,,4612.25,8.08,9.04,0.0751,12.39,0.1308
2012-04-19,6588650.0,549699784.73,2.33,8.39,2.32,648.82,1.0,400784217.9,5196718.0,4803762.0,433569056.77,,,1232801.0,2.18,,,,14.24,15000.0,139417.0,,,2.18,1232801.0,,17875.0,362228.0,509.41,37.52,,,10.28,10.28,45374320.0,3785639537.12,,4445.79,10.28,11.12,0.0762,12.37,0.1303
2012-04-20,7819857.0,661184676.46,2.77,9.98,2.75,764.77,1.0,504775199.05,5307283.0,5969996.0,448741478.68,,,112968.0,116.12,,,,0.0,1196462.0,3495.0,,,116.12,112968.0,,1092.0,30228.0,514.24,5.07,,,10.53,10.53,45081104.0,3811698239.85,,4387.5,10.49,10.57,0.0999,22.9,0.1552
2012-04-23,7522861.0,613180142.48,2.66,9.37,2.65,732.3,1.0,480149462.99,5189115.0,5890761.0,422959067.71,,,8790.0,2.69,,,,15.63,51000.0,172838.0,,,2.69,8790.0,,45880.0,130235.0,506.4,11.41,,,10.25,10.25,45430972.0,3703028659.43,,4422.01,10.28,10.68,0.1022,23.75,0.1486
2012-04-24,7746020.0,639115634.38,2.74,9.42,2.73,746.45,1.0,495769364.48,5220532.0,6008677.0,430740382.93,,,24039.0,21.19,,,,4.02,237279.0,36648.0,,,21.19,24039.0,,44026.0,119363.0,494.54,15.63,,,10.54,10.54,44316156.0,3656477540.1,,4196.82,10.54,10.59,0.1028,23.6,0.1564
2012-04-25,8330128.0,704329118.37,2.95,10.06,2.93,804.04,1.0,512275892.97,6803095.0,6058707.0,575215399.27,,,1150731.0,6.34,,72839.0,,1.19,45236.0,16263.0,,,6.34,1150731.0,6.97,448095.0,68045.0,654.5,5.71,,,13.36,13.36,44102668.0,3728969503.24,,4245.0,13.36,10.06,0.0896,20.94,0.1636
2012-04-26,9973860.0,838409007.83,3.53,11.83,3.51,972.93,1.0,596504943.67,7202596.0,7096127.0,605454795.45,,,142540.0,110.26,,,,1.1,1117407.0,28848.0,,,110.26,142540.0,,288099.0,79987.0,705.94,6.91,,,13.92,13.92,44532656.0,3743443354.22,,4346.16,13.97,8.33,0.1053,25.58,0.1928
2012-04-27,10105720.0,862212555.42,3.58,11.93,3.56,993.89,1.0,619781972.54,8630155.0,7264268.0,736318441.06,,,543398.0,18.31,,,,7.94,171755.0,81246.0,,,18.31,543398.0,,965407.0,3614.0,844.78,0.54,,,16.72,16.72,42982320.0,3667219749.32,,4205.65,16.73,8.22,0.1064,25.78,0.1958
2012-04-30,11740111.0,983440110.05,4.16,13.68,4.13,1165.38,1.0,776840646.78,8702523.0,9273768.0,728988863.63,,,476266.0,194.07,,120000.0,,84.35,1900723.0,896153.0,,,194.07,476266.0,11.89,492255.0,11223.0,859.46,0.61,,,16.86,16.86,42907120.0,3594223497.1,,4229.44,16.89,15.33,0.104,22.09,0.2275
2012-05-01,11743447.0,983719558.53,4.16,13.78,4.14,1160.41,1.0,776750680.45,8706933.0,9272694.0,729358278.45,,,5209.0,0.0,,,,0.08,1888.0,799.0,,,0.0,5209.0,,,2962.0,849.36,0.0,,,16.87,16.87,42901588.0,3593760095.12,,4170.74,16.92,14.93,0.1035,22.28,0.2275
2012-05-02,11918094.0,1010061956.58,4.22,13.98,4.2,1177.25,1.0,789838744.39,8736996.0,9319599.0,740462969.53,,,56567.0,9.61,,,,22.61,84105.0,241014.0,,,9.61,56567.0,,214510.0,37200.0,854.4,2.51,,,16.91,16.91,42918204.0,3637330357.11,,4190.73,16.94,14.76,0.1009,21.73,0.2307
2012-05-03,12041095.0,1021939567.97,4.26,14.18,4.24,1193.63,1.0,780219200.51,9350824.0,9193003.0,793613623.91,,,72086.0,15.21,,,,6.24,148572.0,72302.0,,,15.21,72086.0,,614044.0,275168.0,920.18,25.56,,,18.22,18.22,41975136.0,3562471050.14,,4127.76,18.23,14.55,0.0943,19.57,0.2346
2012-05-04,14176468.0,1183250322.78,5.02,16.62,4.99,1410.62,2.0,855045664.5,11706864.0,10244263.0,977122835.3,,,587076.0,115.79,,181400.0,,161.7,1121242.0,1657561.0,,,115.79,587076.0,17.95,3426525.0,251382.0,1154.87,24.77,,,22.44,22.44,40458720.0,3376919660.04,,3975.3,22.51,13.47,0.0855,16.68,0.2718
2012-05-07,16005616.0,1357860442.32,5.67,18.64,5.64,1591.81,2.0,877236133.84,14162910.0,10340315.0,1201531714.69,,,617245.0,171.92,,330000.0,,75.32,1609916.0,737263.0,,,171.92,617245.0,33.65,2576064.0,1843864.0,1377.97,184.68,,,27.27,27.27,37765520.0,3203894538.73,,3682.89,27.23,9.32,0.0635,10.74,0.3082
2012-05-08,18391502.0,1525231556.7,6.51,21.35,6.48,1833.53,2.0,907680406.15,15783738.0,10944965.0,1308966243.23,,,957489.0,167.96,,25000.0,,134.12,1692950.0,1360014.0,,,167.96,957489.0,2.41,2023353.0,1113300.0,1549.81,110.44,,,30.13,30.13,36608048.0,3035953781.2,,3578.45,30.22,9.8,0.0644,12.12,0.351
2012-05-09,29234316.0,2444602112.38,10.35,33.6,10.29,2897.04,3.0,1356039766.58,21469932.0,16216502.0,1795336724.14,,,1352541.0,442.58,,921486.0,,47.23,4391051.0,478822.0,,,442.58,1352541.0,97.3,4812474.0,41000.0,2076.49,3.62,,,41.39,41.39,30401336.0,2542189466.82,,2934.48,41.44,10.48,0.0733,15.18,0.5636
2012-05-10,35896400.0,2995812492.85,12.71,40.99,12.64,3547.07,3.0,1644453391.03,25317240.0,19704156.0,2112905580.41,,780.0,2717359.0,342.2,0.08,53344.0,,67.52,3492194.0,699085.0,,780.0,342.2,2717359.0,5.16,1953021.0,57883.0,2455.72,10.24,,,48.78,48.78,26583220.0,2218560707.37,,2581.5,48.75,10.67,0.0758,15.2,0.6916
2012-05-11,39369864.0,3311479203.72,13.94,44.3,13.86,3878.15,3.0,1866181173.35,27118308.0,22186852.0,2280975951.1,,,1052746.0,313.34,,,,3.36,3241276.0,34324.0,,,313.34,1052746.0,,782646.0,758582.0,2623.1,73.11,,,52.33,52.33,24702056.0,2077740089.05,,2387.42,52.35,11.36,0.075,13.92,0.7597
2012-05-14,40693744.0,3378900174.19,14.41,44.84,14.33,3975.51,3.0,1885390331.54,26891212.0,22706676.0,2232842495.66,,,65386.0,61.37,,,,48.38,673956.0,486510.0,,,61.37,65386.0,,194028.0,154132.0,2572.74,17.61,,,52.52,52.52,24308784.0,2018417241.03,,2321.25,52.57,11.15,0.0725,13.16,0.7948
2012-05-15,37054728.0,3055102048.49,13.12,38.02,13.05,3592.57,3.0,1693939591.81,25992036.0,20545458.0,2143001088.23,,,277032.0,8.2,,,,128.11,91169.0,1346222.0,,,8.2,277032.0,,170013.0,2252386.0,2457.52,224.76,,,49.93,49.93,26063284.0,2148875369.93,,2455.82,50.02,10.05,0.0673,12.36,0.7118
2012-05-16,34906348.0,2915965656.19,12.36,35.8,12.29,3371.84,3.0,1672829530.25,24323248.0,20025054.0,2031887031.41,,,35209.0,6.02,,,,168.88,71951.0,1772195.0,,,6.02,35209.0,,68197.0,592355.0,2279.36,58.69,,,46.69,46.69,27772480.0,2320024938.37,,2602.84,46.69,8.68,0.0663,13.17,0.67
2012-05-17,30482488.0,2520514716.62,10.79,31.18,10.73,2952.45,3.0,1279768585.04,20962750.0,15477208.0,1733353257.64,,,72686.0,47.74,,,,332.44,478531.0,3573566.0,,,47.74,72686.0,,16692.0,4346199.0,1983.0,420.33,,67.17,39.78,39.78,31727842.0,2623489679.96,,2990.13,39.87,9.38,0.0637,9.79,0.5785
2012-05-18,26181258.0,2165552661.76,9.27,26.76,9.22,2506.25,2.0,1117316228.74,18387984.0,13508212.0,1520940960.73,,,141895.0,4.93,,215000.0,,282.16,62864.0,2930553.0,,,4.93,141895.0,20.09,213892.0,2246860.0,1715.67,234.09,,,34.9,34.9,34296956.0,2836833293.34,,3203.06,34.88,11.06,0.0733,11.8,0.4969
2012-05-21,22719752.0,1880846592.14,8.04,22.75,8.0,2170.65,2.0,982217206.62,16085999.0,11864727.0,1331673708.42,,,137022.0,,,,,236.28,,2531376.0,,,,137022.0,,92369.0,1643485.0,1500.19,161.03,,,30.62,30.62,36453512.0,3017791031.2,,3402.0,30.6,11.32,0.0734,11.33,0.4324
2012-05-22,21901598.0,1834823004.91,7.75,22.14,7.71,2108.11,2.0,966061175.04,16199880.0,11531512.0,1357157249.48,,,60345.0,36.18,,,,98.34,365381.0,1065679.0,,,36.18,60345.0,,1118141.0,698596.0,1524.02,63.59,,,30.42,30.42,37060512.0,3104772537.21,,3487.19,30.41,11.52,0.0754,11.75,0.4112
2012-05-23,17774752.0,1458735787.74,6.29,17.85,6.26,1715.99,2.0,812725938.64,13235432.0,9903097.0,1086203527.6,,,145120.0,15.51,,132100.0,,337.21,147962.0,3603762.0,,,15.51,145120.0,12.51,494194.0,1908477.0,1255.51,189.72,,,25.09,25.09,39513216.0,3242764921.15,,3732.65,25.17,13.38,0.0917,15.43,0.337
2012-05-24,16407311.0,1371485901.98,5.81,16.62,5.78,1564.08,2.0,710400850.51,12650768.0,8498642.0,1057476752.97,,,2736.0,9.67,,,,59.48,99709.0,615335.0,,,9.67,2736.0,,27935.0,1504164.0,1180.49,155.15,,,24.08,24.08,39892276.0,3334592373.61,,3731.39,24.03,14.4,0.0933,16.1,0.3123
2012-05-25,16224962.0,1365001656.68,5.74,16.49,5.71,1558.13,2.0,769252544.51,12204336.0,9143647.0,1026747480.75,,,253249.0,45.04,,476600.0,,107.64,446990.0,1176888.0,,,45.04,253249.0,45.15,477207.0,278585.0,1155.46,30.12,,,23.27,23.27,40235864.0,3385032335.85,,3812.23,23.26,13.73,0.0924,16.08,0.3094
2012-05-28,15701368.0,1320812890.16,5.56,16.1,5.53,1510.67,2.0,722292241.56,11399471.0,8586361.0,958933529.73,,35146.0,331254.0,1.59,3.33,,,123.02,15995.0,1294956.0,,35146.0,1.59,331254.0,,158837.0,573281.0,1082.14,55.83,3.34,,22.08,22.08,40221984.0,3383508681.21,35146.0,3823.55,22.06,14.18,0.0962,16.63,0.3042
2012-05-29,12881686.0,1110179160.47,4.56,13.5,4.54,1243.83,1.0,610199830.99,9607535.0,7080301.0,828003814.14,,,268863.0,50.07,,,,243.29,493500.0,2586865.0,,,50.07,268863.0,,526066.0,1999560.0,919.81,198.1,,,18.59,18.59,42068452.0,3625575000.34,,4029.84,18.58,20.26,0.1253,21.9,0.2493
2012-05-30,12513323.0,1052742473.33,4.43,13.25,4.41,1215.96,1.0,577410850.35,9861233.0,6863339.0,829622860.25,,,761663.0,6.7,,13544.0,,59.59,49825.0,634767.0,,,6.7,761663.0,1.37,126802.0,280331.0,956.72,26.81,,,18.95,18.95,42172684.0,3547976477.65,,4102.29,18.91,21.03,0.1266,22.18,0.2405
2012-05-31,11395779.0,882082368.1,3.67,11.94,3.65,1071.3,1.0,526805348.93,9338870.0,6805892.0,722868753.86,,,3164.0,51.9,,,,117.18,555850.0,1154055.0,,,51.9,3164.0,,629602.0,613297.0,873.22,65.51,,,18.09,18.09,42284936.0,3273036137.51,,3947.03,18.12,14.74,0.1222,24.37,0.2207
2012-06-01,11861502.0,895563797.91,3.82,12.12,3.8,1071.02,1.0,568867932.75,9108861.0,7534503.0,687734669.0,,,,66.8,,48100.0,,34.28,823603.0,341309.0,,,66.8,,4.18,111300.0,143092.0,816.51,16.81,,,17.88,17.88,41849572.0,3159714650.08,,3687.98,18.13,16.97,0.1253,23.7,0.2328
2012-06-04,11080612.0,830231685.1,3.57,11.14,3.55,978.32,1.0,581794978.98,7835200.0,7764874.0,587064261.35,,,175697.0,38.21,,1666.0,,137.28,431987.0,1534509.0,,,38.21,175697.0,0.15,85151.0,203282.0,668.66,29.25,,,15.16,15.16,43845260.0,3285172704.68,,3722.37,15.23,17.63,0.1301,25.87,0.2144
2012-06-05,9949254.0,743966231.67,3.21,10.09,3.19,867.44,1.0,504124641.0,7632855.0,6741790.0,570754990.4,,,130409.0,6.77,,13110.0,,81.59,79913.0,957145.0,,,6.77,130409.0,1.11,624391.0,1116107.0,650.75,109.86,,,14.76,14.76,44068208.0,3295247929.35,,3743.1,14.81,18.71,0.1114,19.9,0.1924
