,DFND FP Equity_DX_SI_QTY,DFND FP Equity_DX_SHORT_INTEREST_VALUE,DFND FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,DFND FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,DFND FP Equity_DX_SI_MV,DFND FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,DFND FP Equity_DX_SUPPLY_SI_QTY,DFND FP Equity_DX_BROKER_SI_QTY,DFND FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,DFND FP Equity_DX_SUPPLY_SI_QTY_INC_x,DFND FP Equity_DX_BROKER_SI_MV_INC_x,DFND FP Equity_DX_BROKER_SI_QTY_ADD,DFND FP Equity_DX_SUPPLY_SI_MV_DEC,DFND FP Equity_DX_BROKER_SI_QTY_INC,DFND FP Equity_DX_SUPPLY_SI_QTY_DEC,DFND FP Equity_DX_BROKER_SI_MV_INC_y,DFND FP Equity_DX_SUPPLY_SI_QTY_INC_y,DFND FP Equity_DX_BROKER_SI_MV_ADD,DFND FP Equity_DX_SUPPLY_SI_QTY_ADD,DFND FP Equity_DX_BROKER_SI_QTY_DEC,DFND FP Equity_DX_SUPPLY_SI_MV,DFND FP Equity_DX_BROKER_SI_MV_DEC,DFND FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,DFND FP Equity_DX_UTILIZATION_QUANTITY,DFND FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,DFND FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,DFND FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,DFND FP Equity_DX_ACTIVE_UTILIZATION_MV,DFND FP Equity_DX_BROKER_SI_MARKET_SHARE_2,DFND FP Equity_DX_BROKER_SI_CON_RATIO,DFND FP Equity_DX_BROKER_SI_MARKET_SHARE_1,DFND FP Equity_DX_DEMAND_SUPPLY_RATIO,DFND FP Equity_PX_LAST
2025-03-19,213800.0,1363616.4,0.78,0.35,1.35,122457.6,194600.0,19200.0,1241158.8,175400.0,,,,,,,175400.0,,,,1.23,,100.0,99.04,0.0,0.0,0.0,100.0,,1.0,100.0,1.0881,6.378
2025-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.23,,194600.0,,,,,19200.0,0.0,0.12,0.0,0.0,276083.0,1747881.47,1.77,0.0,,0.0,,0.0,6.331
2025-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,328971.0,2063635.08,2.09,0.0,,0.0,,0.0,6.273
2025-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,328971.0,2095216.3,2.09,0.0,,0.0,,0.0,6.369
2025-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,328971.0,2109362.05,2.09,0.0,,0.0,,0.0,6.412
2025-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,328971.0,2114296.62,2.07,0.0,,0.0,,0.0,6.427
2025-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,328971.0,2099492.92,2.07,0.0,,0.0,,0.0,6.382
2025-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,328971.0,2051463.16,2.08,0.0,,0.0,,0.0,6.236
2025-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,328971.0,2034685.64,2.09,0.0,,0.0,,0.0,6.185
2025-04-01,26519.0,166751.47,0.09,0.04,0.17,166751.47,0.0,26519.0,0.0,,,26519.0,,,,,,0.17,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0647,6.288
2025-04-02,5763.0,36024.51,0.02,0.01,0.04,36024.51,0.0,5763.0,0.0,,,,,,,,,,,20756.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0141,6.251
2025-04-03,5763.0,34745.13,0.02,0.01,0.04,34745.13,0.0,5763.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0141,6.029
2025-04-04,5763.0,32382.3,0.02,0.01,0.03,32382.3,0.0,5763.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0141,5.619
2025-04-07,5763.0,31114.44,0.02,0.01,0.03,31114.44,0.0,5763.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0141,5.399
2025-04-08,5763.0,32739.6,0.02,0.01,0.03,32739.6,0.0,5763.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0141,5.681
2025-04-09,5763.0,31725.32,0.02,0.01,0.03,31725.32,0.0,5763.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0141,5.505
2025-04-10,22263.0,128301.67,0.08,0.03,0.12,33212.17,16500.0,5763.0,95089.5,,,,,,,,,,16500.0,,0.09,,4.03,4.03,393211.0,2266074.99,2.13,4.03,,1.0,100.0,0.0543,5.763
2025-04-11,404679.0,2299790.76,1.51,0.62,2.3,1119386.19,207708.0,196971.0,1180404.56,191208.0,1.09,,,191208.0,,1.09,191208.0,,,,1.18,,50.7,50.7,202003.0,1147983.05,1.18,50.03,,1.0,100.0,0.9877,5.683
2025-04-14,404679.0,2366158.11,1.52,0.62,2.35,1151689.44,207708.0,196971.0,1214468.68,,,,,,,,,,,,1.18,,50.7,50.7,202003.0,1181111.54,1.15,50.71,,1.0,100.0,0.9877,5.847
2025-04-15,404679.0,2406221.33,1.62,0.62,2.37,1171189.57,207708.0,196971.0,1235031.77,,,,,,,,,,,,1.21,,49.66,49.66,210573.0,1252067.06,1.21,49.96,,1.0,100.0,0.9675,5.946
2025-04-16,770318.0,4556430.97,3.06,1.21,4.54,2632748.76,325221.0,445097.0,1923682.22,117513.0,1.46,,,248126.0,,1.46,117513.0,,,,1.92,,100.0,77.75,0.0,0.0,0.0,100.0,,1.0,100.0,1.8416,5.915
2025-04-17,770318.0,4508671.25,3.29,1.21,4.45,2605152.74,325221.0,445097.0,1903518.51,,,,,,,,,,,,1.91,,100.0,77.75,0.0,0.0,0.0,100.0,,1.0,100.0,1.8416,5.853
2025-04-18,770318.0,4508671.25,3.46,1.21,4.42,2605152.74,325221.0,445097.0,1903518.51,,,,,,,,,,,,1.88,,100.0,77.75,0.0,0.0,0.0,100.0,,1.0,100.0,1.8416,
2025-04-21,770318.0,4508671.25,3.46,1.21,4.51,2605152.74,325221.0,445097.0,1903518.51,,,,,,,,,,,,1.9,,100.0,77.75,0.0,0.0,0.0,100.0,,1.0,100.0,1.8416,
2025-04-22,770318.0,4382339.1,3.46,1.21,4.43,2532156.83,325221.0,445097.0,1850182.27,,,,,,,,,,,,1.89,,100.0,77.75,0.0,0.0,0.0,100.0,,1.0,100.0,1.8416,5.689
2025-04-23,796441.0,4668737.14,3.81,1.24,4.59,2762291.64,325221.0,471220.0,1906445.5,,0.19,,,26123.0,,0.19,,,,,1.86,,100.0,77.75,0.0,0.0,0.0,100.0,,1.0,100.0,1.9041,5.862
2025-04-24,780191.0,4604687.28,3.76,1.22,4.57,2781140.44,308971.0,471220.0,1823546.84,,,,0.05,,16250.0,,,,,,1.81,,73.87,73.87,109310.0,645147.62,0.65,73.39,,1.0,100.0,1.8652,5.902
2025-04-25,774428.0,4627207.3,3.78,1.21,4.58,2781105.58,308971.0,465457.0,1846101.73,,,,,,,,,,,5763.0,1.82,0.0,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.5065,5.975
2025-04-28,774428.0,4664379.84,3.97,1.21,4.66,2803447.51,308971.0,465457.0,1860932.33,,,,,,,,,,,,1.85,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.5065,6.023
2025-04-29,774428.0,4700777.96,4.02,1.21,4.73,2825323.99,308971.0,465457.0,1875453.97,,,,,,,,,,,,1.88,,100.0,97.54,0.0,0.0,0.0,100.0,,1.0,100.0,2.4449,6.07
2025-04-30,724428.0,4437845.93,3.82,1.11,4.45,2698239.58,283971.0,440457.0,1739606.35,,,,0.14,,25000.0,,,,,25000.0,1.74,0.14,100.0,89.65,0.0,0.0,0.0,100.0,,1.0,100.0,2.287,6.126
2025-05-01,724428.0,4437845.93,3.88,1.11,4.42,2698239.58,283971.0,440457.0,1739606.35,,,,,,,,,,,,1.74,,100.0,89.65,0.0,0.0,0.0,100.0,,1.0,100.0,2.287,
2025-05-02,724428.0,4568242.97,3.88,1.11,4.52,2777521.84,283971.0,440457.0,1790721.13,,,,,,,,,,,,1.79,,100.0,89.65,0.0,0.0,0.0,100.0,,1.0,100.0,2.287,6.306
2025-05-05,724428.0,4613157.5,4.04,1.11,4.61,2804830.18,283971.0,440457.0,1808327.33,,,,,,,,,,,,1.78,,100.0,89.65,0.0,0.0,0.0,100.0,,1.0,100.0,2.287,6.368
2025-05-06,605792.0,3827999.65,3.41,0.93,3.85,2033586.9,283971.0,321821.0,1794412.75,,,,,,,,,,,118636.0,1.81,0.79,100.0,89.65,0.0,0.0,0.0,100.0,,1.0,100.0,1.9125,6.319
2025-05-07,513279.0,3232117.86,3.01,0.79,3.3,2026506.84,191458.0,321821.0,1205611.03,,,,0.6,,92513.0,,,,,,1.23,,60.44,60.44,125298.0,789001.51,0.79,60.75,,1.0,100.0,1.6204,6.297
2025-05-08,382666.0,2477379.68,2.46,0.58,2.44,1237880.59,191458.0,191208.0,1239499.09,,,,,,,,,,,130613.0,1.22,0.84,60.44,60.44,125298.0,811179.25,0.78,60.91,,1.0,100.0,1.2081,6.474
2025-05-09,50000.0,320850.0,0.33,0.08,0.33,160425.0,25000.0,25000.0,160425.0,,,,1.07,,166458.0,,,,,166208.0,0.16,1.08,7.89,7.89,291756.0,1872198.25,1.91,7.88,,1.0,100.0,0.1579,6.417
2025-05-12,50000.0,324850.0,0.34,0.08,0.32,162425.0,25000.0,25000.0,162425.0,,,,,,,,,,,,0.16,,7.89,7.89,291756.0,1895538.73,1.85,8.01,,1.0,100.0,0.1579,6.497
2025-05-13,50000.0,327950.0,0.34,0.08,0.32,163975.0,25000.0,25000.0,163975.0,,,,,,,,,,,,0.16,,7.89,7.89,291756.0,1913627.6,1.9,7.82,,1.0,100.0,0.1579,6.559
2025-05-14,980.0,6388.62,0.01,0.0,0.01,3194.31,490.0,490.0,3194.31,,,,0.16,,24510.0,,,,,24510.0,0.0,0.16,0.15,0.15,316266.0,2061738.05,2.07,0.15,,1.0,100.0,0.0031,6.519
2025-05-15,980.0,6502.3,0.01,0.0,0.01,3251.15,490.0,490.0,3251.15,,,,,,,,,,,,0.0,,0.15,0.15,316266.0,2098424.91,2.06,0.15,,1.0,100.0,0.0031,6.635
2025-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,490.0,,,,,490.0,0.0,0.0,0.0,0.0,316756.0,2121314.93,2.09,0.0,,0.0,,0.0,6.697
2025-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,316756.0,2133034.9,2.09,0.0,,0.0,,0.0,6.734
2025-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,316756.0,2145071.63,2.09,0.0,,0.0,,0.0,6.772
2025-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,316756.0,2133985.17,2.1,0.0,,0.0,,0.0,6.737
2025-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,316756.0,2120998.18,2.08,0.0,,0.0,,0.0,6.696
2025-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,316756.0,2113712.79,2.12,0.0,,0.0,,0.0,6.673
2025-05-26,39696.0,268067.09,0.39,0.06,0.27,0.0,39696.0,0.0,268067.09,,,,,,,,,,39696.0,,0.27,,12.53,12.53,277060.0,1870986.18,1.87,12.51,,0.0,,0.1253,6.753
2025-05-27,39696.0,271322.16,0.39,0.06,0.27,0.0,39696.0,0.0,271322.16,,,,,,,,,,,,0.27,,12.42,12.42,280037.0,1914052.9,1.9,12.48,,0.0,,0.1242,6.835
2025-05-28,39696.0,273545.14,0.4,0.06,0.27,0.0,39696.0,0.0,273545.14,,,,,,,,,,,,0.27,,12.42,12.42,280037.0,1929734.97,1.9,12.45,,0.0,,0.1242,6.891
2025-05-29,39696.0,272393.95,0.41,0.06,0.27,0.0,39696.0,0.0,272393.95,,,,,,,,,,,,0.27,,12.42,12.42,280037.0,1921613.89,1.93,12.33,,0.0,,0.1242,6.862
2025-05-30,39696.0,272790.91,0.41,0.06,0.27,0.0,39696.0,0.0,272790.91,,,,,,,,,,,,0.27,,12.42,12.42,280037.0,1924414.26,1.91,12.44,,0.0,,0.1242,6.872
2025-06-02,39696.0,273029.09,0.47,0.06,0.27,0.0,39696.0,0.0,273029.09,,,,,,,,,,,,0.27,,12.42,12.42,280037.0,1926094.49,1.94,12.32,,0.0,,0.1242,6.878
2025-06-03,39696.0,276681.12,0.47,0.06,0.27,0.0,39696.0,0.0,276681.12,,,,,,,,,,,,0.27,,12.42,12.42,280037.0,1951857.89,1.92,12.49,,0.0,,0.1242,6.97
2025-06-04,39696.0,278189.57,0.46,0.06,0.28,0.0,39696.0,0.0,278189.57,,,,,,,,,,,,0.28,,12.42,12.42,280037.0,1962499.3,1.95,12.37,,0.0,,0.1242,7.008
2025-06-05,39696.0,278189.57,0.47,0.06,0.28,0.0,39696.0,0.0,278189.57,,,,,,,,,,,,0.28,,12.42,12.42,280037.0,1962499.3,1.97,12.38,,0.0,,0.1242,7.008
2025-06-06,39696.0,277991.09,0.48,0.06,0.28,0.0,39696.0,0.0,277991.09,,,,,,,,,,,,0.28,,12.42,12.42,280037.0,1961099.11,1.96,12.47,,0.0,,0.1242,7.003
2025-06-09,81596.0,571335.19,0.99,0.11,0.57,0.0,81596.0,0.0,571335.19,41900.0,,,,,,,41900.0,,,,0.57,,25.52,25.52,238137.0,1667435.27,1.67,25.49,,0.0,,0.2552,7.002
2025-06-10,81596.0,559911.75,0.96,0.11,0.57,0.0,81596.0,0.0,559911.75,,,,,,,,,,,,0.57,,25.52,25.52,238137.0,1634096.09,1.65,25.52,,0.0,,0.2552,6.862
2025-06-11,81596.0,559503.77,0.96,0.11,0.56,0.0,81596.0,0.0,559503.77,,,,,,,,,,,,0.56,,25.52,25.52,238137.0,1632905.41,1.63,25.45,,0.0,,0.2552,6.857
2025-06-12,81596.0,556076.74,0.86,0.11,0.56,0.0,81596.0,0.0,556076.74,,,,,,,,,,,,0.56,,25.52,25.52,238137.0,1622903.66,1.64,25.42,,0.0,,0.2552,6.815
2025-06-13,81596.0,559585.37,0.86,0.11,0.56,0.0,81596.0,0.0,559585.37,,,,,,,,,,,,0.56,,25.52,25.52,238137.0,1633143.55,1.62,25.55,,0.0,,0.2552,6.858
2025-06-16,39696.0,272195.47,0.4,0.05,0.27,0.0,39696.0,0.0,272195.47,,,,0.29,,41900.0,,,,,,0.27,,12.42,12.42,280037.0,1920213.71,1.93,12.4,,0.0,,0.1242,6.857
2025-06-17,42192.0,289479.31,0.43,0.06,0.29,17125.06,39696.0,2496.0,272354.26,,,2496.0,,,,,,0.02,,,0.27,,12.42,12.42,280037.0,1921333.86,1.92,12.5,,1.0,100.0,0.132,6.861
2025-06-18,42192.0,290027.81,0.42,0.06,0.29,17157.5,39696.0,2496.0,272870.3,,,,,,,,,,,,0.27,,12.42,12.42,280037.0,1924974.34,1.91,12.42,,1.0,100.0,0.132,6.874
2025-06-19,41878.0,285942.98,0.42,0.06,0.29,14898.7,39696.0,2182.0,271044.29,,,,,,,,,,,314.0,0.27,0.0,12.42,12.42,280037.0,1912092.64,1.92,12.4,,1.0,100.0,0.131,6.828
2025-06-20,41878.0,288958.2,0.41,0.06,0.28,15055.8,39696.0,2182.0,273902.4,,,,,,,,,,,,0.27,,12.42,12.42,280037.0,1932255.3,1.9,12.39,,1.0,100.0,0.131,6.9
2025-06-23,41878.0,289879.52,0.41,0.06,0.29,15103.8,39696.0,2182.0,274775.71,,,,,,,,,,,,0.27,,12.42,12.42,280037.0,1938416.11,1.93,12.36,,1.0,100.0,0.131,6.922
2025-06-24,41878.0,286696.79,0.4,0.06,0.29,14937.97,39696.0,2182.0,271758.82,,,,,,,,,,,,0.27,,12.42,12.42,280037.0,1917133.3,1.93,12.38,,1.0,100.0,0.131,6.846
2025-06-25,41674.0,286592.1,0.42,0.06,0.28,13602.71,39696.0,1978.0,272989.39,,,,,,,,,,,204.0,0.27,0.0,100.0,12.42,0.0,0.0,0.0,100.0,,1.0,100.0,0.1303,6.877
2025-06-26,41674.0,291176.24,0.41,0.06,0.28,13820.29,39696.0,1978.0,277355.95,,,,,,,,,,,,0.27,,100.0,12.42,0.0,0.0,0.0,100.0,,1.0,100.0,0.1303,6.987
2025-06-27,45903.0,322652.19,0.46,0.06,0.32,13903.36,43925.0,1978.0,308748.83,4229.0,,,,,,,4229.0,,,,0.3,,13.74,13.74,275808.0,1938654.43,1.92,13.71,,1.0,100.0,0.1436,7.029
2025-06-30,267725.0,1892012.58,2.62,0.35,1.88,0.0,267725.0,0.0,1892012.58,223800.0,,,,,,,223800.0,,,1978.0,1.88,0.01,100.0,83.73,0.0,0.0,0.0,100.0,,0.0,100.0,0.8373,7.067
2025-07-01,43925.0,303214.28,0.43,0.06,0.31,0.0,43925.0,0.0,303214.28,,,,1.57,,223800.0,,,,,,0.31,,13.65,13.65,277908.0,1918398.92,1.97,13.63,,0.0,,0.1365,6.903
2025-07-02,43925.0,302423.63,0.41,0.06,0.3,0.0,43925.0,0.0,302423.63,,,,,,,,,,,,0.3,,13.65,13.65,277908.0,1913396.58,1.92,13.66,,0.0,,0.1365,6.885
2025-07-03,43925.0,306596.5,0.4,0.06,0.3,0.0,43925.0,0.0,306596.5,,,,,,,,,,,,0.3,,13.65,13.65,277908.0,1939797.84,1.91,13.69,,0.0,,0.1365,6.98
2025-07-04,46919.0,326556.24,0.43,0.06,0.33,0.0,46919.0,0.0,326556.24,2994.0,,,,,,,2994.0,,,,0.33,,14.58,14.58,274914.0,1913401.44,1.93,14.55,,0.0,,0.1458,6.96
2025-07-07,39696.0,280055.28,0.36,0.05,0.28,0.0,39696.0,0.0,280055.28,,,,0.05,,7223.0,,,,,,0.28,,100.0,12.33,0.0,0.0,0.0,100.0,,0.0,,0.1233,7.055
2025-07-08,39696.0,278983.49,0.34,0.05,0.28,0.0,39696.0,0.0,278983.49,,,,,,,,,,,,0.28,,100.0,12.33,0.0,0.0,0.0,100.0,,0.0,,0.1233,7.028
2025-07-09,39696.0,282992.78,0.34,0.05,0.28,0.0,39696.0,0.0,282992.78,,,,,,,,,,,,0.28,,100.0,12.33,0.0,0.0,0.0,100.0,,0.0,,0.1233,7.129
2025-07-10,39696.0,282516.43,0.32,0.05,0.28,0.0,39696.0,0.0,282516.43,,,,,,,,,,,,0.28,,100.0,12.33,0.0,0.0,0.0,100.0,,0.0,,0.1233,7.117
2025-07-11,52683.0,376841.5,0.42,0.07,0.38,92896.01,39696.0,12987.0,283945.49,,,12987.0,,,,,,0.09,,,0.28,,100.0,12.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.1637,7.153
2025-07-14,52683.0,381899.07,0.4,0.07,0.38,94142.76,39696.0,12987.0,287756.3,,,,,,,,,,,,0.29,,100.0,12.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.1637,7.249
2025-07-15,77683.0,564600.04,0.55,0.1,0.56,94389.52,64696.0,12987.0,470210.53,25000.0,,,,,,,25000.0,,,,0.47,,19.27,19.27,271082.0,1970223.98,1.96,19.33,,1.0,100.0,0.2314,7.268
2025-07-16,337683.0,2429629.19,2.38,0.41,2.46,93441.47,324696.0,12987.0,2336187.72,260000.0,,,,,,,260000.0,,,,2.36,,100.0,96.7,0.0,0.0,0.0,100.0,,1.0,100.0,1.0057,7.195
2025-07-17,312683.0,2302284.93,2.22,0.38,2.25,95623.28,299696.0,12987.0,2206661.65,,,,0.21,,25000.0,,,,,,2.15,,100.0,89.25,0.0,0.0,0.0,100.0,,1.0,100.0,0.9312,7.363
2025-07-18,76083.0,561036.04,0.52,0.09,0.55,95766.14,63096.0,12987.0,465269.9,,,,1.68,,236600.0,,,,,,0.46,,18.79,18.79,272682.0,2010757.07,2.0,18.76,,1.0,100.0,0.2266,7.374
2025-07-21,76083.0,557764.47,0.49,0.09,0.56,95207.7,63096.0,12987.0,462556.78,,,,,,,,,,,,0.46,,18.79,18.79,272682.0,1999031.74,2.01,18.72,,1.0,100.0,0.2266,7.331
2025-07-22,336083.0,2402993.45,2.23,0.4,2.46,92857.05,323096.0,12987.0,2310136.4,260000.0,,,,,,,260000.0,,,,2.36,,64.84,64.84,175232.0,1252908.8,1.28,64.83,,1.0,100.0,0.6744,7.15
2025-07-23,312683.0,2262886.87,2.01,0.37,2.24,93986.92,299696.0,12987.0,2168899.95,,,,0.22,,23400.0,,,,,,2.15,,60.14,60.14,198632.0,1437499.78,1.42,60.16,,1.0,100.0,0.6275,7.237
2025-07-24,52683.0,383058.09,0.36,0.06,0.38,94428.48,39696.0,12987.0,288629.62,,,,1.86,,260000.0,,,,,,0.29,,100.0,7.97,0.0,0.0,0.0,100.0,,1.0,100.0,0.1057,7.271
2025-07-25,52683.0,382847.36,0.35,0.06,0.39,94376.53,39696.0,12987.0,288470.83,,,,,,,,,,,,0.29,,100.0,7.97,0.0,0.0,0.0,100.0,,1.0,100.0,0.1057,7.267
2025-07-28,52683.0,383532.24,0.36,0.06,0.39,94545.36,39696.0,12987.0,288986.88,,,,,,,,,,,,0.29,,100.0,7.97,0.0,0.0,0.0,100.0,,1.0,100.0,0.1057,7.28
2025-07-29,52683.0,388537.13,0.36,0.06,0.39,95779.13,39696.0,12987.0,292758.0,,,,,,,,,,,,0.29,,100.0,7.96,0.0,0.0,0.0,100.0,,1.0,100.0,0.1057,7.375
2025-07-30,52683.0,389485.42,0.35,0.06,0.39,96012.89,39696.0,12987.0,293472.53,,,,,,,,,,,,0.3,,100.0,7.61,0.0,0.0,0.0,100.0,,1.0,100.0,0.101,7.393
2025-07-31,52683.0,391434.69,0.34,0.06,0.38,96493.41,39696.0,12987.0,294941.28,,,,,,,,,,,,0.29,,100.0,7.61,0.0,0.0,0.0,100.0,,1.0,100.0,0.101,7.43
2025-08-01,52683.0,383321.51,0.33,0.06,0.39,94493.41,39696.0,12987.0,288828.1,,,,,,,,,,,,0.29,,100.0,7.61,0.0,0.0,0.0,100.0,,1.0,100.0,0.101,7.276
2025-08-04,52683.0,389222.0,0.3,0.06,0.38,95947.96,39696.0,12987.0,293274.05,,,,,,,,,,,,0.29,,100.0,7.61,0.0,0.0,0.0,100.0,,1.0,100.0,0.101,7.388
2025-08-05,52683.0,387957.61,0.3,0.06,0.39,95636.27,39696.0,12987.0,292321.34,,,,,,,,,,,,0.29,,100.0,7.61,0.0,0.0,0.0,100.0,,1.0,100.0,0.101,7.364
2025-08-06,52683.0,390486.4,0.3,0.06,0.39,96259.64,39696.0,12987.0,294226.75,,,,,,,,,,,,0.29,,100.0,7.61,0.0,0.0,0.0,100.0,,1.0,100.0,0.101,7.412
2025-08-07,52683.0,384375.17,0.3,0.06,0.39,94753.15,39696.0,12987.0,289622.02,,,,,,,,,,,,0.29,,100.0,7.61,0.0,0.0,0.0,100.0,,1.0,100.0,0.101,7.296
2025-08-08,79594.0,581434.17,0.42,0.09,0.58,291454.89,39696.0,39898.0,289979.28,,0.2,,,26911.0,,0.2,,,,,0.29,,100.0,7.61,0.0,0.0,0.0,100.0,,1.0,100.0,0.1526,7.305
2025-08-11,79594.0,579444.32,0.42,0.09,0.58,290457.44,39696.0,39898.0,288986.88,,,,,,,,,,,,0.29,,100.0,7.61,0.0,0.0,0.0,100.0,,1.0,100.0,0.1526,7.28
2025-08-12,79594.0,582389.3,0.41,0.09,0.58,291933.67,39696.0,39898.0,290455.63,,,,,,,,,,,,0.29,,100.0,7.61,0.0,0.0,0.0,100.0,,1.0,100.0,0.1526,7.317
2025-08-13,56541.0,407717.15,0.3,0.06,0.41,121469.3,39696.0,16845.0,286247.86,,,,,,,,,,,23053.0,0.29,0.17,100.0,7.61,0.0,0.0,0.0,100.0,,1.0,100.0,0.1084,7.211
2025-08-14,43554.0,319817.02,0.24,0.05,0.31,28329.29,39696.0,3858.0,291487.73,,,,,,,,,,,12987.0,0.29,0.09,100.0,7.61,0.0,0.0,0.0,100.0,,1.0,100.0,0.0835,7.343
2025-08-15,43554.0,316768.24,0.23,0.05,0.32,28059.23,39696.0,3858.0,288709.01,,,,,,,,,,,,0.29,,100.0,7.61,0.0,0.0,0.0,100.0,,1.0,100.0,0.0835,7.273
2025-08-18,43554.0,318684.62,0.23,0.05,0.32,28228.99,39696.0,3858.0,290455.63,,,,,,,,,,,,0.29,,100.0,7.76,0.0,0.0,0.0,100.0,,1.0,100.0,0.0851,7.317
2025-08-19,43554.0,314721.2,0.24,0.05,0.32,27877.91,39696.0,3858.0,286843.3,,,,,,,,,,,,0.29,,100.0,7.76,0.0,0.0,0.0,100.0,,1.0,100.0,0.0851,7.226
2025-08-20,278454.0,1999578.17,1.55,0.3,2.02,27704.3,274596.0,3858.0,1971873.88,234900.0,,,,,,,234900.0,,,,1.99,,53.68,53.68,236918.0,1701308.16,1.72,53.71,,1.0,100.0,0.5444,7.181
2025-08-21,43554.0,317290.89,0.24,0.05,0.31,28105.53,39696.0,3858.0,289185.36,,,,1.69,,234900.0,,,,,,0.28,,100.0,7.76,0.0,0.0,0.0,100.0,,1.0,100.0,0.0851,7.285
2025-08-22,43554.0,316855.35,0.24,0.05,0.32,28066.95,39696.0,3858.0,288788.4,,,,,,,,,,,,0.29,,100.0,7.76,0.0,0.0,0.0,100.0,,1.0,100.0,0.0851,7.275
2025-08-25,43804.0,318980.73,0.25,0.05,0.32,29914.46,39696.0,4108.0,289066.27,,0.0,,,250.0,,0.0,,,,,0.29,,100.0,7.76,0.0,0.0,0.0,100.0,,1.0,100.0,0.0856,7.282
2025-08-26,43804.0,321827.99,0.26,0.05,0.32,30181.48,39696.0,4108.0,291646.51,,,,,,,,,,,,0.29,,100.0,7.76,0.0,0.0,0.0,100.0,,1.0,100.0,0.0856,7.347
2025-08-27,43804.0,323536.34,0.23,0.05,0.32,30341.69,39696.0,4108.0,293194.66,,,,,,,,,,,,0.29,,100.0,7.76,0.0,0.0,0.0,100.0,,1.0,100.0,0.0856,7.386
2025-08-28,94504.0,696210.97,0.51,0.1,0.7,30263.64,90396.0,4108.0,665947.33,50700.0,,,,,,,50700.0,,,,0.67,,17.67,17.67,421118.0,3102376.31,3.1,17.65,,1.0,100.0,0.1848,7.367
2025-08-29,94504.0,693281.34,0.52,0.1,0.7,30136.29,90396.0,4108.0,663145.06,,,,,,,,,,,,0.67,,17.67,17.67,421118.0,3089321.65,3.1,17.67,,1.0,100.0,0.1848,7.336
