,URW FP Equity_DX_SI_QTY,URW FP Equity_DX_SHORT_INTEREST_VALUE,URW FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,URW FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,URW FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,URW FP Equity_DX_SI_MV,URW FP Equity_DX_DSS,URW FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,URW FP Equity_DX_SUPPLY_SI_QTY,URW FP Equity_DX_BROKER_SI_QTY,URW FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,URW FP Equity_DX_BROKER_SI_MV_NEW_x,URW FP Equity_DX_SUPPLY_SI_QTY_NEW_x,URW FP Equity_DX_SUPPLY_SI_QTY_INC_x,URW FP Equity_DX_BROKER_SI_MV_INC_x,URW FP Equity_DX_SUPPLY_SI_MV_NEW,URW FP Equity_DX_BROKER_SI_QTY_ADD,URW FP Equity_DX_BROKER_SI_QTY_NEW,URW FP Equity_DX_SUPPLY_SI_MV_DEC,URW FP Equity_DX_BROKER_SI_QTY_INC,URW FP Equity_DX_SUPPLY_SI_QTY_DEC,URW FP Equity_DX_BROKER_SI_MV_NEW_y,URW FP Equity_DX_SUPPLY_SI_QTY_NEW_y,URW FP Equity_DX_BROKER_SI_MV_INC_y,URW FP Equity_DX_SUPPLY_SI_QTY_INC_y,URW FP Equity_DX_BROKER_SI_MV_ADD,URW FP Equity_DX_SUPPLY_SI_QTY_ADD,URW FP Equity_DX_BROKER_SI_QTY_DEC,URW FP Equity_DX_SUPPLY_SI_MV,URW FP Equity_DX_BROKER_SI_MV_DEC,URW FP Equity_DX_SUPPLY_SI_MV_RMV,URW FP Equity_DX_BROKER_SI_MV_RMV,URW FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,URW FP Equity_DX_UTILIZATION_QUANTITY,URW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,URW FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,URW FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,URW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,URW FP Equity_DX_ACTIVE_UTILIZATION_MV,URW FP Equity_DX_BROKER_SI_MARKET_SHARE_2,URW FP Equity_DX_BROKER_SI_CON_RATIO,URW FP Equity_DX_BROKER_SI_MARKET_SHARE_1,URW FP Equity_DX_DEMAND_SUPPLY_RATIO,URW FP Equity_PX_LAST
2013-01-24,1270849.0,174057075.42,1.34,4.4,1.34,221.24,1.0,90984732.07,740202.0,664310.0,101378995.73,,,,0.32,,4429.0,,3.4,2000.0,19243.0,,,0.32,,0.77,,28567.0,129.06,5.0,,,2.73,2.73,26394786.0,3615063046.4,,4609.25,2.72,15.13,0.1069,19.39,0.0468,174.9
2013-01-25,972978.0,133146000.67,1.03,3.37,1.03,169.23,1.0,88526439.62,459525.0,646916.0,62883144.28,,,,,,,,48.82,,280677.0,,,,,,,17394.0,80.15,3.05,,,1.7,1.7,26575740.0,3636725081.12,,4639.45,1.7,14.79,0.1097,19.7,0.036,174.75
2013-01-28,1019213.0,137956529.13,1.08,3.54,1.07,177.46,1.0,93865280.62,454777.0,693470.0,61556766.3,,,,8.81,,,,0.8,50454.0,4748.0,,,8.81,,,,3900.0,79.31,0.73,,,1.69,1.69,26531312.0,3591170556.83,,4628.18,1.68,14.19,0.1095,18.77,0.0378,172.85
2013-01-29,990213.0,134922939.07,1.05,3.44,1.04,170.66,1.0,90706075.82,448647.0,665701.0,61131061.54,,,14069.0,0.18,,,,3.59,1100.0,20199.0,,,0.18,14069.0,,,28869.0,77.56,5.42,,,1.68,1.68,26199148.0,3569803718.18,,4532.17,1.68,14.53,0.1069,19.28,0.0372,174.0
2013-01-30,924392.0,127076408.81,0.98,3.21,0.97,160.01,1.0,89659478.44,386317.0,652210.0,53107098.53,,,5310.0,0.89,,,,11.93,4738.0,69236.0,,,0.89,5310.0,,1596.0,18229.0,67.17,3.17,,,1.45,1.45,26339320.0,3620873175.15,,4582.93,1.44,15.53,0.1184,20.67,0.0346,175.55
2013-01-31,883934.0,120476346.19,0.94,3.1,0.93,154.31,0.0,83781608.56,382009.0,614705.0,52066159.39,,,,0.3,,,,0.7,5.0,4308.0,,,0.3,,,,37510.0,66.9,6.18,,,1.43,1.43,26354876.0,3592054570.56,,4612.41,1.43,16.29,0.1235,21.58,0.0331,174.05
2013-02-01,1055937.0,142844651.85,1.12,3.67,1.11,183.74,1.0,90313373.09,500887.0,667615.0,67758804.86,,,,21.64,,,,0.07,119000.0,122.0,,,21.64,,,119000.0,66090.0,86.75,11.8,,,1.88,1.88,26183500.0,3542041752.22,,4542.34,1.87,13.56,0.1106,17.95,0.0396,172.75
2013-02-04,1163045.0,155330293.68,1.23,4.03,1.23,202.53,1.0,97093837.46,548614.0,726996.0,73270057.25,,,18769.0,11.15,,,,0.85,64719.0,4654.0,,,11.15,18769.0,,33612.0,5338.0,95.2,0.93,,,2.02,2.02,26596234.0,3552055886.05,,4601.59,2.03,15.7,0.1078,16.18,0.0428,170.55
2013-02-05,1166547.0,158173111.55,1.23,3.95,1.23,199.6,1.0,98574013.22,552116.0,726996.0,74861883.54,,,3455.0,,,,,,,,,,,3455.0,,47.0,,94.22,,,,2.04,2.04,26573700.0,3603150849.84,,4541.13,2.03,15.67,0.1069,16.22,0.043,173.15
2013-02-06,1173817.0,156860866.1,1.24,3.95,1.24,203.93,1.0,98280902.86,551029.0,735453.0,73635742.36,,,1078.0,2.16,,442.0,,2.94,9108.0,20148.0,,,2.16,1078.0,0.08,7573.0,1093.0,95.34,0.19,,,2.07,2.07,26112668.0,3489518143.52,,4509.74,2.07,16.26,0.11,16.44,0.044,170.65
2013-02-07,1183807.0,157686000.62,1.25,4.1,1.25,203.74,1.0,99296170.93,551019.0,745453.0,73397084.47,,,16071.0,1.7,,,,9.37,10000.0,53663.0,,,1.7,16071.0,,,,94.48,,,,2.08,2.08,25912664.0,3451630503.62,,4435.07,2.09,16.56,0.1141,16.77,0.0447,170.1
2013-02-08,1122713.0,151350444.05,1.19,3.82,1.18,193.48,1.0,98556213.47,455652.0,731087.0,61425433.33,,,112.0,0.83,,,,17.09,5834.0,99699.0,,,0.83,112.0,,4220.0,20200.0,77.8,2.23,,,1.72,1.72,26043926.0,3510923775.73,,4440.25,1.72,16.37,0.1198,18.12,0.0424,172.15
2013-02-11,1171713.0,156946721.47,1.24,3.98,1.23,201.7,1.0,104489834.21,455552.0,780087.0,61019543.91,,,,7.65,,,,0.02,49100.0,100.0,,,7.65,,,,100.0,77.79,0.02,,,1.73,1.73,25944122.0,3475121372.91,,4457.54,1.72,16.88,0.1206,17.54,0.0444,171.05
2013-02-12,1158631.0,157190504.75,1.23,3.94,1.22,198.7,1.0,102260364.67,475549.0,753748.0,64517337.57,,,193.0,,,,,,,,,,,193.0,,19804.0,26339.0,81.23,4.65,,,1.81,1.81,25870576.0,3509839543.05,,4429.69,1.8,15.58,0.1169,17.03,0.044,173.25
2013-02-13,1117551.0,152886161.68,1.18,3.77,1.18,194.19,1.0,97701769.4,474047.0,714170.0,64851828.94,,,,,,,,0.26,,1502.0,,,,,,,39578.0,82.11,6.38,,,1.81,1.81,25646244.0,3508525165.1,,4450.24,1.81,13.85,0.1188,17.67,0.0428,174.7
2013-02-14,1130950.0,153700734.88,1.2,3.85,1.19,198.28,1.0,96863740.2,488880.0,712736.0,66440793.38,,,15000.0,1.74,,,,0.03,8566.0,167.0,,,1.74,15000.0,,,10000.0,85.36,1.7,,,1.85,1.85,25990698.0,3532242258.83,,4541.66,1.84,14.47,0.119,17.44,0.0427,173.55
2013-02-15,1191601.0,161056987.46,1.26,4.09,1.26,207.09,1.0,96021700.67,551838.0,710429.0,74586514.99,,,1400.0,0.0,,,,1.22,626.0,7019.0,,,0.0,1400.0,,68577.0,1433.0,95.42,0.24,,0.26,2.11,2.11,25548350.0,3453119194.64,,4426.08,2.11,16.21,0.1223,16.58,0.0457,172.6
2013-02-18,1190686.0,164150117.41,1.26,4.06,1.25,206.71,1.0,97939229.83,550936.0,710416.0,75953029.67,,,,,,,,1.9,,11760.0,,,,,,10858.0,13.0,95.44,0.0,,,2.12,2.12,25485696.0,3513503972.23,,4414.03,2.12,16.18,0.1216,16.57,0.0457,176.05
2013-02-19,1203837.0,166858707.3,1.27,4.13,1.27,212.02,1.0,99659045.2,555492.0,719011.0,76994374.68,,,8700.0,2.23,,,,1.02,9813.0,7906.0,,,2.23,8700.0,,3762.0,1218.0,97.66,0.21,,,2.13,2.13,25497660.0,3534121801.17,,4488.27,2.13,16.16,0.1232,16.55,0.0462,177.0
2013-02-20,1218843.0,166647931.68,1.29,4.18,1.28,216.62,1.0,100480590.97,560755.0,734903.0,76669973.84,,,12.0,1.51,,9300.0,,0.19,6592.0,1098.0,,,1.51,12.0,1.65,6349.0,,99.5,,,,2.16,2.16,25361324.0,3467560784.48,,4485.12,2.17,16.03,0.122,16.28,0.047,174.6
2013-02-21,1229719.0,165005307.21,1.3,4.3,1.3,216.3,1.0,98703637.97,569728.0,735599.0,76446849.78,,,2680.0,0.0,,,,0.26,1438.0,1407.0,,,0.0,2680.0,,7700.0,742.0,99.88,0.32,,,2.19,2.19,25449132.0,3414797887.95,,4445.56,2.2,16.06,0.1218,16.18,0.0473,171.35
2013-02-22,1331972.0,180968295.38,1.41,4.6,1.4,230.11,1.0,112853358.94,577683.0,830629.0,78486865.92,,,8723.0,15.55,,,,1.02,95655.0,3415.0,,,15.55,8723.0,,2647.0,625.0,99.68,0.11,,,2.22,2.22,25501396.0,3464745628.16,,4401.56,2.21,14.88,0.1222,16.84,0.0511,173.5
2013-02-25,1383329.0,189029172.82,1.46,4.83,1.46,241.59,1.0,116989701.64,603530.0,856139.0,82471181.24,,,40000.0,4.93,,,,2.4,25510.0,14153.0,,,4.93,40000.0,,,,105.4,,,,2.3,2.3,25651132.0,3505176471.94,,4465.12,2.31,15.75,0.1208,16.09,0.0527,174.5
2013-02-26,1507714.0,203605772.78,1.6,5.24,1.59,263.7,1.0,118269183.24,707873.0,875791.0,95593082.77,,,2860.0,3.56,,,,1.64,20000.0,9490.0,,,3.56,2860.0,,110973.0,348.0,123.63,0.06,,,2.66,2.66,25908916.0,3498810028.97,,4524.59,2.66,16.06,0.1302,20.51,0.0566,172.45
2013-02-27,1509851.0,205726984.47,1.65,5.23,1.59,260.81,1.0,135488130.95,702413.0,994361.0,95708323.76,,,84193.0,20.46,,,,15.7,122270.0,89653.0,,,20.46,84193.0,,,3700.0,121.08,0.67,,,2.65,2.65,25813396.0,3517242508.02,,4452.35,2.65,16.11,0.1322,21.17,0.0569,174.0
2013-02-28,1373695.0,190186856.04,1.5,4.76,1.45,240.05,1.0,136102540.24,525457.0,983051.0,72749056.24,,,,,,,,30.57,,176956.0,,,,,,,11310.0,91.85,1.38,,,2.25,2.25,22849344.0,3163471438.67,,3983.59,2.25,17.08,0.1463,22.63,0.0588,176.8
2013-03-01,1334167.0,183878428.41,1.46,4.59,1.41,232.93,1.0,130551400.45,517573.0,947242.0,71333281.24,,,,1.7,,6000.0,,1.79,10287.0,10296.0,,,1.7,,1.04,2412.0,52096.0,90.5,9.06,,,2.12,2.12,23874668.0,3290469956.7,,4176.37,2.12,17.57,0.1398,19.43,0.0547,176.0
2013-03-04,1354754.0,185973163.67,1.48,4.54,1.43,236.67,1.0,132691855.16,520360.0,966617.0,71432153.33,,,,3.38,,1975.0,,0.15,17400.0,837.0,,,3.38,,0.36,3624.0,,90.65,,,,2.13,2.13,23869624.0,3276690447.76,,4092.86,2.17,18.72,0.1406,19.13,0.0555,175.3
2013-03-05,1348877.0,188969020.12,1.47,4.38,1.42,235.46,1.0,134408170.93,473237.0,959417.0,66297469.8,,,3873.0,5.66,,,,10.99,32500.0,62697.0,,,5.66,3873.0,,13313.0,39700.0,82.61,6.84,0.28,,1.98,1.98,23402040.0,3278475774.77,1612.0,4014.53,2.02,16.49,0.134,19.22,0.0565,178.9
2013-03-06,1301475.0,183245550.73,1.42,4.13,1.37,228.5,1.0,128629865.35,464464.0,913575.0,65395771.32,,847.0,2522.0,1.79,0.15,4989.0,,2.12,9817.0,12202.0,,847.0,1.79,2522.0,0.87,60.0,60648.0,81.65,10.57,,,1.98,1.98,22935796.0,3229322552.84,,4048.69,1.98,16.45,0.1277,17.02,0.0556,179.8
2013-03-07,1362428.0,195828487.83,1.49,4.27,1.44,238.11,1.0,139376595.62,489708.0,969678.0,70388143.17,,2.0,4908.0,6.23,0.0,20394.0,,0.01,35778.0,60.0,,2.0,6.23,4908.0,3.58,20394.0,69.0,85.7,0.01,,,2.03,2.03,23683880.0,3404200740.43,,4169.4,2.01,15.74,0.1181,16.41,0.0564,183.55
2013-03-08,1421712.0,206576306.83,1.55,4.41,1.5,250.97,1.0,149364582.86,530878.0,1027966.0,77137153.39,,28174.0,998.0,10.64,5.23,,,,58288.0,,,28174.0,10.64,998.0,,12000.0,,94.71,,0.0,,2.14,2.14,24251374.0,3523751136.91,2.0,4334.33,2.14,15.1,0.1111,15.65,0.0574,185.55
2013-03-11,1457378.0,208734307.69,1.59,4.49,1.54,261.4,1.0,152868750.38,517010.0,1067326.0,74049233.91,,,4111.0,11.35,,,,1.42,59657.0,7855.0,,,11.35,4111.0,,18050.0,20297.0,91.09,1.3,5.23,,2.09,2.09,24186112.0,3464078189.72,28174.0,4321.28,2.06,15.28,0.1144,17.78,0.059,182.9
2013-03-12,1696316.0,240764634.63,1.85,5.22,1.79,303.06,1.0,175815286.1,555768.0,1238713.0,78882283.41,,,34239.0,42.69,,,,9.88,233527.0,56510.0,,,42.69,34239.0,,61029.0,62140.0,97.95,11.04,,,2.25,2.25,24134878.0,3425555782.95,,4289.14,2.23,19.71,0.1342,20.87,0.0687,181.25
2013-03-13,1787286.0,254166213.36,1.95,5.57,1.88,320.25,1.0,186440263.26,593411.0,1311040.0,84387740.31,,,23579.0,13.04,,,,4.76,72455.0,27247.0,,,13.04,23579.0,,41311.0,128.0,105.09,0.02,,,2.39,2.39,24199944.0,3441423549.41,,4293.08,2.39,18.55,0.1256,19.6,0.0721,181.6
2013-03-14,1850605.0,267300832.79,2.02,5.82,1.95,331.05,1.0,198851147.38,624347.0,1376707.0,90180493.97,,,68.0,7.0,,30231.0,,6.65,38289.0,37363.0,,,7.0,68.0,5.27,68231.0,2853.0,110.57,0.52,,,2.56,2.56,23799388.0,3437576485.64,,4223.2,2.55,17.92,0.1182,19.0,0.0758,184.45
2013-03-15,1881182.0,271496397.21,2.05,5.87,1.98,336.49,1.0,210166806.3,831604.0,1456233.0,120018950.8,,,789.0,15.25,,,,15.62,94526.0,87823.0,,,15.25,789.0,,294291.0,15000.0,147.68,2.34,,,3.4,3.4,23611168.0,3407616618.69,,4222.28,3.38,16.93,0.1195,18.98,0.077,184.3
2013-03-18,1575790.0,228593816.14,1.72,4.66,1.66,286.14,1.0,187820358.56,687723.0,1294722.0,99765339.94,,,2155.0,3.61,,,,25.25,19672.0,146036.0,,,3.61,2155.0,,,181183.0,124.24,33.03,,,2.87,2.87,23311032.0,3381642073.54,,4145.04,2.91,18.12,0.124,19.49,0.0657,185.25
2013-03-19,1589046.0,228276973.78,1.73,4.73,1.67,292.63,1.0,189569416.41,743188.0,1319601.0,106763874.42,,,22993.0,14.02,,3722.0,,3.05,74492.0,16928.0,,,14.02,22993.0,0.68,49400.0,53335.0,137.84,9.63,,,3.05,3.05,23627066.0,3394184388.44,,4324.38,3.09,17.76,0.1371,23.5,0.0652,183.45
2013-03-20,1518464.0,219623756.99,1.66,4.51,1.6,276.75,1.0,181739532.51,701559.0,1256535.0,101470316.93,,3410.0,2191.0,0.44,0.63,,,9.48,2400.0,51435.0,,3410.0,0.44,2191.0,,4205.0,65466.0,128.49,13.14,,,2.81,2.81,24301688.0,3514886108.49,,4408.44,2.83,18.73,0.1479,24.53,0.0607,184.7
2013-03-21,1470559.0,209125127.45,1.6,4.37,1.55,268.71,1.0,173051103.76,693301.0,1216888.0,98592888.82,,,,0.09,,,,4.03,518.0,21844.0,,,0.09,,,13586.0,40165.0,126.09,7.18,,,2.76,2.76,24470508.0,3479899891.39,,4462.61,2.75,19.6,0.1566,25.45,0.0584,181.6
2013-03-22,1231231.0,175862116.94,1.34,3.65,1.3,221.35,1.0,136854761.84,712151.0,958136.0,101719646.8,,,14780.0,0.59,,,,1.75,3760.0,2999.0,,,0.59,14780.0,,7069.0,262512.0,127.63,49.55,,,2.84,2.84,24369876.0,3480856137.49,,4387.54,2.83,17.88,0.1711,30.08,0.0491,182.4
2013-03-25,1227178.0,175859798.7,1.34,3.64,1.29,222.52,1.0,137229134.04,708627.0,957607.0,101549246.79,,,11103.0,0.46,,,,3.34,2396.0,19265.0,,,0.46,11103.0,,4638.0,2925.0,128.94,0.49,,,2.86,2.86,24080756.0,3450874203.1,,4373.35,2.86,17.77,0.1722,30.2,0.0495,183.0
2013-03-26,1405970.0,201371349.49,1.53,4.12,1.48,254.37,1.0,150618814.37,794232.0,1051617.0,113754610.45,,,8982.0,16.55,,4600.0,,0.32,90456.0,1700.0,,,16.55,8982.0,0.48,78323.0,1046.0,143.91,0.19,,,3.15,3.15,24410692.0,3496243867.28,,4430.93,3.15,15.56,0.1445,26.41,0.0558,182.9
2013-03-27,1450794.0,206143974.17,1.58,4.25,1.53,263.16,1.0,150315214.96,848793.0,1057884.0,120605380.41,,,52615.0,2.87,,,,0.18,16078.0,1054.0,,,2.87,52615.0,,3000.0,9811.0,154.05,1.75,,,3.48,3.48,23526036.0,3342825072.04,,4268.55,3.48,17.14,0.1434,25.57,0.0595,181.45
2013-03-28,1371263.0,195111831.75,1.5,3.99,1.45,246.92,1.0,149598595.61,784564.0,1051392.0,111632647.54,,,3594.0,,,,,14.64,,80015.0,,,,3594.0,,12192.0,6492.0,140.8,1.23,,,3.23,3.23,23522192.0,3346883834.84,,4235.35,3.22,18.2,0.15,26.96,0.0564,181.7
2013-03-29,1371263.0,195111831.75,1.5,3.92,1.45,247.44,1.0,149598595.61,784564.0,1051392.0,111632647.54,,,,,,,,,,,,,,,,,,141.35,,,,3.23,3.23,23509416.0,3345065986.06,,4241.99,3.22,18.26,0.15,26.94,0.0564,
2013-04-01,1369446.0,194853297.69,1.49,3.91,1.44,246.88,1.0,149335508.39,784596.0,1049543.0,111637200.7,,,,,,,,,,,,,,,,32.0,1849.0,141.11,0.34,,,3.16,3.16,24021794.0,3417970315.96,,4331.57,3.15,18.31,0.1505,26.98,0.0552,
2013-04-02,1444654.0,211437038.31,1.58,4.13,1.52,261.74,1.0,160792837.74,805873.0,1098625.0,117946165.92,,,21918.0,9.66,,,,4.61,49782.0,25641.0,,,9.66,21918.0,,25000.0,700.0,146.01,0.13,,,3.32,3.32,23483868.0,3437057937.79,,4258.38,3.32,17.33,0.1468,27.56,0.0595,186.9
2013-04-03,1465436.0,214593411.4,1.6,4.16,1.54,268.74,1.0,161941998.67,822381.0,1105885.0,120426647.26,,,13522.0,3.02,,15174.0,,0.0,15100.0,14.0,,,3.02,13522.0,2.77,3000.0,23014.0,151.32,2.36,,,3.43,3.43,23184104.0,3395000510.18,,4283.39,3.41,16.33,0.141,27.42,0.061,187.0
2013-04-04,1550004.0,225399341.9,1.69,4.29,1.63,281.98,1.0,173355204.42,820274.0,1192112.0,119283059.77,,,100.0,,,107000.0,,0.65,,2207.0,,,,100.0,17.69,,20773.0,150.18,3.67,,,3.4,3.4,23299326.0,3388154319.1,,4294.77,3.38,14.79,0.1288,26.07,0.0643,185.7
2013-04-05,1593801.0,228336021.58,1.74,4.33,1.68,288.83,1.0,177080791.62,804019.0,1236036.0,115187843.23,,,2847.0,14.85,,,,3.58,81500.0,19102.0,,,14.85,2847.0,,,37576.0,146.0,7.27,,,3.4,3.4,22858572.0,3274835057.5,,4184.95,3.37,14.39,0.1178,23.9,0.0674,182.95
2013-04-08,1574673.0,226705437.22,1.72,4.23,1.66,284.0,1.0,173180757.91,777796.0,1202896.0,111979174.24,,,17269.0,0.69,,,,7.94,4253.0,43492.0,,,0.69,17269.0,,,37393.0,141.25,7.2,,,2.98,2.98,25349464.0,3649558555.52,,4613.91,2.97,14.57,0.1197,23.97,0.0603,183.85
2013-04-09,1646279.0,234500654.1,1.8,4.48,1.73,299.78,1.0,180810244.67,953107.0,1269353.0,135763266.69,,,79402.0,15.12,,,,,82250.0,,,,15.12,79402.0,,95909.0,15793.0,175.29,2.87,,,3.67,3.67,25051844.0,3568455774.78,,4558.09,3.7,13.76,0.112,22.79,0.0633,181.9
2013-04-10,1554315.0,224748225.39,1.7,4.2,1.64,282.03,1.0,171555578.04,939553.0,1186445.0,135855903.99,,,,,,,,2.74,,13794.0,,,,,,240.0,82908.0,172.12,14.77,,,3.96,3.96,22781004.0,3294049289.64,,4140.4,3.99,11.95,0.1138,24.01,0.0655,184.65
2013-04-11,1318725.0,193419358.21,1.44,3.54,1.39,242.05,1.0,146848960.65,889198.0,1001210.0,130419993.92,,,,,,,,9.01,,50355.0,,,,,,,185235.0,165.36,33.56,,,3.63,3.63,23574866.0,3457760679.11,,4332.96,3.68,14.03,0.1416,28.39,0.0539,187.3
2013-04-12,1363619.0,203207509.49,1.49,3.68,1.44,253.32,1.0,155191686.58,893067.0,1041410.0,133085503.27,,,4109.0,10.24,,,,,52425.0,,,,10.24,4109.0,,,12225.0,168.6,2.18,0.05,,3.44,3.44,25038488.0,3731253955.78,240.0,4662.83,3.49,15.33,0.1376,27.53,0.0526,190.3
2013-04-15,1252231.0,182833073.35,1.37,3.32,1.32,235.96,1.0,137108269.85,1004809.0,939060.0,146708009.62,,,115187.0,4.68,,,,2.63,18100.0,14772.0,,,4.68,115187.0,,11327.0,120450.0,191.31,21.78,,,3.86,3.86,25054044.0,3658037426.26,,4711.83,3.9,16.61,0.1618,31.55,0.0481,186.45
2013-04-16,1446504.0,211651164.43,1.58,3.84,1.52,268.38,1.0,163082733.74,1023573.0,1114569.0,149768280.86,,,18764.0,32.58,,,,0.13,175509.0,603.0,,,32.58,18764.0,,603.0,,191.09,,,,3.84,3.84,25622076.0,3748999118.3,,4732.47,3.88,17.88,0.1492,27.11,0.0543,186.85
2013-04-17,1614192.0,231383744.42,1.76,4.37,1.7,301.54,1.0,185099168.98,1014531.0,1291299.0,145426307.16,,249.0,387.0,35.3,0.05,,,1.75,185530.0,9678.0,,249.0,35.3,387.0,,,8800.0,190.04,1.62,,,3.79,3.79,25725940.0,3687643307.49,,4761.53,3.84,15.84,0.1338,24.32,0.0604,183.05
2013-04-18,1677992.0,241974460.47,1.83,4.55,1.77,306.13,1.0,184336820.94,1088331.0,1278299.0,156942528.06,,,,,,,,3.23,,16434.0,,,,,,90234.0,13000.0,199.54,2.37,,,4.06,4.06,25733060.0,3710830152.78,,4689.3,4.08,15.61,0.1288,23.74,0.0626,184.15
2013-04-19,2157715.0,316644237.09,2.35,5.91,2.27,396.91,1.0,219402245.46,1495230.0,1495077.0,219424698.18,,,73835.0,78.01,,,,4.98,420273.0,28078.0,,,78.01,73835.0,,361142.0,203495.0,277.39,37.24,,,5.55,5.55,25463108.0,3736705916.51,,4669.65,5.61,23.02,0.1676,28.08,0.08,187.4
2013-04-22,2305262.0,342087674.52,2.51,6.21,2.43,429.98,1.0,244652589.6,1473111.0,1648666.0,218601233.31,,,,48.66,,,,3.0,246559.0,22119.0,,,48.66,,,,92970.0,275.71,15.13,,,5.43,5.43,25653656.0,3806855586.87,,4776.94,5.46,20.66,0.1595,25.89,0.085,189.5
2013-04-23,2609680.0,398603523.09,2.85,7.09,2.75,490.14,1.0,297429973.44,1564111.0,1947291.0,238902913.42,,,57896.0,57.5,,,,1.28,300830.0,6990.0,,,57.5,57896.0,,40094.0,2205.0,297.88,0.4,,,5.78,5.78,25483896.0,3892420039.1,,4806.79,5.84,21.85,0.1458,22.71,0.0965,195.05
2013-04-24,2754736.0,428848885.43,3.01,7.41,2.9,524.65,1.0,322811090.95,1605085.0,2073596.0,249874729.65,,,1147.0,18.13,,43756.0,,16.13,84849.0,83807.0,,,18.13,1147.0,7.99,123634.0,2300.0,310.54,0.42,,,5.97,5.97,25269396.0,3933862377.39,,4877.68,5.99,20.99,0.1355,21.2,0.1025,198.8
2013-04-25,3167207.0,482272298.68,3.46,8.38,3.34,604.59,1.0,353686076.47,1878704.0,2322748.0,286071259.83,,,61318.0,49.83,,17500.0,,8.99,275001.0,45874.0,,,49.83,61318.0,3.33,258175.0,43349.0,363.84,7.41,,,7.02,7.02,24889616.0,3789955099.74,,4856.85,6.97,19.31,0.1273,19.52,0.1183,194.45
2013-04-26,5147212.0,785784063.48,5.62,13.22,5.42,986.79,2.0,544154958.65,2852161.0,3564441.0,435416815.99,,,1415.0,272.77,,,,4.58,1408593.0,24035.0,,,272.77,1415.0,,996077.0,166900.0,541.74,33.29,,,10.49,10.49,24334316.0,3714927169.98,,4613.79,10.51,13.73,0.1161,20.92,0.1893,194.95
2013-04-29,6210636.0,971716285.36,6.78,15.71,6.54,1195.52,2.0,685110614.77,3113202.0,4378822.0,487091673.55,,,111172.0,161.91,,,,1.37,835181.0,8846.0,,,161.91,111172.0,,158715.0,20800.0,596.91,0.0,,,11.48,11.48,24005518.0,3755904029.66,,4574.88,11.54,16.7,0.1064,17.22,0.229,199.8
2013-04-30,9948473.0,1546410741.77,10.79,25.49,10.43,1934.07,3.0,1007875644.84,5545068.0,6483933.0,861936572.48,,,61334.0,359.19,,423800.0,,59.61,1714385.0,335342.0,,,359.19,61334.0,79.61,2709085.0,33074.0,1064.24,5.93,,,20.66,20.66,21295608.0,3310232330.49,,4194.52,20.24,13.03,0.0916,16.43,0.3706,198.5
2013-05-01,10085744.0,1567748423.33,10.94,26.95,10.57,1964.38,3.0,1113949901.25,5541253.0,7166337.0,861343561.17,,,1275.0,47.94,,441789.0,,0.87,240615.0,5090.0,,,47.94,1275.0,88.37,,,1064.27,,,,21.48,21.48,20255840.0,3148608691.96,,3994.19,21.04,12.88,0.091,16.15,0.391,
2013-05-02,17162566.0,2674503790.9,18.61,45.86,17.98,3361.01,4.0,1837948713.97,8544318.0,11794306.0,1331491507.84,,,487743.0,880.91,,420000.0,,52.01,4501381.0,264011.0,,,880.91,487743.0,85.75,2779333.0,293412.0,1657.3,58.77,,,33.34,33.34,17085786.0,2662538890.02,,3384.72,32.87,11.75,0.0824,13.8,0.6696,199.0
2013-05-03,19408460.0,3062574698.7,21.05,51.47,20.34,3759.59,5.0,2239567967.27,8668319.0,14192818.0,1367824878.93,,,38155.0,348.22,,719100.0,,36.9,1697253.0,207028.0,,,348.22,38155.0,85.41,289663.0,17841.0,1670.95,3.35,,,33.66,33.66,17082416.0,2695534577.92,,3359.0,33.22,12.27,0.0827,13.03,0.7537,193.0
2013-05-06,21773168.0,3439276166.02,23.61,57.18,22.82,4249.92,5.0,2664847123.27,8712539.0,16870458.0,1376227277.92,,,80141.0,587.37,,,,7.14,3049540.0,35921.0,,,587.37,80141.0,,,371900.0,1667.39,23.17,,,33.74,33.74,17113784.0,2703282747.91,,3293.67,33.61,12.72,0.0845,12.81,0.8431,193.2
2013-05-07,21339076.0,3392515668.08,23.14,56.65,22.36,4142.43,5.0,2737770902.09,7980998.0,17220702.0,1268830045.03,,9760.0,95413.0,61.23,1.88,4300.0,,167.36,378600.0,864441.0,,9760.0,61.23,95413.0,0.83,27727.0,32656.0,1527.39,6.52,,,31.72,31.72,17181684.0,2731567766.76,,3304.64,31.61,13.05,0.0873,13.07,0.848,194.45
