,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_y,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity
2007-02-28,8049958.0,282125550.89,14.44,13.65,6.99,321.42,2.0,164609832.76,4169208.0,4696853.0,146117545.43,,,57772.0,8.85,,,,0.22,226984.0,2856.0,,,8.85,57772.0,,8003.0,1831.0,164.51,0.12,,,52.18,51.88,3820251.0,133887706.98,,148.96,52.48,20.14,0.2963,48.61,1.0017
2007-03-01,7881490.0,271938780.2,14.13,13.14,6.85,313.39,2.0,156267679.96,4178890.0,4529042.0,144186219.76,,,342.0,,,,,0.52,,8848.0,,,,342.0,,18188.0,167810.0,163.48,6.58,,,51.85,51.55,3881051.0,133909739.76,,149.9,52.17,20.47,0.2896,47.72,0.9722
2007-03-02,8282708.0,288557507.42,14.85,13.51,7.19,327.89,2.0,167725618.05,4265073.0,4814369.0,148588943.84,,,155373.0,15.06,,13000.0,,2.78,390000.0,69190.0,,,15.06,155373.0,0.52,,117673.0,165.96,5.01,,,53.0,52.7,3781546.0,131743565.99,,145.04,53.36,19.69,0.3179,51.06,1.0234
2007-03-05,8427967.0,288580741.13,15.11,13.87,7.32,333.37,2.0,169710040.3,4282531.0,4956362.0,146637495.13,,,32856.0,6.31,,,,0.55,162177.0,15478.0,,,6.31,32856.0,,79.0,20184.0,166.74,0.81,,,53.03,52.73,3793031.0,129876599.79,,145.47,53.41,19.38,0.3159,51.0,1.0376
2007-03-06,8547433.0,293832445.45,15.33,13.74,7.42,336.29,2.0,172085820.25,4341478.0,5005887.0,149245638.73,,,440.0,1.67,,,,1.16,49526.0,21493.0,,,1.67,440.0,,80000.0,,167.15,,,,53.89,53.58,3714305.0,127685507.6,,141.57,54.14,19.87,0.3137,50.63,1.0549
2007-03-07,8690976.0,297114158.02,15.59,14.08,7.55,341.53,2.0,173810518.91,4398520.0,5084184.0,150370058.13,,,57175.0,2.91,,,,4.93,78297.0,130334.0,,,2.91,57175.0,,130201.0,,169.22,,,,54.47,54.16,3676004.0,125669756.0,,139.81,54.76,20.48,0.3148,50.58,1.0701
2007-03-08,8806285.0,310227418.15,15.79,14.79,7.65,346.88,2.0,180080342.57,4509550.0,5111859.0,158862227.78,,,9669.0,1.06,,,,0.43,28057.0,13039.0,,,1.06,9669.0,,114400.0,383.0,174.57,0.0,,,55.87,55.55,3561918.0,125479089.63,,136.53,56.11,21.17,0.3125,50.07,1.0848
2007-03-09,8731295.0,308692665.89,15.66,14.82,7.58,347.44,2.0,181138243.42,4413913.0,5123450.0,156052747.16,,,6916.0,0.56,,,,4.21,11591.0,118908.0,,,0.56,6916.0,,16356.0,,174.27,,,,54.67,54.35,3660021.0,129399091.4,,142.98,54.93,20.89,0.3113,50.08,1.0752
2007-03-12,8841476.0,312267811.84,15.86,14.99,7.68,351.61,2.0,181487232.02,4533838.0,5138586.0,160128430.08,,,44265.0,2.73,,,,1.02,68428.0,26200.0,,,2.73,44265.0,,101859.0,53292.0,178.59,1.97,,,56.3,55.97,3519790.0,124313759.54,,137.42,56.51,21.31,0.3125,50.03,1.0915
2007-03-13,8866936.0,307626373.96,15.9,15.13,7.7,352.22,2.0,179131780.09,4520268.0,5163244.0,156824595.8,,,3247.0,2.23,,,,0.76,54643.0,19802.0,,,2.23,3247.0,,2985.0,29985.0,177.68,1.18,,,56.4,56.07,3494943.0,121252329.13,,135.81,56.68,21.2,0.3129,50.15,1.0998
2007-03-14,8964194.0,306454528.55,16.08,15.25,7.79,353.35,2.0,181107424.84,4479660.0,5297628.0,153143951.74,,,4109.0,5.21,,12618.0,,2.38,142092.0,49302.0,,,5.21,4109.0,0.52,4586.0,20326.0,173.53,0.86,,,55.87,55.54,3538551.0,120970717.33,,135.21,56.21,20.37,0.3183,51.04,1.1115
2007-03-15,8828056.0,310754524.56,15.83,15.2,7.67,347.6,2.0,185553489.5,4339811.0,5271288.0,152764765.43,,,1697.0,,,,,5.49,,143087.0,,,,1697.0,,1541.0,26340.0,167.78,1.18,,,54.39,54.07,3639927.0,128128297.37,,139.24,54.65,19.77,0.3244,51.88,1.0999
2007-03-16,8795543.0,313990939.81,15.77,15.28,7.64,349.06,2.0,184950451.21,4313098.0,5180849.0,153972721.69,,,11896.0,0.43,,,,1.34,10100.0,38609.0,,,0.43,11896.0,,,100539.0,169.83,3.99,,,53.35,53.04,3771231.0,134628682.49,,147.38,53.54,19.84,0.3218,51.55,1.0817
2007-03-19,8830256.0,322187288.97,15.84,14.64,7.67,353.87,2.0,187518402.51,4437817.0,5139357.0,161921492.21,,,41787.0,0.35,,,,0.96,5133.0,25468.0,,,0.35,41787.0,,114400.0,46625.0,177.72,1.29,0.24,,55.0,54.68,3631542.0,132503142.8,6000.0,144.08,55.23,20.62,0.3148,50.51,1.088
2007-03-20,8857434.0,321654875.16,15.88,14.42,7.69,357.26,2.0,187281337.81,4447554.0,5157180.0,161511497.19,,,9805.0,1.95,,,,0.0,35187.0,68.0,,,1.95,9805.0,,,17364.0,179.85,0.62,,,55.0,54.68,3639095.0,132152567.88,,146.59,55.1,20.63,0.3128,50.27,1.089
2007-03-21,9268054.0,334384182.68,16.62,14.94,8.05,372.68,2.0,201056951.59,4387681.0,5572652.0,158304119.19,,,2540.0,18.15,,,,3.47,452789.0,71454.0,,,18.15,2540.0,,9041.0,37318.0,176.16,1.53,,,53.39,53.39,3830954.0,138217841.87,,151.55,53.76,19.5,0.3299,52.49,1.1277
2007-03-22,9596759.0,353196286.33,17.21,15.59,8.33,386.81,2.0,223071267.06,4220696.0,6061109.0,155337250.1,,,486.0,10.83,,222000.0,,6.32,273882.0,161671.0,,,10.83,486.0,8.86,,7425.0,170.4,0.28,0.23,,51.61,51.61,3956704.0,145621366.43,5800.0,157.3,52.0,17.24,0.324,52.74,1.1736
2007-03-23,10006805.0,368106254.46,17.95,15.96,8.69,405.85,2.0,235456560.58,4297954.0,6400782.0,158102785.93,,,27247.0,13.87,,,,0.0,339673.0,489.0,,,13.87,27247.0,,50500.0,,175.99,,,,52.62,52.62,3870394.0,142374737.85,,155.81,53.04,17.34,0.3293,53.3,1.2251
2007-03-26,10236372.0,373862686.86,18.36,16.24,8.89,414.85,2.0,242139461.84,4292453.0,6629786.0,156773123.51,,,16409.0,9.81,,,,0.96,229004.0,21910.0,,,9.81,16409.0,,,,174.84,,,,52.54,52.54,3877468.0,141616639.64,,155.56,52.92,16.83,0.3351,54.07,1.2529
2007-03-27,10173666.0,370927546.48,18.24,16.2,8.84,411.21,2.0,239583674.8,4292223.0,6571214.0,156492629.73,,,10422.0,,,,,0.59,,11437.0,,,,10422.0,,785.0,58573.0,173.97,2.67,,,52.52,52.52,3880021.0,141463919.67,,154.73,52.93,16.88,0.3382,54.34,1.2449
2007-03-28,10289940.0,373675871.15,18.45,16.97,8.94,416.03,2.0,243305954.56,4317292.0,6699934.0,156781074.44,,,6007.0,5.25,,,,0.49,130392.0,12421.0,,,5.25,6007.0,,32000.0,1672.0,175.12,0.03,0.02,,52.64,52.64,3884318.0,141057762.48,517.0,155.05,53.04,16.63,0.3345,54.09,1.2546
2007-03-29,10452161.0,380702735.71,18.74,18.36,9.08,422.11,2.0,250678436.42,4295070.0,6882355.0,156440845.02,,,6506.0,7.4,,,,1.38,182792.0,32533.0,,,7.4,6506.0,,3805.0,371.0,173.68,0.02,,,52.68,52.68,3857505.0,140503261.15,,153.9,53.02,16.11,0.3357,54.36,1.2821
2007-03-30,10123395.0,369003009.38,18.15,17.89,8.79,409.19,2.0,238188545.74,4345619.0,6534572.0,158400071.18,,,43170.0,0.43,,,,0.61,10728.0,15158.0,,,0.43,43170.0,,22537.0,358512.0,175.81,14.22,,,53.9,53.9,3716101.0,135453812.89,,148.26,54.25,16.86,0.3217,52.74,1.2557
2007-04-02,9986096.0,367796633.53,17.91,17.79,8.67,404.31,2.0,235784398.4,4341124.0,6401814.0,159887386.72,,,713.0,0.44,,,,0.17,10408.0,5208.0,,,0.44,713.0,,,143166.0,176.25,5.73,,,53.99,53.99,3700123.0,136278760.29,,148.32,54.3,17.11,0.3151,51.98,1.2419
2007-04-03,10008434.0,369707001.69,17.95,17.77,8.69,406.62,2.0,238023802.22,4321844.0,6443604.0,159646952.46,,,4755.0,1.77,,,,0.93,42174.0,24034.0,,,1.77,4755.0,,,384.0,176.68,0.0,,,53.63,53.63,3736517.0,138025239.2,,151.13,53.9,16.9,0.3153,52.06,1.242
2007-04-04,10872099.0,400822729.71,19.5,19.35,9.44,442.02,2.0,272060079.58,4344429.0,7379482.0,160166485.87,,,6542.0,39.24,,,,0.63,964924.0,15626.0,,,39.24,6542.0,,31669.0,29046.0,177.93,1.13,,,53.87,53.87,3720586.0,137167205.4,,150.51,54.17,15.53,0.2776,47.76,1.3481
2007-04-05,11376768.0,421488977.74,20.4,20.56,9.88,461.85,2.0,293786846.28,4274309.0,7929851.0,158355530.41,,,20000.0,22.26,,,,3.71,550369.0,90120.0,,,22.26,20000.0,,,,174.39,,,,53.27,53.27,3749658.0,138918145.93,,151.1,53.58,14.35,0.2876,49.29,1.4178
2007-04-06,11441928.0,423903039.6,20.52,20.78,9.94,465.66,2.0,293707896.53,4356207.0,7927720.0,161389705.34,,,2002.0,,,,,0.0,,355.0,,,,2002.0,,89775.0,2131.0,178.89,0.0,0.38,,54.36,54.36,3657859.0,135517156.6,9525.0,147.93,54.74,14.78,0.2848,48.88,1.4277
2007-04-09,11445468.0,424034190.29,20.53,20.79,9.94,466.07,2.0,293847160.78,4359409.0,7931479.0,161508333.73,,,3658.0,0.17,,,,0.01,3759.0,455.0,,,0.17,3658.0,,,,179.12,,,,54.32,54.32,3665982.0,135818099.27,,148.8,54.62,14.75,0.2844,48.84,1.4262
2007-04-10,11583968.0,432417415.97,20.77,21.04,10.06,471.57,3.0,302134026.25,4342570.0,8093825.0,162103598.53,,,7126.0,6.51,,,,3.79,162346.0,92754.0,,,6.51,7126.0,,68789.0,,178.26,,,,54.79,54.79,3583869.0,133782083.32,,145.68,55.03,14.34,0.2879,49.33,1.4614
2007-04-11,11450278.0,428256460.49,20.53,20.74,9.94,467.74,2.0,299504898.8,4386562.0,8007852.0,164063572.59,,,103502.0,0.67,,,,2.41,11637.0,59511.0,,,0.67,103502.0,,,97609.0,181.74,3.86,,,55.21,55.21,3558505.0,133093079.13,,145.19,55.59,14.14,0.2923,49.84,1.4412
2007-04-12,11533841.0,425845941.14,20.68,20.85,10.02,470.65,3.0,294620115.21,4455552.0,7979650.0,164505365.97,,,52602.0,0.09,,,,1.83,3580.0,43712.0,,,0.09,52602.0,,60100.0,31782.0,183.96,1.18,,,55.89,55.89,3517021.0,129853456.25,,143.06,56.25,15.01,0.2912,49.52,1.4467
2007-04-13,11342737.0,421666272.13,20.34,20.41,9.85,461.53,2.0,294895462.79,4302569.0,7932628.0,159948011.74,,,298.0,0.58,,,,6.38,14188.0,153752.0,,,0.58,298.0,,471.0,61210.0,176.55,2.74,,,54.01,54.01,3663188.0,136179021.7,,148.42,54.33,14.16,0.2982,50.45,1.4239
2007-04-16,11290052.0,422672755.5,20.25,20.64,9.81,460.73,2.0,296580282.03,4267074.0,7921984.0,159749124.76,,,18052.0,2.16,,,,2.18,46260.0,53547.0,,,2.16,18052.0,,,56903.0,176.33,2.32,,,53.48,53.48,3711465.0,138948442.27,,151.11,53.85,13.81,0.2938,50.03,1.4151
2007-04-17,11411650.0,428568571.21,20.46,21.35,9.91,466.96,2.0,300762626.89,4302615.0,8008515.0,161586235.39,,,27588.0,3.71,,,,0.64,86530.0,16647.0,,,3.71,27588.0,,24600.0,,178.77,,,,53.93,53.93,3675197.0,138023329.42,,150.46,54.3,13.77,0.294,50.09,1.4304
2007-04-18,11393548.0,424483793.95,20.43,21.69,9.9,466.14,2.0,295161616.9,4398885.0,7922418.0,163887087.14,,,13605.0,0.7,,,,0.92,16930.0,22410.0,,,0.7,13605.0,,105075.0,103027.0,182.5,4.13,,,54.85,54.85,3620970.0,134904691.97,,148.11,55.2,14.22,0.2936,50.0,1.4207
2007-04-19,11393331.0,421793072.33,20.43,22.19,9.9,464.87,2.0,293124267.14,4415880.0,7917773.0,163480512.61,,,10137.0,1.4,,,,0.75,37355.0,15766.0,,,1.4,10137.0,,22624.0,42000.0,182.09,1.78,,,55.08,55.08,3601317.0,133324535.37,,145.99,55.5,14.09,0.2938,50.01,1.4211
2007-04-20,11338970.0,419472512.91,20.33,21.9,9.85,462.4,2.0,292678795.48,4372294.0,7911546.0,161748126.27,,,196.0,,,,,1.8,,43782.0,,,,196.0,,,6226.0,179.94,0.28,,,54.54,54.54,3644573.0,134826901.81,,147.54,54.95,13.85,0.2956,50.26,1.4144
2007-04-23,11418012.0,418467312.75,20.48,21.69,9.92,465.01,2.0,288200092.5,4498529.0,7863630.0,164869974.03,,,30181.0,0.43,,,,1.6,12564.0,38700.0,,,0.43,30181.0,,134753.0,60481.0,184.6,2.56,,,55.41,55.41,3620650.0,132695926.04,,146.43,55.76,14.87,0.2895,49.38,1.4063
2007-04-24,11276236.0,414598790.52,20.22,21.74,9.79,457.67,2.0,287408897.15,4402810.0,7816932.0,161880232.1,,,,,,,,4.04,,95719.0,,,,,,,46698.0,179.25,2.12,,,54.16,54.16,3726112.0,136999751.38,,149.56,54.51,14.16,0.2953,50.16,1.3872
2007-04-25,11065526.0,406450675.72,19.84,21.62,9.61,450.19,2.0,279543265.63,4402786.0,7610501.0,161719862.64,,,30943.0,0.28,,,,1.53,5482.0,40320.0,,,0.28,30943.0,,9354.0,211912.0,179.97,8.2,,,53.86,53.86,3771435.0,138529547.01,,151.54,54.29,14.42,0.2964,50.17,1.3537
2007-04-26,10995235.0,404267091.65,19.72,21.63,9.55,447.55,2.0,278656582.19,4357598.0,7578887.0,160217900.76,,,29032.0,,,,,3.0,,74220.0,,,,29032.0,,,31615.0,178.29,1.27,,,53.03,53.03,3859999.0,141922439.09,,155.31,53.44,14.17,0.2993,50.52,1.338
2007-04-27,10991177.0,431490406.34,19.71,21.72,9.55,450.58,2.0,296360826.71,4412551.0,7549077.0,173227437.24,,,38444.0,,,17700.0,,1.16,,33507.0,,,,38444.0,0.72,50016.0,47510.0,183.22,1.62,,,53.79,53.79,3790760.0,148817235.2,,156.57,53.92,14.89,0.2948,49.91,1.3398
2007-04-30,11179519.0,439795494.18,20.05,19.86,9.71,466.67,2.0,303740792.75,4434401.0,7721034.0,174446644.72,,,36385.0,8.42,,,,0.66,175444.0,18114.0,,,8.42,36385.0,,3579.0,3487.0,191.56,0.0,,,53.79,53.79,3809261.0,149854016.43,,162.7,54.07,14.83,0.2927,49.66,1.3561
2007-05-01,11151070.0,438676327.78,20.0,19.83,9.68,466.51,2.0,304202912.6,4417186.0,7732781.0,173769417.07,,23000.0,2612.0,1.72,1.0,,,1.76,32738.0,42827.0,,23000.0,1.72,2612.0,,,20991.0,191.38,0.77,,,52.05,52.05,4069188.0,160079386.9,,174.4,52.32,14.48,0.2917,49.68,1.314
2007-05-02,11079875.0,434470804.19,19.87,19.7,9.62,463.34,2.0,296192048.62,4548183.0,7553490.0,178346120.84,,,130370.0,0.31,,,,0.35,7264.0,7975.0,,,0.31,130370.0,,8602.0,186556.0,196.73,7.95,,,53.45,53.45,3961164.0,155327574.42,,170.52,53.57,15.61,0.2816,48.27,1.3021
2007-05-03,11080580.0,432090143.59,19.87,20.47,9.62,464.57,2.0,292607788.42,4650638.0,7503675.0,181352857.09,,,125141.0,3.51,,,,3.65,74209.0,85161.0,,,3.51,125141.0,,62475.0,124023.0,200.85,4.6,,,54.47,54.47,3887244.0,151584106.44,,167.26,54.56,15.46,0.2761,47.68,1.2978
2007-05-04,11089252.0,442069071.74,19.89,20.6,9.63,465.18,2.0,299111551.94,4685538.0,7503179.0,186787299.47,,,34730.0,,,,,0.99,,21839.0,,,,34730.0,,22010.0,497.0,202.53,0.01,,,55.2,55.2,3802298.0,151577252.22,,165.25,55.07,15.55,0.2756,47.61,1.3065
2007-05-07,10908773.0,431120314.27,19.56,20.12,9.47,460.39,2.0,289199145.53,4717551.0,7317697.0,186440039.56,,,46135.0,3.82,,,,0.57,73761.0,14854.0,,,3.82,46135.0,,732.0,259242.0,206.08,10.63,,,55.73,55.73,3748135.0,148128221.12,,163.28,55.79,15.76,0.2723,46.99,1.2886
2007-05-08,10615462.0,413375940.7,19.04,19.37,9.22,446.53,2.0,277996441.81,4614229.0,7138927.0,179682358.95,,,19831.0,0.55,,,,6.86,18426.0,147753.0,,,0.55,19831.0,,24600.0,197196.0,200.23,8.25,,,54.69,54.69,3822468.0,148850450.91,,165.23,54.79,14.9,0.2675,46.57,1.2582
2007-05-09,10604079.0,412932676.12,19.02,19.69,9.21,443.77,2.0,277327553.49,4620622.0,7121750.0,179931308.3,,6803.0,47695.0,,0.29,,,2.26,,48574.0,,6803.0,,47695.0,,469.0,17177.0,198.58,1.23,,,53.73,53.73,3979033.0,154947237.29,,170.24,53.84,14.98,0.2696,46.81,1.2331
2007-05-10,10599874.0,407393334.15,19.01,19.52,9.21,442.81,2.0,274320639.94,4598808.0,7137486.0,176749622.14,,,34044.0,1.36,,,,1.99,35616.0,48210.0,,,1.36,34044.0,,2946.0,19879.0,197.13,0.91,0.46,,54.05,54.05,3909413.0,150253559.3,10594.0,166.1,54.27,14.75,0.2721,47.18,1.2458
2007-05-11,10768424.0,411433370.3,19.31,19.43,9.35,447.38,2.0,281546967.55,4538955.0,7368914.0,173421621.7,,,62722.0,10.15,,,,5.95,249998.0,133595.0,,,10.15,62722.0,,11020.0,18571.0,192.31,1.04,,,53.7,53.7,3913658.0,149530655.66,,164.74,53.86,13.96,0.2649,46.51,1.274
2007-05-14,10865840.0,417615415.61,19.49,19.41,9.44,451.01,2.0,287052409.48,4519706.0,7468751.0,173709432.46,,,49614.0,5.07,,,,3.29,115980.0,75983.0,,,5.07,49614.0,,7121.0,16143.0,191.06,0.93,,,53.42,53.42,3940881.0,151462993.81,,165.8,53.54,13.33,0.2698,47.29,1.2843
2007-05-15,10880158.0,423683448.56,19.51,19.05,9.45,453.02,2.0,288290865.52,4595247.0,7403287.0,178943182.25,,,50171.0,1.39,,,,0.17,29097.0,5130.0,,,1.39,50171.0,,30500.0,94560.0,195.5,4.01,,,54.8,54.8,3790644.0,147611194.82,,160.71,54.88,13.37,0.2645,46.62,1.2974
2007-05-16,10715020.0,417737999.3,19.22,18.58,9.31,448.98,2.0,287703946.68,4427963.0,7379634.0,172629486.89,,,40751.0,2.22,,,,9.75,39235.0,233778.0,,,2.22,40751.0,,25742.0,62889.0,190.79,2.36,,,53.7,53.7,3818305.0,148861233.24,,163.19,53.9,13.66,0.2681,47.07,1.2994
2007-05-17,10743964.0,418185332.5,19.27,18.01,9.33,450.03,2.0,285984922.54,4508590.0,7347488.0,175487018.41,,,80568.0,0.06,,,,0.02,2260.0,497.0,,,0.06,80568.0,,556.0,34406.0,193.96,1.45,,,54.64,54.64,3743442.0,145705303.69,,160.18,54.77,13.59,0.2637,46.62,1.302
2007-05-18,10654893.0,417902642.3,19.11,17.99,9.25,445.99,2.0,293366404.27,4212711.0,7479703.0,165229538.97,,168636.0,27153.0,4.79,7.07,30000.0,,13.81,112532.0,319614.0,,168636.0,4.79,27153.0,1.29,,10317.0,181.02,0.43,7.22,,51.21,51.21,4013749.0,157425918.08,172054.0,171.85,51.3,13.04,0.2743,48.03,1.2952
2007-05-21,10859719.0,425444529.33,19.47,18.36,9.43,456.14,2.0,299004784.87,4427883.0,7632271.0,173468447.84,,,32181.0,6.94,,,,5.7,152568.0,135759.0,,,6.94,32181.0,,318750.0,,191.37,,,,53.65,53.65,3825906.0,149885165.3,,164.56,53.77,13.14,0.2668,47.28,1.3157
2007-05-22,10875608.0,432370352.0,19.5,18.56,9.45,457.78,2.0,306663086.1,4403663.0,7713636.0,175071896.8,,,44130.0,6.73,,33000.0,,3.58,153144.0,84745.0,,,6.73,44130.0,1.5,16395.0,104779.0,190.98,4.4,,,53.58,53.58,3814530.0,151650342.57,,164.97,53.65,12.79,0.2709,47.96,1.3234
2007-05-23,11228876.0,449567224.32,20.14,18.91,9.75,475.61,2.0,319338624.63,4511746.0,7976146.0,180635455.06,,,6717.0,13.86,,,,1.11,308177.0,27634.0,,,13.86,6717.0,,129000.0,45667.0,197.56,1.72,,,54.67,54.67,3740334.0,149750658.43,,163.81,54.67,12.85,0.2724,48.1,1.3607
2007-05-24,11336594.0,445974729.37,20.33,18.78,9.85,480.23,2.0,315101262.07,4590139.0,8009815.0,180573283.15,,,68811.0,1.57,,,,0.02,33670.0,418.0,,,1.57,68811.0,,10000.0,,200.87,,,,55.55,55.55,3672249.0,144464047.49,,160.66,55.56,12.69,0.2703,47.88,1.3721
2007-05-25,11325692.0,447494601.58,20.31,18.92,9.84,477.84,2.0,316682358.74,4584084.0,8014950.0,181123841.54,,,20023.0,0.05,,,,1.25,5134.0,26454.0,,,0.05,20023.0,,376.0,,199.07,,,,57.36,57.36,3407856.0,134649358.55,,147.73,57.4,12.66,0.2714,48.01,1.4171
2007-05-28,11539728.0,455219947.12,20.69,19.73,10.02,489.45,3.0,324625035.21,4581905.0,8229175.0,180747289.0,,,,12.97,,,,0.0,290671.0,2178.0,,,12.97,,,,76446.0,199.22,1.51,,,57.3,57.3,3415127.0,134720153.92,,147.77,57.41,12.36,0.2825,49.34,1.443
2007-05-29,11490212.0,456076140.65,20.61,20.17,9.98,488.06,2.0,326092432.91,4628327.0,8215451.0,183710232.31,,,108126.0,0.32,,,,3.85,1936.0,91705.0,,,0.32,108126.0,,30000.0,15660.0,201.71,0.57,,,58.26,58.26,3315506.0,131600981.84,,143.74,58.39,12.05,0.2835,49.53,1.4464
2007-05-30,11557922.0,457089022.96,20.73,20.66,10.04,491.67,3.0,329493370.7,4547002.0,8331547.0,179823388.81,,,40894.0,5.36,,,,6.89,119600.0,157218.0,,,5.36,40894.0,,35000.0,3504.0,198.52,0.08,,,57.64,57.64,3340979.0,132127974.81,,145.33,57.73,11.95,0.2886,50.25,1.4653
2007-05-31,12067368.0,493082385.66,21.64,21.83,10.48,514.06,3.0,354080869.17,4749007.0,8665538.0,194048254.85,,,51634.0,14.12,,,,0.54,333992.0,12615.0,,,14.12,51634.0,,162986.0,,208.2,,,,60.06,60.06,3157841.0,129031929.23,,138.09,60.12,11.47,0.2779,49.11,1.5262
2007-06-01,12204162.0,500661281.36,21.89,21.43,10.6,526.65,3.0,355452278.94,4793249.0,8664535.0,196637359.14,,386.0,32946.0,1.44,0.02,,,0.73,25444.0,28607.0,,386.0,1.44,32946.0,,39903.0,26447.0,214.99,0.0,0.02,,62.04,62.03,2933387.0,120338724.95,386.0,131.04,62.13,11.91,0.268,48.0,1.5794
2007-06-04,11929592.0,479782280.67,21.39,20.27,10.36,513.03,3.0,344805498.33,4673403.0,8573449.0,187954118.62,,,40188.0,2.86,,19420.0,,7.19,64493.0,164454.0,,,2.86,40188.0,1.7,4420.0,174999.0,208.68,9.39,,,57.51,57.51,3453381.0,138887483.51,,153.65,57.59,12.03,0.2817,49.39,1.4679
2007-06-05,12142934.0,483303961.07,21.78,21.01,10.55,519.31,3.0,348801644.12,4760670.0,8763585.0,189480620.44,,,94074.0,8.54,,,,1.1,205665.0,22349.0,,,8.54,94074.0,,15542.0,15529.0,209.66,0.74,,,57.75,57.75,3483492.0,138647338.6,,152.7,57.86,11.59,0.2799,49.31,1.4729
2007-06-06,12333248.0,484177280.65,22.12,21.45,10.71,525.95,3.0,348760136.99,4965951.0,8883823.0,194952753.0,,,94060.0,4.85,,,,0.41,120238.0,11084.0,,,4.85,94060.0,,122305.0,,217.39,,,,60.43,60.42,3251754.0,127656997.5,,142.07,60.48,11.4,0.2781,49.18,1.5007
2007-06-07,12215022.0,468474017.21,21.91,21.21,10.61,517.19,3.0,341719060.0,4790679.0,8910005.0,183733491.13,,,,5.58,,,,7.88,139375.0,178972.0,,,5.58,,,3700.0,113193.0,206.86,5.45,,,59.02,59.02,3325727.0,127549233.05,,142.6,59.19,11.21,0.2739,48.83,1.5048
2007-06-08,12204239.0,475023347.45,21.89,20.79,10.6,513.72,3.0,346001763.86,4808861.0,8889433.0,187174411.26,,,34210.0,,,,,1.45,,31478.0,,,,34210.0,,15450.0,20572.0,205.48,1.19,,,59.35,59.35,3293034.0,128174156.04,,141.03,59.3,11.02,0.2759,49.11,1.5062
2007-06-11,12237920.0,477996711.33,21.95,20.81,10.63,516.92,3.0,343703794.0,4935749.0,8799683.0,192783723.86,,,115320.0,1.18,,,,1.57,21019.0,40425.0,,,1.18,115320.0,,51993.0,110769.0,212.34,4.67,,,61.21,61.21,3127612.0,122160322.2,,134.78,61.17,11.31,0.2757,48.98,1.5176
2007-06-12,12137565.0,471548862.43,21.77,22.99,10.54,513.59,3.0,340234270.17,4866117.0,8757556.0,189050434.4,,,16980.0,0.42,,,,3.74,5002.0,86612.0,,,0.42,16980.0,,,47129.0,210.14,1.99,,,60.35,60.35,3196496.0,124185044.74,,138.18,60.33,11.26,0.2782,49.32,1.5052
2007-06-13,12121309.0,477832879.75,21.74,23.29,10.53,512.27,3.0,343903810.09,4858016.0,8723896.0,191507350.83,,,19904.0,0.99,,,,2.5,27137.0,57163.0,,,0.99,19904.0,,35394.0,60797.0,209.67,2.83,0.27,,60.39,60.38,3186563.0,125617173.43,6236.0,137.61,60.37,11.27,0.2755,48.99,1.5066
2007-06-14,11525400.0,468119028.36,20.67,22.45,10.01,492.53,3.0,332850443.47,4796668.0,8194998.0,194822875.0,,,54838.0,1.13,,,,5.57,19615.0,131186.0,,,1.13,54838.0,,15000.0,548513.0,210.49,21.0,,,59.19,59.19,3306894.0,134313777.06,,145.54,59.12,12.09,0.2565,46.63,1.4221
2007-06-15,11583413.0,489881751.95,20.77,22.33,10.06,501.94,3.0,349122254.33,4695500.0,8255109.0,198580484.55,,,33510.0,4.64,,,,6.13,71252.0,137764.0,,,4.64,33510.0,,3086.0,11141.0,211.12,0.52,,,57.74,57.73,3437323.0,145370091.98,,156.25,57.47,12.31,0.2506,45.82,1.4241
2007-06-18,11839422.0,498028343.32,21.23,21.45,10.28,520.34,3.0,356044636.02,4863578.0,8464102.0,204587664.32,,,33793.0,11.6,,,,0.05,208993.0,1794.0,,,11.6,33793.0,,136079.0,,223.98,,,,58.3,58.29,3479255.0,146355759.9,,160.64,58.23,12.6,0.2443,45.02,1.419
2007-06-19,11718144.0,491016595.44,21.01,21.31,10.18,514.32,3.0,354897682.15,4768951.0,8469657.0,199829775.42,,,12195.0,0.69,,2779.0,,6.62,15042.0,145322.0,,,0.69,12195.0,0.13,38500.0,12266.0,219.16,0.73,,,51.86,51.85,4427591.0,185526023.47,,203.09,51.9,12.6,0.2467,45.41,1.2741
