,ALI2S FP Equity_DX_SI_QTY,ALI2S FP Equity_DX_SHORT_INTEREST_VALUE,ALI2S FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALI2S FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALI2S FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALI2S FP Equity_DX_SI_MV,ALI2S FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALI2S FP Equity_DX_SUPPLY_SI_QTY,ALI2S FP Equity_DX_BROKER_SI_QTY,ALI2S FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALI2S FP Equity_DX_SUPPLY_SI_MV,ALI2S FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALI2S FP Equity_DX_UTILIZATION_QUANTITY,ALI2S FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALI2S FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALI2S FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALI2S FP Equity_DX_ACTIVE_UTILIZATION_MV,ALI2S FP Equity_DX_BROKER_SI_CON_RATIO,ALI2S FP Equity_DX_DEMAND_SUPPLY_RATIO,ALI2S FP Equity_PX_LAST
2010-04-12,,,,,,,,,,,,,,,,,,,,2.15
2010-04-13,,,,,,,,,,,,,,,,,,,,2.11
2010-04-14,,,,,,,,,,,,,,,,,,,,2.08
2010-04-15,,,,,,,,,,,,,,,,,,,,2.2
2010-04-19,,,,,,,,,,,,,,,,,,,,2.21
2010-04-20,,,,,,,,,,,,,,,,,,,,2.25
2010-04-26,,,,,,,,,,,,,,,,,,,,2.25
2010-04-27,,,,,,,,,,,,,,,,,,,,2.25
2010-04-28,,,,,,,,,,,,,,,,,,,,2.25
2010-04-29,,,,,,,,,,,,,,,,,,,,2.11
2010-04-30,,,,,,,,,,,,,,,,,,,,2.35
2010-05-03,,,,,,,,,,,,,,,,,,,,2.35
2010-05-04,,,,,,,,,,,,,,,,,,,,2.15
2010-05-05,,,,,,,,,,,,,,,,,,,,2.38
2010-05-06,,,,,,,,,,,,,,,,,,,,2.38
2010-05-10,,,,,,,,,,,,,,,,,,,,2.38
2010-05-17,,,,,,,,,,,,,,,,,,,,2.25
2010-05-19,,,,,,,,,,,,,,,,,,,,2.2
2010-05-21,,,,,,,,,,,,,,,,,,,,2.15
2010-05-25,,,,,,,,,,,,,,,,,,,,2.05
2010-05-26,,,,,,,,,,,,,,,,,,,,2.01
2010-05-27,,,,,,,,,,,,,,,,,,,,2.03
2010-05-28,,,,,,,,,,,,,,,,,,,,2.15
2010-05-31,,,,,,,,,,,,,,,,,,,,2.05
2010-06-02,,,,,,,,,,,,,,,,,,,,2.05
2010-06-03,,,,,,,,,,,,,,,,,,,,1.98
2010-06-08,,,,,,,,,,,,,,,,,,,,2.05
2010-06-09,,,,,,,,,,,,,,,,,,,,2.05
2010-06-10,,,,,,,,,,,,,,,,,,,,2.0
2010-06-11,,,,,,,,,,,,,,,,,,,,2.06
2010-06-15,,,,,,,,,,,,,,,,,,,,2.06
2010-06-17,,,,,,,,,,,,,,,,,,,,2.4
2010-06-18,,,,,,,,,,,,,,,,,,,,2.52
2010-06-21,,,,,,,,,,,,,,,,,,,,2.46
2010-06-24,,,,,,,,,,,,,,,,,,,,2.86
2010-06-25,,,,,,,,,,,,,,,,,,,,2.5
2010-06-28,,,,,,,,,,,,,,,,,,,,2.38
2010-07-05,,,,,,,,,,,,,,,,,,,,2.4
2010-07-06,,,,,,,,,,,,,,,,,,,,2.41
2010-07-20,,,,,,,,,,,,,,,,,,,,2.25
2010-07-21,,,,,,,,,,,,,,,,,,,,2.65
2010-07-22,,,,,,,,,,,,,,,,,,,,2.6
2010-07-27,,,,,,,,,,,,,,,,,,,,2.6
2010-07-28,,,,,,,,,,,,,,,,,,,,2.69
2010-07-30,,,,,,,,,,,,,,,,,,,,2.74
2010-08-03,,,,,,,,,,,,,,,,,,,,2.38
2010-08-04,,,,,,,,,,,,,,,,,,,,2.38
2010-08-05,,,,,,,,,,,,,,,,,,,,2.4
2010-08-06,,,,,,,,,,,,,,,,,,,,2.41
2010-08-12,,,,,,,,,,,,,,,,,,,,2.42
2010-08-16,,,,,,,,,,,,,,,,,,,,2.42
2010-08-18,,,,,,,,,,,,,,,,,,,,2.43
2010-08-19,,,,,,,,,,,,,,,,,,,,2.43
2010-08-23,,,,,,,,,,,,,,,,,,,,2.44
2010-08-25,,,,,,,,,,,,,,,,,,,,2.86
2010-08-26,,,,,,,,,,,,,,,,,,,,2.45
2010-09-01,,,,,,,,,,,,,,,,,,,,2.46
2010-09-06,,,,,,,,,,,,,,,,,,,,2.87
2010-09-07,,,,,,,,,,,,,,,,,,,,2.88
2010-09-08,,,,,,,,,,,,,,,,,,,,3.01
2010-09-09,,,,,,,,,,,,,,,,,,,,3.14
2010-09-10,,,,,,,,,,,,,,,,,,,,3.4
2010-09-13,,,,,,,,,,,,,,,,,,,,3.38
2010-09-14,,,,,,,,,,,,,,,,,,,,3.38
2010-09-17,,,,,,,,,,,,,,,,,,,,3.37
2010-09-20,,,,,,,,,,,,,,,,,,,,3.37
2010-09-21,,,,,,,,,,,,,,,,,,,,3.37
2010-09-22,,,,,,,,,,,,,,,,,,,,3.37
2010-09-24,,,,,,,,,,,,,,,,,,,,3.04
2010-09-27,,,,,,,,,,,,,,,,,,,,3.01
2010-09-28,,,,,,,,,,,,,,,,,,,,3.2
2010-09-29,,,,,,,,,,,,,,,,,,,,3.11
2010-10-05,,,,,,,,,,,,,,,,,,,,3.11
2010-10-06,,,,,,,,,,,,,,,,,,,,3.12
2010-10-08,,,,,,,,,,,,,,,,,,,,3.11
2010-10-11,,,,,,,,,,,,,,,,,,,,3.12
2010-10-13,,,,,,,,,,,,,,,,,,,,3.17
2010-10-14,,,,,,,,,,,,,,,,,,,,3.39
2010-10-15,,,,,,,,,,,,,,,,,,,,3.28
2010-10-19,,,,,,,,,,,,,,,,,,,,3.23
2010-10-20,,,,,,,,,,,,,,,,,,,,3.2
2010-10-21,,,,,,,,,,,,,,,,,,,,3.1
2010-10-22,,,,,,,,,,,,,,,,,,,,3.0
2010-10-25,,,,,,,,,,,,,,,,,,,,3.49
2010-10-26,,,,,,,,,,,,,,,,,,,,3.2
2010-10-28,,,,,,,,,,,,,,,,,,,,3.14
2010-10-29,,,,,,,,,,,,,,,,,,,,3.22
2010-11-01,,,,,,,,,,,,,,,,,,,,3.4
2010-11-02,,,,,,,,,,,,,,,,,,,,3.54
2010-11-03,,,,,,,,,,,,,,,,,,,,3.4
2010-11-04,,,,,,,,,,,,,,,,,,,,3.42
2010-11-05,,,,,,,,,,,,,,,,,,,,3.51
2010-11-08,,,,,,,,,,,,,,,,,,,,3.57
2010-11-09,,,,,,,,,,,,,,,,,,,,3.57
2010-11-10,,,,,,,,,,,,,,,,,,,,3.57
2010-11-11,,,,,,,,,,,,,,,,,,,,3.57
2010-11-12,,,,,,,,,,,,,,,,,,,,3.2
2010-11-15,,,,,,,,,,,,,,,,,,,,3.2
2010-11-16,,,,,,,,,,,,,,,,,,,,3.45
2010-11-17,,,,,,,,,,,,,,,,,,,,3.45
2010-11-18,,,,,,,,,,,,,,,,,,,,3.45
2010-11-19,,,,,,,,,,,,,,,,,,,,3.45
2010-11-24,,,,,,,,,,,,,,,,,,,,3.45
2010-11-25,,,,,,,,,,,,,,,,,,,,3.3
2010-11-26,,,,,,,,,,,,,,,,,,,,3.3
2010-11-29,,,,,,,,,,,,,,,,,,,,3.4
2010-11-30,,,,,,,,,,,,,,,,,,,,3.2
2010-12-01,,,,,,,,,,,,,,,,,,,,3.21
2010-12-02,,,,,,,,,,,,,,,,,,,,3.48
2010-12-03,,,,,,,,,,,,,,,,,,,,3.5
2010-12-06,,,,,,,,,,,,,,,,,,,,3.31
2010-12-07,,,,,,,,,,,,,,,,,,,,3.59
2010-12-08,,,,,,,,,,,,,,,,,,,,3.57
2010-12-09,,,,,,,,,,,,,,,,,,,,3.3
2010-12-10,,,,,,,,,,,,,,,,,,,,3.31
2010-12-13,,,,,,,,,,,,,,,,,,,,3.3
2010-12-14,,,,,,,,,,,,,,,,,,,,3.28
2010-12-15,,,,,,,,,,,,,,,,,,,,3.27
2010-12-16,,,,,,,,,,,,,,,,,,,,3.27
2010-12-20,,,,,,,,,,,,,,,,,,,,3.25
2010-12-21,,,,,,,,,,,,,,,,,,,,3.25
2010-12-22,,,,,,,,,,,,,,,,,,,,3.29
2010-12-23,,,,,,,,,,,,,,,,,,,,3.3
2010-12-24,,,,,,,,,,,,,,,,,,,,3.3
2010-12-27,,,,,,,,,,,,,,,,,,,,3.13
2010-12-28,,,,,,,,,,,,,,,,,,,,3.14
2010-12-29,,,,,,,,,,,,,,,,,,,,3.14
2010-12-30,,,,,,,,,,,,,,,,,,,,3.2
2010-12-31,,,,,,,,,,,,,,,,,,,,3.3
2011-01-03,,,,,,,,,,,,,,,,,,,,3.31
2011-01-04,,,,,,,,,,,,,,,,,,,,3.5
2011-01-06,,,,,,,,,,,,,,,,,,,,3.49
2011-01-07,,,,,,,,,,,,,,,,,,,,3.48
2011-01-10,,,,,,,,,,,,,,,,,,,,3.45
2011-01-11,,,,,,,,,,,,,,,,,,,,3.5
2011-01-12,,,,,,,,,,,,,,,,,,,,3.4
2011-01-13,,,,,,,,,,,,,,,,,,,,3.4
2011-01-14,,,,,,,,,,,,,,,,,,,,3.22
2011-01-17,,,,,,,,,,,,,,,,,,,,3.25
2011-01-18,,,,,,,,,,,,,,,,,,,,3.4
2011-01-19,,,,,,,,,,,,,,,,,,,,3.4
2011-01-20,,,,,,,,,,,,,,,,,,,,3.4
2011-01-21,,,,,,,,,,,,,,,,,,,,3.49
2011-01-24,,,,,,,,,,,,,,,,,,,,3.3
2011-01-25,,,,,,,,,,,,,,,,,,,,3.3
2011-01-28,,,,,,,,,,,,,,,,,,,,3.4
2011-01-31,,,,,,,,,,,,,,,,,,,,3.36
2011-02-02,,,,,,,,,,,,,,,,,,,,3.38
2011-02-04,,,,,,,,,,,,,,,,,,,,3.38
2011-02-07,,,,,,,,,,,,,,,,,,,,3.5
2011-02-09,,,,,,,,,,,,,,,,,,,,3.5
2011-02-11,,,,,,,,,,,,,,,,,,,,3.3
2011-02-14,,,,,,,,,,,,,,,,,,,,3.3
2011-02-15,,,,,,,,,,,,,,,,,,,,3.3
2011-02-16,,,,,,,,,,,,,,,,,,,,3.26
2011-02-17,,,,,,,,,,,,,,,,,,,,3.24
2011-02-18,,,,,,,,,,,,,,,,,,,,3.48
2011-02-21,,,,,,,,,,,,,,,,,,,,3.46
2011-02-22,,,,,,,,,,,,,,,,,,,,3.4
2011-02-24,,,,,,,,,,,,,,,,,,,,3.49
2011-02-25,,,,,,,,,,,,,,,,,,,,3.5
2011-02-28,,,,,,,,,,,,,,,,,,,,3.49
2011-03-02,,,,,,,,,,,,,,,,,,,,3.5
2011-03-04,,,,,,,,,,,,,,,,,,,,3.5
2011-03-07,,,,,,,,,,,,,,,,,,,,3.51
2011-03-08,,,,,,,,,,,,,,,,,,,,3.59
2011-03-09,,,,,,,,,,,,,,,,,,,,3.62
2011-03-10,,,,,,,,,,,,,,,,,,,,3.62
2011-03-11,,,,,,,,,,,,,,,,,,,,3.64
2011-03-14,,,,,,,,,,,,,,,,,,,,3.25
2011-03-15,,,,,,,,,,,,,,,,,,,,3.81
2011-03-16,,,,,,,,,,,,,,,,,,,,3.84
2011-03-17,,,,,,,,,,,,,,,,,,,,3.83
2011-03-22,,,,,,,,,,,,,,,,,,,,3.9
2011-03-23,,,,,,,,,,,,,,,,,,,,4.1
2011-03-24,,,,,,,,,,,,,,,,,,,,3.97
2011-03-25,,,,,,,,,,,,,,,,,,,,3.96
2011-03-28,,,,,,,,,,,,,,,,,,,,4.03
2011-03-29,,,,,,,,,,,,,,,,,,,,3.89
2011-03-30,,,,,,,,,,,,,,,,,,,,3.89
2011-03-31,,,,,,,,,,,,,,,,,,,,3.89
2011-04-01,,,,,,,,,,,,,,,,,,,,3.86
2011-04-04,,,,,,,,,,,,,,,,,,,,3.75
2011-04-05,,,,,,,,,,,,,,,,,,,,3.75
2011-04-06,,,,,,,,,,,,,,,,,,,,3.99
2011-04-07,,,,,,,,,,,,,,,,,,,,4.27
2011-04-08,,,,,,,,,,,,,,,,,,,,4.08
2011-04-11,,,,,,,,,,,,,,,,,,,,3.81
2011-04-12,,,,,,,,,,,,,,,,,,,,3.88
2011-04-13,,,,,,,,,,,,,,,,,,,,3.8
2011-04-14,,,,,,,,,,,,,,,,,,,,3.75
2011-04-15,,,,,,,,,,,,,,,,,,,,3.75
2011-04-18,,,,,,,,,,,,,,,,,,,,3.74
2011-04-21,,,,,,,,,,,,,,,,,,,,3.85
2011-04-26,,,,,,,,,,,,,,,,,,,,3.8
2011-04-27,,,,,,,,,,,,,,,,,,,,3.79
2011-04-28,,,,,,,,,,,,,,,,,,,,3.82
2011-04-29,,,,,,,,,,,,,,,,,,,,3.79
2011-05-02,,,,,,,,,,,,,,,,,,,,3.88
2011-05-03,,,,,,,,,,,,,,,,,,,,4.55
2011-05-04,,,,,,,,,,,,,,,,,,,,4.56
2011-05-05,,,,,,,,,,,,,,,,,,,,4.66
2011-05-06,,,,,,,,,,,,,,,,,,,,4.74
2011-05-09,,,,,,,,,,,,,,,,,,,,4.66
2011-05-10,,,,,,,,,,,,,,,,,,,,4.68
2011-05-11,,,,,,,,,,,,,,,,,,,,4.73
2011-05-12,,,,,,,,,,,,,,,,,,,,4.65
2011-05-13,,,,,,,,,,,,,,,,,,,,4.65
2011-05-16,,,,,,,,,,,,,,,,,,,,4.6
2011-05-17,,,,,,,,,,,,,,,,,,,,4.67
2011-05-18,,,,,,,,,,,,,,,,,,,,4.67
2011-05-19,,,,,,,,,,,,,,,,,,,,4.7
2011-05-20,,,,,,,,,,,,,,,,,,,,4.59
2011-05-23,,,,,,,,,,,,,,,,,,,,4.6
2011-05-24,,,,,,,,,,,,,,,,,,,,4.6
2011-05-25,,,,,,,,,,,,,,,,,,,,4.65
2011-05-26,,,,,,,,,,,,,,,,,,,,4.56
2011-05-27,,,,,,,,,,,,,,,,,,,,4.58
2011-05-30,,,,,,,,,,,,,,,,,,,,4.8
2011-05-31,,,,,,,,,,,,,,,,,,,,4.75
2011-06-01,,,,,,,,,,,,,,,,,,,,4.71
2011-06-02,,,,,,,,,,,,,,,,,,,,4.83
2011-06-03,,,,,,,,,,,,,,,,,,,,4.72
2011-06-06,,,,,,,,,,,,,,,,,,,,4.71
2011-06-08,,,,,,,,,,,,,,,,,,,,4.71
2011-06-09,,,,,,,,,,,,,,,,,,,,4.71
2011-06-10,,,,,,,,,,,,,,,,,,,,4.71
2011-06-14,,,,,,,,,,,,,,,,,,,,4.71
2011-06-15,,,,,,,,,,,,,,,,,,,,4.58
2011-06-16,,,,,,,,,,,,,,,,,,,,4.58
2011-06-17,,,,,,,,,,,,,,,,,,,,4.56
2011-06-20,,,,,,,,,,,,,,,,,,,,4.6
2011-06-21,,,,,,,,,,,,,,,,,,,,4.55
2011-06-22,,,,,,,,,,,,,,,,,,,,4.55
2011-06-23,,,,,,,,,,,,,,,,,,,,4.55
2011-06-24,,,,,,,,,,,,,,,,,,,,4.31
2011-06-27,,,,,,,,,,,,,,,,,,,,4.37
2011-06-28,,,,,,,,,,,,,,,,,,,,4.52
2011-06-29,,,,,,,,,,,,,,,,,,,,4.36
2011-06-30,,,,,,,,,,,,,,,,,,,,4.36
2011-07-01,,,,,,,,,,,,,,,,,,,,4.37
2011-07-04,,,,,,,,,,,,,,,,,,,,4.49
2011-07-05,,,,,,,,,,,,,,,,,,,,4.35
2011-07-06,,,,,,,,,,,,,,,,,,,,4.5
2011-07-07,,,,,,,,,,,,,,,,,,,,4.5
2011-07-08,,,,,,,,,,,,,,,,,,,,4.5
2011-07-11,,,,,,,,,,,,,,,,,,,,4.47
2011-07-12,,,,,,,,,,,,,,,,,,,,4.32
2011-07-13,,,,,,,,,,,,,,,,,,,,4.35
2011-07-14,,,,,,,,,,,,,,,,,,,,4.5
2011-07-15,,,,,,,,,,,,,,,,,,,,4.5
2011-07-18,,,,,,,,,,,,,,,,,,,,4.48
2011-07-19,,,,,,,,,,,,,,,,,,,,4.46
2011-07-20,,,,,,,,,,,,,,,,,,,,4.5
2011-07-21,,,,,,,,,,,,,,,,,,,,4.45
2011-07-22,,,,,,,,,,,,,,,,,,,,4.5
2011-07-25,,,,,,,,,,,,,,,,,,,,4.55
2011-07-26,,,,,,,,,,,,,,,,,,,,4.54
2011-07-27,,,,,,,,,,,,,,,,,,,,4.42
2011-07-28,,,,,,,,,,,,,,,,,,,,4.55
2011-07-29,,,,,,,,,,,,,,,,,,,,4.45
2011-08-01,,,,,,,,,,,,,,,,,,,,4.35
2011-08-02,,,,,,,,,,,,,,,,,,,,4.3
2011-08-03,,,,,,,,,,,,,,,,,,,,4.15
2011-08-04,,,,,,,,,,,,,,,,,,,,4.05
2011-08-05,,,,,,,,,,,,,,,,,,,,4.0
2011-08-08,,,,,,,,,,,,,,,,,,,,3.87
2011-08-09,,,,,,,,,,,,,,,,,,,,3.8
2011-08-10,,,,,,,,,,,,,,,,,,,,3.86
2011-08-11,,,,,,,,,,,,,,,,,,,,3.85
2011-08-12,,,,,,,,,,,,,,,,,,,,3.99
2011-08-16,,,,,,,,,,,,,,,,,,,,3.85
2011-08-18,,,,,,,,,,,,,,,,,,,,3.8
2011-08-19,,,,,,,,,,,,,,,,,,,,3.75
2011-08-22,,,,,,,,,,,,,,,,,,,,3.75
2011-08-23,,,,,,,,,,,,,,,,,,,,3.9
2011-08-26,,,,,,,,,,,,,,,,,,,,3.75
2011-08-29,,,,,,,,,,,,,,,,,,,,3.75
2011-08-30,,,,,,,,,,,,,,,,,,,,3.99
2011-08-31,,,,,,,,,,,,,,,,,,,,3.8
2011-09-01,,,,,,,,,,,,,,,,,,,,3.81
2011-09-02,,,,,,,,,,,,,,,,,,,,4.0
2011-09-05,,,,,,,,,,,,,,,,,,,,3.8
2011-09-06,,,,,,,,,,,,,,,,,,,,3.8
2011-09-07,,,,,,,,,,,,,,,,,,,,4.0
2011-09-08,,,,,,,,,,,,,,,,,,,,4.0
2011-09-09,,,,,,,,,,,,,,,,,,,,3.97
2011-09-12,,,,,,,,,,,,,,,,,,,,3.86
2011-09-13,,,,,,,,,,,,,,,,,,,,3.86
2011-09-14,,,,,,,,,,,,,,,,,,,,4.0
2011-09-15,,,,,,,,,,,,,,,,,,,,4.0
2011-09-16,,,,,,,,,,,,,,,,,,,,4.0
2011-09-19,,,,,,,,,,,,,,,,,,,,3.95
2011-09-20,,,,,,,,,,,,,,,,,,,,3.95
2011-09-21,,,,,,,,,,,,,,,,,,,,3.93
2011-09-22,,,,,,,,,,,,,,,,,,,,3.81
2011-09-23,,,,,,,,,,,,,,,,,,,,3.8
2011-09-26,,,,,,,,,,,,,,,,,,,,3.8
2011-09-27,,,,,,,,,,,,,,,,,,,,3.85
2011-09-28,,,,,,,,,,,,,,,,,,,,3.85
2011-09-29,,,,,,,,,,,,,,,,,,,,3.85
2011-09-30,,,,,,,,,,,,,,,,,,,,3.85
2011-10-03,,,,,,,,,,,,,,,,,,,,3.85
2011-10-04,,,,,,,,,,,,,,,,,,,,3.79
2011-10-05,,,,,,,,,,,,,,,,,,,,3.82
2011-10-06,,,,,,,,,,,,,,,,,,,,3.78
2011-10-07,,,,,,,,,,,,,,,,,,,,3.78
2011-10-10,,,,,,,,,,,,,,,,,,,,3.78
2011-10-12,,,,,,,,,,,,,,,,,,,,3.78
2011-10-13,,,,,,,,,,,,,,,,,,,,3.85
2011-10-14,,,,,,,,,,,,,,,,,,,,3.85
2011-10-17,,,,,,,,,,,,,,,,,,,,3.75
2011-10-18,,,,,,,,,,,,,,,,,,,,3.69
2011-10-19,,,,,,,,,,,,,,,,,,,,3.5
2011-10-20,,,,,,,,,,,,,,,,,,,,3.34
2011-10-21,,,,,,,,,,,,,,,,,,,,3.63
2011-10-24,,,,,,,,,,,,,,,,,,,,3.63
2011-10-25,,,,,,,,,,,,,,,,,,,,3.64
2011-10-26,,,,,,,,,,,,,,,,,,,,3.63
2011-10-27,,,,,,,,,,,,,,,,,,,,3.63
2011-10-28,,,,,,,,,,,,,,,,,,,,3.63
2011-10-31,,,,,,,,,,,,,,,,,,,,3.63
2011-11-01,,,,,,,,,,,,,,,,,,,,3.61
2011-11-02,,,,,,,,,,,,,,,,,,,,3.28
2011-11-03,,,,,,,,,,,,,,,,,,,,3.29
2011-11-04,,,,,,,,,,,,,,,,,,,,3.1
2011-11-07,,,,,,,,,,,,,,,,,,,,2.95
2011-11-08,,,,,,,,,,,,,,,,,,,,2.95
2011-11-09,,,,,,,,,,,,,,,,,,,,2.95
2011-11-10,,,,,,,,,,,,,,,,,,,,2.95
2011-11-11,,,,,,,,,,,,,,,,,,,,2.95
2011-11-14,,,,,,,,,,,,,,,,,,,,2.95
2011-11-15,,,,,,,,,,,,,,,,,,,,2.95
2011-11-16,,,,,,,,,,,,,,,,,,,,3.0
2011-11-17,,,,,,,,,,,,,,,,,,,,2.6
2011-11-18,,,,,,,,,,,,,,,,,,,,2.61
2011-11-21,,,,,,,,,,,,,,,,,,,,2.6
2011-11-22,,,,,,,,,,,,,,,,,,,,2.6
2011-11-23,,,,,,,,,,,,,,,,,,,,2.4
2011-11-24,,,,,,,,,,,,,,,,,,,,2.4
2011-11-25,,,,,,,,,,,,,,,,,,,,2.45
2011-11-28,,,,,,,,,,,,,,,,,,,,2.46
2011-11-29,,,,,,,,,,,,,,,,,,,,2.46
2011-11-30,,,,,,,,,,,,,,,,,,,,2.46
2011-12-01,,,,,,,,,,,,,,,,,,,,2.59
2011-12-02,,,,,,,,,,,,,,,,,,,,2.41
2011-12-05,,,,,,,,,,,,,,,,,,,,2.55
2011-12-06,,,,,,,,,,,,,,,,,,,,2.6
2011-12-07,,,,,,,,,,,,,,,,,,,,2.55
2011-12-08,,,,,,,,,,,,,,,,,,,,2.6
2011-12-09,,,,,,,,,,,,,,,,,,,,2.55
2011-12-13,,,,,,,,,,,,,,,,,,,,2.58
2011-12-14,,,,,,,,,,,,,,,,,,,,2.55
2011-12-15,,,,,,,,,,,,,,,,,,,,2.56
2011-12-16,,,,,,,,,,,,,,,,,,,,2.55
2011-12-19,,,,,,,,,,,,,,,,,,,,2.6
2011-12-20,,,,,,,,,,,,,,,,,,,,2.6
2011-12-21,,,,,,,,,,,,,,,,,,,,2.55
2011-12-22,,,,,,,,,,,,,,,,,,,,2.56
2011-12-23,,,,,,,,,,,,,,,,,,,,2.5
2011-12-27,,,,,,,,,,,,,,,,,,,,2.5
2011-12-28,,,,,,,,,,,,,,,,,,,,2.35
2011-12-29,,,,,,,,,,,,,,,,,,,,2.35
2011-12-30,,,,,,,,,,,,,,,,,,,,2.35
2012-01-11,,,,,,,,,,,,,,,,,,,,2.4
2012-01-12,,,,,,,,,,,,,,,,,,,,2.49
2012-01-17,,,,,,,,,,,,,,,,,,,,2.43
2012-01-18,,,,,,,,,,,,,,,,,,,,2.54
2012-01-19,,,,,,,,,,,,,,,,,,,,2.43
2012-01-23,,,,,,,,,,,,,,,,,,,,2.9
2012-01-25,,,,,,,,,,,,,,,,,,,,2.9
2012-01-27,,,,,,,,,,,,,,,,,,,,2.98
2012-01-30,,,,,,,,,,,,,,,,,,,,3.0
2012-01-31,,,,,,,,,,,,,,,,,,,,2.41
2012-02-10,,,,,,,,,,,,,,,,,,,,3.0
2012-02-13,,,,,,,,,,,,,,,,,,,,3.95
2012-02-14,,,,,,,,,,,,,,,,,,,,4.0
2012-02-15,,,,,,,,,,,,,,,,,,,,3.99
2012-02-16,,,,,,,,,,,,,,,,,,,,3.9
2012-02-21,,,,,,,,,,,,,,,,,,,,3.92
2012-02-27,,,,,,,,,,,,,,,,,,,,3.53
2012-02-29,,,,,,,,,,,,,,,,,,,,3.86
2012-03-02,,,,,,,,,,,,,,,,,,,,3.16
2012-03-07,,,,,,,,,,,,,,,,,,,,3.4
2012-03-09,,,,,,,,,,,,,,,,,,,,3.46
2012-03-13,,,,,,,,,,,,,,,,,,,,3.4
2012-03-14,,,,,,,,,,,,,,,,,,,,3.36
2012-03-15,,,,,,,,,,,,,,,,,,,,3.22
2012-03-16,,,,,,,,,,,,,,,,,,,,3.4
2012-03-20,,,,,,,,,,,,,,,,,,,,3.21
2012-03-21,,,,,,,,,,,,,,,,,,,,3.22
2012-03-26,,,,,,,,,,,,,,,,,,,,3.21
2012-03-27,,,,,,,,,,,,,,,,,,,,3.5
2012-03-28,,,,,,,,,,,,,,,,,,,,3.49
2012-03-29,,,,,,,,,,,,,,,,,,,,3.22
2012-04-02,,,,,,,,,,,,,,,,,,,,3.2
2012-04-03,,,,,,,,,,,,,,,,,,,,3.2
2012-04-04,,,,,,,,,,,,,,,,,,,,3.19
2012-04-05,,,,,,,,,,,,,,,,,,,,3.11
2012-04-10,,,,,,,,,,,,,,,,,,,,3.12
2012-04-12,,,,,,,,,,,,,,,,,,,,3.3
2012-04-13,,,,,,,,,,,,,,,,,,,,3.12
2012-04-18,,,,,,,,,,,,,,,,,,,,3.12
2012-04-19,,,,,,,,,,,,,,,,,,,,3.12
2012-04-20,,,,,,,,,,,,,,,,,,,,3.48
2012-04-23,,,,,,,,,,,,,,,,,,,,3.11
2012-04-24,,,,,,,,,,,,,,,,,,,,3.11
2012-04-30,,,,,,,,,,,,,,,,,,,,3.11
2012-05-07,,,,,,,,,,,,,,,,,,,,3.11
2012-05-08,,,,,,,,,,,,,,,,,,,,3.11
2012-05-09,,,,,,,,,,,,,,,,,,,,3.4
2012-05-10,,,,,,,,,,,,,,,,,,,,2.73
2012-05-14,,,,,,,,,,,,,,,,,,,,2.52
2012-05-15,,,,,,,,,,,,,,,,,,,,2.52
2012-05-17,,,,,,,,,,,,,,,,,,,,2.53
2012-05-22,,,,,,,,,,,,,,,,,,,,2.52
2012-05-25,,,,,,,,,,,,,,,,,,,,3.25
2012-05-28,,,,,,,,,,,,,,,,,,,,3.24
2012-06-01,,,,,,,,,,,,,,,,,,,,2.17
2012-06-05,,,,,,,,,,,,,,,,,,,,2.31
2012-06-07,,,,,,,,,,,,,,,,,,,,3.32
2012-06-08,,,,,,,,,,,,,,,,,,,,2.7
2012-06-11,,,,,,,,,,,,,,,,,,,,2.5
2012-06-14,,,,,,,,,,,,,,,,,,,,3.37
2012-06-19,,,,,,,,,,,,,,,,,,,,2.18
2012-06-20,,,,,,,,,,,,,,,,,,,,2.26
2012-06-25,,,,,,,,,,,,,,,,,,,,3.25
2012-06-27,,,,,,,,,,,,,,,,,,,,2.78
2012-06-28,,,,,,,,,,,,,,,,,,,,2.61
2012-06-29,,,,,,,,,,,,,,,,,,,,2.41
2012-07-03,,,,,,,,,,,,,,,,,,,,2.8
2012-07-04,,,,,,,,,,,,,,,,,,,,2.5
2012-07-05,,,,,,,,,,,,,,,,,,,,2.5
2012-07-10,,,,,,,,,,,,,,,,,,,,2.56
2012-07-11,,,,,,,,,,,,,,,,,,,,2.5
2012-07-12,,,,,,,,,,,,,,,,,,,,2.6
2012-07-16,,,,,,,,,,,,,,,,,,,,2.6
2012-07-18,,,,,,,,,,,,,,,,,,,,2.6
2012-07-27,,,,,,,,,,,,,,,,,,,,2.6
2012-07-30,,,,,,,,,,,,,,,,,,,,2.6
2012-07-31,,,,,,,,,,,,,,,,,,,,2.8
2012-08-01,,,,,,,,,,,,,,,,,,,,2.8
2012-08-02,,,,,,,,,,,,,,,,,,,,2.8
2012-08-06,,,,,,,,,,,,,,,,,,,,2.5
2012-08-07,,,,,,,,,,,,,,,,,,,,2.56
