,ITP FP Equity_DX_SI_QTY,ITP FP Equity_DX_SHORT_INTEREST_VALUE,ITP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ITP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ITP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ITP FP Equity_DX_SI_MV,ITP FP Equity_DX_DSS,ITP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ITP FP Equity_DX_SUPPLY_SI_QTY,ITP FP Equity_DX_BROKER_SI_QTY,ITP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ITP FP Equity_DX_BROKER_SI_MV_NEW_x,ITP FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ITP FP Equity_DX_SUPPLY_SI_QTY_INC_x,ITP FP Equity_DX_BROKER_SI_MV_INC_x,ITP FP Equity_DX_SUPPLY_SI_MV_NEW,ITP FP Equity_DX_BROKER_SI_QTY_ADD,ITP FP Equity_DX_BROKER_SI_QTY_NEW,ITP FP Equity_DX_SUPPLY_SI_MV_DEC,ITP FP Equity_DX_BROKER_SI_QTY_INC,ITP FP Equity_DX_SUPPLY_SI_QTY_DEC,ITP FP Equity_DX_BROKER_SI_MV_NEW_y,ITP FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ITP FP Equity_DX_BROKER_SI_MV_INC_y,ITP FP Equity_DX_SUPPLY_SI_QTY_INC_y,ITP FP Equity_DX_BROKER_SI_MV_ADD,ITP FP Equity_DX_SUPPLY_SI_QTY_ADD,ITP FP Equity_DX_BROKER_SI_QTY_DEC,ITP FP Equity_DX_SUPPLY_SI_MV,ITP FP Equity_DX_BROKER_SI_MV_DEC,ITP FP Equity_DX_SUPPLY_SI_MV_RMV,ITP FP Equity_DX_BROKER_SI_MV_RMV,ITP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ITP FP Equity_DX_UTILIZATION_QUANTITY,ITP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ITP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ITP FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ITP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ITP FP Equity_DX_ACTIVE_UTILIZATION_MV,ITP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ITP FP Equity_DX_BROKER_SI_CON_RATIO,ITP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ITP FP Equity_DX_DEMAND_SUPPLY_RATIO
2008-08-21,7000.0,129942.24,0.17,3.26,0.05,0.17,0.0,114163.54,5450.0,6150.0,101169.31,,,,,,,,,,,,,,,,,,0.12,,,,11.78,11.78,40813.0,757618.93,,0.93,11.72,35.78,0.4198,52.79,0.1513
2008-08-22,7000.0,129653.48,0.17,3.42,0.05,0.17,0.0,113909.84,5450.0,6150.0,100944.49,,,,,,,,,,,,,,,,,,0.12,,,,11.78,11.78,40813.0,755935.33,,0.92,11.8,35.69,0.4219,53.09,0.1513
2008-08-25,7000.0,131674.8,0.17,3.63,0.05,0.17,0.0,115685.72,5450.0,6150.0,102518.24,,,,,,,,,,,,,,,,,,0.12,,,,11.68,11.68,41202.0,775037.87,,0.93,11.66,35.65,0.4221,53.14,0.15
2008-08-26,7000.0,131559.3,0.17,3.71,0.05,0.17,0.0,115584.24,5450.0,6150.0,102428.31,,,,,,,,,,,,,,,,,,0.12,,,,11.68,11.68,41202.0,774358.01,,0.94,11.62,35.53,0.4218,53.19,0.15
2008-08-27,7000.0,131674.8,0.17,3.86,0.05,0.17,0.0,115685.72,5450.0,6150.0,102518.24,,,,,,,,,,,,,,,,,,0.12,,,,11.68,11.68,41202.0,775037.87,,0.94,11.62,35.59,0.4215,53.11,0.15
2008-08-28,7000.0,131386.04,0.17,3.96,0.05,0.17,0.0,115432.02,5450.0,6150.0,102293.42,,,,,,,,,,,,,,,,,,0.12,,,,11.68,11.68,41202.0,773338.23,,0.94,11.63,35.58,0.4217,53.14,0.15
2008-08-29,7000.0,131674.8,0.17,4.35,0.05,0.17,0.0,115685.72,5450.0,6150.0,102518.24,,,,,,,,,,,,,,,,,,0.12,,,,11.68,11.68,41202.0,775037.87,,0.94,11.62,35.57,0.4215,53.12,0.15
2008-09-01,7000.0,130808.52,0.17,4.41,0.05,0.17,0.0,114924.63,5450.0,6150.0,101843.77,,,,,,,,,,,,,,,,,,0.12,,,,11.68,11.68,41202.0,769938.94,,0.93,11.66,35.74,0.4212,52.98,0.15
2008-09-02,7000.0,132656.59,0.17,4.62,0.05,0.17,0.0,116548.29,5450.0,6150.0,103282.63,,,,,,,,,,,,,,,,,,0.12,,,,10.65,10.65,45730.0,866626.52,,1.03,10.62,35.45,0.4231,53.38,0.1368
2008-09-03,7000.0,133407.36,0.17,4.78,0.05,0.17,0.0,117207.9,5450.0,6150.0,103867.16,,,,,,,,,,,,,,,,,,0.12,,,,10.8,10.8,44992.0,857466.29,,1.02,10.77,35.46,0.4237,53.45,0.1388
2008-09-04,7000.0,135197.68,0.17,4.45,0.05,0.17,0.0,118780.82,5450.0,6150.0,105261.05,,,,,,,,,,,,,,,,,,0.12,,,,10.89,10.89,44614.0,861672.74,,1.02,10.81,35.21,0.4248,53.71,0.1398
2008-09-05,7000.0,136294.97,0.21,4.43,0.05,0.18,0.0,119744.86,5450.0,6150.0,106115.37,,,,,,,,,,,,,,,,,,0.12,,,,10.89,10.89,44614.0,868666.24,,1.04,10.67,35.03,0.4225,53.55,0.1398
2008-09-08,7000.0,136583.73,0.21,4.41,0.05,0.18,0.0,119998.56,5450.0,6150.0,106340.19,,,,,,,,,,,,,,,,,,0.12,,,,11.68,11.68,41202.0,803931.83,,0.96,11.46,34.91,0.4236,53.74,0.15
2008-09-09,7000.0,136583.73,0.21,4.35,0.05,0.18,0.0,119998.56,5450.0,6150.0,106340.19,,,,,,,,,,,,,,,,,,0.12,,,,11.68,11.68,41202.0,803931.83,,0.97,11.45,34.9,0.4234,53.73,0.15
2008-09-10,7000.0,137103.5,0.21,4.4,0.05,0.18,0.0,120455.22,5450.0,6150.0,106744.87,,,,,,,,,,,,,,,,,,0.12,,,,11.68,11.68,41202.0,806991.19,,0.97,11.43,34.75,0.4241,53.89,0.15
2008-09-11,7000.0,136294.97,0.21,4.54,0.05,0.18,0.0,119744.86,4350.0,6150.0,84697.59,,,,,,,,0.03,,1100.0,,,,,,,,0.1,,,,9.32,9.32,42302.0,823649.96,,0.99,9.06,34.81,0.4237,53.81,0.15
2008-09-12,6500.0,127900.29,0.2,4.37,0.05,0.16,0.0,42305.48,4350.0,2150.0,85594.81,,,,,,,,,,,,,,,,,4000.0,0.1,0.1,,,9.32,9.32,42302.0,832375.07,,1.0,9.04,38.38,0.4034,49.0,0.1393
2008-09-15,22500.0,449228.87,0.68,15.52,0.17,0.54,0.0,362377.96,4350.0,18150.0,86850.92,,,,0.28,,4000.0,,,12000.0,,,,0.28,,0.09,,,0.1,,,,100.0,9.32,0.0,0.0,,0.0,100.0,17.51,0.4646,64.13,0.4823
2008-09-16,22500.0,446815.66,0.68,14.71,0.17,0.54,0.0,360431.3,4350.0,18150.0,86384.36,,,,,,,,,,,,,,,,,,0.1,,,,100.0,8.71,0.0,0.0,,0.0,100.0,17.82,0.4628,63.93,0.4505
2008-09-17,22500.0,443659.92,0.68,13.2,0.17,0.54,0.0,357885.67,4350.0,18150.0,85774.25,,,,,,,,,,,,,,,,,,0.1,,,,100.0,9.32,0.0,0.0,,0.0,100.0,17.78,0.4628,63.92,0.4823
2008-09-18,22500.0,427509.96,0.68,14.13,0.17,0.54,0.0,344858.03,4350.0,18150.0,82651.93,,,,,,,,,,,,,,,,,,0.1,,,,100.0,9.32,0.0,0.0,,0.0,100.0,17.69,0.465,64.12,0.4823
2008-09-19,22500.0,423240.43,0.68,13.76,0.17,0.53,0.0,341413.94,4350.0,18150.0,81826.48,,,,,,,,,,,,,,,,,,0.1,,,,100.0,9.32,0.0,0.0,,0.0,100.0,17.32,0.4657,64.22,0.4823
2008-09-22,22500.0,424539.85,0.68,14.47,0.17,0.53,0.0,342462.15,4350.0,18150.0,82077.7,,,,,,,,,,,,,,,,,,0.1,,,,100.0,9.32,0.0,0.0,,0.0,100.0,17.27,0.4654,64.19,0.4823
2008-09-23,22500.0,415815.16,0.68,14.82,0.17,0.53,0.0,335424.23,4350.0,18150.0,80390.93,,,,,,,,,,,,,,,,,,0.1,,,,100.0,9.32,0.0,0.0,,0.0,100.0,17.21,0.4675,64.39,0.4823
2008-09-24,22500.0,403749.09,0.68,14.86,0.17,0.53,0.0,325690.93,4350.0,18150.0,78058.16,,,,,,,,,,,,,,,,,,0.1,,,,100.0,9.32,0.0,0.0,,0.0,100.0,17.02,0.4687,64.51,0.4823
2008-09-25,22500.0,393168.08,0.68,14.2,0.17,0.52,0.0,317155.59,4350.0,18150.0,76012.5,,,,,,,,,,,,,,,,,,0.1,,,,100.0,8.43,0.0,0.0,,0.0,100.0,16.73,0.4702,64.65,0.4359
2008-09-26,22500.0,389826.71,0.68,12.79,0.17,0.51,0.0,314460.21,4350.0,18150.0,75366.5,,,,,,,,,,,,,,,,,,0.1,,,,100.0,8.37,0.0,0.0,,0.0,100.0,16.47,0.4711,64.76,0.4328
2008-09-29,22500.0,391868.66,0.68,10.55,0.17,0.51,0.0,316107.38,4350.0,18150.0,75761.27,,,,,,,,,,,,,,,,,,0.1,,,,100.0,8.34,0.0,0.0,,0.0,100.0,16.35,0.4723,64.88,0.4315
2008-09-30,19000.0,332635.62,0.57,8.78,0.14,0.44,0.0,317754.56,4850.0,18150.0,84909.62,,,500.0,,,,,,,,,,,500.0,,,,0.1,,,,100.0,9.3,0.0,0.0,,0.0,100.0,19.32,0.6257,76.6,0.3645
2008-10-01,19000.0,337808.56,0.57,8.35,0.14,0.44,0.0,322696.07,4850.0,18150.0,86230.08,,,,,,,,,,,,,,,,,,0.1,,,,100.0,9.29,0.0,0.0,,0.0,100.0,19.45,0.6225,76.35,0.364
2008-10-02,19000.0,341884.21,0.57,8.33,0.14,0.44,0.0,326589.39,4850.0,18150.0,87270.44,,,,,,,,,,,,,,,,,,0.1,,,,100.0,9.3,0.0,0.0,,0.0,100.0,19.61,0.6212,76.22,0.3644
2008-10-03,19000.0,341884.21,0.57,8.03,0.14,0.44,0.0,326589.39,4850.0,18150.0,87270.44,,,,,,,,,,,,,,,,,,0.11,,,,100.0,9.3,0.0,0.0,,0.0,100.0,19.72,0.6192,76.06,0.3644
2008-10-06,19000.0,329187.0,0.57,6.8,0.14,0.44,0.0,314460.21,4850.0,18150.0,84029.31,,,,,,,,,,,,,,,,,,0.1,,,,100.0,10.4,0.0,0.0,,0.0,100.0,19.64,0.6208,76.19,0.4073
2008-10-07,19000.0,329500.51,0.57,6.71,0.14,0.43,0.0,314759.7,4850.0,18150.0,84109.34,,,,,,,,,,,,,,,,,,0.1,,,,100.0,10.15,0.0,0.0,,0.0,100.0,19.39,0.6244,76.49,0.3977
2008-10-08,19000.0,329187.0,0.57,5.84,0.14,0.43,0.0,314460.21,4850.0,18150.0,84029.31,,,,,,,,,,,,,,,,,,0.1,,,,100.0,9.8,0.0,0.0,,0.0,100.0,19.36,0.6249,76.53,0.384
2008-10-09,19000.0,300970.97,0.57,4.72,0.14,0.43,0.0,287506.48,4850.0,18150.0,76826.8,,,,,,,,,,,,,,,,,,0.09,,,,100.0,9.94,0.0,0.0,,0.0,100.0,19.32,0.6253,76.57,0.3895
2008-10-10,19000.0,284354.86,0.57,3.79,0.14,0.42,0.0,271633.73,4850.0,18150.0,72585.32,,,,,,,,,,,,,,,,,,0.09,,,,100.0,9.97,0.0,0.0,,0.0,100.0,18.41,0.642,77.89,0.3905
2008-10-13,19000.0,298306.12,0.57,3.67,0.14,0.41,0.0,284960.85,4850.0,18150.0,76146.56,,,,,,,,,,,,,,,,,,0.09,,,,100.0,8.73,0.0,0.0,,0.0,100.0,17.86,0.6471,78.35,0.342
2008-10-14,19000.0,297835.86,0.57,3.46,0.14,0.41,0.0,284511.62,4850.0,18150.0,76026.52,,,,,,,,,,,,,,,,,,0.09,,,,100.0,8.73,0.0,0.0,,0.0,100.0,18.37,0.6394,77.73,0.342
2008-10-15,19000.0,298149.37,0.57,3.36,0.14,0.42,0.0,284811.11,4850.0,18150.0,76106.55,,,,,,,,,,,,,,,,,,0.09,,,,100.0,8.69,0.0,0.0,,0.0,100.0,18.28,0.6408,77.84,0.3404
2008-10-16,19000.0,277457.61,0.57,3.34,0.14,0.42,0.0,265045.04,4850.0,18150.0,70824.71,,,,,,,,,,,,,,,,,,0.09,,,,100.0,8.68,0.0,0.0,,0.0,100.0,18.33,0.64,77.77,0.3401
2008-10-17,18500.0,277482.36,0.56,3.27,0.14,0.39,0.0,264733.17,4850.0,17650.0,72745.38,,,,,,,,,,,,,,,,,500.0,0.09,0.02,,,100.0,8.68,0.0,0.0,,0.0,100.0,18.2,0.6375,77.63,0.331
2008-10-20,18500.0,274582.38,0.56,3.3,0.14,0.39,0.0,261966.44,4850.0,17650.0,71985.11,,,,,,,,,,,,,,,,,,0.09,,,,100.0,8.44,0.0,0.0,,0.0,100.0,18.47,0.635,77.41,0.3221
2008-10-21,18500.0,277787.63,0.56,3.35,0.14,0.39,0.0,265024.41,4850.0,17650.0,72825.4,,,,,,,,,,,,,,,,,,0.09,,,,100.0,8.44,0.0,0.0,,0.0,100.0,18.51,0.6379,77.6,0.3221
2008-10-22,10500.0,154198.12,0.32,1.91,0.08,0.23,0.0,141715.42,4850.0,9650.0,71224.85,,,,,,,,,,,,,,,,,8000.0,0.09,0.17,,,100.0,8.46,0.0,0.0,,0.0,100.0,6.81,0.873,93.19,0.1831
2008-10-23,10500.0,154198.12,0.32,1.9,0.08,0.22,0.0,141715.42,4850.0,9650.0,71224.85,,,,,,,,,,,,,,,,,,0.09,,,,100.0,8.47,0.0,0.0,,0.0,100.0,6.8,0.8732,93.2,0.1833
2008-10-24,10500.0,152898.7,0.32,1.94,0.08,0.22,0.0,140521.18,4850.0,9650.0,70624.64,,,,,,,,,,,,,,,,,,0.09,,,,100.0,8.48,0.0,0.0,,0.0,100.0,6.69,0.8751,93.31,0.1836
2008-10-27,10500.0,147267.87,0.31,1.93,0.08,0.22,0.0,135346.18,4850.0,9650.0,68023.73,,,,,,,,,,,,,,,,,,0.09,,,,100.0,8.48,0.0,0.0,,0.0,100.0,6.72,0.8746,93.28,0.1836
2008-10-28,10500.0,149953.34,0.31,1.86,0.08,0.22,0.0,137814.26,4850.0,9650.0,69264.16,,,,,,,,,,,,,,,,,,0.08,,,,100.0,8.47,0.0,0.0,,0.0,100.0,6.64,0.876,93.36,0.1834
2008-10-29,10500.0,160262.09,0.31,1.87,0.08,0.22,0.0,147288.49,4850.0,9650.0,74025.82,,,,,,,,,,,,,,,,,,0.08,,,,100.0,9.66,0.0,0.0,,0.0,100.0,6.7,0.8751,93.3,0.2091
2008-10-30,10500.0,162947.56,0.31,1.83,0.08,0.23,0.0,149756.57,4850.0,9650.0,75266.26,,,,,,,,,,,,,,,,,,0.09,,,,100.0,8.47,0.0,0.0,,0.0,100.0,6.94,0.8708,93.06,0.1833
2008-10-31,10500.0,174902.25,0.31,1.82,0.08,0.23,0.0,160743.5,4850.0,9650.0,80788.18,,,,,,,,,,,,,,,,,,0.09,,,,100.0,4.26,0.0,0.0,,0.0,100.0,7.41,0.8627,92.59,0.0922
2008-11-03,10500.0,173256.32,0.31,1.74,0.08,0.24,0.0,159230.8,4850.0,9650.0,80027.92,,,,,,,,,,,,,,,,,,0.09,,,,100.0,4.26,0.0,0.0,,0.0,100.0,7.16,0.8671,92.84,0.0922
2008-11-04,10500.0,171956.89,0.31,1.72,0.08,0.24,0.0,158036.57,850.0,9650.0,13920.32,,,,,,,,0.08,,4000.0,,,,,,,,0.02,,,,100.0,0.75,0.0,0.0,,0.0,100.0,7.23,0.8659,92.77,0.0922
2008-11-05,10500.0,172216.78,0.31,1.71,0.08,0.23,0.0,158275.42,4850.0,9650.0,79547.75,,,,,,,,,,,,,,,,4000.0,,0.1,,,,100.0,8.55,0.0,0.0,,0.0,100.0,7.2,0.8663,92.8,0.1852
2008-11-06,10500.0,168924.91,0.31,1.73,0.08,0.24,0.0,155250.03,4850.0,9650.0,78027.22,,,,,,,,,,,,,,,,,,0.09,,,,100.0,8.54,0.0,0.0,,0.0,100.0,7.18,0.8666,92.82,0.1848
2008-11-07,10500.0,164506.87,0.31,1.78,0.08,0.23,0.0,151189.65,4850.0,9650.0,75986.51,,,,,,,,,,,,,,,,,,0.09,,,,100.0,8.54,0.0,0.0,,0.0,100.0,6.95,0.8707,93.05,0.1848
2008-11-10,10500.0,159828.95,0.31,1.88,0.08,0.23,0.0,146890.42,4850.0,9650.0,73825.75,,,,,,,,,,,,,,,,,,0.09,,,,100.0,8.54,0.0,0.0,,0.0,100.0,7.02,0.8695,92.98,0.1848
2008-11-11,10500.0,152465.56,0.31,1.85,0.08,0.23,0.0,140123.11,4850.0,9650.0,70424.57,,,,,,,,,,,,,,,,,,0.09,,,,100.0,8.54,0.0,0.0,,0.0,100.0,6.87,0.872,93.13,0.1848
2008-11-12,10500.0,154198.12,0.31,1.82,0.08,0.22,0.0,141715.42,4850.0,9650.0,71224.85,,,,,,,,,,,,,,,,,,0.09,,,,100.0,8.51,0.0,0.0,,0.0,100.0,6.67,0.8755,93.33,0.1842
2008-11-13,10500.0,155064.4,0.31,1.82,0.08,0.22,0.0,142511.57,4850.0,9650.0,71624.99,,,,,,,,,,,,,,,,,,0.09,,,,100.0,8.51,0.0,0.0,,0.0,100.0,6.83,0.8727,93.17,0.1842
2008-11-14,10500.0,154977.77,0.31,1.83,0.08,0.22,0.0,142431.95,4850.0,9650.0,71584.97,,,,,,,,,,,,,,,,,,0.09,,,,100.0,8.52,0.0,0.0,,0.0,100.0,6.8,0.8733,93.2,0.1844
2008-11-17,10500.0,155064.4,0.31,1.95,0.08,0.22,0.0,142511.57,4850.0,9650.0,71624.99,,,,,,,,,,,,,,,,,,0.09,,,,100.0,8.52,0.0,0.0,,0.0,100.0,6.77,0.8737,93.23,0.1844
2008-11-18,10500.0,152465.56,0.31,1.94,0.08,0.22,0.0,140123.11,4850.0,9650.0,70424.57,,,,,,,,,,,,,,,,,,0.09,,,,100.0,8.59,0.0,0.0,,0.0,100.0,6.79,0.8733,93.21,0.186
2008-11-19,2500.0,36425.08,0.07,0.5,0.02,0.06,0.0,24040.55,850.0,1650.0,12384.53,,,,,,,,0.07,,4000.0,,,,,,,8000.0,0.02,0.17,,,1.51,1.51,55612.0,810268.57,,0.98,1.5,26.14,0.6139,73.86,0.0443
2008-11-20,2500.0,36816.97,0.07,0.59,0.02,0.06,0.0,24299.2,850.0,1650.0,12517.77,,,,,,,,,,,,,,,,,,0.02,,,,1.47,1.47,57082.0,840634.44,,1.01,1.46,26.18,0.6135,73.82,0.0432
2008-11-21,2500.0,37126.35,0.07,0.76,0.02,0.06,0.0,24503.39,850.0,1650.0,12622.96,,,,,,,,,,,,,,,,,,0.02,,,,1.63,1.63,51434.0,763822.74,,0.92,1.61,26.13,0.6139,73.87,0.0478
2008-11-24,2500.0,37332.61,0.07,0.79,0.02,0.06,0.0,24639.52,850.0,1650.0,12693.09,,,,,,,,,,,,,,,,,,0.01,,,,1.63,1.63,51436.0,768096.07,,0.92,1.6,25.91,0.6161,74.09,0.0478
2008-11-25,2500.0,38632.03,0.07,0.87,0.02,0.06,0.0,25497.14,850.0,1650.0,13134.89,,,,,,,,,,,,,,,,,,0.02,,,,1.56,1.56,53731.0,830295.11,,0.99,1.53,26.48,0.6106,73.52,0.0458
2008-11-26,2500.0,38632.03,0.07,0.9,0.02,0.06,0.0,25497.14,850.0,1650.0,13134.89,,,,,,,,,,,,,,,,,,0.02,,,,1.54,1.54,54230.0,838006.06,,1.0,1.52,26.35,0.6119,73.65,0.0454
2008-11-27,2500.0,38735.16,0.07,0.95,0.02,0.06,0.0,25565.21,850.0,1650.0,13169.96,,,,,,,,,,,,,,,,,,0.02,,,,1.54,1.54,54230.0,840243.13,,1.01,1.52,26.4,0.6114,73.6,0.0454
2008-11-28,2500.0,38735.16,0.07,0.95,0.02,0.06,0.0,25565.21,850.0,1650.0,13169.96,,,,,,,,,,,,,,,,,,0.02,,,,1.5,1.5,55828.0,865002.65,,1.05,1.5,26.94,0.6063,73.06,0.0441
2008-12-01,2500.0,39312.68,0.07,0.92,0.02,0.06,0.0,25946.37,850.0,1650.0,13366.31,,,,,,,,,,,,,,,,,,0.02,,,,1.49,1.49,56010.0,880761.35,,1.06,1.49,26.94,0.6063,73.06,0.044
2008-12-02,2500.0,39601.44,0.07,0.91,0.02,0.06,0.0,26136.95,850.0,1650.0,13464.49,,,,,,,,,,,,,,,,,,0.02,,,,1.49,1.49,56010.0,887230.74,,1.07,1.49,27.13,0.6046,72.87,0.044
2008-12-03,2500.0,39188.93,0.07,0.89,0.02,0.06,0.0,25864.69,850.0,1650.0,13324.24,,,,,,,,,,,,,,,,,,0.02,,,,1.43,1.43,58445.0,916158.77,,1.12,1.44,27.22,0.6038,72.78,0.0422
2008-12-04,2500.0,38962.05,0.07,0.89,0.02,0.06,0.0,25714.95,850.0,1650.0,13247.1,,,,,,,,,,,,,,,,,,0.02,,,,1.4,1.4,59988.0,934902.07,,1.14,1.4,27.09,0.605,72.91,0.0411
2008-12-05,2500.0,38982.67,0.07,0.89,0.02,0.06,0.0,25728.56,850.0,1650.0,13254.11,,,,,,,,,,,,,,,,,,0.02,,,,1.36,1.36,61488.0,958786.59,,1.16,1.36,27.03,0.6056,72.97,0.0401
2008-12-08,2500.0,39188.93,0.07,0.9,0.02,0.06,0.0,25864.69,850.0,1650.0,13324.24,,,,,,,,,,,,,,,,,,0.02,,,,1.36,1.36,61488.0,963859.53,,1.16,1.36,27.02,0.6056,72.98,0.0401
2008-12-09,2500.0,38982.67,0.07,1.01,0.02,0.06,0.0,25728.56,850.0,1650.0,13254.11,,,,,,,,,,,,,,,,,,0.02,,,,1.36,1.36,61488.0,958786.59,,1.17,1.37,27.09,0.605,72.91,0.0401
2008-12-10,2500.0,38776.41,0.07,1.07,0.02,0.06,0.0,25592.43,850.0,1650.0,13183.98,,,,,,,,,,,,,,,,,,0.02,,,,1.36,1.36,61488.0,953713.64,,1.16,1.37,27.02,0.6056,72.98,0.0401
2008-12-11,2500.0,38405.15,0.07,1.16,0.02,0.06,0.0,25347.4,850.0,1650.0,13057.75,,,,,,,,,,,,,,,,,,0.02,,,,1.36,1.36,61871.0,950466.01,,1.15,1.37,26.96,0.6062,73.04,0.0399
2008-12-12,2500.0,38157.64,0.07,1.17,0.02,0.06,0.0,25184.04,850.0,1650.0,12973.6,,,,,,,,,,,,,,,,,,0.02,,,,1.36,1.36,61871.0,944340.56,,1.14,1.36,26.71,0.6085,73.29,0.0399
2008-12-15,2500.0,38467.03,0.07,1.35,0.02,0.06,0.0,25388.24,850.0,1650.0,13078.79,,,,,,,,,,,,,,,,,,0.02,,,,1.36,1.36,61871.0,951997.37,,1.15,1.35,26.76,0.608,73.24,0.0399
2008-12-16,2500.0,37972.01,0.07,1.4,0.02,0.06,0.0,25061.53,850.0,1650.0,12910.48,,,,,,,,,,,,,,,,,,0.02,,,,1.36,1.36,61871.0,939746.47,,1.14,1.37,26.86,0.6071,73.14,0.0399
2008-12-17,2500.0,38054.51,0.07,1.46,0.02,0.06,0.0,25115.98,850.0,1650.0,12938.53,,,,,,,,,,,,,,,,,,0.02,,,,1.36,1.36,61871.0,941788.29,,1.14,1.36,26.7,0.6086,73.3,0.0399
2008-12-18,2500.0,37951.38,0.07,1.25,0.02,0.06,0.0,25047.91,850.0,1650.0,12903.47,,,,,,,,,,,,,,,,,,0.02,,,,1.36,1.36,61871.0,939236.02,,1.15,1.35,26.72,0.6084,73.28,0.0399
2008-12-19,2500.0,37930.76,0.07,1.13,0.02,0.06,0.0,25034.3,850.0,1650.0,12896.46,,,,,,,,,,,,,,,,,,0.02,,,,1.36,1.36,61871.0,938725.56,,1.14,1.35,26.68,0.6088,73.32,0.0399
2008-12-22,2500.0,37683.25,0.07,1.03,0.02,0.06,0.0,24870.94,850.0,1650.0,12812.3,,,,,,,,,,,,,,,,,,0.02,,,,1.36,1.36,61871.0,932600.11,,1.14,1.36,26.68,0.6087,73.32,0.0399
2008-12-23,2500.0,37415.11,0.07,1.09,0.02,0.06,0.0,24693.98,850.0,1650.0,12721.14,,,,,,,,,,,,,,,,,,0.02,,,,1.36,1.36,61871.0,925964.2,,1.13,1.36,26.6,0.6095,73.4,0.0399
2008-12-24,2500.0,37126.35,0.07,1.16,0.02,0.06,0.0,24503.39,850.0,1650.0,12622.96,,,,,,,,,,,,,,,,,,0.02,,,,1.36,1.36,61871.0,918817.84,,1.12,1.36,26.55,0.6099,73.45,0.0399
2008-12-25,2500.0,37126.35,0.07,1.18,0.02,0.06,0.0,24503.39,850.0,1650.0,12622.96,,,,,,,,,,,,,,,,,,0.02,,,,1.36,1.36,61871.0,918817.84,,1.11,1.36,26.37,0.6116,73.63,0.0399
2008-12-26,2500.0,37126.35,0.07,1.18,0.02,0.06,0.0,24503.39,850.0,1650.0,12622.96,,,,,,,,,,,,,,,,,,0.02,,,,1.36,1.36,61871.0,918817.84,,1.11,1.36,26.36,0.6118,73.64,0.0399
2008-12-29,2500.0,37126.35,0.07,1.18,0.02,0.06,0.0,24503.39,850.0,1650.0,12622.96,,,,,,,,,,,,,,,,,,0.02,,,,1.36,1.36,61871.0,918817.84,,1.11,1.35,26.32,0.6121,73.68,0.0399
2008-12-30,2500.0,37126.35,0.07,1.19,0.02,0.06,0.0,24503.39,850.0,1650.0,12622.96,,,,,,,,,,,,,,,,,,0.02,,,,1.36,1.36,61871.0,918817.84,,1.11,1.34,26.12,0.6141,73.88,0.0399
2008-12-31,2500.0,37229.48,0.07,1.23,0.02,0.06,0.0,24571.46,850.0,1650.0,12658.02,,,,,,,,,,,,,,,,,,0.02,,,,1.36,1.36,61871.0,921370.11,,1.13,1.34,26.47,0.6107,73.53,0.0399
2009-01-01,2500.0,37229.48,0.07,1.27,0.02,0.06,0.0,24571.46,850.0,1650.0,12658.02,,,,,,,,,,,,,,,,,,0.02,,,,1.36,1.36,61871.0,921370.11,,1.12,1.36,26.46,0.6109,73.54,0.0399
2009-01-02,2500.0,37745.13,0.07,1.27,0.02,0.06,0.0,24911.78,850.0,1650.0,12833.34,,,,,,,,,,,,,,,,,,0.02,,,,1.36,1.36,61871.0,934131.47,,1.13,1.36,26.72,0.6084,73.28,0.0399
2009-01-05,2500.0,38570.16,0.07,1.26,0.02,0.06,0.0,25456.3,850.0,1650.0,13113.85,,,,,,,,,,,,,,,,,,0.02,,,,1.36,1.36,61871.0,954549.65,,1.14,1.35,26.62,0.6093,73.38,0.0399
2009-01-06,2500.0,37538.87,0.07,1.23,0.02,0.06,0.0,24775.65,850.0,1650.0,12763.22,,,,,,,,,,,,,,,,,,0.02,,,,1.36,1.36,61871.0,929026.93,,1.14,1.34,26.36,0.6118,73.64,0.0399
2009-01-07,2500.0,38219.52,0.07,1.24,0.02,0.06,0.0,25224.88,850.0,1650.0,12994.64,,,,,,,,,,,,,,,,,,0.02,,,,1.36,1.36,61871.0,945871.92,,1.13,1.35,26.55,0.6099,73.45,0.0399
2009-01-08,2500.0,37848.25,0.07,1.27,0.02,0.06,0.0,24979.85,850.0,1650.0,12868.41,,,,,,,,,,,,,,,,,,0.02,,,,1.36,1.36,61871.0,936683.74,,1.14,1.36,26.78,0.6079,73.22,0.0399
