,UST FP Equity_DX_SI_QTY,UST FP Equity_DX_SHORT_INTEREST_VALUE,UST FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,UST FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,UST FP Equity_DX_SI_MV,UST FP Equity_DX_DSS,UST FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,UST FP Equity_DX_SUPPLY_SI_QTY,UST FP Equity_DX_BROKER_SI_QTY,UST FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,UST FP Equity_DX_BROKER_SI_MV_NEW_x,UST FP Equity_DX_SUPPLY_SI_QTY_NEW_x,UST FP Equity_DX_SUPPLY_SI_QTY_INC_x,UST FP Equity_DX_BROKER_SI_MV_INC_x,UST FP Equity_DX_SUPPLY_SI_MV_NEW,UST FP Equity_DX_BROKER_SI_QTY_ADD,UST FP Equity_DX_BROKER_SI_QTY_NEW,UST FP Equity_DX_SUPPLY_SI_MV_DEC,UST FP Equity_DX_BROKER_SI_QTY_INC,UST FP Equity_DX_SUPPLY_SI_QTY_DEC,UST FP Equity_DX_BROKER_SI_MV_NEW_y,UST FP Equity_DX_SUPPLY_SI_QTY_NEW_y,UST FP Equity_DX_BROKER_SI_MV_INC_y,UST FP Equity_DX_SUPPLY_SI_QTY_INC_y,UST FP Equity_DX_BROKER_SI_MV_ADD,UST FP Equity_DX_SUPPLY_SI_QTY_ADD,UST FP Equity_DX_BROKER_SI_QTY_DEC,UST FP Equity_DX_SUPPLY_SI_MV,UST FP Equity_DX_BROKER_SI_MV_DEC,UST FP Equity_DX_SUPPLY_SI_MV_RMV,UST FP Equity_DX_BROKER_SI_MV_RMV,UST FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,UST FP Equity_DX_UTILIZATION_QUANTITY,UST FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,UST FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,UST FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,UST FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,UST FP Equity_DX_ACTIVE_UTILIZATION_MV,UST FP Equity_DX_BROKER_SI_MARKET_SHARE_2,UST FP Equity_DX_BROKER_SI_CON_RATIO,UST FP Equity_DX_BROKER_SI_MARKET_SHARE_1,UST FP Equity_DX_DEMAND_SUPPLY_RATIO,UST FP Equity_PX_LAST
2009-02-13,518300.0,1886700.77,6.4,3.27,2.0,1.0,1886700.77,7300.0,518300.0,26573.25,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,17.93,0.6193,76.42,8.9362,3.905
2009-02-16,518300.0,1855296.02,6.27,3.27,2.03,1.0,1855296.02,7300.0,518300.0,26130.93,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,17.92,0.6203,76.49,8.9362,3.84
2009-02-17,518300.0,1852880.27,6.28,3.27,2.0,1.0,1852880.27,7300.0,518300.0,26096.91,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,17.93,0.6192,76.41,8.9362,3.835
2009-02-18,518300.0,1845633.02,6.38,3.27,2.0,1.0,1845633.02,7300.0,518300.0,25994.83,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,17.92,0.6193,76.42,8.9362,3.82
2009-02-19,474000.0,1656953.76,5.96,2.99,1.82,1.0,1656953.76,7300.0,474000.0,25518.49,,,,,,,,,,,,,,,,,44300.0,0.03,0.17,,,100.0,12.59,0.0,0.0,,0.0,100.0,10.29,0.7116,83.5,8.1724,3.75
2009-02-20,474000.0,1648116.68,5.87,2.99,1.79,1.0,1648116.68,7300.0,474000.0,25382.39,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,10.28,0.7105,83.43,8.1724,3.73
2009-02-23,474000.0,1614977.6,5.82,2.99,1.78,1.0,1614977.6,7300.0,474000.0,24872.02,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,10.28,0.7102,83.41,8.1724,3.655
2009-02-24,474000.0,1595094.16,5.61,2.99,1.75,1.0,1595094.16,7300.0,474000.0,24565.8,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,10.34,0.708,83.26,8.1724,3.61
2009-02-25,439000.0,1499820.48,5.25,2.91,1.6,1.0,1499820.48,7300.0,439000.0,24940.07,,,,,,,,,,,,,,,,,35000.0,0.03,0.15,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.2,0.6871,81.84,7.569,3.665
2009-02-26,409200.0,1411361.05,4.79,2.71,1.51,1.0,1411361.05,7300.0,409200.0,25178.24,,,,,,,,,,,,,,,,,29800.0,0.03,0.09,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.9,0.671,80.71,7.0552,3.7
2009-02-27,409200.0,1359865.45,6.29,2.71,1.53,1.0,1359865.45,7300.0,409200.0,24259.57,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.89,0.6717,80.76,7.0552,3.565
2009-03-02,409200.0,1357958.2,6.34,2.71,1.47,1.0,1357958.2,7300.0,409200.0,24225.55,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.85,0.6696,80.61,7.0552,3.56
2009-03-03,409200.0,1331256.78,6.35,2.71,1.47,1.0,1331256.78,7300.0,409200.0,23749.2,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.86,0.6692,80.59,7.0552,3.49
2009-03-04,409200.0,1354143.71,6.4,2.71,1.44,1.0,1354143.71,7300.0,409200.0,24157.5,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.85,0.6678,80.49,7.0552,3.55
2009-03-05,409200.0,1352236.47,6.38,2.71,1.47,1.0,1352236.47,7300.0,409200.0,24123.48,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.86,0.669,80.57,7.0552,3.545
2009-03-06,409200.0,1275946.68,6.51,2.71,1.47,1.0,1275946.68,7300.0,409200.0,22762.49,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.85,0.6692,80.59,7.0552,3.345
2009-03-09,409200.0,1296926.37,6.57,2.71,1.39,1.0,1296926.37,7300.0,409200.0,23136.76,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.8,0.6652,80.32,7.0552,3.4
2009-03-10,409200.0,1331256.78,6.77,2.71,1.41,1.0,1331256.78,7300.0,409200.0,23749.2,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.83,0.666,80.37,7.0552,3.49
2009-03-11,409200.0,1352236.47,6.95,2.71,1.44,1.0,1352236.47,7300.0,409200.0,24123.48,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.85,0.6678,80.49,7.0552,3.545
2009-03-12,409200.0,1369401.67,7.77,2.71,1.47,1.0,1369401.67,7300.0,409200.0,24429.7,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.85,0.6692,80.59,7.0552,3.59
2009-03-13,409200.0,1377030.65,7.8,2.71,1.48,1.0,1377030.65,7300.0,409200.0,24565.8,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.87,0.6697,80.62,7.0552,3.61
2009-03-16,409200.0,1384659.63,9.37,2.69,1.49,1.0,1384659.63,7300.0,409200.0,24701.89,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.87,0.6701,80.65,7.0552,3.63
2009-03-17,409200.0,1377030.65,8.92,2.69,1.5,1.0,1377030.65,7300.0,409200.0,24565.8,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.87,0.6705,80.67,7.0552,3.61
2009-03-18,410100.0,1408730.9,8.63,2.69,1.49,1.0,1408730.9,7300.0,410100.0,25076.17,,,,,,900.0,,,,,,,,,0.0,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.85,0.6672,80.47,7.0707,3.685
2009-03-19,410100.0,1351387.72,7.91,2.67,1.52,1.0,1351387.72,7300.0,410100.0,24055.43,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.85,0.6689,80.59,7.0707,3.535
2009-03-20,410100.0,1370502.11,9.35,2.51,1.47,1.0,1370502.11,7300.0,410100.0,24395.67,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.82,0.6661,80.4,7.0707,3.585
2009-03-23,409200.0,1369401.67,9.06,2.43,1.48,1.0,1369401.67,7300.0,409200.0,24429.7,,,,,,,,,,,,,,,,,900.0,0.03,0.0,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.85,0.67,80.64,7.0552,3.59
2009-03-24,409200.0,1411361.05,9.06,2.43,1.48,1.0,1411361.05,7300.0,409200.0,25178.24,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.87,0.6697,80.62,7.0552,3.7
2009-03-25,409200.0,1405639.32,7.76,2.43,1.53,1.0,1405639.32,7300.0,409200.0,25076.17,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.89,0.6717,80.76,7.0552,3.685
2009-03-26,409200.0,1441876.97,7.79,2.43,1.52,1.0,1441876.97,7300.0,409200.0,25722.63,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.87,0.6718,80.76,7.0552,3.78
2009-03-27,409200.0,1459042.17,7.77,2.42,1.56,1.0,1459042.17,7300.0,409200.0,26028.86,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.9,0.6731,80.85,7.0552,3.825
2009-03-30,409200.0,1413268.3,7.48,2.42,1.58,1.0,1413268.3,7300.0,409200.0,25212.26,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.9,0.6742,80.93,7.0552,3.705
2009-03-31,409200.0,1436155.24,7.14,2.4,1.53,1.0,1436155.24,7300.0,409200.0,25620.56,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,12.04,0.67,80.63,7.0552,3.765
2009-04-01,409200.0,1447598.7,6.68,2.4,1.55,1.0,1447598.7,7300.0,409200.0,25824.71,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.89,0.6732,80.86,7.0552,3.795
2009-04-02,409200.0,1480021.86,6.09,2.4,1.56,1.0,1480021.86,7300.0,409200.0,26403.13,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.89,0.6737,80.89,7.0552,3.88
2009-04-03,409200.0,1483836.35,6.01,2.4,1.6,1.0,1483836.35,7300.0,409200.0,26471.18,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.92,0.6748,80.97,7.0552,3.89
2009-04-06,409200.0,1476207.37,5.88,2.37,1.6,1.0,1476207.37,7300.0,409200.0,26335.08,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.92,0.675,80.98,7.0552,3.87
2009-04-07,409200.0,1481929.11,6.13,2.33,1.59,1.0,1481929.11,7300.0,409200.0,26437.15,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.92,0.6747,80.95,7.0552,3.885
2009-04-08,409200.0,1491465.33,6.12,2.33,1.6,1.0,1491465.33,7300.0,409200.0,26607.27,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.91,0.6752,80.99,7.0552,3.91
2009-04-09,409200.0,1552497.16,5.64,2.33,1.61,1.0,1552497.16,7300.0,409200.0,27696.06,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.92,0.6753,81.0,7.0552,4.07
2009-04-10,409200.0,1552497.16,4.55,2.33,1.61,1.0,1552497.16,7300.0,409200.0,27696.06,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.91,0.6744,80.94,7.0552,
2009-04-13,409200.0,1552497.16,4.55,2.33,1.61,1.0,1552497.16,7300.0,409200.0,27696.06,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.91,0.6744,80.94,7.0552,
2009-04-14,409200.0,1541053.69,4.55,2.33,1.67,1.0,1541053.69,7300.0,409200.0,27491.92,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.95,0.6778,81.16,7.0552,4.04
2009-04-15,409200.0,1520074.0,4.63,2.3,1.66,1.0,1520074.0,7300.0,409200.0,27117.64,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.94,0.6773,81.13,7.0552,3.985
2009-04-16,409200.0,1554404.41,4.57,2.3,1.64,1.0,1554404.41,7300.0,409200.0,27730.09,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.92,0.6768,81.1,7.0552,4.075
2009-04-17,409200.0,1586827.56,4.61,2.28,1.67,1.0,1586827.56,7300.0,409200.0,28308.51,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.94,0.6781,81.19,7.0552,4.16
2009-04-20,409200.0,1563940.63,4.45,2.21,1.7,1.0,1563940.63,7300.0,409200.0,27900.21,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.96,0.6791,81.25,7.0552,4.1
2009-04-21,409200.0,1567755.12,4.23,2.21,1.68,1.0,1567755.12,7300.0,409200.0,27968.26,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.95,0.6782,81.19,7.0552,4.11
2009-04-22,409200.0,1594456.54,4.24,2.21,1.68,1.0,1594456.54,7300.0,409200.0,28444.61,,,,,,,,,,,,,,,,,,0.03,,,,100.0,4.93,0.0,0.0,,0.0,100.0,11.95,0.6784,81.2,2.7649,4.18
2009-04-23,409200.0,1562033.38,4.2,2.21,1.71,1.0,1562033.38,7300.0,409200.0,27866.19,,,,,,,,,,,,,,,,,,0.03,,,,100.0,4.93,0.0,0.0,,0.0,100.0,11.96,0.6794,81.27,2.7649,4.095
2009-04-24,409200.0,1586827.56,3.9,2.21,1.68,1.0,1586827.56,7300.0,409200.0,28308.51,,,,,,,,,,,,,,,,,,0.03,,,,100.0,4.93,0.0,0.0,,0.0,100.0,11.94,0.6784,81.21,2.7649,4.16
2009-04-27,409200.0,1605900.01,3.81,2.1,1.7,1.0,1605900.01,7300.0,409200.0,28648.75,,,,,,,,,,,,,,,,,,0.03,,,,100.0,4.93,0.0,0.0,,0.0,100.0,11.96,0.6791,81.25,2.7649,4.21
2009-04-28,409200.0,1609714.5,3.81,2.1,1.72,1.0,1609714.5,7300.0,409200.0,28716.8,,,,,,,,,,,,,,,,,,0.03,,,,100.0,4.93,0.0,0.0,,0.0,100.0,11.97,0.6798,81.3,2.7649,4.22
2009-04-29,409200.0,1603992.77,3.85,2.1,1.73,1.0,1603992.77,7300.0,409200.0,28614.73,,,,,,,,,,,,,,,,,,0.03,,,,100.0,4.93,0.0,0.0,,0.0,100.0,11.97,0.68,81.31,2.7649,4.205
2009-04-30,432900.0,1733211.39,4.03,2.22,1.82,1.0,1733211.39,7300.0,432900.0,29227.17,,,,0.1,,,,,23700.0,,,,0.1,,,,,0.03,,,,100.0,4.93,0.0,0.0,,0.0,100.0,11.3,0.6947,82.34,2.925,4.295
2009-05-01,432900.0,1733211.39,2.7,2.22,1.86,1.0,1733211.39,7300.0,432900.0,29227.17,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.31,0.696,82.42,7.4638,
2009-05-04,432900.0,1729175.97,2.7,2.22,1.86,1.0,1729175.97,7300.0,432900.0,29159.12,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.31,0.696,82.42,7.4638,4.285
2009-05-05,432900.0,1721105.14,2.76,2.11,1.86,1.0,1721105.14,7300.0,432900.0,29023.02,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.31,0.6958,82.41,7.4638,4.265
2009-05-06,432900.0,1725140.56,2.1,2.11,1.85,1.0,1725140.56,7300.0,432900.0,29091.07,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.31,0.6956,82.39,7.4638,4.275
2009-05-07,432900.0,1694874.93,2.13,2.11,1.85,1.0,1694874.93,7300.0,432900.0,28580.7,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.31,0.6957,82.4,7.4638,4.2
2009-05-08,432900.0,1668644.73,2.05,2.11,1.82,1.0,1668644.73,7300.0,432900.0,28138.38,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.31,0.6944,82.31,7.4638,4.135
2009-05-11,432900.0,1660573.89,2.16,1.8,1.79,1.0,1660573.89,7300.0,432900.0,28002.29,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.29,0.6938,82.27,7.4638,4.115
2009-05-12,432900.0,1636361.39,2.14,1.8,1.79,1.0,1636361.39,7300.0,432900.0,27593.99,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.34,0.6929,82.21,7.4638,4.055
2009-05-13,432900.0,1604078.06,2.11,1.8,1.77,1.0,1604078.06,7300.0,432900.0,27049.6,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,11.48,0.6901,82.01,7.4638,3.975
2009-05-14,316600.0,1184942.4,1.53,1.32,1.27,1.0,1184942.4,7300.0,316600.0,27321.79,,,,,,,,,,,,,,,,,116300.0,0.03,0.5,,,100.0,12.59,0.0,0.0,,0.0,100.0,9.03,0.8357,90.97,5.4586,4.015
2009-05-15,316600.0,1196747.56,1.54,1.32,1.28,1.0,1196747.56,7300.0,316600.0,27593.99,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,8.97,0.8367,91.03,5.4586,4.055
2009-05-18,316600.0,1204125.78,1.53,1.32,1.29,1.0,1204125.78,7300.0,316600.0,27764.11,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,8.91,0.8377,91.09,5.4586,4.08
2009-05-19,316600.0,1217406.58,1.56,1.32,1.3,1.0,1217406.58,7300.0,316600.0,28070.33,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,8.88,0.8381,91.12,5.4586,4.125
2009-05-20,316600.0,1224784.8,1.56,1.32,1.31,1.0,1224784.8,7300.0,316600.0,28240.46,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,8.81,0.8394,91.19,5.4586,4.15
2009-05-21,316600.0,1180515.47,1.55,1.32,1.32,1.0,1180515.47,7300.0,316600.0,27219.72,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,8.78,0.8398,91.22,5.4586,4.0
2009-05-22,316600.0,1168710.31,1.53,1.32,1.27,1.0,1168710.31,7300.0,316600.0,26947.52,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,9.0,0.8362,91.0,5.4586,3.96
2009-05-25,316600.0,1159856.45,1.52,1.32,1.26,1.0,1159856.45,7300.0,316600.0,26743.37,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,9.06,0.8352,90.94,5.4586,3.93
2009-05-26,316600.0,1195271.91,1.56,1.32,1.25,1.0,1195271.91,7300.0,316600.0,27559.97,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,9.11,0.8345,90.89,5.4586,4.05
2009-05-27,316600.0,1215930.93,1.66,1.32,1.29,1.0,1215930.93,7300.0,316600.0,28036.31,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,8.93,0.8374,91.07,5.4586,4.12
2009-05-28,316600.0,1196747.56,1.64,1.32,1.31,1.0,1196747.56,7300.0,316600.0,27593.99,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,8.83,0.8391,91.17,5.4586,4.055
2009-05-29,316600.0,1190844.98,1.62,1.32,1.29,1.0,1190844.98,7300.0,316600.0,27457.89,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,8.94,0.8371,91.06,5.4586,4.035
2009-06-01,316600.0,1235114.31,1.61,1.32,1.28,1.0,1235114.31,7300.0,316600.0,28478.63,,,,,,,,,,,,,,,,,,0.03,,,,100.0,12.59,0.0,0.0,,0.0,100.0,8.94,0.8372,91.06,5.4586,4.185
2009-06-02,91000.0,353311.02,0.47,0.38,0.38,0.0,353311.02,7300.0,91000.0,28342.53,,,,,,,,,,,,,,,,,225600.0,0.03,0.9,,,100.0,12.59,0.0,0.0,,0.0,100.0,30.27,0.5778,69.73,1.569,4.165
2009-06-03,91000.0,354583.44,0.47,0.38,0.38,0.0,354583.44,7300.0,91000.0,28444.61,,,,,,,,,,,,,,,,,,0.03,,,,100.0,10.74,0.0,0.0,,0.0,100.0,30.34,0.5773,69.66,1.3382,4.18
2009-06-04,91000.0,357552.44,0.47,0.38,0.38,0.0,357552.44,7300.0,91000.0,28682.78,,,,,,,,,,,,,,,,,,0.03,,,,100.0,10.74,0.0,0.0,,0.0,100.0,30.31,0.5775,69.69,1.3382,4.215
2009-06-05,91000.0,364338.73,0.47,0.38,0.38,0.0,364338.73,7300.0,91000.0,29227.17,,,,,,,,,,,,,,,,,,0.03,,,,100.0,10.74,0.0,0.0,,0.0,100.0,30.16,0.5787,69.84,1.3382,4.295
2009-06-08,91000.0,361793.87,0.48,0.38,0.39,0.0,361793.87,7300.0,91000.0,29023.02,,,,,,,,,,,,,,,,,,0.03,,,,100.0,31.74,0.0,0.0,,0.0,100.0,29.88,0.581,70.12,3.9565,4.265
2009-06-09,111000.0,443895.82,0.58,0.46,0.46,0.0,443895.82,7300.0,111000.0,29193.15,0.08,,,,,,20000.0,,,,0.08,,,,,,,0.03,,,,100.0,31.74,0.0,0.0,,0.0,100.0,25.12,0.4335,58.66,4.8261,4.29
2009-06-10,111000.0,441309.01,0.57,0.46,0.47,0.0,441309.01,7300.0,111000.0,29023.02,,,,,,,,,,,,,,,,,,0.03,,,,100.0,31.74,0.0,0.0,,0.0,100.0,25.08,0.4342,58.75,4.8261,4.265
2009-06-11,111000.0,445965.26,0.55,0.46,0.46,0.0,445965.26,7300.0,111000.0,29329.25,,,,,,,,,,,,,,,,,,0.03,,,,100.0,31.74,0.0,0.0,,0.0,100.0,25.12,0.4335,58.66,4.8261,4.31
2009-06-12,111000.0,438204.84,0.55,0.46,0.47,0.0,438204.84,7300.0,111000.0,28818.88,,,,,,,,,,,,,,,,,,0.03,,,,100.0,31.74,0.0,0.0,,0.0,100.0,25.04,0.4349,58.84,4.8261,4.235
2009-06-15,211000.0,831017.08,1.43,0.88,0.89,1.0,831017.08,7300.0,211000.0,28750.83,,,,,,100000.0,,,,,,,,,0.42,,,0.03,,,,100.0,31.74,0.0,0.0,,0.0,100.0,30.52,0.3466,47.85,9.1739,4.225
2009-06-16,211000.0,835934.34,1.37,0.88,0.88,1.0,835934.34,7300.0,211000.0,28920.95,,,,,,,,,,,,,,,,,,0.03,,,,100.0,31.74,0.0,0.0,,0.0,100.0,30.5,0.3464,47.83,9.1739,4.25
2009-06-17,211000.0,831017.08,1.91,0.88,0.89,1.0,831017.08,7300.0,211000.0,28750.83,,,,,,,,,,,,,,,,,,0.03,,,,100.0,31.74,0.0,0.0,,0.0,100.0,30.51,0.3469,47.9,9.1739,4.225
2009-06-18,211000.0,823149.46,1.87,0.88,0.88,1.0,823149.46,7300.0,211000.0,28478.63,,,,,,,,,,,,,,,,,,0.03,,,,100.0,31.74,0.0,0.0,,0.0,100.0,30.5,0.3464,47.83,9.1739,4.185
2009-06-19,211000.0,835934.34,1.99,0.88,0.88,1.0,835934.34,7300.0,211000.0,28920.95,,,,,,,,,,,,,,,,,,0.03,,,,100.0,31.74,0.0,0.0,,0.0,100.0,30.45,0.3456,47.75,9.1739,4.25
2009-06-22,211000.0,818232.2,1.95,0.88,0.89,1.0,818232.2,7300.0,211000.0,28308.51,,,,,,,,,,,,,,,,,,0.03,,,,100.0,56.15,0.0,0.0,,0.0,100.0,30.51,0.3469,47.9,16.2308,4.16
2009-06-23,211000.0,803480.42,1.96,0.88,0.87,1.0,803480.42,7300.0,211000.0,27798.14,,,,,,,,,,,,,,,,,,0.03,,,,100.0,56.15,0.0,0.0,,0.0,100.0,30.39,0.3451,47.71,16.2308,4.085
2009-06-24,211000.0,821182.56,1.48,0.88,0.86,1.0,821182.56,7300.0,211000.0,28410.58,,,,,,,,,,,,,,,,,,0.03,,,,100.0,56.15,0.0,0.0,,0.0,100.0,30.32,0.3435,47.54,16.2308,4.175
2009-06-25,216440.0,856477.58,1.55,0.9,0.9,1.0,856477.58,12300.0,216440.0,48672.49,,,5000.0,0.03,,440.0,,,5000.0,,,,0.03,5000.0,0.0,,,0.05,,,,100.0,94.62,0.0,0.0,,0.0,100.0,32.09,0.3427,46.49,16.6492,4.245
2009-06-26,216440.0,851433.54,1.54,0.9,0.91,1.0,851433.54,12300.0,216440.0,48385.85,,,,,,,,,,,,,,,,,,0.05,,,,100.0,94.62,0.0,0.0,,0.0,100.0,32.18,0.3439,46.61,16.6492,4.22
2009-06-29,176440.0,700660.17,1.27,0.73,0.75,1.0,700660.17,12300.0,176440.0,48844.48,,,,,,,,,,,,,,,,,40000.0,0.05,0.16,,,100.0,94.62,0.0,0.0,,0.0,100.0,38.94,0.4725,56.48,13.5723,4.26
2009-06-30,176440.0,696548.31,1.28,0.73,0.75,1.0,696548.31,12300.0,176440.0,48557.83,,,,,,,,,,,,,,,,,,0.05,,,,100.0,94.62,0.0,0.0,,0.0,100.0,38.94,0.4725,56.48,13.5723,4.235
2009-07-01,176000.0,699733.21,1.3,0.73,0.75,1.0,699733.21,12300.0,176000.0,48901.81,,,,,,,,,,,,,,,,,440.0,0.05,0.0,,,100.0,11.94,0.0,0.0,,0.0,100.0,39.07,0.4748,56.59,1.7087,4.265
2009-07-02,146100.0,565876.98,0.95,0.59,0.63,1.0,565876.98,12300.0,146100.0,47640.57,,,,,,,,,,,,,,,,,29900.0,0.05,0.13,,,100.0,11.94,0.0,0.0,,0.0,100.0,26.64,0.538,68.14,1.4184,4.155
2009-07-03,146100.0,567238.89,0.95,0.59,0.61,1.0,567238.89,12300.0,146100.0,47755.23,,,,,,,,,,,,,,,,,,0.05,,,,100.0,11.94,0.0,0.0,,0.0,100.0,26.64,0.538,68.14,1.4184,4.165
