,NK FP Equity_DX_SI_QTY,NK FP Equity_DX_SHORT_INTEREST_VALUE,NK FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,NK FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,NK FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,NK FP Equity_DX_SI_MV,NK FP Equity_DX_DSS,NK FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,NK FP Equity_DX_SUPPLY_SI_QTY,NK FP Equity_DX_BROKER_SI_QTY,NK FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,NK FP Equity_DX_BROKER_SI_MV_NEW_x,NK FP Equity_DX_SUPPLY_SI_QTY_NEW_x,NK FP Equity_DX_SUPPLY_SI_QTY_INC_x,NK FP Equity_DX_BROKER_SI_MV_INC_x,NK FP Equity_DX_SUPPLY_SI_MV_NEW,NK FP Equity_DX_BROKER_SI_QTY_ADD,NK FP Equity_DX_BROKER_SI_QTY_NEW,NK FP Equity_DX_SUPPLY_SI_MV_DEC,NK FP Equity_DX_BROKER_SI_QTY_INC,NK FP Equity_DX_SUPPLY_SI_QTY_DEC,NK FP Equity_DX_BROKER_SI_MV_NEW_y,NK FP Equity_DX_SUPPLY_SI_QTY_NEW_y,NK FP Equity_DX_BROKER_SI_MV_INC_y,NK FP Equity_DX_SUPPLY_SI_QTY_INC_y,NK FP Equity_DX_BROKER_SI_MV_ADD,NK FP Equity_DX_SUPPLY_SI_QTY_ADD,NK FP Equity_DX_BROKER_SI_QTY_DEC,NK FP Equity_DX_SUPPLY_SI_MV,NK FP Equity_DX_BROKER_SI_MV_DEC,NK FP Equity_DX_SUPPLY_SI_MV_RMV,NK FP Equity_DX_BROKER_SI_MV_RMV,NK FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,NK FP Equity_DX_UTILIZATION_QUANTITY,NK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,NK FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,NK FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,NK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,NK FP Equity_DX_ACTIVE_UTILIZATION_MV,NK FP Equity_DX_BROKER_SI_MARKET_SHARE_2,NK FP Equity_DX_BROKER_SI_CON_RATIO,NK FP Equity_DX_BROKER_SI_MARKET_SHARE_1,NK FP Equity_DX_DEMAND_SUPPLY_RATIO
2009-10-09,744240.0,24302092.57,1.28,5.1,0.99,30.34,0.0,12067910.3,602548.0,369574.0,19675343.0,,,18450.0,,,,,0.92,,26042.0,,,,18450.0,,6886.0,5000.0,24.44,0.16,,,10.98,10.98,4886182.0,159551283.54,,197.89,10.99,23.24,0.1655,29.81,0.1356
2009-10-12,732826.0,24250683.44,1.26,4.98,0.97,29.83,0.0,11912262.28,608045.0,359974.0,20121429.66,,,7819.0,,,,,0.1,,2322.0,,,,7819.0,,,9600.0,24.7,0.39,,,11.06,11.06,4889370.0,161799068.36,,199.08,11.04,23.64,0.1696,30.12,0.1333
2009-10-13,728088.0,23956247.58,1.25,4.96,0.97,30.02,0.0,12331106.71,585775.0,374772.0,19273729.18,,,5150.0,0.81,,,,1.12,18040.0,27667.0,,,0.81,5150.0,,508.0,3242.0,24.02,0.0,0.01,,10.7,10.7,4888289.0,160839158.92,261.0,200.55,10.69,23.74,0.1693,29.18,0.133
2009-10-14,709175.0,23570716.59,1.22,4.88,0.94,29.24,0.0,12456226.74,565781.0,374772.0,18804757.08,,,220.0,,,,,0.83,,20255.0,,,,220.0,,41.0,,23.13,,,,10.38,10.38,4884388.0,162341488.69,,200.04,10.37,23.64,0.1711,29.51,0.1301
2009-10-15,698924.0,23255307.97,1.2,4.81,0.93,29.06,0.0,12065659.94,567676.0,362626.0,18888291.44,,,7444.0,0.04,,,,0.22,1435.0,5549.0,,,0.04,7444.0,,,13581.0,23.44,0.47,,,10.42,10.42,4881411.0,162419256.1,,201.72,10.41,24.67,0.1781,29.84,0.1283
2009-10-16,711772.0,23585457.4,1.22,4.82,0.94,29.89,0.0,11737059.79,579286.0,354206.0,19195367.72,,,23494.0,0.02,,,,0.48,500.0,11884.0,,,0.02,23494.0,,,8920.0,23.94,0.14,,,10.63,10.63,4868602.0,161327229.85,,201.37,10.63,25.22,0.1806,29.88,0.1307
2009-10-19,708227.0,23775654.2,1.22,4.76,0.94,29.43,0.0,11833862.25,571941.0,352506.0,19200442.01,,,63.0,,,,,0.3,,7408.0,,,,63.0,,,1700.0,23.57,0.31,,,10.43,10.43,4912195.0,164905672.48,,202.79,10.41,25.31,0.1779,29.21,0.1291
2009-10-20,704372.0,23447912.32,1.21,4.72,0.93,29.57,0.0,11745860.39,564391.0,352844.0,18788070.34,,,1261.0,0.03,,,,0.3,338.0,8811.0,,,0.03,1261.0,,,,23.51,,,,10.27,10.27,4931963.0,164180626.15,,205.15,10.28,25.44,0.1779,29.11,0.1282
2009-10-21,709201.0,23363336.11,1.22,4.83,0.94,29.78,0.0,12749307.1,529452.0,387009.0,17441832.47,1.92,,,,,,46440.0,1.51,,34939.0,1.92,,,,,,12275.0,21.82,0.3,,,9.64,9.64,4962637.0,163485043.34,,204.73,9.63,22.83,0.1561,27.13,0.1291
2009-10-22,685227.0,21934110.03,1.18,4.72,0.91,28.34,0.0,11809093.83,516508.0,368919.0,16533416.38,,,,,,,,0.58,,12944.0,,,,,,,18090.0,21.03,0.64,,,9.42,9.42,4964150.0,158902396.31,,201.8,9.44,23.64,0.1624,27.19,0.125
2009-10-23,684071.0,21407324.51,1.18,4.74,0.91,27.66,0.0,11606134.55,447465.0,370874.0,14002974.05,,,,,,11000.0,,3.45,,82091.0,,,,,0.43,13048.0,9045.0,17.75,0.4,,,8.12,8.12,5064559.0,158490358.46,,200.47,8.13,23.45,0.1608,27.19,0.1241
2009-10-26,666661.0,20782049.16,1.15,4.65,0.88,26.89,0.0,11779594.19,424417.0,377874.0,13230494.9,,,2177.0,0.28,,,,1.35,7000.0,32225.0,,,0.28,2177.0,,7000.0,,16.66,,,,7.7,7.7,5088480.0,158624910.56,,199.89,7.69,23.78,0.1691,28.22,0.1209
2009-10-27,575490.0,17738554.35,0.99,4.08,0.76,22.63,0.0,9286934.15,406325.0,301295.0,12524315.1,,,,,,,,0.72,,18092.0,,,,,,,76579.0,15.76,3.58,,,7.37,7.37,5108448.0,157459699.52,,199.07,7.33,19.51,0.1518,27.49,0.1044
2009-10-28,562839.0,16791677.23,0.97,4.09,0.75,21.9,0.0,8860516.38,397974.0,296995.0,11873112.83,,,1154.0,,,,,0.4,,9505.0,,,,1154.0,,,4300.0,15.21,0.19,,,7.23,7.23,5103121.0,152245954.33,,194.73,7.25,20.01,0.152,27.19,0.1023
2009-10-29,568812.0,17502972.12,0.98,4.31,0.75,21.54,0.0,9322659.26,397615.0,302968.0,12235051.75,,,,0.05,,,,0.04,5973.0,359.0,,,0.05,,,,,14.81,,,,7.19,7.19,5135974.0,158039580.24,,193.63,7.1,20.58,0.1521,26.85,0.1028
2009-10-30,572864.0,17235930.92,0.98,4.71,0.76,21.95,0.0,9115489.05,402431.0,302968.0,12108062.15,,,764.0,,,,,,,,,,,764.0,,4052.0,,15.29,,,,7.28,7.28,5127268.0,154265649.53,,194.69,7.28,20.2,0.1546,27.85,0.1036
2009-11-02,587861.0,17937796.94,1.01,4.92,0.78,22.39,0.0,9624225.32,404989.0,315407.0,12357700.96,,,2306.0,0.08,,11000.0,,0.43,1439.0,10748.0,,,0.08,2306.0,0.42,11000.0,,15.17,,,,7.34,7.34,5110355.0,155935689.32,,192.32,7.31,20.01,0.1483,26.78,0.1066
2009-11-03,581116.0,17717957.46,1.0,4.98,0.77,22.35,0.0,9109938.1,395919.0,298789.0,12071386.78,,,9395.0,0.15,,,,0.82,1382.0,22517.0,,,0.15,9395.0,,4052.0,18000.0,15.02,0.68,,,7.18,7.18,5121254.0,156144660.46,,194.32,7.17,21.27,0.1554,27.21,0.1053
2009-11-04,613645.0,19196007.67,1.05,5.37,0.81,23.52,0.0,9878493.37,433448.0,315789.0,13559095.46,,,40928.0,0.67,,,,0.22,17000.0,5800.0,,,0.67,40928.0,,2401.0,,16.41,,,,7.87,7.87,5075189.0,158761770.98,,191.84,7.88,20.1,0.1541,28.21,0.1114
2009-11-05,687907.0,21914750.28,1.18,6.0,0.91,26.64,0.0,9897408.42,512818.0,310681.0,16336915.32,,,40856.0,0.17,,,,0.15,4300.0,4912.0,,,0.17,40856.0,,43426.0,9408.0,19.75,0.36,,,9.29,9.29,5005700.0,159467290.59,,194.11,9.23,18.84,0.1374,26.7,0.1247
2009-11-06,713436.0,22552979.48,1.22,6.34,0.95,28.27,0.0,10331518.9,522203.0,326825.0,16507764.59,,,13164.0,0.59,,6000.0,,0.11,10144.0,3779.0,,,0.59,13164.0,0.24,,,20.58,,,,9.31,9.31,5084092.0,160717180.69,,201.34,9.27,19.93,0.1436,27.46,0.1273
2009-11-09,704937.0,22899617.7,1.21,6.43,0.94,27.98,0.0,10715315.12,520907.0,329858.0,16921471.22,,,11985.0,0.47,,,,0.52,11000.0,13281.0,,,0.47,11985.0,,,7967.0,20.55,0.31,,,9.29,9.29,5087320.0,165259708.49,,201.08,9.27,18.62,0.1396,27.35,0.1257
2009-11-10,666365.0,21617136.54,1.14,6.2,0.88,26.96,0.0,8996821.48,530768.0,277334.0,17218317.78,,,9664.0,,,,,0.39,,11801.0,,,,9664.0,,11998.0,6084.0,21.38,0.08,,1.9,9.31,9.31,5172060.0,167783612.93,,208.58,9.3,19.3,0.1567,30.07,0.1168
2009-11-11,682370.0,22232410.86,1.17,6.25,0.91,27.68,0.0,9156024.69,543085.0,281022.0,17694343.03,,,13495.0,0.08,,2500.0,,0.05,2000.0,1178.0,,,0.08,13495.0,0.1,,812.0,21.9,0.0,,,9.49,9.49,5180455.0,168785269.02,,208.75,9.5,18.95,0.152,29.63,0.1192
2009-11-12,685667.0,22108158.65,1.18,6.32,0.91,28.03,0.0,9061073.32,546382.0,281022.0,17617152.26,,,3297.0,,,,,0.16,,3657.0,,,,3297.0,,3657.0,,22.18,,,,9.58,9.58,5157586.0,166297531.51,,208.9,9.6,19.06,0.1519,29.54,0.1202
2009-11-13,682872.0,22169110.53,1.17,6.23,0.91,27.54,0.0,9162883.03,542587.0,282243.0,17614825.58,,,3490.0,0.0,,,,0.33,1221.0,8069.0,,,0.0,3490.0,,784.0,,21.73,,,,9.51,9.51,5163043.0,167615703.89,,207.12,9.49,19.05,0.1526,29.7,0.1197
2009-11-16,686599.0,22386767.13,1.18,6.41,0.91,27.82,0.0,9339495.05,540918.0,286441.0,17636794.26,,,4407.0,0.17,,,,0.22,5396.0,6076.0,,,0.17,4407.0,,,1198.0,21.81,0.02,,,9.47,9.47,5168273.0,168513097.37,,208.32,9.48,18.83,0.1522,29.63,0.1203
2009-11-17,634875.0,20480672.36,1.09,5.97,0.84,25.92,0.0,9143501.21,496787.0,283437.0,16026039.42,,,2866.0,0.21,,,,2.33,2996.0,57567.0,,,0.21,2866.0,,10570.0,6000.0,20.15,0.24,,,8.71,8.71,5204311.0,167887833.73,,210.73,8.73,20.29,0.1633,30.6,0.1114
2009-11-18,619513.0,20122158.75,1.06,5.95,0.82,24.97,0.0,8930055.89,489927.0,274935.0,15913126.71,,,,0.22,,,,0.3,4998.0,6860.0,,,0.22,,,,13500.0,19.61,0.54,,,8.59,8.59,5212286.0,169298217.06,,208.81,8.59,20.41,0.1677,31.05,0.1086
2009-11-19,604354.0,19328349.51,1.04,5.88,0.8,24.5,0.0,8619616.06,480187.0,269516.0,15357261.08,,,,,,,,0.38,,9740.0,,,,,,,5419.0,19.33,0.25,,,8.61,8.61,5099556.0,163093155.16,,205.12,8.61,21.15,0.1677,30.86,0.1083
2009-11-20,606066.0,19444047.89,1.04,5.85,0.8,24.33,0.0,8745275.48,479119.0,272588.0,15371284.29,,,,0.05,,,,0.05,3072.0,1360.0,,,0.05,,,292.0,,19.1,,,,8.58,8.58,5102713.0,163707246.33,,203.34,8.59,21.2,0.1661,30.57,0.1086
2009-11-23,600287.0,19782606.34,1.03,5.82,0.8,24.11,0.0,8754693.18,473162.0,265654.0,15593170.57,,,3643.0,,,474.0,,0.41,,10074.0,,,,3643.0,0.02,474.0,7408.0,18.92,0.31,,,8.5,8.5,5094695.0,167896931.98,,204.3,8.48,20.97,0.1648,30.82,0.1078
2009-11-24,589071.0,19154709.22,1.01,5.65,0.78,24.19,0.0,8459442.97,468730.0,260156.0,15241603.91,,,2417.0,0.25,,,,0.21,2321.0,6849.0,,,0.25,2417.0,,,7819.0,19.14,0.31,,,8.42,8.42,5099368.0,165815175.52,,207.88,8.43,21.61,0.165,30.79,0.1058
2009-11-25,607145.0,19674037.56,1.04,5.84,0.81,24.59,0.0,8873464.2,487218.0,273837.0,15787901.13,,,5228.0,0.05,,12000.0,,0.01,3815.0,28.0,,,0.05,5228.0,0.48,13288.0,2134.0,19.57,0.05,,,8.72,8.72,5099263.0,165237450.36,,204.9,8.72,21.01,0.1584,29.88,0.1087
2009-11-26,612546.0,18962054.18,1.05,6.08,0.81,24.72,0.0,8715791.53,483841.0,281553.0,14977845.35,,,,0.21,,2500.0,,0.12,5216.0,3377.0,,,0.21,,0.1,,,19.37,,,,8.66,8.66,5105120.0,158034763.13,,203.09,8.71,20.92,0.1553,29.45,0.1096
2009-11-27,613252.0,19620324.04,1.05,6.19,0.81,24.04,0.0,8998508.73,463311.0,281257.0,14823126.47,,,1002.0,0.0,,,,0.88,57.0,21532.0,,,0.0,1002.0,,,353.0,17.99,0.2,,,8.28,8.28,5132868.0,164220472.85,,199.98,8.25,20.52,0.1558,29.76,0.1096
2009-11-30,605242.0,18891758.92,1.04,6.24,0.8,24.07,0.0,8285921.05,465882.0,265459.0,14541836.87,,,10481.0,,,,,0.32,,7910.0,,,,10481.0,,,15798.0,18.43,0.57,,,8.32,8.32,5130513.0,160141587.53,,202.42,8.34,21.49,0.1595,30.17,0.1081
2009-12-01,700301.0,22380009.36,1.2,7.23,0.93,27.39,0.0,11644299.37,462034.0,364366.0,14765544.02,3.8,,2675.0,0.0,,,97988.0,0.53,919.0,13187.0,3.8,,0.0,2675.0,,6664.0,,17.95,,,,8.08,8.08,5252951.0,167872232.88,,205.11,8.05,18.31,0.1417,25.65,0.1225
2009-12-02,700786.0,22522355.66,1.2,7.16,0.93,27.97,0.0,11732299.13,463438.0,365052.0,14894297.92,,,8912.0,,,686.0,,0.42,,12738.0,,,,8912.0,0.03,5230.0,,18.46,,,,8.11,8.11,5253334.0,168835360.19,,209.12,8.11,18.22,0.142,26.03,0.1226
2009-12-03,711598.0,22635130.11,1.22,7.29,0.94,28.36,0.0,11750102.11,471840.0,369397.0,15008698.44,,,13728.0,0.17,,,,0.21,4345.0,5326.0,,,0.17,13728.0,,,,18.8,,,,8.23,8.23,5260549.0,167332132.85,,209.35,8.24,17.94,0.1426,26.51,0.1241
2009-12-04,753133.0,23713961.49,1.29,7.74,1.0,30.09,0.0,12724119.28,481451.0,404106.0,15159487.73,,,2785.0,1.69,,,,0.09,42128.0,2370.0,,,1.69,2785.0,,9196.0,7419.0,19.15,0.25,,,8.5,8.5,5179950.0,163101517.03,,205.1,8.54,20.51,0.1407,24.8,0.133
2009-12-07,759409.0,24388095.33,1.3,7.45,1.01,30.05,1.0,13135566.64,482979.0,409022.0,15510664.07,,,2692.0,0.12,,,,0.1,5456.0,1666.0,,,0.12,2692.0,,502.0,540.0,18.99,0.03,,,8.55,8.55,5167214.0,165942868.21,,203.65,8.53,20.75,0.1403,24.51,0.1344
2009-12-08,787769.0,24975657.66,1.35,7.8,1.05,31.56,1.0,13883784.62,537875.0,437915.0,17052945.55,,,85115.0,1.44,,,,1.6,36000.0,41570.0,,,1.44,85115.0,,11351.0,7107.0,21.5,0.19,,,9.49,9.49,5128849.0,162606521.49,,204.41,9.52,19.63,0.1293,22.73,0.139
2009-12-09,744379.0,23082017.93,1.28,7.33,0.99,29.39,0.0,13162175.76,506310.0,424471.0,15699873.99,,,10952.0,0.6,,,,1.78,15800.0,42517.0,,,0.6,10952.0,,,29244.0,19.85,1.22,,,8.93,8.93,5164279.0,160136140.97,,202.38,8.93,19.54,0.1265,21.3,0.1313
2009-12-10,755441.0,23649893.96,1.3,7.55,1.0,29.38,1.0,13414246.93,548452.0,428487.0,17169880.43,,,53380.0,0.18,,,,0.5,5647.0,11742.0,,,0.18,53380.0,,504.0,1631.0,21.17,0.21,,,9.7,9.7,5103169.0,159760200.62,,197.22,9.69,18.73,0.1271,22.05,0.1337
2009-12-11,800301.0,25176610.51,1.37,8.26,1.06,30.88,1.0,14859120.69,548470.0,472334.0,17254277.54,,,1927.0,1.21,,,,0.12,43847.0,3158.0,,,1.21,1927.0,,1249.0,,21.43,,,,9.69,9.69,5109388.0,160735862.65,,199.47,9.7,18.32,0.122,20.94,0.1414
2009-12-14,796331.0,25589845.24,1.37,8.43,1.06,30.79,1.0,15198548.8,543870.0,472964.0,17477090.72,,,1749.0,,,2600.0,,0.24,,6349.0,,,,1749.0,0.1,,1970.0,21.32,0.09,,,9.62,9.62,5111412.0,164253610.7,,200.93,9.59,18.03,0.12,21.04,0.1408
2009-12-15,787876.0,25302300.86,1.35,8.42,1.05,31.71,1.0,14428146.07,553309.0,449271.0,17769281.95,,,27894.0,,,,,0.72,,19677.0,,,,27894.0,,1222.0,23693.0,22.18,0.09,,,9.8,9.8,5092769.0,163552098.87,,203.89,9.81,18.05,0.1208,21.26,0.1395
2009-12-16,684563.0,22171690.33,1.18,7.29,0.91,27.55,0.0,11204919.99,556884.0,345958.0,18036410.96,,,5590.0,0.17,,,,0.09,6504.0,2015.0,,,0.17,5590.0,,,11829.0,22.27,0.42,,3.86,9.87,9.87,5088029.0,164791558.11,,203.62,9.86,21.76,0.1404,24.74,0.1213
2009-12-17,722557.0,23192983.55,1.24,7.83,0.96,29.3,0.0,10066116.35,569078.0,313601.0,18266540.48,,,53466.0,0.0,,,,1.66,56.0,41278.0,,,0.0,53466.0,,6.0,32413.0,22.97,1.3,,,10.12,10.12,5051853.0,162156817.41,,203.5,10.14,20.3,0.1334,23.58,0.1285
2009-12-18,700975.0,22556625.65,1.2,7.63,0.93,28.22,0.0,10269358.56,572276.0,319133.0,18415229.51,,,898.0,0.51,,,,0.33,11918.0,7700.0,,,0.51,898.0,,10000.0,6386.0,22.83,0.26,,,10.19,10.19,5044436.0,162324554.35,,201.36,10.18,21.49,0.1379,23.73,0.1248
2009-12-21,661166.0,21320825.3,1.14,7.1,0.88,26.69,0.0,10311013.04,530664.0,319748.0,17112486.78,,,4404.0,0.01,,,,1.86,966.0,46953.0,,,0.01,4404.0,,937.0,351.0,21.25,0.01,,,9.46,9.46,5081592.0,163867675.1,,203.21,9.47,21.61,0.1384,23.73,0.1178
2009-12-22,641886.0,21321335.2,1.1,7.03,0.85,26.12,0.0,10956395.89,507252.0,329846.0,16849237.91,,,6986.0,0.46,,,,1.25,10098.0,31326.0,,,0.46,6986.0,,928.0,,20.49,,,,9.04,9.04,5106642.0,169625799.32,,206.64,9.02,21.76,0.1381,23.79,0.1143
2009-12-23,661536.0,21950094.91,1.14,7.31,0.88,27.31,0.0,11547278.35,511700.0,348014.0,16978461.59,,,6221.0,0.82,,2011.0,,0.15,16157.0,5266.0,,,0.82,6221.0,0.08,3493.0,,21.06,,,,9.09,9.09,5119026.0,169851839.56,,209.83,9.12,22.62,0.1374,23.35,0.1175
2009-12-24,640128.0,21126474.29,1.1,7.13,0.85,26.45,0.0,10756406.72,515402.0,325917.0,17010077.83,,,23668.0,0.33,,,,1.09,8121.0,26423.0,,,0.33,23668.0,,6457.0,30218.0,21.18,1.18,,,9.15,9.15,5117907.0,168908922.33,,209.99,9.16,22.98,0.1433,23.83,0.1136
2009-12-25,643409.0,21234758.82,1.1,7.49,0.85,26.54,0.0,10756406.72,518683.0,325917.0,17118362.36,,,3281.0,,,,,,,,,,,3281.0,,,,21.27,,,,9.2,9.2,5121847.0,169038956.18,,209.66,9.21,22.96,0.1433,23.84,0.1141
2009-12-28,611870.0,20171710.46,1.05,7.12,0.81,25.28,0.0,10838597.91,483367.0,328768.0,15935311.7,,,5000.0,0.22,,,,1.72,4943.0,41949.0,,,0.22,5000.0,,1633.0,2092.0,19.83,0.08,,,8.57,8.57,5157008.0,170012702.41,,211.27,8.58,25.1,0.1539,25.13,0.1085
2009-12-29,622213.0,21223477.67,1.07,7.29,0.83,25.86,0.0,11504985.72,484710.0,337294.0,16533296.25,,,3450.0,0.37,,,,0.09,9000.0,2107.0,,,0.37,3450.0,,,474.0,20.02,0.02,,,8.59,8.59,5158045.0,175939192.67,,212.81,8.6,24.43,0.1496,24.78,0.1103
2009-12-30,622754.0,20868694.24,1.07,7.42,0.83,26.43,0.0,11302834.43,485251.0,337294.0,16260922.85,,,,,,,,,,,,,,,,541.0,,20.53,,,,8.59,8.59,5161105.0,172950349.89,,217.63,8.62,24.7,0.1504,24.83,0.1103
2009-12-31,620418.0,20970093.59,1.07,7.46,0.82,26.13,0.0,11400518.28,478951.0,337294.0,16188516.93,,,,,,,,0.29,,6300.0,,,,,,,,20.09,,,,8.5,8.5,5157796.0,174333215.41,,215.82,8.52,24.37,0.1487,24.65,0.1101
2010-01-01,620418.0,20970093.59,1.07,7.59,0.82,26.18,0.0,11400518.28,478951.0,337294.0,16188516.93,,,,,,,,,,,,,,,,,,20.11,,,,8.5,8.5,5157410.0,174320168.64,,216.54,8.5,24.33,0.1487,24.68,0.1101
2010-01-04,621540.0,21220522.36,1.07,7.6,0.82,26.24,0.0,11708979.89,474416.0,342951.0,16197437.55,,,,0.25,,,,0.18,5657.0,4535.0,,,0.25,,,,,19.91,,,,8.42,8.42,5157686.0,176092916.11,,216.51,8.42,23.88,0.1506,25.59,0.1104
2010-01-05,615006.0,21027124.9,1.06,7.94,0.82,26.29,0.0,11622005.93,470591.0,339923.0,16089559.67,,,386.0,0.25,,,,0.17,3436.0,4992.0,,,0.25,386.0,,781.0,6464.0,20.0,0.24,,,8.36,8.36,5156255.0,176292943.29,,219.1,8.36,23.87,0.1541,26.52,0.1093
2010-01-06,720197.0,24730802.27,1.24,9.35,0.96,30.76,0.0,15284743.37,474027.0,445114.0,16277585.17,4.21,,3436.0,0.55,,,98988.0,,12179.0,,4.21,,0.55,3436.0,,,5976.0,20.1,0.24,,,8.38,8.38,5179786.0,177868365.72,,220.2,8.37,20.22,0.1381,24.38,0.1274
2010-01-07,723472.0,24764690.43,1.24,9.69,0.96,31.11,0.0,15552450.96,473877.0,454347.0,16220969.45,,,6880.0,0.5,,,,0.3,10421.0,7030.0,,,0.5,6880.0,,,1188.0,20.24,0.05,,,8.39,8.39,5175638.0,177163833.38,,220.9,8.39,19.41,0.1413,25.77,0.1281
2010-01-08,714733.0,24436802.34,1.23,9.49,0.95,30.43,0.0,15331735.8,481480.0,448426.0,16461855.81,,,10421.0,,,,,0.12,,2818.0,,,,10421.0,,,5921.0,20.37,0.38,,,8.52,8.52,5167630.0,176681855.83,,219.09,8.51,19.19,0.1413,25.93,0.1265
2010-01-11,701155.0,23797710.24,1.2,9.28,0.93,29.81,0.0,15210197.27,450126.0,448140.0,15277603.55,,,3947.0,0.09,,,,0.67,2447.0,15745.0,,,0.09,3947.0,,,2733.0,19.02,0.12,0.8,,8.0,8.0,5178813.0,175772676.73,19556.0,218.84,8.0,17.46,0.1422,26.96,0.1246
2010-01-12,676385.0,22140797.97,1.16,9.01,0.9,28.62,0.0,14379431.65,434215.0,439281.0,14213601.12,,,773.0,,,,,0.8,,17850.0,,,,773.0,,1166.0,8859.0,18.24,0.37,,,7.8,7.8,5131515.0,167975098.36,,214.38,7.84,17.24,0.1442,27.46,0.1215
2010-01-13,662659.0,21902061.98,1.14,8.46,0.88,27.51,0.0,13806457.22,438710.0,417722.0,14500148.06,,,13261.0,,,,,0.71,,12779.0,,,,13261.0,,4013.0,21559.0,17.95,1.23,,,8.01,8.01,5038688.0,166537626.23,,205.71,8.02,17.31,0.1493,27.46,0.121
2010-01-14,749349.0,24535231.09,1.29,9.42,0.99,31.26,0.0,14253994.56,471976.0,435342.0,15453467.25,,,41005.0,1.57,,,,0.7,32620.0,15963.0,,,1.57,41005.0,,8224.0,15000.0,19.37,0.63,,,8.63,8.63,4994957.0,163545189.59,,204.71,8.64,14.25,0.1543,29.01,0.1371
2010-01-15,739829.0,24044974.87,1.27,9.01,0.98,30.68,0.0,14434382.09,487297.0,444125.0,15837503.15,,,33624.0,0.39,,,,0.76,12918.0,18303.0,,,0.39,33624.0,,,4135.0,19.88,0.17,,,9.1,9.1,4867692.0,158203492.71,,198.0,9.12,14.22,0.1613,30.85,0.1382
2010-01-18,738329.0,23773486.56,1.27,8.87,0.98,30.32,0.0,14252101.01,500215.0,442625.0,16106443.85,,,12918.0,,,,,,,,,,,12918.0,,,1500.0,20.19,0.06,,,9.24,9.24,4913031.0,158194892.07,,197.96,9.25,14.45,0.1615,30.79,0.1364
2010-01-19,687595.0,22341800.76,1.18,8.25,0.91,28.24,0.0,14204692.69,443929.0,437166.0,14424440.65,,,,0.43,,827.0,,2.27,11914.0,56286.0,,,0.43,,0.03,,18200.0,17.83,0.73,,,8.46,8.46,4806553.0,156177763.78,,193.19,8.45,15.54,0.1672,32.74,0.131
2010-01-20,682029.0,22001831.05,1.17,8.65,0.9,28.27,0.0,14034184.15,435967.0,435042.0,14064024.08,,,,0.17,,,,0.31,4145.0,7962.0,,,0.17,,,,6269.0,17.7,0.17,,,8.43,8.43,4738177.0,152850641.01,,191.78,8.45,15.66,0.1636,32.09,0.1318
2010-01-21,569225.0,18623862.2,0.98,6.96,0.76,23.0,0.0,10929194.61,418665.0,334043.0,13697851.06,,,,,,,,0.76,,17492.0,,,,,,190.0,2011.0,16.81,0.08,,4.37,8.12,8.12,4736542.0,154969837.11,,190.37,8.11,12.68,0.1981,38.8,0.1104
2010-01-22,562442.0,18374788.33,0.97,6.34,0.75,22.9,0.0,10588301.81,431632.0,324102.0,14101270.24,,15767.0,,,0.64,3800.0,,0.25,,6351.0,,15767.0,,,0.15,3551.0,13741.0,17.43,0.55,,,8.11,8.11,4893543.0,159870380.95,,197.6,8.11,12.6,0.2007,39.38,0.1056
2010-01-25,538855.0,17578199.42,0.93,5.8,0.71,22.04,0.0,10483503.67,427557.0,321369.0,13947503.89,,,29677.0,0.13,,,,1.34,1467.0,33752.0,,,0.13,29677.0,,,4200.0,17.34,0.17,,,8.24,8.24,4763290.0,155385143.5,,192.97,8.24,12.72,0.2208,42.53,0.1038
2010-01-26,551876.0,18014061.78,0.95,5.79,0.73,22.58,0.0,10597912.43,447672.0,324676.0,14612686.66,,,20460.0,0.33,,,,0.01,8093.0,345.0,,,0.33,20460.0,,,4786.0,18.19,0.22,,,8.59,8.59,4761346.0,155417486.9,,193.02,8.61,13.66,0.209,40.75,0.1059
2010-01-27,611612.0,19887670.62,1.05,6.08,0.81,25.04,0.0,12757319.69,489303.0,392330.0,15910572.22,,,33362.0,2.43,,9000.0,,0.25,58654.0,6021.0,,,2.43,33362.0,0.37,14290.0,,19.88,,,,9.34,9.34,4746790.0,154350464.02,,192.48,9.36,14.35,0.2021,39.18,0.1168
2010-01-28,649211.0,21141606.49,1.11,6.27,0.86,26.51,0.0,13374379.61,518678.0,410697.0,16890789.24,,,29771.0,0.66,,1286.0,,0.02,17081.0,396.0,,,0.66,29771.0,0.05,,,21.01,,,,9.85,9.85,4748242.0,154626868.45,,192.21,9.85,16.54,0.1925,37.12,0.1233
