,CC1 FP Equity_DX_SI_QTY,CC1 FP Equity_DX_SHORT_INTEREST_VALUE,CC1 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CC1 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CC1 FP Equity_DX_SI_MV,CC1 FP Equity_DX_DSS,CC1 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CC1 FP Equity_DX_SUPPLY_SI_QTY,CC1 FP Equity_DX_BROKER_SI_QTY,CC1 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CC1 FP Equity_DX_SUPPLY_SI_QTY_NEW_x,CC1 FP Equity_DX_SUPPLY_SI_QTY_INC_x,CC1 FP Equity_DX_BROKER_SI_MV_INC_x,CC1 FP Equity_DX_SUPPLY_SI_MV_NEW,CC1 FP Equity_DX_BROKER_SI_QTY_ADD,CC1 FP Equity_DX_SUPPLY_SI_MV_DEC,CC1 FP Equity_DX_BROKER_SI_QTY_INC,CC1 FP Equity_DX_SUPPLY_SI_QTY_DEC,CC1 FP Equity_DX_SUPPLY_SI_QTY_NEW_y,CC1 FP Equity_DX_BROKER_SI_MV_INC_y,CC1 FP Equity_DX_SUPPLY_SI_QTY_INC_y,CC1 FP Equity_DX_BROKER_SI_MV_ADD,CC1 FP Equity_DX_SUPPLY_SI_QTY_ADD,CC1 FP Equity_DX_BROKER_SI_QTY_DEC,CC1 FP Equity_DX_SUPPLY_SI_MV,CC1 FP Equity_DX_BROKER_SI_MV_DEC,CC1 FP Equity_DX_SUPPLY_SI_MV_RMV,CC1 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CC1 FP Equity_DX_UTILIZATION_QUANTITY,CC1 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CC1 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CC1 FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,CC1 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CC1 FP Equity_DX_ACTIVE_UTILIZATION_MV,CC1 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CC1 FP Equity_DX_BROKER_SI_CON_RATIO,CC1 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CC1 FP Equity_DX_DEMAND_SUPPLY_RATIO,CC1 FP Equity_PX_LAST
2011-09-27,12600.0,1979082.0,6.78,3.59,1.95,,1979082.0,0.0,12600.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,22.7,0.649,77.3,0.0,157.07
2011-09-28,12600.0,1917846.0,8.92,3.59,1.92,,1917846.0,0.0,12600.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,24.38,0.6312,75.62,0.0,152.21
2011-09-29,15200.0,2316632.0,10.72,4.19,2.32,,2316632.0,0.0,15200.0,0.0,,,,,2600.0,,,,,,,0.4,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,19.72,0.4672,63.17,0.0,152.41
2011-09-30,15200.0,2267536.0,9.42,4.19,2.28,,2267536.0,0.0,15200.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,19.96,0.4614,62.52,0.0,149.18
2011-10-03,15200.0,2202480.0,8.92,4.19,2.23,,2202480.0,0.0,15200.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,19.96,0.4571,62.04,0.0,144.9
2011-10-04,15200.0,2100640.0,7.78,4.19,2.13,,2100640.0,0.0,15200.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,20.5,0.4621,62.56,0.0,138.2
2011-10-05,15200.0,2178920.0,7.25,4.19,2.17,,2178920.0,0.0,15200.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,19.16,0.471,63.61,0.0,143.35
2011-10-06,15200.0,2221176.0,6.98,4.19,2.22,,2221176.0,0.0,15200.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,19.43,0.4692,63.4,0.0,146.13
2011-10-07,15200.0,2249144.0,6.81,4.19,2.24,,2249144.0,0.0,15200.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,19.54,0.4684,63.31,0.0,147.97
2011-10-10,9200.0,1386992.0,4.12,2.54,1.37,,1386992.0,0.0,9200.0,0.0,,,,,,,,,,,,,,6000.0,0.0,0.85,,0.0,0.0,0.0,0.0,,0.0,0.0,31.93,0.3397,39.53,0.0,150.76
