,SELER FP Equity_DX_SI_QTY,SELER FP Equity_DX_SHORT_INTEREST_VALUE,SELER FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,SELER FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SELER FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SELER FP Equity_DX_SI_MV,SELER FP Equity_DX_DSS,SELER FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SELER FP Equity_DX_SUPPLY_SI_QTY,SELER FP Equity_DX_BROKER_SI_QTY,SELER FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SELER FP Equity_DX_BROKER_SI_MV_NEW_x,SELER FP Equity_DX_BROKER_SI_QTY_ADD,SELER FP Equity_DX_BROKER_SI_QTY_NEW,SELER FP Equity_DX_BROKER_SI_MV_NEW_y,SELER FP Equity_DX_BROKER_SI_MV_ADD,SELER FP Equity_DX_SUPPLY_SI_MV,SELER FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SELER FP Equity_DX_UTILIZATION_QUANTITY,SELER FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SELER FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SELER FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SELER FP Equity_DX_ACTIVE_UTILIZATION_MV,SELER FP Equity_DX_BROKER_SI_CON_RATIO,SELER FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SELER FP Equity_DX_DEMAND_SUPPLY_RATIO,SELER FP Equity_PX_LAST
2012-08-08,30294.0,1132583.7,4.58,376.63,2.07,1.27,1.0,1132583.7,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,45.92
2012-08-09,30294.0,1132583.7,4.58,376.63,2.07,1.28,1.0,1132583.7,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,45.92
2012-08-10,30294.0,1132583.7,4.58,376.63,2.07,1.27,1.0,1132583.7,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,45.92
2012-08-13,30294.0,1134556.84,4.58,446.81,2.07,1.27,1.0,1134556.84,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,46.0
2012-08-14,30294.0,1134310.2,4.58,431.95,2.07,1.27,1.0,1134310.2,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,45.99
2012-08-15,30294.0,1134310.2,4.58,431.95,2.07,1.27,1.0,1134310.2,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,45.99
2012-08-16,30294.0,1134310.2,4.58,431.95,2.07,1.27,1.0,1134310.2,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,45.99
2012-08-17,30294.0,1134310.2,4.58,442.46,2.07,1.27,1.0,1134310.2,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,45.99
2012-08-20,30294.0,1134310.2,4.58,462.74,2.07,1.27,1.0,1134310.2,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,45.99
2012-08-21,30294.0,1134556.84,4.58,462.74,2.07,1.27,1.0,1134556.84,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,46.0
2012-08-22,30294.0,1134310.2,4.58,387.72,2.07,1.27,1.0,1134310.2,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,45.99
