,ALHYP FP Equity_DX_SI_QTY,ALHYP FP Equity_DX_SHORT_INTEREST_VALUE,ALHYP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALHYP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALHYP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALHYP FP Equity_DX_SI_MV,ALHYP FP Equity_DX_DSS,ALHYP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALHYP FP Equity_DX_SUPPLY_SI_QTY,ALHYP FP Equity_DX_BROKER_SI_QTY,ALHYP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALHYP FP Equity_DX_BROKER_SI_MV_NEW_x,ALHYP FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALHYP FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALHYP FP Equity_DX_BROKER_SI_MV_INC_x,ALHYP FP Equity_DX_SUPPLY_SI_MV_NEW,ALHYP FP Equity_DX_BROKER_SI_QTY_ADD,ALHYP FP Equity_DX_BROKER_SI_QTY_NEW,ALHYP FP Equity_DX_SUPPLY_SI_MV_DEC,ALHYP FP Equity_DX_BROKER_SI_QTY_INC,ALHYP FP Equity_DX_SUPPLY_SI_QTY_DEC,ALHYP FP Equity_DX_BROKER_SI_MV_NEW_y,ALHYP FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALHYP FP Equity_DX_BROKER_SI_MV_INC_y,ALHYP FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALHYP FP Equity_DX_BROKER_SI_MV_ADD,ALHYP FP Equity_DX_SUPPLY_SI_QTY_ADD,ALHYP FP Equity_DX_BROKER_SI_QTY_DEC,ALHYP FP Equity_DX_SUPPLY_SI_MV,ALHYP FP Equity_DX_BROKER_SI_MV_DEC,ALHYP FP Equity_DX_SUPPLY_SI_MV_RMV,ALHYP FP Equity_DX_BROKER_SI_MV_RMV,ALHYP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALHYP FP Equity_DX_UTILIZATION_QUANTITY,ALHYP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALHYP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALHYP FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALHYP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALHYP FP Equity_DX_ACTIVE_UTILIZATION_MV,ALHYP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALHYP FP Equity_DX_BROKER_SI_CON_RATIO,ALHYP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALHYP FP Equity_DX_DEMAND_SUPPLY_RATIO,ALHYP FP Equity_PX_LAST
2018-02-01,11191.0,158912.2,0.51,3.99,0.23,0.16,0.0,122546.0,5837.0,8630.0,82885.4,,,,,,,,,,,,,,,,,,0.08,,,,100.0,10.59,0.0,0.0,,0.0,100.0,18.18,0.1998,31.1,0.2031,14.2
2018-02-02,11191.0,158352.65,0.51,4.03,0.23,0.16,0.0,122114.5,5837.0,8630.0,82593.55,,,,,,,,,,,,,,,,,,0.08,,,,100.0,10.59,0.0,0.0,,0.0,100.0,18.18,0.1997,31.08,0.2031,14.15
2018-02-05,11191.0,158352.65,0.51,4.41,0.23,0.16,0.0,122114.5,5837.0,8630.0,82593.55,,,,,,,,,,,,,,,,,,0.08,,,,100.0,10.58,0.0,0.0,,0.0,100.0,18.11,0.2002,31.25,0.2029,14.15
2018-02-06,11191.0,152757.15,0.51,4.36,0.23,0.15,0.0,117799.5,5837.0,8630.0,79675.05,,,,,,,,,,,,,,,,,,0.08,,,,100.0,10.58,0.0,0.0,,0.0,100.0,18.35,0.1973,30.35,0.2029,13.65
2018-02-07,11191.0,153876.25,0.51,3.87,0.23,0.15,0.0,118662.5,5837.0,8630.0,80258.75,,,,,,,,,,,,,,,,,,0.08,,,,100.0,10.58,0.0,0.0,,0.0,100.0,18.0,0.2002,31.37,0.2029,13.75
2018-02-08,11191.0,158352.65,0.51,3.75,0.23,0.15,0.0,122114.5,5837.0,8630.0,82593.55,,,,,,,,,,,,,,,,,,0.08,,,,100.0,10.58,0.0,0.0,,0.0,100.0,17.91,0.2015,31.75,0.2029,14.15
2018-02-09,11191.0,153876.25,0.51,3.71,0.23,0.15,0.0,118662.5,5837.0,8630.0,80258.75,,,,,,,,,,,,,,,,,,0.08,,,,100.0,10.58,0.0,0.0,,0.0,100.0,18.28,0.1979,30.56,0.2029,13.75
2018-02-12,13191.0,184014.45,0.6,4.32,0.27,0.18,0.0,148288.5,7837.0,10630.0,109326.15,,,2000.0,0.03,,,,,2000.0,,,,0.03,2000.0,,,,0.11,,,,100.0,14.21,0.0,0.0,,0.0,100.0,26.39,0.2149,30.99,0.2392,13.95
2018-02-13,13191.0,185993.1,0.6,4.28,0.27,0.18,0.0,149883.0,7837.0,10630.0,110501.7,,,,,,,,,,,,,,,,,,0.11,,,,100.0,14.21,0.0,0.0,,0.0,100.0,26.42,0.2153,31.04,0.2392,14.1
2018-02-14,13191.0,184674.0,0.6,4.37,0.27,0.18,0.0,148820.0,7837.0,10630.0,109718.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,14.21,0.0,0.0,,0.0,100.0,25.9,0.2148,31.29,0.2392,14.0
2018-02-15,13191.0,184674.0,0.6,4.4,0.27,0.18,0.0,148820.0,7837.0,10630.0,109718.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,14.21,0.0,0.0,,0.0,100.0,26.21,0.2152,31.16,0.2392,14.0
2018-02-16,13191.0,184674.0,0.6,4.25,0.27,0.18,0.0,148820.0,7837.0,10630.0,109718.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,14.21,0.0,0.0,,0.0,100.0,26.21,0.2155,31.25,0.2392,14.0
2018-02-19,13191.0,187971.75,0.6,4.38,0.27,0.18,0.0,151477.5,7837.0,10630.0,111677.25,,,,,,,,,,,,,,,,,,0.11,,,,100.0,14.21,0.0,0.0,,0.0,100.0,26.47,0.216,31.16,0.2392,14.25
2018-02-20,13191.0,185993.1,0.6,2.91,0.27,0.19,0.0,149883.0,7837.0,10630.0,110501.7,,,,,,,,,,,,,,,,,,0.11,,,,100.0,14.21,0.0,0.0,,0.0,100.0,25.98,0.2154,31.39,0.2392,14.1
2018-02-21,13191.0,185333.55,0.6,3.05,0.27,0.19,0.0,149351.5,7837.0,10630.0,110109.85,,,,,,,,,,,,,,,,,,0.11,,,,100.0,14.21,0.0,0.0,,0.0,100.0,26.15,0.2154,31.26,0.2392,14.05
2018-02-22,13191.0,184014.45,0.6,3.08,0.27,0.18,0.0,148288.5,7837.0,10630.0,109326.15,,,,,,,,,,,,,,,,,,0.11,,,,100.0,14.21,0.0,0.0,,0.0,100.0,26.04,0.2151,31.26,0.2392,13.95
2018-02-23,13191.0,185993.1,0.6,3.06,0.27,0.18,0.0,149883.0,7837.0,10630.0,110501.7,,,,,,,,,,,,,,,,,,0.11,,,,100.0,14.21,0.0,0.0,,0.0,100.0,26.37,0.2155,31.13,0.2392,14.1
2018-02-26,13191.0,183354.9,0.6,3.06,0.27,0.18,0.0,147757.0,7837.0,10630.0,108934.3,,,,,,,,,,,,,,,,,,0.11,,,,100.0,14.21,0.0,0.0,,0.0,100.0,25.89,0.2149,31.33,0.2392,13.9
2018-02-27,13191.0,184014.45,0.6,3.07,0.27,0.18,0.0,148288.5,7837.0,10630.0,109326.15,,,,,,,,,,,,,,,,,,0.11,,,,100.0,14.21,0.0,0.0,,0.0,100.0,26.24,0.2152,31.18,0.2392,13.95
2018-02-28,13191.0,183354.9,0.6,3.07,0.27,0.18,0.0,147757.0,7837.0,10630.0,108934.3,,,,,,,,,,,,,,,,,,0.11,,,,100.0,14.21,0.0,0.0,,0.0,100.0,26.06,0.2152,31.31,0.2392,13.9
2018-03-01,13191.0,184674.0,0.6,3.03,0.27,0.18,0.0,148820.0,7837.0,10630.0,109718.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,14.21,0.0,0.0,,0.0,100.0,26.16,0.2148,31.14,0.2392,14.0
2018-03-02,13191.0,182695.35,0.6,3.06,0.27,0.18,0.0,147225.5,7837.0,10630.0,108542.45,,,,,,,,,,,,,,,,,,0.11,,,,100.0,14.21,0.0,0.0,,0.0,100.0,26.0,0.2146,31.17,0.2392,13.85
2018-03-05,13191.0,180057.15,0.6,3.09,0.27,0.18,0.0,145099.5,7837.0,10630.0,106975.05,,,,,,,,,,,,,,,,,,0.11,,,,100.0,14.21,0.0,0.0,,0.0,100.0,25.86,0.2146,31.29,0.2392,13.65
2018-03-06,13191.0,177418.95,0.6,3.32,0.27,0.18,0.0,142973.5,7837.0,10630.0,105407.65,,,,,,,,,,,,,,,,,,0.11,,,,100.0,14.21,0.0,0.0,,0.0,100.0,25.88,0.2143,31.22,0.2392,13.45
2018-03-07,11630.0,153516.0,0.53,3.01,0.23,0.16,0.0,140316.0,6276.0,10630.0,82843.2,,,,,,,,0.02,,1561.0,,,,,,,,0.08,,,,100.0,11.38,0.0,0.0,,0.0,100.0,29.24,0.2577,35.5,0.2109,13.2
2018-03-08,11630.0,151771.5,0.53,3.12,0.23,0.15,0.0,138721.5,6276.0,10630.0,81901.8,,,,,,,,,,,,,,,,,,0.08,,,,100.0,11.38,0.0,0.0,,0.0,100.0,29.36,0.2575,35.42,0.2109,13.05
2018-03-09,11630.0,157005.0,0.53,3.07,0.23,0.15,0.0,143505.0,6276.0,10630.0,84726.0,,,,,,,,,,,,,,,,,,0.08,,,,100.0,11.38,0.0,0.0,,0.0,100.0,30.25,0.258,34.87,0.2109,13.5
2018-03-12,11630.0,149445.5,0.53,3.08,0.23,0.15,0.0,136595.5,6276.0,10630.0,80646.6,,,,,,,,,,,,,,,,,,0.08,,,,100.0,11.38,0.0,0.0,,0.0,100.0,28.59,0.257,35.82,0.2109,12.85
2018-03-13,11630.0,151190.0,0.53,3.06,0.23,0.15,0.0,138190.0,6276.0,10630.0,81588.0,,,,,,,,,,,,,,,,,,0.08,,,,100.0,11.38,0.0,0.0,,0.0,100.0,29.76,0.257,35.03,0.2109,13.0
2018-03-14,11630.0,152353.0,0.53,3.04,0.23,0.15,0.0,139253.0,6276.0,10630.0,82215.6,,,,,,,,,,,,,,,,,,0.08,,,,100.0,11.38,0.0,0.0,,0.0,100.0,29.69,0.2574,35.17,0.2109,13.1
2018-03-15,11630.0,146538.0,0.53,3.03,0.23,0.15,0.0,133938.0,6276.0,10630.0,79077.6,,,,,,,,,,,,,,,,,,0.08,,,,100.0,11.38,0.0,0.0,,0.0,100.0,28.78,0.2567,35.67,0.2109,12.6
2018-03-16,11630.0,150027.0,0.53,2.9,0.23,0.15,0.0,137127.0,6276.0,10630.0,80960.4,,,,,,,,,,,,,,,,,,0.08,,,,100.0,11.38,0.0,0.0,,0.0,100.0,29.88,0.2569,34.94,0.2109,12.9
2018-03-19,11630.0,151190.0,0.53,2.83,0.23,0.15,0.0,138190.0,6276.0,10630.0,81588.0,,,,,,,,,,,,,,,,,,0.08,,,,100.0,11.38,0.0,0.0,,0.0,100.0,29.73,0.2576,35.14,0.2109,13.0
2018-03-20,9630.0,125190.0,0.44,2.36,0.19,0.13,0.0,112190.0,6276.0,8630.0,81588.0,,,,,,,,,,,,,,,,,2000.0,0.08,0.03,,,100.0,11.38,0.0,0.0,,0.0,100.0,35.63,0.3319,42.56,0.1746,13.0
2018-03-21,9630.0,125190.0,0.44,2.6,0.19,0.13,0.0,112190.0,6276.0,8630.0,81588.0,,,,,,,,,,,,,,,,,,0.08,,,,100.0,11.38,0.0,0.0,,0.0,100.0,35.62,0.3315,42.5,0.1746,
2018-03-22,14630.0,187995.5,0.67,4.1,0.3,0.19,0.0,110895.5,11276.0,8630.0,144896.6,,,5000.0,,,,,,,,,,,5000.0,,,,0.15,,,,100.0,20.44,0.0,0.0,,0.0,100.0,27.94,0.2606,34.29,0.2653,12.85
2018-03-23,14630.0,190190.0,0.67,4.25,0.3,0.19,0.0,112190.0,11276.0,8630.0,146588.0,,,,,,,,,,,,,,,,,,0.14,,,,100.0,20.44,0.0,0.0,,0.0,100.0,27.87,0.2601,34.06,0.2653,13.0
2018-03-26,10860.0,143895.0,0.5,3.16,0.22,0.14,0.0,114347.5,7506.0,8630.0,99454.5,,,,,,,,0.05,,3770.0,,,,,,,,0.1,,,,100.0,13.61,0.0,0.0,,0.0,100.0,32.08,0.2741,37.42,0.1969,13.25
2018-03-27,10860.0,139008.0,0.5,3.19,0.22,0.14,0.0,110464.0,7506.0,8630.0,96076.8,,,,,,,,,,,,,,,,,,0.1,,,,100.0,13.61,0.0,0.0,,0.0,100.0,30.91,0.2739,38.26,0.1969,12.8
2018-03-28,10860.0,136293.0,0.5,3.16,0.22,0.14,0.0,108306.5,7506.0,8630.0,94200.3,,,,,,,,,,,,,,,,,,0.1,,,,100.0,13.61,0.0,0.0,,0.0,100.0,31.17,0.2732,37.96,0.1969,12.55
2018-03-29,9630.0,120856.5,0.44,2.71,0.19,0.12,0.0,108306.5,6276.0,8630.0,78763.8,,,,,,,,0.02,,1230.0,,,,,,,,0.08,,,,100.0,11.38,0.0,0.0,,0.0,100.0,35.56,0.3305,42.38,0.1746,12.55
2018-03-30,9630.0,120856.5,0.44,2.81,0.19,0.12,0.0,108306.5,6276.0,8630.0,78763.8,,,,,,,,,,,,,,,,,,0.08,,,,100.0,11.38,0.0,0.0,,0.0,100.0,35.54,0.3305,42.39,0.1746,
2018-04-02,9630.0,120856.5,0.44,2.81,0.19,0.12,0.0,108306.5,6276.0,8630.0,78763.8,,,,,,,,,,,,,,,,,,0.08,,,,100.0,11.38,0.0,0.0,,0.0,100.0,35.56,0.3304,42.36,0.1746,
2018-04-03,9630.0,121338.0,0.44,2.81,0.19,0.12,0.0,108738.0,6276.0,8630.0,79077.6,,,,,,,,,,,,,,,,,,0.08,,,,100.0,11.38,0.0,0.0,,0.0,100.0,35.58,0.3303,42.34,0.1746,12.6
2018-04-04,9630.0,122301.0,0.44,2.83,0.19,0.12,0.0,109601.0,6276.0,8630.0,79705.2,,,,,,,,,,,,,,,,,,0.08,,,,100.0,11.38,0.0,0.0,,0.0,100.0,35.76,0.3305,42.22,0.1746,12.7
2018-04-05,9630.0,121338.0,0.44,5.48,0.19,0.12,0.0,108738.0,6276.0,8630.0,79077.6,,,,,,,,,,,,,,,,,,0.08,,,,100.0,11.38,0.0,0.0,,0.0,100.0,35.38,0.3306,42.55,0.1746,12.6
2018-04-06,10130.0,127638.0,0.46,5.65,0.2,0.13,0.0,108738.0,6776.0,8630.0,85377.6,,,,,,,,,,,,,,,,500.0,,0.09,,,,100.0,12.29,0.0,0.0,,0.0,100.0,33.81,0.301,40.26,0.1837,12.6
2018-04-09,10130.0,129157.5,0.46,5.88,0.2,0.13,0.0,110032.5,6776.0,8630.0,86394.0,,,,,,,,,,,,,,,,,,0.09,,,,100.0,12.29,0.0,0.0,,0.0,100.0,34.11,0.3015,40.1,0.1837,12.75
2018-04-10,10130.0,128144.5,0.46,5.82,0.2,0.13,0.0,109169.5,6776.0,8630.0,85716.4,,,,,,,,,,,,,,,,,,0.09,,,,100.0,12.29,0.0,0.0,,0.0,100.0,33.72,0.3015,40.42,0.1837,12.65
2018-04-11,10130.0,129664.0,0.46,5.47,0.2,0.13,0.0,110464.0,6776.0,8630.0,86732.8,,,,,,,,,,,,,,,,,,0.09,,,,100.0,12.29,0.0,0.0,,0.0,100.0,34.13,0.3018,40.14,0.1837,12.8
2018-04-12,10130.0,132196.5,0.46,5.04,0.2,0.13,0.0,112621.5,6776.0,8630.0,88426.8,,,,,,,,,,,,,,,,,,0.09,,,,100.0,12.29,0.0,0.0,,0.0,100.0,34.22,0.3024,40.16,0.1837,13.05
2018-04-13,10130.0,139287.5,0.46,4.67,0.2,0.13,0.0,118662.5,6776.0,8630.0,93170.0,,,,,,,,,,,,,,,,,,0.09,,,,100.0,12.29,0.0,0.0,,0.0,100.0,35.08,0.304,39.72,0.1837,13.75
2018-04-16,10130.0,136248.5,0.46,4.5,0.2,0.14,0.0,116073.5,6776.0,8630.0,91137.2,,,,,,,,,,,,,,,,,,0.09,,,,100.0,12.29,0.0,0.0,,0.0,100.0,33.63,0.3038,40.89,0.1837,13.45
2018-04-17,10130.0,141820.0,0.46,4.37,0.2,0.14,0.0,120820.0,6776.0,8630.0,94864.0,,,,,,,,,,,,,,,,,,0.09,,,,100.0,12.29,0.0,0.0,,0.0,100.0,34.88,0.3047,40.02,0.1837,14.0
2018-04-18,10130.0,150937.0,0.46,4.34,0.2,0.14,0.0,128587.0,6776.0,8630.0,100962.4,,,,,,,,,,,,,,,,,,0.09,,,,100.0,12.29,0.0,0.0,,0.0,100.0,35.58,0.3068,39.78,0.1837,14.9
2018-04-19,10130.0,152456.5,0.46,4.26,0.2,0.15,0.0,129881.5,6776.0,8630.0,101978.8,,,,,,,,,,,,,,,,,,0.1,,,,100.0,12.29,0.0,0.0,,0.0,100.0,34.53,0.3073,40.76,0.1837,15.05
2018-04-20,10130.0,146378.5,0.46,3.88,0.2,0.15,0.0,124703.5,6776.0,8630.0,97913.2,,,,,,,,,,,,,,,,,,0.1,,,,100.0,12.29,0.0,0.0,,0.0,100.0,33.32,0.3063,41.54,0.1837,14.45
2018-04-23,10130.0,145872.0,0.46,3.83,0.2,0.15,0.0,124272.0,6776.0,8630.0,97574.4,,,,,,,,,,,,,,,,,,0.1,,,,100.0,12.29,0.0,0.0,,0.0,100.0,34.06,0.3056,40.86,0.1837,14.4
2018-04-24,10130.0,149924.0,0.46,3.88,0.2,0.15,0.0,127724.0,6776.0,8630.0,100284.8,,,,,,,,,,,,,,,,,,0.1,,,,100.0,12.29,0.0,0.0,,0.0,100.0,34.82,0.3063,40.34,0.1837,14.8
2018-04-25,10130.0,146885.0,0.46,3.78,0.2,0.15,0.0,125135.0,6776.0,8630.0,98252.0,,,,,,,,,,,,,,,,,,0.1,,,,100.0,12.29,0.0,0.0,,0.0,100.0,33.77,0.3059,41.14,0.1837,14.5
2018-04-26,10476.0,158187.6,0.48,3.79,0.21,0.16,0.0,143087.6,8276.0,9476.0,124967.6,,,,0.02,,,,0.01,846.0,500.0,,,0.02,,,2000.0,,0.12,,,,100.0,15.01,0.0,0.0,,0.0,100.0,32.63,0.2979,37.27,0.1899,15.1
2018-04-27,10476.0,158187.6,0.48,3.67,0.21,0.16,0.0,143087.6,8276.0,9476.0,124967.6,,,,,,,,,,,,,,,,,,0.13,,,,100.0,15.01,0.0,0.0,,0.0,100.0,31.84,0.2983,38.09,0.1899,15.1
2018-04-30,10476.0,157663.8,0.48,3.29,0.21,0.16,0.0,142613.8,8276.0,9476.0,124553.8,,,,,,,,,,,,,,,,,,0.13,,,,100.0,15.01,0.0,0.0,,0.0,100.0,31.79,0.2982,38.11,0.1899,15.05
2018-05-01,10476.0,157663.8,0.48,3.35,0.21,0.16,0.0,142613.8,8276.0,9476.0,124553.8,,,,,,,,,,,,,,,,,,0.12,,,,100.0,15.01,0.0,0.0,,0.0,100.0,31.81,0.2982,38.04,0.1899,
2018-05-02,10476.0,158711.4,0.48,3.35,0.21,0.16,0.0,143561.4,8276.0,9476.0,125381.4,,,,,,,,,,,,,,,,,,0.12,,,,100.0,15.01,0.0,0.0,,0.0,100.0,31.96,0.298,37.88,0.1899,15.15
2018-05-03,10476.0,158187.6,0.48,3.62,0.21,0.16,0.0,143087.6,8276.0,9476.0,124967.6,,,,,,,,,,,,,,,,,,0.13,,,,100.0,15.01,0.0,0.0,,0.0,100.0,31.63,0.2971,37.83,0.1899,15.1
2018-05-04,10476.0,157140.0,0.48,3.63,0.21,0.16,0.0,142140.0,8276.0,9476.0,124140.0,,,,,,,,,,,,,,,,,,0.13,,,,100.0,15.01,0.0,0.0,,0.0,100.0,31.48,0.2971,37.92,0.1899,15.0
2018-05-07,10476.0,158187.6,0.48,3.63,0.21,0.16,0.0,143087.6,8276.0,9476.0,124967.6,,,,,,,,,,,,,,,,,,0.12,,,,100.0,15.01,0.0,0.0,,0.0,100.0,31.75,0.2969,37.64,0.1899,15.1
2018-05-08,10476.0,158187.6,0.48,3.55,0.21,0.16,0.0,143087.6,8276.0,9476.0,124967.6,,,,,,,,,,,,,,,,,,0.13,,,,100.0,15.01,0.0,0.0,,0.0,100.0,31.56,0.2969,37.79,0.1899,15.1
2018-05-09,10476.0,157140.0,0.48,3.5,0.21,0.16,0.0,142140.0,8276.0,9476.0,124140.0,,,,,,,,,,,,,,,,,,0.13,,,,100.0,15.01,0.0,0.0,,0.0,100.0,31.52,0.2968,37.78,0.1899,15.0
2018-05-10,10476.0,157140.0,0.48,3.44,0.21,0.16,0.0,142140.0,8276.0,9476.0,124140.0,,,,,,,,,,,,,,,,,,0.12,,,,100.0,15.01,0.0,0.0,,0.0,100.0,31.66,0.2966,37.65,0.1899,15.0
2018-05-11,10476.0,161330.4,0.48,3.39,0.21,0.16,0.0,145930.4,8276.0,9476.0,127450.4,,,,,,,,,,,,,,,,,,0.12,,,,100.0,15.01,0.0,0.0,,0.0,100.0,32.26,0.2971,37.34,0.1899,15.4
2018-05-14,10476.0,158187.6,0.48,3.38,0.21,0.17,0.0,143087.6,8276.0,9476.0,124967.6,,,,,,,,,,,,,,,,,,0.13,,,,100.0,15.01,0.0,0.0,,0.0,100.0,31.47,0.2976,38.1,0.1899,15.1
2018-05-15,10476.0,159759.0,0.48,3.49,0.21,0.17,0.0,144509.0,8276.0,9476.0,126209.0,,,,,,,,,,,,,,,,,,0.13,,,,100.0,15.01,0.0,0.0,,0.0,100.0,31.77,0.2973,37.74,0.1899,15.25
2018-05-16,10476.0,157663.8,0.48,3.44,0.21,0.17,0.0,142613.8,8276.0,9476.0,124553.8,,,,,,,,,,,,,,,,,,0.13,,,,100.0,15.01,0.0,0.0,,0.0,100.0,31.37,0.2971,38.0,0.1899,15.05
2018-05-17,10476.0,158187.6,0.48,3.39,0.21,0.16,0.0,143087.6,8276.0,9476.0,124967.6,,,,,,,,,,,,,,,,,,0.12,,,,100.0,15.01,0.0,0.0,,0.0,100.0,31.74,0.2971,37.75,0.1899,15.1
2018-05-18,10476.0,159235.2,0.48,3.27,0.21,0.16,0.0,144035.2,8276.0,9476.0,125795.2,,,,,,,,,,,,,,,,,,0.13,,,,100.0,15.01,0.0,0.0,,0.0,100.0,31.77,0.2971,37.73,0.1899,15.2
2018-05-21,10476.0,159759.0,0.48,3.24,0.21,0.17,0.0,144509.0,8276.0,9476.0,126209.0,,,,,,,,,,,,,,,,,,0.13,,,,100.0,15.01,0.0,0.0,,0.0,100.0,31.72,0.2971,37.76,0.1899,15.25
2018-05-22,10476.0,161330.4,0.48,3.16,0.21,0.17,0.0,145930.4,8276.0,9476.0,127450.4,,,,,,,,,,,,,,,,,,0.13,,,,100.0,15.01,0.0,0.0,,0.0,100.0,31.94,0.2973,37.66,0.1899,15.4
2018-05-23,10476.0,164997.0,0.48,3.12,0.21,0.17,0.0,149247.0,8276.0,9476.0,130347.0,,,,,,,,,,,,,,,,,,0.13,,,,100.0,15.01,0.0,0.0,,0.0,100.0,32.1,0.2974,37.53,0.1899,15.75
2018-05-24,10476.0,165520.8,0.48,2.84,0.21,0.17,0.0,149720.8,8276.0,9476.0,130760.8,,,,,,,,,,,,,,,,,,0.13,,,,100.0,15.01,0.0,0.0,,0.0,100.0,31.82,0.2972,37.72,0.1899,15.8
2018-05-25,10476.0,163949.4,0.48,2.79,0.21,0.17,0.0,148299.4,8276.0,9476.0,129519.4,,,,,,,,,,,,,,,,,,0.13,,,,100.0,15.01,0.0,0.0,,0.0,100.0,31.47,0.2974,38.03,0.1899,15.65
2018-05-28,10476.0,164473.2,0.48,2.87,0.21,0.17,0.0,148773.2,8276.0,9476.0,129933.2,,,,,,,,,,,,,,,,,,0.13,,,,100.0,15.01,0.0,0.0,,0.0,100.0,31.61,0.297,37.84,0.1899,15.7
2018-05-29,10476.0,165520.8,0.48,2.84,0.21,0.17,0.0,149720.8,8276.0,9476.0,130760.8,,,,,,,,,,,,,,,,,,0.13,,,,100.0,15.01,0.0,0.0,,0.0,100.0,31.81,0.2972,37.7,0.1899,15.8
2018-05-30,10476.0,162378.0,0.48,2.8,0.21,0.17,0.0,146878.0,8276.0,9476.0,128278.0,,,,,,,,,,,,,,,,,,0.13,,,,100.0,15.01,0.0,0.0,,0.0,100.0,31.31,0.2968,38.01,0.1899,15.5
2018-05-31,10476.0,151378.2,0.48,2.76,0.21,0.16,0.0,136928.2,8276.0,9476.0,119588.2,,,,,,,,,,,,,,,,,,0.13,,,,100.0,15.01,0.0,0.0,,0.0,100.0,30.15,0.2965,38.65,0.1899,14.45
2018-06-01,10476.0,147187.8,0.48,2.3,0.21,0.16,0.0,133137.8,8276.0,9476.0,116277.8,,,,,,,,,,,,,,,,,,0.12,,,,100.0,15.01,0.0,0.0,,0.0,100.0,31.09,0.2968,38.11,0.1899,14.05
2018-06-04,10476.0,146140.2,0.48,2.24,0.21,0.15,0.0,132190.2,8276.0,9476.0,115450.2,,,,,,,,,,,,,,,,,,0.12,,,,100.0,15.01,0.0,0.0,,0.0,100.0,31.61,0.297,37.82,0.1899,13.95
2018-06-05,10473.0,136672.65,0.48,2.2,0.21,0.15,0.0,123622.65,8273.0,9473.0,107962.65,,,,,,,,0.0,,3.0,,,,,,,3.0,0.12,0.0,,,100.0,15.0,0.0,0.0,,0.0,100.0,30.21,0.2965,38.59,0.1899,13.05
2018-06-06,10473.0,144527.4,0.48,2.09,0.21,0.14,0.0,130727.4,8273.0,9473.0,114167.4,,,,,,,,,,,,,,,,,,0.11,,,,100.0,15.0,0.0,0.0,,0.0,100.0,33.01,0.298,37.04,0.1899,13.8
2018-06-07,10473.0,140861.85,0.48,2.02,0.21,0.15,0.0,127411.85,8273.0,9473.0,111271.85,,,,,,,,,,,,,,,,,,0.11,,,,100.0,15.0,0.0,0.0,,0.0,100.0,31.19,0.2968,38.04,0.1899,13.45
2018-06-08,10473.0,141385.5,0.48,2.04,0.21,0.15,0.0,127885.5,8273.0,9473.0,111685.5,,,,,,,,,,,,,,,,,,0.11,,,,100.0,15.0,0.0,0.0,,0.0,100.0,31.72,0.2971,37.75,0.1899,13.5
2018-06-11,10473.0,139814.55,0.48,2.09,0.21,0.15,0.0,126464.55,8273.0,9473.0,110444.55,,,,,,,,,,,,,,,,,,0.11,,,,100.0,15.0,0.0,0.0,,0.0,100.0,31.52,0.297,37.87,0.1899,13.35
2018-06-12,10473.0,140338.2,0.48,2.17,0.21,0.15,0.0,126938.2,8273.0,9473.0,110858.2,,,,,,,,,,,,,,,,,,0.11,,,,100.0,15.0,0.0,0.0,,0.0,100.0,31.82,0.2971,37.69,0.1899,13.4
2018-06-13,8476.0,121206.8,0.39,1.8,0.17,0.12,0.0,106906.8,6276.0,7476.0,89746.8,,,,,,,,0.03,,1997.0,,,,,,,1997.0,0.08,0.03,,,100.0,11.38,0.0,0.0,,0.0,100.0,25.75,0.295,40.82,0.1537,14.3
2018-06-14,7651.0,107496.55,0.35,1.59,0.15,0.11,0.0,93446.55,6276.0,6651.0,88177.8,,,,,,,,,,,,,,,,,825.0,0.09,0.01,,,100.0,11.38,0.0,0.0,,0.0,100.0,29.69,0.31,42.9,0.1387,14.05
2018-06-15,7651.0,110174.4,0.35,1.58,0.15,0.11,0.0,95774.4,6276.0,6651.0,90374.4,,,,,,,,,,,,,,,,,,0.09,,,,100.0,11.38,0.0,0.0,,0.0,100.0,28.93,0.3138,43.94,0.1387,14.4
2018-06-18,7651.0,110174.4,0.35,1.54,0.15,0.11,0.0,95774.4,6276.0,6651.0,90374.4,,,,,,,,,,,,,,,,,,0.09,,,,100.0,11.38,0.0,0.0,,0.0,100.0,29.15,0.3111,43.38,0.1387,14.4
