,COMO FP Equity_DX_SI_QTY,COMO FP Equity_DX_SHORT_INTEREST_VALUE,COMO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,COMO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,COMO FP Equity_DX_SI_MV,COMO FP Equity_DX_DSS,COMO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,COMO FP Equity_DX_SUPPLY_SI_QTY,COMO FP Equity_DX_BROKER_SI_QTY,COMO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,COMO FP Equity_DX_BROKER_SI_MV_NEW_x,COMO FP Equity_DX_SUPPLY_SI_QTY_NEW_x,COMO FP Equity_DX_SUPPLY_SI_QTY_INC_x,COMO FP Equity_DX_BROKER_SI_MV_INC_x,COMO FP Equity_DX_SUPPLY_SI_MV_NEW,COMO FP Equity_DX_BROKER_SI_QTY_ADD,COMO FP Equity_DX_BROKER_SI_QTY_NEW,COMO FP Equity_DX_SUPPLY_SI_MV_DEC,COMO FP Equity_DX_BROKER_SI_QTY_INC,COMO FP Equity_DX_SUPPLY_SI_QTY_DEC,COMO FP Equity_DX_BROKER_SI_MV_NEW_y,COMO FP Equity_DX_SUPPLY_SI_QTY_NEW_y,COMO FP Equity_DX_BROKER_SI_MV_INC_y,COMO FP Equity_DX_SUPPLY_SI_QTY_INC_y,COMO FP Equity_DX_BROKER_SI_MV_ADD,COMO FP Equity_DX_SUPPLY_SI_QTY_ADD,COMO FP Equity_DX_BROKER_SI_QTY_DEC,COMO FP Equity_DX_SUPPLY_SI_MV,COMO FP Equity_DX_BROKER_SI_MV_DEC,COMO FP Equity_DX_SUPPLY_SI_MV_RMV,COMO FP Equity_DX_BROKER_SI_MV_RMV,COMO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,COMO FP Equity_DX_UTILIZATION_QUANTITY,COMO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,COMO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,COMO FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,COMO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,COMO FP Equity_DX_ACTIVE_UTILIZATION_MV,COMO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,COMO FP Equity_DX_BROKER_SI_CON_RATIO,COMO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,COMO FP Equity_DX_DEMAND_SUPPLY_RATIO
2008-05-21,29365.0,781109.0,1.51,0.29,0.78,0.0,754509.0,1000.0,28365.0,26600.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,15.25,0.0,0.0,,0.0,100.0,22.89,0.647,77.11,4.4771
2008-05-22,22514.0,602699.78,1.22,0.22,0.6,0.0,575929.78,1000.0,21514.0,26770.0,,,,,,,,,,,,,,,,,6851.0,0.03,0.18,,,100.0,15.25,0.0,0.0,,0.0,100.0,30.29,0.5777,69.71,3.4325
2008-05-23,16796.0,447613.4,0.92,0.16,0.45,0.0,420963.4,1000.0,15796.0,26650.0,,,,,,,,,,,,,,,,,5718.0,0.03,0.15,,,100.0,1.62,0.0,0.0,,0.0,100.0,41.17,0.5156,58.83,0.2728
2008-05-26,16519.0,442709.2,0.93,0.16,0.44,0.0,415909.2,1000.0,15519.0,26800.0,,,,,,,,,,,,,,,,,277.0,0.03,0.01,,,100.0,1.62,0.0,0.0,,0.0,100.0,41.92,0.5131,58.08,0.2683
2008-05-27,16519.0,438579.45,0.94,0.16,0.44,0.0,412029.45,1000.0,15519.0,26550.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,1.62,0.0,0.0,,0.0,100.0,41.65,0.5139,58.35,0.2683
2008-05-28,16242.0,430737.84,0.9,0.16,0.43,0.0,404217.84,1000.0,15242.0,26520.0,,,,,,,,,,,,,,,,,277.0,0.03,0.01,,,100.0,1.62,0.0,0.0,,0.0,100.0,42.59,0.511,57.41,0.2638
2008-05-29,16242.0,435285.6,0.86,0.16,0.43,0.0,408485.6,1000.0,15242.0,26800.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,1.62,0.0,0.0,,0.0,100.0,42.71,0.5106,57.29,0.2638
2008-05-30,17915.0,471881.1,0.94,0.17,0.48,0.0,445541.1,1000.0,16915.0,26340.0,,,,,,1673.0,,,,,,,,,0.04,,,0.03,,,,100.0,1.62,0.0,0.0,,0.0,100.0,38.14,0.426,52.05,0.291
2008-06-02,9173.0,243726.61,0.5,0.09,0.24,0.0,217156.61,1000.0,8173.0,26570.0,,,,,,,,,,,,,,,,,8742.0,0.03,0.23,,,100.0,1.62,0.0,0.0,,0.0,100.0,20.31,0.6763,79.69,0.149
2008-06-03,17173.0,457488.72,0.93,0.17,0.46,0.0,430848.72,1000.0,16173.0,26640.0,,,,0.21,,,,,8000.0,,,,0.21,,,,,0.03,,,,100.0,1.62,0.0,0.0,,0.0,100.0,10.23,0.8163,89.77,0.279
2008-06-04,17173.0,449932.6,0.94,0.17,0.46,0.0,423732.6,1000.0,16173.0,26200.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,1.62,0.0,0.0,,0.0,100.0,10.26,0.8158,89.74,0.279
2008-06-05,17173.0,446498.0,0.95,0.17,0.45,0.0,420498.0,1000.0,16173.0,26000.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,1.63,0.0,0.0,,0.0,100.0,10.45,0.8128,89.55,0.2794
2008-06-06,17173.0,465731.76,0.98,0.17,0.44,0.0,438611.76,1000.0,16173.0,27120.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,1.63,0.0,0.0,,0.0,100.0,10.51,0.8119,89.49,0.2794
2008-06-09,15500.0,420825.0,0.97,0.15,0.42,0.0,393675.0,1000.0,14500.0,27150.0,,,,,,,,,,,,,,,,,1673.0,0.03,0.04,,,100.0,1.63,0.0,0.0,,0.0,100.0,,1.0,100.0,0.2522
2008-06-10,15500.0,430900.0,1.0,0.15,0.43,0.0,403100.0,1000.0,14500.0,27800.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,1.63,0.0,0.0,,0.0,100.0,,1.0,100.0,0.2522
2008-06-11,15500.0,430900.0,0.9,0.15,0.43,0.0,403100.0,1000.0,14500.0,27800.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,1.63,0.0,0.0,,0.0,100.0,,1.0,100.0,0.2522
2008-06-12,9000.0,249930.0,0.53,0.09,0.25,0.0,222160.0,1000.0,8000.0,27770.0,,,,,,,,,,,,,,,,,6500.0,0.03,0.18,,,100.0,1.63,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1464
2008-06-13,9000.0,253890.0,0.5,0.09,0.25,0.0,225680.0,1000.0,8000.0,28210.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,1.63,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1464
2008-06-16,9000.0,256950.0,0.53,0.09,0.25,0.0,228400.0,1000.0,8000.0,28550.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,1.63,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1464
2008-06-17,9000.0,254070.0,0.52,0.09,0.25,0.0,225840.0,1000.0,8000.0,28230.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,1.63,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1464
2008-06-18,11071.0,312534.33,0.62,0.11,0.31,0.0,284304.33,1000.0,10071.0,28230.0,,,,,,2071.0,,,,,,,,,0.06,,,0.03,,,,100.0,1.63,0.0,0.0,,0.0,100.0,20.6,0.6729,79.4,0.1801
2008-06-19,12831.0,364785.33,0.72,0.13,0.36,0.0,336355.33,1000.0,11831.0,28430.0,,,,0.05,,,,,1760.0,,,,0.05,,,,,0.03,,,,100.0,1.63,0.0,0.0,,0.0,100.0,32.42,0.5618,67.58,0.2088
2008-06-20,12831.0,364913.64,0.52,0.13,0.36,0.0,336473.64,1000.0,11831.0,28440.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,1.63,0.0,0.0,,0.0,100.0,32.41,0.5619,67.59,0.2088
2008-06-23,12831.0,370815.9,0.52,0.13,0.37,0.0,341915.9,1000.0,11831.0,28900.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,1.63,0.0,0.0,,0.0,100.0,32.36,0.5622,67.64,0.2088
2008-06-24,10100.0,287749.0,0.4,0.1,0.29,0.0,259259.0,1000.0,9100.0,28490.0,,,,0.03,,,,,1100.0,,,,0.03,,,,3831.0,0.03,0.11,,,100.0,1.63,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1643
2008-06-25,10100.0,285022.0,0.41,0.1,0.29,0.0,256802.0,1000.0,9100.0,28220.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,1.63,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1643
2008-06-26,14700.0,414834.0,0.58,0.14,0.41,0.0,386614.0,1000.0,13700.0,28220.0,,,,0.13,,,,,4600.0,,,,0.13,,,,,0.03,,,,100.0,1.63,0.0,0.0,,0.0,100.0,,1.0,100.0,0.2392
2008-06-27,14700.0,423801.0,0.59,0.14,0.42,0.0,394971.0,1000.0,13700.0,28830.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.62,0.0,0.0,,0.0,100.0,,1.0,100.0,0.091
2008-06-30,14700.0,418950.0,0.4,0.14,0.42,0.0,390450.0,1000.0,13700.0,28500.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.46,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0679
2008-07-01,14700.0,426300.0,0.39,0.14,0.42,0.0,397300.0,1000.0,13700.0,29000.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.38,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0552
2008-07-02,10923.0,314145.48,0.26,0.11,0.31,0.0,285385.48,1000.0,9923.0,28760.0,,,,,,,,,,,,,,,,,3777.0,0.03,0.1,,,100.0,0.38,0.0,0.0,,0.0,100.0,,1.0,100.0,0.041
2008-07-03,10923.0,322228.5,0.25,0.11,0.32,0.0,292728.5,1000.0,9923.0,29500.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.38,0.0,0.0,,0.0,100.0,,1.0,100.0,0.041
2008-07-04,10923.0,322228.5,0.25,0.11,0.32,0.0,292728.5,1000.0,9923.0,29500.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.38,0.0,0.0,,0.0,100.0,,1.0,100.0,0.041
2008-07-07,10923.0,310213.2,0.25,0.11,0.32,0.0,281813.2,1000.0,9923.0,28400.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.38,0.0,0.0,,0.0,100.0,,1.0,100.0,0.041
2008-07-08,10923.0,301474.8,0.25,0.11,0.3,0.0,273874.8,1000.0,9923.0,27600.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.38,0.0,0.0,,0.0,100.0,,1.0,100.0,0.041
2008-07-09,10923.0,301474.8,0.25,0.11,0.3,0.0,273874.8,1000.0,9923.0,27600.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.38,0.0,0.0,,0.0,100.0,,1.0,100.0,0.041
2008-07-10,12067.0,333049.2,0.28,0.12,0.33,0.0,305449.2,1000.0,11067.0,27600.0,,,,,,1144.0,,,,,,,,,0.03,,,0.03,,,,100.0,0.38,0.0,0.0,,0.0,100.0,10.45,0.8129,89.55,0.0453
2008-07-11,12067.0,342823.47,0.28,0.12,0.33,0.0,314413.47,1000.0,11067.0,28410.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.38,0.0,0.0,,0.0,100.0,10.57,0.811,89.43,0.0453
2008-07-14,12067.0,340289.4,0.27,0.12,0.33,0.0,312089.4,1000.0,11067.0,28200.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.38,0.0,0.0,,0.0,100.0,10.53,0.8116,89.47,0.0453
2008-07-15,27067.0,720252.87,0.6,0.26,0.76,0.0,693642.87,1000.0,26067.0,26610.0,,,,,,15000.0,,,,,,,,,0.42,,,0.03,,,,100.0,0.38,0.0,0.0,,0.0,100.0,37.57,0.4799,58.03,0.1016
2008-07-16,25923.0,683071.05,0.57,0.25,0.73,0.0,656721.05,1000.0,24923.0,26350.0,,,,,,,,,,,,,,,,,1144.0,0.03,0.03,,,100.0,0.38,0.0,0.0,,0.0,100.0,39.3,0.5229,60.7,0.0973
2008-07-17,25923.0,700957.92,0.56,0.25,0.71,0.0,673917.92,1000.0,24923.0,27040.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.38,0.0,0.0,,0.0,100.0,39.97,0.5201,60.03,0.0973
2008-07-18,25923.0,676849.53,0.55,0.25,0.71,0.0,650739.53,1000.0,24923.0,26110.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,15.48,0.0,0.0,,0.0,100.0,40.12,0.5195,59.88,4.0135
2008-07-21,25923.0,681774.9,0.52,0.25,0.68,0.0,655474.9,1000.0,24923.0,26300.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,15.48,0.0,0.0,,0.0,100.0,39.61,0.5216,60.39,4.0135
2008-07-22,25923.0,668294.94,0.39,0.25,0.68,0.0,642514.94,1000.0,24923.0,25780.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,15.48,0.0,0.0,,0.0,100.0,39.92,0.5203,60.08,4.0135
2008-07-23,12923.0,332638.02,0.17,0.13,0.33,0.0,306898.02,1000.0,11923.0,25740.0,,,,,,,,,,,,,,,,,13000.0,0.03,0.34,,,100.0,15.48,0.0,0.0,,0.0,100.0,17.09,0.7166,82.91,2.0008
2008-07-24,12923.0,329665.73,0.15,0.13,0.33,0.0,304155.73,1000.0,11923.0,25510.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,15.48,0.0,0.0,,0.0,100.0,16.99,0.7179,83.01,2.0008
2008-07-25,10923.0,278318.04,0.1,0.11,0.28,0.0,252838.04,1000.0,9923.0,25480.0,,,,,,,,,,,,,,,,,2000.0,0.03,0.05,,,100.0,15.48,0.0,0.0,,0.0,100.0,,1.0,100.0,1.6911
2008-07-28,10923.0,279956.49,0.1,0.11,0.28,0.0,254326.49,1000.0,9923.0,25630.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,15.48,0.0,0.0,,0.0,100.0,,1.0,100.0,1.6911
2008-07-29,10923.0,275259.6,0.1,0.11,0.28,0.0,250059.6,1000.0,9923.0,25200.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,15.48,0.0,0.0,,0.0,100.0,,1.0,100.0,1.6911
2008-07-30,10923.0,283998.0,0.1,0.11,0.28,0.0,257998.0,1000.0,9923.0,26000.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,15.48,0.0,0.0,,0.0,100.0,,1.0,100.0,1.6911
2008-07-31,1000.0,25990.0,0.01,0.01,0.03,0.0,0.0,1000.0,0.0,25990.0,,,,,,,,,,,,,,,,,9923.0,0.03,0.26,,,100.0,15.48,0.0,0.0,,0.0,100.0,,0.0,,0.1548
2008-08-01,1000.0,26250.0,0.01,0.01,0.03,0.0,0.0,1000.0,0.0,26250.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,15.48,0.0,0.0,,0.0,100.0,,0.0,,0.1548
2008-08-04,1000.0,25410.0,0.01,0.01,0.03,0.0,0.0,1000.0,0.0,25410.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,15.48,0.0,0.0,,0.0,100.0,,0.0,,0.1548
2008-08-05,1000.0,25050.0,0.01,0.01,0.03,0.0,0.0,1000.0,0.0,25050.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,15.48,0.0,0.0,,0.0,100.0,,0.0,,0.1548
2008-08-06,1000.0,25250.0,0.01,0.01,0.03,0.0,0.0,1000.0,0.0,25250.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,15.48,0.0,0.0,,0.0,100.0,,0.0,,0.1548
2008-08-07,1000.0,25410.0,0.01,0.01,0.03,0.0,0.0,1000.0,0.0,25410.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,15.48,0.0,0.0,,0.0,100.0,,0.0,,0.1548
2008-08-08,1000.0,24870.0,0.01,0.01,0.03,0.0,0.0,1000.0,0.0,24870.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,13.84,0.0,0.0,,0.0,100.0,,0.0,,0.1384
2008-08-11,1000.0,25180.0,0.01,0.01,0.03,0.0,0.0,1000.0,0.0,25180.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,13.84,0.0,0.0,,0.0,100.0,,0.0,,0.1384
2008-08-12,5391.0,135853.2,0.06,0.05,0.14,0.0,110653.2,1000.0,4391.0,25200.0,,,,,,4391.0,,,,,,,,,0.11,,,0.03,,,,100.0,13.84,0.0,0.0,,0.0,100.0,,1.0,100.0,0.7463
2008-08-13,5391.0,137200.95,0.06,0.05,0.14,0.0,111750.95,1000.0,4391.0,25450.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,13.84,0.0,0.0,,0.0,100.0,,1.0,100.0,0.7463
2008-08-14,13204.0,339078.72,0.15,0.13,0.33,0.0,313398.72,1000.0,12204.0,25680.0,,,,0.2,,,,,7813.0,,,,0.2,,,,,0.03,,,,100.0,13.84,0.0,0.0,,0.0,100.0,,1.0,100.0,1.8278
2008-08-15,13204.0,333136.92,0.14,0.13,0.33,0.0,307906.92,1000.0,12204.0,25230.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,13.84,0.0,0.0,,0.0,100.0,,1.0,100.0,1.8278
2008-08-18,104701.0,2654170.35,1.15,1.02,2.67,0.0,2628820.35,1000.0,103701.0,25350.0,,,,2.33,,,,,91497.0,,,,2.33,,,,,0.03,,,,100.0,13.84,0.0,0.0,,0.0,100.0,,1.0,100.0,14.4935
2008-08-19,107201.0,2670376.91,1.18,1.05,2.73,0.0,2645466.91,1000.0,106201.0,24910.0,,,,,,2500.0,,,,,,,,,0.06,,,0.03,,,,100.0,13.84,0.0,0.0,,0.0,100.0,2.33,0.9544,97.67,14.8396
2008-08-20,107201.0,2733625.5,1.18,1.05,2.73,0.0,2708125.5,1000.0,106201.0,25500.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,13.84,0.0,0.0,,0.0,100.0,2.33,0.9544,97.67,14.8396
2008-08-21,109201.0,2948427.0,1.17,1.07,2.78,0.0,2921427.0,4000.0,108201.0,108000.0,,,3000.0,0.05,,,,,2000.0,,,,0.05,3000.0,,,,0.1,,,,100.0,55.37,0.0,0.0,,0.0,100.0,4.17,0.9202,95.83,15.1164
2008-08-22,109201.0,2871986.3,1.14,1.07,2.79,0.0,2845686.3,4000.0,108201.0,105200.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,55.37,0.0,0.0,,0.0,100.0,4.4,0.9159,95.6,15.1164
2008-08-25,109201.0,2839226.0,1.15,1.07,2.78,0.0,2813226.0,4000.0,108201.0,104000.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,55.37,0.0,0.0,,0.0,100.0,4.29,0.9179,95.71,15.1164
2008-08-26,109201.0,2891642.48,1.15,1.07,2.78,0.0,2865162.48,4000.0,108201.0,105920.0,,,,,,,,,,,,,,,,,,0.1,,,,100.0,55.37,0.0,0.0,,0.0,100.0,4.24,0.9187,95.76,15.1164
2008-08-27,109201.0,2926586.8,1.16,1.07,2.79,0.0,2899786.8,4000.0,108201.0,107200.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,55.37,0.0,0.0,,0.0,100.0,4.32,0.9173,95.68,15.1164
2008-08-28,109201.0,2864342.23,1.18,1.07,2.79,0.0,2838112.23,4000.0,108201.0,104920.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,55.37,0.0,0.0,,0.0,100.0,4.37,0.9164,95.63,15.1164
2008-08-29,109201.0,2879630.37,1.19,1.07,2.78,0.0,2853260.37,4000.0,108201.0,105480.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,55.37,0.0,0.0,,0.0,100.0,4.28,0.9181,95.72,15.1164
2008-09-01,109201.0,2798821.63,1.23,1.07,2.78,0.0,2773191.63,4000.0,108201.0,102520.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,55.37,0.0,0.0,,0.0,100.0,4.25,0.9186,95.75,15.1164
2008-09-02,109201.0,2754049.22,1.49,1.07,2.78,0.0,2728829.22,4000.0,108201.0,100880.0,,,,,,,,,,,,,,,,,,0.11,,,,100.0,55.37,0.0,0.0,,0.0,100.0,4.19,0.9198,95.81,15.1164
2008-09-03,109201.0,2758417.26,1.79,1.07,2.78,0.0,2733157.26,4000.0,108201.0,101040.0,,,,,,,,,,,,,,,,,,0.1,,,,100.0,55.37,0.0,0.0,,0.0,100.0,4.12,0.921,95.88,15.1164
2008-09-04,109201.0,2776981.43,1.96,1.07,2.78,0.0,2751551.43,4000.0,108201.0,101720.0,,,,,,,,,,,,,,,,,,0.1,,,,100.0,55.37,0.0,0.0,,0.0,100.0,4.13,0.9208,95.87,15.1164
2008-09-05,109201.0,2747497.16,3.07,1.07,2.78,0.0,2722337.16,4000.0,108201.0,100640.0,,,,,,,,,,,,,,,,,,0.1,,,,100.0,55.37,0.0,0.0,,0.0,100.0,4.15,0.9204,95.85,15.1164
2008-09-08,109201.0,2763877.31,2.87,1.07,2.78,0.0,2738567.31,4000.0,108201.0,101240.0,,,,,,,,,,,,,,,,,,0.1,,,,100.0,55.37,0.0,0.0,,0.0,100.0,4.11,0.9211,95.89,15.1164
2008-09-09,119196.0,2944141.2,3.13,1.16,3.03,1.0,2919441.2,4000.0,118196.0,98800.0,,,,,,9995.0,,,,,,,,,0.25,,,0.1,,,,100.0,60.11,0.0,0.0,,0.0,100.0,8.44,0.7789,87.77,17.9134
2008-09-10,119196.0,2964404.52,3.26,1.16,3.02,1.0,2939534.52,4000.0,118196.0,99480.0,,,,,,,,,,,,,,,,,,0.1,,,,100.0,60.11,0.0,0.0,,0.0,100.0,8.28,0.7829,88.01,17.9134
2008-09-11,119196.0,2972748.24,3.4,1.16,3.02,1.0,2947808.24,1000.0,118196.0,24940.0,,,,,,,,0.07,,3000.0,,,,,,,,0.02,,,,100.0,15.03,0.0,0.0,,0.0,100.0,8.3,0.7826,88.0,17.9134
2008-09-12,116196.0,2886308.64,3.5,1.13,2.95,1.0,2861468.64,1000.0,115196.0,24840.0,,,,,,,,,,,,,,,,,3000.0,0.02,0.07,,,100.0,15.03,0.0,0.0,,0.0,100.0,8.5,0.8216,90.24,17.4626
2008-09-15,114696.0,2760732.72,3.47,1.12,2.91,0.0,2736662.72,1000.0,113696.0,24070.0,,,,,,,,,,,,,,,,,,0.02,,,0.04,100.0,15.03,0.0,0.0,,0.0,100.0,8.59,0.8429,91.41,17.2372
2008-09-16,114696.0,2728617.84,3.45,1.12,2.9,0.0,2704827.84,1000.0,113696.0,23790.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,15.03,0.0,0.0,,0.0,100.0,8.35,0.8469,91.65,17.2372
2008-09-17,114696.0,2722883.04,3.48,1.12,2.9,0.0,2699143.04,1000.0,113696.0,23740.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,15.03,0.0,0.0,,0.0,100.0,8.19,0.8497,91.81,17.2372
2008-09-18,10995.0,263440.2,0.36,0.11,0.26,0.0,239480.2,1000.0,9995.0,23960.0,,,,,,,,,,,,,,,,,103701.0,0.02,2.64,,,100.0,15.03,0.0,0.0,,0.0,100.0,,1.0,100.0,1.6524
2008-09-19,57145.0,1376051.6,1.92,0.56,1.35,0.0,1351971.6,1000.0,56145.0,24080.0,,,,,,46150.0,,,,,,,,,1.09,,,0.02,,,,100.0,15.03,0.0,0.0,,0.0,100.0,18.22,0.702,81.78,8.5881
2008-09-22,71130.0,1742685.0,2.49,0.69,1.69,0.0,1718185.0,1000.0,70130.0,24500.0,,,,0.34,,,,,13985.0,,,,0.34,,,,,0.02,,,,100.0,15.03,0.0,0.0,,0.0,100.0,34.68,0.547,65.32,10.6898
2008-09-23,61135.0,1495973.45,1.78,0.6,1.45,0.0,1471503.45,1000.0,60135.0,24470.0,,,,,,,,,,,,,,,,,9995.0,0.02,0.24,,,100.0,15.03,0.0,0.0,,0.0,100.0,23.64,0.639,76.36,9.1877
2008-09-24,47150.0,1119812.5,1.36,0.46,1.11,0.0,1096062.5,1000.0,46150.0,23750.0,,,,,,,,,,,,,,,,,13985.0,0.02,0.34,,,100.0,15.03,0.0,0.0,,0.0,100.0,,1.0,100.0,7.086
2008-09-25,47150.0,1146688.0,1.33,0.46,1.11,0.0,1122368.0,1000.0,46150.0,24320.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,15.03,0.0,0.0,,0.0,100.0,,1.0,100.0,7.086
2008-09-26,47150.0,1144330.5,1.43,0.46,1.11,0.0,1120060.5,1000.0,46150.0,24270.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,15.03,0.0,0.0,,0.0,100.0,,1.0,100.0,7.086
2008-09-29,47150.0,1111797.0,1.43,0.57,1.11,0.0,1088217.0,1000.0,46150.0,23580.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,15.03,0.0,0.0,,0.0,100.0,,1.0,100.0,7.086
2008-09-30,27150.0,646170.0,0.74,0.33,0.64,0.0,622370.0,1000.0,26150.0,23800.0,,,,,,,,,,,,,,,,,20000.0,0.02,0.47,,,100.0,15.03,0.0,0.0,,0.0,100.0,,1.0,100.0,4.0803
2008-10-01,27150.0,651328.5,0.73,0.33,0.64,0.0,627338.5,1000.0,26150.0,23990.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,15.03,0.0,0.0,,0.0,100.0,,1.0,100.0,4.0803
2008-10-02,27150.0,639654.0,0.78,0.33,0.64,0.0,616094.0,1000.0,26150.0,23560.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,16.98,0.0,0.0,,0.0,100.0,,1.0,100.0,4.6103
2008-10-03,27150.0,631780.5,0.86,0.33,0.64,0.0,608510.5,1000.0,26150.0,23270.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,16.98,0.0,0.0,,0.0,100.0,,1.0,100.0,4.6103
2008-10-06,27150.0,613318.5,0.68,0.33,0.64,0.0,590728.5,1000.0,26150.0,22590.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,16.98,0.0,0.0,,0.0,100.0,,1.0,100.0,4.6103
2008-10-07,27150.0,611418.0,0.62,0.33,0.64,0.0,588898.0,1000.0,26150.0,22520.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,16.98,0.0,0.0,,0.0,100.0,,1.0,100.0,4.6103
2008-10-08,1000.0,21940.0,0.02,0.01,0.02,0.0,0.0,1000.0,0.0,21940.0,,,,,,,,,,,,,,,,,26150.0,0.02,0.62,,,100.0,16.98,0.0,0.0,,0.0,100.0,,0.0,,0.1698
2008-10-09,1000.0,22360.0,0.02,0.01,0.02,0.0,0.0,1000.0,0.0,22360.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,16.98,0.0,0.0,,0.0,100.0,,0.0,,0.1698
2008-10-10,1000.0,21000.0,0.02,0.01,0.02,0.0,0.0,1000.0,0.0,21000.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,16.98,0.0,0.0,,0.0,100.0,,0.0,,0.1698
2008-10-13,1000.0,21270.0,0.02,0.01,0.02,0.0,0.0,1000.0,0.0,21270.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,16.98,0.0,0.0,,0.0,100.0,,0.0,,0.1698
2008-10-14,1000.0,21830.0,0.02,0.01,0.02,0.0,0.0,1000.0,0.0,21830.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,16.98,0.0,0.0,,0.0,100.0,,0.0,,0.1698
2008-10-15,1000.0,20500.0,0.02,0.01,0.02,0.0,0.0,1000.0,0.0,20500.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,16.42,0.0,0.0,,0.0,100.0,,0.0,,0.1642
