,ALCOG FP Equity_DX_SI_QTY,ALCOG FP Equity_DX_SHORT_INTEREST_VALUE,ALCOG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALCOG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALCOG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALCOG FP Equity_DX_SI_MV,ALCOG FP Equity_DX_DSS,ALCOG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALCOG FP Equity_DX_SUPPLY_SI_QTY,ALCOG FP Equity_DX_BROKER_SI_QTY,ALCOG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALCOG FP Equity_DX_BROKER_SI_MV_NEW_x,ALCOG FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALCOG FP Equity_DX_BROKER_SI_MV_INC_x,ALCOG FP Equity_DX_BROKER_SI_QTY_ADD,ALCOG FP Equity_DX_BROKER_SI_QTY_NEW,ALCOG FP Equity_DX_SUPPLY_SI_MV_DEC,ALCOG FP Equity_DX_BROKER_SI_QTY_INC,ALCOG FP Equity_DX_SUPPLY_SI_QTY_DEC,ALCOG FP Equity_DX_BROKER_SI_MV_NEW_y,ALCOG FP Equity_DX_BROKER_SI_MV_INC_y,ALCOG FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALCOG FP Equity_DX_BROKER_SI_MV_ADD,ALCOG FP Equity_DX_SUPPLY_SI_QTY_ADD,ALCOG FP Equity_DX_BROKER_SI_QTY_DEC,ALCOG FP Equity_DX_SUPPLY_SI_MV,ALCOG FP Equity_DX_BROKER_SI_MV_DEC,ALCOG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALCOG FP Equity_DX_UTILIZATION_QUANTITY,ALCOG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALCOG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALCOG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALCOG FP Equity_DX_ACTIVE_UTILIZATION_MV,ALCOG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALCOG FP Equity_DX_BROKER_SI_CON_RATIO,ALCOG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALCOG FP Equity_DX_DEMAND_SUPPLY_RATIO
2022-12-14,2250.0,30825.0,0.13,0.65,0.07,0.03,0.0,15070.0,1150.0,1100.0,15755.0,,,,,,,,,,,,,,,0.02,,100.0,66.9,0.0,0.0,0.0,100.0,2.22,0.9565,97.78,1.3089
2022-12-15,2250.0,30375.0,0.13,0.58,0.07,0.03,0.0,14850.0,1150.0,1100.0,15525.0,,,,,,,,,,,,,,,0.02,,100.0,66.9,0.0,0.0,0.0,100.0,2.22,0.9565,97.78,1.3089
2022-12-16,2250.0,29475.0,0.13,0.59,0.07,0.03,0.0,14410.0,1150.0,1100.0,15065.0,,,,,,,,,,,,,,,0.02,,100.0,66.9,0.0,0.0,0.0,100.0,2.22,0.9565,97.78,1.3089
2022-12-19,2250.0,29475.0,0.13,0.6,0.07,0.03,0.0,14410.0,1150.0,1100.0,15065.0,,,,,,,,,,,,,,,0.02,,100.0,66.9,0.0,0.0,0.0,100.0,2.22,0.9565,97.78,1.3089
2022-12-20,2250.0,28687.5,0.13,0.63,0.07,0.03,0.0,14025.0,1150.0,1100.0,14662.5,,,,,,,,,,,,,,,0.02,,100.0,66.9,0.0,0.0,0.0,100.0,2.22,0.9565,97.78,1.3089
2022-12-21,2250.0,29362.5,0.13,0.66,0.07,0.03,0.0,14355.0,1150.0,1100.0,15007.5,,,,,,,,,,,,,,,0.01,,100.0,66.9,0.0,0.0,0.0,100.0,2.22,0.9565,97.78,1.3089
2022-12-22,2250.0,29587.5,0.13,0.67,0.07,0.03,0.0,14465.0,1150.0,1100.0,15122.5,,,,,,,,,,,,,,,0.02,,100.0,66.9,0.0,0.0,0.0,100.0,2.22,0.9565,97.78,1.3089
2022-12-23,2250.0,29587.5,0.13,0.66,0.07,0.03,0.0,14465.0,1150.0,1100.0,15122.5,,,,,,,,,,,,,,,0.02,,100.0,66.9,0.0,0.0,0.0,100.0,2.22,0.9565,97.78,1.3089
2022-12-26,2250.0,29587.5,0.13,0.69,0.07,0.03,0.0,14465.0,1150.0,1100.0,15122.5,,,,,,,,,,,,,,,0.02,,100.0,66.9,0.0,0.0,0.0,100.0,2.22,0.9565,97.78,1.3089
2022-12-27,2250.0,30600.0,0.13,0.69,0.07,0.03,0.0,14960.0,1150.0,1100.0,15640.0,,,,,,,,,,,,,,,0.02,,100.0,66.9,0.0,0.0,0.0,100.0,2.22,0.9565,97.78,1.3089
2022-12-28,2250.0,30600.0,0.13,0.67,0.07,0.03,0.0,14960.0,1150.0,1100.0,15640.0,,,,,,,,,,,,,,,0.02,,100.0,66.9,0.0,0.0,0.0,100.0,2.22,0.9565,97.78,1.3089
2022-12-29,50.0,682.5,0.0,0.02,0.0,0.0,0.0,0.0,50.0,0.0,682.5,,,,,,0.02,,1100.0,,,,,,1100.0,0.0,0.02,100.0,5.16,0.0,0.0,0.0,100.0,,1.0,100.0,0.0516
2022-12-30,50.0,675.0,0.0,0.02,0.0,0.0,0.0,0.0,50.0,0.0,675.0,,,,,,,,,,,,,,,0.0,,100.0,5.16,0.0,0.0,0.0,100.0,,1.0,100.0,0.0516
2023-01-02,50.0,672.5,0.0,0.02,0.0,0.0,0.0,0.0,50.0,0.0,672.5,,,,,,,,,,,,,,,0.0,,100.0,6.5,0.0,0.0,0.0,100.0,,1.0,100.0,0.065
2023-01-03,50.0,672.5,0.0,0.02,0.0,0.0,0.0,0.0,50.0,0.0,672.5,,,,,,,,,,,,,,,0.0,,100.0,8.08,0.0,0.0,0.0,100.0,,1.0,100.0,0.0808
2023-01-04,50.0,687.5,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,687.5,,,,,,,,,,,,,,,0.0,,100.0,6.5,0.0,0.0,0.0,100.0,,1.0,100.0,0.065
2023-01-05,374.0,5030.3,0.02,0.11,0.01,0.01,0.0,2178.9,212.0,162.0,2851.4,,162.0,,162.0,,,,,,,162.0,0.0,,,0.0,,100.0,27.14,0.0,0.0,0.0,100.0,13.37,0.7684,86.63,0.4789
2023-01-06,404.0,5494.4,0.02,0.12,0.01,0.01,0.0,2407.2,227.0,177.0,3087.2,,15.0,0.0,,,,15.0,,,0.0,15.0,,,,0.0,,100.0,28.52,0.0,0.0,0.0,100.0,12.38,0.7831,87.62,0.5075
2023-01-09,404.0,5191.4,0.02,0.12,0.01,0.01,0.0,2274.45,227.0,177.0,2916.95,,,,,,,,,,,,,,,0.0,,100.0,28.52,0.0,0.0,0.0,100.0,12.38,0.7831,87.62,0.5075
2023-01-10,404.0,5252.0,0.02,0.1,0.01,0.01,0.0,2301.0,227.0,177.0,2951.0,,,,,,,,,,,,,,,0.0,,100.0,28.52,0.0,0.0,0.0,100.0,12.38,0.7831,87.62,0.5075
2023-01-11,404.0,5252.0,0.02,0.1,0.01,0.01,0.0,2301.0,227.0,177.0,2951.0,,,,,,,,,,,,,,,0.0,,100.0,28.52,0.0,0.0,0.0,100.0,12.38,0.7831,87.62,0.5075
2023-01-12,404.0,5110.6,0.02,0.1,0.01,0.01,0.0,2239.05,227.0,177.0,2871.55,,,,,,,,,,,,,,,0.0,,100.0,28.52,0.0,0.0,0.0,100.0,12.38,0.7831,87.62,0.5075
2023-01-13,80.0,1016.0,0.0,0.02,0.0,0.0,0.0,190.5,65.0,15.0,825.5,,,,,,0.0,,162.0,,,,,,162.0,0.0,0.0,100.0,8.17,0.0,0.0,0.0,100.0,37.5,0.5313,62.5,0.1005
2023-01-16,50.0,652.5,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,652.5,,,,,,0.0,,15.0,,,,,,15.0,0.0,0.0,100.0,8.08,0.0,0.0,0.0,100.0,,1.0,100.0,0.0808
2023-01-17,50.0,652.5,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,652.5,,,,,,,,,,,,,,,0.0,,100.0,8.08,0.0,0.0,0.0,100.0,,1.0,100.0,0.0808
2023-01-18,50.0,640.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,640.0,,,,,,,,,,,,,,,0.0,,100.0,5.16,0.0,0.0,0.0,100.0,,1.0,100.0,0.0516
2023-01-19,50.0,647.5,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,647.5,,,,,,,,,,,,,,,0.0,,100.0,7.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.0747
2023-01-20,50.0,665.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,665.0,,,,,,,,,,,,,,,0.0,,100.0,7.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.0747
2023-01-23,50.0,660.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,660.0,,,,,,,,,,,,,,,0.0,,100.0,7.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.0747
2023-01-24,50.0,655.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,655.0,,,,,,,,,,,,,,,0.0,,100.0,7.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.0747
2023-01-25,50.0,657.5,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,657.5,,,,,,,,,,,,,,,0.0,,100.0,5.16,0.0,0.0,0.0,100.0,,1.0,100.0,0.0516
2023-01-26,50.0,662.5,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,662.5,,,,,,,,,,,,,,,0.0,,100.0,5.16,0.0,0.0,0.0,100.0,,1.0,100.0,0.0516
2023-01-27,50.0,652.5,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,652.5,,,,,,,,,,,,,,,0.0,,100.0,5.16,0.0,0.0,0.0,100.0,,1.0,100.0,0.0516
2023-01-30,50.0,642.5,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,642.5,,,,,,,,,,,,,,,0.0,,100.0,8.08,0.0,0.0,0.0,100.0,,1.0,100.0,0.0808
2023-01-31,50.0,637.5,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,637.5,,,,,,,,,,,,,,,0.0,,100.0,10.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.1
2023-02-01,50.0,647.5,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,647.5,,,,,,,,,,,,,,,0.0,,100.0,25.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.25
2023-02-02,50.0,640.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,640.0,,,,,,,,,,,,,,,0.0,,100.0,25.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.25
2023-02-03,50.0,650.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,650.0,,,,,,,,,,,,,,,0.0,,100.0,25.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.25
2023-02-06,50.0,655.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,655.0,,,,,,,,,,,,,,,0.0,,100.0,33.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333
2023-02-07,50.0,642.5,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,642.5,,,,,,,,,,,,,,,0.0,,100.0,33.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333
2023-02-08,50.0,645.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,645.0,,,,,,,,,,,,,,,0.0,,100.0,33.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333
2023-02-09,50.0,647.5,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,647.5,,,,,,,,,,,,,,,0.0,,100.0,33.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333
2023-02-10,50.0,650.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,650.0,,,,,,,,,,,,,,,0.0,,100.0,33.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333
2023-02-13,50.0,680.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,680.0,,,,,,,,,,,,,,,0.0,,100.0,33.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333
2023-02-14,50.0,670.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,670.0,,,,,,,,,,,,,,,0.0,,100.0,33.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333
2023-02-15,50.0,672.5,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,672.5,,,,,,,,,,,,,,,0.0,,100.0,33.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333
2023-02-16,50.0,672.5,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,672.5,,,,,,,,,,,,,,,0.0,,100.0,33.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333
2023-02-17,50.0,655.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,655.0,,,,,,,,,,,,,,,0.0,,100.0,33.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333
2023-02-20,50.0,650.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,650.0,,,,,,,,,,,,,,,0.0,,100.0,33.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333
2023-02-21,50.0,645.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,645.0,,,,,,,,,,,,,,,0.0,,100.0,33.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333
2023-02-22,50.0,650.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,650.0,,,,,,,,,,,,,,,0.0,,100.0,33.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333
2023-02-23,50.0,650.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,650.0,,,,,,,,,,,,,,,0.0,,100.0,33.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333
2023-02-24,50.0,647.5,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,647.5,,,,,,,,,,,,,,,0.0,,100.0,33.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333
2023-02-27,50.0,637.5,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,637.5,,,,,,,,,,,,,,,0.0,,100.0,33.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333
2023-02-28,50.0,630.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,630.0,,,,,,,,,,,,,,,0.0,,100.0,33.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333
2023-03-01,50.0,612.5,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,612.5,,,,,,,,,,,,,,,0.0,,100.0,33.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333
2023-03-02,50.0,595.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,595.0,,,,,,,,,,,,,,,0.0,,100.0,33.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333
2023-03-03,50.0,597.5,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,597.5,,,,,,,,,,,,,,,0.0,,100.0,33.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333
2023-03-06,50.0,592.5,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,592.5,,,,,,,,,,,,,,,0.0,,100.0,33.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333
2023-03-07,50.0,577.5,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,577.5,,,,,,,,,,,,,,,0.0,,100.0,33.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333
2023-03-08,50.0,562.5,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,562.5,,,,,,,,,,,,,,,0.0,,100.0,33.33,0.0,0.0,0.0,100.0,,1.0,100.0,0.3333
2023-03-09,50.0,565.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,565.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-03-10,50.0,562.5,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,562.5,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-03-13,50.0,545.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,545.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-03-14,50.0,555.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,555.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-03-15,50.0,535.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,535.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-03-16,50.0,540.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,540.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-03-17,50.0,535.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,535.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-03-20,50.0,537.5,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,537.5,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-03-21,50.0,550.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,550.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-03-22,50.0,567.5,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,567.5,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-03-23,50.0,575.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,575.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-03-24,50.0,562.5,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,562.5,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-03-27,50.0,562.5,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,562.5,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-03-28,50.0,560.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,560.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-03-29,50.0,555.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,555.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-03-30,50.0,550.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,550.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-03-31,50.0,550.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,550.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-04-03,50.0,550.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,550.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-04-04,50.0,558.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,558.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-04-05,50.0,550.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,550.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-04-06,50.0,574.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,574.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-04-07,50.0,574.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,574.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-04-10,50.0,574.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,574.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-04-11,50.0,570.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,570.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-04-12,50.0,569.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,569.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-04-13,50.0,562.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,562.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-04-14,50.0,545.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,545.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-04-17,50.0,535.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,535.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-04-18,50.0,543.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,543.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-04-19,50.0,539.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,539.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-04-20,50.0,537.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,537.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-04-21,50.0,556.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,556.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-04-24,50.0,573.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,573.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-04-25,50.0,605.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,605.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-04-26,50.0,610.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,610.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-04-27,50.0,595.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,595.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-04-28,50.0,609.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,609.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-05-01,50.0,609.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,609.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-05-02,50.0,608.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,608.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-05-03,50.0,609.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,609.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-05-04,50.0,595.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,595.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-05-05,50.0,595.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,595.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-05-08,50.0,598.0,0.0,0.02,0.0,0.0,0.0,0.0,50.0,0.0,598.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-05-09,50.0,598.0,0.0,0.02,0.0,0.0,0.0,0.0,50.0,0.0,598.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-05-10,50.0,598.0,0.0,0.02,0.0,0.0,0.0,0.0,50.0,0.0,598.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-05-11,50.0,598.0,0.0,0.02,0.0,0.0,0.0,0.0,50.0,0.0,598.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-05-12,50.0,601.0,0.0,0.02,0.0,0.0,0.0,0.0,50.0,0.0,601.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-05-15,50.0,600.0,0.0,0.02,0.0,0.0,0.0,0.0,50.0,0.0,600.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-05-16,50.0,601.0,0.0,0.02,0.0,0.0,0.0,0.0,50.0,0.0,601.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-05-17,50.0,602.0,0.0,0.02,0.0,0.0,0.0,0.0,50.0,0.0,602.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-05-18,50.0,610.0,0.0,0.02,0.0,0.0,0.0,0.0,50.0,0.0,610.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-05-19,50.0,617.0,0.0,0.02,0.0,0.0,0.0,0.0,50.0,0.0,617.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-05-22,50.0,613.0,0.0,0.02,0.0,0.0,0.0,0.0,50.0,0.0,613.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-05-23,50.0,616.0,0.0,0.02,0.0,0.0,0.0,0.0,50.0,0.0,616.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-05-24,50.0,614.0,0.0,0.02,0.0,0.0,0.0,0.0,50.0,0.0,614.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2023-05-25,50.0,616.0,0.0,0.02,0.0,0.0,0.0,0.0,50.0,0.0,616.0,,,,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
