,ALFPC FP Equity_DX_SI_QTY,ALFPC FP Equity_DX_SHORT_INTEREST_VALUE,ALFPC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALFPC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALFPC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALFPC FP Equity_DX_SI_MV,ALFPC FP Equity_DX_DSS,ALFPC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALFPC FP Equity_DX_SUPPLY_SI_QTY,ALFPC FP Equity_DX_BROKER_SI_QTY,ALFPC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALFPC FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALFPC FP Equity_DX_BROKER_SI_MV_INC_x,ALFPC FP Equity_DX_BROKER_SI_QTY_ADD,ALFPC FP Equity_DX_SUPPLY_SI_MV_DEC,ALFPC FP Equity_DX_BROKER_SI_QTY_INC,ALFPC FP Equity_DX_SUPPLY_SI_QTY_DEC,ALFPC FP Equity_DX_BROKER_SI_MV_INC_y,ALFPC FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALFPC FP Equity_DX_BROKER_SI_MV_ADD,ALFPC FP Equity_DX_SUPPLY_SI_QTY_ADD,ALFPC FP Equity_DX_BROKER_SI_QTY_DEC,ALFPC FP Equity_DX_SUPPLY_SI_MV,ALFPC FP Equity_DX_BROKER_SI_MV_DEC,ALFPC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALFPC FP Equity_DX_UTILIZATION_QUANTITY,ALFPC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALFPC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALFPC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALFPC FP Equity_DX_ACTIVE_UTILIZATION_MV,ALFPC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALFPC FP Equity_DX_BROKER_SI_CON_RATIO,ALFPC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALFPC FP Equity_DX_DEMAND_SUPPLY_RATIO
2024-08-19,7142.0,742768.0,0.51,3.66,0.43,0.72,0.0,378768.0,3600.0,3642.0,374400.0,,,,,,,,,,,,0.37,,20.23,19.17,14191.0,1475864.0,1.44,20.23,28.15,0.2959,42.22,0.3803
2024-08-20,7142.0,721342.0,0.51,3.94,0.43,0.74,0.0,367842.0,3600.0,3642.0,363600.0,,,,,,,,,,,,0.37,,20.23,19.89,14191.0,1433291.0,1.48,20.23,28.24,0.2969,42.36,0.3945
2024-08-21,5316.0,536916.0,0.38,3.03,0.32,0.53,0.0,274316.0,2700.0,2716.0,272700.0,,,,0.1,,900.0,,,,,926.0,0.27,0.1,15.98,15.69,14191.0,1433291.0,1.43,15.98,18.93,0.3935,56.79,0.309
2024-08-22,5116.0,519274.0,0.37,2.99,0.31,0.51,0.0,265524.0,2600.0,2616.0,263900.0,,,,0.01,,100.0,,,,,100.0,0.26,0.01,15.48,15.2,14191.0,1440386.5,1.43,15.48,19.67,0.4236,59.02,0.2991
2024-08-23,5016.0,509124.0,0.36,3.05,0.3,0.51,0.0,255374.0,2500.0,2516.0,253750.0,,,,0.01,,100.0,,,,,100.0,0.25,0.01,14.98,14.62,14191.0,1440386.5,1.44,14.98,20.09,0.4408,60.26,0.2933
2024-08-26,4542.0,456471.0,0.33,2.86,0.27,0.46,0.0,229039.5,2263.0,2279.0,227431.5,,,,0.02,,237.0,,,,,237.0,0.23,0.02,13.56,13.23,14428.0,1450014.0,1.46,13.56,16.9,0.4968,66.47,0.2656
2024-08-27,4565.0,458782.5,0.33,3.17,0.27,0.46,0.0,231351.0,2286.0,2302.0,229743.0,,0.0,,,23.0,,0.0,,,23.0,,0.23,,13.68,13.35,14428.0,1450014.0,1.45,13.68,16.82,0.4924,66.02,0.2666
2024-08-28,4575.0,480375.0,0.33,3.28,0.27,0.46,0.0,242760.0,2296.0,2312.0,241080.0,10.0,0.0,,,10.0,,0.0,10.0,,,,0.23,,13.73,13.42,14428.0,1514940.0,1.45,13.73,17.0,0.4909,65.87,0.2673
2024-08-29,4575.0,468937.5,0.33,3.25,0.27,0.47,0.0,236980.0,2296.0,2312.0,235340.0,,,,,,,,,,,,0.24,,13.73,13.42,14428.0,1478870.0,1.51,13.73,16.88,0.4957,66.36,0.2675
2024-08-30,4598.0,466697.0,0.33,3.32,0.28,0.47,0.0,237002.5,2319.0,2335.0,235378.5,23.0,0.0,,,23.0,,0.0,23.0,,,,0.24,,13.85,13.54,14428.0,1464442.0,1.48,13.85,17.15,0.4897,65.75,0.2685
