,WAGA FP Equity_DX_SI_QTY,WAGA FP Equity_DX_SHORT_INTEREST_VALUE,WAGA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,WAGA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,WAGA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,WAGA FP Equity_DX_SI_MV,WAGA FP Equity_DX_DSS,WAGA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,WAGA FP Equity_DX_SUPPLY_SI_QTY,WAGA FP Equity_DX_BROKER_SI_QTY,WAGA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,WAGA FP Equity_DX_SUPPLY_SI_QTY_NEW_x,WAGA FP Equity_DX_SUPPLY_SI_QTY_INC_x,WAGA FP Equity_DX_BROKER_SI_MV_INC_x,WAGA FP Equity_DX_SUPPLY_SI_MV_NEW,WAGA FP Equity_DX_BROKER_SI_QTY_ADD,WAGA FP Equity_DX_SUPPLY_SI_MV_DEC,WAGA FP Equity_DX_BROKER_SI_QTY_INC,WAGA FP Equity_DX_SUPPLY_SI_QTY_DEC,WAGA FP Equity_DX_SUPPLY_SI_QTY_NEW_y,WAGA FP Equity_DX_BROKER_SI_MV_INC_y,WAGA FP Equity_DX_SUPPLY_SI_QTY_INC_y,WAGA FP Equity_DX_BROKER_SI_MV_ADD,WAGA FP Equity_DX_SUPPLY_SI_QTY_ADD,WAGA FP Equity_DX_BROKER_SI_QTY_DEC,WAGA FP Equity_DX_SUPPLY_SI_MV,WAGA FP Equity_DX_BROKER_SI_MV_DEC,WAGA FP Equity_DX_SUPPLY_SI_MV_RMV,WAGA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,WAGA FP Equity_DX_UTILIZATION_QUANTITY,WAGA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,WAGA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,WAGA FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,WAGA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,WAGA FP Equity_DX_ACTIVE_UTILIZATION_MV,WAGA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,WAGA FP Equity_DX_BROKER_SI_CON_RATIO,WAGA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,WAGA FP Equity_DX_DEMAND_SUPPLY_RATIO
2022-09-30,62007.0,1984224.0,0.72,10.16,0.3,1.99,0.0,1280704.0,53792.0,40022.0,1721344.0,,28.0,0.0,,,,28.0,,,0.0,28.0,,,,1.68,,,6.45,6.45,780317.0,24970144.0,,24.37,6.43,24.67,0.1687,27.7,0.0743
2022-10-03,64207.0,1939051.4,0.74,10.46,0.31,2.05,0.0,1208664.4,55992.0,40022.0,1690958.4,,2200.0,,,,,,,,,2200.0,,,,1.79,,,6.71,6.71,778525.0,23511455.0,,24.64,6.79,25.39,0.1725,28.03,0.0769
2022-10-04,62786.0,1896137.2,0.73,10.06,0.31,1.92,0.0,1208664.4,54571.0,40022.0,1648044.2,,,,,,0.05,,1421.0,,,,,,,1.63,,,6.54,6.54,779946.0,23554369.2,,23.33,6.54,25.7,0.1697,27.06,0.0752
2022-10-05,66421.0,1979345.8,0.77,10.72,0.32,2.04,0.0,1320885.0,58203.0,44325.0,1734449.4,,4303.0,0.13,,,0.01,4303.0,671.0,,0.13,4303.0,,,,1.77,,,6.97,6.97,776787.0,23148252.6,,23.51,7.0,23.62,0.1581,25.12,0.0795
2022-10-06,66421.0,1816614.35,0.77,10.36,0.32,1.97,0.0,1212288.75,58203.0,44325.0,1591852.05,,,,,,,,,,,,,,,1.74,,,6.97,6.97,776941.0,21249336.35,,22.92,7.06,23.89,0.1556,24.1,0.0795
2022-10-07,69281.0,1787449.8,0.8,10.4,0.34,1.95,0.0,1180479.0,59633.0,45755.0,1538531.4,,1430.0,0.04,,,,1430.0,,,0.04,1430.0,,,,1.7,,,7.14,7.14,776084.0,20022967.2,,22.18,7.1,22.75,0.1495,23.82,0.0829
2022-10-10,73586.0,2115597.5,0.85,10.14,0.36,2.02,0.0,1305882.5,64271.0,45422.0,1847791.25,,,,,,0.01,,333.0,,,,,4971.0,333.0,1.67,0.01,,7.69,7.69,771075.0,22168406.25,,20.38,7.57,24.44,0.1657,26.76,0.0881
2022-10-11,75076.0,2154681.2,0.87,9.85,0.37,2.2,0.0,1324992.9,65016.0,46167.0,1865959.2,,745.0,0.02,,,,745.0,,,0.02,745.0,,,,1.87,,,7.77,7.77,771207.0,22133640.9,,22.16,7.77,22.34,0.161,27.19,0.0898
2022-10-12,75132.0,1990998.0,0.87,9.5,0.37,2.16,0.0,1265428.0,65072.0,47752.0,1724408.0,,1585.0,0.05,,,0.04,1585.0,1529.0,,0.05,1585.0,,,,1.87,,,7.78,7.78,771154.0,20435581.0,,21.85,7.87,21.14,0.1531,25.71,0.0898
2022-10-13,76803.0,2158164.3,0.89,9.68,0.38,2.12,0.0,1388786.3,66743.0,49423.0,1875478.3,,,0.04,,,,1671.0,,,0.04,,,1671.0,,1.76,,,7.98,7.98,769711.0,21628879.1,,20.51,7.92,22.78,0.1532,24.0,0.0918
2022-10-14,77242.0,2189810.7,0.89,9.52,0.38,2.23,0.0,1413587.7,67182.0,49862.0,1904609.7,,439.0,0.02,,,,439.0,,,0.02,439.0,,,,1.89,,,8.04,8.04,768580.0,21789243.0,,21.61,8.04,21.84,0.1523,24.3,0.0924
2022-10-17,75460.0,2188340.0,0.87,9.16,0.37,2.19,0.0,1417027.0,66183.0,48863.0,1919307.0,,,,,,0.03,,999.0,,,,,,999.0,1.86,0.03,,7.87,7.87,774773.0,22468417.0,,21.95,7.83,22.68,0.1544,24.8,0.0897
2022-10-18,77646.0,2224557.9,0.9,9.41,0.38,2.29,0.0,1431239.4,67276.0,49956.0,1927457.4,,1093.0,0.03,,,,1093.0,,,0.03,1093.0,,,,1.95,,,8.0,8.0,773623.0,22164298.95,,22.34,8.01,21.51,0.1524,24.39,0.0923
2022-10-19,77640.0,2228268.0,0.9,9.34,0.38,2.29,0.0,1433651.1,67273.0,49953.0,1930735.1,,,,,,0.0,,3.0,,,,,,3.0,1.94,0.0,,8.0,8.0,773383.0,22196092.1,,22.27,8.0,21.59,0.1524,24.36,0.0924
2022-10-20,82801.0,2442629.5,0.96,9.98,0.4,2.45,0.0,1705277.0,69081.0,57806.0,2037889.5,,4500.0,,,8500.0,0.08,,2692.0,,,4500.0,0.24,,647.0,1.98,0.02,,8.22,8.22,771275.0,22752612.5,,22.24,8.18,20.27,0.1365,20.76,0.0985
2022-10-21,81791.0,2416924.05,0.95,9.82,0.4,2.46,0.0,1693244.55,68576.0,57301.0,2026420.8,,,,,,0.01,,505.0,,,,,,505.0,2.02,0.01,,8.16,8.16,771720.0,22804326.0,,22.75,8.14,20.69,0.1372,20.72,0.0973
2022-10-24,80941.0,2428230.0,0.94,10.04,0.4,2.44,0.0,1706280.0,68151.0,56876.0,2044530.0,,,,,,0.01,,425.0,,,,,,425.0,2.0,0.01,,8.11,8.11,772146.0,23164380.0,,22.78,8.09,20.78,0.1382,21.13,0.0963
2022-10-25,83408.0,2489728.8,0.97,10.47,0.41,2.53,0.0,1686704.1,70781.0,56506.0,2112812.85,,2233.0,,,,0.01,,207.0,,,2233.0,,604.0,370.0,2.11,0.01,,8.44,8.44,768138.0,22928919.3,,22.92,8.44,20.26,0.1447,23.85,0.0994
2022-10-26,82962.0,2476415.7,0.96,11.05,0.41,2.5,0.0,1673391.0,70335.0,56060.0,2099499.75,,,,,,0.01,,446.0,,,,,,446.0,2.08,0.02,,8.38,8.38,768579.0,22942083.15,,22.79,8.37,20.48,0.1455,23.92,0.0989
2022-10-27,79360.0,2305408.0,0.92,10.74,0.39,2.4,0.0,1523904.9,69933.0,52458.0,2031553.65,,,,,,0.01,,402.0,,,,,,3602.0,2.1,0.11,,8.34,8.34,768818.0,22334162.9,,22.96,8.39,20.81,0.1551,25.35,0.0946
2022-10-28,76906.0,2307180.0,0.89,10.41,0.38,2.3,0.0,1573740.0,67479.0,52458.0,2024370.0,,,,,,0.07,,2454.0,,,,,,,1.96,,,8.04,8.04,771435.0,23143050.0,,22.58,8.0,22.4,0.1505,22.53,0.0917
2022-10-31,76906.0,2276417.6,0.89,10.6,0.38,2.35,0.0,1552756.8,67479.0,52458.0,1997378.4,,,,,,,,,,,,,,,2.03,,,8.04,8.04,772106.0,22854337.6,,23.19,8.06,21.67,0.1498,22.89,0.0916
2022-11-01,76906.0,2230274.0,0.89,10.97,0.38,2.31,0.0,1521282.0,67479.0,52458.0,1956891.0,,,,,,,,,,,,,,,2.0,,,8.04,8.04,772299.0,22396671.0,,22.82,8.05,21.62,0.1496,22.86,0.0916
2022-11-02,76220.0,2244679.0,0.88,11.02,0.37,2.27,0.0,1524685.4,66793.0,51772.0,1967053.85,,,,,,0.02,,686.0,,,,,,686.0,1.95,0.02,,7.95,7.95,772985.0,22764408.25,,22.61,7.92,22.31,0.1513,22.83,0.0908
2022-11-03,75354.0,2200336.8,0.87,11.75,0.37,2.24,0.0,1486455.2,66793.0,50906.0,1950355.6,,,,,,,,,,,,,,866.0,1.92,0.02,,7.95,7.95,772985.0,22571162.0,,22.38,7.9,22.37,0.1522,22.82,0.0897
2022-11-04,74882.0,2227739.5,0.87,12.42,0.37,2.23,0.0,1514453.5,66321.0,50906.0,1973049.75,,,,,,0.01,,472.0,,,,,,,1.9,,,7.9,7.9,773457.0,23010345.75,,22.27,7.86,22.29,0.1532,22.94,0.0892
2022-11-07,74461.0,2252445.25,0.86,12.8,0.36,2.26,0.0,1513377.25,65034.0,50029.0,1967278.5,,271.0,,,,0.07,,2520.0,,,271.0,,962.0,877.0,1.92,0.03,,7.74,7.74,774796.0,23437579.0,,22.96,7.72,23.07,0.1566,23.29,0.0887
2022-11-08,74461.0,2259891.35,0.86,12.55,0.36,2.29,0.0,1518380.15,65034.0,50029.0,1973781.9,,,,,,,,,,,,,,,1.96,,,7.74,7.74,774871.0,23517334.85,,23.36,7.74,22.82,0.1564,23.45,0.0887
2022-11-09,81461.0,2427537.8,0.94,11.95,0.4,2.5,0.0,1699464.2,65034.0,57029.0,1938013.2,,,,,7000.0,,,,,,,0.21,,,1.98,,,7.74,7.74,774871.0,23091155.8,,23.52,7.77,20.52,0.1378,21.72,0.097
2022-11-10,89819.0,2708042.85,1.04,13.29,0.44,2.71,0.0,1845421.2,69213.0,61208.0,2086771.95,,4179.0,0.12,,,,4179.0,,,0.12,4179.0,,,,2.04,,,8.23,8.23,771407.0,23257921.05,,22.88,8.17,19.14,0.1251,19.32,0.1068
2022-11-11,99819.0,3064443.3,1.15,14.76,0.49,3.04,0.0,2032585.6,74213.0,66208.0,2278339.1,,5000.0,0.15,,,,5000.0,,,0.15,5000.0,,,,2.21,,,8.83,8.83,766369.0,23527528.3,,23.01,8.77,17.4,0.1215,17.46,0.1188
2022-11-14,93819.0,2842715.7,1.08,13.97,0.46,2.88,0.0,1915202.4,71213.0,63208.0,2157753.9,,,,,,0.06,,3000.0,,,,,,3000.0,2.18,0.11,,8.47,8.47,769369.0,23311880.7,,23.55,8.49,18.12,0.1226,19.01,0.1116
2022-11-15,93829.0,2814870.0,1.08,14.34,0.46,2.85,0.0,1896540.0,71223.0,63218.0,2136690.0,,,0.0,,,,10.0,,,0.0,,,10.0,,2.16,,,8.47,8.47,769359.0,23080770.0,,23.26,8.5,18.14,0.1225,18.95,0.1116
2022-11-16,91885.0,2811681.0,1.06,14.07,0.45,2.78,0.0,1899403.2,69279.0,62072.0,2119937.4,,,,,,0.06,,1944.0,,,,,,1146.0,2.08,0.04,,8.24,8.24,771243.0,23600035.8,,23.21,8.21,18.29,0.124,18.92,0.1093
2022-11-17,92384.0,2831569.6,1.07,14.53,0.45,2.84,0.0,1917801.15,69778.0,62571.0,2138695.7,,499.0,0.02,,,,499.0,,,0.02,499.0,,,,2.14,,,8.33,8.33,768380.0,23550847.0,,23.57,8.32,18.38,0.1229,18.57,0.1102
2022-11-18,92411.0,2790812.2,1.07,15.63,0.45,2.83,0.0,1890459.6,69805.0,62598.0,2108111.0,,27.0,0.0,,,,27.0,,,0.0,27.0,,,,2.14,,,8.33,8.33,768353.0,23204260.6,,23.49,8.35,18.38,0.1227,18.44,0.1103
2022-11-21,92591.0,2786989.1,1.07,17.46,0.45,2.82,0.0,1889617.8,69985.0,62778.0,2106548.5,,180.0,0.01,,,,180.0,,,0.01,180.0,,,,2.13,,,8.35,8.35,768155.0,23121465.5,,23.33,8.37,18.38,0.1222,18.39,0.1105
2022-11-22,92659.0,2751972.3,1.07,19.13,0.45,2.78,0.0,1866526.2,70053.0,62846.0,2080574.1,,68.0,0.0,,,,68.0,,,0.0,68.0,,,,2.1,,,8.36,8.36,768087.0,22812183.9,,22.99,8.37,18.31,0.1221,18.34,0.1106
2022-11-23,92649.0,2751675.3,1.07,20.16,0.45,2.76,0.0,1866229.2,70043.0,62836.0,2080277.1,,,,,,0.0,,10.0,,,,,,10.0,2.07,0.0,,8.36,8.36,768037.0,22810698.9,,22.68,8.35,18.17,0.1221,18.5,0.1105
2022-11-24,89317.0,2639317.35,1.03,20.12,0.44,2.66,0.0,1758343.2,66711.0,59504.0,1971310.05,,,,,,0.09,,3332.0,,,,,,3332.0,1.98,0.1,,7.96,7.96,771369.0,22793953.95,,22.85,7.97,15.39,0.1185,18.94,0.1066
2022-11-25,89222.0,2632049.0,1.03,21.39,0.44,2.65,0.0,1752565.5,66616.0,59409.0,1965172.0,,,,,,0.0,,95.0,,,,,,95.0,1.97,0.0,,7.95,7.95,771475.0,22758512.5,,22.8,7.95,15.43,0.1187,18.96,0.1065
2022-11-28,88793.0,2659350.35,1.03,21.94,0.43,2.66,0.0,1766451.0,66187.0,58980.0,1982300.65,,,,,,0.01,,429.0,,,,,,429.0,1.96,0.01,,7.9,7.9,771909.0,23118674.55,,22.91,7.88,15.66,0.1195,18.98,0.1059
2022-11-29,88362.0,2619933.3,1.02,22.16,0.43,2.66,0.0,1755487.55,65756.0,59207.0,1949665.4,,,0.01,,,0.02,227.0,730.0,,0.01,,,299.0,,1.97,,,7.85,7.85,772340.0,22899881.0,,23.18,7.85,15.48,0.1182,18.5,0.1054
2022-11-30,81362.0,2587311.6,0.94,20.78,0.4,2.46,0.0,1660182.6,65756.0,52207.0,2091040.8,,,,,,,,,,,,,,7000.0,1.94,0.21,,7.85,7.85,771417.0,24531060.6,,23.12,7.75,17.87,0.1324,19.61,0.0972
2022-12-01,80274.0,2524617.3,0.93,19.95,0.39,2.51,0.0,1628638.25,65090.0,51785.0,2047080.5,,,,,,0.02,,666.0,,,,,,422.0,2.01,0.01,,7.77,7.77,772083.0,24282010.35,,24.11,7.71,17.32,0.1318,19.24,0.0959
2022-12-02,72316.0,2256259.2,0.84,18.35,0.35,2.27,0.0,1497787.2,60889.0,48006.0,1899736.8,,400.0,0.01,,,0.12,400.0,4601.0,,0.01,400.0,,,4179.0,1.91,0.13,,7.27,7.27,777002.0,24242462.4,,24.33,7.28,19.06,0.1411,21.69,0.0863
2022-12-05,72299.0,2255728.8,0.84,18.5,0.35,2.26,0.0,1497256.8,60872.0,47989.0,1899206.4,,,,,,0.0,,17.0,,,,,,17.0,1.9,0.0,,7.22,7.22,782307.0,24407978.4,,24.39,7.22,19.16,0.141,21.63,0.0857
2022-12-06,72515.0,2240713.5,0.84,18.27,0.35,2.27,0.0,1489534.5,61088.0,48205.0,1887619.2,,211.0,0.01,,,,216.0,,,0.01,211.0,,5.0,,1.91,,,7.26,7.26,780468.0,24116461.2,,24.39,7.26,18.91,0.1402,21.68,0.0862
2022-12-07,70705.0,2184784.5,0.82,17.82,0.35,2.19,0.0,1465679.7,63207.0,47433.0,1953096.3,,3157.0,0.0,,,0.03,70.0,1038.0,,0.0,3157.0,,,842.0,1.95,0.03,,7.42,7.42,788097.0,24352197.3,,24.37,7.41,18.38,0.1369,20.66,0.0831
2022-12-08,70210.0,2155447.0,0.81,18.07,0.34,2.17,0.0,1440996.6,58783.0,46938.0,1804638.1,,2852.0,0.01,,,0.29,294.0,9268.0,,0.01,2852.0,,1992.0,789.0,1.81,0.03,,6.91,6.91,792521.0,24330394.7,,24.41,6.9,18.54,0.1352,20.81,0.0825
2022-12-09,74975.0,2297983.75,0.87,19.95,0.37,2.31,0.0,1593769.35,63548.0,51999.0,1947746.2,,5061.0,0.15,,,0.01,5061.0,296.0,,0.15,5061.0,,,,1.95,,,7.46,7.46,787756.0,24144721.4,,24.23,7.46,19.1,0.1413,22.38,0.0881
2022-12-12,70381.0,2111430.0,0.81,19.54,0.34,2.15,0.0,1422150.0,58954.0,47405.0,1768620.0,,,,,,0.14,,4594.0,,,,,,4594.0,1.81,0.15,,6.93,6.93,792350.0,23770500.0,,24.25,6.94,18.51,0.1336,20.43,0.0827
2022-12-13,70656.0,2158540.8,0.82,19.67,0.35,2.13,0.0,1456624.0,59229.0,47680.0,1809445.95,,3951.0,0.02,,,0.12,347.0,3676.0,,0.02,3951.0,,,72.0,1.77,0.0,,6.96,6.96,791272.0,24173359.6,,23.77,6.91,18.31,0.1345,20.07,0.0831
2022-12-14,74656.0,2250878.4,0.86,20.73,0.36,2.27,0.0,1558152.0,63229.0,51680.0,1906354.35,,2559.0,0.13,,,,4000.0,,,0.13,2559.0,,1441.0,,1.93,,,7.43,7.43,787272.0,23736250.8,,24.01,7.43,19.22,0.142,22.83,0.0878
2022-12-15,73249.0,2153520.6,0.85,20.25,0.36,2.2,0.0,1504721.4,61822.0,51181.0,1817566.8,,,,,,0.05,,1407.0,,,,,,499.0,1.86,0.02,,7.27,7.27,788679.0,23187162.6,,23.76,7.27,18.41,0.1418,23.26,0.0861
2022-12-16,77924.0,2248107.4,0.9,21.61,0.38,2.29,0.0,1611445.6,66497.0,55856.0,1918438.45,,4675.0,0.13,,,,4675.0,,,0.13,4675.0,,,,1.96,,,7.82,7.82,784004.0,22618515.4,,23.06,7.84,21.78,0.1476,21.86,0.0916
2022-12-19,78801.0,2269468.8,0.91,21.56,0.38,2.29,0.0,1633910.4,67374.0,56733.0,1940371.2,,,0.03,,,,877.0,,,0.03,,,877.0,,1.94,,,7.92,7.92,783127.0,22554057.6,,22.63,7.9,21.45,0.1456,21.86,0.0927
2022-12-20,69926.0,1992891.0,0.81,19.93,0.34,2.02,0.0,1363953.0,58499.0,47858.0,1667221.5,,,,,,0.26,,8875.0,,,,,,8875.0,1.68,0.26,,6.88,6.88,791964.0,22570974.0,,22.76,6.87,18.23,0.1311,19.08,0.0822
2022-12-21,68933.0,1964590.5,0.8,27.56,0.34,1.98,0.0,1359849.0,62132.0,47714.0,1770762.0,,4901.0,0.01,,,0.04,275.0,1268.0,,0.01,4901.0,,,419.0,1.77,0.01,,7.31,7.31,788327.0,22467319.5,,22.56,7.28,18.4,0.131,18.64,0.0811
2022-12-22,68933.0,1964590.5,0.8,27.77,0.34,1.98,0.0,1359849.0,57506.0,47714.0,1638921.0,,,,,,0.13,,4626.0,,,,,,,1.64,,,6.76,6.76,792953.0,22599160.5,,22.66,6.74,18.41,0.131,18.67,0.0811
2022-12-23,73893.0,2091171.9,0.85,29.77,0.36,2.11,0.0,1490674.2,62466.0,52674.0,1767787.8,,4960.0,0.14,,,,4960.0,,,0.14,4960.0,,,,1.77,,,7.34,7.34,788047.0,22301730.1,,22.44,7.33,17.26,0.1416,23.99,0.0869
2022-12-26,70232.0,1987565.6,0.81,28.49,0.34,2.0,0.0,1387067.9,62466.0,49013.0,1767787.8,,,,,,,,,,,,,,3661.0,1.76,0.1,,7.34,7.34,788047.0,22301730.1,,22.33,7.32,18.08,0.1331,20.14,0.0826
2022-12-27,70271.0,2002723.5,0.81,28.51,0.34,2.01,0.0,1397982.0,58844.0,49052.0,1677054.0,,34.0,0.0,,,0.1,39.0,3661.0,,0.0,34.0,,5.0,,1.66,,,6.92,6.92,791683.0,22562965.5,,22.45,6.89,18.06,0.1333,20.22,0.0826
2022-12-28,70298.0,2024582.4,0.81,29.42,0.34,2.03,0.0,1413475.2,58871.0,49079.0,1695484.8,,27.0,0.0,,,,27.0,,,0.0,27.0,,,,1.68,,,6.92,6.92,791708.0,22801190.4,,22.68,6.89,17.99,0.1333,20.26,0.0826
2022-12-29,69232.0,2007728.0,0.8,29.09,0.34,2.01,0.0,1363377.0,58805.0,47013.0,1705345.0,,,,,,0.0,,66.0,,,,,,2066.0,1.69,0.06,,6.91,6.91,791774.0,22961446.0,,22.78,6.89,18.37,0.1375,20.63,0.0814
2022-12-30,67569.0,1925716.5,0.78,31.31,0.33,1.96,0.0,1339870.5,57142.0,47013.0,1628547.0,,,,,,0.05,,1663.0,,,,,,,1.65,,,6.72,6.72,793275.0,22608337.5,,22.9,6.72,18.96,0.1403,20.81,0.0795
2023-01-02,66389.0,1878808.7,0.77,30.74,0.32,1.91,0.0,1297073.9,57202.0,45833.0,1618816.6,,,0.0,,,,60.0,,,0.0,,,60.0,1240.0,1.63,0.04,,6.73,6.73,793002.0,22441956.6,,22.59,6.74,19.13,0.1374,19.37,0.0781
2023-01-03,66389.0,1892086.5,0.77,30.76,0.32,1.91,0.0,1306240.5,55962.0,45833.0,1594917.0,,,,,,0.03,,1240.0,,,,,,,1.6,,,6.57,6.57,795459.0,22670581.5,,22.68,6.58,18.99,0.1374,19.44,0.078
2023-01-04,66389.0,1912003.2,0.77,31.04,0.32,1.91,0.0,1319990.4,55962.0,45833.0,1611705.6,,,,,,,,,,,,,,,1.59,,,6.57,6.57,795441.0,22908700.8,,22.65,6.56,19.11,0.1379,19.67,0.078
2023-01-05,66389.0,1858892.0,0.77,33.08,0.32,1.92,0.0,1283324.0,55962.0,45833.0,1566936.0,,,,,,,,,,,,,,,1.62,,,6.57,6.57,795393.0,22271004.0,,22.88,6.61,19.05,0.1373,19.23,0.078
2023-01-06,66389.0,1858892.0,0.77,32.96,0.32,1.87,0.0,1283324.0,55962.0,45833.0,1566936.0,,,,,,,,,,,,,,,1.55,,,6.57,6.57,795441.0,22272348.0,,22.13,6.56,19.21,0.1378,19.55,0.078
2023-01-09,66389.0,1802461.35,0.77,28.11,0.32,1.85,0.0,1244365.95,55962.0,45833.0,1519368.3,,,,,,,,,,,,,,,1.56,,,6.56,6.56,796647.0,21628966.05,,22.05,6.59,19.13,0.1375,19.37,0.0779
2023-01-10,69524.0,1856290.8,0.8,28.5,0.34,1.9,0.0,1345306.2,59842.0,50386.0,1597781.4,,,0.12,,,0.02,4553.0,673.0,,0.12,,,4553.0,,1.63,,,7.02,7.02,792747.0,21166344.9,,21.47,7.04,18.31,0.1309,18.33,0.0815
2023-01-11,67001.0,1772176.45,0.77,27.32,0.33,1.8,0.0,1231564.9,56373.0,46562.0,1491065.85,,,,,,0.16,,5662.0,,,,,2193.0,3824.0,1.5,0.1,,6.61,6.61,796216.0,21059913.2,,21.19,6.61,18.96,0.1386,20.52,0.0786
2023-01-12,67454.0,1774040.2,0.78,25.51,0.33,1.8,0.0,1236494.5,56426.0,47015.0,1484003.8,,53.0,0.01,,,,453.0,,,0.01,53.0,,,,1.48,,,6.62,6.62,796163.0,20939086.9,,20.95,6.61,18.85,0.1375,20.47,0.0791
2023-01-13,71455.0,1872121.0,0.96,26.51,0.35,1.9,0.0,1235565.8,60427.0,47159.0,1583187.4,,438.0,0.0,,,0.01,144.0,294.0,,0.0,438.0,,3857.0,,1.59,,,7.09,7.09,792162.0,20754644.4,,20.79,7.1,17.74,0.1306,19.3,0.0838
2023-01-16,69666.0,1870532.1,0.93,24.29,0.34,1.86,0.0,1266219.15,58638.0,47159.0,1574430.3,,,,,,0.05,,1789.0,,,,,,,1.54,,,6.88,6.88,793970.0,21318094.5,,20.9,6.85,18.02,0.13,20.12,0.0817
2023-01-17,65499.0,1833972.0,0.88,22.24,0.32,1.81,0.0,1401960.0,55417.0,50070.0,1551676.0,,,0.11,,,0.08,3857.0,3221.0,,0.11,,,,946.0,1.49,0.01,,6.5,6.5,797191.0,22321348.0,,21.59,6.47,18.74,0.1268,19.02,0.0768
2023-01-18,64620.0,1864287.0,0.87,19.72,0.32,1.85,0.0,1444375.25,54538.0,50065.0,1573421.3,,,,,,0.02,,879.0,,,,,,5.0,1.53,0.0,,6.4,6.4,798070.0,23024319.5,,22.46,6.36,18.88,0.1276,19.42,0.0758
2023-01-19,58856.0,1656796.4,0.79,17.19,0.29,1.7,0.0,1328201.45,51656.0,47183.0,1454116.4,,,,,,0.08,,2882.0,,,,,,2882.0,1.49,0.08,,6.06,6.06,800952.0,22546798.8,,23.02,6.08,19.98,0.1436,21.71,0.069
2023-01-20,58676.0,1663464.6,0.79,17.13,0.29,1.67,0.0,1332535.05,51476.0,47003.0,1459344.6,,,,,,0.01,,180.0,,,,,,180.0,1.44,0.01,,6.04,6.04,801132.0,22712092.2,,22.5,6.03,20.51,0.1445,21.58,0.0688
2023-01-23,58465.0,1657482.75,0.78,16.1,0.29,1.67,0.0,1305432.45,50520.0,46047.0,1432242.0,,,,,,0.03,,956.0,,,,,,956.0,1.43,0.03,,5.93,5.93,802106.0,22739705.1,,22.68,5.92,20.48,0.145,21.7,0.0686
2023-01-24,58608.0,1670328.0,0.79,15.98,0.29,1.68,0.0,1316415.0,50663.0,46190.0,1443895.5,,138.0,0.0,,,,143.0,,,0.0,138.0,,5.0,,1.43,,,5.94,5.94,801925.0,22854862.5,,22.73,5.92,20.5,0.1446,21.6,0.0687
2023-01-25,58693.0,1669815.85,0.79,16.12,0.29,1.69,0.0,1316523.75,50748.0,46275.0,1443780.6,,85.0,0.0,,,,85.0,,,0.0,85.0,,,,1.44,,,5.95,5.95,801840.0,22812348.0,,22.8,5.94,20.42,0.1444,21.63,0.0688
2023-01-26,61140.0,1742490.0,0.82,17.27,0.3,1.76,0.0,1388577.0,53195.0,48722.0,1516057.5,,2447.0,0.07,,,,2447.0,,,0.07,2447.0,,,,1.52,,,6.24,6.24,799393.0,22782700.5,,22.76,6.24,20.72,0.15,23.52,0.0717
2023-01-27,61325.0,1729365.0,0.82,17.25,0.3,1.76,0.0,1379177.4,53380.0,48907.0,1505316.0,,185.0,0.01,,,,185.0,,,0.01,185.0,,,,1.52,,,6.26,6.26,799198.0,22537383.6,,22.71,6.27,20.76,0.1492,23.27,0.0719
2023-01-30,58399.0,1676051.3,0.78,16.47,0.29,1.67,0.0,1319654.7,50454.0,45981.0,1448029.8,,376.0,0.01,,,0.1,376.0,3302.0,,0.01,376.0,,,3302.0,1.42,0.09,,5.92,5.92,802142.0,23021475.4,,22.69,5.9,19.21,0.1412,21.56,0.0685
2023-01-31,58394.0,1635032.0,0.78,14.98,0.29,1.68,0.0,1287328.0,50449.0,45976.0,1412572.0,,,,,,0.0,,5.0,,,,,,5.0,1.45,0.0,,5.92,5.92,802093.0,22458604.0,,22.94,5.93,18.68,0.1411,21.85,0.0685
2023-02-01,59764.0,1688333.0,0.8,15.63,0.29,1.69,0.0,1337524.5,51819.0,47346.0,1463886.75,,213.0,0.04,,,,1370.0,,,0.04,213.0,,1157.0,,1.44,,,6.08,6.08,800826.0,22623334.5,,22.31,6.06,20.97,0.1441,21.25,0.0701
2023-02-02,59071.0,1683523.5,0.79,15.51,0.29,1.69,0.0,1329610.5,51126.0,46653.0,1457091.0,,,,,,0.02,,693.0,,,,,,693.0,1.44,0.02,,6.0,6.0,801519.0,22843291.5,,22.69,5.98,21.15,0.1456,21.39,0.0693
2023-02-03,60124.0,1710527.8,0.8,15.93,0.29,1.74,0.0,1298657.15,52879.0,45647.0,1504407.55,,580.0,,,,0.01,,507.0,,,580.0,,1680.0,1006.0,1.52,0.02,,6.2,6.2,799603.0,22748705.35,,22.94,6.2,20.59,0.1455,20.96,0.0705
