,CEC FP Equity_DX_SI_QTY,CEC FP Equity_DX_SHORT_INTEREST_VALUE,CEC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CEC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CEC FP Equity_DX_SI_MV,CEC FP Equity_DX_DSS,CEC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CEC FP Equity_DX_SUPPLY_SI_QTY,CEC FP Equity_DX_BROKER_SI_QTY,CEC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CEC FP Equity_DX_BROKER_SI_MV_NEW_x,CEC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,CEC FP Equity_DX_SUPPLY_SI_QTY_INC_x,CEC FP Equity_DX_BROKER_SI_MV_INC_x,CEC FP Equity_DX_SUPPLY_SI_MV_NEW,CEC FP Equity_DX_BROKER_SI_QTY_ADD,CEC FP Equity_DX_BROKER_SI_QTY_NEW,CEC FP Equity_DX_SUPPLY_SI_MV_DEC,CEC FP Equity_DX_BROKER_SI_QTY_INC,CEC FP Equity_DX_SUPPLY_SI_QTY_DEC,CEC FP Equity_DX_BROKER_SI_MV_NEW_y,CEC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,CEC FP Equity_DX_BROKER_SI_MV_INC_y,CEC FP Equity_DX_SUPPLY_SI_QTY_INC_y,CEC FP Equity_DX_BROKER_SI_MV_ADD,CEC FP Equity_DX_SUPPLY_SI_QTY_ADD,CEC FP Equity_DX_BROKER_SI_QTY_DEC,CEC FP Equity_DX_SUPPLY_SI_MV,CEC FP Equity_DX_BROKER_SI_MV_DEC,CEC FP Equity_DX_SUPPLY_SI_MV_RMV,CEC FP Equity_DX_BROKER_SI_MV_RMV,CEC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CEC FP Equity_DX_UTILIZATION_QUANTITY,CEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CEC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CEC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,CEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CEC FP Equity_DX_ACTIVE_UTILIZATION_MV,CEC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CEC FP Equity_DX_BROKER_SI_CON_RATIO,CEC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CEC FP Equity_DX_DEMAND_SUPPLY_RATIO
2009-03-11,86150.0,743729.2,1.68,0.66,0.82,0.0,440712.43,36650.0,51050.0,316397.86,,,,,,,,,,,,,,,,,,0.35,,,,100.0,46.58,0.0,0.0,,0.0,100.0,32.4,0.562,67.6,1.095
2009-03-12,86150.0,761716.35,1.68,0.66,0.83,0.0,451371.09,36650.0,51050.0,324049.96,,,,,,,,,,,,,,,,,,0.35,,,,100.0,46.58,0.0,0.0,,0.0,100.0,31.9,0.5655,68.1,1.095
2009-03-13,87700.0,784974.49,2.03,0.67,0.85,0.0,456932.13,36650.0,51050.0,328042.36,,,,,,,,,,,,,,,,,,0.36,,,,100.0,46.58,0.0,0.0,,0.0,100.0,33.51,0.5544,66.49,1.1147
2009-03-16,86150.0,797690.63,1.93,0.66,0.86,0.0,472688.41,35100.0,51050.0,325002.22,,,,,,,,0.01,,1550.0,,,,,,,,0.35,,,,100.0,45.51,0.0,0.0,,0.0,100.0,30.98,0.5724,69.02,1.117
2009-03-17,69600.0,627389.9,1.61,0.53,0.7,0.0,310990.68,35100.0,34500.0,316399.22,,,,,,,,,,,,,,,,,16550.0,0.36,0.16,,,100.0,44.61,0.0,0.0,,0.0,100.0,,1.0,100.0,0.8846
2009-03-18,79600.0,711751.41,1.84,0.61,0.79,0.0,397901.23,35100.0,44500.0,313850.18,,,,,,10000.0,,,,,,,,,0.1,,,0.35,,,,100.0,44.61,0.0,0.0,,0.0,100.0,22.93,0.6466,77.07,1.0117
2009-03-19,79600.0,726925.8,1.86,0.61,0.79,0.0,406384.4,35100.0,44500.0,320541.4,,,,,,,,,,,,,,,,,,0.35,,,,100.0,44.61,0.0,0.0,,0.0,100.0,21.98,0.657,78.02,1.0117
2009-03-20,100700.0,930585.51,2.17,0.77,1.01,0.0,606220.55,35100.0,65600.0,324364.96,,,,0.19,,1100.0,,,20000.0,,,,0.19,,0.01,,,0.35,,,,100.0,44.61,0.0,0.0,,0.0,100.0,44.57,0.4876,53.73,1.2799
2009-03-23,107700.0,1047090.48,2.31,0.83,1.11,1.0,705838.15,35100.0,72600.0,341252.33,,,,0.08,,,,,7000.0,,,,0.08,,,,,0.36,,,,100.0,44.61,0.0,0.0,,0.0,100.0,48.92,0.4855,49.59,1.3689
2009-03-24,106600.0,1035428.27,2.14,0.82,1.12,1.0,694494.57,35100.0,71500.0,340933.7,,,,,,,,,,,,,,,,,1100.0,0.38,0.01,,,100.0,44.61,0.0,0.0,,0.0,100.0,49.52,0.5,50.48,1.3549
2009-03-25,181600.0,1839751.12,3.55,1.4,1.94,1.0,1484160.45,35100.0,146500.0,355590.66,,,,0.81,,,,,75000.0,,,,0.81,,,,,0.38,,,,100.0,44.05,0.0,0.0,,0.0,100.0,24.55,0.6295,75.45,2.2792
2009-03-26,169600.0,1738196.32,3.15,1.3,1.84,1.0,1378463.47,35100.0,134500.0,359732.85,,,,,,,,,,,,,,,,,12000.0,0.39,0.12,,,100.0,44.05,0.0,0.0,,0.0,100.0,26.83,0.6073,73.17,2.1286
2009-03-27,169600.0,1653518.91,3.0,1.3,1.88,1.0,1311310.69,35100.0,134500.0,342208.22,,,,,,,,,,,,,,,,,,0.4,,,,100.0,44.05,0.0,0.0,,0.0,100.0,25.03,0.6247,74.97,2.1286
2009-03-30,169600.0,1527272.59,2.88,1.3,1.83,1.0,1211192.0,35100.0,134500.0,316080.59,,,,,,,,,,,,,,,,,,0.38,,,,100.0,44.05,0.0,0.0,,0.0,100.0,23.57,0.6398,76.43,2.1286
2009-03-31,169600.0,1585776.98,3.79,1.3,1.77,1.0,1257588.47,35100.0,134500.0,328188.51,,,,,,,,,,,,,,,,,,0.35,,,,100.0,44.05,0.0,0.0,,0.0,100.0,25.06,0.6244,74.94,2.1286
2009-04-01,162600.0,1552799.27,3.31,1.25,1.65,1.0,1217600.9,35100.0,127500.0,335198.37,,,,,,,,,,,,,,,,,7000.0,0.36,0.13,,,100.0,44.05,0.0,0.0,,0.0,100.0,28.09,0.596,71.91,2.0407
2009-04-02,162600.0,1712212.12,3.39,1.25,1.71,1.0,1342601.75,35100.0,127500.0,369610.37,,,14000.0,,,,,0.14,,14000.0,,,,14000.0,,,,0.37,,,,100.0,44.05,0.0,0.0,,0.0,100.0,29.88,0.581,70.12,2.0407
2009-04-03,162600.0,1722544.43,3.18,1.25,1.77,1.0,1350703.66,35100.0,127500.0,371840.77,,,,,,,,,,,,,,,,,,0.41,,,,100.0,44.05,0.0,0.0,,0.0,100.0,29.51,0.584,70.49,2.0407
2009-04-06,69600.0,742379.79,1.27,0.53,0.82,0.0,367989.98,35100.0,34500.0,374389.81,,,,,,,,,,,,,,,,,93000.0,0.41,0.96,,,100.0,44.05,0.0,0.0,,0.0,100.0,,1.0,100.0,0.8735
2009-04-07,69600.0,726584.48,1.25,0.53,0.81,0.0,360160.41,35100.0,34500.0,366424.07,,,,,,,,,,,,,,,,,,0.41,,,,100.0,44.05,0.0,0.0,,0.0,100.0,,1.0,100.0,0.8735
2009-04-08,167349.0,1788045.73,2.95,1.29,1.94,1.0,1413018.66,35100.0,132249.0,375027.07,,,,,,97749.0,,,,,,,,,1.13,,,0.4,,,,100.0,44.05,0.0,0.0,,0.0,100.0,26.36,0.5624,70.12,2.1003
2009-04-09,82349.0,941906.75,1.52,0.63,1.0,0.0,540433.43,35100.0,47249.0,401473.33,,,,,,,,,,,,,,,,,85000.0,0.41,0.99,,,100.0,44.05,0.0,0.0,,0.0,100.0,15.65,0.5907,74.61,1.0335
2009-04-10,82349.0,941906.75,1.48,0.63,1.03,0.0,540433.43,35100.0,47249.0,401473.33,,,,,,,,,,,,,,,,,,0.44,,,,100.0,44.05,0.0,0.0,,0.0,100.0,16.24,0.5847,74.09,1.0335
2009-04-13,82349.0,941906.75,1.48,0.63,1.03,0.0,540433.43,35100.0,47249.0,401473.33,,,,,,,,,,,,,,,,,,0.44,,,,100.0,44.05,0.0,0.0,,0.0,100.0,16.95,0.5776,73.46,1.0335
2009-04-14,84349.0,957891.42,1.51,0.65,1.06,0.0,559285.76,35100.0,49249.0,398605.66,,,,0.03,,,,,2000.0,,,,0.03,,,,,0.45,,,,100.0,44.05,0.0,0.0,,0.0,100.0,16.28,0.536,70.06,1.0586
2009-04-15,84349.0,954062.92,1.41,0.65,1.05,0.0,557050.41,35100.0,49249.0,397012.51,,,,,,,,,,,,,,,,,,0.44,,,,100.0,44.58,0.0,0.0,,0.0,100.0,16.36,0.5366,70.11,1.0713
2009-04-16,84349.0,963251.33,1.38,0.65,1.06,0.0,562415.26,35100.0,49249.0,400836.07,,,,,,,,,,,,,,,,,,0.44,,,,100.0,44.58,0.0,0.0,,0.0,100.0,16.32,0.5382,70.25,1.0713
2009-04-17,84349.0,931857.6,1.3,0.65,1.05,0.0,544085.35,35100.0,49249.0,387772.25,,,,,,,,,,,,,,,,,,0.44,,,,100.0,44.58,0.0,0.0,,0.0,100.0,16.65,0.5285,69.37,1.0713
2009-04-20,84349.0,895869.68,1.23,0.65,1.01,0.0,523073.01,35100.0,49249.0,372796.66,,,,,,,,,,,,,,,,,,0.43,,,,100.0,44.58,0.0,0.0,,0.0,100.0,17.04,0.523,68.85,1.0713
2009-04-21,84349.0,885915.57,1.24,0.65,0.99,0.0,517261.09,35100.0,49249.0,368654.48,,,,,,,,,,,,,,,,,,0.41,,,,100.0,44.58,0.0,0.0,,0.0,100.0,17.33,0.5248,69.0,1.0713
2009-04-22,84767.0,918007.63,1.24,0.65,1.0,0.0,537882.49,35100.0,49667.0,380125.14,,,,0.0,,,,,418.0,,,,0.0,,,,,0.41,,,,100.0,44.58,0.0,0.0,,0.0,100.0,16.83,0.5255,69.09,1.0766
2009-04-23,84767.0,911851.67,1.24,0.65,1.01,0.0,534275.57,35100.0,49667.0,377576.11,,,,,,,,,,,,,,,,,,0.42,,,,100.0,44.58,0.0,0.0,,0.0,100.0,16.92,0.5247,69.01,1.0766
2009-04-24,79600.0,881560.12,1.18,0.61,0.96,0.0,492831.98,35100.0,44500.0,388728.14,,,,,,,,,,,,,,,,,5167.0,0.42,0.06,,,100.0,44.58,0.0,0.0,,0.0,100.0,18.39,0.6319,77.21,1.0109
2009-04-27,77600.0,847434.98,1.09,0.6,0.94,0.0,464123.54,35100.0,42500.0,383311.44,,,,,,,,,,,,,,,,,2000.0,0.43,0.02,,,100.0,44.58,0.0,0.0,,0.0,100.0,19.45,0.6866,80.55,0.9855
2009-04-28,77600.0,830528.54,1.1,0.6,0.93,0.0,454864.21,35100.0,42500.0,375664.33,,,,,,,,,,,,,,,,,,0.42,,,,100.0,44.58,0.0,0.0,,0.0,100.0,19.77,0.6828,80.23,0.9855
2009-04-29,77600.0,866454.71,1.07,0.6,0.94,0.0,474540.28,35100.0,42500.0,391914.44,,,,,,,,,,,,,,,,,,0.41,,,,100.0,44.58,0.0,0.0,,0.0,100.0,19.11,0.6909,80.89,0.9855
2009-04-30,77600.0,891109.93,1.02,0.6,0.95,0.0,488043.45,35100.0,42500.0,403066.48,,,,,,,,,,,,,,,,,,0.42,,,,100.0,44.58,0.0,0.0,,0.0,100.0,18.68,0.6962,81.32,0.9855
2009-05-01,77600.0,891109.93,0.98,0.6,0.98,0.0,488043.45,35100.0,42500.0,403066.48,,,,,,,,,,,,,,,,,,0.44,,,,100.0,44.58,0.0,0.0,,0.0,100.0,18.68,0.6962,81.32,0.9855
2009-05-04,77600.0,939011.49,0.98,0.6,1.02,0.0,514278.2,35100.0,42500.0,424733.29,,,,,,,,,,,,,,,,,,0.46,,,,100.0,44.58,0.0,0.0,,0.0,100.0,17.85,0.7067,82.15,0.9855
2009-05-05,77600.0,941124.8,0.92,0.6,1.03,0.0,515435.62,35100.0,42500.0,425689.18,,,,,,,,,,,,,,,,,,0.47,,,,100.0,44.58,0.0,0.0,,0.0,100.0,17.86,0.7066,82.14,0.9855
2009-05-06,77600.0,950986.88,0.91,0.6,1.03,0.0,520836.89,35100.0,42500.0,430149.99,,,,,,,,,,,,,,,,,,0.47,,,,100.0,44.58,0.0,0.0,,0.0,100.0,17.71,0.7085,82.29,0.9855
2009-05-07,77600.0,958735.66,0.9,0.6,1.04,0.0,525080.74,35100.0,42500.0,433654.92,,,,,,,,,,,,,,,,,,0.47,,,,100.0,45.07,0.0,0.0,,0.0,100.0,17.59,0.71,82.41,0.9965
2009-05-08,77600.0,992548.53,0.88,0.6,1.06,0.0,543599.39,35100.0,42500.0,448949.14,,,,,,,,,,,,,,,,,,0.48,,,,100.0,45.07,0.0,0.0,,0.0,100.0,17.1,0.7165,82.9,0.9965
2009-05-11,77600.0,960848.97,0.88,0.6,1.07,0.0,526238.16,35100.0,42500.0,434610.81,,,,,,,,,,,,,,,,,,0.49,,,,100.0,44.64,0.0,0.0,,0.0,100.0,17.56,0.7105,82.44,0.987
2009-05-12,77600.0,967188.88,0.91,0.6,1.05,0.0,529710.4,35100.0,42500.0,437478.48,,,,,,,,,,,,,,,,,,0.48,,,,100.0,44.64,0.0,0.0,,0.0,100.0,17.47,0.7117,82.53,0.987
2009-05-13,79700.0,928247.98,0.94,0.61,1.05,0.0,519446.17,35100.0,44600.0,408801.81,,,,,,2100.0,,,,,,,,,0.03,,,0.48,,,,100.0,44.64,0.0,0.0,,0.0,100.0,17.53,0.6324,77.4,1.0137
2009-05-14,77600.0,905903.06,0.87,0.6,0.99,0.0,496145.36,35100.0,42500.0,409757.7,,,,,,,,,,,,,,,,,2100.0,0.45,0.03,,,100.0,43.27,0.0,0.0,,0.0,100.0,18.43,0.6993,81.57,0.9566
2009-05-15,77600.0,915060.71,0.86,0.6,1.0,0.0,501160.83,35100.0,42500.0,413899.88,,,,,,,,,,,,,,,,,,0.45,,,,100.0,43.27,0.0,0.0,,0.0,100.0,18.28,0.7012,81.72,0.9566
2009-05-18,77600.0,952395.75,0.9,0.6,1.03,0.0,521608.5,35100.0,42500.0,430787.25,,,,,,,,,,,,,,,,,,0.46,,,,100.0,43.27,0.0,0.0,,0.0,100.0,18.06,0.704,81.94,0.9566
2009-05-19,77600.0,958031.23,0.89,0.6,1.05,0.0,524694.94,35100.0,42500.0,433336.29,,,,,,,,,,,,,,,,,,0.47,,,,100.0,43.27,0.0,0.0,,0.0,100.0,18.19,0.7024,81.81,0.9566
2009-05-20,77600.0,993252.97,0.92,0.6,1.07,0.0,543985.19,35100.0,42500.0,449267.77,,,,,,,,,,,,,,,,,,0.48,,,,100.0,43.27,0.0,0.0,,0.0,100.0,17.99,0.7049,82.01,0.9566
2009-05-21,77600.0,962257.84,0.96,0.6,1.08,0.0,527009.77,35100.0,42500.0,435248.07,,,,,,,,,,,,,,,,,,0.49,,,,100.0,43.27,0.0,0.0,,0.0,100.0,18.9,0.6934,81.1,0.9566
2009-05-22,77600.0,963666.71,0.96,0.6,1.06,0.0,527781.38,35100.0,42500.0,435885.33,,,,,,,,,,,,,,,,,,0.48,,,,100.0,43.27,0.0,0.0,,0.0,100.0,19.23,0.6893,80.77,0.9566
2009-05-25,77600.0,959440.1,0.96,0.6,1.06,0.0,525466.55,35100.0,42500.0,433973.55,,,,,,,,,,,,,,,,,,0.48,,,,100.0,43.27,0.0,0.0,,0.0,100.0,18.85,0.6941,81.15,0.9566
2009-05-26,77600.0,963666.71,0.96,0.6,1.06,0.0,527781.38,35100.0,42500.0,435885.33,,,,,,,,,,,,,,,,,,0.48,,,,100.0,43.27,0.0,0.0,,0.0,100.0,18.78,0.695,81.22,0.9566
2009-05-27,77600.0,968597.75,0.99,0.6,1.06,0.0,530482.01,35100.0,42500.0,438115.73,,,,,,,,,,,,,,,,,,0.48,,,,100.0,43.27,0.0,0.0,,0.0,100.0,18.59,0.6973,81.41,0.9566
2009-05-28,102600.0,1251773.25,1.36,0.79,1.39,0.0,823535.03,35100.0,67500.0,428238.22,,,,0.34,,,,,25000.0,,,,0.34,,,,,0.48,,,,100.0,43.27,0.0,0.0,,0.0,100.0,48.93,0.5002,51.07,1.2647
2009-05-29,102600.0,1212655.33,1.4,0.79,1.38,0.0,797799.56,35100.0,67500.0,414855.77,,,,,,,,,,,,,,,,,,0.48,,,,100.0,43.27,0.0,0.0,,0.0,100.0,49.72,0.5,50.28,1.2647
2009-06-01,173700.0,2172841.62,2.32,1.34,2.3,1.0,1733770.0,35100.0,138600.0,439071.62,,,,0.46,,36100.0,,,35000.0,,,,0.46,,0.47,,,0.46,,,,100.0,43.27,0.0,0.0,,0.0,100.0,25.71,0.3689,48.73,2.1412
2009-06-02,173700.0,2202800.98,2.46,1.34,2.36,1.0,1757675.39,35100.0,138600.0,445125.59,,,,,,,,,,,,,,,,,,0.48,,,,100.0,43.27,0.0,0.0,,0.0,100.0,26.56,0.3662,48.11,2.1412
2009-06-03,282039.0,3517830.7,4.01,2.17,3.89,1.0,3080033.6,35100.0,246939.0,437797.11,,,,1.53,,,,,108339.0,,,,1.53,,,,,0.49,,,,100.0,43.27,0.0,0.0,,0.0,100.0,22.32,0.4755,63.74,3.4767
2009-06-04,282039.0,3525511.56,3.74,2.17,3.9,1.0,3086758.56,35100.0,246939.0,438752.99,,,,,,,,,,,,,,,,,,0.48,,,,100.0,43.27,0.0,0.0,,0.0,100.0,21.86,0.4798,64.24,3.4767
2009-06-05,272700.0,3440954.85,3.52,2.1,3.74,1.0,2998059.67,35100.0,237600.0,442895.18,,,,,,,,,,,,,,,,,9339.0,0.48,0.12,,,100.0,43.27,0.0,0.0,,0.0,100.0,19.14,0.4956,66.13,3.3616
2009-06-08,236600.0,2944633.38,2.97,1.82,3.24,1.0,2507792.17,35100.0,201500.0,436841.22,,,,,,,,,,,,,,,,,36100.0,0.49,0.5,,,100.0,43.27,0.0,0.0,,0.0,100.0,17.2,0.6447,78.3,2.9166
2009-06-09,236600.0,3036988.77,3.08,1.82,3.29,1.0,2586446.48,35100.0,201500.0,450542.29,,,,,,,,,,,,,,,,,,0.48,,,,100.0,38.97,0.0,0.0,,0.0,100.0,17.39,0.6434,78.18,2.6271
2009-06-10,236600.0,3097127.16,3.07,1.82,3.29,1.0,2637663.24,35100.0,201500.0,459463.92,,,,,,,,,,,,,,,,,,0.5,,,,100.0,38.97,0.0,0.0,,0.0,100.0,17.82,0.6373,77.69,2.6271
2009-06-11,192809.0,2537899.04,2.55,1.48,2.73,1.0,2075886.08,35100.0,157709.0,462012.96,,,,,,,,,,,,,,,,,43791.0,0.51,0.58,,,100.0,38.97,0.0,0.0,,0.0,100.0,22.5,0.5692,71.79,2.1409
2009-06-12,192809.0,2546650.41,2.33,1.48,2.77,1.0,2083044.31,35100.0,157709.0,463606.1,,,,,,,,,,,,,,,,,,0.51,,,,100.0,38.97,0.0,0.0,,0.0,100.0,23.24,0.563,71.12,2.1409
2009-06-15,192809.0,2429381.97,2.31,1.48,2.72,1.0,1987124.05,35100.0,157709.0,442257.92,,,,,,,,,,,,,,,,,,0.51,,,,100.0,36.92,0.0,0.0,,0.0,100.0,21.63,0.5774,72.61,2.0283
2009-06-16,146600.0,1875098.13,1.81,1.13,2.07,1.0,1426148.98,35100.0,111500.0,448949.14,,,,,,,,,,,,,,,,,46209.0,0.49,0.63,,,100.0,36.92,0.0,0.0,,0.0,100.0,30.69,0.4778,61.44,1.5422
2009-06-17,121600.0,1507867.95,1.47,1.0,1.7,1.0,1072619.88,35100.0,86500.0,435248.07,,,,,,,,,,,,,,,,,25000.0,0.49,0.37,,,100.0,36.92,0.0,0.0,,0.0,100.0,39.21,0.4186,50.41,1.2792
2009-06-18,85775.0,1072973.46,1.04,0.71,1.18,0.0,633901.84,35100.0,50675.0,439071.62,,,,,,,,,,,,,,,,,35825.0,0.48,0.5,,,100.0,36.92,0.0,0.0,,0.0,100.0,32.37,0.5622,67.63,0.9023
2009-06-19,85775.0,1099447.41,1.14,0.71,1.19,0.0,649542.38,35100.0,50675.0,449905.03,,,,,,,,,,,,,,,,,,0.48,,,,100.0,37.22,0.0,0.0,,0.0,100.0,31.31,0.5698,68.69,0.9095
2009-06-22,85775.0,1035598.48,1.16,0.71,1.18,0.0,611821.08,35100.0,50675.0,423777.4,,,,,,,,,,,,,,,,,,0.5,,,,100.0,38.63,0.0,0.0,,0.0,100.0,32.53,0.561,67.47,0.9441
2009-06-23,85775.0,1022361.51,1.12,0.71,1.14,0.0,604000.81,35100.0,50675.0,418360.7,,,5000.0,,,,,0.09,,5000.0,,,,5000.0,,,,0.47,,,,100.0,39.89,0.0,0.0,,0.0,100.0,32.63,0.5603,67.37,0.9748
2009-06-24,85775.0,1060515.13,1.12,0.71,1.15,0.0,626541.58,35100.0,50675.0,433973.55,,,,,,,,,,,,,,,,,,0.46,,,,100.0,39.89,0.0,0.0,,0.0,100.0,31.53,0.5682,68.47,0.9748
2009-06-25,95775.0,1184154.32,1.27,0.79,1.3,0.0,750180.77,35100.0,60675.0,433973.55,,,,,,10000.0,,,,,,,,,0.14,,,0.48,,,,100.0,39.89,0.0,0.0,,0.0,100.0,26.12,0.4238,57.28,1.0884
2009-06-26,95775.0,1176329.51,1.34,0.79,1.3,0.0,745223.63,35100.0,60675.0,431105.88,,,,,,,,,,,,,,,,,,0.48,,,,100.0,39.89,0.0,0.0,,0.0,100.0,26.76,0.4204,56.7,1.0884
2009-06-29,95775.0,1190240.28,1.32,0.79,1.31,0.0,754036.33,35100.0,60675.0,436203.96,,,,,,,,,,,,,,,,,,0.48,,,,100.0,39.89,0.0,0.0,,0.0,100.0,26.45,0.4236,57.17,1.0884
2009-06-30,95775.0,1188501.44,1.35,0.79,1.31,0.0,752934.74,35100.0,60675.0,435566.7,,,,,,,,,,,,,,,,,,0.48,,,,100.0,39.89,0.0,0.0,,0.0,100.0,26.49,0.4221,56.97,1.0884
2009-07-01,95775.0,1219800.67,1.31,0.79,1.32,0.0,772763.31,35100.0,60675.0,447037.36,,,,,,,,,,,,,,,,,,0.48,,,,100.0,39.89,0.0,0.0,,0.0,100.0,26.35,0.4256,57.43,1.0884
2009-07-02,95775.0,1188501.44,1.3,0.76,1.33,0.0,752934.74,35100.0,60675.0,435566.7,,,,,,,,,,,,,,,,,,0.49,,,,100.0,39.89,0.0,0.0,,0.0,100.0,26.57,0.4192,56.59,1.0884
2009-07-03,95775.0,1183284.9,1.21,0.76,1.32,0.0,749629.98,35100.0,60675.0,433654.92,,,,,,,,,,,,,,,,,,0.49,,,,100.0,39.89,0.0,0.0,,0.0,100.0,27.21,0.4188,56.38,1.0884
2009-07-06,151775.0,1853111.55,1.97,1.21,2.07,1.0,1424554.7,35100.0,116675.0,428556.85,,,,0.76,,,,,56000.0,,,,0.76,,,,,0.48,,,,100.0,39.89,0.0,0.0,,0.0,100.0,29.22,0.4798,62.21,1.7248
2009-07-07,151803.0,1867233.74,1.97,1.21,2.05,1.0,1435490.6,35100.0,116703.0,431743.14,,,,,,28.0,,,,,,,,,0.0,,,0.47,,,,100.0,36.45,0.0,0.0,,0.0,100.0,29.54,0.4781,61.94,1.5762
2009-07-08,151803.0,1831404.9,1.97,1.21,2.04,1.0,1407946.13,35100.0,116703.0,423458.77,,,,,,,,,,,,,,,,,,0.48,,,,100.0,36.45,0.0,0.0,,0.0,100.0,29.27,0.4783,62.06,1.5762
2009-07-09,151775.0,1853111.55,2.0,1.21,2.04,1.0,1424554.7,35100.0,116675.0,428556.85,,,,,,,,,,,,,,,,,28.0,0.48,0.0,,,100.0,36.45,0.0,0.0,,0.0,100.0,29.47,0.479,62.04,1.5759
2009-07-10,151775.0,1843467.1,1.99,1.21,2.03,1.0,1417140.66,35100.0,116675.0,426326.44,,,,,,,,,,,,,,,,,,0.47,,,,100.0,36.45,0.0,0.0,,0.0,100.0,29.6,0.4767,61.78,1.5759
2009-07-13,123868.0,1539365.01,1.71,0.99,1.67,1.0,1103161.05,35100.0,88768.0,436203.96,,,,,,,,,,,,,,,,,27907.0,0.47,0.37,,,100.0,36.45,0.0,0.0,,0.0,100.0,39.22,0.4125,49.63,1.2862
2009-07-14,105869.0,1368541.07,1.46,0.84,1.44,1.0,914812.49,35100.0,70769.0,453728.59,,,,,,,,,,,,,,,,,17999.0,0.48,0.25,,,100.0,36.45,0.0,0.0,,0.0,100.0,36.41,0.3965,49.37,1.0993
2009-07-15,105869.0,1412749.56,1.44,0.84,1.47,1.0,944364.01,35100.0,70769.0,468385.55,,,,,,,,,,,,,,,,,,0.5,,,,100.0,36.45,0.0,0.0,,0.0,100.0,36.59,0.393,48.75,1.0993
2009-07-16,105869.0,1396411.64,1.5,0.84,1.52,1.0,933442.8,35100.0,70769.0,462968.85,,,,,,,,,,,,,,,,,,0.52,,,,100.0,36.45,0.0,0.0,,0.0,100.0,35.38,0.3963,49.97,1.0993
2009-07-17,105869.0,1400255.86,1.53,0.84,1.54,1.0,936012.5,35100.0,70769.0,464243.36,,,,,,,,,,,,,,,,,,0.51,,,,100.0,47.24,0.0,0.0,,0.0,100.0,37.23,0.3955,48.69,1.4247
2009-07-20,137834.0,1896857.02,2.03,1.09,2.03,1.0,1413814.51,57100.0,102734.0,785804.2,,,,0.32,,9965.0,,,22000.0,,,,0.32,,0.14,22000.0,,0.83,,,,100.0,59.29,0.0,0.0,,0.0,100.0,34.4,0.3529,46.51,1.4312
2009-07-21,119565.0,1687770.91,1.76,0.93,1.81,1.0,1192301.85,57100.0,84465.0,806019.48,,,,,,,,,,,,,,,,,18269.0,0.85,0.27,,,100.0,59.29,0.0,0.0,,0.0,100.0,34.11,0.3221,42.14,1.2415
2009-07-22,129565.0,1785412.24,1.83,0.96,1.99,1.0,1301732.47,57100.0,94465.0,786840.88,,,,0.16,,,,,10000.0,,,,0.16,,,,,0.87,,,,100.0,59.29,0.0,0.0,,0.0,100.0,31.54,0.2888,36.39,1.3453
2009-07-23,129565.0,1846572.6,1.89,0.96,1.99,1.0,1346324.09,57100.0,94465.0,813794.59,,,,,,,,,,,,,,,,,,0.86,,,,100.0,59.29,0.0,0.0,,0.0,100.0,31.2,0.2907,37.16,1.3453
2009-07-24,109600.0,1584912.78,1.85,0.82,1.73,1.0,1077335.78,57100.0,74500.0,825716.42,,,,,,,,,,,,,,,,,19965.0,0.87,0.3,,,100.0,59.29,0.0,0.0,,0.0,100.0,40.16,0.3956,46.54,1.138
2009-07-27,89186.0,1297804.41,1.59,0.66,1.42,0.0,787041.12,36212.0,54086.0,526944.74,,,,,,474.0,,0.31,,20888.0,,,,,0.01,,20888.0,0.58,0.33,,,100.0,37.6,0.0,0.0,,0.0,100.0,18.5,0.4735,64.21,0.9261
2009-07-28,89186.0,1260562.36,1.53,0.66,1.41,0.0,764456.03,36212.0,54086.0,511823.43,,,,,,,,,,,,,,,,,,0.58,,,,100.0,37.6,0.0,0.0,,0.0,100.0,18.87,0.4645,63.24,0.9261
2009-07-29,90804.0,1294147.18,1.59,0.68,1.42,0.0,793898.66,36212.0,55704.0,516096.84,,,,0.03,,,,,1618.0,,,,0.03,,,,,0.56,,,,100.0,37.6,0.0,0.0,,0.0,100.0,17.78,0.4431,61.85,0.9429
2009-07-30,90804.0,1354320.9,1.55,0.68,1.45,0.0,830812.42,36212.0,55704.0,540093.7,,,,,,,,,,,,,,,,,,0.57,,,,100.0,37.8,0.0,0.0,,0.0,100.0,17.45,0.4541,63.02,0.9478
