,ALFUM FP Equity_DX_SI_QTY,ALFUM FP Equity_DX_SHORT_INTEREST_VALUE,ALFUM FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALFUM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALFUM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALFUM FP Equity_DX_SI_MV,ALFUM FP Equity_DX_DSS,ALFUM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALFUM FP Equity_DX_SUPPLY_SI_QTY,ALFUM FP Equity_DX_BROKER_SI_QTY,ALFUM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALFUM FP Equity_DX_BROKER_SI_QTY_ADD,ALFUM FP Equity_DX_SUPPLY_SI_MV_DEC,ALFUM FP Equity_DX_SUPPLY_SI_QTY_DEC,ALFUM FP Equity_DX_BROKER_SI_MV_ADD,ALFUM FP Equity_DX_SUPPLY_SI_QTY_ADD,ALFUM FP Equity_DX_BROKER_SI_QTY_DEC,ALFUM FP Equity_DX_SUPPLY_SI_MV,ALFUM FP Equity_DX_BROKER_SI_MV_DEC,ALFUM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALFUM FP Equity_DX_UTILIZATION_QUANTITY,ALFUM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALFUM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALFUM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALFUM FP Equity_DX_ACTIVE_UTILIZATION_MV,ALFUM FP Equity_DX_BROKER_SI_CON_RATIO,ALFUM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALFUM FP Equity_DX_DEMAND_SUPPLY_RATIO,ALFUM FP Equity_PX_LAST
2023-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.52
2023-04-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,900.0,4986.0,0.01,0.0,0.0,,0.0,5.54
2023-04-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,900.0,5004.0,0.01,0.0,0.0,,0.0,5.56
2023-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.52
2023-05-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,900.0,4968.0,0.01,0.0,0.0,,0.0,5.52
2023-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56
2023-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.58
2023-05-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,900.0,5022.0,0.01,0.0,0.0,,0.0,5.58
2023-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.58
2023-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.58
2023-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56
2023-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
2023-05-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,900.0,5058.0,0.01,0.0,0.0,,0.0,5.62
2023-05-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,900.0,5004.0,0.01,0.0,0.0,,0.0,5.56
2023-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2023-05-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,900.0,4950.0,0.01,0.0,0.0,,0.0,5.5
2023-05-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,900.0,4950.0,0.01,0.0,0.0,,0.0,5.5
2023-05-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,5520.0,0.01,0.0,0.0,,0.0,5.52
2023-05-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,1000.0,5500.0,0.01,0.0,0.0,,0.0,5.5
2023-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.68
2023-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.66
2023-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.66
2023-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.68
2023-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.66
2023-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.66
2023-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.68
2023-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.74
2023-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.86
2023-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.92
2023-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.92
2023-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.16
2023-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.04
2023-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.04
2023-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08
2023-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2023-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2023-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12
2023-06-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,5040.0,0.0,0.0,0.0,,0.0,6.3
2023-06-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,5040.0,0.01,0.0,0.0,,0.0,6.3
2023-06-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,5024.0,0.01,0.0,0.0,,0.0,6.28
2023-06-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,5024.0,0.01,0.0,0.0,,0.0,6.28
2023-06-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,5024.0,0.01,0.0,0.0,,0.0,6.28
2023-06-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,5040.0,0.01,0.0,0.0,,0.0,6.3
2023-06-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,5008.0,0.01,0.0,0.0,,0.0,6.26
2023-06-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4928.0,0.01,0.0,0.0,,0.0,6.16
2023-06-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4848.0,0.01,0.0,0.0,,0.0,6.06
2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4816.0,0.01,0.0,0.0,,0.0,6.02
2023-07-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4800.0,0.0,0.0,0.0,,0.0,6.0
2023-07-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4816.0,0.0,0.0,0.0,,0.0,6.02
2023-07-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4784.0,0.0,0.0,0.0,,0.0,5.98
2023-07-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4928.0,0.0,0.0,0.0,,0.0,6.16
2023-07-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4992.0,0.0,0.0,0.0,,0.0,6.24
2023-07-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4992.0,0.01,0.0,0.0,,0.0,6.24
2023-07-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,300.0,1878.0,0.0,0.0,0.0,,0.0,6.26
2023-07-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4976.0,0.01,0.0,0.0,,0.0,6.22
2023-07-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4944.0,0.01,0.0,0.0,,0.0,6.18
2023-07-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4944.0,0.01,0.0,0.0,,0.0,6.18
2023-07-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4944.0,0.0,0.0,0.0,,0.0,6.18
2023-07-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4944.0,0.0,0.0,0.0,,0.0,6.18
2023-07-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4928.0,0.0,0.0,0.0,,0.0,6.16
2023-07-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4944.0,0.0,0.0,0.0,,0.0,6.18
2023-07-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4928.0,0.0,0.0,0.0,,0.0,6.16
2023-07-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4944.0,0.0,0.0,0.0,,0.0,6.18
2023-07-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4928.0,0.0,0.0,0.0,,0.0,6.16
2023-07-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4928.0,0.0,0.0,0.0,,0.0,6.16
2023-07-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4944.0,0.0,0.0,0.0,,0.0,6.18
2023-07-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4944.0,0.0,0.0,0.0,,0.0,6.18
2023-07-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4880.0,0.0,0.0,0.0,,0.0,6.1
2023-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4848.0,0.0,0.0,0.0,,0.0,6.06
2023-08-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4736.0,0.0,0.0,0.0,,0.0,5.92
2023-08-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4720.0,0.0,0.0,0.0,,0.0,5.9
2023-08-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4768.0,0.0,0.0,0.0,,0.0,5.96
2023-08-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4736.0,0.0,0.0,0.0,,0.0,5.92
2023-08-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4736.0,0.0,0.0,0.0,,0.0,5.92
2023-08-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4752.0,0.0,0.0,0.0,,0.0,5.94
2023-08-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4752.0,0.0,0.0,0.0,,0.0,5.94
2023-08-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4864.0,0.0,0.0,0.0,,0.0,6.08
2023-08-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4896.0,0.0,0.0,0.0,,0.0,6.12
2023-08-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4928.0,0.0,0.0,0.0,,0.0,6.16
2023-08-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4928.0,0.0,0.0,0.0,,0.0,6.16
2023-08-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4992.0,0.0,0.0,0.0,,0.0,6.24
2023-08-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,5024.0,0.0,0.0,0.0,,0.0,6.28
2023-08-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,600.0,3708.0,0.0,0.0,0.0,,0.0,6.18
2023-08-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4976.0,0.0,0.0,0.0,,0.0,6.22
2023-08-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4960.0,0.01,0.0,0.0,,0.0,6.2
2023-08-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,5008.0,0.01,0.0,0.0,,0.0,6.26
2023-08-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,5008.0,0.01,0.0,0.0,,0.0,6.26
2023-08-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4736.0,0.01,0.0,0.0,,0.0,5.92
2023-08-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4880.0,0.01,0.0,0.0,,0.0,6.1
2023-08-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4784.0,0.01,0.0,0.0,,0.0,5.98
2023-08-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4704.0,0.0,0.0,0.0,,0.0,5.88
2023-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4720.0,0.0,0.0,0.0,,0.0,5.9
2023-09-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4752.0,0.0,0.0,0.0,,0.0,5.94
2023-09-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4784.0,0.0,0.0,0.0,,0.0,5.98
2023-09-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4784.0,0.0,0.0,0.0,,0.0,5.98
2023-09-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4784.0,0.0,0.0,0.0,,0.0,5.98
2023-09-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,4880.0,0.0,0.0,0.0,,0.0,6.1
2023-09-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,5280.0,0.0,0.0,0.0,,0.0,6.6
2023-09-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,5200.0,0.01,0.0,0.0,,0.0,6.5
2023-09-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,5760.0,0.01,0.0,0.0,,0.0,7.2
2023-09-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,5920.0,0.01,0.0,0.0,,0.0,7.4
2023-09-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,5776.0,0.01,0.0,0.0,,0.0,7.22
2023-09-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,5824.0,0.01,0.0,0.0,,0.0,7.28
2023-09-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,5776.0,0.01,0.0,0.0,,0.0,7.22
2023-09-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,5920.0,0.01,0.0,0.0,,0.0,7.4
2023-09-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,5856.0,0.01,0.0,0.0,,0.0,7.32
2023-09-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,5904.0,0.01,0.0,0.0,,0.0,7.38
2023-09-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,5952.0,0.01,0.0,0.0,,0.0,7.44
2023-09-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,5936.0,0.01,0.0,0.0,,0.0,7.42
2023-09-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,5936.0,0.01,0.0,0.0,,0.0,7.42
2023-09-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,6176.0,0.01,0.0,0.0,,0.0,7.72
2023-09-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,6464.0,0.01,0.0,0.0,,0.0,8.08
2023-10-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,600.0,5352.0,0.0,0.0,0.0,,0.0,8.92
2023-10-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,200.0,1784.0,0.0,0.0,0.0,,0.0,8.92
2023-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9
2023-10-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,6880.0,0.01,0.0,0.0,,0.0,8.6
2023-10-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,6880.0,0.01,0.0,0.0,,0.0,8.6
2023-10-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,800.0,6736.0,0.01,0.0,0.0,,0.0,8.42
2023-10-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,834.0,0.0,0.0,0.0,,0.0,8.34
2023-10-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,836.0,0.0,0.0,0.0,,0.0,8.36
2023-10-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,838.0,0.0,0.0,0.0,,0.0,8.38
2023-10-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,838.0,0.0,0.0,0.0,,0.0,8.38
2023-10-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,836.0,0.0,0.0,0.0,,0.0,8.36
2023-10-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,836.0,0.0,0.0,0.0,,0.0,8.36
2023-10-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,752.0,0.0,0.0,0.0,,0.0,7.52
2023-10-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,748.0,0.0,0.0,0.0,,0.0,7.48
2023-10-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,750.0,0.0,0.0,0.0,,0.0,7.5
2023-10-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,760.0,0.0,0.0,0.0,,0.0,7.6
2023-10-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,774.0,0.0,0.0,0.0,,0.0,7.74
2023-10-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,780.0,0.0,0.0,0.0,,0.0,7.8
2023-10-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,782.0,0.0,0.0,0.0,,0.0,7.82
2023-10-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,782.0,0.0,0.0,0.0,,0.0,7.82
2023-10-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,782.0,0.0,0.0,0.0,,0.0,7.82
2023-10-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,782.0,0.0,0.0,0.0,,0.0,7.82
2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,784.0,0.0,0.0,0.0,,0.0,7.84
2023-11-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,784.0,0.0,0.0,0.0,,0.0,7.84
2023-11-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,780.0,0.0,0.0,0.0,,0.0,7.8
2023-11-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,774.0,0.0,0.0,0.0,,0.0,7.74
2023-11-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,774.0,0.0,0.0,0.0,,0.0,7.74
2023-11-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,774.0,0.0,0.0,0.0,,0.0,7.74
2023-11-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,774.0,0.0,0.0,0.0,,0.0,7.74
2023-11-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,776.0,0.0,0.0,0.0,,0.0,7.76
2023-11-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,778.0,0.0,0.0,0.0,,0.0,7.78
2023-11-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,774.0,0.0,0.0,0.0,,0.0,7.74
2023-11-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,778.0,0.0,0.0,0.0,,0.0,7.78
2023-11-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,776.0,0.0,0.0,0.0,,0.0,7.76
2023-11-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,776.0,0.0,0.0,0.0,,0.0,7.76
2023-11-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,772.0,0.0,0.0,0.0,,0.0,7.72
2023-11-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,772.0,0.0,0.0,0.0,,0.0,7.72
2023-11-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,772.0,0.0,0.0,0.0,,0.0,7.72
2023-11-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,772.0,0.0,0.0,0.0,,0.0,7.72
2023-11-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,770.0,0.0,0.0,0.0,,0.0,7.7
