,ELCR FP Equity_PX_LAST
2025-03-31,16.349
2025-04-01,16.533
2025-04-02,16.933
2025-04-03,15.53
2025-04-04,14.489
2025-04-07,14.167
2025-04-08,14.974
2025-04-09,14.214
2025-04-10,15.094
2025-04-11,14.728
2025-04-14,15.251
2025-04-15,15.566
2025-04-16,15.149
2025-04-17,15.191
2025-04-22,15.129
2025-04-23,15.685
2025-04-24,15.967
2025-04-25,16.462
2025-04-28,16.215
2025-04-29,16.451
2025-04-30,16.141
2025-05-02,16.77
2025-05-05,16.666
2025-05-06,16.567
2025-05-07,16.692
2025-05-08,17.126
2025-05-09,17.252
2025-05-12,18.315
2025-05-13,18.648
2025-05-14,18.557
2025-05-15,18.579
2025-05-16,18.772
2025-05-19,18.49
2025-05-20,18.68
2025-05-21,18.512
2025-05-22,18.493
2025-05-23,18.079
2025-05-26,18.256
2025-05-27,18.501
2025-05-28,18.616
2025-05-29,18.52
2025-05-30,18.486
2025-06-02,17.883
2025-06-03,18.026
2025-06-04,17.875
2025-06-05,18.289
2025-06-06,18.041
2025-06-09,18.147
2025-06-10,18.3
2025-06-11,18.437
2025-06-12,18.284
2025-06-13,17.898
2025-06-16,18.065
2025-06-17,17.92
2025-06-18,18.02
2025-06-19,17.753
2025-06-20,17.712
2025-06-23,17.857
2025-06-24,18.011
2025-06-25,17.988
2025-06-26,18.34
2025-06-27,18.533
2025-06-30,18.334
2025-07-01,17.994
2025-07-02,18.603
2025-07-03,18.83
2025-07-04,18.308
2025-07-07,18.41
2025-07-08,18.519
2025-07-09,18.596
2025-07-10,18.966
2025-07-11,18.748
2025-07-14,18.733
2025-07-15,18.968
2025-07-16,18.738
2025-07-17,19.225
2025-07-18,19.174
2025-07-21,19.266
2025-07-22,19.088
2025-07-23,19.64
2025-07-24,19.438
2025-07-25,19.427
2025-07-28,19.591
2025-07-29,19.448
2025-07-30,19.83
2025-07-31,19.613
2025-08-01,18.893
2025-08-04,19.146
2025-08-05,19.183
2025-08-06,19.395
2025-08-07,19.216
2025-08-08,19.609
2025-08-11,19.87
2025-08-12,19.999
2025-08-13,19.765
2025-08-14,19.731
2025-08-15,19.776
2025-08-18,19.942
2025-08-19,20.005
2025-08-20,19.524
2025-08-21,19.674
2025-08-22,19.853
2025-08-25,20.172
2025-08-26,20.029
2025-08-27,20.104
2025-08-28,20.094
2025-08-29,19.702
