,ALPJT FP Equity_DX_SI_QTY,ALPJT FP Equity_DX_SHORT_INTEREST_VALUE,ALPJT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALPJT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALPJT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALPJT FP Equity_DX_SI_MV,ALPJT FP Equity_DX_DSS,ALPJT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALPJT FP Equity_DX_SUPPLY_SI_QTY,ALPJT FP Equity_DX_BROKER_SI_QTY,ALPJT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALPJT FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALPJT FP Equity_DX_BROKER_SI_MV_INC_x,ALPJT FP Equity_DX_BROKER_SI_QTY_ADD,ALPJT FP Equity_DX_SUPPLY_SI_MV_DEC,ALPJT FP Equity_DX_BROKER_SI_QTY_INC,ALPJT FP Equity_DX_SUPPLY_SI_QTY_DEC,ALPJT FP Equity_DX_BROKER_SI_MV_INC_y,ALPJT FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALPJT FP Equity_DX_BROKER_SI_MV_ADD,ALPJT FP Equity_DX_SUPPLY_SI_QTY_ADD,ALPJT FP Equity_DX_BROKER_SI_QTY_DEC,ALPJT FP Equity_DX_SUPPLY_SI_MV,ALPJT FP Equity_DX_BROKER_SI_MV_DEC,ALPJT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALPJT FP Equity_DX_UTILIZATION_QUANTITY,ALPJT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALPJT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALPJT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALPJT FP Equity_DX_ACTIVE_UTILIZATION_MV,ALPJT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALPJT FP Equity_DX_BROKER_SI_CON_RATIO,ALPJT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALPJT FP Equity_DX_DEMAND_SUPPLY_RATIO
2022-08-19,800.0,80000.0,0.13,2.24,0.04,0.08,0.0,40000.0,400.0,400.0,40000.0,,,,,,,,,,,,0.04,,100.0,74.91,0.0,0.0,0.0,100.0,25.47,0.6204,74.53,1.4981
2022-08-22,800.0,79200.0,0.13,2.13,0.04,0.08,0.0,39600.0,400.0,400.0,39600.0,,,,,,,,,,,,0.04,,100.0,74.91,0.0,0.0,0.0,100.0,25.47,0.6204,74.53,1.4981
2022-08-23,200.0,20200.0,0.03,0.53,0.01,0.02,0.0,10100.0,100.0,100.0,10100.0,,,,0.03,,300.0,,,,,300.0,0.01,0.03,100.0,42.74,0.0,0.0,0.0,100.0,,1.0,100.0,0.8547
2022-08-24,216.0,21492.0,0.04,0.57,0.01,0.02,0.0,11542.0,116.0,116.0,11542.0,16.0,,16.0,,,,,16.0,0.0,,,0.01,,100.0,46.4,0.0,0.0,0.0,100.0,7.24,0.8657,92.76,0.864
2022-08-25,216.0,21384.0,0.04,0.56,0.01,0.02,0.0,11484.0,116.0,116.0,11484.0,,,,,,,,,,,,0.01,,100.0,46.4,0.0,0.0,0.0,100.0,7.24,0.8657,92.76,0.864
2022-08-26,216.0,20412.0,0.04,0.57,0.01,0.02,0.0,10962.0,116.0,116.0,10962.0,,,,,,,,,,,,0.01,,100.0,46.4,0.0,0.0,0.0,100.0,7.24,0.8657,92.76,0.864
2022-08-29,216.0,20520.0,0.04,0.54,0.01,0.02,0.0,11020.0,116.0,116.0,11020.0,,,,,,,,,,,,0.01,,100.0,46.4,0.0,0.0,0.0,100.0,7.24,0.8657,92.76,0.864
2022-08-30,216.0,20520.0,0.04,0.55,0.01,0.02,0.0,11020.0,116.0,116.0,11020.0,,,,,,,,,,,,0.01,,100.0,46.4,0.0,0.0,0.0,100.0,7.24,0.8657,92.76,0.864
2022-08-31,216.0,20412.0,0.04,0.56,0.01,0.02,0.0,10962.0,116.0,116.0,10962.0,,,,,,,,,,,,0.01,,100.0,46.4,0.0,0.0,0.0,100.0,7.24,0.8657,92.76,0.864
2022-09-01,216.0,20196.0,0.04,0.57,0.01,0.02,0.0,10846.0,116.0,116.0,10846.0,,,,,,,,,,,,0.01,,100.0,46.4,0.0,0.0,0.0,100.0,7.24,0.8657,92.76,0.864
2022-09-02,200.0,19000.0,0.03,0.53,0.01,0.02,0.0,9500.0,100.0,100.0,9500.0,,,,0.0,,16.0,,,,,16.0,0.01,0.0,100.0,40.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.8
2022-09-05,200.0,18700.0,0.03,0.53,0.01,0.02,0.0,9350.0,100.0,100.0,9350.0,,,,,,,,,,,,0.01,,100.0,42.74,0.0,0.0,0.0,100.0,,1.0,100.0,0.8547
2022-09-06,200.0,19200.0,0.03,0.42,0.01,0.02,0.0,9600.0,100.0,100.0,9600.0,,,,,,,,,,,,0.01,,100.0,42.74,0.0,0.0,0.0,100.0,,1.0,100.0,0.8547
2022-09-07,200.0,19100.0,0.03,0.42,0.01,0.02,0.0,9550.0,100.0,100.0,9550.0,,,,,,,,,,,,0.01,,100.0,42.74,0.0,0.0,0.0,100.0,,1.0,100.0,0.8547
2022-09-08,200.0,19000.0,0.03,0.42,0.01,0.02,0.0,9500.0,100.0,100.0,9500.0,,,,,,,,,,,,0.01,,100.0,42.74,0.0,0.0,0.0,100.0,,1.0,100.0,0.8547
2022-09-09,200.0,18900.0,0.03,0.43,0.01,0.02,0.0,9450.0,100.0,100.0,9450.0,,,,,,,,,,,,0.01,,100.0,42.74,0.0,0.0,0.0,100.0,,1.0,100.0,0.8547
2022-09-12,200.0,18900.0,0.03,0.44,0.01,0.02,0.0,9450.0,100.0,100.0,9450.0,,,,,,,,,,,,0.01,,100.0,42.74,0.0,0.0,0.0,100.0,,1.0,100.0,0.8547
2022-09-13,200.0,18700.0,0.03,0.46,0.01,0.02,0.0,9350.0,100.0,100.0,9350.0,,,,,,,,,,,,0.01,,100.0,42.74,0.0,0.0,0.0,100.0,,1.0,100.0,0.8547
2022-09-14,200.0,19000.0,0.03,0.42,0.01,0.02,0.0,9500.0,100.0,100.0,9500.0,,,,,,,,,,,,0.01,,100.0,42.74,0.0,0.0,0.0,100.0,,1.0,100.0,0.8547
2022-09-15,200.0,19300.0,0.03,0.44,0.01,0.02,0.0,9650.0,100.0,100.0,9650.0,,,,,,,,,,,,0.01,,100.0,42.74,0.0,0.0,0.0,100.0,,1.0,100.0,0.8547
2022-09-16,200.0,19300.0,0.03,0.43,0.01,0.02,0.0,9650.0,100.0,100.0,9650.0,,,,,,,,,,,,0.01,,100.0,42.74,0.0,0.0,0.0,100.0,,1.0,100.0,0.8547
2022-09-19,200.0,18200.0,0.03,0.43,0.01,0.02,0.0,9100.0,100.0,100.0,9100.0,,,,,,,,,,,,0.01,,100.0,42.74,0.0,0.0,0.0,100.0,,1.0,100.0,0.8547
2022-09-20,200.0,17300.0,0.03,0.42,0.01,0.02,0.0,8650.0,100.0,100.0,8650.0,,,,,,,,,,,,0.01,,100.0,42.74,0.0,0.0,0.0,100.0,,1.0,100.0,0.8547
2022-09-21,250.0,22000.0,0.04,0.49,0.01,0.02,0.0,8800.0,150.0,100.0,13200.0,50.0,,,,,,,50.0,,,,0.01,,100.0,52.82,0.0,0.0,0.0,100.0,19.61,0.6847,80.39,0.8803
2022-09-22,250.0,21750.0,0.04,0.49,0.01,0.02,0.0,8700.0,150.0,100.0,13050.0,,,,,,,,,,,,0.01,,100.0,48.54,0.0,0.0,0.0,100.0,19.61,0.6847,80.39,0.8091
2022-09-23,250.0,22000.0,0.04,0.5,0.01,0.02,0.0,8800.0,150.0,100.0,13200.0,,,,,,,,,,,,0.01,,100.0,48.54,0.0,0.0,0.0,100.0,19.61,0.6847,80.39,0.8091
2022-09-26,250.0,20769.5,0.04,0.52,0.01,0.02,0.0,8307.8,150.0,100.0,12461.7,,,,,,,,,,,,0.01,,100.0,48.54,0.0,0.0,0.0,100.0,19.61,0.6847,80.39,0.8091
2022-09-27,250.0,20274.99,0.04,0.52,0.01,0.02,0.0,8110.0,150.0,100.0,12165.0,,,,,,,,,,,,0.01,,100.0,48.54,0.0,0.0,0.0,100.0,19.61,0.6847,80.39,0.8091
2022-09-28,250.0,20625.0,0.04,0.52,0.01,0.02,0.0,8250.0,150.0,100.0,12375.0,,,,,,,,,,,,0.01,,100.0,48.54,0.0,0.0,0.0,100.0,19.61,0.6847,80.39,0.8091
2022-09-29,250.0,21625.0,0.04,0.52,0.01,0.02,0.0,8650.0,150.0,100.0,12975.0,,,,,,,,,,,,0.01,,100.0,48.54,0.0,0.0,0.0,100.0,19.61,0.6847,80.39,0.8091
2022-09-30,200.0,17900.0,0.03,0.4,0.01,0.02,0.0,8950.0,100.0,100.0,8950.0,,,,0.0,,50.0,,,,,,0.01,,100.0,32.36,0.0,0.0,0.0,100.0,,1.0,100.0,0.6472
2022-10-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.01,,100.0,,,,,100.0,0.0,0.01,0.0,0.0,309.0,27810.0,0.03,0.0,,0.0,,0.0
2022-10-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,159.0,14310.0,0.01,0.0,,0.0,,0.0
2022-10-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,159.0,3879.6,0.01,0.0,,0.0,,0.0
2022-10-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,159.0,4006.8,0.0,0.0,,0.0,,0.0
2022-10-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,605.0,15125.0,0.02,0.0,,0.0,,0.0
2022-10-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,688.0,16787.2,0.02,0.0,,0.0,,0.0
2022-10-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,688.0,16787.2,0.02,0.0,,0.0,,0.0
2022-10-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,688.0,16787.2,0.02,0.0,,0.0,,0.0
2022-10-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,688.0,16924.8,0.02,0.0,,0.0,,0.0
2022-10-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,688.0,17200.0,0.02,0.0,,0.0,,0.0
2022-10-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,688.0,17062.4,0.02,0.0,,0.0,,0.0
2022-10-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,688.0,16787.2,0.02,0.0,,0.0,,0.0
2022-10-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,688.0,16787.2,0.02,0.0,,0.0,,0.0
