,JPN FP Equity_DX_SI_QTY,JPN FP Equity_DX_SHORT_INTEREST_VALUE,JPN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,JPN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,JPN FP Equity_DX_SI_MV,JPN FP Equity_DX_DSS,JPN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,JPN FP Equity_DX_SUPPLY_SI_QTY,JPN FP Equity_DX_BROKER_SI_QTY,JPN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,JPN FP Equity_DX_BROKER_SI_MV_NEW_x,JPN FP Equity_DX_SUPPLY_SI_QTY_NEW_x,JPN FP Equity_DX_SUPPLY_SI_QTY_INC_x,JPN FP Equity_DX_BROKER_SI_MV_INC_x,JPN FP Equity_DX_SUPPLY_SI_MV_NEW,JPN FP Equity_DX_BROKER_SI_QTY_ADD,JPN FP Equity_DX_BROKER_SI_QTY_NEW,JPN FP Equity_DX_SUPPLY_SI_MV_DEC,JPN FP Equity_DX_BROKER_SI_QTY_INC,JPN FP Equity_DX_SUPPLY_SI_QTY_DEC,JPN FP Equity_DX_BROKER_SI_MV_NEW_y,JPN FP Equity_DX_SUPPLY_SI_QTY_NEW_y,JPN FP Equity_DX_BROKER_SI_MV_INC_y,JPN FP Equity_DX_SUPPLY_SI_QTY_INC_y,JPN FP Equity_DX_BROKER_SI_MV_ADD,JPN FP Equity_DX_SUPPLY_SI_QTY_ADD,JPN FP Equity_DX_BROKER_SI_QTY_DEC,JPN FP Equity_DX_SUPPLY_SI_MV,JPN FP Equity_DX_BROKER_SI_MV_DEC,JPN FP Equity_DX_SUPPLY_SI_MV_RMV,JPN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,JPN FP Equity_DX_UTILIZATION_QUANTITY,JPN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,JPN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,JPN FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,JPN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,JPN FP Equity_DX_ACTIVE_UTILIZATION_MV,JPN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,JPN FP Equity_DX_BROKER_SI_CON_RATIO,JPN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,JPN FP Equity_DX_DEMAND_SUPPLY_RATIO
2011-07-28,63100.0,4264054.62,2.81,1.08,4.89,,4169448.02,1400.0,61700.0,94606.6,,,,,,,,,,,,,,,,,,0.11,,,100.0,1.51,0.0,0.0,,0.0,100.0,12.62,0.7592,86.2,0.6798
2011-07-29,63100.0,4230392.48,2.79,1.08,4.86,,4136532.74,1400.0,61700.0,93859.74,,,,,,,,,,,,,,,,,,0.11,,,100.0,1.51,0.0,0.0,,0.0,100.0,12.7,0.7576,86.1,0.6798
2011-08-01,53100.0,3577147.98,2.26,0.91,4.11,,3482835.23,1400.0,51700.0,94312.75,,,,,,,,,,,,,,,,,10000.0,0.11,0.79,,100.0,1.51,0.0,0.0,,0.0,100.0,15.09,0.7202,83.5,0.5721
2011-08-02,53100.0,3566002.77,2.18,0.91,4.09,,3471983.86,1400.0,51700.0,94018.91,,,,,,,,,,,,,,,,,,0.11,,,100.0,1.51,0.0,0.0,,0.0,100.0,15.06,0.7204,83.52,0.5721
2011-08-03,28800.0,1898085.91,1.12,0.49,2.19,,1805817.84,1400.0,27400.0,92268.06,,,,,,,,,,,,,,,,,24300.0,0.11,1.87,,100.0,1.51,0.0,0.0,,0.0,100.0,28.39,0.556,68.89,0.3103
2011-08-04,28800.0,1836881.71,1.07,0.49,2.13,,1747588.84,1400.0,27400.0,89292.86,,,,,,,,,,,,,,,,,,0.11,,,100.0,1.51,0.0,0.0,,0.0,100.0,29.05,0.5506,68.22,0.3103
2011-08-05,28800.0,1813206.01,1.04,0.49,2.12,,1725064.05,1400.0,27400.0,88141.96,,,,,,,,,,,,,,,,,,0.1,,,100.0,1.51,0.0,0.0,,0.0,100.0,29.33,0.5492,68.0,0.3103
2011-08-08,28800.0,1777692.45,1.02,0.49,2.08,,1691276.85,1400.0,27400.0,86415.61,,,,,,,,,,,,,,,,,,0.1,,,100.0,1.51,0.0,0.0,,0.0,100.0,29.74,0.546,67.59,0.3103
2011-08-09,28800.0,1798849.46,0.9,0.51,2.12,,1711405.39,1400.0,27400.0,87444.07,,,,,,,,,,,,,,,,,,0.1,,,100.0,1.51,0.0,0.0,,0.0,100.0,29.52,0.5487,67.89,0.3103
2011-08-10,23474.0,1439088.84,0.73,0.41,1.71,,1353260.93,1400.0,22074.0,85827.91,,,,,,4674.0,,,,,,,,,0.33,,10000.0,0.1,0.74,,100.0,1.51,0.0,0.0,,0.0,100.0,36.7,0.333,39.24,0.2529
2011-08-11,23474.0,1457565.02,0.66,0.41,1.71,,1370635.18,1400.0,22074.0,86929.84,,,,,,,,,,,,,,,,,,0.1,,,100.0,1.51,0.0,0.0,,0.0,100.0,36.66,0.3348,39.71,0.2529
2011-08-12,31474.0,1973574.77,0.91,0.55,2.3,,1885787.87,1400.0,30074.0,87786.89,,,,0.58,,,,,8000.0,,,,0.58,,,,,0.1,,,100.0,1.51,0.0,0.0,,0.0,100.0,26.9,0.4048,55.58,0.3391
2011-08-15,31474.0,1943296.77,0.87,0.55,2.28,,1856856.68,1400.0,30074.0,86440.09,,,,,,,,,,,,,,,,,,0.1,,,100.0,1.51,0.0,0.0,,0.0,100.0,27.13,0.402,55.18,0.3391
2011-08-16,27974.0,1733801.96,0.83,0.49,2.03,,1647031.29,1400.0,26574.0,86770.67,,,,,,,,,,,,,,,,,3500.0,0.1,0.25,,100.0,1.51,0.0,0.0,,0.0,100.0,30.56,0.4855,62.41,0.3014
2011-08-17,26800.0,1661976.07,0.74,0.47,1.95,,1575156.43,1400.0,25400.0,86819.65,,,,,,,,,,,,,,,,,1174.0,0.1,0.08,,100.0,1.51,0.0,0.0,,0.0,100.0,31.94,0.5285,65.25,0.2887
2011-08-18,37800.0,2274378.42,1.07,0.66,2.66,,2190142.18,1400.0,36400.0,84236.24,,,,0.75,,,,,11000.0,,,,0.75,,,,,0.1,,,100.0,1.51,0.0,0.0,,0.0,100.0,45.65,0.4825,52.31,0.4073
2011-08-19,48800.0,2942636.24,1.34,0.85,3.42,,2858216.35,1400.0,47400.0,84419.89,,,,0.77,,,,,11000.0,,,,0.77,,,,,0.1,,,100.0,1.51,0.0,0.0,,0.0,100.0,40.35,0.5009,58.13,0.5258
2011-08-22,104800.0,6260774.41,2.91,1.82,7.19,,4504412.12,29400.0,75400.0,1756362.29,,,,1.89,,,,,28000.0,,,,1.89,,,28000.0,,2.03,,,75.91,31.68,9332.0,557495.68,,0.64,75.9,27.26,0.3971,53.82,1.1291
2011-08-23,104800.0,6296518.84,2.96,1.82,7.21,,4530129.01,29400.0,75400.0,1766389.83,,,,,,,,,,,,,,,,,,2.0,,,75.91,31.68,9332.0,560678.57,,0.64,75.91,26.82,0.3988,54.15,1.1291
2011-08-24,104800.0,6251609.17,2.99,1.89,7.19,,4497818.05,29400.0,75400.0,1753791.12,,,,,,,,,,,,,,,,,,2.02,,,75.91,31.68,9332.0,556679.55,,0.64,75.91,27.08,0.3971,53.86,1.1291
2011-08-25,104800.0,6236944.79,3.0,2.04,7.18,,4487267.53,29400.0,75400.0,1749677.26,,,,,,,,,,,,,,,,,,2.01,,,75.91,55.88,9332.0,555373.75,,0.64,75.9,27.04,0.397,53.85,1.9918
2011-08-26,114800.0,6913395.36,3.32,2.26,7.89,,5142891.67,29400.0,85400.0,1770503.69,,,,,,10000.0,,,,,,,,,0.68,,,1.99,,,75.91,55.88,9332.0,561984.37,,0.63,75.92,16.75,0.5812,73.86,2.1818
2011-08-29,124800.0,7527613.26,3.54,2.45,8.6,,5754281.29,29400.0,95400.0,1773331.97,,,,,,10000.0,,,,,,,,,0.69,,,2.01,,,75.91,55.88,9332.0,562882.11,,0.64,75.92,22.45,0.2935,45.44,2.3719
2011-08-30,124800.0,7596373.54,3.64,2.45,8.65,,5806843.23,29400.0,95400.0,1789530.3,,,,,,,,,,,,,,,,,,2.04,,,75.91,55.88,9332.0,568023.7,,0.65,75.9,22.76,0.2929,45.25,2.3719
2011-08-31,124800.0,7778642.85,3.65,2.45,8.81,,5946174.1,29400.0,95400.0,1832468.75,,,,,,,,,,,,,,,,,,2.05,,,75.91,55.88,9332.0,581653.01,,0.65,75.9,22.39,0.2954,45.69,2.3719
2011-09-01,114800.0,7170413.83,2.97,2.26,8.2,,5334088.34,29400.0,85400.0,1836325.49,,,,,,,,,,,,,,,,,10000.0,2.11,0.7,,75.91,55.88,9332.0,582877.19,,0.67,75.9,24.8,0.3391,49.23,2.1818
2011-09-02,104600.0,6433610.87,2.75,2.06,7.43,,4625311.06,29400.0,75200.0,1808299.8,,,,,,,,,,,,,,,,,10200.0,2.1,0.73,,75.91,55.88,9332.0,573981.42,,0.67,75.89,27.36,0.3974,53.72,1.988
2011-09-05,104600.0,6343962.94,2.66,2.01,7.34,,4560860.55,29400.0,75200.0,1783102.39,,,,,,,,,,,,,,,,,,2.08,,,75.91,55.88,9332.0,565983.39,,0.66,75.9,27.36,0.396,53.53,1.988
2011-09-06,104600.0,6332985.64,2.58,2.01,7.29,,4552968.65,29400.0,75200.0,1780017.0,,,,,,,,,,,,,,,,,,2.06,,,75.91,55.88,9332.0,565004.03,,0.65,75.9,27.25,0.3991,53.99,1.988
2011-09-07,104600.0,6445502.94,2.59,2.0,7.36,,4633860.62,29400.0,75200.0,1811642.32,,,,,,,,,,,,,,,,,,2.03,,,75.91,55.88,9332.0,575042.38,,0.64,75.91,26.64,0.4017,54.49,1.988
2011-09-08,110000.0,6794607.57,2.77,2.1,7.78,,4811817.54,32100.0,77900.0,1982790.03,,,2700.0,0.18,,,,,2700.0,,,,0.18,2700.0,,,,2.28,,,63.78,61.01,18232.0,1126175.32,,1.29,63.87,26.54,0.389,52.65,2.0906
2011-09-09,110000.0,6801341.57,2.64,2.1,7.82,,4816586.44,32100.0,77900.0,1984755.13,,,,,,,,,,,,,,,,,,2.31,,,63.78,61.01,18232.0,1127291.45,,1.3,63.97,26.87,0.3883,52.48,2.0906
2011-09-12,110136.0,6801081.8,2.69,2.11,7.83,,4818853.23,32100.0,78036.0,1982228.57,,,,,,136.0,,,,,,,,,0.01,,,2.29,,,63.78,61.01,18232.0,1125856.43,,1.3,63.8,26.45,0.3885,52.68,2.0932
2011-09-13,138136.0,8677512.14,3.3,2.64,9.87,,6661034.61,32100.0,106036.0,2016477.53,,,,2.08,,,,,28000.0,,,,2.08,,,,,2.25,,,63.78,61.01,18232.0,1145308.98,,1.28,63.73,20.49,0.4634,62.87,2.6254
2011-09-14,138000.0,8689485.65,3.1,2.64,9.96,,6668235.72,32100.0,105900.0,2021249.92,,,,,,,,,,,,,,,,,136.0,2.3,0.01,,63.78,61.01,18232.0,1148019.58,,1.31,63.73,20.76,0.4626,62.73,2.6228
2011-09-15,82000.0,5164034.69,1.86,1.57,5.93,,4905832.95,4100.0,77900.0,258201.73,,,,,,,,1.98,,28000.0,,,,,,,28000.0,0.3,1.96,,31.54,26.83,8900.0,560486.69,,0.64,31.54,27.63,0.5905,71.7,5.3651
2011-09-16,82000.0,5226424.77,1.71,1.57,5.99,,4965103.53,4100.0,77900.0,261321.24,,,,,,,,,,,,,,,,,,0.3,,,31.54,26.83,8900.0,567258.3,,0.65,31.54,27.62,0.5906,71.72,5.3651
2011-09-19,82000.0,5231444.67,1.75,1.57,6.02,,4969872.43,4100.0,77900.0,261572.23,,,,,,,,,,,,,,,,,,0.3,,,31.54,26.83,8900.0,567803.14,,0.65,31.54,27.62,0.5906,71.71,5.3651
2011-09-20,52300.0,3352649.48,1.23,1.0,3.85,,3352649.48,0.0,52300.0,0.0,,,,,,,,0.3,,4100.0,,,,,,,25600.0,0.0,1.85,,0.0,0.0,0.0,0.0,,0.0,0.0,40.97,0.5047,58.03,3.4219
2011-09-21,42900.0,2723057.07,1.04,0.82,3.09,,2723057.07,0.0,42900.0,0.0,,,,,,,,,,,,,,,,,9400.0,0.0,0.7,,0.0,0.0,0.0,0.0,,0.0,0.0,28.24,0.5773,70.53,2.8069
2011-09-22,41900.0,2629901.34,1.16,0.83,3.01,,2629901.34,0.0,41900.0,0.0,,,,,,,,,,,,,,,,,1000.0,0.0,0.09,,0.0,0.0,0.0,0.0,,0.0,0.0,26.45,0.5927,72.29,2.7414
2011-09-23,41900.0,2644192.29,1.13,0.83,3.04,,2644192.29,0.0,41900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,26.35,0.5938,72.4,2.7414
2011-09-26,43300.0,2724968.83,1.22,0.86,3.14,,2636863.6,1400.0,41900.0,88105.23,,,,,,,,,,,,,,,,1400.0,,0.1,,,100.0,9.16,0.0,0.0,,0.0,100.0,26.4,0.5932,72.34,2.833
2011-09-27,41900.0,2696958.88,1.18,0.83,3.07,,2696958.88,0.0,41900.0,0.0,,,,,,,,0.1,,1400.0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,25.98,0.5975,72.8,2.7414
2011-09-28,41900.0,2703921.14,1.15,0.83,3.07,,2703921.14,0.0,41900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,26.1,0.5961,72.65,2.7414
2011-09-29,41900.0,2717845.65,1.16,0.83,3.1,,2717845.65,0.0,41900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,26.0,0.597,72.75,2.7414
2011-09-30,41900.0,2720044.26,1.08,0.77,3.1,,2720044.26,0.0,41900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,26.22,0.5949,72.53,2.7414
2011-10-03,41900.0,2732136.6,1.05,0.77,3.1,,2732136.6,0.0,41900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,26.25,0.5947,72.5,2.7414
2011-10-04,63900.0,4068875.27,1.57,1.11,4.68,,4068875.27,0.0,63900.0,0.0,,,,1.6,,,,,22000.0,,,,1.6,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,47.55,0.4925,51.61,4.1808
2011-10-05,63900.0,4087316.81,1.54,1.11,4.69,,4087316.81,0.0,63900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,47.58,0.4927,51.6,4.1808
2011-10-06,63900.0,4108552.53,1.49,1.11,4.7,,4108552.53,0.0,63900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,47.71,0.4926,51.47,4.1808
2011-10-07,63900.0,4067757.6,1.45,1.18,4.66,,4067757.6,0.0,63900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,47.46,0.4927,51.71,4.1808
2011-10-10,15500.0,990497.29,0.35,0.29,1.13,,990497.29,0.0,15500.0,0.0,,,,,,,,,,,,,,,,,48400.0,0.0,3.44,,0.0,0.0,0.0,0.0,,0.0,0.0,25.77,0.5697,70.87,1.0141
2011-10-11,15500.0,990768.4,0.35,0.29,1.13,,990768.4,0.0,15500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,25.76,0.5696,70.86,1.0141
2011-10-12,4500.0,286146.97,0.1,0.08,0.33,,286146.97,0.0,4500.0,0.0,,,,,,,,,,,,,,,,,11000.0,0.0,0.79,,0.0,0.0,15284.0,971882.27,,1.11,0.0,11.66,0.794,88.34,0.2944
2011-10-13,2500.0,158380.22,0.05,0.05,0.18,,158380.22,0.0,2500.0,0.0,,,,,,,,,,,,,,,,,2000.0,0.0,0.15,,0.0,0.0,0.0,0.0,,0.0,0.0,20.8,0.6705,79.2,0.1636
2011-10-14,2500.0,156521.81,0.05,0.05,0.18,,156521.81,0.0,2500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,20.99,0.6683,79.01,0.1636
2011-10-17,2500.0,158533.26,0.05,0.05,0.18,,158533.26,0.0,2500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,20.58,0.6731,79.42,0.1636
2011-10-18,28000.0,1780959.76,0.62,0.52,2.04,,1780959.76,0.0,28000.0,0.0,,,,,,25500.0,,,,,,,,,1.85,,,0.0,,,0.0,0.0,15284.0,972149.6,,1.11,0.0,7.13,0.8336,91.0,1.832
2011-10-19,28000.0,1770185.36,0.62,0.52,2.02,,1770185.36,0.0,28000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,15284.0,966268.32,,1.11,0.0,7.17,0.8326,90.95,1.832
2011-10-20,28000.0,1760390.44,0.62,0.53,2.03,,1760390.44,0.0,28000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,15284.0,960921.7,,1.11,0.0,7.14,0.8332,90.98,1.832
2011-10-21,28000.0,1763573.79,0.64,0.53,2.02,,1763573.79,0.0,28000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,15284.0,962659.35,,1.1,0.0,7.12,0.8336,91.0,1.832
2011-10-24,2500.0,158161.58,0.06,0.05,0.18,,158161.58,0.0,2500.0,0.0,,,,,,,,,,,,,,,,,25500.0,0.0,1.83,,0.0,0.0,0.0,0.0,,0.0,0.0,20.82,0.6703,79.18,0.1636
2011-10-25,2500.0,156827.9,0.06,0.05,0.18,,156827.9,0.0,2500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,20.9,0.6694,79.1,0.1636
2011-10-26,2500.0,156740.45,0.06,0.05,0.18,,156740.45,0.0,2500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,20.8,0.6705,79.2,0.1636
2011-10-27,2500.0,158926.81,0.06,0.05,0.18,,158926.81,0.0,2500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,20.58,0.6731,79.42,0.1636
2011-10-28,2500.0,159254.76,0.06,0.05,0.18,,159254.76,0.0,2500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,20.81,0.6704,79.19,1.0946
2011-10-31,2500.0,154772.72,0.06,0.05,0.18,,154772.72,0.0,2500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,21.25,0.6653,78.75,1.0946
2011-11-01,2500.0,153876.31,0.06,0.05,0.18,,153876.31,0.0,2500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,20.77,0.6708,79.23,1.0946
2011-11-02,22900.0,1404099.67,0.53,0.45,1.61,,1404099.67,0.0,22900.0,0.0,,,,,,22400.0,,,,,,,,,1.57,,2000.0,0.0,0.14,,0.0,0.0,0.0,0.0,,0.0,0.0,2.3,0.9551,97.7,10.0263
2011-11-03,22900.0,1421923.78,0.52,0.45,1.63,,1421923.78,0.0,22900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,2.26,0.9558,97.74,10.0263
2011-11-04,22900.0,1408906.17,0.54,0.45,1.63,,1408906.17,0.0,22900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,2.29,0.9553,97.71,10.0263
2011-11-07,22900.0,1415915.65,0.53,0.44,1.62,,1415915.65,0.0,22900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,2.28,0.9555,97.72,10.0263
2011-11-08,27900.0,1716039.61,0.65,0.53,1.98,,1716039.61,0.0,27900.0,0.0,,,,,,5000.0,,,,,,,,,0.35,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,17.82,0.6769,80.3,12.2154
2011-11-09,27900.0,1730679.5,0.71,0.53,1.97,,1730679.5,0.0,27900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,17.93,0.6757,80.2,12.2154
2011-11-10,27900.0,1719699.58,0.71,0.53,1.97,,1719699.58,0.0,27900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,17.9,0.6757,80.21,12.2154
2011-11-11,27900.0,1718967.59,0.79,0.53,1.97,,1718967.59,0.0,27900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,17.9,0.6758,80.21,12.2154
2011-11-14,22900.0,1421122.7,0.66,0.44,1.63,,1421122.7,0.0,22900.0,0.0,,,,,,,,,,,,,,,,,5000.0,0.0,0.36,,0.0,0.0,0.0,0.0,,0.0,0.0,2.27,0.9556,97.73,10.0263
2011-11-15,22900.0,1426129.47,0.67,0.44,1.63,,1426129.47,0.0,22900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,2.28,0.9554,97.72,10.0263
2011-11-16,500.0,31059.49,0.02,0.01,0.04,,31059.49,0.0,500.0,0.0,,,,,,,,,,,,,,,,,22400.0,0.0,1.6,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.2189
2011-11-17,500.0,30902.07,0.02,0.01,0.04,,30902.07,0.0,500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.2189
2011-11-18,500.0,30915.19,0.02,0.01,0.04,,30915.19,0.0,500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.2189
2011-11-21,500.0,30237.42,0.02,0.01,0.04,,30237.42,0.0,500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.2189
2011-11-22,500.0,30425.44,0.02,0.01,0.04,,30425.44,0.0,500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.2189
2011-11-23,500.0,30228.67,0.02,0.01,0.04,,30228.67,0.0,500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.2189
2011-11-24,500.0,30438.56,0.02,0.01,0.04,,30438.56,0.0,500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.2189
2011-11-25,500.0,30578.49,0.02,0.01,0.04,,30578.49,0.0,500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.2189
2011-11-28,500.0,30998.27,0.02,0.01,0.04,,30998.27,0.0,500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.2189
2011-11-29,500.0,31160.06,0.02,0.01,0.04,,31160.06,0.0,500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.2189
2011-11-30,500.0,31767.87,0.02,0.01,0.04,,31767.87,0.0,500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.2189
2011-12-01,500.0,31387.44,0.02,0.01,0.04,,31387.44,0.0,500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.2189
2011-12-02,500.0,31859.7,0.02,0.01,0.04,,31859.7,0.0,500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.2189
2011-12-05,500.0,31815.97,0.02,0.01,0.04,,31815.97,0.0,500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.2189
2011-12-06,500.0,31571.1,0.02,0.01,0.04,,31571.1,0.0,500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.2189
2011-12-07,500.0,31731.9,0.02,0.01,0.04,,31731.9,0.0,500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.2189
2011-12-08,500.0,31691.7,0.02,0.01,0.04,,31691.7,0.0,500.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.2189
2011-12-09,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,500.0,0.0,0.04,,0.0,0.0,2284.0,145767.5,,0.16,0.0,,0.0,,0.0
2011-12-12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,2284.0,145277.8,,0.16,0.0,,0.0,,0.0
2011-12-13,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,2284.0,148032.37,,0.16,0.0,,0.0,,0.0
2011-12-14,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,2284.0,146236.8,,0.16,0.0,,0.0,,0.0
2011-12-15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,2284.0,145359.42,,0.16,0.0,,0.0,,0.0
2011-12-16,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,2284.0,144828.91,,0.16,0.0,,0.0,,0.0
2011-12-19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,2284.0,143421.02,,0.16,0.0,,0.0,,0.0
2011-12-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,2284.0,145318.61,,0.16,0.0,,0.0,,0.0
2011-12-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,2284.0,144175.98,,0.16,0.0,,0.0,,0.0
2011-12-22,114000.0,7222653.04,2.63,2.27,8.08,,7222653.04,0.0,114000.0,0.0,,,,,,114000.0,,,,,,,,,8.08,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,49.9124
2011-12-23,114000.0,7299034.73,2.63,2.27,8.16,,7299034.73,0.0,114000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,49.9124
2011-12-26,114000.0,7299034.73,2.64,2.27,8.16,,7299034.73,0.0,114000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,49.9124
2011-12-27,114000.0,7233855.69,2.64,2.27,8.1,,7233855.69,0.0,114000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,49.9124
