,ALINS FP Equity_DX_SI_QTY,ALINS FP Equity_DX_SHORT_INTEREST_VALUE,ALINS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALINS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALINS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALINS FP Equity_DX_SI_MV,ALINS FP Equity_DX_DSS,ALINS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALINS FP Equity_DX_SUPPLY_SI_QTY,ALINS FP Equity_DX_BROKER_SI_QTY,ALINS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALINS FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALINS FP Equity_DX_BROKER_SI_MV_INC_x,ALINS FP Equity_DX_BROKER_SI_QTY_ADD,ALINS FP Equity_DX_SUPPLY_SI_MV_DEC,ALINS FP Equity_DX_BROKER_SI_QTY_INC,ALINS FP Equity_DX_SUPPLY_SI_QTY_DEC,ALINS FP Equity_DX_BROKER_SI_MV_INC_y,ALINS FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALINS FP Equity_DX_BROKER_SI_MV_ADD,ALINS FP Equity_DX_SUPPLY_SI_QTY_ADD,ALINS FP Equity_DX_BROKER_SI_QTY_DEC,ALINS FP Equity_DX_SUPPLY_SI_MV,ALINS FP Equity_DX_BROKER_SI_MV_DEC,ALINS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALINS FP Equity_DX_UTILIZATION_QUANTITY,ALINS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALINS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALINS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALINS FP Equity_DX_ACTIVE_UTILIZATION_MV,ALINS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALINS FP Equity_DX_BROKER_SI_CON_RATIO,ALINS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALINS FP Equity_DX_DEMAND_SUPPLY_RATIO,ALINS FP Equity_PX_LAST
2018-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.453
2018-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4525
2018-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4595
2018-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4595
2018-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
2018-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46
2018-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
2018-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.447
2018-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.449
2018-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.434
2018-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4375
2018-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.425
2018-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4225
2018-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.421
2018-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.418
2018-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42
2018-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4395
2018-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4385
2018-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42
2018-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
2018-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
2018-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39
2018-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3805
2018-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37
2018-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.352
2018-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.374
2018-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.369
2018-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3695
2018-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3755
2018-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3925
2018-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39
2018-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.394
2018-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38
2018-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.366
2018-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.359
2018-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.351
2018-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354
2018-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3565
2018-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3565
2018-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.369
2018-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.364
2018-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3605
2018-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.378
2018-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3765
2018-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.409
2018-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3965
2018-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4115
2018-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3995
2018-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4025
2018-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.401
2018-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3995
2018-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.385
2018-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.382
2018-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.385
2018-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.388
2018-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3915
2018-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3875
2018-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4135
2018-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.401
2018-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
2018-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3955
2018-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3955
2018-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3855
2018-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4015
2018-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.399
2018-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3965
2018-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.402
2018-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.402
2018-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4375
2018-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3905
2018-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38
2018-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.365
2018-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3525
2018-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.348
2018-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.331
2018-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3085
2018-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.295
2018-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.281
2018-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.277
2018-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2925
2018-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.292
2018-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29
2018-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.291
2018-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2925
2018-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2855
2018-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.285
2018-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29
2018-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.289
2018-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.314
2018-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.295
2018-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.285
2018-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2905
2018-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282
2018-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273
2018-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257
2018-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24
2018-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242
2018-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26
2018-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2645
2018-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2675
2018-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2595
2018-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26
2018-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246
2018-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2425
2018-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251
2018-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255
2018-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238
2018-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222
2018-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229
2018-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2195
2018-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205
2018-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2195
2018-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224
2018-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2145
2018-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2125
2018-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21
2018-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205
2018-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232
2018-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229
2018-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2905
2018-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272
2018-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24
2018-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222
2018-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207
2018-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211
2018-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21
2018-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214
2018-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2035
2018-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201
2018-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19
2018-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198
2018-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215
2018-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2175
2018-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246
2018-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225
2018-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22
2018-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221
2018-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224
2018-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226
2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.219
2018-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22
2018-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2245
2018-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2255
2018-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213
2018-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215
2018-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2245
2018-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235
2018-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235
2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229
2018-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.218
2018-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226
2018-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206
2018-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2055
2018-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1932
2018-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19
2018-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191
2018-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1958
2019-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2015
2019-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.202
2019-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196
2019-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1976
2019-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217
2019-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2265
2019-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228
2019-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22
2019-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2145
2019-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2285
2019-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2485
2019-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232
2019-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226
2019-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236
2019-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228
2019-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231
2019-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226
2019-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231
2019-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225
2019-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232
2019-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242
2019-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2475
2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
2019-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2475
2019-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27
2019-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2575
2019-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245
2019-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233
2019-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2435
2019-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237
2019-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2355
2019-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236
2019-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2335
2019-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24
2019-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243
2019-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249
2019-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267
2019-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267
2019-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2815
2019-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282
2019-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2745
2019-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2765
2019-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.278
2019-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279
2019-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2775
2019-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2675
2019-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264
2019-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257
2019-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2565
2019-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257
2019-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2565
2019-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263
2019-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263
2019-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256
2019-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.253
2019-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2635
2019-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2625
2019-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2585
2019-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2525
2019-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2485
2019-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241
2019-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2425
2019-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2475
2019-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245
2019-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234
2019-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232
2019-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239
2019-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229
2019-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2345
2019-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238
2019-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246
2019-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256
2019-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2485
2019-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2505
2019-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246
2019-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2385
2019-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237
2019-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232
2019-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234
2019-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252
2019-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2545
2019-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
2019-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272
2019-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2019-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.276
2019-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.271
2019-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2655
2019-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27
2019-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268
2019-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268
2019-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246
2019-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.254
2019-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2425
2019-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241
2019-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2415
2019-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2355
2019-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24
2019-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248
2019-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24
2019-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231
2019-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2345
2019-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229
2019-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233
2019-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2285
2019-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229
2019-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229
2019-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2019-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2335
2019-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235
2019-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231
2019-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2335
2019-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2325
2019-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2325
2019-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2305
2019-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256
2019-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31
2019-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2995
2019-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2019-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.294
2019-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.283
2019-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282
2019-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274
2019-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274
2019-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257
2019-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266
2019-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2795
2019-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2725
2019-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2655
